context: Who was it? response:	Who shot him?
context: (Bloody bonds) Makka na chi ga\Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte response:	DEVILS' LINE
context: Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\DEVILS' LINE response:	Stop Kikuhara...
context: Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\DEVILS' LINE\Stop Kikuhara... response:	You can't shoot me.
context: (Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\DEVILS' LINE\Stop Kikuhara...\You can't shoot me. response:	Can you get to the roof?
context: Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\DEVILS' LINE\Stop Kikuhara...\You can't shoot me.\Can you get to the roof? response:	I'll have to do it in one jump!
context: Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\DEVILS' LINE\Stop Kikuhara...\You can't shoot me.\Can you get to the roof?\I'll have to do it in one jump! response:	People are gonna see us, so they might shoot.
context: Sei o teigi shiatte\Ai o musabotte\DEVILS' LINE\Stop Kikuhara...\You can't shoot me.\Can you get to the roof?\I'll have to do it in one jump!\People are gonna see us, so they might shoot. response:	Hang on tight!
context: Ai o musabotte\DEVILS' LINE\Stop Kikuhara...\You can't shoot me.\Can you get to the roof?\I'll have to do it in one jump!\People are gonna see us, so they might shoot.\Hang on tight! response:	Something's coming from the north! Up on the roof!
context: DEVILS' LINE\Stop Kikuhara...\You can't shoot me.\Can you get to the roof?\I'll have to do it in one jump!\People are gonna see us, so they might shoot.\Hang on tight!\Something's coming from the north! Up on the roof! response:	You idiot! What are you doing...
context: Stop Kikuhara...\You can't shoot me.\Can you get to the roof?\I'll have to do it in one jump!\People are gonna see us, so they might shoot.\Hang on tight!\Something's coming from the north! Up on the roof!\You idiot! What are you doing... response:	Sorry!
context: You can't shoot me.\Can you get to the roof?\I'll have to do it in one jump!\People are gonna see us, so they might shoot.\Hang on tight!\Something's coming from the north! Up on the roof!\You idiot! What are you doing...\Sorry! response:	I'm fine.
context: Can you get to the roof?\I'll have to do it in one jump!\People are gonna see us, so they might shoot.\Hang on tight!\Something's coming from the north! Up on the roof!\You idiot! What are you doing...\Sorry!\I'm fine. response:	Don't try to resist.
context: I'll have to do it in one jump!\People are gonna see us, so they might shoot.\Hang on tight!\Something's coming from the north! Up on the roof!\You idiot! What are you doing...\Sorry!\I'm fine.\Don't try to resist. response:	Throw down your weapons and surrender!
context: People are gonna see us, so they might shoot.\Hang on tight!\Something's coming from the north! Up on the roof!\You idiot! What are you doing...\Sorry!\I'm fine.\Don't try to resist.\Throw down your weapons and surrender! response:	Can you hear me?
context: Hang on tight!\Something's coming from the north! Up on the roof!\You idiot! What are you doing...\Sorry!\I'm fine.\Don't try to resist.\Throw down your weapons and surrender!\Can you hear me? response:	What are you doing? Hurry and throw down...
context: Something's coming from the north! Up on the roof!\You idiot! What are you doing...\Sorry!\I'm fine.\Don't try to resist.\Throw down your weapons and surrender!\Can you hear me?\What are you doing? Hurry and throw down... response:	Taira and Lee are on the roof? What are you doing? Hurry and throw down...
context: You idiot! What are you doing...\Sorry!\I'm fine.\Don't try to resist.\Throw down your weapons and surrender!\Can you hear me?\What are you doing? Hurry and throw down...\Taira and Lee are on the roof? What are you doing? Hurry and throw down... response:	Taira and Lee are on the roof?
context: Sorry!\I'm fine.\Don't try to resist.\Throw down your weapons and surrender!\Can you hear me?\What are you doing? Hurry and throw down...\Taira and Lee are on the roof? What are you doing? Hurry and throw down...\Taira and Lee are on the roof? response:	What? What are they doing there?
context: I'm fine.\Don't try to resist.\Throw down your weapons and surrender!\Can you hear me?\What are you doing? Hurry and throw down...\Taira and Lee are on the roof? What are you doing? Hurry and throw down...\Taira and Lee are on the roof?\What? What are they doing there? response:	She wouldn't...!
context: Don't try to resist.\Throw down your weapons and surrender!\Can you hear me?\What are you doing? Hurry and throw down...\Taira and Lee are on the roof? What are you doing? Hurry and throw down...\Taira and Lee are on the roof?\What? What are they doing there?\She wouldn't...! response:	Don't move! I'll shoot!
context: Throw down your weapons and surrender!\Can you hear me?\What are you doing? Hurry and throw down...\Taira and Lee are on the roof? What are you doing? Hurry and throw down...\Taira and Lee are on the roof?\What? What are they doing there?\She wouldn't...!\Don't move! I'll shoot! response:	To the roof!
context: Can you hear me?\What are you doing? Hurry and throw down...\Taira and Lee are on the roof? What are you doing? Hurry and throw down...\Taira and Lee are on the roof?\What? What are they doing there?\She wouldn't...!\Don't move! I'll shoot!\To the roof! response:	Stay off the roof.
context: What are you doing? Hurry and throw down...\Taira and Lee are on the roof? What are you doing? Hurry and throw down...\Taira and Lee are on the roof?\What? What are they doing there?\She wouldn't...!\Don't move! I'll shoot!\To the roof!\Stay off the roof. response:	You'll get in the way.
context: Taira and Lee are on the roof? What are you doing? Hurry and throw down...\Taira and Lee are on the roof?\What? What are they doing there?\She wouldn't...!\Don't move! I'll shoot!\To the roof!\Stay off the roof.\You'll get in the way. response:	Tsukasa? Why...
context: Taira and Lee are on the roof?\What? What are they doing there?\She wouldn't...!\Don't move! I'll shoot!\To the roof!\Stay off the roof.\You'll get in the way.\Tsukasa? Why... response:	Stay away.
context: What? What are they doing there?\She wouldn't...!\Don't move! I'll shoot!\To the roof!\Stay off the roof.\You'll get in the way.\Tsukasa? Why...\Stay away. response:	Too... dangerous.
context: She wouldn't...!\Don't move! I'll shoot!\To the roof!\Stay off the roof.\You'll get in the way.\Tsukasa? Why...\Stay away.\Too... dangerous. response:	Stay... away...
context: Don't move! I'll shoot!\To the roof!\Stay off the roof.\You'll get in the way.\Tsukasa? Why...\Stay away.\Too... dangerous.\Stay... away... response:	Anzai!
context: To the roof!\Stay off the roof.\You'll get in the way.\Tsukasa? Why...\Stay away.\Too... dangerous.\Stay... away...\Anzai! response:	Can you hear me? Anzai!
context: Stay off the roof.\You'll get in the way.\Tsukasa? Why...\Stay away.\Too... dangerous.\Stay... away...\Anzai!\Can you hear me? Anzai! response:	A sedative?
context: You'll get in the way.\Tsukasa? Why...\Stay away.\Too... dangerous.\Stay... away...\Anzai!\Can you hear me? Anzai!\A sedative? response:	Lee!
context: Tsukasa? Why...\Stay away.\Too... dangerous.\Stay... away...\Anzai!\Can you hear me? Anzai!\A sedative?\Lee! response:	How many cc's of blood will it take to heal him?
context: Stay away.\Too... dangerous.\Stay... away...\Anzai!\Can you hear me? Anzai!\A sedative?\Lee!\How many cc's of blood will it take to heal him? response:	For just the wound and blood loss, 200cc.
context: Too... dangerous.\Stay... away...\Anzai!\Can you hear me? Anzai!\A sedative?\Lee!\How many cc's of blood will it take to heal him?\For just the wound and blood loss, 200cc. response:	But right now, he's gonna need 400cc.
context: Stay... away...\Anzai!\Can you hear me? Anzai!\A sedative?\Lee!\How many cc's of blood will it take to heal him?\For just the wound and blood loss, 200cc.\But right now, he's gonna need 400cc. response:	Four hundred?
context: Anzai!\Can you hear me? Anzai!\A sedative?\Lee!\How many cc's of blood will it take to heal him?\For just the wound and blood loss, 200cc.\But right now, he's gonna need 400cc.\Four hundred? response:	If he used that sedative before he got shot, he'll have a hard time transforming.
context: Can you hear me? Anzai!\A sedative?\Lee!\How many cc's of blood will it take to heal him?\For just the wound and blood loss, 200cc.\But right now, he's gonna need 400cc.\Four hundred?\If he used that sedative before he got shot, he'll have a hard time transforming. response:	It'll take twice as much blood as normal.
context: A sedative?\Lee!\How many cc's of blood will it take to heal him?\For just the wound and blood loss, 200cc.\But right now, he's gonna need 400cc.\Four hundred?\If he used that sedative before he got shot, he'll have a hard time transforming.\It'll take twice as much blood as normal. response:	But in the event that a devil ignores the deployment ban,
context: Lee!\How many cc's of blood will it take to heal him?\For just the wound and blood loss, 200cc.\But right now, he's gonna need 400cc.\Four hundred?\If he used that sedative before he got shot, he'll have a hard time transforming.\It'll take twice as much blood as normal.\But in the event that a devil ignores the deployment ban, response:	if they transform and engage in violence, cause injury, or drink blood,
context: How many cc's of blood will it take to heal him?\For just the wound and blood loss, 200cc.\But right now, he's gonna need 400cc.\Four hundred?\If he used that sedative before he got shot, he'll have a hard time transforming.\It'll take twice as much blood as normal.\But in the event that a devil ignores the deployment ban,\if they transform and engage in violence, cause injury, or drink blood, response:	they will be immediately relieved of duty, regardless of their reasons.
context: For just the wound and blood loss, 200cc.\But right now, he's gonna need 400cc.\Four hundred?\If he used that sedative before he got shot, he'll have a hard time transforming.\It'll take twice as much blood as normal.\But in the event that a devil ignores the deployment ban,\if they transform and engage in violence, cause injury, or drink blood,\they will be immediately relieved of duty, regardless of their reasons. response:	They will thenceforth be placed under strict surveillance
context: But right now, he's gonna need 400cc.\Four hundred?\If he used that sedative before he got shot, he'll have a hard time transforming.\It'll take twice as much blood as normal.\But in the event that a devil ignores the deployment ban,\if they transform and engage in violence, cause injury, or drink blood,\they will be immediately relieved of duty, regardless of their reasons.\They will thenceforth be placed under strict surveillance response:	and forbidden to make contact with humans for the foreseeable future.
context: Four hundred?\If he used that sedative before he got shot, he'll have a hard time transforming.\It'll take twice as much blood as normal.\But in the event that a devil ignores the deployment ban,\if they transform and engage in violence, cause injury, or drink blood,\they will be immediately relieved of duty, regardless of their reasons.\They will thenceforth be placed under strict surveillance\and forbidden to make contact with humans for the foreseeable future. response:	Thank you.
context: If he used that sedative before he got shot, he'll have a hard time transforming.\It'll take twice as much blood as normal.\But in the event that a devil ignores the deployment ban,\if they transform and engage in violence, cause injury, or drink blood,\they will be immediately relieved of duty, regardless of their reasons.\They will thenceforth be placed under strict surveillance\and forbidden to make contact with humans for the foreseeable future.\Thank you. response:	400cc is too much for someone your size, Taira.
context: It'll take twice as much blood as normal.\But in the event that a devil ignores the deployment ban,\if they transform and engage in violence, cause injury, or drink blood,\they will be immediately relieved of duty, regardless of their reasons.\They will thenceforth be placed under strict surveillance\and forbidden to make contact with humans for the foreseeable future.\Thank you.\400cc is too much for someone your size, Taira. response:	I'll give him blood, too.
context: But in the event that a devil ignores the deployment ban,\if they transform and engage in violence, cause injury, or drink blood,\they will be immediately relieved of duty, regardless of their reasons.\They will thenceforth be placed under strict surveillance\and forbidden to make contact with humans for the foreseeable future.\Thank you.\400cc is too much for someone your size, Taira.\I'll give him blood, too. response:	Who are you talking to? Drop your weapon right now!
context: if they transform and engage in violence, cause injury, or drink blood,\they will be immediately relieved of duty, regardless of their reasons.\They will thenceforth be placed under strict surveillance\and forbidden to make contact with humans for the foreseeable future.\Thank you.\400cc is too much for someone your size, Taira.\I'll give him blood, too.\Who are you talking to? Drop your weapon right now! response:	You keep the riot police busy.
context: they will be immediately relieved of duty, regardless of their reasons.\They will thenceforth be placed under strict surveillance\and forbidden to make contact with humans for the foreseeable future.\Thank you.\400cc is too much for someone your size, Taira.\I'll give him blood, too.\Who are you talking to? Drop your weapon right now!\You keep the riot police busy. response:	I'm going to close Anzai's wound.
context: They will thenceforth be placed under strict surveillance\and forbidden to make contact with humans for the foreseeable future.\Thank you.\400cc is too much for someone your size, Taira.\I'll give him blood, too.\Who are you talking to? Drop your weapon right now!\You keep the riot police busy.\I'm going to close Anzai's wound. response:	The truth is... I want to let you drink my blood, too.
context: and forbidden to make contact with humans for the foreseeable future.\Thank you.\400cc is too much for someone your size, Taira.\I'll give him blood, too.\Who are you talking to? Drop your weapon right now!\You keep the riot police busy.\I'm going to close Anzai's wound.\The truth is... I want to let you drink my blood, too. response:	I want to do anything I can to help you.
context: Thank you.\400cc is too much for someone your size, Taira.\I'll give him blood, too.\Who are you talking to? Drop your weapon right now!\You keep the riot police busy.\I'm going to close Anzai's wound.\The truth is... I want to let you drink my blood, too.\I want to do anything I can to help you. response:	Don't worry.
context: 400cc is too much for someone your size, Taira.\I'll give him blood, too.\Who are you talking to? Drop your weapon right now!\You keep the riot police busy.\I'm going to close Anzai's wound.\The truth is... I want to let you drink my blood, too.\I want to do anything I can to help you.\Don't worry. response:	I promise... I'll never give you my blood.
context: I'll give him blood, too.\Who are you talking to? Drop your weapon right now!\You keep the riot police busy.\I'm going to close Anzai's wound.\The truth is... I want to let you drink my blood, too.\I want to do anything I can to help you.\Don't worry.\I promise... I'll never give you my blood. response:	I'm sorry.
context: Who are you talking to? Drop your weapon right now!\You keep the riot police busy.\I'm going to close Anzai's wound.\The truth is... I want to let you drink my blood, too.\I want to do anything I can to help you.\Don't worry.\I promise... I'll never give you my blood.\I'm sorry. response:	It's not sharp enough.
context: You keep the riot police busy.\I'm going to close Anzai's wound.\The truth is... I want to let you drink my blood, too.\I want to do anything I can to help you.\Don't worry.\I promise... I'll never give you my blood.\I'm sorry.\It's not sharp enough. response:	Don't push yourself. You might-
context: I'm going to close Anzai's wound.\The truth is... I want to let you drink my blood, too.\I want to do anything I can to help you.\Don't worry.\I promise... I'll never give you my blood.\I'm sorry.\It's not sharp enough.\Don't push yourself. You might- response:	Bite down, Anzai!
context: The truth is... I want to let you drink my blood, too.\I want to do anything I can to help you.\Don't worry.\I promise... I'll never give you my blood.\I'm sorry.\It's not sharp enough.\Don't push yourself. You might-\Bite down, Anzai! response:	Wake up! Bite my arm!
context: I want to do anything I can to help you.\Don't worry.\I promise... I'll never give you my blood.\I'm sorry.\It's not sharp enough.\Don't push yourself. You might-\Bite down, Anzai!\Wake up! Bite my arm! response:	Anzai!
context: Don't worry.\I promise... I'll never give you my blood.\I'm sorry.\It's not sharp enough.\Don't push yourself. You might-\Bite down, Anzai!\Wake up! Bite my arm!\Anzai! response:	Anzai!
context: I promise... I'll never give you my blood.\I'm sorry.\It's not sharp enough.\Don't push yourself. You might-\Bite down, Anzai!\Wake up! Bite my arm!\Anzai!\Anzai! response:	Taira, they broke through! Hurry!
context: I'm sorry.\It's not sharp enough.\Don't push yourself. You might-\Bite down, Anzai!\Wake up! Bite my arm!\Anzai!\Anzai!\Taira, they broke through! Hurry! response:	Tsukasa?
context: It's not sharp enough.\Don't push yourself. You might-\Bite down, Anzai!\Wake up! Bite my arm!\Anzai!\Anzai!\Taira, they broke through! Hurry!\Tsukasa? response:	Anzai-
context: Don't push yourself. You might-\Bite down, Anzai!\Wake up! Bite my arm!\Anzai!\Anzai!\Taira, they broke through! Hurry!\Tsukasa?\Anzai- response:	Push your arm down...
context: Bite down, Anzai!\Wake up! Bite my arm!\Anzai!\Anzai!\Taira, they broke through! Hurry!\Tsukasa?\Anzai-\Push your arm down... response:	or he'll bite it off!
context: Wake up! Bite my arm!\Anzai!\Anzai!\Taira, they broke through! Hurry!\Tsukasa?\Anzai-\Push your arm down...\or he'll bite it off! response:	Don't move! All of you stay where you-
context: Anzai!\Anzai!\Taira, they broke through! Hurry!\Tsukasa?\Anzai-\Push your arm down...\or he'll bite it off!\Don't move! All of you stay where you- response:	Hold on! We're almost done!
context: Anzai!\Taira, they broke through! Hurry!\Tsukasa?\Anzai-\Push your arm down...\or he'll bite it off!\Don't move! All of you stay where you-\Hold on! We're almost done! response:	There's a devil on the roof.
context: Taira, they broke through! Hurry!\Tsukasa?\Anzai-\Push your arm down...\or he'll bite it off!\Don't move! All of you stay where you-\Hold on! We're almost done!\There's a devil on the roof. response:	Anzai. Don't worry about me!
context: Tsukasa?\Anzai-\Push your arm down...\or he'll bite it off!\Don't move! All of you stay where you-\Hold on! We're almost done!\There's a devil on the roof.\Anzai. Don't worry about me! response:	I'm going to be fine.
context: Anzai-\Push your arm down...\or he'll bite it off!\Don't move! All of you stay where you-\Hold on! We're almost done!\There's a devil on the roof.\Anzai. Don't worry about me!\I'm going to be fine. response:	So no dying, okay?
context: Push your arm down...\or he'll bite it off!\Don't move! All of you stay where you-\Hold on! We're almost done!\There's a devil on the roof.\Anzai. Don't worry about me!\I'm going to be fine.\So no dying, okay? response:	The wound is starting to close up.
context: or he'll bite it off!\Don't move! All of you stay where you-\Hold on! We're almost done!\There's a devil on the roof.\Anzai. Don't worry about me!\I'm going to be fine.\So no dying, okay?\The wound is starting to close up. response:	Hey, you over there! A little help?
context: Don't move! All of you stay where you-\Hold on! We're almost done!\There's a devil on the roof.\Anzai. Don't worry about me!\I'm going to be fine.\So no dying, okay?\The wound is starting to close up.\Hey, you over there! A little help? response:	Look in his pouch and find a tranq.
context: Hold on! We're almost done!\There's a devil on the roof.\Anzai. Don't worry about me!\I'm going to be fine.\So no dying, okay?\The wound is starting to close up.\Hey, you over there! A little help?\Look in his pouch and find a tranq. response:	Inject him when I give the signal.
context: There's a devil on the roof.\Anzai. Don't worry about me!\I'm going to be fine.\So no dying, okay?\The wound is starting to close up.\Hey, you over there! A little help?\Look in his pouch and find a tranq.\Inject him when I give the signal. response:	What?
context: Anzai. Don't worry about me!\I'm going to be fine.\So no dying, okay?\The wound is starting to close up.\Hey, you over there! A little help?\Look in his pouch and find a tranq.\Inject him when I give the signal.\What? response:	I'm trying to save the lives of everybody here!
context: I'm going to be fine.\So no dying, okay?\The wound is starting to close up.\Hey, you over there! A little help?\Look in his pouch and find a tranq.\Inject him when I give the signal.\What?\I'm trying to save the lives of everybody here! response:	Please!
context: So no dying, okay?\The wound is starting to close up.\Hey, you over there! A little help?\Look in his pouch and find a tranq.\Inject him when I give the signal.\What?\I'm trying to save the lives of everybody here!\Please! response:	Ogata?
context: The wound is starting to close up.\Hey, you over there! A little help?\Look in his pouch and find a tranq.\Inject him when I give the signal.\What?\I'm trying to save the lives of everybody here!\Please!\Ogata? response:	Be alert! If anything happens, shoot all of us!
context: Hey, you over there! A little help?\Look in his pouch and find a tranq.\Inject him when I give the signal.\What?\I'm trying to save the lives of everybody here!\Please!\Ogata?\Be alert! If anything happens, shoot all of us! response:	There's two different kinds! Which do I use?
context: Look in his pouch and find a tranq.\Inject him when I give the signal.\What?\I'm trying to save the lives of everybody here!\Please!\Ogata?\Be alert! If anything happens, shoot all of us!\There's two different kinds! Which do I use? response:	Uh, the thicker one!
context: Inject him when I give the signal.\What?\I'm trying to save the lives of everybody here!\Please!\Ogata?\Be alert! If anything happens, shoot all of us!\There's two different kinds! Which do I use?\Uh, the thicker one! response:	It's closed!
context: What?\I'm trying to save the lives of everybody here!\Please!\Ogata?\Be alert! If anything happens, shoot all of us!\There's two different kinds! Which do I use?\Uh, the thicker one!\It's closed! response:	Tranq him!
context: I'm trying to save the lives of everybody here!\Please!\Ogata?\Be alert! If anything happens, shoot all of us!\There's two different kinds! Which do I use?\Uh, the thicker one!\It's closed!\Tranq him! response:	Is there an ambulance here?
context: Please!\Ogata?\Be alert! If anything happens, shoot all of us!\There's two different kinds! Which do I use?\Uh, the thicker one!\It's closed!\Tranq him!\Is there an ambulance here? response:	Uh, I think one should be getting here soon.
context: Ogata?\Be alert! If anything happens, shoot all of us!\There's two different kinds! Which do I use?\Uh, the thicker one!\It's closed!\Tranq him!\Is there an ambulance here?\Uh, I think one should be getting here soon. response:	Don't kill him, okay?
context: Be alert! If anything happens, shoot all of us!\There's two different kinds! Which do I use?\Uh, the thicker one!\It's closed!\Tranq him!\Is there an ambulance here?\Uh, I think one should be getting here soon.\Don't kill him, okay? response:	He won't give you any more trouble.
context: There's two different kinds! Which do I use?\Uh, the thicker one!\It's closed!\Tranq him!\Is there an ambulance here?\Uh, I think one should be getting here soon.\Don't kill him, okay?\He won't give you any more trouble. response:	Wait, where are you-
context: Uh, the thicker one!\It's closed!\Tranq him!\Is there an ambulance here?\Uh, I think one should be getting here soon.\Don't kill him, okay?\He won't give you any more trouble.\Wait, where are you- response:	Hey!
context: It's closed!\Tranq him!\Is there an ambulance here?\Uh, I think one should be getting here soon.\Don't kill him, okay?\He won't give you any more trouble.\Wait, where are you-\Hey! response:	What's that?
context: Tranq him!\Is there an ambulance here?\Uh, I think one should be getting here soon.\Don't kill him, okay?\He won't give you any more trouble.\Wait, where are you-\Hey!\What's that? response:	I'm carrying an injured person!
context: Is there an ambulance here?\Uh, I think one should be getting here soon.\Don't kill him, okay?\He won't give you any more trouble.\Wait, where are you-\Hey!\What's that?\I'm carrying an injured person! response:	Don't shoot, okay?
context: Uh, I think one should be getting here soon.\Don't kill him, okay?\He won't give you any more trouble.\Wait, where are you-\Hey!\What's that?\I'm carrying an injured person!\Don't shoot, okay? response:	She was bitten by a devil and lost a lot of blood. Take care of her.
context: Don't kill him, okay?\He won't give you any more trouble.\Wait, where are you-\Hey!\What's that?\I'm carrying an injured person!\Don't shoot, okay?\She was bitten by a devil and lost a lot of blood. Take care of her. response:	Uh, yes, sir!
context: He won't give you any more trouble.\Wait, where are you-\Hey!\What's that?\I'm carrying an injured person!\Don't shoot, okay?\She was bitten by a devil and lost a lot of blood. Take care of her.\Uh, yes, sir! response:	Are you alright? Can you hear me?
context: Wait, where are you-\Hey!\What's that?\I'm carrying an injured person!\Don't shoot, okay?\She was bitten by a devil and lost a lot of blood. Take care of her.\Uh, yes, sir!\Are you alright? Can you hear me? response:	Get the stretcher!
context: Hey!\What's that?\I'm carrying an injured person!\Don't shoot, okay?\She was bitten by a devil and lost a lot of blood. Take care of her.\Uh, yes, sir!\Are you alright? Can you hear me?\Get the stretcher! response:	Armed Officers Instigate Devil Hunting Incident
context: What's that?\I'm carrying an injured person!\Don't shoot, okay?\She was bitten by a devil and lost a lot of blood. Take care of her.\Uh, yes, sir!\Are you alright? Can you hear me?\Get the stretcher!\Armed Officers Instigate Devil Hunting Incident response:	Tsukasa?
