context: All right, we're going to begin the match between Class 1 and Class 7. response:	Sports Day
context: Chiaki!\Quit screwing around!\Hurry up and run!\Wh-What's your problem?\You call that cheering?\Impress me, you idiot!\Chiaki!\Dammit, Kana, you aren't even my girlfriend anymore. response:	You really think you scream that I'm an idiot
context: Quit screwing around!\Hurry up and run!\Wh-What's your problem?\You call that cheering?\Impress me, you idiot!\Chiaki!\Dammit, Kana, you aren't even my girlfriend anymore.\You really think you scream that I'm an idiot response:	without making me want to act like a boyfriend?
context: Hurry up and run!\Wh-What's your problem?\You call that cheering?\Impress me, you idiot!\Chiaki!\Dammit, Kana, you aren't even my girlfriend anymore.\You really think you scream that I'm an idiot\without making me want to act like a boyfriend? response:	Go, Chiaki!
context: Wh-What's your problem?\You call that cheering?\Impress me, you idiot!\Chiaki!\Dammit, Kana, you aren't even my girlfriend anymore.\You really think you scream that I'm an idiot\without making me want to act like a boyfriend?\Go, Chiaki! response:	Safe!
context: You call that cheering?\Impress me, you idiot!\Chiaki!\Dammit, Kana, you aren't even my girlfriend anymore.\You really think you scream that I'm an idiot\without making me want to act like a boyfriend?\Go, Chiaki!\Safe! response:	I told you, I'm not letting some chick's boyfriend take me down!
context: Impress me, you idiot!\Chiaki!\Dammit, Kana, you aren't even my girlfriend anymore.\You really think you scream that I'm an idiot\without making me want to act like a boyfriend?\Go, Chiaki!\Safe!\I told you, I'm not letting some chick's boyfriend take me down! response:	I'm not going down!
context: Chiaki!\Dammit, Kana, you aren't even my girlfriend anymore.\You really think you scream that I'm an idiot\without making me want to act like a boyfriend?\Go, Chiaki!\Safe!\I told you, I'm not letting some chick's boyfriend take me down!\I'm not going down! response:	I'm in a sports club. You have no chance!
context: Dammit, Kana, you aren't even my girlfriend anymore.\You really think you scream that I'm an idiot\without making me want to act like a boyfriend?\Go, Chiaki!\Safe!\I told you, I'm not letting some chick's boyfriend take me down!\I'm not going down!\I'm in a sports club. You have no chance! response:	High five!
context: You really think you scream that I'm an idiot\without making me want to act like a boyfriend?\Go, Chiaki!\Safe!\I told you, I'm not letting some chick's boyfriend take me down!\I'm not going down!\I'm in a sports club. You have no chance!\High five! response:	High five!
context: without making me want to act like a boyfriend?\Go, Chiaki!\Safe!\I told you, I'm not letting some chick's boyfriend take me down!\I'm not going down!\I'm in a sports club. You have no chance!\High five!\High five! response:	The End
context: Go, Chiaki!\Safe!\I told you, I'm not letting some chick's boyfriend take me down!\I'm not going down!\I'm in a sports club. You have no chance!\High five!\High five!\The End response:	Opening Ceremony
context: Safe!\I told you, I'm not letting some chick's boyfriend take me down!\I'm not going down!\I'm in a sports club. You have no chance!\High five!\High five!\The End\Opening Ceremony response:	So, again, you better watch yourselves.
context: I told you, I'm not letting some chick's boyfriend take me down!\I'm not going down!\I'm in a sports club. You have no chance!\High five!\High five!\The End\Opening Ceremony\So, again, you better watch yourselves. response:	Opening Ceremony Long Homeroom Opening Ceremony Short Homeroom Cleanup
context: I'm not going down!\I'm in a sports club. You have no chance!\High five!\High five!\The End\Opening Ceremony\So, again, you better watch yourselves.\Opening Ceremony Long Homeroom Opening Ceremony Short Homeroom Cleanup response:	Okay.
context: I'm in a sports club. You have no chance!\High five!\High five!\The End\Opening Ceremony\So, again, you better watch yourselves.\Opening Ceremony Long Homeroom Opening Ceremony Short Homeroom Cleanup\Okay. response:	Suga-yan, is the soccer club busy during summer break?
context: High five!\High five!\The End\Opening Ceremony\So, again, you better watch yourselves.\Opening Ceremony Long Homeroom Opening Ceremony Short Homeroom Cleanup\Okay.\Suga-yan, is the soccer club busy during summer break? response:	Huh? Yeah.
context: High five!\The End\Opening Ceremony\So, again, you better watch yourselves.\Opening Ceremony Long Homeroom Opening Ceremony Short Homeroom Cleanup\Okay.\Suga-yan, is the soccer club busy during summer break?\Huh? Yeah. response:	Why?
context: The End\Opening Ceremony\So, again, you better watch yourselves.\Opening Ceremony Long Homeroom Opening Ceremony Short Homeroom Cleanup\Okay.\Suga-yan, is the soccer club busy during summer break?\Huh? Yeah.\Why? response:	All rise.
context: Opening Ceremony\So, again, you better watch yourselves.\Opening Ceremony Long Homeroom Opening Ceremony Short Homeroom Cleanup\Okay.\Suga-yan, is the soccer club busy during summer break?\Huh? Yeah.\Why?\All rise. response:	We're planning to go to the beach.
context: So, again, you better watch yourselves.\Opening Ceremony Long Homeroom Opening Ceremony Short Homeroom Cleanup\Okay.\Suga-yan, is the soccer club busy during summer break?\Huh? Yeah.\Why?\All rise.\We're planning to go to the beach. response:	You should come with us.
context: Opening Ceremony Long Homeroom Opening Ceremony Short Homeroom Cleanup\Okay.\Suga-yan, is the soccer club busy during summer break?\Huh? Yeah.\Why?\All rise.\We're planning to go to the beach.\You should come with us. response:	Depends on club, I guess.
context: Okay.\Suga-yan, is the soccer club busy during summer break?\Huh? Yeah.\Why?\All rise.\We're planning to go to the beach.\You should come with us.\Depends on club, I guess. response:	Bow.
context: Suga-yan, is the soccer club busy during summer break?\Huh? Yeah.\Why?\All rise.\We're planning to go to the beach.\You should come with us.\Depends on club, I guess.\Bow. response:	Chii-chan's supposed to come, too.
context: Huh? Yeah.\Why?\All rise.\We're planning to go to the beach.\You should come with us.\Depends on club, I guess.\Bow.\Chii-chan's supposed to come, too. response:	Huh? I'll pass.
context: Why?\All rise.\We're planning to go to the beach.\You should come with us.\Depends on club, I guess.\Bow.\Chii-chan's supposed to come, too.\Huh? I'll pass. response:	I'm shy about wearing a swimsuit and stuff.
context: All rise.\We're planning to go to the beach.\You should come with us.\Depends on club, I guess.\Bow.\Chii-chan's supposed to come, too.\Huh? I'll pass.\I'm shy about wearing a swimsuit and stuff. response:	So am I, but everyone's coming.
context: We're planning to go to the beach.\You should come with us.\Depends on club, I guess.\Bow.\Chii-chan's supposed to come, too.\Huh? I'll pass.\I'm shy about wearing a swimsuit and stuff.\So am I, but everyone's coming. response:	Ayaka-chan, Goda-kun, and Pattie, too.
context: You should come with us.\Depends on club, I guess.\Bow.\Chii-chan's supposed to come, too.\Huh? I'll pass.\I'm shy about wearing a swimsuit and stuff.\So am I, but everyone's coming.\Ayaka-chan, Goda-kun, and Pattie, too. response:	I don't know.
context: Depends on club, I guess.\Bow.\Chii-chan's supposed to come, too.\Huh? I'll pass.\I'm shy about wearing a swimsuit and stuff.\So am I, but everyone's coming.\Ayaka-chan, Goda-kun, and Pattie, too.\I don't know. response:	So is Sugawara-kun.
context: Bow.\Chii-chan's supposed to come, too.\Huh? I'll pass.\I'm shy about wearing a swimsuit and stuff.\So am I, but everyone's coming.\Ayaka-chan, Goda-kun, and Pattie, too.\I don't know.\So is Sugawara-kun. response:	Later.
context: Chii-chan's supposed to come, too.\Huh? I'll pass.\I'm shy about wearing a swimsuit and stuff.\So am I, but everyone's coming.\Ayaka-chan, Goda-kun, and Pattie, too.\I don't know.\So is Sugawara-kun.\Later. response:	Bye.
context: Huh? I'll pass.\I'm shy about wearing a swimsuit and stuff.\So am I, but everyone's coming.\Ayaka-chan, Goda-kun, and Pattie, too.\I don't know.\So is Sugawara-kun.\Later.\Bye. response:	Come on, Kana, go make up with Chiaki.
context: I'm shy about wearing a swimsuit and stuff.\So am I, but everyone's coming.\Ayaka-chan, Goda-kun, and Pattie, too.\I don't know.\So is Sugawara-kun.\Later.\Bye.\Come on, Kana, go make up with Chiaki. response:	O-Okay.
context: So am I, but everyone's coming.\Ayaka-chan, Goda-kun, and Pattie, too.\I don't know.\So is Sugawara-kun.\Later.\Bye.\Come on, Kana, go make up with Chiaki.\O-Okay. response:	Ch-Ch
context: Ayaka-chan, Goda-kun, and Pattie, too.\I don't know.\So is Sugawara-kun.\Later.\Bye.\Come on, Kana, go make up with Chiaki.\O-Okay.\Ch-Ch response:	Chiaki, you guys are going to the beach with us, right?
context: I don't know.\So is Sugawara-kun.\Later.\Bye.\Come on, Kana, go make up with Chiaki.\O-Okay.\Ch-Ch\Chiaki, you guys are going to the beach with us, right? response:	I dunno, I'm thinking about it.
context: So is Sugawara-kun.\Later.\Bye.\Come on, Kana, go make up with Chiaki.\O-Okay.\Ch-Ch\Chiaki, you guys are going to the beach with us, right?\I dunno, I'm thinking about it. response:	Are you sure it's okay if I come?
context: Later.\Bye.\Come on, Kana, go make up with Chiaki.\O-Okay.\Ch-Ch\Chiaki, you guys are going to the beach with us, right?\I dunno, I'm thinking about it.\Are you sure it's okay if I come? response:	Why?
context: Bye.\Come on, Kana, go make up with Chiaki.\O-Okay.\Ch-Ch\Chiaki, you guys are going to the beach with us, right?\I dunno, I'm thinking about it.\Are you sure it's okay if I come?\Why? response:	Apparently, Takano's coming, too.
context: Come on, Kana, go make up with Chiaki.\O-Okay.\Ch-Ch\Chiaki, you guys are going to the beach with us, right?\I dunno, I'm thinking about it.\Are you sure it's okay if I come?\Why?\Apparently, Takano's coming, too. response:	Wouldn't it get awkward if I came?
context: O-Okay.\Ch-Ch\Chiaki, you guys are going to the beach with us, right?\I dunno, I'm thinking about it.\Are you sure it's okay if I come?\Why?\Apparently, Takano's coming, too.\Wouldn't it get awkward if I came? response:	I thrive on that awkwardness.
context: Ch-Ch\Chiaki, you guys are going to the beach with us, right?\I dunno, I'm thinking about it.\Are you sure it's okay if I come?\Why?\Apparently, Takano's coming, too.\Wouldn't it get awkward if I came?\I thrive on that awkwardness. response:	Sugawara-kun's not coming?
context: Chiaki, you guys are going to the beach with us, right?\I dunno, I'm thinking about it.\Are you sure it's okay if I come?\Why?\Apparently, Takano's coming, too.\Wouldn't it get awkward if I came?\I thrive on that awkwardness.\Sugawara-kun's not coming? response:	He doesn't know yet.
context: I dunno, I'm thinking about it.\Are you sure it's okay if I come?\Why?\Apparently, Takano's coming, too.\Wouldn't it get awkward if I came?\I thrive on that awkwardness.\Sugawara-kun's not coming?\He doesn't know yet. response:	He says it depends on his club.
context: Are you sure it's okay if I come?\Why?\Apparently, Takano's coming, too.\Wouldn't it get awkward if I came?\I thrive on that awkwardness.\Sugawara-kun's not coming?\He doesn't know yet.\He says it depends on his club. response:	Okay.
context: Why?\Apparently, Takano's coming, too.\Wouldn't it get awkward if I came?\I thrive on that awkwardness.\Sugawara-kun's not coming?\He doesn't know yet.\He says it depends on his club.\Okay. response:	So you two are coming for sure, right, Yo-chan? Chii-chan?
context: Apparently, Takano's coming, too.\Wouldn't it get awkward if I came?\I thrive on that awkwardness.\Sugawara-kun's not coming?\He doesn't know yet.\He says it depends on his club.\Okay.\So you two are coming for sure, right, Yo-chan? Chii-chan? response:	Yup.
context: Wouldn't it get awkward if I came?\I thrive on that awkwardness.\Sugawara-kun's not coming?\He doesn't know yet.\He says it depends on his club.\Okay.\So you two are coming for sure, right, Yo-chan? Chii-chan?\Yup. response:	What should I do?
context: I thrive on that awkwardness.\Sugawara-kun's not coming?\He doesn't know yet.\He says it depends on his club.\Okay.\So you two are coming for sure, right, Yo-chan? Chii-chan?\Yup.\What should I do? response:	It'll be weird trying to meet Chiaki once summer break starts.
context: Sugawara-kun's not coming?\He doesn't know yet.\He says it depends on his club.\Okay.\So you two are coming for sure, right, Yo-chan? Chii-chan?\Yup.\What should I do?\It'll be weird trying to meet Chiaki once summer break starts. response:	Uchimura Chiaki
context: He doesn't know yet.\He says it depends on his club.\Okay.\So you two are coming for sure, right, Yo-chan? Chii-chan?\Yup.\What should I do?\It'll be weird trying to meet Chiaki once summer break starts.\Uchimura Chiaki response:	Today
