context: Oh, so this is the beach in this world! response:	With all these people here,
context: What do you think, Shouta?\I-I don't where to look...\This is reassuring.\That doesn't make me happy to hear at all.\Excuse me, ma'am.\Yes?\Could you come with me? Your swimsuit is too skimpy.\Huh? Um, hey! response:	Well, that's to be expected.
context: I-I don't where to look...\This is reassuring.\That doesn't make me happy to hear at all.\Excuse me, ma'am.\Yes?\Could you come with me? Your swimsuit is too skimpy.\Huh? Um, hey!\Well, that's to be expected. response:	I'm finally back.
context: This is reassuring.\That doesn't make me happy to hear at all.\Excuse me, ma'am.\Yes?\Could you come with me? Your swimsuit is too skimpy.\Huh? Um, hey!\Well, that's to be expected.\I'm finally back. response:	You brought a spare swimsuit?
context: That doesn't make me happy to hear at all.\Excuse me, ma'am.\Yes?\Could you come with me? Your swimsuit is too skimpy.\Huh? Um, hey!\Well, that's to be expected.\I'm finally back.\You brought a spare swimsuit? response:	It's my scales.
context: Excuse me, ma'am.\Yes?\Could you come with me? Your swimsuit is too skimpy.\Huh? Um, hey!\Well, that's to be expected.\I'm finally back.\You brought a spare swimsuit?\It's my scales. response:	Oh, that works for your swimsuits, too?
context: Yes?\Could you come with me? Your swimsuit is too skimpy.\Huh? Um, hey!\Well, that's to be expected.\I'm finally back.\You brought a spare swimsuit?\It's my scales.\Oh, that works for your swimsuits, too? response:	Yes, we looked them up on the internet!
context: Could you come with me? Your swimsuit is too skimpy.\Huh? Um, hey!\Well, that's to be expected.\I'm finally back.\You brought a spare swimsuit?\It's my scales.\Oh, that works for your swimsuits, too?\Yes, we looked them up on the internet! response:	Nice, aren't they?
context: Huh? Um, hey!\Well, that's to be expected.\I'm finally back.\You brought a spare swimsuit?\It's my scales.\Oh, that works for your swimsuits, too?\Yes, we looked them up on the internet!\Nice, aren't they? response:	I'm more envious of what's filling out that swimsuit though.
context: Well, that's to be expected.\I'm finally back.\You brought a spare swimsuit?\It's my scales.\Oh, that works for your swimsuits, too?\Yes, we looked them up on the internet!\Nice, aren't they?\I'm more envious of what's filling out that swimsuit though. response:	I want to play now.
context: I'm finally back.\You brought a spare swimsuit?\It's my scales.\Oh, that works for your swimsuits, too?\Yes, we looked them up on the internet!\Nice, aren't they?\I'm more envious of what's filling out that swimsuit though.\I want to play now. response:	Right, let's go play!
context: You brought a spare swimsuit?\It's my scales.\Oh, that works for your swimsuits, too?\Yes, we looked them up on the internet!\Nice, aren't they?\I'm more envious of what's filling out that swimsuit though.\I want to play now.\Right, let's go play! response:	Miss Kobayashi, what will you do?
context: It's my scales.\Oh, that works for your swimsuits, too?\Yes, we looked them up on the internet!\Nice, aren't they?\I'm more envious of what's filling out that swimsuit though.\I want to play now.\Right, let's go play!\Miss Kobayashi, what will you do? response:	Hmm, nothing much.
context: Oh, that works for your swimsuits, too?\Yes, we looked them up on the internet!\Nice, aren't they?\I'm more envious of what's filling out that swimsuit though.\I want to play now.\Right, let's go play!\Miss Kobayashi, what will you do?\Hmm, nothing much. response:	What's the matter, Miss Kobayashi?
context: Yes, we looked them up on the internet!\Nice, aren't they?\I'm more envious of what's filling out that swimsuit though.\I want to play now.\Right, let's go play!\Miss Kobayashi, what will you do?\Hmm, nothing much.\What's the matter, Miss Kobayashi? response:	You haven't been very excited all day.
context: Nice, aren't they?\I'm more envious of what's filling out that swimsuit though.\I want to play now.\Right, let's go play!\Miss Kobayashi, what will you do?\Hmm, nothing much.\What's the matter, Miss Kobayashi?\You haven't been very excited all day. response:	To be honest, I'm not a big fan of the beach.
context: I'm more envious of what's filling out that swimsuit though.\I want to play now.\Right, let's go play!\Miss Kobayashi, what will you do?\Hmm, nothing much.\What's the matter, Miss Kobayashi?\You haven't been very excited all day.\To be honest, I'm not a big fan of the beach. response:	Huh?!
context: I want to play now.\Right, let's go play!\Miss Kobayashi, what will you do?\Hmm, nothing much.\What's the matter, Miss Kobayashi?\You haven't been very excited all day.\To be honest, I'm not a big fan of the beach.\Huh?! response:	That's too honest.
context: Right, let's go play!\Miss Kobayashi, what will you do?\Hmm, nothing much.\What's the matter, Miss Kobayashi?\You haven't been very excited all day.\To be honest, I'm not a big fan of the beach.\Huh?!\That's too honest. response:	Well, it's hot, you get sunburned, and sand is annoying.
context: Miss Kobayashi, what will you do?\Hmm, nothing much.\What's the matter, Miss Kobayashi?\You haven't been very excited all day.\To be honest, I'm not a big fan of the beach.\Huh?!\That's too honest.\Well, it's hot, you get sunburned, and sand is annoying. response:	Same for me.
context: Hmm, nothing much.\What's the matter, Miss Kobayashi?\You haven't been very excited all day.\To be honest, I'm not a big fan of the beach.\Huh?!\That's too honest.\Well, it's hot, you get sunburned, and sand is annoying.\Same for me. response:	I prefer the indoors.
context: What's the matter, Miss Kobayashi?\You haven't been very excited all day.\To be honest, I'm not a big fan of the beach.\Huh?!\That's too honest.\Well, it's hot, you get sunburned, and sand is annoying.\Same for me.\I prefer the indoors. response:	Then why did you come with us today?
context: You haven't been very excited all day.\To be honest, I'm not a big fan of the beach.\Huh?!\That's too honest.\Well, it's hot, you get sunburned, and sand is annoying.\Same for me.\I prefer the indoors.\Then why did you come with us today? response:	Well...
context: To be honest, I'm not a big fan of the beach.\Huh?!\That's too honest.\Well, it's hot, you get sunburned, and sand is annoying.\Same for me.\I prefer the indoors.\Then why did you come with us today?\Well... response:	Because I don't have much else to do this summer.
context: Huh?!\That's too honest.\Well, it's hot, you get sunburned, and sand is annoying.\Same for me.\I prefer the indoors.\Then why did you come with us today?\Well...\Because I don't have much else to do this summer. response:	My manager asked me to look after Shouta-kun, too,
context: That's too honest.\Well, it's hot, you get sunburned, and sand is annoying.\Same for me.\I prefer the indoors.\Then why did you come with us today?\Well...\Because I don't have much else to do this summer.\My manager asked me to look after Shouta-kun, too, response:	so I figured going with everyone would be better.
context: Well, it's hot, you get sunburned, and sand is annoying.\Same for me.\I prefer the indoors.\Then why did you come with us today?\Well...\Because I don't have much else to do this summer.\My manager asked me to look after Shouta-kun, too,\so I figured going with everyone would be better. response:	Oh, I know what's going on here!
context: Same for me.\I prefer the indoors.\Then why did you come with us today?\Well...\Because I don't have much else to do this summer.\My manager asked me to look after Shouta-kun, too,\so I figured going with everyone would be better.\Oh, I know what's going on here! response:	That tsundere thing, right?!
context: I prefer the indoors.\Then why did you come with us today?\Well...\Because I don't have much else to do this summer.\My manager asked me to look after Shouta-kun, too,\so I figured going with everyone would be better.\Oh, I know what's going on here!\That tsundere thing, right?! response:	Completely different.
context: Then why did you come with us today?\Well...\Because I don't have much else to do this summer.\My manager asked me to look after Shouta-kun, too,\so I figured going with everyone would be better.\Oh, I know what's going on here!\That tsundere thing, right?!\Completely different. response:	I want to play now.
context: Well...\Because I don't have much else to do this summer.\My manager asked me to look after Shouta-kun, too,\so I figured going with everyone would be better.\Oh, I know what's going on here!\That tsundere thing, right?!\Completely different.\I want to play now. response:	Oh, right.
context: Because I don't have much else to do this summer.\My manager asked me to look after Shouta-kun, too,\so I figured going with everyone would be better.\Oh, I know what's going on here!\That tsundere thing, right?!\Completely different.\I want to play now.\Oh, right. response:	Then, uh...
context: My manager asked me to look after Shouta-kun, too,\so I figured going with everyone would be better.\Oh, I know what's going on here!\That tsundere thing, right?!\Completely different.\I want to play now.\Oh, right.\Then, uh... response:	First, let's put on sunscreen!
context: so I figured going with everyone would be better.\Oh, I know what's going on here!\That tsundere thing, right?!\Completely different.\I want to play now.\Oh, right.\Then, uh...\First, let's put on sunscreen! response:	What an inferior species,
context: Oh, I know what's going on here!\That tsundere thing, right?!\Completely different.\I want to play now.\Oh, right.\Then, uh...\First, let's put on sunscreen!\What an inferior species, response:	having skin that gets damaged if you don't coat yourselves in such a thing.
context: That tsundere thing, right?!\Completely different.\I want to play now.\Oh, right.\Then, uh...\First, let's put on sunscreen!\What an inferior species,\having skin that gets damaged if you don't coat yourselves in such a thing. response:	Now, here I go, Miss Kobayashi!
context: Completely different.\I want to play now.\Oh, right.\Then, uh...\First, let's put on sunscreen!\What an inferior species,\having skin that gets damaged if you don't coat yourselves in such a thing.\Now, here I go, Miss Kobayashi! response:	Do anything weird and you're fired.
context: I want to play now.\Oh, right.\Then, uh...\First, let's put on sunscreen!\What an inferior species,\having skin that gets damaged if you don't coat yourselves in such a thing.\Now, here I go, Miss Kobayashi!\Do anything weird and you're fired. response:	Yes.
context: Oh, right.\Then, uh...\First, let's put on sunscreen!\What an inferior species,\having skin that gets damaged if you don't coat yourselves in such a thing.\Now, here I go, Miss Kobayashi!\Do anything weird and you're fired.\Yes. response:	Well, Shouta, could you?
context: Then, uh...\First, let's put on sunscreen!\What an inferior species,\having skin that gets damaged if you don't coat yourselves in such a thing.\Now, here I go, Miss Kobayashi!\Do anything weird and you're fired.\Yes.\Well, Shouta, could you? response:	There. Go ahead.
context: First, let's put on sunscreen!\What an inferior species,\having skin that gets damaged if you don't coat yourselves in such a thing.\Now, here I go, Miss Kobayashi!\Do anything weird and you're fired.\Yes.\Well, Shouta, could you?\There. Go ahead. response:	Come on.
context: What an inferior species,\having skin that gets damaged if you don't coat yourselves in such a thing.\Now, here I go, Miss Kobayashi!\Do anything weird and you're fired.\Yes.\Well, Shouta, could you?\There. Go ahead.\Come on. response:	I-I can't!
context: having skin that gets damaged if you don't coat yourselves in such a thing.\Now, here I go, Miss Kobayashi!\Do anything weird and you're fired.\Yes.\Well, Shouta, could you?\There. Go ahead.\Come on.\I-I can't! response:	I see.
context: Now, here I go, Miss Kobayashi!\Do anything weird and you're fired.\Yes.\Well, Shouta, could you?\There. Go ahead.\Come on.\I-I can't!\I see. response:	Switch, then.
context: Do anything weird and you're fired.\Yes.\Well, Shouta, could you?\There. Go ahead.\Come on.\I-I can't!\I see.\Switch, then. response:	Well, Shouta?
context: Yes.\Well, Shouta, could you?\There. Go ahead.\Come on.\I-I can't!\I see.\Switch, then.\Well, Shouta? response:	W-Well what?
context: Well, Shouta, could you?\There. Go ahead.\Come on.\I-I can't!\I see.\Switch, then.\Well, Shouta?\W-Well what? response:	Am I coating you right?
context: There. Go ahead.\Come on.\I-I can't!\I see.\Switch, then.\Well, Shouta?\W-Well what?\Am I coating you right? response:	You really are a demon, aren't you?
context: Come on.\I-I can't!\I see.\Switch, then.\Well, Shouta?\W-Well what?\Am I coating you right?\You really are a demon, aren't you? response:	Huh?!
context: I-I can't!\I see.\Switch, then.\Well, Shouta?\W-Well what?\Am I coating you right?\You really are a demon, aren't you?\Huh?! response:	Why are you trying to seduce me?!
context: I see.\Switch, then.\Well, Shouta?\W-Well what?\Am I coating you right?\You really are a demon, aren't you?\Huh?!\Why are you trying to seduce me?! response:	Miss Lucoa, why don't you just try being a demon?
context: Switch, then.\Well, Shouta?\W-Well what?\Am I coating you right?\You really are a demon, aren't you?\Huh?!\Why are you trying to seduce me?!\Miss Lucoa, why don't you just try being a demon? response:	I want to play now.
context: Well, Shouta?\W-Well what?\Am I coating you right?\You really are a demon, aren't you?\Huh?!\Why are you trying to seduce me?!\Miss Lucoa, why don't you just try being a demon?\I want to play now. response:	Next is watermelon splitting.
context: W-Well what?\Am I coating you right?\You really are a demon, aren't you?\Huh?!\Why are you trying to seduce me?!\Miss Lucoa, why don't you just try being a demon?\I want to play now.\Next is watermelon splitting. response:	I'm in.
context: Am I coating you right?\You really are a demon, aren't you?\Huh?!\Why are you trying to seduce me?!\Miss Lucoa, why don't you just try being a demon?\I want to play now.\Next is watermelon splitting.\I'm in. response:	Further right!
context: You really are a demon, aren't you?\Huh?!\Why are you trying to seduce me?!\Miss Lucoa, why don't you just try being a demon?\I want to play now.\Next is watermelon splitting.\I'm in.\Further right! response:	Ah, you went too far. A little left!
context: Huh?!\Why are you trying to seduce me?!\Miss Lucoa, why don't you just try being a demon?\I want to play now.\Next is watermelon splitting.\I'm in.\Further right!\Ah, you went too far. A little left! response:	Yes, yes, now just go straight.
context: Why are you trying to seduce me?!\Miss Lucoa, why don't you just try being a demon?\I want to play now.\Next is watermelon splitting.\I'm in.\Further right!\Ah, you went too far. A little left!\Yes, yes, now just go straight. response:	Okay, stop.
context: Miss Lucoa, why don't you just try being a demon?\I want to play now.\Next is watermelon splitting.\I'm in.\Further right!\Ah, you went too far. A little left!\Yes, yes, now just go straight.\Okay, stop. response:	Yay.
context: I want to play now.\Next is watermelon splitting.\I'm in.\Further right!\Ah, you went too far. A little left!\Yes, yes, now just go straight.\Okay, stop.\Yay. response:	Impressive, Kanna!
context: Next is watermelon splitting.\I'm in.\Further right!\Ah, you went too far. A little left!\Yes, yes, now just go straight.\Okay, stop.\Yay.\Impressive, Kanna! response:	You obliterated every last trace of it.
context: I'm in.\Further right!\Ah, you went too far. A little left!\Yes, yes, now just go straight.\Okay, stop.\Yay.\Impressive, Kanna!\You obliterated every last trace of it. response:	Yeah, oh well.
context: Further right!\Ah, you went too far. A little left!\Yes, yes, now just go straight.\Okay, stop.\Yay.\Impressive, Kanna!\You obliterated every last trace of it.\Yeah, oh well. response:	I want to swim!
context: Ah, you went too far. A little left!\Yes, yes, now just go straight.\Okay, stop.\Yay.\Impressive, Kanna!\You obliterated every last trace of it.\Yeah, oh well.\I want to swim! response:	Sure, let's go!
context: Yes, yes, now just go straight.\Okay, stop.\Yay.\Impressive, Kanna!\You obliterated every last trace of it.\Yeah, oh well.\I want to swim!\Sure, let's go! response:	Don't go too far out.
context: Okay, stop.\Yay.\Impressive, Kanna!\You obliterated every last trace of it.\Yeah, oh well.\I want to swim!\Sure, let's go!\Don't go too far out. response:	Why not?
context: Yay.\Impressive, Kanna!\You obliterated every last trace of it.\Yeah, oh well.\I want to swim!\Sure, let's go!\Don't go too far out.\Why not? response:	It's dangerous.
context: Impressive, Kanna!\You obliterated every last trace of it.\Yeah, oh well.\I want to swim!\Sure, let's go!\Don't go too far out.\Why not?\It's dangerous. response:	Oh, you're right. He is scary, that Leviathan.
context: You obliterated every last trace of it.\Yeah, oh well.\I want to swim!\Sure, let's go!\Don't go too far out.\Why not?\It's dangerous.\Oh, you're right. He is scary, that Leviathan. response:	That one time I was nearly killed really was a disaster.
context: Yeah, oh well.\I want to swim!\Sure, let's go!\Don't go too far out.\Why not?\It's dangerous.\Oh, you're right. He is scary, that Leviathan.\That one time I was nearly killed really was a disaster. response:	What did you do?
context: I want to swim!\Sure, let's go!\Don't go too far out.\Why not?\It's dangerous.\Oh, you're right. He is scary, that Leviathan.\That one time I was nearly killed really was a disaster.\What did you do? response:	I saw him from behind and mistook him for Rahab when calling out to him.
context: Sure, let's go!\Don't go too far out.\Why not?\It's dangerous.\Oh, you're right. He is scary, that Leviathan.\That one time I was nearly killed really was a disaster.\What did you do?\I saw him from behind and mistook him for Rahab when calling out to him. response:	Why you! I'll kill you!
context: Don't go too far out.\Why not?\It's dangerous.\Oh, you're right. He is scary, that Leviathan.\That one time I was nearly killed really was a disaster.\What did you do?\I saw him from behind and mistook him for Rahab when calling out to him.\Why you! I'll kill you! response:	Well, no, it's because no one can help you if you start to drown.
context: Why not?\It's dangerous.\Oh, you're right. He is scary, that Leviathan.\That one time I was nearly killed really was a disaster.\What did you do?\I saw him from behind and mistook him for Rahab when calling out to him.\Why you! I'll kill you!\Well, no, it's because no one can help you if you start to drown. response:	Oh yeah, you humans can't breathe under water, can you?
context: It's dangerous.\Oh, you're right. He is scary, that Leviathan.\That one time I was nearly killed really was a disaster.\What did you do?\I saw him from behind and mistook him for Rahab when calling out to him.\Why you! I'll kill you!\Well, no, it's because no one can help you if you start to drown.\Oh yeah, you humans can't breathe under water, can you? response:	What an inferior species.
context: Oh, you're right. He is scary, that Leviathan.\That one time I was nearly killed really was a disaster.\What did you do?\I saw him from behind and mistook him for Rahab when calling out to him.\Why you! I'll kill you!\Well, no, it's because no one can help you if you start to drown.\Oh yeah, you humans can't breathe under water, can you?\What an inferior species. response:	You can, Tohru?
context: That one time I was nearly killed really was a disaster.\What did you do?\I saw him from behind and mistook him for Rahab when calling out to him.\Why you! I'll kill you!\Well, no, it's because no one can help you if you start to drown.\Oh yeah, you humans can't breathe under water, can you?\What an inferior species.\You can, Tohru? response:	I can. Swimming to my heart's content feels really good.
context: What did you do?\I saw him from behind and mistook him for Rahab when calling out to him.\Why you! I'll kill you!\Well, no, it's because no one can help you if you start to drown.\Oh yeah, you humans can't breathe under water, can you?\What an inferior species.\You can, Tohru?\I can. Swimming to my heart's content feels really good. response:	Does she have gills or something?
context: I saw him from behind and mistook him for Rahab when calling out to him.\Why you! I'll kill you!\Well, no, it's because no one can help you if you start to drown.\Oh yeah, you humans can't breathe under water, can you?\What an inferior species.\You can, Tohru?\I can. Swimming to my heart's content feels really good.\Does she have gills or something? response:	Lady Tohru, let's race to there.
context: Why you! I'll kill you!\Well, no, it's because no one can help you if you start to drown.\Oh yeah, you humans can't breathe under water, can you?\What an inferior species.\You can, Tohru?\I can. Swimming to my heart's content feels really good.\Does she have gills or something?\Lady Tohru, let's race to there. response:	You're on.
context: Well, no, it's because no one can help you if you start to drown.\Oh yeah, you humans can't breathe under water, can you?\What an inferior species.\You can, Tohru?\I can. Swimming to my heart's content feels really good.\Does she have gills or something?\Lady Tohru, let's race to there.\You're on. response:	Miss Kobayashi, please give us the signal!
context: Oh yeah, you humans can't breathe under water, can you?\What an inferior species.\You can, Tohru?\I can. Swimming to my heart's content feels really good.\Does she have gills or something?\Lady Tohru, let's race to there.\You're on.\Miss Kobayashi, please give us the signal! response:	Sure.
context: What an inferior species.\You can, Tohru?\I can. Swimming to my heart's content feels really good.\Does she have gills or something?\Lady Tohru, let's race to there.\You're on.\Miss Kobayashi, please give us the signal!\Sure. response:	On your marks,
context: You can, Tohru?\I can. Swimming to my heart's content feels really good.\Does she have gills or something?\Lady Tohru, let's race to there.\You're on.\Miss Kobayashi, please give us the signal!\Sure.\On your marks, response:	ready,
context: I can. Swimming to my heart's content feels really good.\Does she have gills or something?\Lady Tohru, let's race to there.\You're on.\Miss Kobayashi, please give us the signal!\Sure.\On your marks,\ready, response:	go!
context: Does she have gills or something?\Lady Tohru, let's race to there.\You're on.\Miss Kobayashi, please give us the signal!\Sure.\On your marks,\ready,\go! response:	Ah, I forgot to tell them to hold back.
context: Lady Tohru, let's race to there.\You're on.\Miss Kobayashi, please give us the signal!\Sure.\On your marks,\ready,\go!\Ah, I forgot to tell them to hold back. response:	Not bad, Kanna.
context: You're on.\Miss Kobayashi, please give us the signal!\Sure.\On your marks,\ready,\go!\Ah, I forgot to tell them to hold back.\Not bad, Kanna. response:	Impressive, Lady Tohru.
context: Miss Kobayashi, please give us the signal!\Sure.\On your marks,\ready,\go!\Ah, I forgot to tell them to hold back.\Not bad, Kanna.\Impressive, Lady Tohru. response:	First!
context: Sure.\On your marks,\ready,\go!\Ah, I forgot to tell them to hold back.\Not bad, Kanna.\Impressive, Lady Tohru.\First! response:	You went overboard.
context: On your marks,\ready,\go!\Ah, I forgot to tell them to hold back.\Not bad, Kanna.\Impressive, Lady Tohru.\First!\You went overboard. response:	I'm sorry.
context: ready,\go!\Ah, I forgot to tell them to hold back.\Not bad, Kanna.\Impressive, Lady Tohru.\First!\You went overboard.\I'm sorry. response:	Well, I guess it's time for lunch.
context: go!\Ah, I forgot to tell them to hold back.\Not bad, Kanna.\Impressive, Lady Tohru.\First!\You went overboard.\I'm sorry.\Well, I guess it's time for lunch. response:	Okay!
context: Ah, I forgot to tell them to hold back.\Not bad, Kanna.\Impressive, Lady Tohru.\First!\You went overboard.\I'm sorry.\Well, I guess it's time for lunch.\Okay! response:	Ocean
context: Not bad, Kanna.\Impressive, Lady Tohru.\First!\You went overboard.\I'm sorry.\Well, I guess it's time for lunch.\Okay!\Ocean response:	Beach Hut
context: Impressive, Lady Tohru.\First!\You went overboard.\I'm sorry.\Well, I guess it's time for lunch.\Okay!\Ocean\Beach Hut response:	Food Shaved Ice
context: First!\You went overboard.\I'm sorry.\Well, I guess it's time for lunch.\Okay!\Ocean\Beach Hut\Food Shaved Ice response:	Thanks for the meal!
context: You went overboard.\I'm sorry.\Well, I guess it's time for lunch.\Okay!\Ocean\Beach Hut\Food Shaved Ice\Thanks for the meal! response:	What's next?
context: I'm sorry.\Well, I guess it's time for lunch.\Okay!\Ocean\Beach Hut\Food Shaved Ice\Thanks for the meal!\What's next? response:	Well... Miss Kobayashi...?
context: Well, I guess it's time for lunch.\Okay!\Ocean\Beach Hut\Food Shaved Ice\Thanks for the meal!\What's next?\Well... Miss Kobayashi...? response:	What's wrong, Miss Kobayashi?
context: Okay!\Ocean\Beach Hut\Food Shaved Ice\Thanks for the meal!\What's next?\Well... Miss Kobayashi...?\What's wrong, Miss Kobayashi? response:	Nothing. I just noticed that old man hasn't changed much since back then.
context: Ocean\Beach Hut\Food Shaved Ice\Thanks for the meal!\What's next?\Well... Miss Kobayashi...?\What's wrong, Miss Kobayashi?\Nothing. I just noticed that old man hasn't changed much since back then. response:	Strawberry Melon Lemon Blue Hawaii
context: Beach Hut\Food Shaved Ice\Thanks for the meal!\What's next?\Well... Miss Kobayashi...?\What's wrong, Miss Kobayashi?\Nothing. I just noticed that old man hasn't changed much since back then.\Strawberry Melon Lemon Blue Hawaii response:	Back then?
context: Food Shaved Ice\Thanks for the meal!\What's next?\Well... Miss Kobayashi...?\What's wrong, Miss Kobayashi?\Nothing. I just noticed that old man hasn't changed much since back then.\Strawberry Melon Lemon Blue Hawaii\Back then? response:	Yeah. When I was still a kid, I came here with my family.
context: Thanks for the meal!\What's next?\Well... Miss Kobayashi...?\What's wrong, Miss Kobayashi?\Nothing. I just noticed that old man hasn't changed much since back then.\Strawberry Melon Lemon Blue Hawaii\Back then?\Yeah. When I was still a kid, I came here with my family. response:	Family...
context: What's next?\Well... Miss Kobayashi...?\What's wrong, Miss Kobayashi?\Nothing. I just noticed that old man hasn't changed much since back then.\Strawberry Melon Lemon Blue Hawaii\Back then?\Yeah. When I was still a kid, I came here with my family.\Family... response:	Kill them! Kill them! Kill them!
context: Well... Miss Kobayashi...?\What's wrong, Miss Kobayashi?\Nothing. I just noticed that old man hasn't changed much since back then.\Strawberry Melon Lemon Blue Hawaii\Back then?\Yeah. When I was still a kid, I came here with my family.\Family...\Kill them! Kill them! Kill them! response:	What's the matter?
context: What's wrong, Miss Kobayashi?\Nothing. I just noticed that old man hasn't changed much since back then.\Strawberry Melon Lemon Blue Hawaii\Back then?\Yeah. When I was still a kid, I came here with my family.\Family...\Kill them! Kill them! Kill them!\What's the matter? response:	Nothing.
context: Nothing. I just noticed that old man hasn't changed much since back then.\Strawberry Melon Lemon Blue Hawaii\Back then?\Yeah. When I was still a kid, I came here with my family.\Family...\Kill them! Kill them! Kill them!\What's the matter?\Nothing. response:	Miss Kobayashi?
context: Strawberry Melon Lemon Blue Hawaii\Back then?\Yeah. When I was still a kid, I came here with my family.\Family...\Kill them! Kill them! Kill them!\What's the matter?\Nothing.\Miss Kobayashi? response:	Hmm?
context: Back then?\Yeah. When I was still a kid, I came here with my family.\Family...\Kill them! Kill them! Kill them!\What's the matter?\Nothing.\Miss Kobayashi?\Hmm? response:	Could you tell me more about your family?
context: Yeah. When I was still a kid, I came here with my family.\Family...\Kill them! Kill them! Kill them!\What's the matter?\Nothing.\Miss Kobayashi?\Hmm?\Could you tell me more about your family? response:	Huh?
context: Family...\Kill them! Kill them! Kill them!\What's the matter?\Nothing.\Miss Kobayashi?\Hmm?\Could you tell me more about your family?\Huh? response:	Please?
context: Kill them! Kill them! Kill them!\What's the matter?\Nothing.\Miss Kobayashi?\Hmm?\Could you tell me more about your family?\Huh?\Please? response:	Well...
context: What's the matter?\Nothing.\Miss Kobayashi?\Hmm?\Could you tell me more about your family?\Huh?\Please?\Well... response:	I think it was a normal family.
context: Nothing.\Miss Kobayashi?\Hmm?\Could you tell me more about your family?\Huh?\Please?\Well...\I think it was a normal family. response:	I was raised normally.
context: Miss Kobayashi?\Hmm?\Could you tell me more about your family?\Huh?\Please?\Well...\I think it was a normal family.\I was raised normally. response:	They had me go to college.
context: Hmm?\Could you tell me more about your family?\Huh?\Please?\Well...\I think it was a normal family.\I was raised normally.\They had me go to college. response:	After that, I left home to work.
context: Could you tell me more about your family?\Huh?\Please?\Well...\I think it was a normal family.\I was raised normally.\They had me go to college.\After that, I left home to work. response:	Every now and then I talk to my parents on the phone to tell them how I'm doing.
context: Huh?\Please?\Well...\I think it was a normal family.\I was raised normally.\They had me go to college.\After that, I left home to work.\Every now and then I talk to my parents on the phone to tell them how I'm doing. response:	Oh, I haven't seen them in a while.
context: Please?\Well...\I think it was a normal family.\I was raised normally.\They had me go to college.\After that, I left home to work.\Every now and then I talk to my parents on the phone to tell them how I'm doing.\Oh, I haven't seen them in a while. response:	That's a normal human family?
