context: Oh, no! response:	Not only has Jellal been resurrected, but the seal on Nirvana has...
context: I knew it! Gray!\What the hell are you doing here?\What happened to the speedy one?\Hey!\Damn it... I'm in a hurry here!\Wake up, idiot!\Gray...\Gray? response:	On a raft?!
context: What the hell are you doing here?\What happened to the speedy one?\Hey!\Damn it... I'm in a hurry here!\Wake up, idiot!\Gray...\Gray?\On a raft?! response:	Looks like you fell for it, Natsu.
context: What happened to the speedy one?\Hey!\Damn it... I'm in a hurry here!\Wake up, idiot!\Gray...\Gray?\On a raft?!\Looks like you fell for it, Natsu. response:	Your weak point really is transportation.
context: Hey!\Damn it... I'm in a hurry here!\Wake up, idiot!\Gray...\Gray?\On a raft?!\Looks like you fell for it, Natsu.\Your weak point really is transportation. response:	So how do you like the feeling of riding a raft bobbing up and down...
context: Damn it... I'm in a hurry here!\Wake up, idiot!\Gray...\Gray?\On a raft?!\Looks like you fell for it, Natsu.\Your weak point really is transportation.\So how do you like the feeling of riding a raft bobbing up and down... response:	You're... not...
context: Wake up, idiot!\Gray...\Gray?\On a raft?!\Looks like you fell for it, Natsu.\Your weak point really is transportation.\So how do you like the feeling of riding a raft bobbing up and down...\You're... not... response:	Shut up! Hurry up and kick the bucket, you slant-eyed, seasick bastard!
context: Gray...\Gray?\On a raft?!\Looks like you fell for it, Natsu.\Your weak point really is transportation.\So how do you like the feeling of riding a raft bobbing up and down...\You're... not...\Shut up! Hurry up and kick the bucket, you slant-eyed, seasick bastard! response:	Or something like that...
context: Gray?\On a raft?!\Looks like you fell for it, Natsu.\Your weak point really is transportation.\So how do you like the feeling of riding a raft bobbing up and down...\You're... not...\Shut up! Hurry up and kick the bucket, you slant-eyed, seasick bastard!\Or something like that... response:	The usual battle between us two...
context: On a raft?!\Looks like you fell for it, Natsu.\Your weak point really is transportation.\So how do you like the feeling of riding a raft bobbing up and down...\You're... not...\Shut up! Hurry up and kick the bucket, you slant-eyed, seasick bastard!\Or something like that...\The usual battle between us two... response:	Who's there?
context: Looks like you fell for it, Natsu.\Your weak point really is transportation.\So how do you like the feeling of riding a raft bobbing up and down...\You're... not...\Shut up! Hurry up and kick the bucket, you slant-eyed, seasick bastard!\Or something like that...\The usual battle between us two...\Who's there? response:	What are you doing, Gray?
context: Your weak point really is transportation.\So how do you like the feeling of riding a raft bobbing up and down...\You're... not...\Shut up! Hurry up and kick the bucket, you slant-eyed, seasick bastard!\Or something like that...\The usual battle between us two...\Who's there?\What are you doing, Gray? response:	It's us!
context: So how do you like the feeling of riding a raft bobbing up and down...\You're... not...\Shut up! Hurry up and kick the bucket, you slant-eyed, seasick bastard!\Or something like that...\The usual battle between us two...\Who's there?\What are you doing, Gray?\It's us! response:	As it were, moshimoshi!
context: You're... not...\Shut up! Hurry up and kick the bucket, you slant-eyed, seasick bastard!\Or something like that...\The usual battle between us two...\Who's there?\What are you doing, Gray?\It's us!\As it were, moshimoshi! response:	L-Lucy...
context: Shut up! Hurry up and kick the bucket, you slant-eyed, seasick bastard!\Or something like that...\The usual battle between us two...\Who's there?\What are you doing, Gray?\It's us!\As it were, moshimoshi!\L-Lucy... response:	Would you try and refrain from hurling after saying my name?
context: Or something like that...\The usual battle between us two...\Who's there?\What are you doing, Gray?\It's us!\As it were, moshimoshi!\L-Lucy...\Would you try and refrain from hurling after saying my name? response:	Moshimoshi.
context: The usual battle between us two...\Who's there?\What are you doing, Gray?\It's us!\As it were, moshimoshi!\L-Lucy...\Would you try and refrain from hurling after saying my name?\Moshimoshi. response:	Anyway, that's horrible! You're going too far, Gray!
context: Who's there?\What are you doing, Gray?\It's us!\As it were, moshimoshi!\L-Lucy...\Would you try and refrain from hurling after saying my name?\Moshimoshi.\Anyway, that's horrible! You're going too far, Gray! response:	Unless he stole your fish or something, then it's okay!
context: What are you doing, Gray?\It's us!\As it were, moshimoshi!\L-Lucy...\Would you try and refrain from hurling after saying my name?\Moshimoshi.\Anyway, that's horrible! You're going too far, Gray!\Unless he stole your fish or something, then it's okay! response:	Even then, I don't think so.
context: It's us!\As it were, moshimoshi!\L-Lucy...\Would you try and refrain from hurling after saying my name?\Moshimoshi.\Anyway, that's horrible! You're going too far, Gray!\Unless he stole your fish or something, then it's okay!\Even then, I don't think so. response:	Shut up, jerks.
context: As it were, moshimoshi!\L-Lucy...\Would you try and refrain from hurling after saying my name?\Moshimoshi.\Anyway, that's horrible! You're going too far, Gray!\Unless he stole your fish or something, then it's okay!\Even then, I don't think so.\Shut up, jerks. response:	You're annoying.
context: L-Lucy...\Would you try and refrain from hurling after saying my name?\Moshimoshi.\Anyway, that's horrible! You're going too far, Gray!\Unless he stole your fish or something, then it's okay!\Even then, I don't think so.\Shut up, jerks.\You're annoying. response:	I'll get to you after I finish this guy off, so don't get in my way!
context: Would you try and refrain from hurling after saying my name?\Moshimoshi.\Anyway, that's horrible! You're going too far, Gray!\Unless he stole your fish or something, then it's okay!\Even then, I don't think so.\Shut up, jerks.\You're annoying.\I'll get to you after I finish this guy off, so don't get in my way! response:	Gray...
context: Moshimoshi.\Anyway, that's horrible! You're going too far, Gray!\Unless he stole your fish or something, then it's okay!\Even then, I don't think so.\Shut up, jerks.\You're annoying.\I'll get to you after I finish this guy off, so don't get in my way!\Gray... response:	W-What is this? Could Gray have fallen into the darkness?
context: Anyway, that's horrible! You're going too far, Gray!\Unless he stole your fish or something, then it's okay!\Even then, I don't think so.\Shut up, jerks.\You're annoying.\I'll get to you after I finish this guy off, so don't get in my way!\Gray...\W-What is this? Could Gray have fallen into the darkness? response:	It's...
context: Unless he stole your fish or something, then it's okay!\Even then, I don't think so.\Shut up, jerks.\You're annoying.\I'll get to you after I finish this guy off, so don't get in my way!\Gray...\W-What is this? Could Gray have fallen into the darkness?\It's... response:	It's stopped, so get it together already!
context: Even then, I don't think so.\Shut up, jerks.\You're annoying.\I'll get to you after I finish this guy off, so don't get in my way!\Gray...\W-What is this? Could Gray have fallen into the darkness?\It's...\It's stopped, so get it together already! response:	Natsu, I'm coming to save you!
context: Shut up, jerks.\You're annoying.\I'll get to you after I finish this guy off, so don't get in my way!\Gray...\W-What is this? Could Gray have fallen into the darkness?\It's...\It's stopped, so get it together already!\Natsu, I'm coming to save you! response:	He-cat!
context: You're annoying.\I'll get to you after I finish this guy off, so don't get in my way!\Gray...\W-What is this? Could Gray have fallen into the darkness?\It's...\It's stopped, so get it together already!\Natsu, I'm coming to save you!\He-cat! response:	Happy, what are you doing?
context: I'll get to you after I finish this guy off, so don't get in my way!\Gray...\W-What is this? Could Gray have fallen into the darkness?\It's...\It's stopped, so get it together already!\Natsu, I'm coming to save you!\He-cat!\Happy, what are you doing? response:	Happy can fly in the sky. He can carry one person.
context: Gray...\W-What is this? Could Gray have fallen into the darkness?\It's...\It's stopped, so get it together already!\Natsu, I'm coming to save you!\He-cat!\Happy, what are you doing?\Happy can fly in the sky. He can carry one person. response:	He has no offensive abilities.
context: W-What is this? Could Gray have fallen into the darkness?\It's...\It's stopped, so get it together already!\Natsu, I'm coming to save you!\He-cat!\Happy, what are you doing?\Happy can fly in the sky. He can carry one person.\He has no offensive abilities. response:	Information gathering complete.
context: It's...\It's stopped, so get it together already!\Natsu, I'm coming to save you!\He-cat!\Happy, what are you doing?\Happy can fly in the sky. He can carry one person.\He has no offensive abilities.\Information gathering complete. response:	What are you saying, Gray? Wake up, already!
context: It's stopped, so get it together already!\Natsu, I'm coming to save you!\He-cat!\Happy, what are you doing?\Happy can fly in the sky. He can carry one person.\He has no offensive abilities.\Information gathering complete.\What are you saying, Gray? Wake up, already! response:	Is that how you become if you fall into darkness from Nirvana's influence?
context: Natsu, I'm coming to save you!\He-cat!\Happy, what are you doing?\Happy can fly in the sky. He can carry one person.\He has no offensive abilities.\Information gathering complete.\What are you saying, Gray? Wake up, already!\Is that how you become if you fall into darkness from Nirvana's influence? response:	Lucy as seen by Gray: A newcomer to the guild. Looks are very much to his liking.
context: He-cat!\Happy, what are you doing?\Happy can fly in the sky. He can carry one person.\He has no offensive abilities.\Information gathering complete.\What are you saying, Gray? Wake up, already!\Is that how you become if you fall into darkness from Nirvana's influence?\Lucy as seen by Gray: A newcomer to the guild. Looks are very much to his liking. response:	Somewhat interested in her.
context: Happy, what are you doing?\Happy can fly in the sky. He can carry one person.\He has no offensive abilities.\Information gathering complete.\What are you saying, Gray? Wake up, already!\Is that how you become if you fall into darkness from Nirvana's influence?\Lucy as seen by Gray: A newcomer to the guild. Looks are very much to his liking.\Somewhat interested in her. response:	W-What the heck?
context: Happy can fly in the sky. He can carry one person.\He has no offensive abilities.\Information gathering complete.\What are you saying, Gray? Wake up, already!\Is that how you become if you fall into darkness from Nirvana's influence?\Lucy as seen by Gray: A newcomer to the guild. Looks are very much to his liking.\Somewhat interested in her.\W-What the heck? response:	More naive than at first glance. A Celestial Spirit Wizard.
context: He has no offensive abilities.\Information gathering complete.\What are you saying, Gray? Wake up, already!\Is that how you become if you fall into darkness from Nirvana's influence?\Lucy as seen by Gray: A newcomer to the guild. Looks are very much to his liking.\Somewhat interested in her.\W-What the heck?\More naive than at first glance. A Celestial Spirit Wizard. response:	Spirits, eh?
context: Information gathering complete.\What are you saying, Gray? Wake up, already!\Is that how you become if you fall into darkness from Nirvana's influence?\Lucy as seen by Gray: A newcomer to the guild. Looks are very much to his liking.\Somewhat interested in her.\W-What the heck?\More naive than at first glance. A Celestial Spirit Wizard.\Spirits, eh? response:	Interesting!
context: What are you saying, Gray? Wake up, already!\Is that how you become if you fall into darkness from Nirvana's influence?\Lucy as seen by Gray: A newcomer to the guild. Looks are very much to his liking.\Somewhat interested in her.\W-What the heck?\More naive than at first glance. A Celestial Spirit Wizard.\Spirits, eh?\Interesting! response:	No... You aren't Gray-kun.
context: Is that how you become if you fall into darkness from Nirvana's influence?\Lucy as seen by Gray: A newcomer to the guild. Looks are very much to his liking.\Somewhat interested in her.\W-What the heck?\More naive than at first glance. A Celestial Spirit Wizard.\Spirits, eh?\Interesting!\No... You aren't Gray-kun. response:	Who are you?
context: Lucy as seen by Gray: A newcomer to the guild. Looks are very much to his liking.\Somewhat interested in her.\W-What the heck?\More naive than at first glance. A Celestial Spirit Wizard.\Spirits, eh?\Interesting!\No... You aren't Gray-kun.\Who are you? response:	Not Gray?
context: Somewhat interested in her.\W-What the heck?\More naive than at first glance. A Celestial Spirit Wizard.\Spirits, eh?\Interesting!\No... You aren't Gray-kun.\Who are you?\Not Gray? response:	A member of Blue Pegasus. Handsome.
context: W-What the heck?\More naive than at first glance. A Celestial Spirit Wizard.\Spirits, eh?\Interesting!\No... You aren't Gray-kun.\Who are you?\Not Gray?\A member of Blue Pegasus. Handsome. response:	Doesn't know the details.
context: More naive than at first glance. A Celestial Spirit Wizard.\Spirits, eh?\Interesting!\No... You aren't Gray-kun.\Who are you?\Not Gray?\A member of Blue Pegasus. Handsome.\Doesn't know the details. response:	Lack of information, huh?
context: Spirits, eh?\Interesting!\No... You aren't Gray-kun.\Who are you?\Not Gray?\A member of Blue Pegasus. Handsome.\Doesn't know the details.\Lack of information, huh? response:	He is acting strange, that's true.
context: Interesting!\No... You aren't Gray-kun.\Who are you?\Not Gray?\A member of Blue Pegasus. Handsome.\Doesn't know the details.\Lack of information, huh?\He is acting strange, that's true. response:	Is this the effect of Nirvana?
context: No... You aren't Gray-kun.\Who are you?\Not Gray?\A member of Blue Pegasus. Handsome.\Doesn't know the details.\Lack of information, huh?\He is acting strange, that's true.\Is this the effect of Nirvana? response:	That's right...
context: Who are you?\Not Gray?\A member of Blue Pegasus. Handsome.\Doesn't know the details.\Lack of information, huh?\He is acting strange, that's true.\Is this the effect of Nirvana?\That's right... response:	The people who fall into darkness are ones with feelings in the gap between good and evil...
context: Not Gray?\A member of Blue Pegasus. Handsome.\Doesn't know the details.\Lack of information, huh?\He is acting strange, that's true.\Is this the effect of Nirvana?\That's right...\The people who fall into darkness are ones with feelings in the gap between good and evil... response:	Gray isn't one to be moved so much by those kinds of feelings!
context: A member of Blue Pegasus. Handsome.\Doesn't know the details.\Lack of information, huh?\He is acting strange, that's true.\Is this the effect of Nirvana?\That's right...\The people who fall into darkness are ones with feelings in the gap between good and evil...\Gray isn't one to be moved so much by those kinds of feelings! response:	Who are you?
context: Doesn't know the details.\Lack of information, huh?\He is acting strange, that's true.\Is this the effect of Nirvana?\That's right...\The people who fall into darkness are ones with feelings in the gap between good and evil...\Gray isn't one to be moved so much by those kinds of feelings!\Who are you? response:	M-Me?
context: Lack of information, huh?\He is acting strange, that's true.\Is this the effect of Nirvana?\That's right...\The people who fall into darkness are ones with feelings in the gap between good and evil...\Gray isn't one to be moved so much by those kinds of feelings!\Who are you?\M-Me? response:	Are you dumb?
context: He is acting strange, that's true.\Is this the effect of Nirvana?\That's right...\The people who fall into darkness are ones with feelings in the gap between good and evil...\Gray isn't one to be moved so much by those kinds of feelings!\Who are you?\M-Me?\Are you dumb? response:	Even if you transform into Lucy-san, you aren't going to fool us.
context: Is this the effect of Nirvana?\That's right...\The people who fall into darkness are ones with feelings in the gap between good and evil...\Gray isn't one to be moved so much by those kinds of feelings!\Who are you?\M-Me?\Are you dumb?\Even if you transform into Lucy-san, you aren't going to fool us. response:	I wonder about that. Men like you have a weak spot for women, yes?
context: That's right...\The people who fall into darkness are ones with feelings in the gap between good and evil...\Gray isn't one to be moved so much by those kinds of feelings!\Who are you?\M-Me?\Are you dumb?\Even if you transform into Lucy-san, you aren't going to fool us.\I wonder about that. Men like you have a weak spot for women, yes? response:	Men...
context: The people who fall into darkness are ones with feelings in the gap between good and evil...\Gray isn't one to be moved so much by those kinds of feelings!\Who are you?\M-Me?\Are you dumb?\Even if you transform into Lucy-san, you aren't going to fool us.\I wonder about that. Men like you have a weak spot for women, yes?\Men... response:	B-Bobbing...
context: Gray isn't one to be moved so much by those kinds of feelings!\Who are you?\M-Me?\Are you dumb?\Even if you transform into Lucy-san, you aren't going to fool us.\I wonder about that. Men like you have a weak spot for women, yes?\Men...\B-Bobbing... response:	Indeed!
context: Who are you?\M-Me?\Are you dumb?\Even if you transform into Lucy-san, you aren't going to fool us.\I wonder about that. Men like you have a weak spot for women, yes?\Men...\B-Bobbing...\Indeed! response:	Cut it out with the boob bobbing ogling!
context: M-Me?\Are you dumb?\Even if you transform into Lucy-san, you aren't going to fool us.\I wonder about that. Men like you have a weak spot for women, yes?\Men...\B-Bobbing...\Indeed!\Cut it out with the boob bobbing ogling! response:	Honestly! What an uncouth wizard you are!
context: Are you dumb?\Even if you transform into Lucy-san, you aren't going to fool us.\I wonder about that. Men like you have a weak spot for women, yes?\Men...\B-Bobbing...\Indeed!\Cut it out with the boob bobbing ogling!\Honestly! What an uncouth wizard you are! response:	It's not me! It's that one! Although that's me! Argh, I don't know anymore!
context: Even if you transform into Lucy-san, you aren't going to fool us.\I wonder about that. Men like you have a weak spot for women, yes?\Men...\B-Bobbing...\Indeed!\Cut it out with the boob bobbing ogling!\Honestly! What an uncouth wizard you are!\It's not me! It's that one! Although that's me! Argh, I don't know anymore! response:	Spirit information gathering complete.
context: I wonder about that. Men like you have a weak spot for women, yes?\Men...\B-Bobbing...\Indeed!\Cut it out with the boob bobbing ogling!\Honestly! What an uncouth wizard you are!\It's not me! It's that one! Although that's me! Argh, I don't know anymore!\Spirit information gathering complete. response:	Oh, wow! You have quite a lot of keys.
context: Men...\B-Bobbing...\Indeed!\Cut it out with the boob bobbing ogling!\Honestly! What an uncouth wizard you are!\It's not me! It's that one! Although that's me! Argh, I don't know anymore!\Spirit information gathering complete.\Oh, wow! You have quite a lot of keys. response:	You've even had an audience with the Spirit King?
context: B-Bobbing...\Indeed!\Cut it out with the boob bobbing ogling!\Honestly! What an uncouth wizard you are!\It's not me! It's that one! Although that's me! Argh, I don't know anymore!\Spirit information gathering complete.\Oh, wow! You have quite a lot of keys.\You've even had an audience with the Spirit King? response:	And your magical power isn't anything to laugh at either.
context: Indeed!\Cut it out with the boob bobbing ogling!\Honestly! What an uncouth wizard you are!\It's not me! It's that one! Although that's me! Argh, I don't know anymore!\Spirit information gathering complete.\Oh, wow! You have quite a lot of keys.\You've even had an audience with the Spirit King?\And your magical power isn't anything to laugh at either. response:	Well, whatever. Sagittarius?
context: Cut it out with the boob bobbing ogling!\Honestly! What an uncouth wizard you are!\It's not me! It's that one! Although that's me! Argh, I don't know anymore!\Spirit information gathering complete.\Oh, wow! You have quite a lot of keys.\You've even had an audience with the Spirit King?\And your magical power isn't anything to laugh at either.\Well, whatever. Sagittarius? response:	If you please...
context: Honestly! What an uncouth wizard you are!\It's not me! It's that one! Although that's me! Argh, I don't know anymore!\Spirit information gathering complete.\Oh, wow! You have quite a lot of keys.\You've even had an audience with the Spirit King?\And your magical power isn't anything to laugh at either.\Well, whatever. Sagittarius?\If you please... response:	Moshimoshi?
context: It's not me! It's that one! Although that's me! Argh, I don't know anymore!\Spirit information gathering complete.\Oh, wow! You have quite a lot of keys.\You've even had an audience with the Spirit King?\And your magical power isn't anything to laugh at either.\Well, whatever. Sagittarius?\If you please...\Moshimoshi? response:	Sagittarius?
context: Spirit information gathering complete.\Oh, wow! You have quite a lot of keys.\You've even had an audience with the Spirit King?\And your magical power isn't anything to laugh at either.\Well, whatever. Sagittarius?\If you please...\Moshimoshi?\Sagittarius? response:	What is with this traitorous horse?
context: Oh, wow! You have quite a lot of keys.\You've even had an audience with the Spirit King?\And your magical power isn't anything to laugh at either.\Well, whatever. Sagittarius?\If you please...\Moshimoshi?\Sagittarius?\What is with this traitorous horse? response:	N-No, it's not me!
context: You've even had an audience with the Spirit King?\And your magical power isn't anything to laugh at either.\Well, whatever. Sagittarius?\If you please...\Moshimoshi?\Sagittarius?\What is with this traitorous horse?\N-No, it's not me! response:	I would never... do something like...
context: And your magical power isn't anything to laugh at either.\Well, whatever. Sagittarius?\If you please...\Moshimoshi?\Sagittarius?\What is with this traitorous horse?\N-No, it's not me!\I would never... do something like... response:	Hibiki, hang in there!
context: Well, whatever. Sagittarius?\If you please...\Moshimoshi?\Sagittarius?\What is with this traitorous horse?\N-No, it's not me!\I would never... do something like...\Hibiki, hang in there! response:	Are you manipulating my Spirits?
context: If you please...\Moshimoshi?\Sagittarius?\What is with this traitorous horse?\N-No, it's not me!\I would never... do something like...\Hibiki, hang in there!\Are you manipulating my Spirits? response:	Yes! Right now, I can do everything you can.
