context: Nirvana was fired toward Caitshelter, response:	but thanks to the magic bombs from Christina, it barely missed!
context: but Christina is crashing!\Nirvana has been sealed since long, long ago.\It is an ultra-inversion magic which replaces darkness and light.\The seal was broken deep inside the Worth Woodsea\by the Dark Guild, Oracion Seis, who wished to gain Nirvana for themselves.\In order to prevent that, an alliance of official guilds was formed.\From Fairy Tail: Natsu, Lucy, Gray, and Erza.\From Blue Pegasus: Hibiki, Ren, Eve, and Ichiya. response:	From Lamia Scale: Lyon, Sherry, and Jura.
context: Nirvana has been sealed since long, long ago.\It is an ultra-inversion magic which replaces darkness and light.\The seal was broken deep inside the Worth Woodsea\by the Dark Guild, Oracion Seis, who wished to gain Nirvana for themselves.\In order to prevent that, an alliance of official guilds was formed.\From Fairy Tail: Natsu, Lucy, Gray, and Erza.\From Blue Pegasus: Hibiki, Ren, Eve, and Ichiya.\From Lamia Scale: Lyon, Sherry, and Jura. response:	And from Caitshelter, Wendy also participated.
context: It is an ultra-inversion magic which replaces darkness and light.\The seal was broken deep inside the Worth Woodsea\by the Dark Guild, Oracion Seis, who wished to gain Nirvana for themselves.\In order to prevent that, an alliance of official guilds was formed.\From Fairy Tail: Natsu, Lucy, Gray, and Erza.\From Blue Pegasus: Hibiki, Ren, Eve, and Ichiya.\From Lamia Scale: Lyon, Sherry, and Jura.\And from Caitshelter, Wendy also participated. response:	Plus Jellal, who should have sunk into the sea together with the Tower of Heaven,
context: The seal was broken deep inside the Worth Woodsea\by the Dark Guild, Oracion Seis, who wished to gain Nirvana for themselves.\In order to prevent that, an alliance of official guilds was formed.\From Fairy Tail: Natsu, Lucy, Gray, and Erza.\From Blue Pegasus: Hibiki, Ren, Eve, and Ichiya.\From Lamia Scale: Lyon, Sherry, and Jura.\And from Caitshelter, Wendy also participated.\Plus Jellal, who should have sunk into the sea together with the Tower of Heaven, response:	also joined the fray.
context: by the Dark Guild, Oracion Seis, who wished to gain Nirvana for themselves.\In order to prevent that, an alliance of official guilds was formed.\From Fairy Tail: Natsu, Lucy, Gray, and Erza.\From Blue Pegasus: Hibiki, Ren, Eve, and Ichiya.\From Lamia Scale: Lyon, Sherry, and Jura.\And from Caitshelter, Wendy also participated.\Plus Jellal, who should have sunk into the sea together with the Tower of Heaven,\also joined the fray. response:	After many fierce battles, Oracion Seis was finally defeated,
context: In order to prevent that, an alliance of official guilds was formed.\From Fairy Tail: Natsu, Lucy, Gray, and Erza.\From Blue Pegasus: Hibiki, Ren, Eve, and Ichiya.\From Lamia Scale: Lyon, Sherry, and Jura.\And from Caitshelter, Wendy also participated.\Plus Jellal, who should have sunk into the sea together with the Tower of Heaven,\also joined the fray.\After many fierce battles, Oracion Seis was finally defeated, response:	but with the appearance of Master Zero, Natsu and the others are facing their greatest crisis!
context: From Fairy Tail: Natsu, Lucy, Gray, and Erza.\From Blue Pegasus: Hibiki, Ren, Eve, and Ichiya.\From Lamia Scale: Lyon, Sherry, and Jura.\And from Caitshelter, Wendy also participated.\Plus Jellal, who should have sunk into the sea together with the Tower of Heaven,\also joined the fray.\After many fierce battles, Oracion Seis was finally defeated,\but with the appearance of Master Zero, Natsu and the others are facing their greatest crisis! response:	One!
context: From Blue Pegasus: Hibiki, Ren, Eve, and Ichiya.\From Lamia Scale: Lyon, Sherry, and Jura.\And from Caitshelter, Wendy also participated.\Plus Jellal, who should have sunk into the sea together with the Tower of Heaven,\also joined the fray.\After many fierce battles, Oracion Seis was finally defeated,\but with the appearance of Master Zero, Natsu and the others are facing their greatest crisis!\One! response:	Two!
context: From Lamia Scale: Lyon, Sherry, and Jura.\And from Caitshelter, Wendy also participated.\Plus Jellal, who should have sunk into the sea together with the Tower of Heaven,\also joined the fray.\After many fierce battles, Oracion Seis was finally defeated,\but with the appearance of Master Zero, Natsu and the others are facing their greatest crisis!\One!\Two! response:	I'll go to three!
context: And from Caitshelter, Wendy also participated.\Plus Jellal, who should have sunk into the sea together with the Tower of Heaven,\also joined the fray.\After many fierce battles, Oracion Seis was finally defeated,\but with the appearance of Master Zero, Natsu and the others are facing their greatest crisis!\One!\Two!\I'll go to three! response:	I just hope Zero's not there!
context: Plus Jellal, who should have sunk into the sea together with the Tower of Heaven,\also joined the fray.\After many fierce battles, Oracion Seis was finally defeated,\but with the appearance of Master Zero, Natsu and the others are facing their greatest crisis!\One!\Two!\I'll go to three!\I just hope Zero's not there! response:	I will head to four.
context: also joined the fray.\After many fierce battles, Oracion Seis was finally defeated,\but with the appearance of Master Zero, Natsu and the others are facing their greatest crisis!\One!\Two!\I'll go to three!\I just hope Zero's not there!\I will head to four. response:	My parfum tells me that it is the closest one to me.
context: After many fierce battles, Oracion Seis was finally defeated,\but with the appearance of Master Zero, Natsu and the others are facing their greatest crisis!\One!\Two!\I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me. response:	The map is what told you.
context: but with the appearance of Master Zero, Natsu and the others are facing their greatest crisis!\One!\Two!\I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you. response:	Was it really necessary to correct me?
context: One!\Two!\I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me? response:	I'll take five.
context: Two!\I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five. response:	You're six.
context: I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five.\You're six. response:	The Power of Feelings!
context: I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five.\You're six.\The Power of Feelings! response:	Damn, this tunnel is long.
context: I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five.\You're six.\The Power of Feelings!\Damn, this tunnel is long. response:	Finally, I'm here... Lacrima number two.
context: My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five.\You're six.\The Power of Feelings!\Damn, this tunnel is long.\Finally, I'm here... Lacrima number two. response:	So I gotta destroy this thing, then.
context: The map is what told you.\Was it really necessary to correct me?\I'll take five.\You're six.\The Power of Feelings!\Damn, this tunnel is long.\Finally, I'm here... Lacrima number two.\So I gotta destroy this thing, then. response:	Doesn't look like Master Zero's here.
context: Was it really necessary to correct me?\I'll take five.\You're six.\The Power of Feelings!\Damn, this tunnel is long.\Finally, I'm here... Lacrima number two.\So I gotta destroy this thing, then.\Doesn't look like Master Zero's here. response:	So that means someone else has to fight him.
context: I'll take five.\You're six.\The Power of Feelings!\Damn, this tunnel is long.\Finally, I'm here... Lacrima number two.\So I gotta destroy this thing, then.\Doesn't look like Master Zero's here.\So that means someone else has to fight him. response:	This is lacrima number one.
context: You're six.\The Power of Feelings!\Damn, this tunnel is long.\Finally, I'm here... Lacrima number two.\So I gotta destroy this thing, then.\Doesn't look like Master Zero's here.\So that means someone else has to fight him.\This is lacrima number one. response:	Jellal...
context: The Power of Feelings!\Damn, this tunnel is long.\Finally, I'm here... Lacrima number two.\So I gotta destroy this thing, then.\Doesn't look like Master Zero's here.\So that means someone else has to fight him.\This is lacrima number one.\Jellal... response:	I see... So, your memories have returned?
context: Damn, this tunnel is long.\Finally, I'm here... Lacrima number two.\So I gotta destroy this thing, then.\Doesn't look like Master Zero's here.\So that means someone else has to fight him.\This is lacrima number one.\Jellal...\I see... So, your memories have returned? response:	Yeah.
context: Finally, I'm here... Lacrima number two.\So I gotta destroy this thing, then.\Doesn't look like Master Zero's here.\So that means someone else has to fight him.\This is lacrima number one.\Jellal...\I see... So, your memories have returned?\Yeah. response:	You bastard...
context: So I gotta destroy this thing, then.\Doesn't look like Master Zero's here.\So that means someone else has to fight him.\This is lacrima number one.\Jellal...\I see... So, your memories have returned?\Yeah.\You bastard... response:	Jellal!
context: Doesn't look like Master Zero's here.\So that means someone else has to fight him.\This is lacrima number one.\Jellal...\I see... So, your memories have returned?\Yeah.\You bastard...\Jellal! response:	Natsu...
context: So that means someone else has to fight him.\This is lacrima number one.\Jellal...\I see... So, your memories have returned?\Yeah.\You bastard...\Jellal!\Natsu... response:	Fire ain't gonna work on me!
context: This is lacrima number one.\Jellal...\I see... So, your memories have returned?\Yeah.\You bastard...\Jellal!\Natsu...\Fire ain't gonna work on me! response:	I know. I remember.
context: Jellal...\I see... So, your memories have returned?\Yeah.\You bastard...\Jellal!\Natsu...\Fire ain't gonna work on me!\I know. I remember. response:	You're Natsu... Our only hope.
context: I see... So, your memories have returned?\Yeah.\You bastard...\Jellal!\Natsu...\Fire ain't gonna work on me!\I know. I remember.\You're Natsu... Our only hope. response:	What?!
context: Yeah.\You bastard...\Jellal!\Natsu...\Fire ain't gonna work on me!\I know. I remember.\You're Natsu... Our only hope.\What?! response:	Huh?
context: You bastard...\Jellal!\Natsu...\Fire ain't gonna work on me!\I know. I remember.\You're Natsu... Our only hope.\What?!\Huh? response:	The Fire Dragon Slayer. Your magic power increases from the power of flames.
context: Jellal!\Natsu...\Fire ain't gonna work on me!\I know. I remember.\You're Natsu... Our only hope.\What?!\Huh?\The Fire Dragon Slayer. Your magic power increases from the power of flames. response:	Power of flames?
context: Natsu...\Fire ain't gonna work on me!\I know. I remember.\You're Natsu... Our only hope.\What?!\Huh?\The Fire Dragon Slayer. Your magic power increases from the power of flames.\Power of flames? response:	You... Doesn't seem like your memories have totally returned at all.
context: Fire ain't gonna work on me!\I know. I remember.\You're Natsu... Our only hope.\What?!\Huh?\The Fire Dragon Slayer. Your magic power increases from the power of flames.\Power of flames?\You... Doesn't seem like your memories have totally returned at all. response:	It's as I said... I remembered Natsu, that is all.
context: I know. I remember.\You're Natsu... Our only hope.\What?!\Huh?\The Fire Dragon Slayer. Your magic power increases from the power of flames.\Power of flames?\You... Doesn't seem like your memories have totally returned at all.\It's as I said... I remembered Natsu, that is all. response:	I will stop Nirvana.
context: You're Natsu... Our only hope.\What?!\Huh?\The Fire Dragon Slayer. Your magic power increases from the power of flames.\Power of flames?\You... Doesn't seem like your memories have totally returned at all.\It's as I said... I remembered Natsu, that is all.\I will stop Nirvana. response:	What I am trying to do has not changed, Zero.
context: What?!\Huh?\The Fire Dragon Slayer. Your magic power increases from the power of flames.\Power of flames?\You... Doesn't seem like your memories have totally returned at all.\It's as I said... I remembered Natsu, that is all.\I will stop Nirvana.\What I am trying to do has not changed, Zero. response:	What do you mean, memories?
context: Huh?\The Fire Dragon Slayer. Your magic power increases from the power of flames.\Power of flames?\You... Doesn't seem like your memories have totally returned at all.\It's as I said... I remembered Natsu, that is all.\I will stop Nirvana.\What I am trying to do has not changed, Zero.\What do you mean, memories? response:	I do not have any memories prior to waking up in this land.
context: The Fire Dragon Slayer. Your magic power increases from the power of flames.\Power of flames?\You... Doesn't seem like your memories have totally returned at all.\It's as I said... I remembered Natsu, that is all.\I will stop Nirvana.\What I am trying to do has not changed, Zero.\What do you mean, memories?\I do not have any memories prior to waking up in this land. response:	I know I was the worst kind of human trash...
context: Power of flames?\You... Doesn't seem like your memories have totally returned at all.\It's as I said... I remembered Natsu, that is all.\I will stop Nirvana.\What I am trying to do has not changed, Zero.\What do you mean, memories?\I do not have any memories prior to waking up in this land.\I know I was the worst kind of human trash... response:	But I'm not aware of it myself.
context: You... Doesn't seem like your memories have totally returned at all.\It's as I said... I remembered Natsu, that is all.\I will stop Nirvana.\What I am trying to do has not changed, Zero.\What do you mean, memories?\I do not have any memories prior to waking up in this land.\I know I was the worst kind of human trash...\But I'm not aware of it myself. response:	All I know is it seems I caused you and Erza some great injury...
context: It's as I said... I remembered Natsu, that is all.\I will stop Nirvana.\What I am trying to do has not changed, Zero.\What do you mean, memories?\I do not have any memories prior to waking up in this land.\I know I was the worst kind of human trash...\But I'm not aware of it myself.\All I know is it seems I caused you and Erza some great injury... response:	But now, I wish to protect Wendy's guild.
context: I will stop Nirvana.\What I am trying to do has not changed, Zero.\What do you mean, memories?\I do not have any memories prior to waking up in this land.\I know I was the worst kind of human trash...\But I'm not aware of it myself.\All I know is it seems I caused you and Erza some great injury...\But now, I wish to protect Wendy's guild. response:	I wish to stop Nirvana.
context: What I am trying to do has not changed, Zero.\What do you mean, memories?\I do not have any memories prior to waking up in this land.\I know I was the worst kind of human trash...\But I'm not aware of it myself.\All I know is it seems I caused you and Erza some great injury...\But now, I wish to protect Wendy's guild.\I wish to stop Nirvana. response:	Like hell you do!
context: What do you mean, memories?\I do not have any memories prior to waking up in this land.\I know I was the worst kind of human trash...\But I'm not aware of it myself.\All I know is it seems I caused you and Erza some great injury...\But now, I wish to protect Wendy's guild.\I wish to stop Nirvana.\Like hell you do! response:	Are you sayin' you forgot all that?
context: I do not have any memories prior to waking up in this land.\I know I was the worst kind of human trash...\But I'm not aware of it myself.\All I know is it seems I caused you and Erza some great injury...\But now, I wish to protect Wendy's guild.\I wish to stop Nirvana.\Like hell you do!\Are you sayin' you forgot all that? response:	You can't get away with pretending to be my ally!
context: I know I was the worst kind of human trash...\But I'm not aware of it myself.\All I know is it seems I caused you and Erza some great injury...\But now, I wish to protect Wendy's guild.\I wish to stop Nirvana.\Like hell you do!\Are you sayin' you forgot all that?\You can't get away with pretending to be my ally! response:	Please, Natsu... Accept this flame!
context: But I'm not aware of it myself.\All I know is it seems I caused you and Erza some great injury...\But now, I wish to protect Wendy's guild.\I wish to stop Nirvana.\Like hell you do!\Are you sayin' you forgot all that?\You can't get away with pretending to be my ally!\Please, Natsu... Accept this flame! response:	Well, I didn't forget.
context: All I know is it seems I caused you and Erza some great injury...\But now, I wish to protect Wendy's guild.\I wish to stop Nirvana.\Like hell you do!\Are you sayin' you forgot all that?\You can't get away with pretending to be my ally!\Please, Natsu... Accept this flame!\Well, I didn't forget. response:	I'll never forget Erza's tears!
context: But now, I wish to protect Wendy's guild.\I wish to stop Nirvana.\Like hell you do!\Are you sayin' you forgot all that?\You can't get away with pretending to be my ally!\Please, Natsu... Accept this flame!\Well, I didn't forget.\I'll never forget Erza's tears! response:	You... You...
context: I wish to stop Nirvana.\Like hell you do!\Are you sayin' you forgot all that?\You can't get away with pretending to be my ally!\Please, Natsu... Accept this flame!\Well, I didn't forget.\I'll never forget Erza's tears!\You... You... response:	You made Erza cry!
context: Like hell you do!\Are you sayin' you forgot all that?\You can't get away with pretending to be my ally!\Please, Natsu... Accept this flame!\Well, I didn't forget.\I'll never forget Erza's tears!\You... You...\You made Erza cry! response:	Sheesh... If you're going to squabble amongst yourselves, can you please do it elsewhere?
context: Are you sayin' you forgot all that?\You can't get away with pretending to be my ally!\Please, Natsu... Accept this flame!\Well, I didn't forget.\I'll never forget Erza's tears!\You... You...\You made Erza cry!\Sheesh... If you're going to squabble amongst yourselves, can you please do it elsewhere? response:	It's annoying!
context: You can't get away with pretending to be my ally!\Please, Natsu... Accept this flame!\Well, I didn't forget.\I'll never forget Erza's tears!\You... You...\You made Erza cry!\Sheesh... If you're going to squabble amongst yourselves, can you please do it elsewhere?\It's annoying! response:	You...
context: Please, Natsu... Accept this flame!\Well, I didn't forget.\I'll never forget Erza's tears!\You... You...\You made Erza cry!\Sheesh... If you're going to squabble amongst yourselves, can you please do it elsewhere?\It's annoying!\You... response:	If you want to do me in, you can do it anytime.
context: Well, I didn't forget.\I'll never forget Erza's tears!\You... You...\You made Erza cry!\Sheesh... If you're going to squabble amongst yourselves, can you please do it elsewhere?\It's annoying!\You...\If you want to do me in, you can do it anytime. response:	I'm already on my last legs...
context: I'll never forget Erza's tears!\You... You...\You made Erza cry!\Sheesh... If you're going to squabble amongst yourselves, can you please do it elsewhere?\It's annoying!\You...\If you want to do me in, you can do it anytime.\I'm already on my last legs... response:	Now... The power to defeat that guy...
context: You... You...\You made Erza cry!\Sheesh... If you're going to squabble amongst yourselves, can you please do it elsewhere?\It's annoying!\You...\If you want to do me in, you can do it anytime.\I'm already on my last legs...\Now... The power to defeat that guy... response:	Golden flames...
context: You made Erza cry!\Sheesh... If you're going to squabble amongst yourselves, can you please do it elsewhere?\It's annoying!\You...\If you want to do me in, you can do it anytime.\I'm already on my last legs...\Now... The power to defeat that guy...\Golden flames... response:	And this is the passage to the third lacrima.
context: Sheesh... If you're going to squabble amongst yourselves, can you please do it elsewhere?\It's annoying!\You...\If you want to do me in, you can do it anytime.\I'm already on my last legs...\Now... The power to defeat that guy...\Golden flames...\And this is the passage to the third lacrima. response:	You should rest a little, Lucy...
context: It's annoying!\You...\If you want to do me in, you can do it anytime.\I'm already on my last legs...\Now... The power to defeat that guy...\Golden flames...\And this is the passage to the third lacrima.\You should rest a little, Lucy... response:	No! I won't make it then...
context: You...\If you want to do me in, you can do it anytime.\I'm already on my last legs...\Now... The power to defeat that guy...\Golden flames...\And this is the passage to the third lacrima.\You should rest a little, Lucy...\No! I won't make it then... response:	But... You can barely walk.
context: If you want to do me in, you can do it anytime.\I'm already on my last legs...\Now... The power to defeat that guy...\Golden flames...\And this is the passage to the third lacrima.\You should rest a little, Lucy...\No! I won't make it then...\But... You can barely walk. response:	Are you okay?
context: I'm already on my last legs...\Now... The power to defeat that guy...\Golden flames...\And this is the passage to the third lacrima.\You should rest a little, Lucy...\No! I won't make it then...\But... You can barely walk.\Are you okay? response:	What are you talking about? I can walk just fine...
context: Now... The power to defeat that guy...\Golden flames...\And this is the passage to the third lacrima.\You should rest a little, Lucy...\No! I won't make it then...\But... You can barely walk.\Are you okay?\What are you talking about? I can walk just fine... response:	But... Even if I'm not so okay...
context: Golden flames...\And this is the passage to the third lacrima.\You should rest a little, Lucy...\No! I won't make it then...\But... You can barely walk.\Are you okay?\What are you talking about? I can walk just fine...\But... Even if I'm not so okay... response:	I can't go saying that now!
context: And this is the passage to the third lacrima.\You should rest a little, Lucy...\No! I won't make it then...\But... You can barely walk.\Are you okay?\What are you talking about? I can walk just fine...\But... Even if I'm not so okay...\I can't go saying that now! response:	Men, men, men...
context: You should rest a little, Lucy...\No! I won't make it then...\But... You can barely walk.\Are you okay?\What are you talking about? I can walk just fine...\But... Even if I'm not so okay...\I can't go saying that now!\Men, men, men... response:	The passage to the fourth lacrima...
context: No! I won't make it then...\But... You can barely walk.\Are you okay?\What are you talking about? I can walk just fine...\But... Even if I'm not so okay...\I can't go saying that now!\Men, men, men...\The passage to the fourth lacrima... response:	I must hurry, no matter what happens to this body of mine!
context: But... You can barely walk.\Are you okay?\What are you talking about? I can walk just fine...\But... Even if I'm not so okay...\I can't go saying that now!\Men, men, men...\The passage to the fourth lacrima...\I must hurry, no matter what happens to this body of mine! response:	I am Ichiya, of Blue Pegasus!
context: Are you okay?\What are you talking about? I can walk just fine...\But... Even if I'm not so okay...\I can't go saying that now!\Men, men, men...\The passage to the fourth lacrima...\I must hurry, no matter what happens to this body of mine!\I am Ichiya, of Blue Pegasus! response:	I will fulfill my duty to the end!
context: What are you talking about? I can walk just fine...\But... Even if I'm not so okay...\I can't go saying that now!\Men, men, men...\The passage to the fourth lacrima...\I must hurry, no matter what happens to this body of mine!\I am Ichiya, of Blue Pegasus!\I will fulfill my duty to the end! response:	The fifth lacrima.
context: But... Even if I'm not so okay...\I can't go saying that now!\Men, men, men...\The passage to the fourth lacrima...\I must hurry, no matter what happens to this body of mine!\I am Ichiya, of Blue Pegasus!\I will fulfill my duty to the end!\The fifth lacrima. response:	Master Zero is not here.
context: I can't go saying that now!\Men, men, men...\The passage to the fourth lacrima...\I must hurry, no matter what happens to this body of mine!\I am Ichiya, of Blue Pegasus!\I will fulfill my duty to the end!\The fifth lacrima.\Master Zero is not here. response:	As I thought, he's at lacrima number one, which Natsu headed towards.
context: Men, men, men...\The passage to the fourth lacrima...\I must hurry, no matter what happens to this body of mine!\I am Ichiya, of Blue Pegasus!\I will fulfill my duty to the end!\The fifth lacrima.\Master Zero is not here.\As I thought, he's at lacrima number one, which Natsu headed towards. response:	Natsu...
context: The passage to the fourth lacrima...\I must hurry, no matter what happens to this body of mine!\I am Ichiya, of Blue Pegasus!\I will fulfill my duty to the end!\The fifth lacrima.\Master Zero is not here.\As I thought, he's at lacrima number one, which Natsu headed towards.\Natsu... response:	This is the flame of guilt.
context: I must hurry, no matter what happens to this body of mine!\I am Ichiya, of Blue Pegasus!\I will fulfill my duty to the end!\The fifth lacrima.\Master Zero is not here.\As I thought, he's at lacrima number one, which Natsu headed towards.\Natsu...\This is the flame of guilt. response:	The passage to the sixth lacrima...
context: I am Ichiya, of Blue Pegasus!\I will fulfill my duty to the end!\The fifth lacrima.\Master Zero is not here.\As I thought, he's at lacrima number one, which Natsu headed towards.\Natsu...\This is the flame of guilt.\The passage to the sixth lacrima... response:	Thank you, Carla...
context: I will fulfill my duty to the end!\The fifth lacrima.\Master Zero is not here.\As I thought, he's at lacrima number one, which Natsu headed towards.\Natsu...\This is the flame of guilt.\The passage to the sixth lacrima...\Thank you, Carla... response:	I hope Jellal is okay...
context: The fifth lacrima.\Master Zero is not here.\As I thought, he's at lacrima number one, which Natsu headed towards.\Natsu...\This is the flame of guilt.\The passage to the sixth lacrima...\Thank you, Carla...\I hope Jellal is okay... response:	Don't worry about others, worry about yourself!
context: Master Zero is not here.\As I thought, he's at lacrima number one, which Natsu headed towards.\Natsu...\This is the flame of guilt.\The passage to the sixth lacrima...\Thank you, Carla...\I hope Jellal is okay...\Don't worry about others, worry about yourself! response:	Can you really do this, Wendy?
context: As I thought, he's at lacrima number one, which Natsu headed towards.\Natsu...\This is the flame of guilt.\The passage to the sixth lacrima...\Thank you, Carla...\I hope Jellal is okay...\Don't worry about others, worry about yourself!\Can you really do this, Wendy? response:	Yeah! This is something I have to do!
context: Natsu...\This is the flame of guilt.\The passage to the sixth lacrima...\Thank you, Carla...\I hope Jellal is okay...\Don't worry about others, worry about yourself!\Can you really do this, Wendy?\Yeah! This is something I have to do! response:	Jellal, do you feel okay?
context: This is the flame of guilt.\The passage to the sixth lacrima...\Thank you, Carla...\I hope Jellal is okay...\Don't worry about others, worry about yourself!\Can you really do this, Wendy?\Yeah! This is something I have to do!\Jellal, do you feel okay? response:	You can use Healing Magic, yes?
context: The passage to the sixth lacrima...\Thank you, Carla...\I hope Jellal is okay...\Don't worry about others, worry about yourself!\Can you really do this, Wendy?\Yeah! This is something I have to do!\Jellal, do you feel okay?\You can use Healing Magic, yes? response:	Can you recover Natsu's magic power during his fight with Natsu?
context: Thank you, Carla...\I hope Jellal is okay...\Don't worry about others, worry about yourself!\Can you really do this, Wendy?\Yeah! This is something I have to do!\Jellal, do you feel okay?\You can use Healing Magic, yes?\Can you recover Natsu's magic power during his fight with Natsu? response:	Well, I...
context: I hope Jellal is okay...\Don't worry about others, worry about yourself!\Can you really do this, Wendy?\Yeah! This is something I have to do!\Jellal, do you feel okay?\You can use Healing Magic, yes?\Can you recover Natsu's magic power during his fight with Natsu?\Well, I... response:	What's this crazy talk? Do you have any idea how many times she's used Healing Magic today already?
context: Don't worry about others, worry about yourself!\Can you really do this, Wendy?\Yeah! This is something I have to do!\Jellal, do you feel okay?\You can use Healing Magic, yes?\Can you recover Natsu's magic power during his fight with Natsu?\Well, I...\What's this crazy talk? Do you have any idea how many times she's used Healing Magic today already? response:	Any more is impossible! You know that she's actually...
context: Can you really do this, Wendy?\Yeah! This is something I have to do!\Jellal, do you feel okay?\You can use Healing Magic, yes?\Can you recover Natsu's magic power during his fight with Natsu?\Well, I...\What's this crazy talk? Do you have any idea how many times she's used Healing Magic today already?\Any more is impossible! You know that she's actually... response:	I see.
context: Yeah! This is something I have to do!\Jellal, do you feel okay?\You can use Healing Magic, yes?\Can you recover Natsu's magic power during his fight with Natsu?\Well, I...\What's this crazy talk? Do you have any idea how many times she's used Healing Magic today already?\Any more is impossible! You know that she's actually...\I see. response:	Then, I will handle Natsu's recovery.
context: Jellal, do you feel okay?\You can use Healing Magic, yes?\Can you recover Natsu's magic power during his fight with Natsu?\Well, I...\What's this crazy talk? Do you have any idea how many times she's used Healing Magic today already?\Any more is impossible! You know that she's actually...\I see.\Then, I will handle Natsu's recovery. response:	I remember the unfathomable power he has... The power of hope.
context: You can use Healing Magic, yes?\Can you recover Natsu's magic power during his fight with Natsu?\Well, I...\What's this crazy talk? Do you have any idea how many times she's used Healing Magic today already?\Any more is impossible! You know that she's actually...\I see.\Then, I will handle Natsu's recovery.\I remember the unfathomable power he has... The power of hope. response:	You go destroy the sixth lacrima in my stead.
context: Can you recover Natsu's magic power during his fight with Natsu?\Well, I...\What's this crazy talk? Do you have any idea how many times she's used Healing Magic today already?\Any more is impossible! You know that she's actually...\I see.\Then, I will handle Natsu's recovery.\I remember the unfathomable power he has... The power of hope.\You go destroy the sixth lacrima in my stead. response:	But I...
