context: Virus symptoms begin response:	in 17 hours
context: Maybe we should look for a way to capture the gifted who controls the virus.\We've already tried that.\The enemy is as crafty as can be.\It'll be impossible to uproot all of his meticulously prepared traps in time.\Even for you?\I say this because I would know.\That said, this is a flagrant violation of orders.\This? response:	So, decide for yourselves whether you're participating or not.
context: We've already tried that.\The enemy is as crafty as can be.\It'll be impossible to uproot all of his meticulously prepared traps in time.\Even for you?\I say this because I would know.\That said, this is a flagrant violation of orders.\This?\So, decide for yourselves whether you're participating or not. response:	Are you telling us to choose between fighting the Port Mafia or not?
context: The enemy is as crafty as can be.\It'll be impossible to uproot all of his meticulously prepared traps in time.\Even for you?\I say this because I would know.\That said, this is a flagrant violation of orders.\This?\So, decide for yourselves whether you're participating or not.\Are you telling us to choose between fighting the Port Mafia or not? response:	That's right.
context: It'll be impossible to uproot all of his meticulously prepared traps in time.\Even for you?\I say this because I would know.\That said, this is a flagrant violation of orders.\This?\So, decide for yourselves whether you're participating or not.\Are you telling us to choose between fighting the Port Mafia or not?\That's right. response:	We don't have time to think about it, though.
context: Even for you?\I say this because I would know.\That said, this is a flagrant violation of orders.\This?\So, decide for yourselves whether you're participating or not.\Are you telling us to choose between fighting the Port Mafia or not?\That's right.\We don't have time to think about it, though. response:	If the Port Mafia finds out that our president is in a safe ability space,
context: I say this because I would know.\That said, this is a flagrant violation of orders.\This?\So, decide for yourselves whether you're participating or not.\Are you telling us to choose between fighting the Port Mafia or not?\That's right.\We don't have time to think about it, though.\If the Port Mafia finds out that our president is in a safe ability space, response:	they'll move to making threats.
context: That said, this is a flagrant violation of orders.\This?\So, decide for yourselves whether you're participating or not.\Are you telling us to choose between fighting the Port Mafia or not?\That's right.\We don't have time to think about it, though.\If the Port Mafia finds out that our president is in a safe ability space,\they'll move to making threats. response:	The employees' family members, friends, and loved ones will be taken hostage.
context: This?\So, decide for yourselves whether you're participating or not.\Are you telling us to choose between fighting the Port Mafia or not?\That's right.\We don't have time to think about it, though.\If the Port Mafia finds out that our president is in a safe ability space,\they'll move to making threats.\The employees' family members, friends, and loved ones will be taken hostage. response:	If we don't hand over the president, they'll threaten to kill them one by one.
context: So, decide for yourselves whether you're participating or not.\Are you telling us to choose between fighting the Port Mafia or not?\That's right.\We don't have time to think about it, though.\If the Port Mafia finds out that our president is in a safe ability space,\they'll move to making threats.\The employees' family members, friends, and loved ones will be taken hostage.\If we don't hand over the president, they'll threaten to kill them one by one. response:	If that happens, even the Detective Agency will have no choice but to buckle.
context: Are you telling us to choose between fighting the Port Mafia or not?\That's right.\We don't have time to think about it, though.\If the Port Mafia finds out that our president is in a safe ability space,\they'll move to making threats.\The employees' family members, friends, and loved ones will be taken hostage.\If we don't hand over the president, they'll threaten to kill them one by one.\If that happens, even the Detective Agency will have no choice but to buckle. response:	All that remains is a blood-soaked path littered with human entrails.
context: That's right.\We don't have time to think about it, though.\If the Port Mafia finds out that our president is in a safe ability space,\they'll move to making threats.\The employees' family members, friends, and loved ones will be taken hostage.\If we don't hand over the president, they'll threaten to kill them one by one.\If that happens, even the Detective Agency will have no choice but to buckle.\All that remains is a blood-soaked path littered with human entrails. response:	It's a path the Mafia is accustomed to traveling.
context: We don't have time to think about it, though.\If the Port Mafia finds out that our president is in a safe ability space,\they'll move to making threats.\The employees' family members, friends, and loved ones will be taken hostage.\If we don't hand over the president, they'll threaten to kill them one by one.\If that happens, even the Detective Agency will have no choice but to buckle.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling. response:	I'll do it.
context: If the Port Mafia finds out that our president is in a safe ability space,\they'll move to making threats.\The employees' family members, friends, and loved ones will be taken hostage.\If we don't hand over the president, they'll threaten to kill them one by one.\If that happens, even the Detective Agency will have no choice but to buckle.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\I'll do it. response:	At the end of the day,
context: they'll move to making threats.\The employees' family members, friends, and loved ones will be taken hostage.\If we don't hand over the president, they'll threaten to kill them one by one.\If that happens, even the Detective Agency will have no choice but to buckle.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\I'll do it.\At the end of the day, response:	we only know how to protect people by hurting people.
context: The employees' family members, friends, and loved ones will be taken hostage.\If we don't hand over the president, they'll threaten to kill them one by one.\If that happens, even the Detective Agency will have no choice but to buckle.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\I'll do it.\At the end of the day,\we only know how to protect people by hurting people. response:	I will, too.
context: If we don't hand over the president, they'll threaten to kill them one by one.\If that happens, even the Detective Agency will have no choice but to buckle.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\I'll do it.\At the end of the day,\we only know how to protect people by hurting people.\I will, too. response:	I have a bit of a bone to pick with Mori-sensei.
context: If that happens, even the Detective Agency will have no choice but to buckle.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\I'll do it.\At the end of the day,\we only know how to protect people by hurting people.\I will, too.\I have a bit of a bone to pick with Mori-sensei. response:	I'm sure he would be satisfied with such an ending.
context: All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\I'll do it.\At the end of the day,\we only know how to protect people by hurting people.\I will, too.\I have a bit of a bone to pick with Mori-sensei.\I'm sure he would be satisfied with such an ending. response:	I'm afraid of that man.
context: It's a path the Mafia is accustomed to traveling.\I'll do it.\At the end of the day,\we only know how to protect people by hurting people.\I will, too.\I have a bit of a bone to pick with Mori-sensei.\I'm sure he would be satisfied with such an ending.\I'm afraid of that man. response:	But if my knowledge of the Port Mafia can be useful to the Detective Agency,
context: I'll do it.\At the end of the day,\we only know how to protect people by hurting people.\I will, too.\I have a bit of a bone to pick with Mori-sensei.\I'm sure he would be satisfied with such an ending.\I'm afraid of that man.\But if my knowledge of the Port Mafia can be useful to the Detective Agency, response:	then I should go, as well.
context: At the end of the day,\we only know how to protect people by hurting people.\I will, too.\I have a bit of a bone to pick with Mori-sensei.\I'm sure he would be satisfied with such an ending.\I'm afraid of that man.\But if my knowledge of the Port Mafia can be useful to the Detective Agency,\then I should go, as well. response:	Kyouka-chan, you, too?
context: we only know how to protect people by hurting people.\I will, too.\I have a bit of a bone to pick with Mori-sensei.\I'm sure he would be satisfied with such an ending.\I'm afraid of that man.\But if my knowledge of the Port Mafia can be useful to the Detective Agency,\then I should go, as well.\Kyouka-chan, you, too? response:	I don't know whether this is right or wrong,
context: I will, too.\I have a bit of a bone to pick with Mori-sensei.\I'm sure he would be satisfied with such an ending.\I'm afraid of that man.\But if my knowledge of the Port Mafia can be useful to the Detective Agency,\then I should go, as well.\Kyouka-chan, you, too?\I don't know whether this is right or wrong, response:	but if everyone's walking into danger, I'll go with them and help.
context: I have a bit of a bone to pick with Mori-sensei.\I'm sure he would be satisfied with such an ending.\I'm afraid of that man.\But if my knowledge of the Port Mafia can be useful to the Detective Agency,\then I should go, as well.\Kyouka-chan, you, too?\I don't know whether this is right or wrong,\but if everyone's walking into danger, I'll go with them and help. response:	Kenji-kun...
context: I'm sure he would be satisfied with such an ending.\I'm afraid of that man.\But if my knowledge of the Port Mafia can be useful to the Detective Agency,\then I should go, as well.\Kyouka-chan, you, too?\I don't know whether this is right or wrong,\but if everyone's walking into danger, I'll go with them and help.\Kenji-kun... response:	Kunikida, what about you?
context: I'm afraid of that man.\But if my knowledge of the Port Mafia can be useful to the Detective Agency,\then I should go, as well.\Kyouka-chan, you, too?\I don't know whether this is right or wrong,\but if everyone's walking into danger, I'll go with them and help.\Kenji-kun...\Kunikida, what about you? response:	The president ordered us to protect the city's peace and stability.
context: But if my knowledge of the Port Mafia can be useful to the Detective Agency,\then I should go, as well.\Kyouka-chan, you, too?\I don't know whether this is right or wrong,\but if everyone's walking into danger, I'll go with them and help.\Kenji-kun...\Kunikida, what about you?\The president ordered us to protect the city's peace and stability. response:	The president's will is to protect the people from the city's demise, brought on by Fyodor.
context: then I should go, as well.\Kyouka-chan, you, too?\I don't know whether this is right or wrong,\but if everyone's walking into danger, I'll go with them and help.\Kenji-kun...\Kunikida, what about you?\The president ordered us to protect the city's peace and stability.\The president's will is to protect the people from the city's demise, brought on by Fyodor. response:	Will you bend the rules and go after the gifted, then?
context: Kyouka-chan, you, too?\I don't know whether this is right or wrong,\but if everyone's walking into danger, I'll go with them and help.\Kenji-kun...\Kunikida, what about you?\The president ordered us to protect the city's peace and stability.\The president's will is to protect the people from the city's demise, brought on by Fyodor.\Will you bend the rules and go after the gifted, then? response:	If we break the rules, more innocent people will die!
context: I don't know whether this is right or wrong,\but if everyone's walking into danger, I'll go with them and help.\Kenji-kun...\Kunikida, what about you?\The president ordered us to protect the city's peace and stability.\The president's will is to protect the people from the city's demise, brought on by Fyodor.\Will you bend the rules and go after the gifted, then?\If we break the rules, more innocent people will die! response:	Like that girl...
context: but if everyone's walking into danger, I'll go with them and help.\Kenji-kun...\Kunikida, what about you?\The president ordered us to protect the city's peace and stability.\The president's will is to protect the people from the city's demise, brought on by Fyodor.\Will you bend the rules and go after the gifted, then?\If we break the rules, more innocent people will die!\Like that girl... response:	If another death like that happens before my eyes...
context: Kenji-kun...\Kunikida, what about you?\The president ordered us to protect the city's peace and stability.\The president's will is to protect the people from the city's demise, brought on by Fyodor.\Will you bend the rules and go after the gifted, then?\If we break the rules, more innocent people will die!\Like that girl...\If another death like that happens before my eyes... response:	I'll never...
context: Kunikida, what about you?\The president ordered us to protect the city's peace and stability.\The president's will is to protect the people from the city's demise, brought on by Fyodor.\Will you bend the rules and go after the gifted, then?\If we break the rules, more innocent people will die!\Like that girl...\If another death like that happens before my eyes...\I'll never... response:	Kunikida, you're the strongest and most virtuous of us in the Agency.
context: The president ordered us to protect the city's peace and stability.\The president's will is to protect the people from the city's demise, brought on by Fyodor.\Will you bend the rules and go after the gifted, then?\If we break the rules, more innocent people will die!\Like that girl...\If another death like that happens before my eyes...\I'll never...\Kunikida, you're the strongest and most virtuous of us in the Agency. response:	That's why the enemy tried to break you first.
context: The president's will is to protect the people from the city's demise, brought on by Fyodor.\Will you bend the rules and go after the gifted, then?\If we break the rules, more innocent people will die!\Like that girl...\If another death like that happens before my eyes...\I'll never...\Kunikida, you're the strongest and most virtuous of us in the Agency.\That's why the enemy tried to break you first. response:	Don't forget that.
context: Will you bend the rules and go after the gifted, then?\If we break the rules, more innocent people will die!\Like that girl...\If another death like that happens before my eyes...\I'll never...\Kunikida, you're the strongest and most virtuous of us in the Agency.\That's why the enemy tried to break you first.\Don't forget that. response:	We can't find the Port Mafia.
context: If we break the rules, more innocent people will die!\Like that girl...\If another death like that happens before my eyes...\I'll never...\Kunikida, you're the strongest and most virtuous of us in the Agency.\That's why the enemy tried to break you first.\Don't forget that.\We can't find the Port Mafia. response:	We'd be playing right into the mastermind's hands.
context: Like that girl...\If another death like that happens before my eyes...\I'll never...\Kunikida, you're the strongest and most virtuous of us in the Agency.\That's why the enemy tried to break you first.\Don't forget that.\We can't find the Port Mafia.\We'd be playing right into the mastermind's hands. response:	But it's not like the others don't know that.
context: If another death like that happens before my eyes...\I'll never...\Kunikida, you're the strongest and most virtuous of us in the Agency.\That's why the enemy tried to break you first.\Don't forget that.\We can't find the Port Mafia.\We'd be playing right into the mastermind's hands.\But it's not like the others don't know that. response:	Are you coming, Atsushi?
context: I'll never...\Kunikida, you're the strongest and most virtuous of us in the Agency.\That's why the enemy tried to break you first.\Don't forget that.\We can't find the Port Mafia.\We'd be playing right into the mastermind's hands.\But it's not like the others don't know that.\Are you coming, Atsushi? response:	Or do you have a plan for going after the mastermind?
context: Kunikida, you're the strongest and most virtuous of us in the Agency.\That's why the enemy tried to break you first.\Don't forget that.\We can't find the Port Mafia.\We'd be playing right into the mastermind's hands.\But it's not like the others don't know that.\Are you coming, Atsushi?\Or do you have a plan for going after the mastermind? response:	Well...
context: That's why the enemy tried to break you first.\Don't forget that.\We can't find the Port Mafia.\We'd be playing right into the mastermind's hands.\But it's not like the others don't know that.\Are you coming, Atsushi?\Or do you have a plan for going after the mastermind?\Well... response:	I'll think of something.
context: Don't forget that.\We can't find the Port Mafia.\We'd be playing right into the mastermind's hands.\But it's not like the others don't know that.\Are you coming, Atsushi?\Or do you have a plan for going after the mastermind?\Well...\I'll think of something. response:	Remember when you asked Katai
context: We can't find the Port Mafia.\We'd be playing right into the mastermind's hands.\But it's not like the others don't know that.\Are you coming, Atsushi?\Or do you have a plan for going after the mastermind?\Well...\I'll think of something.\Remember when you asked Katai response:	to investigate the Rats in the House of the Dead?
context: We'd be playing right into the mastermind's hands.\But it's not like the others don't know that.\Are you coming, Atsushi?\Or do you have a plan for going after the mastermind?\Well...\I'll think of something.\Remember when you asked Katai\to investigate the Rats in the House of the Dead? response:	That investigation has been ongoing, hasn't it?
context: But it's not like the others don't know that.\Are you coming, Atsushi?\Or do you have a plan for going after the mastermind?\Well...\I'll think of something.\Remember when you asked Katai\to investigate the Rats in the House of the Dead?\That investigation has been ongoing, hasn't it? response:	There's a very slim chance that Katai has figured out the mastermind's location.
context: Are you coming, Atsushi?\Or do you have a plan for going after the mastermind?\Well...\I'll think of something.\Remember when you asked Katai\to investigate the Rats in the House of the Dead?\That investigation has been ongoing, hasn't it?\There's a very slim chance that Katai has figured out the mastermind's location. response:	I'll leave that to you.
context: Or do you have a plan for going after the mastermind?\Well...\I'll think of something.\Remember when you asked Katai\to investigate the Rats in the House of the Dead?\That investigation has been ongoing, hasn't it?\There's a very slim chance that Katai has figured out the mastermind's location.\I'll leave that to you. response:	Got it.
context: Well...\I'll think of something.\Remember when you asked Katai\to investigate the Rats in the House of the Dead?\That investigation has been ongoing, hasn't it?\There's a very slim chance that Katai has figured out the mastermind's location.\I'll leave that to you.\Got it. response:	Episode 35
context: I'll think of something.\Remember when you asked Katai\to investigate the Rats in the House of the Dead?\That investigation has been ongoing, hasn't it?\There's a very slim chance that Katai has figured out the mastermind's location.\I'll leave that to you.\Got it.\Episode 35 response:	Cannibalism Part 2
context: Remember when you asked Katai\to investigate the Rats in the House of the Dead?\That investigation has been ongoing, hasn't it?\There's a very slim chance that Katai has figured out the mastermind's location.\I'll leave that to you.\Got it.\Episode 35\Cannibalism Part 2 response:	Fire! Keep them away!
context: to investigate the Rats in the House of the Dead?\That investigation has been ongoing, hasn't it?\There's a very slim chance that Katai has figured out the mastermind's location.\I'll leave that to you.\Got it.\Episode 35\Cannibalism Part 2\Fire! Keep them away! response:	Ow, that hurts!
context: That investigation has been ongoing, hasn't it?\There's a very slim chance that Katai has figured out the mastermind's location.\I'll leave that to you.\Got it.\Episode 35\Cannibalism Part 2\Fire! Keep them away!\Ow, that hurts! response:	The Port Mafia sure does pack a punch.
context: There's a very slim chance that Katai has figured out the mastermind's location.\I'll leave that to you.\Got it.\Episode 35\Cannibalism Part 2\Fire! Keep them away!\Ow, that hurts!\The Port Mafia sure does pack a punch. response:	Okay, my turn!
context: I'll leave that to you.\Got it.\Episode 35\Cannibalism Part 2\Fire! Keep them away!\Ow, that hurts!\The Port Mafia sure does pack a punch.\Okay, my turn! response:	Here we go!
context: Got it.\Episode 35\Cannibalism Part 2\Fire! Keep them away!\Ow, that hurts!\The Port Mafia sure does pack a punch.\Okay, my turn!\Here we go! response:	Let's charge in!
context: Episode 35\Cannibalism Part 2\Fire! Keep them away!\Ow, that hurts!\The Port Mafia sure does pack a punch.\Okay, my turn!\Here we go!\Let's charge in! response:	Okay!
context: Cannibalism Part 2\Fire! Keep them away!\Ow, that hurts!\The Port Mafia sure does pack a punch.\Okay, my turn!\Here we go!\Let's charge in!\Okay! response:	They charged through the front?
context: Fire! Keep them away!\Ow, that hurts!\The Port Mafia sure does pack a punch.\Okay, my turn!\Here we go!\Let's charge in!\Okay!\They charged through the front? response:	Protect the boss at all costs!
context: Ow, that hurts!\The Port Mafia sure does pack a punch.\Okay, my turn!\Here we go!\Let's charge in!\Okay!\They charged through the front?\Protect the boss at all costs! response:	I'll be right there!
context: The Port Mafia sure does pack a punch.\Okay, my turn!\Here we go!\Let's charge in!\Okay!\They charged through the front?\Protect the boss at all costs!\I'll be right there! response:	Dammit.
context: Okay, my turn!\Here we go!\Let's charge in!\Okay!\They charged through the front?\Protect the boss at all costs!\I'll be right there!\Dammit. response:	I can't let you do that, fancy hat boy.
context: Here we go!\Let's charge in!\Okay!\They charged through the front?\Protect the boss at all costs!\I'll be right there!\Dammit.\I can't let you do that, fancy hat boy. response:	By my estimates, your involvement will lower our chances of victory.
context: Let's charge in!\Okay!\They charged through the front?\Protect the boss at all costs!\I'll be right there!\Dammit.\I can't let you do that, fancy hat boy.\By my estimates, your involvement will lower our chances of victory. response:	So, with that said,
context: Okay!\They charged through the front?\Protect the boss at all costs!\I'll be right there!\Dammit.\I can't let you do that, fancy hat boy.\By my estimates, your involvement will lower our chances of victory.\So, with that said, response:	I'm here to stop you.
context: They charged through the front?\Protect the boss at all costs!\I'll be right there!\Dammit.\I can't let you do that, fancy hat boy.\By my estimates, your involvement will lower our chances of victory.\So, with that said,\I'm here to stop you. response:	Are you serious?
context: Protect the boss at all costs!\I'll be right there!\Dammit.\I can't let you do that, fancy hat boy.\By my estimates, your involvement will lower our chances of victory.\So, with that said,\I'm here to stop you.\Are you serious? response:	I know you're integral to the Detective Agency,
context: I'll be right there!\Dammit.\I can't let you do that, fancy hat boy.\By my estimates, your involvement will lower our chances of victory.\So, with that said,\I'm here to stop you.\Are you serious?\I know you're integral to the Detective Agency, response:	but I don't think you can put up a fight.
context: Dammit.\I can't let you do that, fancy hat boy.\By my estimates, your involvement will lower our chances of victory.\So, with that said,\I'm here to stop you.\Are you serious?\I know you're integral to the Detective Agency,\but I don't think you can put up a fight. response:	But you've lost to Dazai before, haven't you?
context: I can't let you do that, fancy hat boy.\By my estimates, your involvement will lower our chances of victory.\So, with that said,\I'm here to stop you.\Are you serious?\I know you're integral to the Detective Agency,\but I don't think you can put up a fight.\But you've lost to Dazai before, haven't you? response:	Want to see what it's like to be crushed by gravity?
context: By my estimates, your involvement will lower our chances of victory.\So, with that said,\I'm here to stop you.\Are you serious?\I know you're integral to the Detective Agency,\but I don't think you can put up a fight.\But you've lost to Dazai before, haven't you?\Want to see what it's like to be crushed by gravity? response:	Nothing is impossible for a great detective.
context: So, with that said,\I'm here to stop you.\Are you serious?\I know you're integral to the Detective Agency,\but I don't think you can put up a fight.\But you've lost to Dazai before, haven't you?\Want to see what it's like to be crushed by gravity?\Nothing is impossible for a great detective. response:	Katai-san, I'm coming in.
context: I'm here to stop you.\Are you serious?\I know you're integral to the Detective Agency,\but I don't think you can put up a fight.\But you've lost to Dazai before, haven't you?\Want to see what it's like to be crushed by gravity?\Nothing is impossible for a great detective.\Katai-san, I'm coming in. response:	Katai-san!
context: Are you serious?\I know you're integral to the Detective Agency,\but I don't think you can put up a fight.\But you've lost to Dazai before, haven't you?\Want to see what it's like to be crushed by gravity?\Nothing is impossible for a great detective.\Katai-san, I'm coming in.\Katai-san! response:	He's gone.
context: I know you're integral to the Detective Agency,\but I don't think you can put up a fight.\But you've lost to Dazai before, haven't you?\Want to see what it's like to be crushed by gravity?\Nothing is impossible for a great detective.\Katai-san, I'm coming in.\Katai-san!\He's gone. response:	Katai-san would never leave his futon.
context: but I don't think you can put up a fight.\But you've lost to Dazai before, haven't you?\Want to see what it's like to be crushed by gravity?\Nothing is impossible for a great detective.\Katai-san, I'm coming in.\Katai-san!\He's gone.\Katai-san would never leave his futon. response:	Kunikida-san.
context: But you've lost to Dazai before, haven't you?\Want to see what it's like to be crushed by gravity?\Nothing is impossible for a great detective.\Katai-san, I'm coming in.\Katai-san!\He's gone.\Katai-san would never leave his futon.\Kunikida-san. response:	Katai-san's not here.
context: Want to see what it's like to be crushed by gravity?\Nothing is impossible for a great detective.\Katai-san, I'm coming in.\Katai-san!\He's gone.\Katai-san would never leave his futon.\Kunikida-san.\Katai-san's not here. response:	Where could he be?
context: Nothing is impossible for a great detective.\Katai-san, I'm coming in.\Katai-san!\He's gone.\Katai-san would never leave his futon.\Kunikida-san.\Katai-san's not here.\Where could he be? response:	Kunikida-san?!
context: Katai-san, I'm coming in.\Katai-san!\He's gone.\Katai-san would never leave his futon.\Kunikida-san.\Katai-san's not here.\Where could he be?\Kunikida-san?! response:	What's that?
context: Katai-san!\He's gone.\Katai-san would never leave his futon.\Kunikida-san.\Katai-san's not here.\Where could he be?\Kunikida-san?!\What's that? response:	Katai's been recording footage of his room in case there was an incident.
context: He's gone.\Katai-san would never leave his futon.\Kunikida-san.\Katai-san's not here.\Where could he be?\Kunikida-san?!\What's that?\Katai's been recording footage of his room in case there was an incident. response:	I thought you would go fight the Port Mafia, Kunikida-san.
context: Katai-san would never leave his futon.\Kunikida-san.\Katai-san's not here.\Where could he be?\Kunikida-san?!\What's that?\Katai's been recording footage of his room in case there was an incident.\I thought you would go fight the Port Mafia, Kunikida-san. response:	If we go against the rules and go after him,
context: Kunikida-san.\Katai-san's not here.\Where could he be?\Kunikida-san?!\What's that?\Katai's been recording footage of his room in case there was an incident.\I thought you would go fight the Port Mafia, Kunikida-san.\If we go against the rules and go after him, response:	more innocent people will die.
context: Katai-san's not here.\Where could he be?\Kunikida-san?!\What's that?\Katai's been recording footage of his room in case there was an incident.\I thought you would go fight the Port Mafia, Kunikida-san.\If we go against the rules and go after him,\more innocent people will die. response:	If nothing I do can save that girl,
context: Where could he be?\Kunikida-san?!\What's that?\Katai's been recording footage of his room in case there was an incident.\I thought you would go fight the Port Mafia, Kunikida-san.\If we go against the rules and go after him,\more innocent people will die.\If nothing I do can save that girl, response:	I'm going to save the president, the city, and the next would-be victim.
context: Kunikida-san?!\What's that?\Katai's been recording footage of his room in case there was an incident.\I thought you would go fight the Port Mafia, Kunikida-san.\If we go against the rules and go after him,\more innocent people will die.\If nothing I do can save that girl,\I'm going to save the president, the city, and the next would-be victim. response:	I can't think of any other way to honor her memory.
context: What's that?\Katai's been recording footage of his room in case there was an incident.\I thought you would go fight the Port Mafia, Kunikida-san.\If we go against the rules and go after him,\more innocent people will die.\If nothing I do can save that girl,\I'm going to save the president, the city, and the next would-be victim.\I can't think of any other way to honor her memory. response:	Copying
context: Katai's been recording footage of his room in case there was an incident.\I thought you would go fight the Port Mafia, Kunikida-san.\If we go against the rules and go after him,\more innocent people will die.\If nothing I do can save that girl,\I'm going to save the president, the city, and the next would-be victim.\I can't think of any other way to honor her memory.\Copying response:	Complete
context: I thought you would go fight the Port Mafia, Kunikida-san.\If we go against the rules and go after him,\more innocent people will die.\If nothing I do can save that girl,\I'm going to save the president, the city, and the next would-be victim.\I can't think of any other way to honor her memory.\Copying\Complete response:	It's Katai.
context: If we go against the rules and go after him,\more innocent people will die.\If nothing I do can save that girl,\I'm going to save the president, the city, and the next would-be victim.\I can't think of any other way to honor her memory.\Copying\Complete\It's Katai. response:	He's in the middle of investigating.
context: more innocent people will die.\If nothing I do can save that girl,\I'm going to save the president, the city, and the next would-be victim.\I can't think of any other way to honor her memory.\Copying\Complete\It's Katai.\He's in the middle of investigating. response:	So this is their...
context: If nothing I do can save that girl,\I'm going to save the president, the city, and the next would-be victim.\I can't think of any other way to honor her memory.\Copying\Complete\It's Katai.\He's in the middle of investigating.\So this is their... response:	A doll?
context: I'm going to save the president, the city, and the next would-be victim.\I can't think of any other way to honor her memory.\Copying\Complete\It's Katai.\He's in the middle of investigating.\So this is their...\A doll? response:	Move, and you're dead.
context: I can't think of any other way to honor her memory.\Copying\Complete\It's Katai.\He's in the middle of investigating.\So this is their...\A doll?\Move, and you're dead. response:	Tell me the code to the underground room where the boss is sleeping.
context: Copying\Complete\It's Katai.\He's in the middle of investigating.\So this is their...\A doll?\Move, and you're dead.\Tell me the code to the underground room where the boss is sleeping. response:	I heard you joined the Detective Agency and stopped being an assassin.
context: Complete\It's Katai.\He's in the middle of investigating.\So this is their...\A doll?\Move, and you're dead.\Tell me the code to the underground room where the boss is sleeping.\I heard you joined the Detective Agency and stopped being an assassin. response:	That seems to have been misinformation.
context: It's Katai.\He's in the middle of investigating.\So this is their...\A doll?\Move, and you're dead.\Tell me the code to the underground room where the boss is sleeping.\I heard you joined the Detective Agency and stopped being an assassin.\That seems to have been misinformation. response:	I won't kill if it doesn't serve a purpose.
context: He's in the middle of investigating.\So this is their...\A doll?\Move, and you're dead.\Tell me the code to the underground room where the boss is sleeping.\I heard you joined the Detective Agency and stopped being an assassin.\That seems to have been misinformation.\I won't kill if it doesn't serve a purpose. response:	But if you don't tell me the entry code...
context: So this is their...\A doll?\Move, and you're dead.\Tell me the code to the underground room where the boss is sleeping.\I heard you joined the Detective Agency and stopped being an assassin.\That seems to have been misinformation.\I won't kill if it doesn't serve a purpose.\But if you don't tell me the entry code... response:	I'll make sure you never fire a gun again.
context: A doll?\Move, and you're dead.\Tell me the code to the underground room where the boss is sleeping.\I heard you joined the Detective Agency and stopped being an assassin.\That seems to have been misinformation.\I won't kill if it doesn't serve a purpose.\But if you don't tell me the entry code...\I'll make sure you never fire a gun again. response:	I've been prepared since the moment I took this job.
context: Move, and you're dead.\Tell me the code to the underground room where the boss is sleeping.\I heard you joined the Detective Agency and stopped being an assassin.\That seems to have been misinformation.\I won't kill if it doesn't serve a purpose.\But if you don't tell me the entry code...\I'll make sure you never fire a gun again.\I've been prepared since the moment I took this job. response:	I see.
context: Tell me the code to the underground room where the boss is sleeping.\I heard you joined the Detective Agency and stopped being an assassin.\That seems to have been misinformation.\I won't kill if it doesn't serve a purpose.\But if you don't tell me the entry code...\I'll make sure you never fire a gun again.\I've been prepared since the moment I took this job.\I see. response:	That's a shame.
