context: Ima inochi ga hora kizashite chitte yuku response:	Nigirishimeta unmei
context: Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake response:	Tobitateru negai haruka tataku
context: Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku response:	The Final Feather: The Sekirei of Fate
context: Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\The Final Feather: The Sekirei of Fate response:	The Final Feather: The Sekirei of Fate Musubi-chan! Musubi-chan! Musubi-chan!
context: Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\The Final Feather: The Sekirei of Fate\The Final Feather: The Sekirei of Fate Musubi-chan! Musubi-chan! Musubi-chan! response:	Musubi-chan! Musubi-chan! Musubi-chan!
context: Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\The Final Feather: The Sekirei of Fate\The Final Feather: The Sekirei of Fate Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan! Musubi-chan! Musubi-chan! response:	Musubi-chan...
context: Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\The Final Feather: The Sekirei of Fate\The Final Feather: The Sekirei of Fate Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan... response:	Musubi-chan, wake-up.
context: Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\The Final Feather: The Sekirei of Fate\The Final Feather: The Sekirei of Fate Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan...\Musubi-chan, wake-up. response:	Wake-up, Musubi-chan! Musubi-chan!
context: Takanaru mune habatake\Tobitateru negai haruka tataku\The Final Feather: The Sekirei of Fate\The Final Feather: The Sekirei of Fate Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan...\Musubi-chan, wake-up.\Wake-up, Musubi-chan! Musubi-chan! response:	The last remaining Sekirei can stay with its most beloved person forever.
context: Tobitateru negai haruka tataku\The Final Feather: The Sekirei of Fate\The Final Feather: The Sekirei of Fate Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan...\Musubi-chan, wake-up.\Wake-up, Musubi-chan! Musubi-chan!\The last remaining Sekirei can stay with its most beloved person forever. response:	Until that day, I will never lose.
context: The Final Feather: The Sekirei of Fate\The Final Feather: The Sekirei of Fate Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan...\Musubi-chan, wake-up.\Wake-up, Musubi-chan! Musubi-chan!\The last remaining Sekirei can stay with its most beloved person forever.\Until that day, I will never lose. response:	Musubi-chan...
context: The Final Feather: The Sekirei of Fate Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan...\Musubi-chan, wake-up.\Wake-up, Musubi-chan! Musubi-chan!\The last remaining Sekirei can stay with its most beloved person forever.\Until that day, I will never lose.\Musubi-chan... response:	Uh, hey...
context: Musubi-chan! Musubi-chan! Musubi-chan!\Musubi-chan...\Musubi-chan, wake-up.\Wake-up, Musubi-chan! Musubi-chan!\The last remaining Sekirei can stay with its most beloved person forever.\Until that day, I will never lose.\Musubi-chan...\Uh, hey... response:	You'd better just give up already.
context: Musubi-chan...\Musubi-chan, wake-up.\Wake-up, Musubi-chan! Musubi-chan!\The last remaining Sekirei can stay with its most beloved person forever.\Until that day, I will never lose.\Musubi-chan...\Uh, hey...\You'd better just give up already. response:	The Sekirei Symbol's gone, you know?
context: Musubi-chan, wake-up.\Wake-up, Musubi-chan! Musubi-chan!\The last remaining Sekirei can stay with its most beloved person forever.\Until that day, I will never lose.\Musubi-chan...\Uh, hey...\You'd better just give up already.\The Sekirei Symbol's gone, you know? response:	Sahashi!
context: Wake-up, Musubi-chan! Musubi-chan!\The last remaining Sekirei can stay with its most beloved person forever.\Until that day, I will never lose.\Musubi-chan...\Uh, hey...\You'd better just give up already.\The Sekirei Symbol's gone, you know?\Sahashi! response:	Is this the time to be worrying about others?
context: The last remaining Sekirei can stay with its most beloved person forever.\Until that day, I will never lose.\Musubi-chan...\Uh, hey...\You'd better just give up already.\The Sekirei Symbol's gone, you know?\Sahashi!\Is this the time to be worrying about others? response:	Run, Kuno!
context: Until that day, I will never lose.\Musubi-chan...\Uh, hey...\You'd better just give up already.\The Sekirei Symbol's gone, you know?\Sahashi!\Is this the time to be worrying about others?\Run, Kuno! response:	Haruka-sama!
context: Musubi-chan...\Uh, hey...\You'd better just give up already.\The Sekirei Symbol's gone, you know?\Sahashi!\Is this the time to be worrying about others?\Run, Kuno!\Haruka-sama! response:	The Sekirei Plan?
context: Uh, hey...\You'd better just give up already.\The Sekirei Symbol's gone, you know?\Sahashi!\Is this the time to be worrying about others?\Run, Kuno!\Haruka-sama!\The Sekirei Plan? response:	You can't just say something like that out of the blue and expect me to...
context: You'd better just give up already.\The Sekirei Symbol's gone, you know?\Sahashi!\Is this the time to be worrying about others?\Run, Kuno!\Haruka-sama!\The Sekirei Plan?\You can't just say something like that out of the blue and expect me to... response:	A girl is crying and asking a favor,
context: The Sekirei Symbol's gone, you know?\Sahashi!\Is this the time to be worrying about others?\Run, Kuno!\Haruka-sama!\The Sekirei Plan?\You can't just say something like that out of the blue and expect me to...\A girl is crying and asking a favor, response:	so if I refuse, that'll make me less of a man...
context: Sahashi!\Is this the time to be worrying about others?\Run, Kuno!\Haruka-sama!\The Sekirei Plan?\You can't just say something like that out of the blue and expect me to...\A girl is crying and asking a favor,\so if I refuse, that'll make me less of a man... response:	All right.
context: Is this the time to be worrying about others?\Run, Kuno!\Haruka-sama!\The Sekirei Plan?\You can't just say something like that out of the blue and expect me to...\A girl is crying and asking a favor,\so if I refuse, that'll make me less of a man...\All right. response:	I'll become your Ashikabi.
context: Run, Kuno!\Haruka-sama!\The Sekirei Plan?\You can't just say something like that out of the blue and expect me to...\A girl is crying and asking a favor,\so if I refuse, that'll make me less of a man...\All right.\I'll become your Ashikabi. response:	Haruka-sama! Haruka-sama!
context: Haruka-sama!\The Sekirei Plan?\You can't just say something like that out of the blue and expect me to...\A girl is crying and asking a favor,\so if I refuse, that'll make me less of a man...\All right.\I'll become your Ashikabi.\Haruka-sama! Haruka-sama! response:	Haruka-sama...
context: The Sekirei Plan?\You can't just say something like that out of the blue and expect me to...\A girl is crying and asking a favor,\so if I refuse, that'll make me less of a man...\All right.\I'll become your Ashikabi.\Haruka-sama! Haruka-sama!\Haruka-sama... response:	Shit!
context: You can't just say something like that out of the blue and expect me to...\A girl is crying and asking a favor,\so if I refuse, that'll make me less of a man...\All right.\I'll become your Ashikabi.\Haruka-sama! Haruka-sama!\Haruka-sama...\Shit! response:	I'll use my incantation.
context: A girl is crying and asking a favor,\so if I refuse, that'll make me less of a man...\All right.\I'll become your Ashikabi.\Haruka-sama! Haruka-sama!\Haruka-sama...\Shit!\I'll use my incantation. response:	Haruka-sama, I love you.
context: so if I refuse, that'll make me less of a man...\All right.\I'll become your Ashikabi.\Haruka-sama! Haruka-sama!\Haruka-sama...\Shit!\I'll use my incantation.\Haruka-sama, I love you. response:	Song of my pact, illuminate my Ashikabi's path!
context: All right.\I'll become your Ashikabi.\Haruka-sama! Haruka-sama!\Haruka-sama...\Shit!\I'll use my incantation.\Haruka-sama, I love you.\Song of my pact, illuminate my Ashikabi's path! response:	What... is this voice?
context: I'll become your Ashikabi.\Haruka-sama! Haruka-sama!\Haruka-sama...\Shit!\I'll use my incantation.\Haruka-sama, I love you.\Song of my pact, illuminate my Ashikabi's path!\What... is this voice? response:	I'm losing my strength...
context: Haruka-sama! Haruka-sama!\Haruka-sama...\Shit!\I'll use my incantation.\Haruka-sama, I love you.\Song of my pact, illuminate my Ashikabi's path!\What... is this voice?\I'm losing my strength... response:	A song?
context: Haruka-sama...\Shit!\I'll use my incantation.\Haruka-sama, I love you.\Song of my pact, illuminate my Ashikabi's path!\What... is this voice?\I'm losing my strength...\A song? response:	What a beautiful voice...
context: Shit!\I'll use my incantation.\Haruka-sama, I love you.\Song of my pact, illuminate my Ashikabi's path!\What... is this voice?\I'm losing my strength...\A song?\What a beautiful voice... response:	But this... really saps my strength...
context: I'll use my incantation.\Haruka-sama, I love you.\Song of my pact, illuminate my Ashikabi's path!\What... is this voice?\I'm losing my strength...\A song?\What a beautiful voice...\But this... really saps my strength... response:	The Song of Mellow-Mellow!
context: Haruka-sama, I love you.\Song of my pact, illuminate my Ashikabi's path!\What... is this voice?\I'm losing my strength...\A song?\What a beautiful voice...\But this... really saps my strength...\The Song of Mellow-Mellow! response:	Please don't give it a wacky title, Haruka-sama!
context: Song of my pact, illuminate my Ashikabi's path!\What... is this voice?\I'm losing my strength...\A song?\What a beautiful voice...\But this... really saps my strength...\The Song of Mellow-Mellow!\Please don't give it a wacky title, Haruka-sama! response:	Ah... this comfortable feeling of powerlessness...
context: What... is this voice?\I'm losing my strength...\A song?\What a beautiful voice...\But this... really saps my strength...\The Song of Mellow-Mellow!\Please don't give it a wacky title, Haruka-sama!\Ah... this comfortable feeling of powerlessness... response:	I don't care about discipline or whatever...
context: I'm losing my strength...\A song?\What a beautiful voice...\But this... really saps my strength...\The Song of Mellow-Mellow!\Please don't give it a wacky title, Haruka-sama!\Ah... this comfortable feeling of powerlessness...\I don't care about discipline or whatever... response:	Don't fall asleep!
context: A song?\What a beautiful voice...\But this... really saps my strength...\The Song of Mellow-Mellow!\Please don't give it a wacky title, Haruka-sama!\Ah... this comfortable feeling of powerlessness...\I don't care about discipline or whatever...\Don't fall asleep! response:	Hey, Haihane!
context: What a beautiful voice...\But this... really saps my strength...\The Song of Mellow-Mellow!\Please don't give it a wacky title, Haruka-sama!\Ah... this comfortable feeling of powerlessness...\I don't care about discipline or whatever...\Don't fall asleep!\Hey, Haihane! response:	Damn! I can't keep my strength. What's with this song?
context: But this... really saps my strength...\The Song of Mellow-Mellow!\Please don't give it a wacky title, Haruka-sama!\Ah... this comfortable feeling of powerlessness...\I don't care about discipline or whatever...\Don't fall asleep!\Hey, Haihane!\Damn! I can't keep my strength. What's with this song? response:	Crap!
context: The Song of Mellow-Mellow!\Please don't give it a wacky title, Haruka-sama!\Ah... this comfortable feeling of powerlessness...\I don't care about discipline or whatever...\Don't fall asleep!\Hey, Haihane!\Damn! I can't keep my strength. What's with this song?\Crap! response:	Kuno! Hey, Kuno!
context: Please don't give it a wacky title, Haruka-sama!\Ah... this comfortable feeling of powerlessness...\I don't care about discipline or whatever...\Don't fall asleep!\Hey, Haihane!\Damn! I can't keep my strength. What's with this song?\Crap!\Kuno! Hey, Kuno! response:	Haruka-sama... I was useful...
context: Ah... this comfortable feeling of powerlessness...\I don't care about discipline or whatever...\Don't fall asleep!\Hey, Haihane!\Damn! I can't keep my strength. What's with this song?\Crap!\Kuno! Hey, Kuno!\Haruka-sama... I was useful... response:	No, you're incompetent after all.
context: I don't care about discipline or whatever...\Don't fall asleep!\Hey, Haihane!\Damn! I can't keep my strength. What's with this song?\Crap!\Kuno! Hey, Kuno!\Haruka-sama... I was useful...\No, you're incompetent after all. response:	But you are the best incompetent for me.
context: Don't fall asleep!\Hey, Haihane!\Damn! I can't keep my strength. What's with this song?\Crap!\Kuno! Hey, Kuno!\Haruka-sama... I was useful...\No, you're incompetent after all.\But you are the best incompetent for me. response:	Haruka-sama, that's not even real Japanese.
context: Hey, Haihane!\Damn! I can't keep my strength. What's with this song?\Crap!\Kuno! Hey, Kuno!\Haruka-sama... I was useful...\No, you're incompetent after all.\But you are the best incompetent for me.\Haruka-sama, that's not even real Japanese. response:	You're so stupid! Now there's no point to what you did.
context: Damn! I can't keep my strength. What's with this song?\Crap!\Kuno! Hey, Kuno!\Haruka-sama... I was useful...\No, you're incompetent after all.\But you are the best incompetent for me.\Haruka-sama, that's not even real Japanese.\You're so stupid! Now there's no point to what you did. response:	That's not true.
context: Crap!\Kuno! Hey, Kuno!\Haruka-sama... I was useful...\No, you're incompetent after all.\But you are the best incompetent for me.\Haruka-sama, that's not even real Japanese.\You're so stupid! Now there's no point to what you did.\That's not true. response:	She... tried to protect him with all her might.
context: Kuno! Hey, Kuno!\Haruka-sama... I was useful...\No, you're incompetent after all.\But you are the best incompetent for me.\Haruka-sama, that's not even real Japanese.\You're so stupid! Now there's no point to what you did.\That's not true.\She... tried to protect him with all her might. response:	Do you understand the present situation?
context: Haruka-sama... I was useful...\No, you're incompetent after all.\But you are the best incompetent for me.\Haruka-sama, that's not even real Japanese.\You're so stupid! Now there's no point to what you did.\That's not true.\She... tried to protect him with all her might.\Do you understand the present situation? response:	A mere monkey like you...
context: No, you're incompetent after all.\But you are the best incompetent for me.\Haruka-sama, that's not even real Japanese.\You're so stupid! Now there's no point to what you did.\That's not true.\She... tried to protect him with all her might.\Do you understand the present situation?\A mere monkey like you... response:	Ye Sekireis who are like MBI's wild dogs...
context: But you are the best incompetent for me.\Haruka-sama, that's not even real Japanese.\You're so stupid! Now there's no point to what you did.\That's not true.\She... tried to protect him with all her might.\Do you understand the present situation?\A mere monkey like you...\Ye Sekireis who are like MBI's wild dogs... response:	Ye shall be the ones punished!
context: Haruka-sama, that's not even real Japanese.\You're so stupid! Now there's no point to what you did.\That's not true.\She... tried to protect him with all her might.\Do you understand the present situation?\A mere monkey like you...\Ye Sekireis who are like MBI's wild dogs...\Ye shall be the ones punished! response:	Tsukiumi... you came here for us!
context: You're so stupid! Now there's no point to what you did.\That's not true.\She... tried to protect him with all her might.\Do you understand the present situation?\A mere monkey like you...\Ye Sekireis who are like MBI's wild dogs...\Ye shall be the ones punished!\Tsukiumi... you came here for us! response:	Is she one of them?
context: That's not true.\She... tried to protect him with all her might.\Do you understand the present situation?\A mere monkey like you...\Ye Sekireis who are like MBI's wild dogs...\Ye shall be the ones punished!\Tsukiumi... you came here for us!\Is she one of them? response:	Musubi!
context: She... tried to protect him with all her might.\Do you understand the present situation?\A mere monkey like you...\Ye Sekireis who are like MBI's wild dogs...\Ye shall be the ones punished!\Tsukiumi... you came here for us!\Is she one of them?\Musubi! response:	Musubi-chan's Sekirei Symbol is...
context: Do you understand the present situation?\A mere monkey like you...\Ye Sekireis who are like MBI's wild dogs...\Ye shall be the ones punished!\Tsukiumi... you came here for us!\Is she one of them?\Musubi!\Musubi-chan's Sekirei Symbol is... response:	Musubi, our shopping race... I shan't forgive thee winning and leaving...
context: A mere monkey like you...\Ye Sekireis who are like MBI's wild dogs...\Ye shall be the ones punished!\Tsukiumi... you came here for us!\Is she one of them?\Musubi!\Musubi-chan's Sekirei Symbol is...\Musubi, our shopping race... I shan't forgive thee winning and leaving... response:	Rise! Rise now, Musubi!
context: Ye Sekireis who are like MBI's wild dogs...\Ye shall be the ones punished!\Tsukiumi... you came here for us!\Is she one of them?\Musubi!\Musubi-chan's Sekirei Symbol is...\Musubi, our shopping race... I shan't forgive thee winning and leaving...\Rise! Rise now, Musubi! response:	Who the hell are you? You're annoying, popping up out of nowhere like that.
context: Ye shall be the ones punished!\Tsukiumi... you came here for us!\Is she one of them?\Musubi!\Musubi-chan's Sekirei Symbol is...\Musubi, our shopping race... I shan't forgive thee winning and leaving...\Rise! Rise now, Musubi!\Who the hell are you? You're annoying, popping up out of nowhere like that. response:	How darest thee...
context: Tsukiumi... you came here for us!\Is she one of them?\Musubi!\Musubi-chan's Sekirei Symbol is...\Musubi, our shopping race... I shan't forgive thee winning and leaving...\Rise! Rise now, Musubi!\Who the hell are you? You're annoying, popping up out of nowhere like that.\How darest thee... response:	How darest thee do this to my friend!
context: Is she one of them?\Musubi!\Musubi-chan's Sekirei Symbol is...\Musubi, our shopping race... I shan't forgive thee winning and leaving...\Rise! Rise now, Musubi!\Who the hell are you? You're annoying, popping up out of nowhere like that.\How darest thee...\How darest thee do this to my friend! response:	Number 09, Tsukiumi! Here I come!
context: Musubi!\Musubi-chan's Sekirei Symbol is...\Musubi, our shopping race... I shan't forgive thee winning and leaving...\Rise! Rise now, Musubi!\Who the hell are you? You're annoying, popping up out of nowhere like that.\How darest thee...\How darest thee do this to my friend!\Number 09, Tsukiumi! Here I come! response:	Crap! She's a single number!
context: Musubi-chan's Sekirei Symbol is...\Musubi, our shopping race... I shan't forgive thee winning and leaving...\Rise! Rise now, Musubi!\Who the hell are you? You're annoying, popping up out of nowhere like that.\How darest thee...\How darest thee do this to my friend!\Number 09, Tsukiumi! Here I come!\Crap! She's a single number! response:	Water Arrows!
context: Musubi, our shopping race... I shan't forgive thee winning and leaving...\Rise! Rise now, Musubi!\Who the hell are you? You're annoying, popping up out of nowhere like that.\How darest thee...\How darest thee do this to my friend!\Number 09, Tsukiumi! Here I come!\Crap! She's a single number!\Water Arrows! response:	Blue!
context: Rise! Rise now, Musubi!\Who the hell are you? You're annoying, popping up out of nowhere like that.\How darest thee...\How darest thee do this to my friend!\Number 09, Tsukiumi! Here I come!\Crap! She's a single number!\Water Arrows!\Blue! response:	Bitch!
context: Who the hell are you? You're annoying, popping up out of nowhere like that.\How darest thee...\How darest thee do this to my friend!\Number 09, Tsukiumi! Here I come!\Crap! She's a single number!\Water Arrows!\Blue!\Bitch! response:	Tsukiumi!
context: How darest thee...\How darest thee do this to my friend!\Number 09, Tsukiumi! Here I come!\Crap! She's a single number!\Water Arrows!\Blue!\Bitch!\Tsukiumi! response:	You don't think you can defeat two of us, do you?
context: How darest thee do this to my friend!\Number 09, Tsukiumi! Here I come!\Crap! She's a single number!\Water Arrows!\Blue!\Bitch!\Tsukiumi!\You don't think you can defeat two of us, do you? response:	Next time I'll hurt more than your clothes.
context: Number 09, Tsukiumi! Here I come!\Crap! She's a single number!\Water Arrows!\Blue!\Bitch!\Tsukiumi!\You don't think you can defeat two of us, do you?\Next time I'll hurt more than your clothes. response:	Thou art a claw user, huh?
context: Crap! She's a single number!\Water Arrows!\Blue!\Bitch!\Tsukiumi!\You don't think you can defeat two of us, do you?\Next time I'll hurt more than your clothes.\Thou art a claw user, huh? response:	The soul sword given to me by the Landlady... my Water Blade...
context: Water Arrows!\Blue!\Bitch!\Tsukiumi!\You don't think you can defeat two of us, do you?\Next time I'll hurt more than your clothes.\Thou art a claw user, huh?\The soul sword given to me by the Landlady... my Water Blade... response:	I shall not hesitate to use it!
context: Blue!\Bitch!\Tsukiumi!\You don't think you can defeat two of us, do you?\Next time I'll hurt more than your clothes.\Thou art a claw user, huh?\The soul sword given to me by the Landlady... my Water Blade...\I shall not hesitate to use it! response:	The Discipline Squad is out there... the situation is dire for them.
context: Bitch!\Tsukiumi!\You don't think you can defeat two of us, do you?\Next time I'll hurt more than your clothes.\Thou art a claw user, huh?\The soul sword given to me by the Landlady... my Water Blade...\I shall not hesitate to use it!\The Discipline Squad is out there... the situation is dire for them. response:	I'm going.
context: Tsukiumi!\You don't think you can defeat two of us, do you?\Next time I'll hurt more than your clothes.\Thou art a claw user, huh?\The soul sword given to me by the Landlady... my Water Blade...\I shall not hesitate to use it!\The Discipline Squad is out there... the situation is dire for them.\I'm going. response:	It's even better to watch in the arena, isn't it?
context: You don't think you can defeat two of us, do you?\Next time I'll hurt more than your clothes.\Thou art a claw user, huh?\The soul sword given to me by the Landlady... my Water Blade...\I shall not hesitate to use it!\The Discipline Squad is out there... the situation is dire for them.\I'm going.\It's even better to watch in the arena, isn't it? response:	See ya!
context: Next time I'll hurt more than your clothes.\Thou art a claw user, huh?\The soul sword given to me by the Landlady... my Water Blade...\I shall not hesitate to use it!\The Discipline Squad is out there... the situation is dire for them.\I'm going.\It's even better to watch in the arena, isn't it?\See ya! response:	Minato Sahashi...
context: Thou art a claw user, huh?\The soul sword given to me by the Landlady... my Water Blade...\I shall not hesitate to use it!\The Discipline Squad is out there... the situation is dire for them.\I'm going.\It's even better to watch in the arena, isn't it?\See ya!\Minato Sahashi... response:	Forgive me, Musubi.
context: The soul sword given to me by the Landlady... my Water Blade...\I shall not hesitate to use it!\The Discipline Squad is out there... the situation is dire for them.\I'm going.\It's even better to watch in the arena, isn't it?\See ya!\Minato Sahashi...\Forgive me, Musubi. response:	If only I hadn't lost out to my worthless pride...
context: I shall not hesitate to use it!\The Discipline Squad is out there... the situation is dire for them.\I'm going.\It's even better to watch in the arena, isn't it?\See ya!\Minato Sahashi...\Forgive me, Musubi.\If only I hadn't lost out to my worthless pride... response:	Forgive me!
context: The Discipline Squad is out there... the situation is dire for them.\I'm going.\It's even better to watch in the arena, isn't it?\See ya!\Minato Sahashi...\Forgive me, Musubi.\If only I hadn't lost out to my worthless pride...\Forgive me! response:	Gotcha!
context: I'm going.\It's even better to watch in the arena, isn't it?\See ya!\Minato Sahashi...\Forgive me, Musubi.\If only I hadn't lost out to my worthless pride...\Forgive me!\Gotcha! response:	What's... this?
context: It's even better to watch in the arena, isn't it?\See ya!\Minato Sahashi...\Forgive me, Musubi.\If only I hadn't lost out to my worthless pride...\Forgive me!\Gotcha!\What's... this? response:	That Ashikabi... he even scored a high-level Sekirei like this?
context: See ya!\Minato Sahashi...\Forgive me, Musubi.\If only I hadn't lost out to my worthless pride...\Forgive me!\Gotcha!\What's... this?\That Ashikabi... he even scored a high-level Sekirei like this? response:	In the end, I can't do anything...
context: Minato Sahashi...\Forgive me, Musubi.\If only I hadn't lost out to my worthless pride...\Forgive me!\Gotcha!\What's... this?\That Ashikabi... he even scored a high-level Sekirei like this?\In the end, I can't do anything... response:	All I did was mix up everyone in a battle...
context: Forgive me, Musubi.\If only I hadn't lost out to my worthless pride...\Forgive me!\Gotcha!\What's... this?\That Ashikabi... he even scored a high-level Sekirei like this?\In the end, I can't do anything...\All I did was mix up everyone in a battle... response:	Sahashi!
context: If only I hadn't lost out to my worthless pride...\Forgive me!\Gotcha!\What's... this?\That Ashikabi... he even scored a high-level Sekirei like this?\In the end, I can't do anything...\All I did was mix up everyone in a battle...\Sahashi! response:	You seem like you'll be an obstacle for Natsuo someday if I leave you alive.
context: Forgive me!\Gotcha!\What's... this?\That Ashikabi... he even scored a high-level Sekirei like this?\In the end, I can't do anything...\All I did was mix up everyone in a battle...\Sahashi!\You seem like you'll be an obstacle for Natsuo someday if I leave you alive. response:	Minato!
context: Gotcha!\What's... this?\That Ashikabi... he even scored a high-level Sekirei like this?\In the end, I can't do anything...\All I did was mix up everyone in a battle...\Sahashi!\You seem like you'll be an obstacle for Natsuo someday if I leave you alive.\Minato! response:	Your opponent is... me!
context: What's... this?\That Ashikabi... he even scored a high-level Sekirei like this?\In the end, I can't do anything...\All I did was mix up everyone in a battle...\Sahashi!\You seem like you'll be an obstacle for Natsuo someday if I leave you alive.\Minato!\Your opponent is... me! response:	Get away from Minato!
context: That Ashikabi... he even scored a high-level Sekirei like this?\In the end, I can't do anything...\All I did was mix up everyone in a battle...\Sahashi!\You seem like you'll be an obstacle for Natsuo someday if I leave you alive.\Minato!\Your opponent is... me!\Get away from Minato! response:	Tsukiumi!
context: In the end, I can't do anything...\All I did was mix up everyone in a battle...\Sahashi!\You seem like you'll be an obstacle for Natsuo someday if I leave you alive.\Minato!\Your opponent is... me!\Get away from Minato!\Tsukiumi! response:	I shall... never let thee touch Minato!
context: All I did was mix up everyone in a battle...\Sahashi!\You seem like you'll be an obstacle for Natsuo someday if I leave you alive.\Minato!\Your opponent is... me!\Get away from Minato!\Tsukiumi!\I shall... never let thee touch Minato! response:	This is it, number 09.
context: Sahashi!\You seem like you'll be an obstacle for Natsuo someday if I leave you alive.\Minato!\Your opponent is... me!\Get away from Minato!\Tsukiumi!\I shall... never let thee touch Minato!\This is it, number 09. response:	Bad news!
context: You seem like you'll be an obstacle for Natsuo someday if I leave you alive.\Minato!\Your opponent is... me!\Get away from Minato!\Tsukiumi!\I shall... never let thee touch Minato!\This is it, number 09.\Bad news! response:	Big Sis?!
