context: This is the place, right? response:	Yep, I looked it up on the internet.
context: If you can't memorize the positions, you don't stand a chance.\Naturally, you'll need to memorize both our cards and the other team's cards.\Memorize?!\Memorize the positions for all 100 cards?!\Um, this is...\Chihaya, come here for a second.\What?! I haven't memorized any of them yet!\We're allowed to go wherever we want during these 15 minutes. response:	Let's hold a meeting outside.
context: Naturally, you'll need to memorize both our cards and the other team's cards.\Memorize?!\Memorize the positions for all 100 cards?!\Um, this is...\Chihaya, come here for a second.\What?! I haven't memorized any of them yet!\We're allowed to go wherever we want during these 15 minutes.\Let's hold a meeting outside. response:	First, Chihaya has all of the first syllable cards.
context: Memorize?!\Memorize the positions for all 100 cards?!\Um, this is...\Chihaya, come here for a second.\What?! I haven't memorized any of them yet!\We're allowed to go wherever we want during these 15 minutes.\Let's hold a meeting outside.\First, Chihaya has all of the first syllable cards. response:	You go for these cards as soon as
context: Memorize the positions for all 100 cards?!\Um, this is...\Chihaya, come here for a second.\What?! I haven't memorized any of them yet!\We're allowed to go wherever we want during these 15 minutes.\Let's hold a meeting outside.\First, Chihaya has all of the first syllable cards.\You go for these cards as soon as response:	you hear one of the first syllables, such as rain or waves.
context: Um, this is...\Chihaya, come here for a second.\What?! I haven't memorized any of them yet!\We're allowed to go wherever we want during these 15 minutes.\Let's hold a meeting outside.\First, Chihaya has all of the first syllable cards.\You go for these cards as soon as\you hear one of the first syllables, such as rain or waves. response:	There are seven of these.
context: Chihaya, come here for a second.\What?! I haven't memorized any of them yet!\We're allowed to go wherever we want during these 15 minutes.\Let's hold a meeting outside.\First, Chihaya has all of the first syllable cards.\You go for these cards as soon as\you hear one of the first syllables, such as rain or waves.\There are seven of these. response:	The rest are second-syllable cards that begin with the.
context: What?! I haven't memorized any of them yet!\We're allowed to go wherever we want during these 15 minutes.\Let's hold a meeting outside.\First, Chihaya has all of the first syllable cards.\You go for these cards as soon as\you hear one of the first syllables, such as rain or waves.\There are seven of these.\The rest are second-syllable cards that begin with the. response:	Uh-huh!
context: We're allowed to go wherever we want during these 15 minutes.\Let's hold a meeting outside.\First, Chihaya has all of the first syllable cards.\You go for these cards as soon as\you hear one of the first syllables, such as rain or waves.\There are seven of these.\The rest are second-syllable cards that begin with the.\Uh-huh! response:	Mashima has the long shot cards
context: Let's hold a meeting outside.\First, Chihaya has all of the first syllable cards.\You go for these cards as soon as\you hear one of the first syllables, such as rain or waves.\There are seven of these.\The rest are second-syllable cards that begin with the.\Uh-huh!\Mashima has the long shot cards response:	that need more words to be identified.
context: First, Chihaya has all of the first syllable cards.\You go for these cards as soon as\you hear one of the first syllables, such as rain or waves.\There are seven of these.\The rest are second-syllable cards that begin with the.\Uh-huh!\Mashima has the long shot cards\that need more words to be identified. response:	Hmm?
context: You go for these cards as soon as\you hear one of the first syllables, such as rain or waves.\There are seven of these.\The rest are second-syllable cards that begin with the.\Uh-huh!\Mashima has the long shot cards\that need more words to be identified.\Hmm? response:	Such as the hazy early morning and for you, I.
context: you hear one of the first syllables, such as rain or waves.\There are seven of these.\The rest are second-syllable cards that begin with the.\Uh-huh!\Mashima has the long shot cards\that need more words to be identified.\Hmm?\Such as the hazy early morning and for you, I. response:	There are cards that begin with the same string of words.
context: There are seven of these.\The rest are second-syllable cards that begin with the.\Uh-huh!\Mashima has the long shot cards\that need more words to be identified.\Hmm?\Such as the hazy early morning and for you, I.\There are cards that begin with the same string of words. response:	They're called long shot cards because
context: The rest are second-syllable cards that begin with the.\Uh-huh!\Mashima has the long shot cards\that need more words to be identified.\Hmm?\Such as the hazy early morning and for you, I.\There are cards that begin with the same string of words.\They're called long shot cards because response:	you have to gamble on which card to take.
context: Uh-huh!\Mashima has the long shot cards\that need more words to be identified.\Hmm?\Such as the hazy early morning and for you, I.\There are cards that begin with the same string of words.\They're called long shot cards because\you have to gamble on which card to take. response:	It'll be your call to make.
context: Mashima has the long shot cards\that need more words to be identified.\Hmm?\Such as the hazy early morning and for you, I.\There are cards that begin with the same string of words.\They're called long shot cards because\you have to gamble on which card to take.\It'll be your call to make. response:	Go for the cards as soon as they're called.
context: that need more words to be identified.\Hmm?\Such as the hazy early morning and for you, I.\There are cards that begin with the same string of words.\They're called long shot cards because\you have to gamble on which card to take.\It'll be your call to make.\Go for the cards as soon as they're called. response:	I gave you most of the cards that need more words.
context: Hmm?\Such as the hazy early morning and for you, I.\There are cards that begin with the same string of words.\They're called long shot cards because\you have to gamble on which card to take.\It'll be your call to make.\Go for the cards as soon as they're called.\I gave you most of the cards that need more words. response:	Go for them as soon as they're called?
context: Such as the hazy early morning and for you, I.\There are cards that begin with the same string of words.\They're called long shot cards because\you have to gamble on which card to take.\It'll be your call to make.\Go for the cards as soon as they're called.\I gave you most of the cards that need more words.\Go for them as soon as they're called? response:	What if I take the wrong card?
context: There are cards that begin with the same string of words.\They're called long shot cards because\you have to gamble on which card to take.\It'll be your call to make.\Go for the cards as soon as they're called.\I gave you most of the cards that need more words.\Go for them as soon as they're called?\What if I take the wrong card? response:	You'll be fine!
context: They're called long shot cards because\you have to gamble on which card to take.\It'll be your call to make.\Go for the cards as soon as they're called.\I gave you most of the cards that need more words.\Go for them as soon as they're called?\What if I take the wrong card?\You'll be fine! response:	Why's he taking the lead?
context: you have to gamble on which card to take.\It'll be your call to make.\Go for the cards as soon as they're called.\I gave you most of the cards that need more words.\Go for them as soon as they're called?\What if I take the wrong card?\You'll be fine!\Why's he taking the lead? response:	Rain, waves, long, gust, all, look, swift...
context: It'll be your call to make.\Go for the cards as soon as they're called.\I gave you most of the cards that need more words.\Go for them as soon as they're called?\What if I take the wrong card?\You'll be fine!\Why's he taking the lead?\Rain, waves, long, gust, all, look, swift... response:	Rain, waves, long, gust, all, look, swift...
context: Go for the cards as soon as they're called.\I gave you most of the cards that need more words.\Go for them as soon as they're called?\What if I take the wrong card?\You'll be fine!\Why's he taking the lead?\Rain, waves, long, gust, all, look, swift...\Rain, waves, long, gust, all, look, swift... response:	Why do we even need a strategy?
context: I gave you most of the cards that need more words.\Go for them as soon as they're called?\What if I take the wrong card?\You'll be fine!\Why's he taking the lead?\Rain, waves, long, gust, all, look, swift...\Rain, waves, long, gust, all, look, swift...\Why do we even need a strategy? response:	You should have just played Retro-kun by yourself, Wataya.
context: Go for them as soon as they're called?\What if I take the wrong card?\You'll be fine!\Why's he taking the lead?\Rain, waves, long, gust, all, look, swift...\Rain, waves, long, gust, all, look, swift...\Why do we even need a strategy?\You should have just played Retro-kun by yourself, Wataya. response:	Wouldn't it be easier without us to hold you back?
context: What if I take the wrong card?\You'll be fine!\Why's he taking the lead?\Rain, waves, long, gust, all, look, swift...\Rain, waves, long, gust, all, look, swift...\Why do we even need a strategy?\You should have just played Retro-kun by yourself, Wataya.\Wouldn't it be easier without us to hold you back? response:	I wanted to play as a team.
context: You'll be fine!\Why's he taking the lead?\Rain, waves, long, gust, all, look, swift...\Rain, waves, long, gust, all, look, swift...\Why do we even need a strategy?\You should have just played Retro-kun by yourself, Wataya.\Wouldn't it be easier without us to hold you back?\I wanted to play as a team. response:	We can be a team!
context: Why's he taking the lead?\Rain, waves, long, gust, all, look, swift...\Rain, waves, long, gust, all, look, swift...\Why do we even need a strategy?\You should have just played Retro-kun by yourself, Wataya.\Wouldn't it be easier without us to hold you back?\I wanted to play as a team.\We can be a team! response:	Look for...
context: Rain, waves, long, gust, all, look, swift...\Rain, waves, long, gust, all, look, swift...\Why do we even need a strategy?\You should have just played Retro-kun by yourself, Wataya.\Wouldn't it be easier without us to hold you back?\I wanted to play as a team.\We can be a team!\Look for... response:	That was a one-word card!
context: Rain, waves, long, gust, all, look, swift...\Why do we even need a strategy?\You should have just played Retro-kun by yourself, Wataya.\Wouldn't it be easier without us to hold you back?\I wanted to play as a team.\We can be a team!\Look for...\That was a one-word card! response:	Aren't those supposed to be mine?!
context: Why do we even need a strategy?\You should have just played Retro-kun by yourself, Wataya.\Wouldn't it be easier without us to hold you back?\I wanted to play as a team.\We can be a team!\Look for...\That was a one-word card!\Aren't those supposed to be mine?! response:	But you were too slow.
context: You should have just played Retro-kun by yourself, Wataya.\Wouldn't it be easier without us to hold you back?\I wanted to play as a team.\We can be a team!\Look for...\That was a one-word card!\Aren't those supposed to be mine?!\But you were too slow. response:	For you, I head out to the fields to pick spring greens
context: Wouldn't it be easier without us to hold you back?\I wanted to play as a team.\We can be a team!\Look for...\That was a one-word card!\Aren't those supposed to be mine?!\But you were too slow.\For you, I head out to the fields to pick spring greens response:	One of mine!
context: I wanted to play as a team.\We can be a team!\Look for...\That was a one-word card!\Aren't those supposed to be mine?!\But you were too slow.\For you, I head out to the fields to pick spring greens\One of mine! response:	now together, I guard it dear
context: We can be a team!\Look for...\That was a one-word card!\Aren't those supposed to be mine?!\But you were too slow.\For you, I head out to the fields to pick spring greens\One of mine!\now together, I guard it dear response:	Darn, I guessed wrong.
context: Look for...\That was a one-word card!\Aren't those supposed to be mine?!\But you were too slow.\For you, I head out to the fields to pick spring greens\One of mine!\now together, I guard it dear\Darn, I guessed wrong. response:	It's okay.
