context: Sorry about that. response:	There's a pickled plum in it.
context: to be closed, and we started going to school on the surface.\That's when it happened...\I can't let anyone see this no matter what!\Anyone?\You're already showing me.\You're allowed, Hii-kun!\Manaka had said that... but towards Tsumugu...\At that time, there were ripples making noise in my heart... response:	It got stormy...
context: That's when it happened...\I can't let anyone see this no matter what!\Anyone?\You're already showing me.\You're allowed, Hii-kun!\Manaka had said that... but towards Tsumugu...\At that time, there were ripples making noise in my heart...\It got stormy... response:	And when I realized it,
context: I can't let anyone see this no matter what!\Anyone?\You're already showing me.\You're allowed, Hii-kun!\Manaka had said that... but towards Tsumugu...\At that time, there were ripples making noise in my heart...\It got stormy...\And when I realized it, response:	it felt like it was a ship caught in the middle of the stormy sea.
context: Anyone?\You're already showing me.\You're allowed, Hii-kun!\Manaka had said that... but towards Tsumugu...\At that time, there were ripples making noise in my heart...\It got stormy...\And when I realized it,\it felt like it was a ship caught in the middle of the stormy sea. response:	But it wasn't just me.
context: You're already showing me.\You're allowed, Hii-kun!\Manaka had said that... but towards Tsumugu...\At that time, there were ripples making noise in my heart...\It got stormy...\And when I realized it,\it felt like it was a ship caught in the middle of the stormy sea.\But it wasn't just me. response:	Everyone cared for someone, and...
context: You're allowed, Hii-kun!\Manaka had said that... but towards Tsumugu...\At that time, there were ripples making noise in my heart...\It got stormy...\And when I realized it,\it felt like it was a ship caught in the middle of the stormy sea.\But it wasn't just me.\Everyone cared for someone, and... response:	Some of us didn't realize those feelings ourselves...
context: Manaka had said that... but towards Tsumugu...\At that time, there were ripples making noise in my heart...\It got stormy...\And when I realized it,\it felt like it was a ship caught in the middle of the stormy sea.\But it wasn't just me.\Everyone cared for someone, and...\Some of us didn't realize those feelings ourselves... response:	or know what to do with them...
context: At that time, there were ripples making noise in my heart...\It got stormy...\And when I realized it,\it felt like it was a ship caught in the middle of the stormy sea.\But it wasn't just me.\Everyone cared for someone, and...\Some of us didn't realize those feelings ourselves...\or know what to do with them... response:	And even though someone had cared about us, we couldn't realize it...
context: It got stormy...\And when I realized it,\it felt like it was a ship caught in the middle of the stormy sea.\But it wasn't just me.\Everyone cared for someone, and...\Some of us didn't realize those feelings ourselves...\or know what to do with them...\And even though someone had cared about us, we couldn't realize it... response:	Or couldn't respond...
context: And when I realized it,\it felt like it was a ship caught in the middle of the stormy sea.\But it wasn't just me.\Everyone cared for someone, and...\Some of us didn't realize those feelings ourselves...\or know what to do with them...\And even though someone had cared about us, we couldn't realize it...\Or couldn't respond... response:	We were shaken, crumpled...
context: it felt like it was a ship caught in the middle of the stormy sea.\But it wasn't just me.\Everyone cared for someone, and...\Some of us didn't realize those feelings ourselves...\or know what to do with them...\And even though someone had cared about us, we couldn't realize it...\Or couldn't respond...\We were shaken, crumpled... response:	Everyone is desperately taking control of the wheel and crossing.
context: But it wasn't just me.\Everyone cared for someone, and...\Some of us didn't realize those feelings ourselves...\or know what to do with them...\And even though someone had cared about us, we couldn't realize it...\Or couldn't respond...\We were shaken, crumpled...\Everyone is desperately taking control of the wheel and crossing. response:	And yet...
context: Everyone cared for someone, and...\Some of us didn't realize those feelings ourselves...\or know what to do with them...\And even though someone had cared about us, we couldn't realize it...\Or couldn't respond...\We were shaken, crumpled...\Everyone is desperately taking control of the wheel and crossing.\And yet... response:	No, that's why...
context: Some of us didn't realize those feelings ourselves...\or know what to do with them...\And even though someone had cared about us, we couldn't realize it...\Or couldn't respond...\We were shaken, crumpled...\Everyone is desperately taking control of the wheel and crossing.\And yet...\No, that's why... response:	Manaka.
context: or know what to do with them...\And even though someone had cared about us, we couldn't realize it...\Or couldn't respond...\We were shaken, crumpled...\Everyone is desperately taking control of the wheel and crossing.\And yet...\No, that's why...\Manaka. response:	Hii-kun.
context: And even though someone had cared about us, we couldn't realize it...\Or couldn't respond...\We were shaken, crumpled...\Everyone is desperately taking control of the wheel and crossing.\And yet...\No, that's why...\Manaka.\Hii-kun. response:	Sorry for showing up so suddenly.
context: Or couldn't respond...\We were shaken, crumpled...\Everyone is desperately taking control of the wheel and crossing.\And yet...\No, that's why...\Manaka.\Hii-kun.\Sorry for showing up so suddenly. response:	I'm sort of glad you were outside.
context: We were shaken, crumpled...\Everyone is desperately taking control of the wheel and crossing.\And yet...\No, that's why...\Manaka.\Hii-kun.\Sorry for showing up so suddenly.\I'm sort of glad you were outside. response:	Were you out on a walk?
context: Everyone is desperately taking control of the wheel and crossing.\And yet...\No, that's why...\Manaka.\Hii-kun.\Sorry for showing up so suddenly.\I'm sort of glad you were outside.\Were you out on a walk? response:	Um... Something like that.
context: And yet...\No, that's why...\Manaka.\Hii-kun.\Sorry for showing up so suddenly.\I'm sort of glad you were outside.\Were you out on a walk?\Um... Something like that. response:	I see.
context: No, that's why...\Manaka.\Hii-kun.\Sorry for showing up so suddenly.\I'm sort of glad you were outside.\Were you out on a walk?\Um... Something like that.\I see. response:	The moon's really pretty.
context: Manaka.\Hii-kun.\Sorry for showing up so suddenly.\I'm sort of glad you were outside.\Were you out on a walk?\Um... Something like that.\I see.\The moon's really pretty. response:	Yeah, it is...
context: Hii-kun.\Sorry for showing up so suddenly.\I'm sort of glad you were outside.\Were you out on a walk?\Um... Something like that.\I see.\The moon's really pretty.\Yeah, it is... response:	So, uh...
context: Sorry for showing up so suddenly.\I'm sort of glad you were outside.\Were you out on a walk?\Um... Something like that.\I see.\The moon's really pretty.\Yeah, it is...\So, uh... response:	Um...
context: I'm sort of glad you were outside.\Were you out on a walk?\Um... Something like that.\I see.\The moon's really pretty.\Yeah, it is...\So, uh...\Um... response:	About earlier...
context: Were you out on a walk?\Um... Something like that.\I see.\The moon's really pretty.\Yeah, it is...\So, uh...\Um...\About earlier... response:	So
context: Um... Something like that.\I see.\The moon's really pretty.\Yeah, it is...\So, uh...\Um...\About earlier...\So response:	So
context: I see.\The moon's really pretty.\Yeah, it is...\So, uh...\Um...\About earlier...\So\So response:	Go ahead!
context: The moon's really pretty.\Yeah, it is...\So, uh...\Um...\About earlier...\So\So\Go ahead! response:	R-Right.
context: Yeah, it is...\So, uh...\Um...\About earlier...\So\So\Go ahead!\R-Right. response:	About earlier, I'm sorry I said that so suddenly.
context: So, uh...\Um...\About earlier...\So\So\Go ahead!\R-Right.\About earlier, I'm sorry I said that so suddenly. response:	I was sort of going with the momentum...
context: Um...\About earlier...\So\So\Go ahead!\R-Right.\About earlier, I'm sorry I said that so suddenly.\I was sort of going with the momentum... response:	The blood had rushed to my head and I just blurted it out.
context: About earlier...\So\So\Go ahead!\R-Right.\About earlier, I'm sorry I said that so suddenly.\I was sort of going with the momentum...\The blood had rushed to my head and I just blurted it out. response:	I guess I haven't really matured, or something...
context: So\So\Go ahead!\R-Right.\About earlier, I'm sorry I said that so suddenly.\I was sort of going with the momentum...\The blood had rushed to my head and I just blurted it out.\I guess I haven't really matured, or something... response:	So I wanted to say it properly.
context: So\Go ahead!\R-Right.\About earlier, I'm sorry I said that so suddenly.\I was sort of going with the momentum...\The blood had rushed to my head and I just blurted it out.\I guess I haven't really matured, or something...\So I wanted to say it properly. response:	Properly?
context: Go ahead!\R-Right.\About earlier, I'm sorry I said that so suddenly.\I was sort of going with the momentum...\The blood had rushed to my head and I just blurted it out.\I guess I haven't really matured, or something...\So I wanted to say it properly.\Properly? response:	I love you, and you're precious to me.
context: R-Right.\About earlier, I'm sorry I said that so suddenly.\I was sort of going with the momentum...\The blood had rushed to my head and I just blurted it out.\I guess I haven't really matured, or something...\So I wanted to say it properly.\Properly?\I love you, and you're precious to me. response:	That's for sure.
context: About earlier, I'm sorry I said that so suddenly.\I was sort of going with the momentum...\The blood had rushed to my head and I just blurted it out.\I guess I haven't really matured, or something...\So I wanted to say it properly.\Properly?\I love you, and you're precious to me.\That's for sure. response:	But Chisaki, Kaname, and Tsumugu...
context: I was sort of going with the momentum...\The blood had rushed to my head and I just blurted it out.\I guess I haven't really matured, or something...\So I wanted to say it properly.\Properly?\I love you, and you're precious to me.\That's for sure.\But Chisaki, Kaname, and Tsumugu... response:	Akari, Miuna, and Sayu... even Dad.
context: The blood had rushed to my head and I just blurted it out.\I guess I haven't really matured, or something...\So I wanted to say it properly.\Properly?\I love you, and you're precious to me.\That's for sure.\But Chisaki, Kaname, and Tsumugu...\Akari, Miuna, and Sayu... even Dad. response:	All of you are precious to me.
context: I guess I haven't really matured, or something...\So I wanted to say it properly.\Properly?\I love you, and you're precious to me.\That's for sure.\But Chisaki, Kaname, and Tsumugu...\Akari, Miuna, and Sayu... even Dad.\All of you are precious to me. response:	Whether you like me or not,
context: So I wanted to say it properly.\Properly?\I love you, and you're precious to me.\That's for sure.\But Chisaki, Kaname, and Tsumugu...\Akari, Miuna, and Sayu... even Dad.\All of you are precious to me.\Whether you like me or not, response:	the fact that you're precious to me won't change, no matter what.
context: Properly?\I love you, and you're precious to me.\That's for sure.\But Chisaki, Kaname, and Tsumugu...\Akari, Miuna, and Sayu... even Dad.\All of you are precious to me.\Whether you like me or not,\the fact that you're precious to me won't change, no matter what. response:	So... What were you trying to say a second ago?
context: I love you, and you're precious to me.\That's for sure.\But Chisaki, Kaname, and Tsumugu...\Akari, Miuna, and Sayu... even Dad.\All of you are precious to me.\Whether you like me or not,\the fact that you're precious to me won't change, no matter what.\So... What were you trying to say a second ago? response:	The Ofunehiki...
context: That's for sure.\But Chisaki, Kaname, and Tsumugu...\Akari, Miuna, and Sayu... even Dad.\All of you are precious to me.\Whether you like me or not,\the fact that you're precious to me won't change, no matter what.\So... What were you trying to say a second ago?\The Ofunehiki... response:	After it's done, I'll tell you.
context: But Chisaki, Kaname, and Tsumugu...\Akari, Miuna, and Sayu... even Dad.\All of you are precious to me.\Whether you like me or not,\the fact that you're precious to me won't change, no matter what.\So... What were you trying to say a second ago?\The Ofunehiki...\After it's done, I'll tell you. response:	Huh?
context: Akari, Miuna, and Sayu... even Dad.\All of you are precious to me.\Whether you like me or not,\the fact that you're precious to me won't change, no matter what.\So... What were you trying to say a second ago?\The Ofunehiki...\After it's done, I'll tell you.\Huh? response:	Hii-kun, wave the flag.
context: All of you are precious to me.\Whether you like me or not,\the fact that you're precious to me won't change, no matter what.\So... What were you trying to say a second ago?\The Ofunehiki...\After it's done, I'll tell you.\Huh?\Hii-kun, wave the flag. response:	Wave it a lot.
context: Whether you like me or not,\the fact that you're precious to me won't change, no matter what.\So... What were you trying to say a second ago?\The Ofunehiki...\After it's done, I'll tell you.\Huh?\Hii-kun, wave the flag.\Wave it a lot. response:	That way, no one will get lost.
context: the fact that you're precious to me won't change, no matter what.\So... What were you trying to say a second ago?\The Ofunehiki...\After it's done, I'll tell you.\Huh?\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost. response:	Yeah.
context: So... What were you trying to say a second ago?\The Ofunehiki...\After it's done, I'll tell you.\Huh?\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Yeah. response:	I'm heading out, Dad. Mom.
context: The Ofunehiki...\After it's done, I'll tell you.\Huh?\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Yeah.\I'm heading out, Dad. Mom. response:	So you're going up there?
context: After it's done, I'll tell you.\Huh?\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Yeah.\I'm heading out, Dad. Mom.\So you're going up there? response:	Yeah.
context: Huh?\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Yeah.\I'm heading out, Dad. Mom.\So you're going up there?\Yeah. response:	Do you understand?
context: Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Yeah.\I'm heading out, Dad. Mom.\So you're going up there?\Yeah.\Do you understand? response:	Today's the day of the hibernation.
context: Wave it a lot.\That way, no one will get lost.\Yeah.\I'm heading out, Dad. Mom.\So you're going up there?\Yeah.\Do you understand?\Today's the day of the hibernation. response:	But...
context: That way, no one will get lost.\Yeah.\I'm heading out, Dad. Mom.\So you're going up there?\Yeah.\Do you understand?\Today's the day of the hibernation.\But... response:	Just don't stay out too late.
context: Yeah.\I'm heading out, Dad. Mom.\So you're going up there?\Yeah.\Do you understand?\Today's the day of the hibernation.\But...\Just don't stay out too late. response:	We'll do our best to stay awake until you get back.
context: I'm heading out, Dad. Mom.\So you're going up there?\Yeah.\Do you understand?\Today's the day of the hibernation.\But...\Just don't stay out too late.\We'll do our best to stay awake until you get back. response:	I thought you'd try to stop me.
context: So you're going up there?\Yeah.\Do you understand?\Today's the day of the hibernation.\But...\Just don't stay out too late.\We'll do our best to stay awake until you get back.\I thought you'd try to stop me. response:	You were secretly eating while you were up there, weren't you?
context: Yeah.\Do you understand?\Today's the day of the hibernation.\But...\Just don't stay out too late.\We'll do our best to stay awake until you get back.\I thought you'd try to stop me.\You were secretly eating while you were up there, weren't you? response:	Did you think we wouldn't notice?
context: Do you understand?\Today's the day of the hibernation.\But...\Just don't stay out too late.\We'll do our best to stay awake until you get back.\I thought you'd try to stop me.\You were secretly eating while you were up there, weren't you?\Did you think we wouldn't notice? response:	Dad...
context: Today's the day of the hibernation.\But...\Just don't stay out too late.\We'll do our best to stay awake until you get back.\I thought you'd try to stop me.\You were secretly eating while you were up there, weren't you?\Did you think we wouldn't notice?\Dad... response:	Go on.
context: But...\Just don't stay out too late.\We'll do our best to stay awake until you get back.\I thought you'd try to stop me.\You were secretly eating while you were up there, weren't you?\Did you think we wouldn't notice?\Dad...\Go on. response:	I hope the festival goes well.
context: Just don't stay out too late.\We'll do our best to stay awake until you get back.\I thought you'd try to stop me.\You were secretly eating while you were up there, weren't you?\Did you think we wouldn't notice?\Dad...\Go on.\I hope the festival goes well. response:	Mom...
context: We'll do our best to stay awake until you get back.\I thought you'd try to stop me.\You were secretly eating while you were up there, weren't you?\Did you think we wouldn't notice?\Dad...\Go on.\I hope the festival goes well.\Mom... response:	All right. I'll be going.
context: I thought you'd try to stop me.\You were secretly eating while you were up there, weren't you?\Did you think we wouldn't notice?\Dad...\Go on.\I hope the festival goes well.\Mom...\All right. I'll be going. response:	Morning, Chisaki.
context: You were secretly eating while you were up there, weren't you?\Did you think we wouldn't notice?\Dad...\Go on.\I hope the festival goes well.\Mom...\All right. I'll be going.\Morning, Chisaki. response:	Kaname...
context: Did you think we wouldn't notice?\Dad...\Go on.\I hope the festival goes well.\Mom...\All right. I'll be going.\Morning, Chisaki.\Kaname... response:	So they properly sent you off.
context: Dad...\Go on.\I hope the festival goes well.\Mom...\All right. I'll be going.\Morning, Chisaki.\Kaname...\So they properly sent you off. response:	Yeah. They said to do my best in the Ofunehiki.
context: Go on.\I hope the festival goes well.\Mom...\All right. I'll be going.\Morning, Chisaki.\Kaname...\So they properly sent you off.\Yeah. They said to do my best in the Ofunehiki. response:	Thank goodness. I was worried.
context: I hope the festival goes well.\Mom...\All right. I'll be going.\Morning, Chisaki.\Kaname...\So they properly sent you off.\Yeah. They said to do my best in the Ofunehiki.\Thank goodness. I was worried. response:	What about you, Kaname?
context: Mom...\All right. I'll be going.\Morning, Chisaki.\Kaname...\So they properly sent you off.\Yeah. They said to do my best in the Ofunehiki.\Thank goodness. I was worried.\What about you, Kaname? response:	Did everything go okay?
context: All right. I'll be going.\Morning, Chisaki.\Kaname...\So they properly sent you off.\Yeah. They said to do my best in the Ofunehiki.\Thank goodness. I was worried.\What about you, Kaname?\Did everything go okay? response:	It's the first time we ever had a huge fight.
context: Morning, Chisaki.\Kaname...\So they properly sent you off.\Yeah. They said to do my best in the Ofunehiki.\Thank goodness. I was worried.\What about you, Kaname?\Did everything go okay?\It's the first time we ever had a huge fight. response:	Somewhat worked things out in the end, though.
context: Kaname...\So they properly sent you off.\Yeah. They said to do my best in the Ofunehiki.\Thank goodness. I was worried.\What about you, Kaname?\Did everything go okay?\It's the first time we ever had a huge fight.\Somewhat worked things out in the end, though. response:	I see.
context: So they properly sent you off.\Yeah. They said to do my best in the Ofunehiki.\Thank goodness. I was worried.\What about you, Kaname?\Did everything go okay?\It's the first time we ever had a huge fight.\Somewhat worked things out in the end, though.\I see. response:	But I'm glad.
context: Yeah. They said to do my best in the Ofunehiki.\Thank goodness. I was worried.\What about you, Kaname?\Did everything go okay?\It's the first time we ever had a huge fight.\Somewhat worked things out in the end, though.\I see.\But I'm glad. response:	You were working really hard preparing for the Ofunehiki.
context: Thank goodness. I was worried.\What about you, Kaname?\Did everything go okay?\It's the first time we ever had a huge fight.\Somewhat worked things out in the end, though.\I see.\But I'm glad.\You were working really hard preparing for the Ofunehiki. response:	I was just doing whatever I could
context: What about you, Kaname?\Did everything go okay?\It's the first time we ever had a huge fight.\Somewhat worked things out in the end, though.\I see.\But I'm glad.\You were working really hard preparing for the Ofunehiki.\I was just doing whatever I could response:	so I'd have more opportunities to be together with you.
context: Did everything go okay?\It's the first time we ever had a huge fight.\Somewhat worked things out in the end, though.\I see.\But I'm glad.\You were working really hard preparing for the Ofunehiki.\I was just doing whatever I could\so I'd have more opportunities to be together with you. response:	Huh?
context: It's the first time we ever had a huge fight.\Somewhat worked things out in the end, though.\I see.\But I'm glad.\You were working really hard preparing for the Ofunehiki.\I was just doing whatever I could\so I'd have more opportunities to be together with you.\Huh? response:	You know, Chisaki...
context: Somewhat worked things out in the end, though.\I see.\But I'm glad.\You were working really hard preparing for the Ofunehiki.\I was just doing whatever I could\so I'd have more opportunities to be together with you.\Huh?\You know, Chisaki... response:	You might have had your hands full with your feelings for Hikari.
context: I see.\But I'm glad.\You were working really hard preparing for the Ofunehiki.\I was just doing whatever I could\so I'd have more opportunities to be together with you.\Huh?\You know, Chisaki...\You might have had your hands full with your feelings for Hikari. response:	But I did actually confess to you, too.
context: But I'm glad.\You were working really hard preparing for the Ofunehiki.\I was just doing whatever I could\so I'd have more opportunities to be together with you.\Huh?\You know, Chisaki...\You might have had your hands full with your feelings for Hikari.\But I did actually confess to you, too. response:	O-Of course I didn't forget.
context: You were working really hard preparing for the Ofunehiki.\I was just doing whatever I could\so I'd have more opportunities to be together with you.\Huh?\You know, Chisaki...\You might have had your hands full with your feelings for Hikari.\But I did actually confess to you, too.\O-Of course I didn't forget. response:	I am really thinking about it.
context: I was just doing whatever I could\so I'd have more opportunities to be together with you.\Huh?\You know, Chisaki...\You might have had your hands full with your feelings for Hikari.\But I did actually confess to you, too.\O-Of course I didn't forget.\I am really thinking about it. response:	Even if we do end up asleep and wake up at different times,
context: so I'd have more opportunities to be together with you.\Huh?\You know, Chisaki...\You might have had your hands full with your feelings for Hikari.\But I did actually confess to you, too.\O-Of course I didn't forget.\I am really thinking about it.\Even if we do end up asleep and wake up at different times, response:	the fact that I love you won't change.
context: Huh?\You know, Chisaki...\You might have had your hands full with your feelings for Hikari.\But I did actually confess to you, too.\O-Of course I didn't forget.\I am really thinking about it.\Even if we do end up asleep and wake up at different times,\the fact that I love you won't change. response:	Just don't forget that.
context: You know, Chisaki...\You might have had your hands full with your feelings for Hikari.\But I did actually confess to you, too.\O-Of course I didn't forget.\I am really thinking about it.\Even if we do end up asleep and wake up at different times,\the fact that I love you won't change.\Just don't forget that. response:	Kaname...
context: You might have had your hands full with your feelings for Hikari.\But I did actually confess to you, too.\O-Of course I didn't forget.\I am really thinking about it.\Even if we do end up asleep and wake up at different times,\the fact that I love you won't change.\Just don't forget that.\Kaname... response:	Hey!
context: But I did actually confess to you, too.\O-Of course I didn't forget.\I am really thinking about it.\Even if we do end up asleep and wake up at different times,\the fact that I love you won't change.\Just don't forget that.\Kaname...\Hey! response:	Morning, Hikari.
context: O-Of course I didn't forget.\I am really thinking about it.\Even if we do end up asleep and wake up at different times,\the fact that I love you won't change.\Just don't forget that.\Kaname...\Hey!\Morning, Hikari. response:	Morning.
context: I am really thinking about it.\Even if we do end up asleep and wake up at different times,\the fact that I love you won't change.\Just don't forget that.\Kaname...\Hey!\Morning, Hikari.\Morning. response:	Where's Manaka?
context: Even if we do end up asleep and wake up at different times,\the fact that I love you won't change.\Just don't forget that.\Kaname...\Hey!\Morning, Hikari.\Morning.\Where's Manaka? response:	She's not here yet.
context: the fact that I love you won't change.\Just don't forget that.\Kaname...\Hey!\Morning, Hikari.\Morning.\Where's Manaka?\She's not here yet. response:	And we were taking our time getting up here, too.
context: Just don't forget that.\Kaname...\Hey!\Morning, Hikari.\Morning.\Where's Manaka?\She's not here yet.\And we were taking our time getting up here, too. response:	W-Wait!
context: Kaname...\Hey!\Morning, Hikari.\Morning.\Where's Manaka?\She's not here yet.\And we were taking our time getting up here, too.\W-Wait! response:	To be late today of all days...
context: Hey!\Morning, Hikari.\Morning.\Where's Manaka?\She's not here yet.\And we were taking our time getting up here, too.\W-Wait!\To be late today of all days... response:	You really are amazing, Manaka.
context: Morning, Hikari.\Morning.\Where's Manaka?\She's not here yet.\And we were taking our time getting up here, too.\W-Wait!\To be late today of all days...\You really are amazing, Manaka. response:	Huh?
context: Morning.\Where's Manaka?\She's not here yet.\And we were taking our time getting up here, too.\W-Wait!\To be late today of all days...\You really are amazing, Manaka.\Huh? response:	Seriously. She really may be the greatest of us all.
context: Where's Manaka?\She's not here yet.\And we were taking our time getting up here, too.\W-Wait!\To be late today of all days...\You really are amazing, Manaka.\Huh?\Seriously. She really may be the greatest of us all. response:	Um...
