context: It's hot. response:	And I can't turn on the air conditioning since nobody else is here.
context: Heave ho!\All right, just a bit more.\Heave ho!\It seems like we got a big catch.\Sakura-chan, you're good.\I always do it at home.\Really.\She's right. response:	He's skilled.
context: All right, just a bit more.\Heave ho!\It seems like we got a big catch.\Sakura-chan, you're good.\I always do it at home.\Really.\She's right.\He's skilled. response:	Amazing.
context: Heave ho!\It seems like we got a big catch.\Sakura-chan, you're good.\I always do it at home.\Really.\She's right.\He's skilled.\Amazing. response:	You can't give up Sakura-chan.
context: It seems like we got a big catch.\Sakura-chan, you're good.\I always do it at home.\Really.\She's right.\He's skilled.\Amazing.\You can't give up Sakura-chan. response:	I don't think that is the issue.
context: Sakura-chan, you're good.\I always do it at home.\Really.\She's right.\He's skilled.\Amazing.\You can't give up Sakura-chan.\I don't think that is the issue. response:	Today with fun with
context: I always do it at home.\Really.\She's right.\He's skilled.\Amazing.\You can't give up Sakura-chan.\I don't think that is the issue.\Today with fun with response:	the fishing and cooking.
context: Really.\She's right.\He's skilled.\Amazing.\You can't give up Sakura-chan.\I don't think that is the issue.\Today with fun with\the fishing and cooking. response:	Yeah.
context: She's right.\He's skilled.\Amazing.\You can't give up Sakura-chan.\I don't think that is the issue.\Today with fun with\the fishing and cooking.\Yeah. response:	What are we doing tomorrow?
context: He's skilled.\Amazing.\You can't give up Sakura-chan.\I don't think that is the issue.\Today with fun with\the fishing and cooking.\Yeah.\What are we doing tomorrow? response:	I think it was kimodameshi.
context: Amazing.\You can't give up Sakura-chan.\I don't think that is the issue.\Today with fun with\the fishing and cooking.\Yeah.\What are we doing tomorrow?\I think it was kimodameshi. response:	Oh yeah.
context: You can't give up Sakura-chan.\I don't think that is the issue.\Today with fun with\the fishing and cooking.\Yeah.\What are we doing tomorrow?\I think it was kimodameshi.\Oh yeah. response:	In that cave.
context: I don't think that is the issue.\Today with fun with\the fishing and cooking.\Yeah.\What are we doing tomorrow?\I think it was kimodameshi.\Oh yeah.\In that cave. response:	The cave we can see from the beach?
context: Today with fun with\the fishing and cooking.\Yeah.\What are we doing tomorrow?\I think it was kimodameshi.\Oh yeah.\In that cave.\The cave we can see from the beach? response:	Yes.
context: the fishing and cooking.\Yeah.\What are we doing tomorrow?\I think it was kimodameshi.\Oh yeah.\In that cave.\The cave we can see from the beach?\Yes. response:	Now that you mention the cave'
context: Yeah.\What are we doing tomorrow?\I think it was kimodameshi.\Oh yeah.\In that cave.\The cave we can see from the beach?\Yes.\Now that you mention the cave' response:	Do you all know the old story?
context: What are we doing tomorrow?\I think it was kimodameshi.\Oh yeah.\In that cave.\The cave we can see from the beach?\Yes.\Now that you mention the cave'\Do you all know the old story? response:	Naoko-chan seems really into this one.
context: I think it was kimodameshi.\Oh yeah.\In that cave.\The cave we can see from the beach?\Yes.\Now that you mention the cave'\Do you all know the old story?\Naoko-chan seems really into this one. response:	Yes.
context: Oh yeah.\In that cave.\The cave we can see from the beach?\Yes.\Now that you mention the cave'\Do you all know the old story?\Naoko-chan seems really into this one.\Yes. response:	You know, a long time ago a group of elementary school kids
context: In that cave.\The cave we can see from the beach?\Yes.\Now that you mention the cave'\Do you all know the old story?\Naoko-chan seems really into this one.\Yes.\You know, a long time ago a group of elementary school kids response:	the same age as us came here
context: The cave we can see from the beach?\Yes.\Now that you mention the cave'\Do you all know the old story?\Naoko-chan seems really into this one.\Yes.\You know, a long time ago a group of elementary school kids\the same age as us came here response:	for a school camp trip.
context: Yes.\Now that you mention the cave'\Do you all know the old story?\Naoko-chan seems really into this one.\Yes.\You know, a long time ago a group of elementary school kids\the same age as us came here\for a school camp trip. response:	The first day they swam in the ocean and fished from the beach,
context: Now that you mention the cave'\Do you all know the old story?\Naoko-chan seems really into this one.\Yes.\You know, a long time ago a group of elementary school kids\the same age as us came here\for a school camp trip.\The first day they swam in the ocean and fished from the beach, response:	so it was like a fun school trip.
context: Do you all know the old story?\Naoko-chan seems really into this one.\Yes.\You know, a long time ago a group of elementary school kids\the same age as us came here\for a school camp trip.\The first day they swam in the ocean and fished from the beach,\so it was like a fun school trip. response:	But'
context: Naoko-chan seems really into this one.\Yes.\You know, a long time ago a group of elementary school kids\the same age as us came here\for a school camp trip.\The first day they swam in the ocean and fished from the beach,\so it was like a fun school trip.\But' response:	On the next night they were going to play kimodameshi.
context: Yes.\You know, a long time ago a group of elementary school kids\the same age as us came here\for a school camp trip.\The first day they swam in the ocean and fished from the beach,\so it was like a fun school trip.\But'\On the next night they were going to play kimodameshi. response:	That's the same schedule as us.
context: You know, a long time ago a group of elementary school kids\the same age as us came here\for a school camp trip.\The first day they swam in the ocean and fished from the beach,\so it was like a fun school trip.\But'\On the next night they were going to play kimodameshi.\That's the same schedule as us. response:	I heard they did it
context: the same age as us came here\for a school camp trip.\The first day they swam in the ocean and fished from the beach,\so it was like a fun school trip.\But'\On the next night they were going to play kimodameshi.\That's the same schedule as us.\I heard they did it response:	in the middle of that cave'
context: for a school camp trip.\The first day they swam in the ocean and fished from the beach,\so it was like a fun school trip.\But'\On the next night they were going to play kimodameshi.\That's the same schedule as us.\I heard they did it\in the middle of that cave' response:	There was a small lake in the middle of the cave
context: The first day they swam in the ocean and fished from the beach,\so it was like a fun school trip.\But'\On the next night they were going to play kimodameshi.\That's the same schedule as us.\I heard they did it\in the middle of that cave'\There was a small lake in the middle of the cave response:	with a bridge over it'
context: so it was like a fun school trip.\But'\On the next night they were going to play kimodameshi.\That's the same schedule as us.\I heard they did it\in the middle of that cave'\There was a small lake in the middle of the cave\with a bridge over it' response:	That bridge ran to a shrine in the middle of the lake.
context: But'\On the next night they were going to play kimodameshi.\That's the same schedule as us.\I heard they did it\in the middle of that cave'\There was a small lake in the middle of the cave\with a bridge over it'\That bridge ran to a shrine in the middle of the lake. response:	For the kimodameshi
context: On the next night they were going to play kimodameshi.\That's the same schedule as us.\I heard they did it\in the middle of that cave'\There was a small lake in the middle of the cave\with a bridge over it'\That bridge ran to a shrine in the middle of the lake.\For the kimodameshi response:	the students were to go in pairs
context: That's the same schedule as us.\I heard they did it\in the middle of that cave'\There was a small lake in the middle of the cave\with a bridge over it'\That bridge ran to a shrine in the middle of the lake.\For the kimodameshi\the students were to go in pairs response:	to the shrine and leave a candle.
context: I heard they did it\in the middle of that cave'\There was a small lake in the middle of the cave\with a bridge over it'\That bridge ran to a shrine in the middle of the lake.\For the kimodameshi\the students were to go in pairs\to the shrine and leave a candle. response:	Eventually one group went in and no matter how long they waited,
context: in the middle of that cave'\There was a small lake in the middle of the cave\with a bridge over it'\That bridge ran to a shrine in the middle of the lake.\For the kimodameshi\the students were to go in pairs\to the shrine and leave a candle.\Eventually one group went in and no matter how long they waited, response:	they never came back.
context: There was a small lake in the middle of the cave\with a bridge over it'\That bridge ran to a shrine in the middle of the lake.\For the kimodameshi\the students were to go in pairs\to the shrine and leave a candle.\Eventually one group went in and no matter how long they waited,\they never came back. response:	The teachers and other students got worried,
context: with a bridge over it'\That bridge ran to a shrine in the middle of the lake.\For the kimodameshi\the students were to go in pairs\to the shrine and leave a candle.\Eventually one group went in and no matter how long they waited,\they never came back.\The teachers and other students got worried, response:	so the went to look.
context: That bridge ran to a shrine in the middle of the lake.\For the kimodameshi\the students were to go in pairs\to the shrine and leave a candle.\Eventually one group went in and no matter how long they waited,\they never came back.\The teachers and other students got worried,\so the went to look. response:	In there they found'
context: For the kimodameshi\the students were to go in pairs\to the shrine and leave a candle.\Eventually one group went in and no matter how long they waited,\they never came back.\The teachers and other students got worried,\so the went to look.\In there they found' response:	What's wrong? Did something happen, Kinomoto?
context: the students were to go in pairs\to the shrine and leave a candle.\Eventually one group went in and no matter how long they waited,\they never came back.\The teachers and other students got worried,\so the went to look.\In there they found'\What's wrong? Did something happen, Kinomoto? response:	Eh?
context: to the shrine and leave a candle.\Eventually one group went in and no matter how long they waited,\they never came back.\The teachers and other students got worried,\so the went to look.\In there they found'\What's wrong? Did something happen, Kinomoto?\Eh? response:	Sensei.
context: Eventually one group went in and no matter how long they waited,\they never came back.\The teachers and other students got worried,\so the went to look.\In there they found'\What's wrong? Did something happen, Kinomoto?\Eh?\Sensei. response:	The door opened so suddenly
context: they never came back.\The teachers and other students got worried,\so the went to look.\In there they found'\What's wrong? Did something happen, Kinomoto?\Eh?\Sensei.\The door opened so suddenly response:	it surprised us.
context: The teachers and other students got worried,\so the went to look.\In there they found'\What's wrong? Did something happen, Kinomoto?\Eh?\Sensei.\The door opened so suddenly\it surprised us. response:	Sorry. Sorry.
context: so the went to look.\In there they found'\What's wrong? Did something happen, Kinomoto?\Eh?\Sensei.\The door opened so suddenly\it surprised us.\Sorry. Sorry. response:	Sorry about surprising you,
context: In there they found'\What's wrong? Did something happen, Kinomoto?\Eh?\Sensei.\The door opened so suddenly\it surprised us.\Sorry. Sorry.\Sorry about surprising you, response:	but it is past light out time.
context: What's wrong? Did something happen, Kinomoto?\Eh?\Sensei.\The door opened so suddenly\it surprised us.\Sorry. Sorry.\Sorry about surprising you,\but it is past light out time. response:	Hurry and go to sleep.
context: Eh?\Sensei.\The door opened so suddenly\it surprised us.\Sorry. Sorry.\Sorry about surprising you,\but it is past light out time.\Hurry and go to sleep. response:	It's no good, I am too scared to sleep.
context: Sensei.\The door opened so suddenly\it surprised us.\Sorry. Sorry.\Sorry about surprising you,\but it is past light out time.\Hurry and go to sleep.\It's no good, I am too scared to sleep. response:	I will tell them I am scared
context: The door opened so suddenly\it surprised us.\Sorry. Sorry.\Sorry about surprising you,\but it is past light out time.\Hurry and go to sleep.\It's no good, I am too scared to sleep.\I will tell them I am scared response:	and ask the teachers if I can stay with them.
context: it surprised us.\Sorry. Sorry.\Sorry about surprising you,\but it is past light out time.\Hurry and go to sleep.\It's no good, I am too scared to sleep.\I will tell them I am scared\and ask the teachers if I can stay with them. response:	I wonder if they will laugh at me.
context: Sorry. Sorry.\Sorry about surprising you,\but it is past light out time.\Hurry and go to sleep.\It's no good, I am too scared to sleep.\I will tell them I am scared\and ask the teachers if I can stay with them.\I wonder if they will laugh at me. response:	That doesn't matter, even if they do laugh at me.
context: Sorry about surprising you,\but it is past light out time.\Hurry and go to sleep.\It's no good, I am too scared to sleep.\I will tell them I am scared\and ask the teachers if I can stay with them.\I wonder if they will laugh at me.\That doesn't matter, even if they do laugh at me. response:	It's better than being scared.
context: but it is past light out time.\Hurry and go to sleep.\It's no good, I am too scared to sleep.\I will tell them I am scared\and ask the teachers if I can stay with them.\I wonder if they will laugh at me.\That doesn't matter, even if they do laugh at me.\It's better than being scared. response:	What are you doing here?
context: Hurry and go to sleep.\It's no good, I am too scared to sleep.\I will tell them I am scared\and ask the teachers if I can stay with them.\I wonder if they will laugh at me.\That doesn't matter, even if they do laugh at me.\It's better than being scared.\What are you doing here? response:	Eh?
context: It's no good, I am too scared to sleep.\I will tell them I am scared\and ask the teachers if I can stay with them.\I wonder if they will laugh at me.\That doesn't matter, even if they do laugh at me.\It's better than being scared.\What are you doing here?\Eh? response:	You surprised me.
context: I will tell them I am scared\and ask the teachers if I can stay with them.\I wonder if they will laugh at me.\That doesn't matter, even if they do laugh at me.\It's better than being scared.\What are you doing here?\Eh?\You surprised me. response:	I was surprised too.
context: and ask the teachers if I can stay with them.\I wonder if they will laugh at me.\That doesn't matter, even if they do laugh at me.\It's better than being scared.\What are you doing here?\Eh?\You surprised me.\I was surprised too. response:	You went over to that cliff during the day, right?
context: I wonder if they will laugh at me.\That doesn't matter, even if they do laugh at me.\It's better than being scared.\What are you doing here?\Eh?\You surprised me.\I was surprised too.\You went over to that cliff during the day, right? response:	I felt a strange aura from that cave.
context: That doesn't matter, even if they do laugh at me.\It's better than being scared.\What are you doing here?\Eh?\You surprised me.\I was surprised too.\You went over to that cliff during the day, right?\I felt a strange aura from that cave. response:	A Clow Card?
context: It's better than being scared.\What are you doing here?\Eh?\You surprised me.\I was surprised too.\You went over to that cliff during the day, right?\I felt a strange aura from that cave.\A Clow Card? response:	No.
context: What are you doing here?\Eh?\You surprised me.\I was surprised too.\You went over to that cliff during the day, right?\I felt a strange aura from that cave.\A Clow Card?\No. response:	Then maybe a g-g-g'
context: Eh?\You surprised me.\I was surprised too.\You went over to that cliff during the day, right?\I felt a strange aura from that cave.\A Clow Card?\No.\Then maybe a g-g-g' response:	Are you trying to say ghost?
context: You surprised me.\I was surprised too.\You went over to that cliff during the day, right?\I felt a strange aura from that cave.\A Clow Card?\No.\Then maybe a g-g-g'\Are you trying to say ghost? response:	I can't tell what it is yet.
context: I was surprised too.\You went over to that cliff during the day, right?\I felt a strange aura from that cave.\A Clow Card?\No.\Then maybe a g-g-g'\Are you trying to say ghost?\I can't tell what it is yet. response:	I felt a strange aura from the cliff just a little while ago.
context: You went over to that cliff during the day, right?\I felt a strange aura from that cave.\A Clow Card?\No.\Then maybe a g-g-g'\Are you trying to say ghost?\I can't tell what it is yet.\I felt a strange aura from the cliff just a little while ago. response:	I think I just saw something.
