context: The controls aren't working! response:	We're being washed away!
context: both loved him still and hated him for his betrayal.\And there was another.\A small one who sought light from the shadows.\A dog?\It's adorable!\This was the Winged Hound Pollon, Apollonius' companion.\He bore an unrequited love for Celiane, who loved his master.\The sorrowful Pollon made a wish to the night. response:	If we were to be reborn, may Celiane and I be reunited.
context: And there was another.\A small one who sought light from the shadows.\A dog?\It's adorable!\This was the Winged Hound Pollon, Apollonius' companion.\He bore an unrequited love for Celiane, who loved his master.\The sorrowful Pollon made a wish to the night.\If we were to be reborn, may Celiane and I be reunited. response:	Many emotions, including Toma's hatred and Pollon's wishes, were left as time flowed on.
context: A small one who sought light from the shadows.\A dog?\It's adorable!\This was the Winged Hound Pollon, Apollonius' companion.\He bore an unrequited love for Celiane, who loved his master.\The sorrowful Pollon made a wish to the night.\If we were to be reborn, may Celiane and I be reunited.\Many emotions, including Toma's hatred and Pollon's wishes, were left as time flowed on. response:	The void left by the dead. The sorrow felt by the living.
context: A dog?\It's adorable!\This was the Winged Hound Pollon, Apollonius' companion.\He bore an unrequited love for Celiane, who loved his master.\The sorrowful Pollon made a wish to the night.\If we were to be reborn, may Celiane and I be reunited.\Many emotions, including Toma's hatred and Pollon's wishes, were left as time flowed on.\The void left by the dead. The sorrow felt by the living. response:	Joy in the shadows, and madness in the light.
context: It's adorable!\This was the Winged Hound Pollon, Apollonius' companion.\He bore an unrequited love for Celiane, who loved his master.\The sorrowful Pollon made a wish to the night.\If we were to be reborn, may Celiane and I be reunited.\Many emotions, including Toma's hatred and Pollon's wishes, were left as time flowed on.\The void left by the dead. The sorrow felt by the living.\Joy in the shadows, and madness in the light. response:	Let us bring them all together,
context: This was the Winged Hound Pollon, Apollonius' companion.\He bore an unrequited love for Celiane, who loved his master.\The sorrowful Pollon made a wish to the night.\If we were to be reborn, may Celiane and I be reunited.\Many emotions, including Toma's hatred and Pollon's wishes, were left as time flowed on.\The void left by the dead. The sorrow felt by the living.\Joy in the shadows, and madness in the light.\Let us bring them all together, response:	and wrap them up with beautiful lace.
context: He bore an unrequited love for Celiane, who loved his master.\The sorrowful Pollon made a wish to the night.\If we were to be reborn, may Celiane and I be reunited.\Many emotions, including Toma's hatred and Pollon's wishes, were left as time flowed on.\The void left by the dead. The sorrow felt by the living.\Joy in the shadows, and madness in the light.\Let us bring them all together,\and wrap them up with beautiful lace. response:	The noon sun is life, and the nighttime moon is death.
context: The sorrowful Pollon made a wish to the night.\If we were to be reborn, may Celiane and I be reunited.\Many emotions, including Toma's hatred and Pollon's wishes, were left as time flowed on.\The void left by the dead. The sorrow felt by the living.\Joy in the shadows, and madness in the light.\Let us bring them all together,\and wrap them up with beautiful lace.\The noon sun is life, and the nighttime moon is death. response:	They blur together, until...
context: If we were to be reborn, may Celiane and I be reunited.\Many emotions, including Toma's hatred and Pollon's wishes, were left as time flowed on.\The void left by the dead. The sorrow felt by the living.\Joy in the shadows, and madness in the light.\Let us bring them all together,\and wrap them up with beautiful lace.\The noon sun is life, and the nighttime moon is death.\They blur together, until... response:	Listen closely!
context: Many emotions, including Toma's hatred and Pollon's wishes, were left as time flowed on.\The void left by the dead. The sorrow felt by the living.\Joy in the shadows, and madness in the light.\Let us bring them all together,\and wrap them up with beautiful lace.\The noon sun is life, and the nighttime moon is death.\They blur together, until...\Listen closely! response:	The second chapter is beginning.
context: The void left by the dead. The sorrow felt by the living.\Joy in the shadows, and madness in the light.\Let us bring them all together,\and wrap them up with beautiful lace.\The noon sun is life, and the nighttime moon is death.\They blur together, until...\Listen closely!\The second chapter is beginning. response:	These visions again!
context: Joy in the shadows, and madness in the light.\Let us bring them all together,\and wrap them up with beautiful lace.\The noon sun is life, and the nighttime moon is death.\They blur together, until...\Listen closely!\The second chapter is beginning.\These visions again! response:	They're the same as the ones we saw before.
context: Let us bring them all together,\and wrap them up with beautiful lace.\The noon sun is life, and the nighttime moon is death.\They blur together, until...\Listen closely!\The second chapter is beginning.\These visions again!\They're the same as the ones we saw before. response:	The Dark Angels returned from their long absence,
context: and wrap them up with beautiful lace.\The noon sun is life, and the nighttime moon is death.\They blur together, until...\Listen closely!\The second chapter is beginning.\These visions again!\They're the same as the ones we saw before.\The Dark Angels returned from their long absence, response:	and plagued humanity once more.
context: The noon sun is life, and the nighttime moon is death.\They blur together, until...\Listen closely!\The second chapter is beginning.\These visions again!\They're the same as the ones we saw before.\The Dark Angels returned from their long absence,\and plagued humanity once more. response:	But humanity still remembered the legend of their salvation.
context: They blur together, until...\Listen closely!\The second chapter is beginning.\These visions again!\They're the same as the ones we saw before.\The Dark Angels returned from their long absence,\and plagued humanity once more.\But humanity still remembered the legend of their salvation. response:	High Commander?
context: Listen closely!\The second chapter is beginning.\These visions again!\They're the same as the ones we saw before.\The Dark Angels returned from their long absence,\and plagued humanity once more.\But humanity still remembered the legend of their salvation.\High Commander? response:	Why is High Commander Fudo there?
context: The second chapter is beginning.\These visions again!\They're the same as the ones we saw before.\The Dark Angels returned from their long absence,\and plagued humanity once more.\But humanity still remembered the legend of their salvation.\High Commander?\Why is High Commander Fudo there? response:	I thought we were seeing what happened 12,000 years ago!
context: These visions again!\They're the same as the ones we saw before.\The Dark Angels returned from their long absence,\and plagued humanity once more.\But humanity still remembered the legend of their salvation.\High Commander?\Why is High Commander Fudo there?\I thought we were seeing what happened 12,000 years ago! response:	Watch! This is the very center of the legend!
context: They're the same as the ones we saw before.\The Dark Angels returned from their long absence,\and plagued humanity once more.\But humanity still remembered the legend of their salvation.\High Commander?\Why is High Commander Fudo there?\I thought we were seeing what happened 12,000 years ago!\Watch! This is the very center of the legend! response:	The humans followed their legends, unearthed the Machine Angel,
context: The Dark Angels returned from their long absence,\and plagued humanity once more.\But humanity still remembered the legend of their salvation.\High Commander?\Why is High Commander Fudo there?\I thought we were seeing what happened 12,000 years ago!\Watch! This is the very center of the legend!\The humans followed their legends, unearthed the Machine Angel, response:	and used it to fight back.
context: and plagued humanity once more.\But humanity still remembered the legend of their salvation.\High Commander?\Why is High Commander Fudo there?\I thought we were seeing what happened 12,000 years ago!\Watch! This is the very center of the legend!\The humans followed their legends, unearthed the Machine Angel,\and used it to fight back. response:	a boy named Apollo.
context: But humanity still remembered the legend of their salvation.\High Commander?\Why is High Commander Fudo there?\I thought we were seeing what happened 12,000 years ago!\Watch! This is the very center of the legend!\The humans followed their legends, unearthed the Machine Angel,\and used it to fight back.\a boy named Apollo. response:	Of course! He was Apollonius!
context: High Commander?\Why is High Commander Fudo there?\I thought we were seeing what happened 12,000 years ago!\Watch! This is the very center of the legend!\The humans followed their legends, unearthed the Machine Angel,\and used it to fight back.\a boy named Apollo.\Of course! He was Apollonius! response:	So he was the reincarnation...
context: Why is High Commander Fudo there?\I thought we were seeing what happened 12,000 years ago!\Watch! This is the very center of the legend!\The humans followed their legends, unearthed the Machine Angel,\and used it to fight back.\a boy named Apollo.\Of course! He was Apollonius!\So he was the reincarnation... response:	No.
context: I thought we were seeing what happened 12,000 years ago!\Watch! This is the very center of the legend!\The humans followed their legends, unearthed the Machine Angel,\and used it to fight back.\a boy named Apollo.\Of course! He was Apollonius!\So he was the reincarnation...\No. response:	He was actually the reincarnation of...
context: Watch! This is the very center of the legend!\The humans followed their legends, unearthed the Machine Angel,\and used it to fight back.\a boy named Apollo.\Of course! He was Apollonius!\So he was the reincarnation...\No.\He was actually the reincarnation of... response:	Kagura! Taking the true Eve for yourself is an act of outright treason!
context: The humans followed their legends, unearthed the Machine Angel,\and used it to fight back.\a boy named Apollo.\Of course! He was Apollonius!\So he was the reincarnation...\No.\He was actually the reincarnation of...\Kagura! Taking the true Eve for yourself is an act of outright treason! response:	You no longer have the right to call yourself a citizen of Altair!
context: and used it to fight back.\a boy named Apollo.\Of course! He was Apollonius!\So he was the reincarnation...\No.\He was actually the reincarnation of...\Kagura! Taking the true Eve for yourself is an act of outright treason!\You no longer have the right to call yourself a citizen of Altair! response:	Damn it!
context: a boy named Apollo.\Of course! He was Apollonius!\So he was the reincarnation...\No.\He was actually the reincarnation of...\Kagura! Taking the true Eve for yourself is an act of outright treason!\You no longer have the right to call yourself a citizen of Altair!\Damn it! response:	I won't let anyone have Silvie!
context: Of course! He was Apollonius!\So he was the reincarnation...\No.\He was actually the reincarnation of...\Kagura! Taking the true Eve for yourself is an act of outright treason!\You no longer have the right to call yourself a citizen of Altair!\Damn it!\I won't let anyone have Silvie! response:	Forgive me, Apollo...
context: So he was the reincarnation...\No.\He was actually the reincarnation of...\Kagura! Taking the true Eve for yourself is an act of outright treason!\You no longer have the right to call yourself a citizen of Altair!\Damn it!\I won't let anyone have Silvie!\Forgive me, Apollo... response:	Apollo was the reincarnation of the Winged Hound Pollon.
context: No.\He was actually the reincarnation of...\Kagura! Taking the true Eve for yourself is an act of outright treason!\You no longer have the right to call yourself a citizen of Altair!\Damn it!\I won't let anyone have Silvie!\Forgive me, Apollo...\Apollo was the reincarnation of the Winged Hound Pollon. response:	Apollon from the legend...
context: He was actually the reincarnation of...\Kagura! Taking the true Eve for yourself is an act of outright treason!\You no longer have the right to call yourself a citizen of Altair!\Damn it!\I won't let anyone have Silvie!\Forgive me, Apollo...\Apollo was the reincarnation of the Winged Hound Pollon.\Apollon from the legend... response:	is the reincarnation of a winged dog?
context: Kagura! Taking the true Eve for yourself is an act of outright treason!\You no longer have the right to call yourself a citizen of Altair!\Damn it!\I won't let anyone have Silvie!\Forgive me, Apollo...\Apollo was the reincarnation of the Winged Hound Pollon.\Apollon from the legend...\is the reincarnation of a winged dog? response:	His love, Celiane, was reincarnated as Silvia.
context: You no longer have the right to call yourself a citizen of Altair!\Damn it!\I won't let anyone have Silvie!\Forgive me, Apollo...\Apollo was the reincarnation of the Winged Hound Pollon.\Apollon from the legend...\is the reincarnation of a winged dog?\His love, Celiane, was reincarnated as Silvia. response:	The two were brought together by a twist of fate,
context: Damn it!\I won't let anyone have Silvie!\Forgive me, Apollo...\Apollo was the reincarnation of the Winged Hound Pollon.\Apollon from the legend...\is the reincarnation of a winged dog?\His love, Celiane, was reincarnated as Silvia.\The two were brought together by a twist of fate, response:	and an attraction formed between them on the battlefield.
context: I won't let anyone have Silvie!\Forgive me, Apollo...\Apollo was the reincarnation of the Winged Hound Pollon.\Apollon from the legend...\is the reincarnation of a winged dog?\His love, Celiane, was reincarnated as Silvia.\The two were brought together by a twist of fate,\and an attraction formed between them on the battlefield. response:	But fate can also be cruel.
context: Forgive me, Apollo...\Apollo was the reincarnation of the Winged Hound Pollon.\Apollon from the legend...\is the reincarnation of a winged dog?\His love, Celiane, was reincarnated as Silvia.\The two were brought together by a twist of fate,\and an attraction formed between them on the battlefield.\But fate can also be cruel. response:	For the Dark Angel Toma was also reborn into that age.
context: Apollo was the reincarnation of the Winged Hound Pollon.\Apollon from the legend...\is the reincarnation of a winged dog?\His love, Celiane, was reincarnated as Silvia.\The two were brought together by a twist of fate,\and an attraction formed between them on the battlefield.\But fate can also be cruel.\For the Dark Angel Toma was also reborn into that age. response:	Toma still bore love and hatred for Apollonius,
context: Apollon from the legend...\is the reincarnation of a winged dog?\His love, Celiane, was reincarnated as Silvia.\The two were brought together by a twist of fate,\and an attraction formed between them on the battlefield.\But fate can also be cruel.\For the Dark Angel Toma was also reborn into that age.\Toma still bore love and hatred for Apollonius, response:	and he schemed to destroy the humanity that Apollonius fought for.
context: is the reincarnation of a winged dog?\His love, Celiane, was reincarnated as Silvia.\The two were brought together by a twist of fate,\and an attraction formed between them on the battlefield.\But fate can also be cruel.\For the Dark Angel Toma was also reborn into that age.\Toma still bore love and hatred for Apollonius,\and he schemed to destroy the humanity that Apollonius fought for. response:	But his twisted love brought about the destruction of his own kind.
context: His love, Celiane, was reincarnated as Silvia.\The two were brought together by a twist of fate,\and an attraction formed between them on the battlefield.\But fate can also be cruel.\For the Dark Angel Toma was also reborn into that age.\Toma still bore love and hatred for Apollonius,\and he schemed to destroy the humanity that Apollonius fought for.\But his twisted love brought about the destruction of his own kind. response:	The Tree of Life meant to restore the Dark Angels
context: The two were brought together by a twist of fate,\and an attraction formed between them on the battlefield.\But fate can also be cruel.\For the Dark Angel Toma was also reborn into that age.\Toma still bore love and hatred for Apollonius,\and he schemed to destroy the humanity that Apollonius fought for.\But his twisted love brought about the destruction of his own kind.\The Tree of Life meant to restore the Dark Angels response:	did not bear fruit, but withered and fell back into the earth.
context: and an attraction formed between them on the battlefield.\But fate can also be cruel.\For the Dark Angel Toma was also reborn into that age.\Toma still bore love and hatred for Apollonius,\and he schemed to destroy the humanity that Apollonius fought for.\But his twisted love brought about the destruction of his own kind.\The Tree of Life meant to restore the Dark Angels\did not bear fruit, but withered and fell back into the earth. response:	Let's meet again in 12,000 years.
context: But fate can also be cruel.\For the Dark Angel Toma was also reborn into that age.\Toma still bore love and hatred for Apollonius,\and he schemed to destroy the humanity that Apollonius fought for.\But his twisted love brought about the destruction of his own kind.\The Tree of Life meant to restore the Dark Angels\did not bear fruit, but withered and fell back into the earth.\Let's meet again in 12,000 years. response:	Apollo!
context: For the Dark Angel Toma was also reborn into that age.\Toma still bore love and hatred for Apollonius,\and he schemed to destroy the humanity that Apollonius fought for.\But his twisted love brought about the destruction of his own kind.\The Tree of Life meant to restore the Dark Angels\did not bear fruit, but withered and fell back into the earth.\Let's meet again in 12,000 years.\Apollo! response:	Come, my friends!
context: Toma still bore love and hatred for Apollonius,\and he schemed to destroy the humanity that Apollonius fought for.\But his twisted love brought about the destruction of his own kind.\The Tree of Life meant to restore the Dark Angels\did not bear fruit, but withered and fell back into the earth.\Let's meet again in 12,000 years.\Apollo!\Come, my friends! response:	Let human and Angel join hands...
context: and he schemed to destroy the humanity that Apollonius fought for.\But his twisted love brought about the destruction of his own kind.\The Tree of Life meant to restore the Dark Angels\did not bear fruit, but withered and fell back into the earth.\Let's meet again in 12,000 years.\Apollo!\Come, my friends!\Let human and Angel join hands... response:	and forge a new Genesis for this world!
context: But his twisted love brought about the destruction of his own kind.\The Tree of Life meant to restore the Dark Angels\did not bear fruit, but withered and fell back into the earth.\Let's meet again in 12,000 years.\Apollo!\Come, my friends!\Let human and Angel join hands...\and forge a new Genesis for this world! response:	The poor Winged Hound, Pollon.
