context: Passing the Night response:	Ever since I was a baby, there was a shogi board in front of me.
context: The brat who was a genius back home\was just one more brat in Tokyo.\Tokyo-Bound Highway Bus Stop\Even so, the old men of the village never stopped encouraging me.\The seat of the overnight bus would creak and squeak.\The road at night went on forever.\Eventually, I couldn't tell whether the creaking was the seat, my stomach, or my heart.\I would have nightmares of riding on and on, but never getting anywhere. response:	Still, I just couldn't let everyone's faith in me go to waste.
context: was just one more brat in Tokyo.\Tokyo-Bound Highway Bus Stop\Even so, the old men of the village never stopped encouraging me.\The seat of the overnight bus would creak and squeak.\The road at night went on forever.\Eventually, I couldn't tell whether the creaking was the seat, my stomach, or my heart.\I would have nightmares of riding on and on, but never getting anywhere.\Still, I just couldn't let everyone's faith in me go to waste. response:	I didn't want to.
context: Tokyo-Bound Highway Bus Stop\Even so, the old men of the village never stopped encouraging me.\The seat of the overnight bus would creak and squeak.\The road at night went on forever.\Eventually, I couldn't tell whether the creaking was the seat, my stomach, or my heart.\I would have nightmares of riding on and on, but never getting anywhere.\Still, I just couldn't let everyone's faith in me go to waste.\I didn't want to. response:	I'm probably still carrying...
context: Even so, the old men of the village never stopped encouraging me.\The seat of the overnight bus would creak and squeak.\The road at night went on forever.\Eventually, I couldn't tell whether the creaking was the seat, my stomach, or my heart.\I would have nightmares of riding on and on, but never getting anywhere.\Still, I just couldn't let everyone's faith in me go to waste.\I didn't want to.\I'm probably still carrying... response:	that same pain now.
context: The seat of the overnight bus would creak and squeak.\The road at night went on forever.\Eventually, I couldn't tell whether the creaking was the seat, my stomach, or my heart.\I would have nightmares of riding on and on, but never getting anywhere.\Still, I just couldn't let everyone's faith in me go to waste.\I didn't want to.\I'm probably still carrying...\that same pain now. response:	Excuse me.
context: The road at night went on forever.\Eventually, I couldn't tell whether the creaking was the seat, my stomach, or my heart.\I would have nightmares of riding on and on, but never getting anywhere.\Still, I just couldn't let everyone's faith in me go to waste.\I didn't want to.\I'm probably still carrying...\that same pain now.\Excuse me. response:	Hey, Kiriyama.
context: Eventually, I couldn't tell whether the creaking was the seat, my stomach, or my heart.\I would have nightmares of riding on and on, but never getting anywhere.\Still, I just couldn't let everyone's faith in me go to waste.\I didn't want to.\I'm probably still carrying...\that same pain now.\Excuse me.\Hey, Kiriyama. response:	Oh, it's okay. Don't get up.
context: I would have nightmares of riding on and on, but never getting anywhere.\Still, I just couldn't let everyone's faith in me go to waste.\I didn't want to.\I'm probably still carrying...\that same pain now.\Excuse me.\Hey, Kiriyama.\Oh, it's okay. Don't get up. response:	I bought some random things, so I'll put them in your refrigerator.
context: Still, I just couldn't let everyone's faith in me go to waste.\I didn't want to.\I'm probably still carrying...\that same pain now.\Excuse me.\Hey, Kiriyama.\Oh, it's okay. Don't get up.\I bought some random things, so I'll put them in your refrigerator. response:	- Sorry for the trouble. - No, not at all.
context: I didn't want to.\I'm probably still carrying...\that same pain now.\Excuse me.\Hey, Kiriyama.\Oh, it's okay. Don't get up.\I bought some random things, so I'll put them in your refrigerator.\- Sorry for the trouble. - No, not at all. response:	Maru S
context: I'm probably still carrying...\that same pain now.\Excuse me.\Hey, Kiriyama.\Oh, it's okay. Don't get up.\I bought some random things, so I'll put them in your refrigerator.\- Sorry for the trouble. - No, not at all.\Maru S response:	I'm on spring break.
context: that same pain now.\Excuse me.\Hey, Kiriyama.\Oh, it's okay. Don't get up.\I bought some random things, so I'll put them in your refrigerator.\- Sorry for the trouble. - No, not at all.\Maru S\I'm on spring break. response:	Have you had lunch?
context: Excuse me.\Hey, Kiriyama.\Oh, it's okay. Don't get up.\I bought some random things, so I'll put them in your refrigerator.\- Sorry for the trouble. - No, not at all.\Maru S\I'm on spring break.\Have you had lunch? response:	Well, I had some tofu.
context: Hey, Kiriyama.\Oh, it's okay. Don't get up.\I bought some random things, so I'll put them in your refrigerator.\- Sorry for the trouble. - No, not at all.\Maru S\I'm on spring break.\Have you had lunch?\Well, I had some tofu. response:	I bought some udon noodles. Can I use your stove?
context: Oh, it's okay. Don't get up.\I bought some random things, so I'll put them in your refrigerator.\- Sorry for the trouble. - No, not at all.\Maru S\I'm on spring break.\Have you had lunch?\Well, I had some tofu.\I bought some udon noodles. Can I use your stove? response:	They're easy on the stomach if you make them really soft.
context: I bought some random things, so I'll put them in your refrigerator.\- Sorry for the trouble. - No, not at all.\Maru S\I'm on spring break.\Have you had lunch?\Well, I had some tofu.\I bought some udon noodles. Can I use your stove?\They're easy on the stomach if you make them really soft. response:	Oh, in that case, I might be able to eat them. Thanks.
context: - Sorry for the trouble. - No, not at all.\Maru S\I'm on spring break.\Have you had lunch?\Well, I had some tofu.\I bought some udon noodles. Can I use your stove?\They're easy on the stomach if you make them really soft.\Oh, in that case, I might be able to eat them. Thanks. response:	My father often suffered from stomach pains, so I kind of remember.
context: Maru S\I'm on spring break.\Have you had lunch?\Well, I had some tofu.\I bought some udon noodles. Can I use your stove?\They're easy on the stomach if you make them really soft.\Oh, in that case, I might be able to eat them. Thanks.\My father often suffered from stomach pains, so I kind of remember. response:	Just give me a moment.
context: I'm on spring break.\Have you had lunch?\Well, I had some tofu.\I bought some udon noodles. Can I use your stove?\They're easy on the stomach if you make them really soft.\Oh, in that case, I might be able to eat them. Thanks.\My father often suffered from stomach pains, so I kind of remember.\Just give me a moment. response:	Huh?
context: Have you had lunch?\Well, I had some tofu.\I bought some udon noodles. Can I use your stove?\They're easy on the stomach if you make them really soft.\Oh, in that case, I might be able to eat them. Thanks.\My father often suffered from stomach pains, so I kind of remember.\Just give me a moment.\Huh? response:	Mr. Kouda gets stomach pains?
context: Well, I had some tofu.\I bought some udon noodles. Can I use your stove?\They're easy on the stomach if you make them really soft.\Oh, in that case, I might be able to eat them. Thanks.\My father often suffered from stomach pains, so I kind of remember.\Just give me a moment.\Huh?\Mr. Kouda gets stomach pains? response:	Do you mind if I put an egg in there?
context: I bought some udon noodles. Can I use your stove?\They're easy on the stomach if you make them really soft.\Oh, in that case, I might be able to eat them. Thanks.\My father often suffered from stomach pains, so I kind of remember.\Just give me a moment.\Huh?\Mr. Kouda gets stomach pains?\Do you mind if I put an egg in there? response:	Not him.
context: They're easy on the stomach if you make them really soft.\Oh, in that case, I might be able to eat them. Thanks.\My father often suffered from stomach pains, so I kind of remember.\Just give me a moment.\Huh?\Mr. Kouda gets stomach pains?\Do you mind if I put an egg in there?\Not him. response:	Oh, sure. Please.
context: Oh, in that case, I might be able to eat them. Thanks.\My father often suffered from stomach pains, so I kind of remember.\Just give me a moment.\Huh?\Mr. Kouda gets stomach pains?\Do you mind if I put an egg in there?\Not him.\Oh, sure. Please. response:	I see. He meant his real father.
context: My father often suffered from stomach pains, so I kind of remember.\Just give me a moment.\Huh?\Mr. Kouda gets stomach pains?\Do you mind if I put an egg in there?\Not him.\Oh, sure. Please.\I see. He meant his real father. response:	Oh, wow.
context: Just give me a moment.\Huh?\Mr. Kouda gets stomach pains?\Do you mind if I put an egg in there?\Not him.\Oh, sure. Please.\I see. He meant his real father.\Oh, wow. response:	Yeah, this is good.
context: Huh?\Mr. Kouda gets stomach pains?\Do you mind if I put an egg in there?\Not him.\Oh, sure. Please.\I see. He meant his real father.\Oh, wow.\Yeah, this is good. response:	I think I can eat this. Yeah.
context: Mr. Kouda gets stomach pains?\Do you mind if I put an egg in there?\Not him.\Oh, sure. Please.\I see. He meant his real father.\Oh, wow.\Yeah, this is good.\I think I can eat this. Yeah. response:	I'm glad.
context: Do you mind if I put an egg in there?\Not him.\Oh, sure. Please.\I see. He meant his real father.\Oh, wow.\Yeah, this is good.\I think I can eat this. Yeah.\I'm glad. response:	Um, Mr. Shimada, I'll be going home now.
context: Not him.\Oh, sure. Please.\I see. He meant his real father.\Oh, wow.\Yeah, this is good.\I think I can eat this. Yeah.\I'm glad.\Um, Mr. Shimada, I'll be going home now. response:	What, why?
context: Oh, sure. Please.\I see. He meant his real father.\Oh, wow.\Yeah, this is good.\I think I can eat this. Yeah.\I'm glad.\Um, Mr. Shimada, I'll be going home now.\What, why? response:	Your fourth match is in five days.
context: I see. He meant his real father.\Oh, wow.\Yeah, this is good.\I think I can eat this. Yeah.\I'm glad.\Um, Mr. Shimada, I'll be going home now.\What, why?\Your fourth match is in five days. response:	Right now, I think you should focus on getting better, health-wise.
context: Oh, wow.\Yeah, this is good.\I think I can eat this. Yeah.\I'm glad.\Um, Mr. Shimada, I'll be going home now.\What, why?\Your fourth match is in five days.\Right now, I think you should focus on getting better, health-wise. response:	If you overdo it here...
context: Yeah, this is good.\I think I can eat this. Yeah.\I'm glad.\Um, Mr. Shimada, I'll be going home now.\What, why?\Your fourth match is in five days.\Right now, I think you should focus on getting better, health-wise.\If you overdo it here... response:	Yeah, but I'll be all right. My stomach is always like this.
context: I think I can eat this. Yeah.\I'm glad.\Um, Mr. Shimada, I'll be going home now.\What, why?\Your fourth match is in five days.\Right now, I think you should focus on getting better, health-wise.\If you overdo it here...\Yeah, but I'll be all right. My stomach is always like this. response:	Surprisingly, it never hurts during a match.
context: I'm glad.\Um, Mr. Shimada, I'll be going home now.\What, why?\Your fourth match is in five days.\Right now, I think you should focus on getting better, health-wise.\If you overdo it here...\Yeah, but I'll be all right. My stomach is always like this.\Surprisingly, it never hurts during a match. response:	Really?
context: Um, Mr. Shimada, I'll be going home now.\What, why?\Your fourth match is in five days.\Right now, I think you should focus on getting better, health-wise.\If you overdo it here...\Yeah, but I'll be all right. My stomach is always like this.\Surprisingly, it never hurts during a match.\Really? response:	Yeah. But that being said, this time...
context: What, why?\Your fourth match is in five days.\Right now, I think you should focus on getting better, health-wise.\If you overdo it here...\Yeah, but I'll be all right. My stomach is always like this.\Surprisingly, it never hurts during a match.\Really?\Yeah. But that being said, this time... response:	I am in a pinch.
context: Your fourth match is in five days.\Right now, I think you should focus on getting better, health-wise.\If you overdo it here...\Yeah, but I'll be all right. My stomach is always like this.\Surprisingly, it never hurts during a match.\Really?\Yeah. But that being said, this time...\I am in a pinch. response:	I don't often like to make sealed moves,
context: Right now, I think you should focus on getting better, health-wise.\If you overdo it here...\Yeah, but I'll be all right. My stomach is always like this.\Surprisingly, it never hurts during a match.\Really?\Yeah. But that being said, this time...\I am in a pinch.\I don't often like to make sealed moves, response:	but during the natural flow of the game,
context: If you overdo it here...\Yeah, but I'll be all right. My stomach is always like this.\Surprisingly, it never hurts during a match.\Really?\Yeah. But that being said, this time...\I am in a pinch.\I don't often like to make sealed moves,\but during the natural flow of the game, response:	Sealed Move Envelope
context: Yeah, but I'll be all right. My stomach is always like this.\Surprisingly, it never hurts during a match.\Really?\Yeah. But that being said, this time...\I am in a pinch.\I don't often like to make sealed moves,\but during the natural flow of the game,\Sealed Move Envelope response:	a move came up in which I thought, This is a good one,
context: Surprisingly, it never hurts during a match.\Really?\Yeah. But that being said, this time...\I am in a pinch.\I don't often like to make sealed moves,\but during the natural flow of the game,\Sealed Move Envelope\a move came up in which I thought, This is a good one, response:	Shimada Souya
context: Really?\Yeah. But that being said, this time...\I am in a pinch.\I don't often like to make sealed moves,\but during the natural flow of the game,\Sealed Move Envelope\a move came up in which I thought, This is a good one,\Shimada Souya response:	so I made that my sealed move,
context: Yeah. But that being said, this time...\I am in a pinch.\I don't often like to make sealed moves,\but during the natural flow of the game,\Sealed Move Envelope\a move came up in which I thought, This is a good one,\Shimada Souya\so I made that my sealed move, response:	but in the middle of the night...
context: I am in a pinch.\I don't often like to make sealed moves,\but during the natural flow of the game,\Sealed Move Envelope\a move came up in which I thought, This is a good one,\Shimada Souya\so I made that my sealed move,\but in the middle of the night... response:	4-f-Bishop?
context: I don't often like to make sealed moves,\but during the natural flow of the game,\Sealed Move Envelope\a move came up in which I thought, This is a good one,\Shimada Souya\so I made that my sealed move,\but in the middle of the night...\4-f-Bishop? response:	Not 6-f-Silver, but same, Silver!
context: but during the natural flow of the game,\Sealed Move Envelope\a move came up in which I thought, This is a good one,\Shimada Souya\so I made that my sealed move,\but in the middle of the night...\4-f-Bishop?\Not 6-f-Silver, but same, Silver! response:	6-e-Pawn takes that Silver, 5-e-Rook takes 6-e-Lance!
context: Sealed Move Envelope\a move came up in which I thought, This is a good one,\Shimada Souya\so I made that my sealed move,\but in the middle of the night...\4-f-Bishop?\Not 6-f-Silver, but same, Silver!\6-e-Pawn takes that Silver, 5-e-Rook takes 6-e-Lance! response:	I thought that's how I'd go, but I overlooked 4-f-Bishop!
context: a move came up in which I thought, This is a good one,\Shimada Souya\so I made that my sealed move,\but in the middle of the night...\4-f-Bishop?\Not 6-f-Silver, but same, Silver!\6-e-Pawn takes that Silver, 5-e-Rook takes 6-e-Lance!\I thought that's how I'd go, but I overlooked 4-f-Bishop! response:	That's not good!
context: Shimada Souya\so I made that my sealed move,\but in the middle of the night...\4-f-Bishop?\Not 6-f-Silver, but same, Silver!\6-e-Pawn takes that Silver, 5-e-Rook takes 6-e-Lance!\I thought that's how I'd go, but I overlooked 4-f-Bishop!\That's not good! response:	He'll have me checkmated before lunch!
context: so I made that my sealed move,\but in the middle of the night...\4-f-Bishop?\Not 6-f-Silver, but same, Silver!\6-e-Pawn takes that Silver, 5-e-Rook takes 6-e-Lance!\I thought that's how I'd go, but I overlooked 4-f-Bishop!\That's not good!\He'll have me checkmated before lunch! response:	After that, it was just...
context: but in the middle of the night...\4-f-Bishop?\Not 6-f-Silver, but same, Silver!\6-e-Pawn takes that Silver, 5-e-Rook takes 6-e-Lance!\I thought that's how I'd go, but I overlooked 4-f-Bishop!\That's not good!\He'll have me checkmated before lunch!\After that, it was just... response:	Struggle Struggle Flail Flail
context: 4-f-Bishop?\Not 6-f-Silver, but same, Silver!\6-e-Pawn takes that Silver, 5-e-Rook takes 6-e-Lance!\I thought that's how I'd go, but I overlooked 4-f-Bishop!\That's not good!\He'll have me checkmated before lunch!\After that, it was just...\Struggle Struggle Flail Flail response:	I was racking my brain, trying to think of a way I could still stick it out.
context: Not 6-f-Silver, but same, Silver!\6-e-Pawn takes that Silver, 5-e-Rook takes 6-e-Lance!\I thought that's how I'd go, but I overlooked 4-f-Bishop!\That's not good!\He'll have me checkmated before lunch!\After that, it was just...\Struggle Struggle Flail Flail\I was racking my brain, trying to think of a way I could still stick it out. response:	And my stomach was going bang bang!
context: 6-e-Pawn takes that Silver, 5-e-Rook takes 6-e-Lance!\I thought that's how I'd go, but I overlooked 4-f-Bishop!\That's not good!\He'll have me checkmated before lunch!\After that, it was just...\Struggle Struggle Flail Flail\I was racking my brain, trying to think of a way I could still stick it out.\And my stomach was going bang bang! response:	I was writhing until morning, and then...
context: I thought that's how I'd go, but I overlooked 4-f-Bishop!\That's not good!\He'll have me checkmated before lunch!\After that, it was just...\Struggle Struggle Flail Flail\I was racking my brain, trying to think of a way I could still stick it out.\And my stomach was going bang bang!\I was writhing until morning, and then... response:	Huh? What did I want to say again?
