context: Is this the place that the monk spoke of?! response:	A hair cord...
context: I want to steal his heart...\from the one I will never forgive if he dares to forget me.\Never forgive if he forgets you?\Do you mean Inuyasha?\He wishes for my death.\That is good.\That means he has regrets about our fight.\Regret all he wants. response:	I shall never let him forget... about me.
context: from the one I will never forgive if he dares to forget me.\Never forgive if he forgets you?\Do you mean Inuyasha?\He wishes for my death.\That is good.\That means he has regrets about our fight.\Regret all he wants.\I shall never let him forget... about me. response:	Time will not go forward.
context: Never forgive if he forgets you?\Do you mean Inuyasha?\He wishes for my death.\That is good.\That means he has regrets about our fight.\Regret all he wants.\I shall never let him forget... about me.\Time will not go forward. response:	Then I can exist is the time that is frozen.
context: Do you mean Inuyasha?\He wishes for my death.\That is good.\That means he has regrets about our fight.\Regret all he wants.\I shall never let him forget... about me.\Time will not go forward.\Then I can exist is the time that is frozen. response:	I will be able to continue living in his heart.
context: He wishes for my death.\That is good.\That means he has regrets about our fight.\Regret all he wants.\I shall never let him forget... about me.\Time will not go forward.\Then I can exist is the time that is frozen.\I will be able to continue living in his heart. response:	Even now, Inuyasha thinks about you!
context: That is good.\That means he has regrets about our fight.\Regret all he wants.\I shall never let him forget... about me.\Time will not go forward.\Then I can exist is the time that is frozen.\I will be able to continue living in his heart.\Even now, Inuyasha thinks about you! response:	Isn't that enough?
context: That means he has regrets about our fight.\Regret all he wants.\I shall never let him forget... about me.\Time will not go forward.\Then I can exist is the time that is frozen.\I will be able to continue living in his heart.\Even now, Inuyasha thinks about you!\Isn't that enough? response:	Inuyasha loves you! He always has!
context: Regret all he wants.\I shall never let him forget... about me.\Time will not go forward.\Then I can exist is the time that is frozen.\I will be able to continue living in his heart.\Even now, Inuyasha thinks about you!\Isn't that enough?\Inuyasha loves you! He always has! response:	Isn't that enough?
context: I shall never let him forget... about me.\Time will not go forward.\Then I can exist is the time that is frozen.\I will be able to continue living in his heart.\Even now, Inuyasha thinks about you!\Isn't that enough?\Inuyasha loves you! He always has!\Isn't that enough? response:	Inuyasha and I parted despising each other.
context: Time will not go forward.\Then I can exist is the time that is frozen.\I will be able to continue living in his heart.\Even now, Inuyasha thinks about you!\Isn't that enough?\Inuyasha loves you! He always has!\Isn't that enough?\Inuyasha and I parted despising each other. response:	The love you speak of is but a shallow emotion...
context: Then I can exist is the time that is frozen.\I will be able to continue living in his heart.\Even now, Inuyasha thinks about you!\Isn't that enough?\Inuyasha loves you! He always has!\Isn't that enough?\Inuyasha and I parted despising each other.\The love you speak of is but a shallow emotion... response:	which only served to deepen the hatred.
context: I will be able to continue living in his heart.\Even now, Inuyasha thinks about you!\Isn't that enough?\Inuyasha loves you! He always has!\Isn't that enough?\Inuyasha and I parted despising each other.\The love you speak of is but a shallow emotion...\which only served to deepen the hatred. response:	Nothing is stronger in strengthening resolve than bitterness.
context: Even now, Inuyasha thinks about you!\Isn't that enough?\Inuyasha loves you! He always has!\Isn't that enough?\Inuyasha and I parted despising each other.\The love you speak of is but a shallow emotion...\which only served to deepen the hatred.\Nothing is stronger in strengthening resolve than bitterness. response:	If he must love, then love my consuming hatred.
context: Isn't that enough?\Inuyasha loves you! He always has!\Isn't that enough?\Inuyasha and I parted despising each other.\The love you speak of is but a shallow emotion...\which only served to deepen the hatred.\Nothing is stronger in strengthening resolve than bitterness.\If he must love, then love my consuming hatred. response:	As for me, I will love his heart...
context: Inuyasha loves you! He always has!\Isn't that enough?\Inuyasha and I parted despising each other.\The love you speak of is but a shallow emotion...\which only served to deepen the hatred.\Nothing is stronger in strengthening resolve than bitterness.\If he must love, then love my consuming hatred.\As for me, I will love his heart... response:	which is about to fall into deep despair.
context: Isn't that enough?\Inuyasha and I parted despising each other.\The love you speak of is but a shallow emotion...\which only served to deepen the hatred.\Nothing is stronger in strengthening resolve than bitterness.\If he must love, then love my consuming hatred.\As for me, I will love his heart...\which is about to fall into deep despair. response:	No! Your hatred is pointless!
context: Inuyasha and I parted despising each other.\The love you speak of is but a shallow emotion...\which only served to deepen the hatred.\Nothing is stronger in strengthening resolve than bitterness.\If he must love, then love my consuming hatred.\As for me, I will love his heart...\which is about to fall into deep despair.\No! Your hatred is pointless! response:	It makes no sense!
context: The love you speak of is but a shallow emotion...\which only served to deepen the hatred.\Nothing is stronger in strengthening resolve than bitterness.\If he must love, then love my consuming hatred.\As for me, I will love his heart...\which is about to fall into deep despair.\No! Your hatred is pointless!\It makes no sense! response:	Inuyasha! Talk to Kikyo!
context: which only served to deepen the hatred.\Nothing is stronger in strengthening resolve than bitterness.\If he must love, then love my consuming hatred.\As for me, I will love his heart...\which is about to fall into deep despair.\No! Your hatred is pointless!\It makes no sense!\Inuyasha! Talk to Kikyo! response:	Tell her how Naraku deceived you both!
context: Nothing is stronger in strengthening resolve than bitterness.\If he must love, then love my consuming hatred.\As for me, I will love his heart...\which is about to fall into deep despair.\No! Your hatred is pointless!\It makes no sense!\Inuyasha! Talk to Kikyo!\Tell her how Naraku deceived you both! response:	Inuyasha?
context: If he must love, then love my consuming hatred.\As for me, I will love his heart...\which is about to fall into deep despair.\No! Your hatred is pointless!\It makes no sense!\Inuyasha! Talk to Kikyo!\Tell her how Naraku deceived you both!\Inuyasha? response:	Kikyo!
context: As for me, I will love his heart...\which is about to fall into deep despair.\No! Your hatred is pointless!\It makes no sense!\Inuyasha! Talk to Kikyo!\Tell her how Naraku deceived you both!\Inuyasha?\Kikyo! response:	Inuyasha can't see me!
context: which is about to fall into deep despair.\No! Your hatred is pointless!\It makes no sense!\Inuyasha! Talk to Kikyo!\Tell her how Naraku deceived you both!\Inuyasha?\Kikyo!\Inuyasha can't see me! response:	So it is you...
context: No! Your hatred is pointless!\It makes no sense!\Inuyasha! Talk to Kikyo!\Tell her how Naraku deceived you both!\Inuyasha?\Kikyo!\Inuyasha can't see me!\So it is you... response:	who's been gathering the souls of dead women.
context: It makes no sense!\Inuyasha! Talk to Kikyo!\Tell her how Naraku deceived you both!\Inuyasha?\Kikyo!\Inuyasha can't see me!\So it is you...\who's been gathering the souls of dead women. response:	This body, molded from earth and bones...
context: Inuyasha! Talk to Kikyo!\Tell her how Naraku deceived you both!\Inuyasha?\Kikyo!\Inuyasha can't see me!\So it is you...\who's been gathering the souls of dead women.\This body, molded from earth and bones... response:	needs to be nourished with human souls, else I cannot move.
context: Tell her how Naraku deceived you both!\Inuyasha?\Kikyo!\Inuyasha can't see me!\So it is you...\who's been gathering the souls of dead women.\This body, molded from earth and bones...\needs to be nourished with human souls, else I cannot move. response:	Inuyasha... you must despise me.
context: Inuyasha?\Kikyo!\Inuyasha can't see me!\So it is you...\who's been gathering the souls of dead women.\This body, molded from earth and bones...\needs to be nourished with human souls, else I cannot move.\Inuyasha... you must despise me. response:	Driven by my hatred towards you...
context: Kikyo!\Inuyasha can't see me!\So it is you...\who's been gathering the souls of dead women.\This body, molded from earth and bones...\needs to be nourished with human souls, else I cannot move.\Inuyasha... you must despise me.\Driven by my hatred towards you... response:	I have gathered the souls of the dead to remain in this world.
context: Inuyasha can't see me!\So it is you...\who's been gathering the souls of dead women.\This body, molded from earth and bones...\needs to be nourished with human souls, else I cannot move.\Inuyasha... you must despise me.\Driven by my hatred towards you...\I have gathered the souls of the dead to remain in this world. response:	How stupid!
context: So it is you...\who's been gathering the souls of dead women.\This body, molded from earth and bones...\needs to be nourished with human souls, else I cannot move.\Inuyasha... you must despise me.\Driven by my hatred towards you...\I have gathered the souls of the dead to remain in this world.\How stupid! response:	You may hate me, but...
context: who's been gathering the souls of dead women.\This body, molded from earth and bones...\needs to be nourished with human souls, else I cannot move.\Inuyasha... you must despise me.\Driven by my hatred towards you...\I have gathered the souls of the dead to remain in this world.\How stupid!\You may hate me, but... response:	never a day went by without my thinking about you!
context: This body, molded from earth and bones...\needs to be nourished with human souls, else I cannot move.\Inuyasha... you must despise me.\Driven by my hatred towards you...\I have gathered the souls of the dead to remain in this world.\How stupid!\You may hate me, but...\never a day went by without my thinking about you! response:	I thought so... Inuyasha has never forgotten Kikyo...
context: needs to be nourished with human souls, else I cannot move.\Inuyasha... you must despise me.\Driven by my hatred towards you...\I have gathered the souls of the dead to remain in this world.\How stupid!\You may hate me, but...\never a day went by without my thinking about you!\I thought so... Inuyasha has never forgotten Kikyo... response:	Of course! But I feel a bit sad.
context: Inuyasha... you must despise me.\Driven by my hatred towards you...\I have gathered the souls of the dead to remain in this world.\How stupid!\You may hate me, but...\never a day went by without my thinking about you!\I thought so... Inuyasha has never forgotten Kikyo...\Of course! But I feel a bit sad. response:	Inuyasha's been taken from me.
context: Driven by my hatred towards you...\I have gathered the souls of the dead to remain in this world.\How stupid!\You may hate me, but...\never a day went by without my thinking about you!\I thought so... Inuyasha has never forgotten Kikyo...\Of course! But I feel a bit sad.\Inuyasha's been taken from me. response:	Oh, what am I saying?!
context: I have gathered the souls of the dead to remain in this world.\How stupid!\You may hate me, but...\never a day went by without my thinking about you!\I thought so... Inuyasha has never forgotten Kikyo...\Of course! But I feel a bit sad.\Inuyasha's been taken from me.\Oh, what am I saying?! response:	Inuyasha's not my boyfriend or anything!
context: How stupid!\You may hate me, but...\never a day went by without my thinking about you!\I thought so... Inuyasha has never forgotten Kikyo...\Of course! But I feel a bit sad.\Inuyasha's been taken from me.\Oh, what am I saying?!\Inuyasha's not my boyfriend or anything! response:	No matter what your appearance...
context: You may hate me, but...\never a day went by without my thinking about you!\I thought so... Inuyasha has never forgotten Kikyo...\Of course! But I feel a bit sad.\Inuyasha's been taken from me.\Oh, what am I saying?!\Inuyasha's not my boyfriend or anything!\No matter what your appearance... response:	I would never hate you or think less of you...
context: never a day went by without my thinking about you!\I thought so... Inuyasha has never forgotten Kikyo...\Of course! But I feel a bit sad.\Inuyasha's been taken from me.\Oh, what am I saying?!\Inuyasha's not my boyfriend or anything!\No matter what your appearance...\I would never hate you or think less of you... response:	Is that true?
context: I thought so... Inuyasha has never forgotten Kikyo...\Of course! But I feel a bit sad.\Inuyasha's been taken from me.\Oh, what am I saying?!\Inuyasha's not my boyfriend or anything!\No matter what your appearance...\I would never hate you or think less of you...\Is that true? response:	Even if I were to kill you with these hands?
context: Of course! But I feel a bit sad.\Inuyasha's been taken from me.\Oh, what am I saying?!\Inuyasha's not my boyfriend or anything!\No matter what your appearance...\I would never hate you or think less of you...\Is that true?\Even if I were to kill you with these hands? response:	Huh?! W-wait...!
context: Inuyasha's been taken from me.\Oh, what am I saying?!\Inuyasha's not my boyfriend or anything!\No matter what your appearance...\I would never hate you or think less of you...\Is that true?\Even if I were to kill you with these hands?\Huh?! W-wait...! response:	Inuyasha...
context: Oh, what am I saying?!\Inuyasha's not my boyfriend or anything!\No matter what your appearance...\I would never hate you or think less of you...\Is that true?\Even if I were to kill you with these hands?\Huh?! W-wait...!\Inuyasha... response:	after meeting you, I stopped being a priestess.
context: Inuyasha's not my boyfriend or anything!\No matter what your appearance...\I would never hate you or think less of you...\Is that true?\Even if I were to kill you with these hands?\Huh?! W-wait...!\Inuyasha...\after meeting you, I stopped being a priestess. response:	I became a mere woman.
context: No matter what your appearance...\I would never hate you or think less of you...\Is that true?\Even if I were to kill you with these hands?\Huh?! W-wait...!\Inuyasha...\after meeting you, I stopped being a priestess.\I became a mere woman. response:	This is what I longed for when I was alive.
context: I would never hate you or think less of you...\Is that true?\Even if I were to kill you with these hands?\Huh?! W-wait...!\Inuyasha...\after meeting you, I stopped being a priestess.\I became a mere woman.\This is what I longed for when I was alive. response:	Inuyasha... You're going to accept her...
context: Is that true?\Even if I were to kill you with these hands?\Huh?! W-wait...!\Inuyasha...\after meeting you, I stopped being a priestess.\I became a mere woman.\This is what I longed for when I was alive.\Inuyasha... You're going to accept her... response:	I guess... it's only to be expected.
context: Even if I were to kill you with these hands?\Huh?! W-wait...!\Inuyasha...\after meeting you, I stopped being a priestess.\I became a mere woman.\This is what I longed for when I was alive.\Inuyasha... You're going to accept her...\I guess... it's only to be expected. response:	What am I doing here anyway? I'm such a fool!
context: Huh?! W-wait...!\Inuyasha...\after meeting you, I stopped being a priestess.\I became a mere woman.\This is what I longed for when I was alive.\Inuyasha... You're going to accept her...\I guess... it's only to be expected.\What am I doing here anyway? I'm such a fool! response:	I'm starting to cry!? Cripes... what?!
context: Inuyasha...\after meeting you, I stopped being a priestess.\I became a mere woman.\This is what I longed for when I was alive.\Inuyasha... You're going to accept her...\I guess... it's only to be expected.\What am I doing here anyway? I'm such a fool!\I'm starting to cry!? Cripes... what?! response:	This nostalgic scent of her...
context: after meeting you, I stopped being a priestess.\I became a mere woman.\This is what I longed for when I was alive.\Inuyasha... You're going to accept her...\I guess... it's only to be expected.\What am I doing here anyway? I'm such a fool!\I'm starting to cry!? Cripes... what?!\This nostalgic scent of her... response:	It's just like back then.
context: I became a mere woman.\This is what I longed for when I was alive.\Inuyasha... You're going to accept her...\I guess... it's only to be expected.\What am I doing here anyway? I'm such a fool!\I'm starting to cry!? Cripes... what?!\This nostalgic scent of her...\It's just like back then. response:	The only difference is that she has no warmth.
context: This is what I longed for when I was alive.\Inuyasha... You're going to accept her...\I guess... it's only to be expected.\What am I doing here anyway? I'm such a fool!\I'm starting to cry!? Cripes... what?!\This nostalgic scent of her...\It's just like back then.\The only difference is that she has no warmth. response:	Her body died...so it's cold... and sad...and lonely.
context: Inuyasha... You're going to accept her...\I guess... it's only to be expected.\What am I doing here anyway? I'm such a fool!\I'm starting to cry!? Cripes... what?!\This nostalgic scent of her...\It's just like back then.\The only difference is that she has no warmth.\Her body died...so it's cold... and sad...and lonely. response:	We cannot return to that time.
context: I guess... it's only to be expected.\What am I doing here anyway? I'm such a fool!\I'm starting to cry!? Cripes... what?!\This nostalgic scent of her...\It's just like back then.\The only difference is that she has no warmth.\Her body died...so it's cold... and sad...and lonely.\We cannot return to that time. response:	So I want to stay like this a little longer.
context: What am I doing here anyway? I'm such a fool!\I'm starting to cry!? Cripes... what?!\This nostalgic scent of her...\It's just like back then.\The only difference is that she has no warmth.\Her body died...so it's cold... and sad...and lonely.\We cannot return to that time.\So I want to stay like this a little longer. response:	I can't save you...
context: I'm starting to cry!? Cripes... what?!\This nostalgic scent of her...\It's just like back then.\The only difference is that she has no warmth.\Her body died...so it's cold... and sad...and lonely.\We cannot return to that time.\So I want to stay like this a little longer.\I can't save you... response:	If I cannot do anything for you...
context: This nostalgic scent of her...\It's just like back then.\The only difference is that she has no warmth.\Her body died...so it's cold... and sad...and lonely.\We cannot return to that time.\So I want to stay like this a little longer.\I can't save you...\If I cannot do anything for you... response:	to stay like this...
context: It's just like back then.\The only difference is that she has no warmth.\Her body died...so it's cold... and sad...and lonely.\We cannot return to that time.\So I want to stay like this a little longer.\I can't save you...\If I cannot do anything for you...\to stay like this... response:	How I wish time would stop!
context: The only difference is that she has no warmth.\Her body died...so it's cold... and sad...and lonely.\We cannot return to that time.\So I want to stay like this a little longer.\I can't save you...\If I cannot do anything for you...\to stay like this...\How I wish time would stop! response:	Is that all right? If time would stop?
context: Her body died...so it's cold... and sad...and lonely.\We cannot return to that time.\So I want to stay like this a little longer.\I can't save you...\If I cannot do anything for you...\to stay like this...\How I wish time would stop!\Is that all right? If time would stop? response:	Yeah... I don't care... if I'm with you.
context: We cannot return to that time.\So I want to stay like this a little longer.\I can't save you...\If I cannot do anything for you...\to stay like this...\How I wish time would stop!\Is that all right? If time would stop?\Yeah... I don't care... if I'm with you. response:	Oh, I can't watch this anymore!
context: So I want to stay like this a little longer.\I can't save you...\If I cannot do anything for you...\to stay like this...\How I wish time would stop!\Is that all right? If time would stop?\Yeah... I don't care... if I'm with you.\Oh, I can't watch this anymore! response:	I won't interfere, so release me!
context: I can't save you...\If I cannot do anything for you...\to stay like this...\How I wish time would stop!\Is that all right? If time would stop?\Yeah... I don't care... if I'm with you.\Oh, I can't watch this anymore!\I won't interfere, so release me! response:	I'll go far away.
context: If I cannot do anything for you...\to stay like this...\How I wish time would stop!\Is that all right? If time would stop?\Yeah... I don't care... if I'm with you.\Oh, I can't watch this anymore!\I won't interfere, so release me!\I'll go far away. response:	Hey, are you two listening?!
context: to stay like this...\How I wish time would stop!\Is that all right? If time would stop?\Yeah... I don't care... if I'm with you.\Oh, I can't watch this anymore!\I won't interfere, so release me!\I'll go far away.\Hey, are you two listening?! response:	Inuyasha...
context: How I wish time would stop!\Is that all right? If time would stop?\Yeah... I don't care... if I'm with you.\Oh, I can't watch this anymore!\I won't interfere, so release me!\I'll go far away.\Hey, are you two listening?!\Inuyasha... response:	I will never let you go.
context: Is that all right? If time would stop?\Yeah... I don't care... if I'm with you.\Oh, I can't watch this anymore!\I won't interfere, so release me!\I'll go far away.\Hey, are you two listening?!\Inuyasha...\I will never let you go. response:	Come with me to hell.
context: Yeah... I don't care... if I'm with you.\Oh, I can't watch this anymore!\I won't interfere, so release me!\I'll go far away.\Hey, are you two listening?!\Inuyasha...\I will never let you go.\Come with me to hell. response:	He's being dragged in!
context: Oh, I can't watch this anymore!\I won't interfere, so release me!\I'll go far away.\Hey, are you two listening?!\Inuyasha...\I will never let you go.\Come with me to hell.\He's being dragged in! response:	Inuyasha, what're you doing?! You must get away!
context: I won't interfere, so release me!\I'll go far away.\Hey, are you two listening?!\Inuyasha...\I will never let you go.\Come with me to hell.\He's being dragged in!\Inuyasha, what're you doing?! You must get away! response:	No! He's unconscious!
context: I'll go far away.\Hey, are you two listening?!\Inuyasha...\I will never let you go.\Come with me to hell.\He's being dragged in!\Inuyasha, what're you doing?! You must get away!\No! He's unconscious! response:	Kikyo! You can hear me, I know!
