context: My dream was to make it big with my band response:	and have everyone in Japan know my name.
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Our rehearsal is from twelve o'clock for one hour.\1700 SOUND CHECK 1800 RUN-THROUGH 1945 STAND-BY FOR ON AIR Our rehearsal is from twelve o'clock for one hour.\If you're hungry,\you'd better eat a box lunch while you have the chance.\You still have thirty minutes.\Hey, what's this run-through at six? response:	It's a dress rehearsal.
context: Yeah, yeah, keep going on\Our rehearsal is from twelve o'clock for one hour.\1700 SOUND CHECK 1800 RUN-THROUGH 1945 STAND-BY FOR ON AIR Our rehearsal is from twelve o'clock for one hour.\If you're hungry,\you'd better eat a box lunch while you have the chance.\You still have thirty minutes.\Hey, what's this run-through at six?\It's a dress rehearsal. response:	You do the exact same thing as you will live.
context: Our rehearsal is from twelve o'clock for one hour.\1700 SOUND CHECK 1800 RUN-THROUGH 1945 STAND-BY FOR ON AIR Our rehearsal is from twelve o'clock for one hour.\If you're hungry,\you'd better eat a box lunch while you have the chance.\You still have thirty minutes.\Hey, what's this run-through at six?\It's a dress rehearsal.\You do the exact same thing as you will live. response:	There's a lot of time between the rehearsal and the run-through.
context: 1700 SOUND CHECK 1800 RUN-THROUGH 1945 STAND-BY FOR ON AIR Our rehearsal is from twelve o'clock for one hour.\If you're hungry,\you'd better eat a box lunch while you have the chance.\You still have thirty minutes.\Hey, what's this run-through at six?\It's a dress rehearsal.\You do the exact same thing as you will live.\There's a lot of time between the rehearsal and the run-through. response:	Do we have other work during that time?
context: If you're hungry,\you'd better eat a box lunch while you have the chance.\You still have thirty minutes.\Hey, what's this run-through at six?\It's a dress rehearsal.\You do the exact same thing as you will live.\There's a lot of time between the rehearsal and the run-through.\Do we have other work during that time? response:	Today, there's just this music show.
context: you'd better eat a box lunch while you have the chance.\You still have thirty minutes.\Hey, what's this run-through at six?\It's a dress rehearsal.\You do the exact same thing as you will live.\There's a lot of time between the rehearsal and the run-through.\Do we have other work during that time?\Today, there's just this music show. response:	It's your first time on live TV, isn't it?
context: You still have thirty minutes.\Hey, what's this run-through at six?\It's a dress rehearsal.\You do the exact same thing as you will live.\There's a lot of time between the rehearsal and the run-through.\Do we have other work during that time?\Today, there's just this music show.\It's your first time on live TV, isn't it? response:	Focus, and get yourself geared up for it.
context: Hey, what's this run-through at six?\It's a dress rehearsal.\You do the exact same thing as you will live.\There's a lot of time between the rehearsal and the run-through.\Do we have other work during that time?\Today, there's just this music show.\It's your first time on live TV, isn't it?\Focus, and get yourself geared up for it. response:	What?!
context: It's a dress rehearsal.\You do the exact same thing as you will live.\There's a lot of time between the rehearsal and the run-through.\Do we have other work during that time?\Today, there's just this music show.\It's your first time on live TV, isn't it?\Focus, and get yourself geared up for it.\What?! response:	Then can we go out before the run-through?
context: You do the exact same thing as you will live.\There's a lot of time between the rehearsal and the run-through.\Do we have other work during that time?\Today, there's just this music show.\It's your first time on live TV, isn't it?\Focus, and get yourself geared up for it.\What?!\Then can we go out before the run-through? response:	Did you even listen to what I said?
context: There's a lot of time between the rehearsal and the run-through.\Do we have other work during that time?\Today, there's just this music show.\It's your first time on live TV, isn't it?\Focus, and get yourself geared up for it.\What?!\Then can we go out before the run-through?\Did you even listen to what I said? response:	Focus, I said, focus.
context: Do we have other work during that time?\Today, there's just this music show.\It's your first time on live TV, isn't it?\Focus, and get yourself geared up for it.\What?!\Then can we go out before the run-through?\Did you even listen to what I said?\Focus, I said, focus. response:	I'm about to pass out from lack of sleep.
context: Today, there's just this music show.\It's your first time on live TV, isn't it?\Focus, and get yourself geared up for it.\What?!\Then can we go out before the run-through?\Did you even listen to what I said?\Focus, I said, focus.\I'm about to pass out from lack of sleep. response:	And I can't relax here.
context: It's your first time on live TV, isn't it?\Focus, and get yourself geared up for it.\What?!\Then can we go out before the run-through?\Did you even listen to what I said?\Focus, I said, focus.\I'm about to pass out from lack of sleep.\And I can't relax here. response:	Okay. That was good.
context: Focus, and get yourself geared up for it.\What?!\Then can we go out before the run-through?\Did you even listen to what I said?\Focus, I said, focus.\I'm about to pass out from lack of sleep.\And I can't relax here.\Okay. That was good. response:	Yasu!
context: What?!\Then can we go out before the run-through?\Did you even listen to what I said?\Focus, I said, focus.\I'm about to pass out from lack of sleep.\And I can't relax here.\Okay. That was good.\Yasu! response:	Yay! How've you been?
context: Then can we go out before the run-through?\Did you even listen to what I said?\Focus, I said, focus.\I'm about to pass out from lack of sleep.\And I can't relax here.\Okay. That was good.\Yasu!\Yay! How've you been? response:	You're always so loud, even on the job.
context: Did you even listen to what I said?\Focus, I said, focus.\I'm about to pass out from lack of sleep.\And I can't relax here.\Okay. That was good.\Yasu!\Yay! How've you been?\You're always so loud, even on the job. response:	Traitor.
context: Focus, I said, focus.\I'm about to pass out from lack of sleep.\And I can't relax here.\Okay. That was good.\Yasu!\Yay! How've you been?\You're always so loud, even on the job.\Traitor. response:	Women are so scary. They can be so vindictive.
context: I'm about to pass out from lack of sleep.\And I can't relax here.\Okay. That was good.\Yasu!\Yay! How've you been?\You're always so loud, even on the job.\Traitor.\Women are so scary. They can be so vindictive. response:	Hey, Ren.
context: And I can't relax here.\Okay. That was good.\Yasu!\Yay! How've you been?\You're always so loud, even on the job.\Traitor.\Women are so scary. They can be so vindictive.\Hey, Ren. response:	I need to talk to you.
context: Okay. That was good.\Yasu!\Yay! How've you been?\You're always so loud, even on the job.\Traitor.\Women are so scary. They can be so vindictive.\Hey, Ren.\I need to talk to you. response:	What?
context: Yasu!\Yay! How've you been?\You're always so loud, even on the job.\Traitor.\Women are so scary. They can be so vindictive.\Hey, Ren.\I need to talk to you.\What? response:	Just come with me.
context: Yay! How've you been?\You're always so loud, even on the job.\Traitor.\Women are so scary. They can be so vindictive.\Hey, Ren.\I need to talk to you.\What?\Just come with me. response:	Ren, are you still?
context: You're always so loud, even on the job.\Traitor.\Women are so scary. They can be so vindictive.\Hey, Ren.\I need to talk to you.\What?\Just come with me.\Ren, are you still? response:	No, I'm okay.
context: Traitor.\Women are so scary. They can be so vindictive.\Hey, Ren.\I need to talk to you.\What?\Just come with me.\Ren, are you still?\No, I'm okay. response:	No, you're not! Your eyes say so!
context: Women are so scary. They can be so vindictive.\Hey, Ren.\I need to talk to you.\What?\Just come with me.\Ren, are you still?\No, I'm okay.\No, you're not! Your eyes say so! response:	It's just a little...
context: Hey, Ren.\I need to talk to you.\What?\Just come with me.\Ren, are you still?\No, I'm okay.\No, you're not! Your eyes say so!\It's just a little... response:	A little what?
context: I need to talk to you.\What?\Just come with me.\Ren, are you still?\No, I'm okay.\No, you're not! Your eyes say so!\It's just a little...\A little what? response:	It'll never become a habit.
context: What?\Just come with me.\Ren, are you still?\No, I'm okay.\No, you're not! Your eyes say so!\It's just a little...\A little what?\It'll never become a habit. response:	It already has, and you've gotta stop!
context: Just come with me.\Ren, are you still?\No, I'm okay.\No, you're not! Your eyes say so!\It's just a little...\A little what?\It'll never become a habit.\It already has, and you've gotta stop! response:	Sorry.
context: Ren, are you still?\No, I'm okay.\No, you're not! Your eyes say so!\It's just a little...\A little what?\It'll never become a habit.\It already has, and you've gotta stop!\Sorry. response:	I'll never do it again, so...
context: No, I'm okay.\No, you're not! Your eyes say so!\It's just a little...\A little what?\It'll never become a habit.\It already has, and you've gotta stop!\Sorry.\I'll never do it again, so... response:	Ren...
context: No, you're not! Your eyes say so!\It's just a little...\A little what?\It'll never become a habit.\It already has, and you've gotta stop!\Sorry.\I'll never do it again, so...\Ren... response:	Don't worry.
context: It's just a little...\A little what?\It'll never become a habit.\It already has, and you've gotta stop!\Sorry.\I'll never do it again, so...\Ren...\Don't worry. response:	I'm not gonna steal Nana from you.
context: A little what?\It'll never become a habit.\It already has, and you've gotta stop!\Sorry.\I'll never do it again, so...\Ren...\Don't worry.\I'm not gonna steal Nana from you. response:	I didn't think so.
context: It'll never become a habit.\It already has, and you've gotta stop!\Sorry.\I'll never do it again, so...\Ren...\Don't worry.\I'm not gonna steal Nana from you.\I didn't think so. response:	You've always let me have whatever I want since long ago.
context: It already has, and you've gotta stop!\Sorry.\I'll never do it again, so...\Ren...\Don't worry.\I'm not gonna steal Nana from you.\I didn't think so.\You've always let me have whatever I want since long ago. response:	It pisses me off that you're looking down on me.
context: Sorry.\I'll never do it again, so...\Ren...\Don't worry.\I'm not gonna steal Nana from you.\I didn't think so.\You've always let me have whatever I want since long ago.\It pisses me off that you're looking down on me. response:	Whenever you're not with Nana, you become unstable like that!
context: I'll never do it again, so...\Ren...\Don't worry.\I'm not gonna steal Nana from you.\I didn't think so.\You've always let me have whatever I want since long ago.\It pisses me off that you're looking down on me.\Whenever you're not with Nana, you become unstable like that! response:	And it's the same with Nana!
context: Ren...\Don't worry.\I'm not gonna steal Nana from you.\I didn't think so.\You've always let me have whatever I want since long ago.\It pisses me off that you're looking down on me.\Whenever you're not with Nana, you become unstable like that!\And it's the same with Nana! response:	Nana, too?
context: Don't worry.\I'm not gonna steal Nana from you.\I didn't think so.\You've always let me have whatever I want since long ago.\It pisses me off that you're looking down on me.\Whenever you're not with Nana, you become unstable like that!\And it's the same with Nana!\Nana, too? response:	She's been hyperventilating.
context: I'm not gonna steal Nana from you.\I didn't think so.\You've always let me have whatever I want since long ago.\It pisses me off that you're looking down on me.\Whenever you're not with Nana, you become unstable like that!\And it's the same with Nana!\Nana, too?\She's been hyperventilating. response:	If this continues, who knows how she'll end up.
context: I didn't think so.\You've always let me have whatever I want since long ago.\It pisses me off that you're looking down on me.\Whenever you're not with Nana, you become unstable like that!\And it's the same with Nana!\Nana, too?\She's been hyperventilating.\If this continues, who knows how she'll end up. response:	I realized it through that incident with Takumi and Nana.
context: You've always let me have whatever I want since long ago.\It pisses me off that you're looking down on me.\Whenever you're not with Nana, you become unstable like that!\And it's the same with Nana!\Nana, too?\She's been hyperventilating.\If this continues, who knows how she'll end up.\I realized it through that incident with Takumi and Nana. response:	She's probably quite traumatized from being abandoned by her mom.
context: It pisses me off that you're looking down on me.\Whenever you're not with Nana, you become unstable like that!\And it's the same with Nana!\Nana, too?\She's been hyperventilating.\If this continues, who knows how she'll end up.\I realized it through that incident with Takumi and Nana.\She's probably quite traumatized from being abandoned by her mom. response:	You're not suited for this industry.
context: Whenever you're not with Nana, you become unstable like that!\And it's the same with Nana!\Nana, too?\She's been hyperventilating.\If this continues, who knows how she'll end up.\I realized it through that incident with Takumi and Nana.\She's probably quite traumatized from being abandoned by her mom.\You're not suited for this industry. response:	I really regret encouraging you to come to Tokyo.
context: And it's the same with Nana!\Nana, too?\She's been hyperventilating.\If this continues, who knows how she'll end up.\I realized it through that incident with Takumi and Nana.\She's probably quite traumatized from being abandoned by her mom.\You're not suited for this industry.\I really regret encouraging you to come to Tokyo. response:	Don't push yourself, Ren.
context: Nana, too?\She's been hyperventilating.\If this continues, who knows how she'll end up.\I realized it through that incident with Takumi and Nana.\She's probably quite traumatized from being abandoned by her mom.\You're not suited for this industry.\I really regret encouraging you to come to Tokyo.\Don't push yourself, Ren. response:	You're not like Takumi or me.
context: She's been hyperventilating.\If this continues, who knows how she'll end up.\I realized it through that incident with Takumi and Nana.\She's probably quite traumatized from being abandoned by her mom.\You're not suited for this industry.\I really regret encouraging you to come to Tokyo.\Don't push yourself, Ren.\You're not like Takumi or me. response:	Stop trying to reason it out and just do as you wish.
context: If this continues, who knows how she'll end up.\I realized it through that incident with Takumi and Nana.\She's probably quite traumatized from being abandoned by her mom.\You're not suited for this industry.\I really regret encouraging you to come to Tokyo.\Don't push yourself, Ren.\You're not like Takumi or me.\Stop trying to reason it out and just do as you wish. response:	If you keep forcing things, you're not gonna last long.
context: I realized it through that incident with Takumi and Nana.\She's probably quite traumatized from being abandoned by her mom.\You're not suited for this industry.\I really regret encouraging you to come to Tokyo.\Don't push yourself, Ren.\You're not like Takumi or me.\Stop trying to reason it out and just do as you wish.\If you keep forcing things, you're not gonna last long. response:	Shadow of Love is so great, no matter how many times I listen to it.
context: She's probably quite traumatized from being abandoned by her mom.\You're not suited for this industry.\I really regret encouraging you to come to Tokyo.\Don't push yourself, Ren.\You're not like Takumi or me.\Stop trying to reason it out and just do as you wish.\If you keep forcing things, you're not gonna last long.\Shadow of Love is so great, no matter how many times I listen to it. response:	Tonight's show will be a good promo,
context: You're not suited for this industry.\I really regret encouraging you to come to Tokyo.\Don't push yourself, Ren.\You're not like Takumi or me.\Stop trying to reason it out and just do as you wish.\If you keep forcing things, you're not gonna last long.\Shadow of Love is so great, no matter how many times I listen to it.\Tonight's show will be a good promo, response:	and I'm sure the initial stock of the CDs will sell out right away.
context: I really regret encouraging you to come to Tokyo.\Don't push yourself, Ren.\You're not like Takumi or me.\Stop trying to reason it out and just do as you wish.\If you keep forcing things, you're not gonna last long.\Shadow of Love is so great, no matter how many times I listen to it.\Tonight's show will be a good promo,\and I'm sure the initial stock of the CDs will sell out right away. response:	You think so?
context: Don't push yourself, Ren.\You're not like Takumi or me.\Stop trying to reason it out and just do as you wish.\If you keep forcing things, you're not gonna last long.\Shadow of Love is so great, no matter how many times I listen to it.\Tonight's show will be a good promo,\and I'm sure the initial stock of the CDs will sell out right away.\You think so? response:	I think the sales department is overestimating
context: You're not like Takumi or me.\Stop trying to reason it out and just do as you wish.\If you keep forcing things, you're not gonna last long.\Shadow of Love is so great, no matter how many times I listen to it.\Tonight's show will be a good promo,\and I'm sure the initial stock of the CDs will sell out right away.\You think so?\I think the sales department is overestimating response:	by putting out 800,000 singles at once.
context: Stop trying to reason it out and just do as you wish.\If you keep forcing things, you're not gonna last long.\Shadow of Love is so great, no matter how many times I listen to it.\Tonight's show will be a good promo,\and I'm sure the initial stock of the CDs will sell out right away.\You think so?\I think the sales department is overestimating\by putting out 800,000 singles at once. response:	Don't blame me if they're stuck with a bunch of left-over CDs.
context: If you keep forcing things, you're not gonna last long.\Shadow of Love is so great, no matter how many times I listen to it.\Tonight's show will be a good promo,\and I'm sure the initial stock of the CDs will sell out right away.\You think so?\I think the sales department is overestimating\by putting out 800,000 singles at once.\Don't blame me if they're stuck with a bunch of left-over CDs. response:	By the way, how many is BLAST putting out?
context: Shadow of Love is so great, no matter how many times I listen to it.\Tonight's show will be a good promo,\and I'm sure the initial stock of the CDs will sell out right away.\You think so?\I think the sales department is overestimating\by putting out 800,000 singles at once.\Don't blame me if they're stuck with a bunch of left-over CDs.\By the way, how many is BLAST putting out? response:	I'm not sure.
context: Tonight's show will be a good promo,\and I'm sure the initial stock of the CDs will sell out right away.\You think so?\I think the sales department is overestimating\by putting out 800,000 singles at once.\Don't blame me if they're stuck with a bunch of left-over CDs.\By the way, how many is BLAST putting out?\I'm not sure. response:	Given all the publicity they're getting, they might break a million.
context: and I'm sure the initial stock of the CDs will sell out right away.\You think so?\I think the sales department is overestimating\by putting out 800,000 singles at once.\Don't blame me if they're stuck with a bunch of left-over CDs.\By the way, how many is BLAST putting out?\I'm not sure.\Given all the publicity they're getting, they might break a million. response:	But I can't imagine Gaia putting out 800,000 copies of a single
context: You think so?\I think the sales department is overestimating\by putting out 800,000 singles at once.\Don't blame me if they're stuck with a bunch of left-over CDs.\By the way, how many is BLAST putting out?\I'm not sure.\Given all the publicity they're getting, they might break a million.\But I can't imagine Gaia putting out 800,000 copies of a single response:	for a new band with no track record.
context: I think the sales department is overestimating\by putting out 800,000 singles at once.\Don't blame me if they're stuck with a bunch of left-over CDs.\By the way, how many is BLAST putting out?\I'm not sure.\Given all the publicity they're getting, they might break a million.\But I can't imagine Gaia putting out 800,000 copies of a single\for a new band with no track record. response:	We'll hit number one on the charts for sure.
context: by putting out 800,000 singles at once.\Don't blame me if they're stuck with a bunch of left-over CDs.\By the way, how many is BLAST putting out?\I'm not sure.\Given all the publicity they're getting, they might break a million.\But I can't imagine Gaia putting out 800,000 copies of a single\for a new band with no track record.\We'll hit number one on the charts for sure. response:	You're right!
context: Don't blame me if they're stuck with a bunch of left-over CDs.\By the way, how many is BLAST putting out?\I'm not sure.\Given all the publicity they're getting, they might break a million.\But I can't imagine Gaia putting out 800,000 copies of a single\for a new band with no track record.\We'll hit number one on the charts for sure.\You're right! response:	You think so?
context: By the way, how many is BLAST putting out?\I'm not sure.\Given all the publicity they're getting, they might break a million.\But I can't imagine Gaia putting out 800,000 copies of a single\for a new band with no track record.\We'll hit number one on the charts for sure.\You're right!\You think so? response:	If I were Gaia, I'd make that gamble.
context: I'm not sure.\Given all the publicity they're getting, they might break a million.\But I can't imagine Gaia putting out 800,000 copies of a single\for a new band with no track record.\We'll hit number one on the charts for sure.\You're right!\You think so?\If I were Gaia, I'd make that gamble. response:	One million copies on the first release.
context: Given all the publicity they're getting, they might break a million.\But I can't imagine Gaia putting out 800,000 copies of a single\for a new band with no track record.\We'll hit number one on the charts for sure.\You're right!\You think so?\If I were Gaia, I'd make that gamble.\One million copies on the first release. response:	I know it's not my business, but it's kinda thrilling.
context: But I can't imagine Gaia putting out 800,000 copies of a single\for a new band with no track record.\We'll hit number one on the charts for sure.\You're right!\You think so?\If I were Gaia, I'd make that gamble.\One million copies on the first release.\I know it's not my business, but it's kinda thrilling. response:	THRILLING?
context: for a new band with no track record.\We'll hit number one on the charts for sure.\You're right!\You think so?\If I were Gaia, I'd make that gamble.\One million copies on the first release.\I know it's not my business, but it's kinda thrilling.\THRILLING? response:	But if it tanks, that would be a tremendous loss!
context: We'll hit number one on the charts for sure.\You're right!\You think so?\If I were Gaia, I'd make that gamble.\One million copies on the first release.\I know it's not my business, but it's kinda thrilling.\THRILLING?\But if it tanks, that would be a tremendous loss! response:	They've already spent hundreds of millions of yen
context: You're right!\You think so?\If I were Gaia, I'd make that gamble.\One million copies on the first release.\I know it's not my business, but it's kinda thrilling.\THRILLING?\But if it tanks, that would be a tremendous loss!\They've already spent hundreds of millions of yen response:	in promoting them.
context: You think so?\If I were Gaia, I'd make that gamble.\One million copies on the first release.\I know it's not my business, but it's kinda thrilling.\THRILLING?\But if it tanks, that would be a tremendous loss!\They've already spent hundreds of millions of yen\in promoting them. response:	That's exactly why. They've come this far.
context: If I were Gaia, I'd make that gamble.\One million copies on the first release.\I know it's not my business, but it's kinda thrilling.\THRILLING?\But if it tanks, that would be a tremendous loss!\They've already spent hundreds of millions of yen\in promoting them.\That's exactly why. They've come this far. response:	Now they have to recoup that investment.
context: One million copies on the first release.\I know it's not my business, but it's kinda thrilling.\THRILLING?\But if it tanks, that would be a tremendous loss!\They've already spent hundreds of millions of yen\in promoting them.\That's exactly why. They've come this far.\Now they have to recoup that investment. response:	If they release more singles than us
context: I know it's not my business, but it's kinda thrilling.\THRILLING?\But if it tanks, that would be a tremendous loss!\They've already spent hundreds of millions of yen\in promoting them.\That's exactly why. They've come this far.\Now they have to recoup that investment.\If they release more singles than us response:	and become number one with their first release,
context: THRILLING?\But if it tanks, that would be a tremendous loss!\They've already spent hundreds of millions of yen\in promoting them.\That's exactly why. They've come this far.\Now they have to recoup that investment.\If they release more singles than us\and become number one with their first release, response:	then the party continues.
context: But if it tanks, that would be a tremendous loss!\They've already spent hundreds of millions of yen\in promoting them.\That's exactly why. They've come this far.\Now they have to recoup that investment.\If they release more singles than us\and become number one with their first release,\then the party continues. response:	We're living in a time where popular things sell.
context: They've already spent hundreds of millions of yen\in promoting them.\That's exactly why. They've come this far.\Now they have to recoup that investment.\If they release more singles than us\and become number one with their first release,\then the party continues.\We're living in a time where popular things sell. response:	If there's a pile of CDs from a new band that's just topped the charts,
context: in promoting them.\That's exactly why. They've come this far.\Now they have to recoup that investment.\If they release more singles than us\and become number one with their first release,\then the party continues.\We're living in a time where popular things sell.\If there's a pile of CDs from a new band that's just topped the charts, response:	you're gonna buy it purely out of curiosity.
