context: Ladies and gentlemen, good evening. response:	On that stormy day that announced the end of spring,
context: I'm amazed that you've managed to stay healthy.\It is because of these.\Are they some sort of space rations?\In the course of wandering the sea of stars for so long,\Even so, I hope that you would at least eat something...\The thought of neither sleeping nor eating is too sad to bear.\Too sad to bear?\Very well, then. response:	In that case, perhaps I shall sample this.
context: It is because of these.\Are they some sort of space rations?\In the course of wandering the sea of stars for so long,\Even so, I hope that you would at least eat something...\The thought of neither sleeping nor eating is too sad to bear.\Too sad to bear?\Very well, then.\In that case, perhaps I shall sample this. response:	Please do.
context: Are they some sort of space rations?\In the course of wandering the sea of stars for so long,\Even so, I hope that you would at least eat something...\The thought of neither sleeping nor eating is too sad to bear.\Too sad to bear?\Very well, then.\In that case, perhaps I shall sample this.\Please do. response:	This taste brings back memories...
context: In the course of wandering the sea of stars for so long,\Even so, I hope that you would at least eat something...\The thought of neither sleeping nor eating is too sad to bear.\Too sad to bear?\Very well, then.\In that case, perhaps I shall sample this.\Please do.\This taste brings back memories... response:	Brings back memories?
context: Even so, I hope that you would at least eat something...\The thought of neither sleeping nor eating is too sad to bear.\Too sad to bear?\Very well, then.\In that case, perhaps I shall sample this.\Please do.\This taste brings back memories...\Brings back memories? response:	I once experienced delightful cooking such as this in the south of France.
context: The thought of neither sleeping nor eating is too sad to bear.\Too sad to bear?\Very well, then.\In that case, perhaps I shall sample this.\Please do.\This taste brings back memories...\Brings back memories?\I once experienced delightful cooking such as this in the south of France. response:	This is the dish that you've made for as long as I can remember, right, Mother?
context: Too sad to bear?\Very well, then.\In that case, perhaps I shall sample this.\Please do.\This taste brings back memories...\Brings back memories?\I once experienced delightful cooking such as this in the south of France.\This is the dish that you've made for as long as I can remember, right, Mother? response:	Yes.
context: Very well, then.\In that case, perhaps I shall sample this.\Please do.\This taste brings back memories...\Brings back memories?\I once experienced delightful cooking such as this in the south of France.\This is the dish that you've made for as long as I can remember, right, Mother?\Yes. response:	By any chance, you wouldn't happen to be from Marseilles, would you?
context: In that case, perhaps I shall sample this.\Please do.\This taste brings back memories...\Brings back memories?\I once experienced delightful cooking such as this in the south of France.\This is the dish that you've made for as long as I can remember, right, Mother?\Yes.\By any chance, you wouldn't happen to be from Marseilles, would you? response:	No.
context: Please do.\This taste brings back memories...\Brings back memories?\I once experienced delightful cooking such as this in the south of France.\This is the dish that you've made for as long as I can remember, right, Mother?\Yes.\By any chance, you wouldn't happen to be from Marseilles, would you?\No. response:	My wife has nothing to do with such a barbaric province.
context: This taste brings back memories...\Brings back memories?\I once experienced delightful cooking such as this in the south of France.\This is the dish that you've made for as long as I can remember, right, Mother?\Yes.\By any chance, you wouldn't happen to be from Marseilles, would you?\No.\My wife has nothing to do with such a barbaric province. response:	Isn't that right, Mercedes?
context: Brings back memories?\I once experienced delightful cooking such as this in the south of France.\This is the dish that you've made for as long as I can remember, right, Mother?\Yes.\By any chance, you wouldn't happen to be from Marseilles, would you?\No.\My wife has nothing to do with such a barbaric province.\Isn't that right, Mercedes? response:	Y-Yes...
context: I once experienced delightful cooking such as this in the south of France.\This is the dish that you've made for as long as I can remember, right, Mother?\Yes.\By any chance, you wouldn't happen to be from Marseilles, would you?\No.\My wife has nothing to do with such a barbaric province.\Isn't that right, Mercedes?\Y-Yes... response:	Oh, really?
context: This is the dish that you've made for as long as I can remember, right, Mother?\Yes.\By any chance, you wouldn't happen to be from Marseilles, would you?\No.\My wife has nothing to do with such a barbaric province.\Isn't that right, Mercedes?\Y-Yes...\Oh, really? response:	What's the matter?
context: Yes.\By any chance, you wouldn't happen to be from Marseilles, would you?\No.\My wife has nothing to do with such a barbaric province.\Isn't that right, Mercedes?\Y-Yes...\Oh, really?\What's the matter? response:	One of my friends is from there.
context: By any chance, you wouldn't happen to be from Marseilles, would you?\No.\My wife has nothing to do with such a barbaric province.\Isn't that right, Mercedes?\Y-Yes...\Oh, really?\What's the matter?\One of my friends is from there. response:	His name is Maximilien Morrel. He's a really nice person.
context: No.\My wife has nothing to do with such a barbaric province.\Isn't that right, Mercedes?\Y-Yes...\Oh, really?\What's the matter?\One of my friends is from there.\His name is Maximilien Morrel. He's a really nice person. response:	Morrel...
context: My wife has nothing to do with such a barbaric province.\Isn't that right, Mercedes?\Y-Yes...\Oh, really?\What's the matter?\One of my friends is from there.\His name is Maximilien Morrel. He's a really nice person.\Morrel... response:	Forgive me if I misspoke. Please, do not take offense.
context: Isn't that right, Mercedes?\Y-Yes...\Oh, really?\What's the matter?\One of my friends is from there.\His name is Maximilien Morrel. He's a really nice person.\Morrel...\Forgive me if I misspoke. Please, do not take offense. response:	That's all right.
context: Y-Yes...\Oh, really?\What's the matter?\One of my friends is from there.\His name is Maximilien Morrel. He's a really nice person.\Morrel...\Forgive me if I misspoke. Please, do not take offense.\That's all right. response:	Our family traces its roots back to a powerful Catalan family.
context: Oh, really?\What's the matter?\One of my friends is from there.\His name is Maximilien Morrel. He's a really nice person.\Morrel...\Forgive me if I misspoke. Please, do not take offense.\That's all right.\Our family traces its roots back to a powerful Catalan family. response:	This soup has been a specialty of my wife's ever since she was a young girl.
context: What's the matter?\One of my friends is from there.\His name is Maximilien Morrel. He's a really nice person.\Morrel...\Forgive me if I misspoke. Please, do not take offense.\That's all right.\Our family traces its roots back to a powerful Catalan family.\This soup has been a specialty of my wife's ever since she was a young girl. response:	Oh, I see. So, you and the Countess were childhood friends, then?
context: One of my friends is from there.\His name is Maximilien Morrel. He's a really nice person.\Morrel...\Forgive me if I misspoke. Please, do not take offense.\That's all right.\Our family traces its roots back to a powerful Catalan family.\This soup has been a specialty of my wife's ever since she was a young girl.\Oh, I see. So, you and the Countess were childhood friends, then? response:	Yes, that's right.
context: His name is Maximilien Morrel. He's a really nice person.\Morrel...\Forgive me if I misspoke. Please, do not take offense.\That's all right.\Our family traces its roots back to a powerful Catalan family.\This soup has been a specialty of my wife's ever since she was a young girl.\Oh, I see. So, you and the Countess were childhood friends, then?\Yes, that's right. response:	Which explains why you seem so close. I am jealous beyond words.
context: Morrel...\Forgive me if I misspoke. Please, do not take offense.\That's all right.\Our family traces its roots back to a powerful Catalan family.\This soup has been a specialty of my wife's ever since she was a young girl.\Oh, I see. So, you and the Countess were childhood friends, then?\Yes, that's right.\Which explains why you seem so close. I am jealous beyond words. response:	I had no idea that a man like you could be jealous of anyone, Count.
context: Forgive me if I misspoke. Please, do not take offense.\That's all right.\Our family traces its roots back to a powerful Catalan family.\This soup has been a specialty of my wife's ever since she was a young girl.\Oh, I see. So, you and the Countess were childhood friends, then?\Yes, that's right.\Which explains why you seem so close. I am jealous beyond words.\I had no idea that a man like you could be jealous of anyone, Count. response:	Yes, of course.
context: That's all right.\Our family traces its roots back to a powerful Catalan family.\This soup has been a specialty of my wife's ever since she was a young girl.\Oh, I see. So, you and the Countess were childhood friends, then?\Yes, that's right.\Which explains why you seem so close. I am jealous beyond words.\I had no idea that a man like you could be jealous of anyone, Count.\Yes, of course. response:	If that person is a man of your father's caliber.
context: Our family traces its roots back to a powerful Catalan family.\This soup has been a specialty of my wife's ever since she was a young girl.\Oh, I see. So, you and the Countess were childhood friends, then?\Yes, that's right.\Which explains why you seem so close. I am jealous beyond words.\I had no idea that a man like you could be jealous of anyone, Count.\Yes, of course.\If that person is a man of your father's caliber. response:	Get the Count something to drink. His glass is empty.
context: This soup has been a specialty of my wife's ever since she was a young girl.\Oh, I see. So, you and the Countess were childhood friends, then?\Yes, that's right.\Which explains why you seem so close. I am jealous beyond words.\I had no idea that a man like you could be jealous of anyone, Count.\Yes, of course.\If that person is a man of your father's caliber.\Get the Count something to drink. His glass is empty. response:	Please stay for as long as time permits.
context: Oh, I see. So, you and the Countess were childhood friends, then?\Yes, that's right.\Which explains why you seem so close. I am jealous beyond words.\I had no idea that a man like you could be jealous of anyone, Count.\Yes, of course.\If that person is a man of your father's caliber.\Get the Count something to drink. His glass is empty.\Please stay for as long as time permits. response:	Sitting around the table like this, it almost feels as if you are a member of the family.
context: Yes, that's right.\Which explains why you seem so close. I am jealous beyond words.\I had no idea that a man like you could be jealous of anyone, Count.\Yes, of course.\If that person is a man of your father's caliber.\Get the Count something to drink. His glass is empty.\Please stay for as long as time permits.\Sitting around the table like this, it almost feels as if you are a member of the family. response:	What a maddening scent this is...
context: Which explains why you seem so close. I am jealous beyond words.\I had no idea that a man like you could be jealous of anyone, Count.\Yes, of course.\If that person is a man of your father's caliber.\Get the Count something to drink. His glass is empty.\Please stay for as long as time permits.\Sitting around the table like this, it almost feels as if you are a member of the family.\What a maddening scent this is... response:	Count?
context: I had no idea that a man like you could be jealous of anyone, Count.\Yes, of course.\If that person is a man of your father's caliber.\Get the Count something to drink. His glass is empty.\Please stay for as long as time permits.\Sitting around the table like this, it almost feels as if you are a member of the family.\What a maddening scent this is...\Count? response:	It is from the muscat grapes.
context: Yes, of course.\If that person is a man of your father's caliber.\Get the Count something to drink. His glass is empty.\Please stay for as long as time permits.\Sitting around the table like this, it almost feels as if you are a member of the family.\What a maddening scent this is...\Count?\It is from the muscat grapes. response:	Are you fatigued?
context: If that person is a man of your father's caliber.\Get the Count something to drink. His glass is empty.\Please stay for as long as time permits.\Sitting around the table like this, it almost feels as if you are a member of the family.\What a maddening scent this is...\Count?\It is from the muscat grapes.\Are you fatigued? response:	No, please forgive me for forcing you to eat earlier.
context: Get the Count something to drink. His glass is empty.\Please stay for as long as time permits.\Sitting around the table like this, it almost feels as if you are a member of the family.\What a maddening scent this is...\Count?\It is from the muscat grapes.\Are you fatigued?\No, please forgive me for forcing you to eat earlier. response:	Not at all. I had always hoped to experience that delicious flavor again.
context: Please stay for as long as time permits.\Sitting around the table like this, it almost feels as if you are a member of the family.\What a maddening scent this is...\Count?\It is from the muscat grapes.\Are you fatigued?\No, please forgive me for forcing you to eat earlier.\Not at all. I had always hoped to experience that delicious flavor again. response:	It was a sublime experience.
context: Sitting around the table like this, it almost feels as if you are a member of the family.\What a maddening scent this is...\Count?\It is from the muscat grapes.\Are you fatigued?\No, please forgive me for forcing you to eat earlier.\Not at all. I had always hoped to experience that delicious flavor again.\It was a sublime experience. response:	It was a simple rustic dish.
context: What a maddening scent this is...\Count?\It is from the muscat grapes.\Are you fatigued?\No, please forgive me for forcing you to eat earlier.\Not at all. I had always hoped to experience that delicious flavor again.\It was a sublime experience.\It was a simple rustic dish. response:	But it makes me happy to hear you say so.
context: Count?\It is from the muscat grapes.\Are you fatigued?\No, please forgive me for forcing you to eat earlier.\Not at all. I had always hoped to experience that delicious flavor again.\It was a sublime experience.\It was a simple rustic dish.\But it makes me happy to hear you say so. response:	Have you heard of this? There is a saying that goes,
context: It is from the muscat grapes.\Are you fatigued?\No, please forgive me for forcing you to eat earlier.\Not at all. I had always hoped to experience that delicious flavor again.\It was a sublime experience.\It was a simple rustic dish.\But it makes me happy to hear you say so.\Have you heard of this? There is a saying that goes, response:	Those who share bread and salt under the same roof become eternal friends.
context: Are you fatigued?\No, please forgive me for forcing you to eat earlier.\Not at all. I had always hoped to experience that delicious flavor again.\It was a sublime experience.\It was a simple rustic dish.\But it makes me happy to hear you say so.\Have you heard of this? There is a saying that goes,\Those who share bread and salt under the same roof become eternal friends. response:	That is a tradition handed down in Eastern Space, is it not?
context: No, please forgive me for forcing you to eat earlier.\Not at all. I had always hoped to experience that delicious flavor again.\It was a sublime experience.\It was a simple rustic dish.\But it makes me happy to hear you say so.\Have you heard of this? There is a saying that goes,\Those who share bread and salt under the same roof become eternal friends.\That is a tradition handed down in Eastern Space, is it not? response:	Yes.
context: Not at all. I had always hoped to experience that delicious flavor again.\It was a sublime experience.\It was a simple rustic dish.\But it makes me happy to hear you say so.\Have you heard of this? There is a saying that goes,\Those who share bread and salt under the same roof become eternal friends.\That is a tradition handed down in Eastern Space, is it not?\Yes. response:	Which means that we are now friends. For all eternity.
context: It was a sublime experience.\It was a simple rustic dish.\But it makes me happy to hear you say so.\Have you heard of this? There is a saying that goes,\Those who share bread and salt under the same roof become eternal friends.\That is a tradition handed down in Eastern Space, is it not?\Yes.\Which means that we are now friends. For all eternity. response:	However, this is not Eastern Space. It is Paris.
context: It was a simple rustic dish.\But it makes me happy to hear you say so.\Have you heard of this? There is a saying that goes,\Those who share bread and salt under the same roof become eternal friends.\That is a tradition handed down in Eastern Space, is it not?\Yes.\Which means that we are now friends. For all eternity.\However, this is not Eastern Space. It is Paris. response:	In Paris, everlasting friendship is impossible without the act of sharing bread and salt.
context: But it makes me happy to hear you say so.\Have you heard of this? There is a saying that goes,\Those who share bread and salt under the same roof become eternal friends.\That is a tradition handed down in Eastern Space, is it not?\Yes.\Which means that we are now friends. For all eternity.\However, this is not Eastern Space. It is Paris.\In Paris, everlasting friendship is impossible without the act of sharing bread and salt. response:	Your soup truly was delicious.
context: Have you heard of this? There is a saying that goes,\Those who share bread and salt under the same roof become eternal friends.\That is a tradition handed down in Eastern Space, is it not?\Yes.\Which means that we are now friends. For all eternity.\However, this is not Eastern Space. It is Paris.\In Paris, everlasting friendship is impossible without the act of sharing bread and salt.\Your soup truly was delicious. response:	Warm, and yet evocative of past memories.
context: Those who share bread and salt under the same roof become eternal friends.\That is a tradition handed down in Eastern Space, is it not?\Yes.\Which means that we are now friends. For all eternity.\However, this is not Eastern Space. It is Paris.\In Paris, everlasting friendship is impossible without the act of sharing bread and salt.\Your soup truly was delicious.\Warm, and yet evocative of past memories. response:	It is something which gives comfort.
context: That is a tradition handed down in Eastern Space, is it not?\Yes.\Which means that we are now friends. For all eternity.\However, this is not Eastern Space. It is Paris.\In Paris, everlasting friendship is impossible without the act of sharing bread and salt.\Your soup truly was delicious.\Warm, and yet evocative of past memories.\It is something which gives comfort. response:	Like a breeze blowing across the Mediterranean Sea.
context: Yes.\Which means that we are now friends. For all eternity.\However, this is not Eastern Space. It is Paris.\In Paris, everlasting friendship is impossible without the act of sharing bread and salt.\Your soup truly was delicious.\Warm, and yet evocative of past memories.\It is something which gives comfort.\Like a breeze blowing across the Mediterranean Sea. response:	Count, are you very familiar with Marseilles?
context: Which means that we are now friends. For all eternity.\However, this is not Eastern Space. It is Paris.\In Paris, everlasting friendship is impossible without the act of sharing bread and salt.\Your soup truly was delicious.\Warm, and yet evocative of past memories.\It is something which gives comfort.\Like a breeze blowing across the Mediterranean Sea.\Count, are you very familiar with Marseilles? response:	I could say that I am aware of it.
context: However, this is not Eastern Space. It is Paris.\In Paris, everlasting friendship is impossible without the act of sharing bread and salt.\Your soup truly was delicious.\Warm, and yet evocative of past memories.\It is something which gives comfort.\Like a breeze blowing across the Mediterranean Sea.\Count, are you very familiar with Marseilles?\I could say that I am aware of it. response:	But perhaps I never truly knew it at all.
context: In Paris, everlasting friendship is impossible without the act of sharing bread and salt.\Your soup truly was delicious.\Warm, and yet evocative of past memories.\It is something which gives comfort.\Like a breeze blowing across the Mediterranean Sea.\Count, are you very familiar with Marseilles?\I could say that I am aware of it.\But perhaps I never truly knew it at all. response:	Infidelity. Adultery. Dalliances in the dead of night.
context: Your soup truly was delicious.\Warm, and yet evocative of past memories.\It is something which gives comfort.\Like a breeze blowing across the Mediterranean Sea.\Count, are you very familiar with Marseilles?\I could say that I am aware of it.\But perhaps I never truly knew it at all.\Infidelity. Adultery. Dalliances in the dead of night. response:	You aristocrats are as energetic as the rumors say.
context: Warm, and yet evocative of past memories.\It is something which gives comfort.\Like a breeze blowing across the Mediterranean Sea.\Count, are you very familiar with Marseilles?\I could say that I am aware of it.\But perhaps I never truly knew it at all.\Infidelity. Adultery. Dalliances in the dead of night.\You aristocrats are as energetic as the rumors say. response:	Spare me your crude comments!
context: It is something which gives comfort.\Like a breeze blowing across the Mediterranean Sea.\Count, are you very familiar with Marseilles?\I could say that I am aware of it.\But perhaps I never truly knew it at all.\Infidelity. Adultery. Dalliances in the dead of night.\You aristocrats are as energetic as the rumors say.\Spare me your crude comments! response:	The Count is a friend of mine.
context: Like a breeze blowing across the Mediterranean Sea.\Count, are you very familiar with Marseilles?\I could say that I am aware of it.\But perhaps I never truly knew it at all.\Infidelity. Adultery. Dalliances in the dead of night.\You aristocrats are as energetic as the rumors say.\Spare me your crude comments!\The Count is a friend of mine. response:	Honestly, you're such a child.
context: Count, are you very familiar with Marseilles?\I could say that I am aware of it.\But perhaps I never truly knew it at all.\Infidelity. Adultery. Dalliances in the dead of night.\You aristocrats are as energetic as the rumors say.\Spare me your crude comments!\The Count is a friend of mine.\Honestly, you're such a child. response:	If people could become friends simply by sharing bread and salt,
context: I could say that I am aware of it.\But perhaps I never truly knew it at all.\Infidelity. Adultery. Dalliances in the dead of night.\You aristocrats are as energetic as the rumors say.\Spare me your crude comments!\The Count is a friend of mine.\Honestly, you're such a child.\If people could become friends simply by sharing bread and salt, response:	What are you talking about?
context: But perhaps I never truly knew it at all.\Infidelity. Adultery. Dalliances in the dead of night.\You aristocrats are as energetic as the rumors say.\Spare me your crude comments!\The Count is a friend of mine.\Honestly, you're such a child.\If people could become friends simply by sharing bread and salt,\What are you talking about? response:	You'll understand sooner or later, little boy.
context: Infidelity. Adultery. Dalliances in the dead of night.\You aristocrats are as energetic as the rumors say.\Spare me your crude comments!\The Count is a friend of mine.\Honestly, you're such a child.\If people could become friends simply by sharing bread and salt,\What are you talking about?\You'll understand sooner or later, little boy. response:	I am most grateful to you for allowing me to experience a day such as today.
context: You aristocrats are as energetic as the rumors say.\Spare me your crude comments!\The Count is a friend of mine.\Honestly, you're such a child.\If people could become friends simply by sharing bread and salt,\What are you talking about?\You'll understand sooner or later, little boy.\I am most grateful to you for allowing me to experience a day such as today. response:	Not at all. I'm proud that I had the opportunity to introduce you to my parents.
context: Spare me your crude comments!\The Count is a friend of mine.\Honestly, you're such a child.\If people could become friends simply by sharing bread and salt,\What are you talking about?\You'll understand sooner or later, little boy.\I am most grateful to you for allowing me to experience a day such as today.\Not at all. I'm proud that I had the opportunity to introduce you to my parents. response:	To introduce a man I admire.
context: The Count is a friend of mine.\Honestly, you're such a child.\If people could become friends simply by sharing bread and salt,\What are you talking about?\You'll understand sooner or later, little boy.\I am most grateful to you for allowing me to experience a day such as today.\Not at all. I'm proud that I had the opportunity to introduce you to my parents.\To introduce a man I admire. response:	What say you?
context: Honestly, you're such a child.\If people could become friends simply by sharing bread and salt,\What are you talking about?\You'll understand sooner or later, little boy.\I am most grateful to you for allowing me to experience a day such as today.\Not at all. I'm proud that I had the opportunity to introduce you to my parents.\To introduce a man I admire.\What say you? response:	I would like to invite you to my residence on the Champs-Elysees in the near future.
context: If people could become friends simply by sharing bread and salt,\What are you talking about?\You'll understand sooner or later, little boy.\I am most grateful to you for allowing me to experience a day such as today.\Not at all. I'm proud that I had the opportunity to introduce you to my parents.\To introduce a man I admire.\What say you?\I would like to invite you to my residence on the Champs-Elysees in the near future. response:	I'd love to come!
context: What are you talking about?\You'll understand sooner or later, little boy.\I am most grateful to you for allowing me to experience a day such as today.\Not at all. I'm proud that I had the opportunity to introduce you to my parents.\To introduce a man I admire.\What say you?\I would like to invite you to my residence on the Champs-Elysees in the near future.\I'd love to come! response:	The Count of Monte Cristo was a mysterious man, don't you think?
context: You'll understand sooner or later, little boy.\I am most grateful to you for allowing me to experience a day such as today.\Not at all. I'm proud that I had the opportunity to introduce you to my parents.\To introduce a man I admire.\What say you?\I would like to invite you to my residence on the Champs-Elysees in the near future.\I'd love to come!\The Count of Monte Cristo was a mysterious man, don't you think? response:	Yes. There was a sternness somewhere in him that keeps people at arm's length.
