context: I haven't seen you here in a while. response:	That will be normal until the plan to
context: We'll lend a hand, so let's hurry and fix it up.\Our AHSMB just needed some basic maintenance.\Thank you!\With such a strong forward,\we don't have to worry about our support unit!\True enough!\It'd be pretty bad if the support unit got banged up.\Oh, you're here? response:	This is my team. Of course I'm here!
context: Our AHSMB just needed some basic maintenance.\Thank you!\With such a strong forward,\we don't have to worry about our support unit!\True enough!\It'd be pretty bad if the support unit got banged up.\Oh, you're here?\This is my team. Of course I'm here! response:	And we've even got them lending a hand.
context: Thank you!\With such a strong forward,\we don't have to worry about our support unit!\True enough!\It'd be pretty bad if the support unit got banged up.\Oh, you're here?\This is my team. Of course I'm here!\And we've even got them lending a hand. response:	Honestly, as long as the pilot is okay, we can fix up the unit...
context: With such a strong forward,\we don't have to worry about our support unit!\True enough!\It'd be pretty bad if the support unit got banged up.\Oh, you're here?\This is my team. Of course I'm here!\And we've even got them lending a hand.\Honestly, as long as the pilot is okay, we can fix up the unit... response:	Huh?
context: we don't have to worry about our support unit!\True enough!\It'd be pretty bad if the support unit got banged up.\Oh, you're here?\This is my team. Of course I'm here!\And we've even got them lending a hand.\Honestly, as long as the pilot is okay, we can fix up the unit...\Huh? response:	Here!
context: True enough!\It'd be pretty bad if the support unit got banged up.\Oh, you're here?\This is my team. Of course I'm here!\And we've even got them lending a hand.\Honestly, as long as the pilot is okay, we can fix up the unit...\Huh?\Here! response:	Thanks...
context: It'd be pretty bad if the support unit got banged up.\Oh, you're here?\This is my team. Of course I'm here!\And we've even got them lending a hand.\Honestly, as long as the pilot is okay, we can fix up the unit...\Huh?\Here!\Thanks... response:	Don't mention it!
context: Oh, you're here?\This is my team. Of course I'm here!\And we've even got them lending a hand.\Honestly, as long as the pilot is okay, we can fix up the unit...\Huh?\Here!\Thanks...\Don't mention it! response:	Let's hurry and repair this puppy
context: This is my team. Of course I'm here!\And we've even got them lending a hand.\Honestly, as long as the pilot is okay, we can fix up the unit...\Huh?\Here!\Thanks...\Don't mention it!\Let's hurry and repair this puppy response:	so Izuru can get out there and kick more butt!
context: And we've even got them lending a hand.\Honestly, as long as the pilot is okay, we can fix up the unit...\Huh?\Here!\Thanks...\Don't mention it!\Let's hurry and repair this puppy\so Izuru can get out there and kick more butt! response:	Right!
context: Honestly, as long as the pilot is okay, we can fix up the unit...\Huh?\Here!\Thanks...\Don't mention it!\Let's hurry and repair this puppy\so Izuru can get out there and kick more butt!\Right! response:	We'll lose respect as mechanics
context: Huh?\Here!\Thanks...\Don't mention it!\Let's hurry and repair this puppy\so Izuru can get out there and kick more butt!\Right!\We'll lose respect as mechanics response:	if Izuru's unit can't keep up with him!
context: Here!\Thanks...\Don't mention it!\Let's hurry and repair this puppy\so Izuru can get out there and kick more butt!\Right!\We'll lose respect as mechanics\if Izuru's unit can't keep up with him! response:	We've gotta work harder!
context: Thanks...\Don't mention it!\Let's hurry and repair this puppy\so Izuru can get out there and kick more butt!\Right!\We'll lose respect as mechanics\if Izuru's unit can't keep up with him!\We've gotta work harder! response:	It is with help from
context: Don't mention it!\Let's hurry and repair this puppy\so Izuru can get out there and kick more butt!\Right!\We'll lose respect as mechanics\if Izuru's unit can't keep up with him!\We've gotta work harder!\It is with help from response:	behind the scenes that allows
context: Let's hurry and repair this puppy\so Izuru can get out there and kick more butt!\Right!\We'll lose respect as mechanics\if Izuru's unit can't keep up with him!\We've gotta work harder!\It is with help from\behind the scenes that allows response:	the ace to enter combat.
context: so Izuru can get out there and kick more butt!\Right!\We'll lose respect as mechanics\if Izuru's unit can't keep up with him!\We've gotta work harder!\It is with help from\behind the scenes that allows\the ace to enter combat. response:	By Degawa
context: Right!\We'll lose respect as mechanics\if Izuru's unit can't keep up with him!\We've gotta work harder!\It is with help from\behind the scenes that allows\the ace to enter combat.\By Degawa response:	Too many syllables.
context: We'll lose respect as mechanics\if Izuru's unit can't keep up with him!\We've gotta work harder!\It is with help from\behind the scenes that allows\the ace to enter combat.\By Degawa\Too many syllables. response:	I can't believe I needed saving...
context: if Izuru's unit can't keep up with him!\We've gotta work harder!\It is with help from\behind the scenes that allows\the ace to enter combat.\By Degawa\Too many syllables.\I can't believe I needed saving... response:	What was that back there?
context: We've gotta work harder!\It is with help from\behind the scenes that allows\the ace to enter combat.\By Degawa\Too many syllables.\I can't believe I needed saving...\What was that back there? response:	Dang!
context: It is with help from\behind the scenes that allows\the ace to enter combat.\By Degawa\Too many syllables.\I can't believe I needed saving...\What was that back there?\Dang! response:	Didn't Izuru's moves totally surpass his unit's specs?
context: behind the scenes that allows\the ace to enter combat.\By Degawa\Too many syllables.\I can't believe I needed saving...\What was that back there?\Dang!\Didn't Izuru's moves totally surpass his unit's specs? response:	His reaction speed went 0.73 over the limit!
context: the ace to enter combat.\By Degawa\Too many syllables.\I can't believe I needed saving...\What was that back there?\Dang!\Didn't Izuru's moves totally surpass his unit's specs?\His reaction speed went 0.73 over the limit! response:	It's like he moved before he could think.
context: By Degawa\Too many syllables.\I can't believe I needed saving...\What was that back there?\Dang!\Didn't Izuru's moves totally surpass his unit's specs?\His reaction speed went 0.73 over the limit!\It's like he moved before he could think. response:	What a terrifying thought...
context: Too many syllables.\I can't believe I needed saving...\What was that back there?\Dang!\Didn't Izuru's moves totally surpass his unit's specs?\His reaction speed went 0.73 over the limit!\It's like he moved before he could think.\What a terrifying thought... response:	Isn't that incredible?
context: I can't believe I needed saving...\What was that back there?\Dang!\Didn't Izuru's moves totally surpass his unit's specs?\His reaction speed went 0.73 over the limit!\It's like he moved before he could think.\What a terrifying thought...\Isn't that incredible? response:	I wonder what my unit'd look like?
context: What was that back there?\Dang!\Didn't Izuru's moves totally surpass his unit's specs?\His reaction speed went 0.73 over the limit!\It's like he moved before he could think.\What a terrifying thought...\Isn't that incredible?\I wonder what my unit'd look like? response:	If I pulled that off, would the girls be all over me?
context: Dang!\Didn't Izuru's moves totally surpass his unit's specs?\His reaction speed went 0.73 over the limit!\It's like he moved before he could think.\What a terrifying thought...\Isn't that incredible?\I wonder what my unit'd look like?\If I pulled that off, would the girls be all over me? response:	Izuru!
context: Didn't Izuru's moves totally surpass his unit's specs?\His reaction speed went 0.73 over the limit!\It's like he moved before he could think.\What a terrifying thought...\Isn't that incredible?\I wonder what my unit'd look like?\If I pulled that off, would the girls be all over me?\Izuru! response:	Kei...
context: His reaction speed went 0.73 over the limit!\It's like he moved before he could think.\What a terrifying thought...\Isn't that incredible?\I wonder what my unit'd look like?\If I pulled that off, would the girls be all over me?\Izuru!\Kei... response:	Kei's been worried sick this whole time!
context: It's like he moved before he could think.\What a terrifying thought...\Isn't that incredible?\I wonder what my unit'd look like?\If I pulled that off, would the girls be all over me?\Izuru!\Kei...\Kei's been worried sick this whole time! response:	Really? Sorry to have made you worry.
context: What a terrifying thought...\Isn't that incredible?\I wonder what my unit'd look like?\If I pulled that off, would the girls be all over me?\Izuru!\Kei...\Kei's been worried sick this whole time!\Really? Sorry to have made you worry. response:	For you to be so concerned,
context: Isn't that incredible?\I wonder what my unit'd look like?\If I pulled that off, would the girls be all over me?\Izuru!\Kei...\Kei's been worried sick this whole time!\Really? Sorry to have made you worry.\For you to be so concerned, response:	does that mean you have the hots for me?
context: I wonder what my unit'd look like?\If I pulled that off, would the girls be all over me?\Izuru!\Kei...\Kei's been worried sick this whole time!\Really? Sorry to have made you worry.\For you to be so concerned,\does that mean you have the hots for me? response:	He's like a beast... Too cool!
context: If I pulled that off, would the girls be all over me?\Izuru!\Kei...\Kei's been worried sick this whole time!\Really? Sorry to have made you worry.\For you to be so concerned,\does that mean you have the hots for me?\He's like a beast... Too cool! response:	Who, me?
context: Izuru!\Kei...\Kei's been worried sick this whole time!\Really? Sorry to have made you worry.\For you to be so concerned,\does that mean you have the hots for me?\He's like a beast... Too cool!\Who, me? response:	That's not true.
context: Kei...\Kei's been worried sick this whole time!\Really? Sorry to have made you worry.\For you to be so concerned,\does that mean you have the hots for me?\He's like a beast... Too cool!\Who, me?\That's not true. response:	What the heck?!
context: Kei's been worried sick this whole time!\Really? Sorry to have made you worry.\For you to be so concerned,\does that mean you have the hots for me?\He's like a beast... Too cool!\Who, me?\That's not true.\What the heck?! response:	I'm concerned about two things.
context: Really? Sorry to have made you worry.\For you to be so concerned,\does that mean you have the hots for me?\He's like a beast... Too cool!\Who, me?\That's not true.\What the heck?!\I'm concerned about two things. response:	They aren't fatal, are they?
context: For you to be so concerned,\does that mean you have the hots for me?\He's like a beast... Too cool!\Who, me?\That's not true.\What the heck?!\I'm concerned about two things.\They aren't fatal, are they? response:	His Harmonic Level is still elevated and he is
context: does that mean you have the hots for me?\He's like a beast... Too cool!\Who, me?\That's not true.\What the heck?!\I'm concerned about two things.\They aren't fatal, are they?\His Harmonic Level is still elevated and he is response:	suffering from horrible fatigue.
context: He's like a beast... Too cool!\Who, me?\That's not true.\What the heck?!\I'm concerned about two things.\They aren't fatal, are they?\His Harmonic Level is still elevated and he is\suffering from horrible fatigue. response:	His Harmonic Level...?
context: Who, me?\That's not true.\What the heck?!\I'm concerned about two things.\They aren't fatal, are they?\His Harmonic Level is still elevated and he is\suffering from horrible fatigue.\His Harmonic Level...? response:	Right. It looks like that's causing his fatigue.
context: That's not true.\What the heck?!\I'm concerned about two things.\They aren't fatal, are they?\His Harmonic Level is still elevated and he is\suffering from horrible fatigue.\His Harmonic Level...?\Right. It looks like that's causing his fatigue. response:	When an AHSMB unit awakens, in the worst case scenario,
context: What the heck?!\I'm concerned about two things.\They aren't fatal, are they?\His Harmonic Level is still elevated and he is\suffering from horrible fatigue.\His Harmonic Level...?\Right. It looks like that's causing his fatigue.\When an AHSMB unit awakens, in the worst case scenario, response:	it could potentially eradicate the pilot's personality.
context: I'm concerned about two things.\They aren't fatal, are they?\His Harmonic Level is still elevated and he is\suffering from horrible fatigue.\His Harmonic Level...?\Right. It looks like that's causing his fatigue.\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality. response:	Could you give him a thorough examination?
context: They aren't fatal, are they?\His Harmonic Level is still elevated and he is\suffering from horrible fatigue.\His Harmonic Level...?\Right. It looks like that's causing his fatigue.\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\Could you give him a thorough examination? response:	Is that an order?
context: His Harmonic Level is still elevated and he is\suffering from horrible fatigue.\His Harmonic Level...?\Right. It looks like that's causing his fatigue.\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\Could you give him a thorough examination?\Is that an order? response:	It is!
context: suffering from horrible fatigue.\His Harmonic Level...?\Right. It looks like that's causing his fatigue.\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\Could you give him a thorough examination?\Is that an order?\It is! response:	All right.
context: His Harmonic Level...?\Right. It looks like that's causing his fatigue.\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\Could you give him a thorough examination?\Is that an order?\It is!\All right. response:	By the way, have you heard about Amane?
context: Right. It looks like that's causing his fatigue.\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\Could you give him a thorough examination?\Is that an order?\It is!\All right.\By the way, have you heard about Amane? response:	How she got promoted for her accomplishments in the Battle of Ceres?
context: When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\Could you give him a thorough examination?\Is that an order?\It is!\All right.\By the way, have you heard about Amane?\How she got promoted for her accomplishments in the Battle of Ceres? response:	Reika said we're going to celebrate.
context: it could potentially eradicate the pilot's personality.\Could you give him a thorough examination?\Is that an order?\It is!\All right.\By the way, have you heard about Amane?\How she got promoted for her accomplishments in the Battle of Ceres?\Reika said we're going to celebrate. response:	Is that a must?
context: Could you give him a thorough examination?\Is that an order?\It is!\All right.\By the way, have you heard about Amane?\How she got promoted for her accomplishments in the Battle of Ceres?\Reika said we're going to celebrate.\Is that a must? response:	Consider the situation!
context: Is that an order?\It is!\All right.\By the way, have you heard about Amane?\How she got promoted for her accomplishments in the Battle of Ceres?\Reika said we're going to celebrate.\Is that a must?\Consider the situation! response:	We'd go nuts if we didn't drink.
context: It is!\All right.\By the way, have you heard about Amane?\How she got promoted for her accomplishments in the Battle of Ceres?\Reika said we're going to celebrate.\Is that a must?\Consider the situation!\We'd go nuts if we didn't drink. response:	Vesta Base.
context: All right.\By the way, have you heard about Amane?\How she got promoted for her accomplishments in the Battle of Ceres?\Reika said we're going to celebrate.\Is that a must?\Consider the situation!\We'd go nuts if we didn't drink.\Vesta Base. response:	With the frontlines constantly pullin' back,
context: By the way, have you heard about Amane?\How she got promoted for her accomplishments in the Battle of Ceres?\Reika said we're going to celebrate.\Is that a must?\Consider the situation!\We'd go nuts if we didn't drink.\Vesta Base.\With the frontlines constantly pullin' back, response:	this has become the battlefield.
context: How she got promoted for her accomplishments in the Battle of Ceres?\Reika said we're going to celebrate.\Is that a must?\Consider the situation!\We'd go nuts if we didn't drink.\Vesta Base.\With the frontlines constantly pullin' back,\this has become the battlefield. response:	But it was supposed to be our rear mining base.
context: Reika said we're going to celebrate.\Is that a must?\Consider the situation!\We'd go nuts if we didn't drink.\Vesta Base.\With the frontlines constantly pullin' back,\this has become the battlefield.\But it was supposed to be our rear mining base. response:	Hey! At least the bunnies have made our job a bit easier.
context: Is that a must?\Consider the situation!\We'd go nuts if we didn't drink.\Vesta Base.\With the frontlines constantly pullin' back,\this has become the battlefield.\But it was supposed to be our rear mining base.\Hey! At least the bunnies have made our job a bit easier. response:	And we'll work kinda hard.
context: Consider the situation!\We'd go nuts if we didn't drink.\Vesta Base.\With the frontlines constantly pullin' back,\this has become the battlefield.\But it was supposed to be our rear mining base.\Hey! At least the bunnies have made our job a bit easier.\And we'll work kinda hard. response:	I'm counting on you!
context: We'd go nuts if we didn't drink.\Vesta Base.\With the frontlines constantly pullin' back,\this has become the battlefield.\But it was supposed to be our rear mining base.\Hey! At least the bunnies have made our job a bit easier.\And we'll work kinda hard.\I'm counting on you! response:	Lt. Commander Amane, reporting for duty!
context: Vesta Base.\With the frontlines constantly pullin' back,\this has become the battlefield.\But it was supposed to be our rear mining base.\Hey! At least the bunnies have made our job a bit easier.\And we'll work kinda hard.\I'm counting on you!\Lt. Commander Amane, reporting for duty! response:	Congratulations on your promotion to Commander.
context: With the frontlines constantly pullin' back,\this has become the battlefield.\But it was supposed to be our rear mining base.\Hey! At least the bunnies have made our job a bit easier.\And we'll work kinda hard.\I'm counting on you!\Lt. Commander Amane, reporting for duty!\Congratulations on your promotion to Commander. response:	But I just became a Lieutenant Commander...
context: this has become the battlefield.\But it was supposed to be our rear mining base.\Hey! At least the bunnies have made our job a bit easier.\And we'll work kinda hard.\I'm counting on you!\Lt. Commander Amane, reporting for duty!\Congratulations on your promotion to Commander.\But I just became a Lieutenant Commander... response:	Additional orders just came in.
context: But it was supposed to be our rear mining base.\Hey! At least the bunnies have made our job a bit easier.\And we'll work kinda hard.\I'm counting on you!\Lt. Commander Amane, reporting for duty!\Congratulations on your promotion to Commander.\But I just became a Lieutenant Commander...\Additional orders just came in. response:	As of now, you're a Commander.
context: Hey! At least the bunnies have made our job a bit easier.\And we'll work kinda hard.\I'm counting on you!\Lt. Commander Amane, reporting for duty!\Congratulations on your promotion to Commander.\But I just became a Lieutenant Commander...\Additional orders just came in.\As of now, you're a Commander. response:	Why did I get promoted so quickly?
context: And we'll work kinda hard.\I'm counting on you!\Lt. Commander Amane, reporting for duty!\Congratulations on your promotion to Commander.\But I just became a Lieutenant Commander...\Additional orders just came in.\As of now, you're a Commander.\Why did I get promoted so quickly? response:	It shows how short we are on competent officers.
context: I'm counting on you!\Lt. Commander Amane, reporting for duty!\Congratulations on your promotion to Commander.\But I just became a Lieutenant Commander...\Additional orders just came in.\As of now, you're a Commander.\Why did I get promoted so quickly?\It shows how short we are on competent officers. response:	I know you have just arrived, but please prepare to depart.
context: Lt. Commander Amane, reporting for duty!\Congratulations on your promotion to Commander.\But I just became a Lieutenant Commander...\Additional orders just came in.\As of now, you're a Commander.\Why did I get promoted so quickly?\It shows how short we are on competent officers.\I know you have just arrived, but please prepare to depart. response:	Is it the enemy?
context: Congratulations on your promotion to Commander.\But I just became a Lieutenant Commander...\Additional orders just came in.\As of now, you're a Commander.\Why did I get promoted so quickly?\It shows how short we are on competent officers.\I know you have just arrived, but please prepare to depart.\Is it the enemy? response:	That's right.
context: But I just became a Lieutenant Commander...\Additional orders just came in.\As of now, you're a Commander.\Why did I get promoted so quickly?\It shows how short we are on competent officers.\I know you have just arrived, but please prepare to depart.\Is it the enemy?\That's right. response:	The spy satellites around our frontline bases
context: Additional orders just came in.\As of now, you're a Commander.\Why did I get promoted so quickly?\It shows how short we are on competent officers.\I know you have just arrived, but please prepare to depart.\Is it the enemy?\That's right.\The spy satellites around our frontline bases response:	have been destroyed.
context: As of now, you're a Commander.\Why did I get promoted so quickly?\It shows how short we are on competent officers.\I know you have just arrived, but please prepare to depart.\Is it the enemy?\That's right.\The spy satellites around our frontline bases\have been destroyed. response:	It's a clear sign that they're invading.
context: Why did I get promoted so quickly?\It shows how short we are on competent officers.\I know you have just arrived, but please prepare to depart.\Is it the enemy?\That's right.\The spy satellites around our frontline bases\have been destroyed.\It's a clear sign that they're invading. response:	Understood.
context: It shows how short we are on competent officers.\I know you have just arrived, but please prepare to depart.\Is it the enemy?\That's right.\The spy satellites around our frontline bases\have been destroyed.\It's a clear sign that they're invading.\Understood. response:	Where is the detailed report?
context: I know you have just arrived, but please prepare to depart.\Is it the enemy?\That's right.\The spy satellites around our frontline bases\have been destroyed.\It's a clear sign that they're invading.\Understood.\Where is the detailed report? response:	I have already sent it to your vessel's database.
context: Is it the enemy?\That's right.\The spy satellites around our frontline bases\have been destroyed.\It's a clear sign that they're invading.\Understood.\Where is the detailed report?\I have already sent it to your vessel's database. response:	None of the satellites
