context: It's so peaceful. response:	I'll say... All the battles we go through seem like a dream.
context: Kagome, don't you get tired with a guy like him?\- Hey... - Why you...\Hey, Koga!\Don't be rude!\Inuyasha is just nervous, thinking you'll steal Kagome away from him.\If you think he's always like this, you're wrong...\Shippo. Wrong thing to say.\You're really wound up tight, huh? response:	Tell me where Naraku's castle is?!
context: - Hey... - Why you...\Hey, Koga!\Don't be rude!\Inuyasha is just nervous, thinking you'll steal Kagome away from him.\If you think he's always like this, you're wrong...\Shippo. Wrong thing to say.\You're really wound up tight, huh?\Tell me where Naraku's castle is?! response:	Stupid! If we knew that, we wouldn't be in this bind!
context: Hey, Koga!\Don't be rude!\Inuyasha is just nervous, thinking you'll steal Kagome away from him.\If you think he's always like this, you're wrong...\Shippo. Wrong thing to say.\You're really wound up tight, huh?\Tell me where Naraku's castle is?!\Stupid! If we knew that, we wouldn't be in this bind! response:	Don't you know then?
context: Don't be rude!\Inuyasha is just nervous, thinking you'll steal Kagome away from him.\If you think he's always like this, you're wrong...\Shippo. Wrong thing to say.\You're really wound up tight, huh?\Tell me where Naraku's castle is?!\Stupid! If we knew that, we wouldn't be in this bind!\Don't you know then? response:	Naraku has a barrier around his castle.
context: Inuyasha is just nervous, thinking you'll steal Kagome away from him.\If you think he's always like this, you're wrong...\Shippo. Wrong thing to say.\You're really wound up tight, huh?\Tell me where Naraku's castle is?!\Stupid! If we knew that, we wouldn't be in this bind!\Don't you know then?\Naraku has a barrier around his castle. response:	Why don't you let us avenge your comrades' deaths...
context: If you think he's always like this, you're wrong...\Shippo. Wrong thing to say.\You're really wound up tight, huh?\Tell me where Naraku's castle is?!\Stupid! If we knew that, we wouldn't be in this bind!\Don't you know then?\Naraku has a barrier around his castle.\Why don't you let us avenge your comrades' deaths... response:	and hand over the Sacred Jewel fragments you have in both your legs...
context: Shippo. Wrong thing to say.\You're really wound up tight, huh?\Tell me where Naraku's castle is?!\Stupid! If we knew that, we wouldn't be in this bind!\Don't you know then?\Naraku has a barrier around his castle.\Why don't you let us avenge your comrades' deaths...\and hand over the Sacred Jewel fragments you have in both your legs... response:	and just go back to your nest!
context: You're really wound up tight, huh?\Tell me where Naraku's castle is?!\Stupid! If we knew that, we wouldn't be in this bind!\Don't you know then?\Naraku has a barrier around his castle.\Why don't you let us avenge your comrades' deaths...\and hand over the Sacred Jewel fragments you have in both your legs...\and just go back to your nest! response:	What's the matter, dogface?
context: Tell me where Naraku's castle is?!\Stupid! If we knew that, we wouldn't be in this bind!\Don't you know then?\Naraku has a barrier around his castle.\Why don't you let us avenge your comrades' deaths...\and hand over the Sacred Jewel fragments you have in both your legs...\and just go back to your nest!\What's the matter, dogface? response:	You seem awfully clumsy in handling your sword.
context: Stupid! If we knew that, we wouldn't be in this bind!\Don't you know then?\Naraku has a barrier around his castle.\Why don't you let us avenge your comrades' deaths...\and hand over the Sacred Jewel fragments you have in both your legs...\and just go back to your nest!\What's the matter, dogface?\You seem awfully clumsy in handling your sword. response:	Damn!
context: Don't you know then?\Naraku has a barrier around his castle.\Why don't you let us avenge your comrades' deaths...\and hand over the Sacred Jewel fragments you have in both your legs...\and just go back to your nest!\What's the matter, dogface?\You seem awfully clumsy in handling your sword.\Damn! response:	The Tetsusaiga is still too heavy for him.
context: Naraku has a barrier around his castle.\Why don't you let us avenge your comrades' deaths...\and hand over the Sacred Jewel fragments you have in both your legs...\and just go back to your nest!\What's the matter, dogface?\You seem awfully clumsy in handling your sword.\Damn!\The Tetsusaiga is still too heavy for him. response:	Well, it won't become light so quickly.
context: Why don't you let us avenge your comrades' deaths...\and hand over the Sacred Jewel fragments you have in both your legs...\and just go back to your nest!\What's the matter, dogface?\You seem awfully clumsy in handling your sword.\Damn!\The Tetsusaiga is still too heavy for him.\Well, it won't become light so quickly. response:	Don't run away!
context: and hand over the Sacred Jewel fragments you have in both your legs...\and just go back to your nest!\What's the matter, dogface?\You seem awfully clumsy in handling your sword.\Damn!\The Tetsusaiga is still too heavy for him.\Well, it won't become light so quickly.\Don't run away! response:	Sorry, but I have no time to spar with you now.
context: and just go back to your nest!\What's the matter, dogface?\You seem awfully clumsy in handling your sword.\Damn!\The Tetsusaiga is still too heavy for him.\Well, it won't become light so quickly.\Don't run away!\Sorry, but I have no time to spar with you now. response:	Hey! Come back here!
context: What's the matter, dogface?\You seem awfully clumsy in handling your sword.\Damn!\The Tetsusaiga is still too heavy for him.\Well, it won't become light so quickly.\Don't run away!\Sorry, but I have no time to spar with you now.\Hey! Come back here! response:	Dogface! I'll leave Kagome in your care until I kill that Naraku!
context: You seem awfully clumsy in handling your sword.\Damn!\The Tetsusaiga is still too heavy for him.\Well, it won't become light so quickly.\Don't run away!\Sorry, but I have no time to spar with you now.\Hey! Come back here!\Dogface! I'll leave Kagome in your care until I kill that Naraku! response:	Don't you dare lay one finger on her!
context: Damn!\The Tetsusaiga is still too heavy for him.\Well, it won't become light so quickly.\Don't run away!\Sorry, but I have no time to spar with you now.\Hey! Come back here!\Dogface! I'll leave Kagome in your care until I kill that Naraku!\Don't you dare lay one finger on her! response:	W-what?!
context: The Tetsusaiga is still too heavy for him.\Well, it won't become light so quickly.\Don't run away!\Sorry, but I have no time to spar with you now.\Hey! Come back here!\Dogface! I'll leave Kagome in your care until I kill that Naraku!\Don't you dare lay one finger on her!\W-what?! response:	Even when he runs away, he's so confident.
context: Well, it won't become light so quickly.\Don't run away!\Sorry, but I have no time to spar with you now.\Hey! Come back here!\Dogface! I'll leave Kagome in your care until I kill that Naraku!\Don't you dare lay one finger on her!\W-what?!\Even when he runs away, he's so confident. response:	Inuyasha! Don't get so riled up.
context: Don't run away!\Sorry, but I have no time to spar with you now.\Hey! Come back here!\Dogface! I'll leave Kagome in your care until I kill that Naraku!\Don't you dare lay one finger on her!\W-what?!\Even when he runs away, he's so confident.\Inuyasha! Don't get so riled up. response:	When did I get riled up?!
context: Sorry, but I have no time to spar with you now.\Hey! Come back here!\Dogface! I'll leave Kagome in your care until I kill that Naraku!\Don't you dare lay one finger on her!\W-what?!\Even when he runs away, he's so confident.\Inuyasha! Don't get so riled up.\When did I get riled up?! response:	I'm happy that he's jealous...
context: Hey! Come back here!\Dogface! I'll leave Kagome in your care until I kill that Naraku!\Don't you dare lay one finger on her!\W-what?!\Even when he runs away, he's so confident.\Inuyasha! Don't get so riled up.\When did I get riled up?!\I'm happy that he's jealous... response:	but he could at least be a little more kind.
context: Dogface! I'll leave Kagome in your care until I kill that Naraku!\Don't you dare lay one finger on her!\W-what?!\Even when he runs away, he's so confident.\Inuyasha! Don't get so riled up.\When did I get riled up?!\I'm happy that he's jealous...\but he could at least be a little more kind. response:	This is so tiring.
context: Don't you dare lay one finger on her!\W-what?!\Even when he runs away, he's so confident.\Inuyasha! Don't get so riled up.\When did I get riled up?!\I'm happy that he's jealous...\but he could at least be a little more kind.\This is so tiring. response:	W-wha...!
context: W-what?!\Even when he runs away, he's so confident.\Inuyasha! Don't get so riled up.\When did I get riled up?!\I'm happy that he's jealous...\but he could at least be a little more kind.\This is so tiring.\W-wha...! response:	Does being with me really tire you out?
context: Even when he runs away, he's so confident.\Inuyasha! Don't get so riled up.\When did I get riled up?!\I'm happy that he's jealous...\but he could at least be a little more kind.\This is so tiring.\W-wha...!\Does being with me really tire you out? response:	Why are you so depressed?
context: Inuyasha! Don't get so riled up.\When did I get riled up?!\I'm happy that he's jealous...\but he could at least be a little more kind.\This is so tiring.\W-wha...!\Does being with me really tire you out?\Why are you so depressed? response:	Don't worry about what Koga said.
context: When did I get riled up?!\I'm happy that he's jealous...\but he could at least be a little more kind.\This is so tiring.\W-wha...!\Does being with me really tire you out?\Why are you so depressed?\Don't worry about what Koga said. response:	He's worried about what you said, Kagome.
context: I'm happy that he's jealous...\but he could at least be a little more kind.\This is so tiring.\W-wha...!\Does being with me really tire you out?\Why are you so depressed?\Don't worry about what Koga said.\He's worried about what you said, Kagome. response:	Uh-huh...
context: but he could at least be a little more kind.\This is so tiring.\W-wha...!\Does being with me really tire you out?\Why are you so depressed?\Don't worry about what Koga said.\He's worried about what you said, Kagome.\Uh-huh... response:	Huh?
context: This is so tiring.\W-wha...!\Does being with me really tire you out?\Why are you so depressed?\Don't worry about what Koga said.\He's worried about what you said, Kagome.\Uh-huh...\Huh? response:	Huh? What's that?
context: W-wha...!\Does being with me really tire you out?\Why are you so depressed?\Don't worry about what Koga said.\He's worried about what you said, Kagome.\Uh-huh...\Huh?\Huh? What's that? response:	Insects?
context: Does being with me really tire you out?\Why are you so depressed?\Don't worry about what Koga said.\He's worried about what you said, Kagome.\Uh-huh...\Huh?\Huh? What's that?\Insects? response:	K-Koga!
context: Why are you so depressed?\Don't worry about what Koga said.\He's worried about what you said, Kagome.\Uh-huh...\Huh?\Huh? What's that?\Insects?\K-Koga! response:	This is the smell!
context: Don't worry about what Koga said.\He's worried about what you said, Kagome.\Uh-huh...\Huh?\Huh? What's that?\Insects?\K-Koga!\This is the smell! response:	The same smell as Kagura!
context: He's worried about what you said, Kagome.\Uh-huh...\Huh?\Huh? What's that?\Insects?\K-Koga!\This is the smell!\The same smell as Kagura! response:	No mistake about it!
context: Uh-huh...\Huh?\Huh? What's that?\Insects?\K-Koga!\This is the smell!\The same smell as Kagura!\No mistake about it! response:	Oh...
context: Huh?\Huh? What's that?\Insects?\K-Koga!\This is the smell!\The same smell as Kagura!\No mistake about it!\Oh... response:	The young leader of the Wolf-Demon Tribe.
context: Huh? What's that?\Insects?\K-Koga!\This is the smell!\The same smell as Kagura!\No mistake about it!\Oh...\The young leader of the Wolf-Demon Tribe. response:	You followed my scent before Inuyasha could.
context: Insects?\K-Koga!\This is the smell!\The same smell as Kagura!\No mistake about it!\Oh...\The young leader of the Wolf-Demon Tribe.\You followed my scent before Inuyasha could. response:	You... are Naraku?!
context: K-Koga!\This is the smell!\The same smell as Kagura!\No mistake about it!\Oh...\The young leader of the Wolf-Demon Tribe.\You followed my scent before Inuyasha could.\You... are Naraku?! response:	The same smell as that woman Kagura.
context: This is the smell!\The same smell as Kagura!\No mistake about it!\Oh...\The young leader of the Wolf-Demon Tribe.\You followed my scent before Inuyasha could.\You... are Naraku?!\The same smell as that woman Kagura. response:	He must be Naraku!
context: The same smell as Kagura!\No mistake about it!\Oh...\The young leader of the Wolf-Demon Tribe.\You followed my scent before Inuyasha could.\You... are Naraku?!\The same smell as that woman Kagura.\He must be Naraku! response:	I'll never forget...
context: No mistake about it!\Oh...\The young leader of the Wolf-Demon Tribe.\You followed my scent before Inuyasha could.\You... are Naraku?!\The same smell as that woman Kagura.\He must be Naraku!\I'll never forget... response:	the wrath of my comrades who were killed by you.
context: Oh...\The young leader of the Wolf-Demon Tribe.\You followed my scent before Inuyasha could.\You... are Naraku?!\The same smell as that woman Kagura.\He must be Naraku!\I'll never forget...\the wrath of my comrades who were killed by you. response:	I'll avenge them right here!
context: The young leader of the Wolf-Demon Tribe.\You followed my scent before Inuyasha could.\You... are Naraku?!\The same smell as that woman Kagura.\He must be Naraku!\I'll never forget...\the wrath of my comrades who were killed by you.\I'll avenge them right here! response:	Too bad...
context: You followed my scent before Inuyasha could.\You... are Naraku?!\The same smell as that woman Kagura.\He must be Naraku!\I'll never forget...\the wrath of my comrades who were killed by you.\I'll avenge them right here!\Too bad... response:	but you can be fodder for my new incarnation.
context: You... are Naraku?!\The same smell as that woman Kagura.\He must be Naraku!\I'll never forget...\the wrath of my comrades who were killed by you.\I'll avenge them right here!\Too bad...\but you can be fodder for my new incarnation. response:	A cage?
context: The same smell as that woman Kagura.\He must be Naraku!\I'll never forget...\the wrath of my comrades who were killed by you.\I'll avenge them right here!\Too bad...\but you can be fodder for my new incarnation.\A cage? response:	but you couldn't have timed it better.
context: He must be Naraku!\I'll never forget...\the wrath of my comrades who were killed by you.\I'll avenge them right here!\Too bad...\but you can be fodder for my new incarnation.\A cage?\but you couldn't have timed it better. response:	I'll get revenge for my comrades!
context: I'll never forget...\the wrath of my comrades who were killed by you.\I'll avenge them right here!\Too bad...\but you can be fodder for my new incarnation.\A cage?\but you couldn't have timed it better.\I'll get revenge for my comrades! response:	Koga... he will be your opponent.
context: the wrath of my comrades who were killed by you.\I'll avenge them right here!\Too bad...\but you can be fodder for my new incarnation.\A cage?\but you couldn't have timed it better.\I'll get revenge for my comrades!\Koga... he will be your opponent. response:	Come on out, Juromaru.
context: I'll avenge them right here!\Too bad...\but you can be fodder for my new incarnation.\A cage?\but you couldn't have timed it better.\I'll get revenge for my comrades!\Koga... he will be your opponent.\Come on out, Juromaru. response:	W- what is he...?
context: Too bad...\but you can be fodder for my new incarnation.\A cage?\but you couldn't have timed it better.\I'll get revenge for my comrades!\Koga... he will be your opponent.\Come on out, Juromaru.\W- what is he...? response:	Humph, so be it! I'll take him first!
context: but you can be fodder for my new incarnation.\A cage?\but you couldn't have timed it better.\I'll get revenge for my comrades!\Koga... he will be your opponent.\Come on out, Juromaru.\W- what is he...?\Humph, so be it! I'll take him first! response:	I'll beat the hell out of both of you!
context: A cage?\but you couldn't have timed it better.\I'll get revenge for my comrades!\Koga... he will be your opponent.\Come on out, Juromaru.\W- what is he...?\Humph, so be it! I'll take him first!\I'll beat the hell out of both of you! response:	Naraku, what's wrong?
context: but you couldn't have timed it better.\I'll get revenge for my comrades!\Koga... he will be your opponent.\Come on out, Juromaru.\W- what is he...?\Humph, so be it! I'll take him first!\I'll beat the hell out of both of you!\Naraku, what's wrong? response:	Hurry up and take off his shackles!
context: I'll get revenge for my comrades!\Koga... he will be your opponent.\Come on out, Juromaru.\W- what is he...?\Humph, so be it! I'll take him first!\I'll beat the hell out of both of you!\Naraku, what's wrong?\Hurry up and take off his shackles! response:	For you, he's fine just as he is.
context: Koga... he will be your opponent.\Come on out, Juromaru.\W- what is he...?\Humph, so be it! I'll take him first!\I'll beat the hell out of both of you!\Naraku, what's wrong?\Hurry up and take off his shackles!\For you, he's fine just as he is. response:	Well then... here I come!
context: Come on out, Juromaru.\W- what is he...?\Humph, so be it! I'll take him first!\I'll beat the hell out of both of you!\Naraku, what's wrong?\Hurry up and take off his shackles!\For you, he's fine just as he is.\Well then... here I come! response:	Take that!
context: W- what is he...?\Humph, so be it! I'll take him first!\I'll beat the hell out of both of you!\Naraku, what's wrong?\Hurry up and take off his shackles!\For you, he's fine just as he is.\Well then... here I come!\Take that! response:	Why you!
context: Humph, so be it! I'll take him first!\I'll beat the hell out of both of you!\Naraku, what's wrong?\Hurry up and take off his shackles!\For you, he's fine just as he is.\Well then... here I come!\Take that!\Why you! response:	He's fast... I'm afraid he might be faster than I am.
context: I'll beat the hell out of both of you!\Naraku, what's wrong?\Hurry up and take off his shackles!\For you, he's fine just as he is.\Well then... here I come!\Take that!\Why you!\He's fast... I'm afraid he might be faster than I am. response:	No...but what's this chill in the air?
context: Naraku, what's wrong?\Hurry up and take off his shackles!\For you, he's fine just as he is.\Well then... here I come!\Take that!\Why you!\He's fast... I'm afraid he might be faster than I am.\No...but what's this chill in the air? response:	Huh?
context: Hurry up and take off his shackles!\For you, he's fine just as he is.\Well then... here I come!\Take that!\Why you!\He's fast... I'm afraid he might be faster than I am.\No...but what's this chill in the air?\Huh? response:	The bit in his mouth...
context: For you, he's fine just as he is.\Well then... here I come!\Take that!\Why you!\He's fast... I'm afraid he might be faster than I am.\No...but what's this chill in the air?\Huh?\The bit in his mouth... response:	It's Naraku's smell!
context: Well then... here I come!\Take that!\Why you!\He's fast... I'm afraid he might be faster than I am.\No...but what's this chill in the air?\Huh?\The bit in his mouth...\It's Naraku's smell! response:	Wait, Inuyasha!
context: Take that!\Why you!\He's fast... I'm afraid he might be faster than I am.\No...but what's this chill in the air?\Huh?\The bit in his mouth...\It's Naraku's smell!\Wait, Inuyasha! response:	Don't go off on your own!
context: Why you!\He's fast... I'm afraid he might be faster than I am.\No...but what's this chill in the air?\Huh?\The bit in his mouth...\It's Naraku's smell!\Wait, Inuyasha!\Don't go off on your own! response:	Good grief! You can't even wield the Tetsusaiga sufficiently!
context: He's fast... I'm afraid he might be faster than I am.\No...but what's this chill in the air?\Huh?\The bit in his mouth...\It's Naraku's smell!\Wait, Inuyasha!\Don't go off on your own!\Good grief! You can't even wield the Tetsusaiga sufficiently! response:	Shaddup!
context: No...but what's this chill in the air?\Huh?\The bit in his mouth...\It's Naraku's smell!\Wait, Inuyasha!\Don't go off on your own!\Good grief! You can't even wield the Tetsusaiga sufficiently!\Shaddup! response:	It's not only Naraku I smell!
context: Huh?\The bit in his mouth...\It's Naraku's smell!\Wait, Inuyasha!\Don't go off on your own!\Good grief! You can't even wield the Tetsusaiga sufficiently!\Shaddup!\It's not only Naraku I smell! response:	I catch the smell of that pesky Koga as well!
context: The bit in his mouth...\It's Naraku's smell!\Wait, Inuyasha!\Don't go off on your own!\Good grief! You can't even wield the Tetsusaiga sufficiently!\Shaddup!\It's not only Naraku I smell!\I catch the smell of that pesky Koga as well! response:	I'm the one who's gonna destroy Naraku!
context: It's Naraku's smell!\Wait, Inuyasha!\Don't go off on your own!\Good grief! You can't even wield the Tetsusaiga sufficiently!\Shaddup!\It's not only Naraku I smell!\I catch the smell of that pesky Koga as well!\I'm the one who's gonna destroy Naraku! response:	I won't let Koga get ahead of me!
context: Wait, Inuyasha!\Don't go off on your own!\Good grief! You can't even wield the Tetsusaiga sufficiently!\Shaddup!\It's not only Naraku I smell!\I catch the smell of that pesky Koga as well!\I'm the one who's gonna destroy Naraku!\I won't let Koga get ahead of me! response:	Koga!
context: Don't go off on your own!\Good grief! You can't even wield the Tetsusaiga sufficiently!\Shaddup!\It's not only Naraku I smell!\I catch the smell of that pesky Koga as well!\I'm the one who's gonna destroy Naraku!\I won't let Koga get ahead of me!\Koga! response:	What're you doing?!
context: Good grief! You can't even wield the Tetsusaiga sufficiently!\Shaddup!\It's not only Naraku I smell!\I catch the smell of that pesky Koga as well!\I'm the one who's gonna destroy Naraku!\I won't let Koga get ahead of me!\Koga!\What're you doing?! response:	Shaddup! I'm busy right now!
context: Shaddup!\It's not only Naraku I smell!\I catch the smell of that pesky Koga as well!\I'm the one who's gonna destroy Naraku!\I won't let Koga get ahead of me!\Koga!\What're you doing?!\Shaddup! I'm busy right now! response:	What?!
context: It's not only Naraku I smell!\I catch the smell of that pesky Koga as well!\I'm the one who's gonna destroy Naraku!\I won't let Koga get ahead of me!\Koga!\What're you doing?!\Shaddup! I'm busy right now!\What?! response:	He's caught up with me!
context: I catch the smell of that pesky Koga as well!\I'm the one who's gonna destroy Naraku!\I won't let Koga get ahead of me!\Koga!\What're you doing?!\Shaddup! I'm busy right now!\What?!\He's caught up with me! response:	Koga! You're running away!
context: I'm the one who's gonna destroy Naraku!\I won't let Koga get ahead of me!\Koga!\What're you doing?!\Shaddup! I'm busy right now!\What?!\He's caught up with me!\Koga! You're running away! response:	Damn, he's gone!
context: I won't let Koga get ahead of me!\Koga!\What're you doing?!\Shaddup! I'm busy right now!\What?!\He's caught up with me!\Koga! You're running away!\Damn, he's gone! response:	So you've finally come, Inuyasha.
context: Koga!\What're you doing?!\Shaddup! I'm busy right now!\What?!\He's caught up with me!\Koga! You're running away!\Damn, he's gone!\So you've finally come, Inuyasha. response:	Naraku!
context: What're you doing?!\Shaddup! I'm busy right now!\What?!\He's caught up with me!\Koga! You're running away!\Damn, he's gone!\So you've finally come, Inuyasha.\Naraku! response:	Naraku!
context: Shaddup! I'm busy right now!\What?!\He's caught up with me!\Koga! You're running away!\Damn, he's gone!\So you've finally come, Inuyasha.\Naraku!\Naraku! response:	Koga realized he couldn't win and ran off.
context: What?!\He's caught up with me!\Koga! You're running away!\Damn, he's gone!\So you've finally come, Inuyasha.\Naraku!\Naraku!\Koga realized he couldn't win and ran off. response:	He's smarter than I thought.
context: He's caught up with me!\Koga! You're running away!\Damn, he's gone!\So you've finally come, Inuyasha.\Naraku!\Naraku!\Koga realized he couldn't win and ran off.\He's smarter than I thought. response:	That is another one of Naraku's incarnations.
context: Koga! You're running away!\Damn, he's gone!\So you've finally come, Inuyasha.\Naraku!\Naraku!\Koga realized he couldn't win and ran off.\He's smarter than I thought.\That is another one of Naraku's incarnations. response:	Juromaru, I'll remove your seal.
context: Damn, he's gone!\So you've finally come, Inuyasha.\Naraku!\Naraku!\Koga realized he couldn't win and ran off.\He's smarter than I thought.\That is another one of Naraku's incarnations.\Juromaru, I'll remove your seal. response:	Fight to your heart's content.
context: So you've finally come, Inuyasha.\Naraku!\Naraku!\Koga realized he couldn't win and ran off.\He's smarter than I thought.\That is another one of Naraku's incarnations.\Juromaru, I'll remove your seal.\Fight to your heart's content. response:	- Huh?! - Huh?
context: Naraku!\Naraku!\Koga realized he couldn't win and ran off.\He's smarter than I thought.\That is another one of Naraku's incarnations.\Juromaru, I'll remove your seal.\Fight to your heart's content.\- Huh?! - Huh? response:	Just what is he...?
context: Naraku!\Koga realized he couldn't win and ran off.\He's smarter than I thought.\That is another one of Naraku's incarnations.\Juromaru, I'll remove your seal.\Fight to your heart's content.\- Huh?! - Huh?\Just what is he...? response:	Once the bit is removed...
context: Koga realized he couldn't win and ran off.\He's smarter than I thought.\That is another one of Naraku's incarnations.\Juromaru, I'll remove your seal.\Fight to your heart's content.\- Huh?! - Huh?\Just what is he...?\Once the bit is removed... response:	Juromaru is unstoppable...
context: He's smarter than I thought.\That is another one of Naraku's incarnations.\Juromaru, I'll remove your seal.\Fight to your heart's content.\- Huh?! - Huh?\Just what is he...?\Once the bit is removed...\Juromaru is unstoppable... response:	until he kills every living thing around him.
context: That is another one of Naraku's incarnations.\Juromaru, I'll remove your seal.\Fight to your heart's content.\- Huh?! - Huh?\Just what is he...?\Once the bit is removed...\Juromaru is unstoppable...\until he kills every living thing around him. response:	W- what is this Juromaru?
context: Juromaru, I'll remove your seal.\Fight to your heart's content.\- Huh?! - Huh?\Just what is he...?\Once the bit is removed...\Juromaru is unstoppable...\until he kills every living thing around him.\W- what is this Juromaru? response:	He gives me the creeps!
context: Fight to your heart's content.\- Huh?! - Huh?\Just what is he...?\Once the bit is removed...\Juromaru is unstoppable...\until he kills every living thing around him.\W- what is this Juromaru?\He gives me the creeps! response:	It's probably just a demon puppet, but...
context: - Huh?! - Huh?\Just what is he...?\Once the bit is removed...\Juromaru is unstoppable...\until he kills every living thing around him.\W- what is this Juromaru?\He gives me the creeps!\It's probably just a demon puppet, but... response:	he just slashed the head of Naraku who's supposed to be an ally.
context: Just what is he...?\Once the bit is removed...\Juromaru is unstoppable...\until he kills every living thing around him.\W- what is this Juromaru?\He gives me the creeps!\It's probably just a demon puppet, but...\he just slashed the head of Naraku who's supposed to be an ally. response:	Can't he tell the difference?
context: Once the bit is removed...\Juromaru is unstoppable...\until he kills every living thing around him.\W- what is this Juromaru?\He gives me the creeps!\It's probably just a demon puppet, but...\he just slashed the head of Naraku who's supposed to be an ally.\Can't he tell the difference? response:	That's why he was shackled and bridled.
context: Juromaru is unstoppable...\until he kills every living thing around him.\W- what is this Juromaru?\He gives me the creeps!\It's probably just a demon puppet, but...\he just slashed the head of Naraku who's supposed to be an ally.\Can't he tell the difference?\That's why he was shackled and bridled. response:	Why you...!
context: until he kills every living thing around him.\W- what is this Juromaru?\He gives me the creeps!\It's probably just a demon puppet, but...\he just slashed the head of Naraku who's supposed to be an ally.\Can't he tell the difference?\That's why he was shackled and bridled.\Why you...! response:	What's with him?
