context: Trying to get energy from lovers is unfair! response:	What about the poor girls who don't have boyfriends?!
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior. response:	But, she wants me to fight against bad guys.
context: Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys. response:	That makes me really nervous.
context: I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous. response:	Oh well, I guess everything will be okay.
context: I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay. response:	I Want a Boyfriend, Too! A Trap on a Luxury Cruise Ship
context: and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\I Want a Boyfriend, Too! A Trap on a Luxury Cruise Ship response:	Moon Tiara Action!
context: One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\I Want a Boyfriend, Too! A Trap on a Luxury Cruise Ship\Moon Tiara Action! response:	Darn that detestable girl!
context: and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\I Want a Boyfriend, Too! A Trap on a Luxury Cruise Ship\Moon Tiara Action!\Darn that detestable girl! response:	I had no idea the great Master Jadeite
context: and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\I Want a Boyfriend, Too! A Trap on a Luxury Cruise Ship\Moon Tiara Action!\Darn that detestable girl!\I had no idea the great Master Jadeite response:	was having such a hard time with a little girl.
context: But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\I Want a Boyfriend, Too! A Trap on a Luxury Cruise Ship\Moon Tiara Action!\Darn that detestable girl!\I had no idea the great Master Jadeite\was having such a hard time with a little girl. response:	Tetis...
context: That makes me really nervous.\Oh well, I guess everything will be okay.\I Want a Boyfriend, Too! A Trap on a Luxury Cruise Ship\Moon Tiara Action!\Darn that detestable girl!\I had no idea the great Master Jadeite\was having such a hard time with a little girl.\Tetis... response:	I'm so glad that you remember me, Master Jadeite.
context: Oh well, I guess everything will be okay.\I Want a Boyfriend, Too! A Trap on a Luxury Cruise Ship\Moon Tiara Action!\Darn that detestable girl!\I had no idea the great Master Jadeite\was having such a hard time with a little girl.\Tetis...\I'm so glad that you remember me, Master Jadeite. response:	You serve directly under Queen Beryl.
context: I Want a Boyfriend, Too! A Trap on a Luxury Cruise Ship\Moon Tiara Action!\Darn that detestable girl!\I had no idea the great Master Jadeite\was having such a hard time with a little girl.\Tetis...\I'm so glad that you remember me, Master Jadeite.\You serve directly under Queen Beryl. response:	What brings you here?
context: Moon Tiara Action!\Darn that detestable girl!\I had no idea the great Master Jadeite\was having such a hard time with a little girl.\Tetis...\I'm so glad that you remember me, Master Jadeite.\You serve directly under Queen Beryl.\What brings you here? response:	You have not changed a bit.
context: Darn that detestable girl!\I had no idea the great Master Jadeite\was having such a hard time with a little girl.\Tetis...\I'm so glad that you remember me, Master Jadeite.\You serve directly under Queen Beryl.\What brings you here?\You have not changed a bit. response:	I adore you, but you always give me the cold shoulder.
context: I had no idea the great Master Jadeite\was having such a hard time with a little girl.\Tetis...\I'm so glad that you remember me, Master Jadeite.\You serve directly under Queen Beryl.\What brings you here?\You have not changed a bit.\I adore you, but you always give me the cold shoulder. response:	I don't have time for your games. Get out of here!
context: was having such a hard time with a little girl.\Tetis...\I'm so glad that you remember me, Master Jadeite.\You serve directly under Queen Beryl.\What brings you here?\You have not changed a bit.\I adore you, but you always give me the cold shoulder.\I don't have time for your games. Get out of here! response:	Now, don't be so cross.
context: Tetis...\I'm so glad that you remember me, Master Jadeite.\You serve directly under Queen Beryl.\What brings you here?\You have not changed a bit.\I adore you, but you always give me the cold shoulder.\I don't have time for your games. Get out of here!\Now, don't be so cross. response:	I, Tetis, have developed a very efficient way to collect energy.
context: I'm so glad that you remember me, Master Jadeite.\You serve directly under Queen Beryl.\What brings you here?\You have not changed a bit.\I adore you, but you always give me the cold shoulder.\I don't have time for your games. Get out of here!\Now, don't be so cross.\I, Tetis, have developed a very efficient way to collect energy. response:	What did you say?!
context: You serve directly under Queen Beryl.\What brings you here?\You have not changed a bit.\I adore you, but you always give me the cold shoulder.\I don't have time for your games. Get out of here!\Now, don't be so cross.\I, Tetis, have developed a very efficient way to collect energy.\What did you say?! response:	Do I finally have your attention now?
context: What brings you here?\You have not changed a bit.\I adore you, but you always give me the cold shoulder.\I don't have time for your games. Get out of here!\Now, don't be so cross.\I, Tetis, have developed a very efficient way to collect energy.\What did you say?!\Do I finally have your attention now? response:	I call it Operation Romantic Cruise!
context: You have not changed a bit.\I adore you, but you always give me the cold shoulder.\I don't have time for your games. Get out of here!\Now, don't be so cross.\I, Tetis, have developed a very efficient way to collect energy.\What did you say?!\Do I finally have your attention now?\I call it Operation Romantic Cruise! response:	In the middle of the night on the ocean...
context: I adore you, but you always give me the cold shoulder.\I don't have time for your games. Get out of here!\Now, don't be so cross.\I, Tetis, have developed a very efficient way to collect energy.\What did you say?!\Do I finally have your attention now?\I call it Operation Romantic Cruise!\In the middle of the night on the ocean... response:	It is a world for just the two of you.
context: I don't have time for your games. Get out of here!\Now, don't be so cross.\I, Tetis, have developed a very efficient way to collect energy.\What did you say?!\Do I finally have your attention now?\I call it Operation Romantic Cruise!\In the middle of the night on the ocean...\It is a world for just the two of you. response:	On a night like this, you'll feel like you could talk about anything.
context: Now, don't be so cross.\I, Tetis, have developed a very efficient way to collect energy.\What did you say?!\Do I finally have your attention now?\I call it Operation Romantic Cruise!\In the middle of the night on the ocean...\It is a world for just the two of you.\On a night like this, you'll feel like you could talk about anything. response:	Romantic Cruise for lovers.
context: I, Tetis, have developed a very efficient way to collect energy.\What did you say?!\Do I finally have your attention now?\I call it Operation Romantic Cruise!\In the middle of the night on the ocean...\It is a world for just the two of you.\On a night like this, you'll feel like you could talk about anything.\Romantic Cruise for lovers. response:	Finally, leaving on its maiden voyage tomorrow!
context: What did you say?!\Do I finally have your attention now?\I call it Operation Romantic Cruise!\In the middle of the night on the ocean...\It is a world for just the two of you.\On a night like this, you'll feel like you could talk about anything.\Romantic Cruise for lovers.\Finally, leaving on its maiden voyage tomorrow! response:	It must be so nice.
context: Do I finally have your attention now?\I call it Operation Romantic Cruise!\In the middle of the night on the ocean...\It is a world for just the two of you.\On a night like this, you'll feel like you could talk about anything.\Romantic Cruise for lovers.\Finally, leaving on its maiden voyage tomorrow!\It must be so nice. response:	Tokyo - Yokohama Departure 18:00 22:00 Romantic Cruise Passenger Capacity 666 Total Weight: 28,717 ton
context: I call it Operation Romantic Cruise!\In the middle of the night on the ocean...\It is a world for just the two of you.\On a night like this, you'll feel like you could talk about anything.\Romantic Cruise for lovers.\Finally, leaving on its maiden voyage tomorrow!\It must be so nice.\Tokyo - Yokohama Departure 18:00 22:00 Romantic Cruise Passenger Capacity 666 Total Weight: 28,717 ton response:	Wouldn't you love to sail on a ship like this just once in your life?
context: In the middle of the night on the ocean...\It is a world for just the two of you.\On a night like this, you'll feel like you could talk about anything.\Romantic Cruise for lovers.\Finally, leaving on its maiden voyage tomorrow!\It must be so nice.\Tokyo - Yokohama Departure 18:00 22:00 Romantic Cruise Passenger Capacity 666 Total Weight: 28,717 ton\Wouldn't you love to sail on a ship like this just once in your life? response:	But they say it's booked for a month in advance already.
context: It is a world for just the two of you.\On a night like this, you'll feel like you could talk about anything.\Romantic Cruise for lovers.\Finally, leaving on its maiden voyage tomorrow!\It must be so nice.\Tokyo - Yokohama Departure 18:00 22:00 Romantic Cruise Passenger Capacity 666 Total Weight: 28,717 ton\Wouldn't you love to sail on a ship like this just once in your life?\But they say it's booked for a month in advance already. response:	Oh, that Romantic Cruise? It's nice, isn't it?
context: On a night like this, you'll feel like you could talk about anything.\Romantic Cruise for lovers.\Finally, leaving on its maiden voyage tomorrow!\It must be so nice.\Tokyo - Yokohama Departure 18:00 22:00 Romantic Cruise Passenger Capacity 666 Total Weight: 28,717 ton\Wouldn't you love to sail on a ship like this just once in your life?\But they say it's booked for a month in advance already.\Oh, that Romantic Cruise? It's nice, isn't it? response:	A luxurious passenger ship with a maximum passenger capacity of 666.
context: Romantic Cruise for lovers.\Finally, leaving on its maiden voyage tomorrow!\It must be so nice.\Tokyo - Yokohama Departure 18:00 22:00 Romantic Cruise Passenger Capacity 666 Total Weight: 28,717 ton\Wouldn't you love to sail on a ship like this just once in your life?\But they say it's booked for a month in advance already.\Oh, that Romantic Cruise? It's nice, isn't it?\A luxurious passenger ship with a maximum passenger capacity of 666. response:	If you spend a night gazing at the scenery from Tokyo to Yokohama
context: Finally, leaving on its maiden voyage tomorrow!\It must be so nice.\Tokyo - Yokohama Departure 18:00 22:00 Romantic Cruise Passenger Capacity 666 Total Weight: 28,717 ton\Wouldn't you love to sail on a ship like this just once in your life?\But they say it's booked for a month in advance already.\Oh, that Romantic Cruise? It's nice, isn't it?\A luxurious passenger ship with a maximum passenger capacity of 666.\If you spend a night gazing at the scenery from Tokyo to Yokohama response:	on a ship like this, any couple would fall in love. Don't you think so?
context: It must be so nice.\Tokyo - Yokohama Departure 18:00 22:00 Romantic Cruise Passenger Capacity 666 Total Weight: 28,717 ton\Wouldn't you love to sail on a ship like this just once in your life?\But they say it's booked for a month in advance already.\Oh, that Romantic Cruise? It's nice, isn't it?\A luxurious passenger ship with a maximum passenger capacity of 666.\If you spend a night gazing at the scenery from Tokyo to Yokohama\on a ship like this, any couple would fall in love. Don't you think so? response:	If I were with you, that would never happen. I'm sure of it.
context: Tokyo - Yokohama Departure 18:00 22:00 Romantic Cruise Passenger Capacity 666 Total Weight: 28,717 ton\Wouldn't you love to sail on a ship like this just once in your life?\But they say it's booked for a month in advance already.\Oh, that Romantic Cruise? It's nice, isn't it?\A luxurious passenger ship with a maximum passenger capacity of 666.\If you spend a night gazing at the scenery from Tokyo to Yokohama\on a ship like this, any couple would fall in love. Don't you think so?\If I were with you, that would never happen. I'm sure of it. response:	Miss Usagi, did you want to get on this ship?
context: Wouldn't you love to sail on a ship like this just once in your life?\But they say it's booked for a month in advance already.\Oh, that Romantic Cruise? It's nice, isn't it?\A luxurious passenger ship with a maximum passenger capacity of 666.\If you spend a night gazing at the scenery from Tokyo to Yokohama\on a ship like this, any couple would fall in love. Don't you think so?\If I were with you, that would never happen. I'm sure of it.\Miss Usagi, did you want to get on this ship? response:	Oh, I wish I knew...
context: But they say it's booked for a month in advance already.\Oh, that Romantic Cruise? It's nice, isn't it?\A luxurious passenger ship with a maximum passenger capacity of 666.\If you spend a night gazing at the scenery from Tokyo to Yokohama\on a ship like this, any couple would fall in love. Don't you think so?\If I were with you, that would never happen. I'm sure of it.\Miss Usagi, did you want to get on this ship?\Oh, I wish I knew... response:	Umino, are you saying...
context: Oh, that Romantic Cruise? It's nice, isn't it?\A luxurious passenger ship with a maximum passenger capacity of 666.\If you spend a night gazing at the scenery from Tokyo to Yokohama\on a ship like this, any couple would fall in love. Don't you think so?\If I were with you, that would never happen. I'm sure of it.\Miss Usagi, did you want to get on this ship?\Oh, I wish I knew...\Umino, are you saying... response:	You had tickets?!
context: A luxurious passenger ship with a maximum passenger capacity of 666.\If you spend a night gazing at the scenery from Tokyo to Yokohama\on a ship like this, any couple would fall in love. Don't you think so?\If I were with you, that would never happen. I'm sure of it.\Miss Usagi, did you want to get on this ship?\Oh, I wish I knew...\Umino, are you saying...\You had tickets?! response:	Yes, but I gave the invitational tickets to the lady next door.
context: If you spend a night gazing at the scenery from Tokyo to Yokohama\on a ship like this, any couple would fall in love. Don't you think so?\If I were with you, that would never happen. I'm sure of it.\Miss Usagi, did you want to get on this ship?\Oh, I wish I knew...\Umino, are you saying...\You had tickets?!\Yes, but I gave the invitational tickets to the lady next door. response:	Why did you just give them away?!
context: on a ship like this, any couple would fall in love. Don't you think so?\If I were with you, that would never happen. I'm sure of it.\Miss Usagi, did you want to get on this ship?\Oh, I wish I knew...\Umino, are you saying...\You had tickets?!\Yes, but I gave the invitational tickets to the lady next door.\Why did you just give them away?! response:	Well, we are still in junior high school after all.
context: If I were with you, that would never happen. I'm sure of it.\Miss Usagi, did you want to get on this ship?\Oh, I wish I knew...\Umino, are you saying...\You had tickets?!\Yes, but I gave the invitational tickets to the lady next door.\Why did you just give them away?!\Well, we are still in junior high school after all. response:	Tokyo Yokohama Sailing 18:00 22:00 We can't do anything delinquent like going out so late at night.
context: Miss Usagi, did you want to get on this ship?\Oh, I wish I knew...\Umino, are you saying...\You had tickets?!\Yes, but I gave the invitational tickets to the lady next door.\Why did you just give them away?!\Well, we are still in junior high school after all.\Tokyo Yokohama Sailing 18:00 22:00 We can't do anything delinquent like going out so late at night. response:	We can't do anything delinquent like going out so late at night.
context: Oh, I wish I knew...\Umino, are you saying...\You had tickets?!\Yes, but I gave the invitational tickets to the lady next door.\Why did you just give them away?!\Well, we are still in junior high school after all.\Tokyo Yokohama Sailing 18:00 22:00 We can't do anything delinquent like going out so late at night.\We can't do anything delinquent like going out so late at night. response:	He's got a weird sense of ethics.
context: Umino, are you saying...\You had tickets?!\Yes, but I gave the invitational tickets to the lady next door.\Why did you just give them away?!\Well, we are still in junior high school after all.\Tokyo Yokohama Sailing 18:00 22:00 We can't do anything delinquent like going out so late at night.\We can't do anything delinquent like going out so late at night.\He's got a weird sense of ethics. response:	Come to think of it, I think the raffle going on in the shopping district
context: You had tickets?!\Yes, but I gave the invitational tickets to the lady next door.\Why did you just give them away?!\Well, we are still in junior high school after all.\Tokyo Yokohama Sailing 18:00 22:00 We can't do anything delinquent like going out so late at night.\We can't do anything delinquent like going out so late at night.\He's got a weird sense of ethics.\Come to think of it, I think the raffle going on in the shopping district response:	is giving these tickets away as prizes...
context: Yes, but I gave the invitational tickets to the lady next door.\Why did you just give them away?!\Well, we are still in junior high school after all.\Tokyo Yokohama Sailing 18:00 22:00 We can't do anything delinquent like going out so late at night.\We can't do anything delinquent like going out so late at night.\He's got a weird sense of ethics.\Come to think of it, I think the raffle going on in the shopping district\is giving these tickets away as prizes... response:	Jubancho Shopping District
context: Why did you just give them away?!\Well, we are still in junior high school after all.\Tokyo Yokohama Sailing 18:00 22:00 We can't do anything delinquent like going out so late at night.\We can't do anything delinquent like going out so late at night.\He's got a weird sense of ethics.\Come to think of it, I think the raffle going on in the shopping district\is giving these tickets away as prizes...\Jubancho Shopping District response:	Big Sale Raffle First Prize An Invitation For Two On The Romantic Cruise Jubancho Shopping District Association
context: Well, we are still in junior high school after all.\Tokyo Yokohama Sailing 18:00 22:00 We can't do anything delinquent like going out so late at night.\We can't do anything delinquent like going out so late at night.\He's got a weird sense of ethics.\Come to think of it, I think the raffle going on in the shopping district\is giving these tickets away as prizes...\Jubancho Shopping District\Big Sale Raffle First Prize An Invitation For Two On The Romantic Cruise Jubancho Shopping District Association response:	I'll win this time!
context: Tokyo Yokohama Sailing 18:00 22:00 We can't do anything delinquent like going out so late at night.\We can't do anything delinquent like going out so late at night.\He's got a weird sense of ethics.\Come to think of it, I think the raffle going on in the shopping district\is giving these tickets away as prizes...\Jubancho Shopping District\Big Sale Raffle First Prize An Invitation For Two On The Romantic Cruise Jubancho Shopping District Association\I'll win this time! response:	No! I lost again!
context: We can't do anything delinquent like going out so late at night.\He's got a weird sense of ethics.\Come to think of it, I think the raffle going on in the shopping district\is giving these tickets away as prizes...\Jubancho Shopping District\Big Sale Raffle First Prize An Invitation For Two On The Romantic Cruise Jubancho Shopping District Association\I'll win this time!\No! I lost again! response:	Here's your consolation prize of tissues!
context: He's got a weird sense of ethics.\Come to think of it, I think the raffle going on in the shopping district\is giving these tickets away as prizes...\Jubancho Shopping District\Big Sale Raffle First Prize An Invitation For Two On The Romantic Cruise Jubancho Shopping District Association\I'll win this time!\No! I lost again!\Here's your consolation prize of tissues! response:	Juuban Shopping District A Big Sale Raffle Booth
context: Come to think of it, I think the raffle going on in the shopping district\is giving these tickets away as prizes...\Jubancho Shopping District\Big Sale Raffle First Prize An Invitation For Two On The Romantic Cruise Jubancho Shopping District Association\I'll win this time!\No! I lost again!\Here's your consolation prize of tissues!\Juuban Shopping District A Big Sale Raffle Booth response:	Juuban Shopping District A Big Sale Raffle Booth It's so unfair!
context: is giving these tickets away as prizes...\Jubancho Shopping District\Big Sale Raffle First Prize An Invitation For Two On The Romantic Cruise Jubancho Shopping District Association\I'll win this time!\No! I lost again!\Here's your consolation prize of tissues!\Juuban Shopping District A Big Sale Raffle Booth\Juuban Shopping District A Big Sale Raffle Booth It's so unfair! response:	Juuban Shopping District A Big Sale Raffle Booth Usagi.
context: Jubancho Shopping District\Big Sale Raffle First Prize An Invitation For Two On The Romantic Cruise Jubancho Shopping District Association\I'll win this time!\No! I lost again!\Here's your consolation prize of tissues!\Juuban Shopping District A Big Sale Raffle Booth\Juuban Shopping District A Big Sale Raffle Booth It's so unfair!\Juuban Shopping District A Big Sale Raffle Booth Usagi. response:	Juuban Shopping District A Big Sale Raffle Booth Oh, Rei.
context: Big Sale Raffle First Prize An Invitation For Two On The Romantic Cruise Jubancho Shopping District Association\I'll win this time!\No! I lost again!\Here's your consolation prize of tissues!\Juuban Shopping District A Big Sale Raffle Booth\Juuban Shopping District A Big Sale Raffle Booth It's so unfair!\Juuban Shopping District A Big Sale Raffle Booth Usagi.\Juuban Shopping District A Big Sale Raffle Booth Oh, Rei. response:	Oh, Rei.
context: I'll win this time!\No! I lost again!\Here's your consolation prize of tissues!\Juuban Shopping District A Big Sale Raffle Booth\Juuban Shopping District A Big Sale Raffle Booth It's so unfair!\Juuban Shopping District A Big Sale Raffle Booth Usagi.\Juuban Shopping District A Big Sale Raffle Booth Oh, Rei.\Oh, Rei. response:	Hey, listen, listen!
context: No! I lost again!\Here's your consolation prize of tissues!\Juuban Shopping District A Big Sale Raffle Booth\Juuban Shopping District A Big Sale Raffle Booth It's so unfair!\Juuban Shopping District A Big Sale Raffle Booth Usagi.\Juuban Shopping District A Big Sale Raffle Booth Oh, Rei.\Oh, Rei.\Hey, listen, listen! response:	I tried ten whole times to win this prize!
context: Here's your consolation prize of tissues!\Juuban Shopping District A Big Sale Raffle Booth\Juuban Shopping District A Big Sale Raffle Booth It's so unfair!\Juuban Shopping District A Big Sale Raffle Booth Usagi.\Juuban Shopping District A Big Sale Raffle Booth Oh, Rei.\Oh, Rei.\Hey, listen, listen!\I tried ten whole times to win this prize! response:	Invitation for two. You actually want this stuff?
context: Juuban Shopping District A Big Sale Raffle Booth\Juuban Shopping District A Big Sale Raffle Booth It's so unfair!\Juuban Shopping District A Big Sale Raffle Booth Usagi.\Juuban Shopping District A Big Sale Raffle Booth Oh, Rei.\Oh, Rei.\Hey, listen, listen!\I tried ten whole times to win this prize!\Invitation for two. You actually want this stuff? response:	You're not interested, Rei?
context: Juuban Shopping District A Big Sale Raffle Booth It's so unfair!\Juuban Shopping District A Big Sale Raffle Booth Usagi.\Juuban Shopping District A Big Sale Raffle Booth Oh, Rei.\Oh, Rei.\Hey, listen, listen!\I tried ten whole times to win this prize!\Invitation for two. You actually want this stuff?\You're not interested, Rei? response:	Of course not!
context: Juuban Shopping District A Big Sale Raffle Booth Usagi.\Juuban Shopping District A Big Sale Raffle Booth Oh, Rei.\Oh, Rei.\Hey, listen, listen!\I tried ten whole times to win this prize!\Invitation for two. You actually want this stuff?\You're not interested, Rei?\Of course not! response:	We don't have time to waste on this kind of stuff!
context: Juuban Shopping District A Big Sale Raffle Booth Oh, Rei.\Oh, Rei.\Hey, listen, listen!\I tried ten whole times to win this prize!\Invitation for two. You actually want this stuff?\You're not interested, Rei?\Of course not!\We don't have time to waste on this kind of stuff! response:	I'd like a turn, please.
context: Oh, Rei.\Hey, listen, listen!\I tried ten whole times to win this prize!\Invitation for two. You actually want this stuff?\You're not interested, Rei?\Of course not!\We don't have time to waste on this kind of stuff!\I'd like a turn, please. response:	Go right ahead!
context: Hey, listen, listen!\I tried ten whole times to win this prize!\Invitation for two. You actually want this stuff?\You're not interested, Rei?\Of course not!\We don't have time to waste on this kind of stuff!\I'd like a turn, please.\Go right ahead! response:	What?!
context: I tried ten whole times to win this prize!\Invitation for two. You actually want this stuff?\You're not interested, Rei?\Of course not!\We don't have time to waste on this kind of stuff!\I'd like a turn, please.\Go right ahead!\What?! response:	She's so serious!
context: Invitation for two. You actually want this stuff?\You're not interested, Rei?\Of course not!\We don't have time to waste on this kind of stuff!\I'd like a turn, please.\Go right ahead!\What?!\She's so serious! response:	First Prize Romantic Cruise Invitation For Two
context: You're not interested, Rei?\Of course not!\We don't have time to waste on this kind of stuff!\I'd like a turn, please.\Go right ahead!\What?!\She's so serious!\First Prize Romantic Cruise Invitation For Two response:	First Prize Romantic Cruise Invitation For Two Congratulations!
context: Of course not!\We don't have time to waste on this kind of stuff!\I'd like a turn, please.\Go right ahead!\What?!\She's so serious!\First Prize Romantic Cruise Invitation For Two\First Prize Romantic Cruise Invitation For Two Congratulations! response:	Congratulations!
context: We don't have time to waste on this kind of stuff!\I'd like a turn, please.\Go right ahead!\What?!\She's so serious!\First Prize Romantic Cruise Invitation For Two\First Prize Romantic Cruise Invitation For Two Congratulations!\Congratulations! response:	You won the first prize! Tickets for the Romantic Cruise!
context: I'd like a turn, please.\Go right ahead!\What?!\She's so serious!\First Prize Romantic Cruise Invitation For Two\First Prize Romantic Cruise Invitation For Two Congratulations!\Congratulations!\You won the first prize! Tickets for the Romantic Cruise! response:	Wow, I did it!
context: Go right ahead!\What?!\She's so serious!\First Prize Romantic Cruise Invitation For Two\First Prize Romantic Cruise Invitation For Two Congratulations!\Congratulations!\You won the first prize! Tickets for the Romantic Cruise!\Wow, I did it! response:	Rei, you are such a hypocrite!
