context: You're... response:	Avrora?
context: Ah, Kojou-kun. What about the milk?\Sorry, I haven't looked for it yet.\Geez, I thought you said you were going to buy some.\Ah, that shop might have some.\I'll go take a look.\Somehow, it feels like Nagisa is back to her usual self.\Yes, that's great.\Food is peace, huh? response:	This is a terrorist attack. They are planning to throw Itogami Island into chaos and destroy it.
context: Sorry, I haven't looked for it yet.\Geez, I thought you said you were going to buy some.\Ah, that shop might have some.\I'll go take a look.\Somehow, it feels like Nagisa is back to her usual self.\Yes, that's great.\Food is peace, huh?\This is a terrorist attack. They are planning to throw Itogami Island into chaos and destroy it. response:	Tartarus Lapus's next target...
context: Geez, I thought you said you were going to buy some.\Ah, that shop might have some.\I'll go take a look.\Somehow, it feels like Nagisa is back to her usual self.\Yes, that's great.\Food is peace, huh?\This is a terrorist attack. They are planning to throw Itogami Island into chaos and destroy it.\Tartarus Lapus's next target... response:	Eh?
context: Ah, that shop might have some.\I'll go take a look.\Somehow, it feels like Nagisa is back to her usual self.\Yes, that's great.\Food is peace, huh?\This is a terrorist attack. They are planning to throw Itogami Island into chaos and destroy it.\Tartarus Lapus's next target...\Eh? response:	That's what December said.
context: I'll go take a look.\Somehow, it feels like Nagisa is back to her usual self.\Yes, that's great.\Food is peace, huh?\This is a terrorist attack. They are planning to throw Itogami Island into chaos and destroy it.\Tartarus Lapus's next target...\Eh?\That's what December said. response:	She said that food is directly linked to peace.
context: Somehow, it feels like Nagisa is back to her usual self.\Yes, that's great.\Food is peace, huh?\This is a terrorist attack. They are planning to throw Itogami Island into chaos and destroy it.\Tartarus Lapus's next target...\Eh?\That's what December said.\She said that food is directly linked to peace. response:	If Tartarus Lapus is looking to throw Itogami Island into chaos...
context: Yes, that's great.\Food is peace, huh?\This is a terrorist attack. They are planning to throw Itogami Island into chaos and destroy it.\Tartarus Lapus's next target...\Eh?\That's what December said.\She said that food is directly linked to peace.\If Tartarus Lapus is looking to throw Itogami Island into chaos... response:	Don't tell me...
context: Food is peace, huh?\This is a terrorist attack. They are planning to throw Itogami Island into chaos and destroy it.\Tartarus Lapus's next target...\Eh?\That's what December said.\She said that food is directly linked to peace.\If Tartarus Lapus is looking to throw Itogami Island into chaos...\Don't tell me... response:	It's just a guess. But I have a bad feeling about this.
context: This is a terrorist attack. They are planning to throw Itogami Island into chaos and destroy it.\Tartarus Lapus's next target...\Eh?\That's what December said.\She said that food is directly linked to peace.\If Tartarus Lapus is looking to throw Itogami Island into chaos...\Don't tell me...\It's just a guess. But I have a bad feeling about this. response:	Their next target is...
context: Tartarus Lapus's next target...\Eh?\That's what December said.\She said that food is directly linked to peace.\If Tartarus Lapus is looking to throw Itogami Island into chaos...\Don't tell me...\It's just a guess. But I have a bad feeling about this.\Their next target is... response:	The Great Pile on Island East. The large-scale food stockpile warehouse.
context: Eh?\That's what December said.\She said that food is directly linked to peace.\If Tartarus Lapus is looking to throw Itogami Island into chaos...\Don't tell me...\It's just a guess. But I have a bad feeling about this.\Their next target is...\The Great Pile on Island East. The large-scale food stockpile warehouse. response:	I'm surprised you knew I was here, Minamiya Natsuki.
context: That's what December said.\She said that food is directly linked to peace.\If Tartarus Lapus is looking to throw Itogami Island into chaos...\Don't tell me...\It's just a guess. But I have a bad feeling about this.\Their next target is...\The Great Pile on Island East. The large-scale food stockpile warehouse.\I'm surprised you knew I was here, Minamiya Natsuki. response:	One of my students is very good at finding people.
context: She said that food is directly linked to peace.\If Tartarus Lapus is looking to throw Itogami Island into chaos...\Don't tell me...\It's just a guess. But I have a bad feeling about this.\Their next target is...\The Great Pile on Island East. The large-scale food stockpile warehouse.\I'm surprised you knew I was here, Minamiya Natsuki.\One of my students is very good at finding people. response:	What has it been, fifteen years? You haven't changed a bit.
context: If Tartarus Lapus is looking to throw Itogami Island into chaos...\Don't tell me...\It's just a guess. But I have a bad feeling about this.\Their next target is...\The Great Pile on Island East. The large-scale food stockpile warehouse.\I'm surprised you knew I was here, Minamiya Natsuki.\One of my students is very good at finding people.\What has it been, fifteen years? You haven't changed a bit. response:	You're showing your age, Senga Takehito.
context: Don't tell me...\It's just a guess. But I have a bad feeling about this.\Their next target is...\The Great Pile on Island East. The large-scale food stockpile warehouse.\I'm surprised you knew I was here, Minamiya Natsuki.\One of my students is very good at finding people.\What has it been, fifteen years? You haven't changed a bit.\You're showing your age, Senga Takehito. response:	Are you still using children for your schemes?
context: It's just a guess. But I have a bad feeling about this.\Their next target is...\The Great Pile on Island East. The large-scale food stockpile warehouse.\I'm surprised you knew I was here, Minamiya Natsuki.\One of my students is very good at finding people.\What has it been, fifteen years? You haven't changed a bit.\You're showing your age, Senga Takehito.\Are you still using children for your schemes? response:	I merely showed them how to use their powers.
context: Their next target is...\The Great Pile on Island East. The large-scale food stockpile warehouse.\I'm surprised you knew I was here, Minamiya Natsuki.\One of my students is very good at finding people.\What has it been, fifteen years? You haven't changed a bit.\You're showing your age, Senga Takehito.\Are you still using children for your schemes?\I merely showed them how to use their powers. response:	Just like you did, all those years ago.
context: The Great Pile on Island East. The large-scale food stockpile warehouse.\I'm surprised you knew I was here, Minamiya Natsuki.\One of my students is very good at finding people.\What has it been, fifteen years? You haven't changed a bit.\You're showing your age, Senga Takehito.\Are you still using children for your schemes?\I merely showed them how to use their powers.\Just like you did, all those years ago. response:	Are you saying that the children wish for the destruction of the Demon Sanctuary?
context: I'm surprised you knew I was here, Minamiya Natsuki.\One of my students is very good at finding people.\What has it been, fifteen years? You haven't changed a bit.\You're showing your age, Senga Takehito.\Are you still using children for your schemes?\I merely showed them how to use their powers.\Just like you did, all those years ago.\Are you saying that the children wish for the destruction of the Demon Sanctuary? response:	I am not the leader of Tartaru Lapus, that should be proof enough.
context: One of my students is very good at finding people.\What has it been, fifteen years? You haven't changed a bit.\You're showing your age, Senga Takehito.\Are you still using children for your schemes?\I merely showed them how to use their powers.\Just like you did, all those years ago.\Are you saying that the children wish for the destruction of the Demon Sanctuary?\I am not the leader of Tartaru Lapus, that should be proof enough. response:	The one giving them orders is someone else.
context: What has it been, fifteen years? You haven't changed a bit.\You're showing your age, Senga Takehito.\Are you still using children for your schemes?\I merely showed them how to use their powers.\Just like you did, all those years ago.\Are you saying that the children wish for the destruction of the Demon Sanctuary?\I am not the leader of Tartaru Lapus, that should be proof enough.\The one giving them orders is someone else. response:	Oh? That's interesting.
context: You're showing your age, Senga Takehito.\Are you still using children for your schemes?\I merely showed them how to use their powers.\Just like you did, all those years ago.\Are you saying that the children wish for the destruction of the Demon Sanctuary?\I am not the leader of Tartaru Lapus, that should be proof enough.\The one giving them orders is someone else.\Oh? That's interesting. response:	But for now, destroying the Eight Trigams formation that you set up comes first.
context: Are you still using children for your schemes?\I merely showed them how to use their powers.\Just like you did, all those years ago.\Are you saying that the children wish for the destruction of the Demon Sanctuary?\I am not the leader of Tartaru Lapus, that should be proof enough.\The one giving them orders is someone else.\Oh? That's interesting.\But for now, destroying the Eight Trigams formation that you set up comes first. response:	I will listen to your explanation after that.
context: I merely showed them how to use their powers.\Just like you did, all those years ago.\Are you saying that the children wish for the destruction of the Demon Sanctuary?\I am not the leader of Tartaru Lapus, that should be proof enough.\The one giving them orders is someone else.\Oh? That's interesting.\But for now, destroying the Eight Trigams formation that you set up comes first.\I will listen to your explanation after that. response:	It gets pretty chilly after sunset, right?
context: Just like you did, all those years ago.\Are you saying that the children wish for the destruction of the Demon Sanctuary?\I am not the leader of Tartaru Lapus, that should be proof enough.\The one giving them orders is someone else.\Oh? That's interesting.\But for now, destroying the Eight Trigams formation that you set up comes first.\I will listen to your explanation after that.\It gets pretty chilly after sunset, right? response:	Yes. Good thing I brought a coat.
context: Are you saying that the children wish for the destruction of the Demon Sanctuary?\I am not the leader of Tartaru Lapus, that should be proof enough.\The one giving them orders is someone else.\Oh? That's interesting.\But for now, destroying the Eight Trigams formation that you set up comes first.\I will listen to your explanation after that.\It gets pretty chilly after sunset, right?\Yes. Good thing I brought a coat. response:	So beautiful.
context: I am not the leader of Tartaru Lapus, that should be proof enough.\The one giving them orders is someone else.\Oh? That's interesting.\But for now, destroying the Eight Trigams formation that you set up comes first.\I will listen to your explanation after that.\It gets pretty chilly after sunset, right?\Yes. Good thing I brought a coat.\So beautiful. response:	It's a fresh look, and I don't get tired of looking at it.
context: The one giving them orders is someone else.\Oh? That's interesting.\But for now, destroying the Eight Trigams formation that you set up comes first.\I will listen to your explanation after that.\It gets pretty chilly after sunset, right?\Yes. Good thing I brought a coat.\So beautiful.\It's a fresh look, and I don't get tired of looking at it. response:	S-Senpai! What are you saying, all of a sudden!?
context: Oh? That's interesting.\But for now, destroying the Eight Trigams formation that you set up comes first.\I will listen to your explanation after that.\It gets pretty chilly after sunset, right?\Yes. Good thing I brought a coat.\So beautiful.\It's a fresh look, and I don't get tired of looking at it.\S-Senpai! What are you saying, all of a sudden!? response:	Oh, do you not like it that much, Himeragi?
context: But for now, destroying the Eight Trigams formation that you set up comes first.\I will listen to your explanation after that.\It gets pretty chilly after sunset, right?\Yes. Good thing I brought a coat.\So beautiful.\It's a fresh look, and I don't get tired of looking at it.\S-Senpai! What are you saying, all of a sudden!?\Oh, do you not like it that much, Himeragi? response:	No, I do like it... And besides, Nagisa-chan picked it out for me.
context: I will listen to your explanation after that.\It gets pretty chilly after sunset, right?\Yes. Good thing I brought a coat.\So beautiful.\It's a fresh look, and I don't get tired of looking at it.\S-Senpai! What are you saying, all of a sudden!?\Oh, do you not like it that much, Himeragi?\No, I do like it... And besides, Nagisa-chan picked it out for me. response:	Huh? What are you talking about?
context: It gets pretty chilly after sunset, right?\Yes. Good thing I brought a coat.\So beautiful.\It's a fresh look, and I don't get tired of looking at it.\S-Senpai! What are you saying, all of a sudden!?\Oh, do you not like it that much, Himeragi?\No, I do like it... And besides, Nagisa-chan picked it out for me.\Huh? What are you talking about? response:	Ehh? What were you talking about?
context: Yes. Good thing I brought a coat.\So beautiful.\It's a fresh look, and I don't get tired of looking at it.\S-Senpai! What are you saying, all of a sudden!?\Oh, do you not like it that much, Himeragi?\No, I do like it... And besides, Nagisa-chan picked it out for me.\Huh? What are you talking about?\Ehh? What were you talking about? response:	Well... This area was rebuilt recently, so I thought that the view at night looked fresh.
context: So beautiful.\It's a fresh look, and I don't get tired of looking at it.\S-Senpai! What are you saying, all of a sudden!?\Oh, do you not like it that much, Himeragi?\No, I do like it... And besides, Nagisa-chan picked it out for me.\Huh? What are you talking about?\Ehh? What were you talking about?\Well... This area was rebuilt recently, so I thought that the view at night looked fresh. response:	T-The view?
context: It's a fresh look, and I don't get tired of looking at it.\S-Senpai! What are you saying, all of a sudden!?\Oh, do you not like it that much, Himeragi?\No, I do like it... And besides, Nagisa-chan picked it out for me.\Huh? What are you talking about?\Ehh? What were you talking about?\Well... This area was rebuilt recently, so I thought that the view at night looked fresh.\T-The view? response:	Oh, I see. I should have known.
context: S-Senpai! What are you saying, all of a sudden!?\Oh, do you not like it that much, Himeragi?\No, I do like it... And besides, Nagisa-chan picked it out for me.\Huh? What are you talking about?\Ehh? What were you talking about?\Well... This area was rebuilt recently, so I thought that the view at night looked fresh.\T-The view?\Oh, I see. I should have known. response:	But Senpai, aren't you the reason why they had to rebuild it?
context: Oh, do you not like it that much, Himeragi?\No, I do like it... And besides, Nagisa-chan picked it out for me.\Huh? What are you talking about?\Ehh? What were you talking about?\Well... This area was rebuilt recently, so I thought that the view at night looked fresh.\T-The view?\Oh, I see. I should have known.\But Senpai, aren't you the reason why they had to rebuild it? response:	You couldn't control your familiar, and razed everything to the ground.
context: No, I do like it... And besides, Nagisa-chan picked it out for me.\Huh? What are you talking about?\Ehh? What were you talking about?\Well... This area was rebuilt recently, so I thought that the view at night looked fresh.\T-The view?\Oh, I see. I should have known.\But Senpai, aren't you the reason why they had to rebuild it?\You couldn't control your familiar, and razed everything to the ground. response:	It wasn't my fault! That was before I got to suck your blood, Himeragi.
context: Huh? What are you talking about?\Ehh? What were you talking about?\Well... This area was rebuilt recently, so I thought that the view at night looked fresh.\T-The view?\Oh, I see. I should have known.\But Senpai, aren't you the reason why they had to rebuild it?\You couldn't control your familiar, and razed everything to the ground.\It wasn't my fault! That was before I got to suck your blood, Himeragi. response:	You're right.
context: Ehh? What were you talking about?\Well... This area was rebuilt recently, so I thought that the view at night looked fresh.\T-The view?\Oh, I see. I should have known.\But Senpai, aren't you the reason why they had to rebuild it?\You couldn't control your familiar, and razed everything to the ground.\It wasn't my fault! That was before I got to suck your blood, Himeragi.\You're right. response:	Now it's not just me, it looks like you've sucked the blood from several other girls as well.
context: Well... This area was rebuilt recently, so I thought that the view at night looked fresh.\T-The view?\Oh, I see. I should have known.\But Senpai, aren't you the reason why they had to rebuild it?\You couldn't control your familiar, and razed everything to the ground.\It wasn't my fault! That was before I got to suck your blood, Himeragi.\You're right.\Now it's not just me, it looks like you've sucked the blood from several other girls as well. response:	Hang on! Why did you pull your spear out after saying that!?
context: T-The view?\Oh, I see. I should have known.\But Senpai, aren't you the reason why they had to rebuild it?\You couldn't control your familiar, and razed everything to the ground.\It wasn't my fault! That was before I got to suck your blood, Himeragi.\You're right.\Now it's not just me, it looks like you've sucked the blood from several other girls as well.\Hang on! Why did you pull your spear out after saying that!? response:	What the hell is this incredible magical power?
context: Oh, I see. I should have known.\But Senpai, aren't you the reason why they had to rebuild it?\You couldn't control your familiar, and razed everything to the ground.\It wasn't my fault! That was before I got to suck your blood, Himeragi.\You're right.\Now it's not just me, it looks like you've sucked the blood from several other girls as well.\Hang on! Why did you pull your spear out after saying that!?\What the hell is this incredible magical power? response:	You can't stop the Roses of Tartaros the way you are now, Minamiya Natsuki!
context: But Senpai, aren't you the reason why they had to rebuild it?\You couldn't control your familiar, and razed everything to the ground.\It wasn't my fault! That was before I got to suck your blood, Himeragi.\You're right.\Now it's not just me, it looks like you've sucked the blood from several other girls as well.\Hang on! Why did you pull your spear out after saying that!?\What the hell is this incredible magical power?\You can't stop the Roses of Tartaros the way you are now, Minamiya Natsuki! response:	You fiend!
context: You couldn't control your familiar, and razed everything to the ground.\It wasn't my fault! That was before I got to suck your blood, Himeragi.\You're right.\Now it's not just me, it looks like you've sucked the blood from several other girls as well.\Hang on! Why did you pull your spear out after saying that!?\What the hell is this incredible magical power?\You can't stop the Roses of Tartaros the way you are now, Minamiya Natsuki!\You fiend! response:	Golems that control storms and waves!
context: It wasn't my fault! That was before I got to suck your blood, Himeragi.\You're right.\Now it's not just me, it looks like you've sucked the blood from several other girls as well.\Hang on! Why did you pull your spear out after saying that!?\What the hell is this incredible magical power?\You can't stop the Roses of Tartaros the way you are now, Minamiya Natsuki!\You fiend!\Golems that control storms and waves! response:	Don't tell me... Stone Soldiers?
context: You're right.\Now it's not just me, it looks like you've sucked the blood from several other girls as well.\Hang on! Why did you pull your spear out after saying that!?\What the hell is this incredible magical power?\You can't stop the Roses of Tartaros the way you are now, Minamiya Natsuki!\You fiend!\Golems that control storms and waves!\Don't tell me... Stone Soldiers? response:	Come out! Al-Nasl-Minium!
context: Now it's not just me, it looks like you've sucked the blood from several other girls as well.\Hang on! Why did you pull your spear out after saying that!?\What the hell is this incredible magical power?\You can't stop the Roses of Tartaros the way you are now, Minamiya Natsuki!\You fiend!\Golems that control storms and waves!\Don't tell me... Stone Soldiers?\Come out! Al-Nasl-Minium! response:	It's regenerating? Dammit, this will never end!
context: Hang on! Why did you pull your spear out after saying that!?\What the hell is this incredible magical power?\You can't stop the Roses of Tartaros the way you are now, Minamiya Natsuki!\You fiend!\Golems that control storms and waves!\Don't tell me... Stone Soldiers?\Come out! Al-Nasl-Minium!\It's regenerating? Dammit, this will never end! response:	I will defeat the person controlling them. Senpai, please stay here and buy me some time!
context: What the hell is this incredible magical power?\You can't stop the Roses of Tartaros the way you are now, Minamiya Natsuki!\You fiend!\Golems that control storms and waves!\Don't tell me... Stone Soldiers?\Come out! Al-Nasl-Minium!\It's regenerating? Dammit, this will never end!\I will defeat the person controlling them. Senpai, please stay here and buy me some time! response:	Sorry, but...
context: You can't stop the Roses of Tartaros the way you are now, Minamiya Natsuki!\You fiend!\Golems that control storms and waves!\Don't tell me... Stone Soldiers?\Come out! Al-Nasl-Minium!\It's regenerating? Dammit, this will never end!\I will defeat the person controlling them. Senpai, please stay here and buy me some time!\Sorry, but... response:	I can't really let you do that.
context: You fiend!\Golems that control storms and waves!\Don't tell me... Stone Soldiers?\Come out! Al-Nasl-Minium!\It's regenerating? Dammit, this will never end!\I will defeat the person controlling them. Senpai, please stay here and buy me some time!\Sorry, but...\I can't really let you do that. response:	December-san?
context: Golems that control storms and waves!\Don't tell me... Stone Soldiers?\Come out! Al-Nasl-Minium!\It's regenerating? Dammit, this will never end!\I will defeat the person controlling them. Senpai, please stay here and buy me some time!\Sorry, but...\I can't really let you do that.\December-san? response:	I'll leave the rest to you.
context: Don't tell me... Stone Soldiers?\Come out! Al-Nasl-Minium!\It's regenerating? Dammit, this will never end!\I will defeat the person controlling them. Senpai, please stay here and buy me some time!\Sorry, but...\I can't really let you do that.\December-san?\I'll leave the rest to you. response:	You... Are you a member of Tartaros Lapus?
context: Come out! Al-Nasl-Minium!\It's regenerating? Dammit, this will never end!\I will defeat the person controlling them. Senpai, please stay here and buy me some time!\Sorry, but...\I can't really let you do that.\December-san?\I'll leave the rest to you.\You... Are you a member of Tartaros Lapus? response:	A member? That sounds pretty nice.
context: It's regenerating? Dammit, this will never end!\I will defeat the person controlling them. Senpai, please stay here and buy me some time!\Sorry, but...\I can't really let you do that.\December-san?\I'll leave the rest to you.\You... Are you a member of Tartaros Lapus?\A member? That sounds pretty nice. response:	I'm actually the leader, though.
context: I will defeat the person controlling them. Senpai, please stay here and buy me some time!\Sorry, but...\I can't really let you do that.\December-san?\I'll leave the rest to you.\You... Are you a member of Tartaros Lapus?\A member? That sounds pretty nice.\I'm actually the leader, though. response:	The Fourth Primogenitor, Akatsuki Kojou.
context: Sorry, but...\I can't really let you do that.\December-san?\I'll leave the rest to you.\You... Are you a member of Tartaros Lapus?\A member? That sounds pretty nice.\I'm actually the leader, though.\The Fourth Primogenitor, Akatsuki Kojou. response:	What do you say, do you want to join us?
context: I can't really let you do that.\December-san?\I'll leave the rest to you.\You... Are you a member of Tartaros Lapus?\A member? That sounds pretty nice.\I'm actually the leader, though.\The Fourth Primogenitor, Akatsuki Kojou.\What do you say, do you want to join us? response:	Like hell I do!
context: December-san?\I'll leave the rest to you.\You... Are you a member of Tartaros Lapus?\A member? That sounds pretty nice.\I'm actually the leader, though.\The Fourth Primogenitor, Akatsuki Kojou.\What do you say, do you want to join us?\Like hell I do! response:	Really? How unfortunate.
context: I'll leave the rest to you.\You... Are you a member of Tartaros Lapus?\A member? That sounds pretty nice.\I'm actually the leader, though.\The Fourth Primogenitor, Akatsuki Kojou.\What do you say, do you want to join us?\Like hell I do!\Really? How unfortunate. response:	A D-Type!
context: You... Are you a member of Tartaros Lapus?\A member? That sounds pretty nice.\I'm actually the leader, though.\The Fourth Primogenitor, Akatsuki Kojou.\What do you say, do you want to join us?\Like hell I do!\Really? How unfortunate.\A D-Type! response:	Dammit... Al-Nasl-Minium!
context: A member? That sounds pretty nice.\I'm actually the leader, though.\The Fourth Primogenitor, Akatsuki Kojou.\What do you say, do you want to join us?\Like hell I do!\Really? How unfortunate.\A D-Type!\Dammit... Al-Nasl-Minium! response:	Retreat, Al-Nasl-Minium!
context: I'm actually the leader, though.\The Fourth Primogenitor, Akatsuki Kojou.\What do you say, do you want to join us?\Like hell I do!\Really? How unfortunate.\A D-Type!\Dammit... Al-Nasl-Minium!\Retreat, Al-Nasl-Minium! response:	Senpai! What just happened?
context: The Fourth Primogenitor, Akatsuki Kojou.\What do you say, do you want to join us?\Like hell I do!\Really? How unfortunate.\A D-Type!\Dammit... Al-Nasl-Minium!\Retreat, Al-Nasl-Minium!\Senpai! What just happened? response:	Senpai!
context: What do you say, do you want to join us?\Like hell I do!\Really? How unfortunate.\A D-Type!\Dammit... Al-Nasl-Minium!\Retreat, Al-Nasl-Minium!\Senpai! What just happened?\Senpai! response:	You actually took control of the Fourth Primogenitor's mind...
context: Like hell I do!\Really? How unfortunate.\A D-Type!\Dammit... Al-Nasl-Minium!\Retreat, Al-Nasl-Minium!\Senpai! What just happened?\Senpai!\You actually took control of the Fourth Primogenitor's mind... response:	Just who are you?
context: Really? How unfortunate.\A D-Type!\Dammit... Al-Nasl-Minium!\Retreat, Al-Nasl-Minium!\Senpai! What just happened?\Senpai!\You actually took control of the Fourth Primogenitor's mind...\Just who are you? response:	Mind control...?
context: A D-Type!\Dammit... Al-Nasl-Minium!\Retreat, Al-Nasl-Minium!\Senpai! What just happened?\Senpai!\You actually took control of the Fourth Primogenitor's mind...\Just who are you?\Mind control...? response:	Forget about Akatsuki Kojou's familiar, transfer student.
context: Dammit... Al-Nasl-Minium!\Retreat, Al-Nasl-Minium!\Senpai! What just happened?\Senpai!\You actually took control of the Fourth Primogenitor's mind...\Just who are you?\Mind control...?\Forget about Akatsuki Kojou's familiar, transfer student. response:	Your opponent is that girl.
context: Retreat, Al-Nasl-Minium!\Senpai! What just happened?\Senpai!\You actually took control of the Fourth Primogenitor's mind...\Just who are you?\Mind control...?\Forget about Akatsuki Kojou's familiar, transfer student.\Your opponent is that girl. response:	I, Sword Shaman of the High God and priestess of the Lion, beseech thee.
context: Senpai! What just happened?\Senpai!\You actually took control of the Fourth Primogenitor's mind...\Just who are you?\Mind control...?\Forget about Akatsuki Kojou's familiar, transfer student.\Your opponent is that girl.\I, Sword Shaman of the High God and priestess of the Lion, beseech thee. response:	Spirit wolf of snowy mist, fashion a shield from the echoes of the thousand swift ones, and expel this calamity!
context: Senpai!\You actually took control of the Fourth Primogenitor's mind...\Just who are you?\Mind control...?\Forget about Akatsuki Kojou's familiar, transfer student.\Your opponent is that girl.\I, Sword Shaman of the High God and priestess of the Lion, beseech thee.\Spirit wolf of snowy mist, fashion a shield from the echoes of the thousand swift ones, and expel this calamity! response:	Senpai!
