context: The Third Plate response:	Fourteen
context: Every single one of these dishes demonstrate superb craftsmanship.\To think that Director Azami himself would be teaching us!\This concludes the special lesson preceding the advancement exams.\You will be able to take the exam without any fear,\so long as you master the techniques we have shown you here,\as you see how Central's antagonists falter and fail.\Yes, sir!\It is tradition to hold the annual advancement exams for first-years in Hokkaido. response:	Advancement Exams
context: To think that Director Azami himself would be teaching us!\This concludes the special lesson preceding the advancement exams.\You will be able to take the exam without any fear,\so long as you master the techniques we have shown you here,\as you see how Central's antagonists falter and fail.\Yes, sir!\It is tradition to hold the annual advancement exams for first-years in Hokkaido.\Advancement Exams response:	Hokkaido, huh.
context: This concludes the special lesson preceding the advancement exams.\You will be able to take the exam without any fear,\so long as you master the techniques we have shown you here,\as you see how Central's antagonists falter and fail.\Yes, sir!\It is tradition to hold the annual advancement exams for first-years in Hokkaido.\Advancement Exams\Hokkaido, huh. response:	Is it going to be like the camp from hell?
context: You will be able to take the exam without any fear,\so long as you master the techniques we have shown you here,\as you see how Central's antagonists falter and fail.\Yes, sir!\It is tradition to hold the annual advancement exams for first-years in Hokkaido.\Advancement Exams\Hokkaido, huh.\Is it going to be like the camp from hell? response:	There are many similarities,
context: so long as you master the techniques we have shown you here,\as you see how Central's antagonists falter and fail.\Yes, sir!\It is tradition to hold the annual advancement exams for first-years in Hokkaido.\Advancement Exams\Hokkaido, huh.\Is it going to be like the camp from hell?\There are many similarities, response:	but there is one major difference.
context: as you see how Central's antagonists falter and fail.\Yes, sir!\It is tradition to hold the annual advancement exams for first-years in Hokkaido.\Advancement Exams\Hokkaido, huh.\Is it going to be like the camp from hell?\There are many similarities,\but there is one major difference. response:	We will be changing locations after we clear every topic.
context: Yes, sir!\It is tradition to hold the annual advancement exams for first-years in Hokkaido.\Advancement Exams\Hokkaido, huh.\Is it going to be like the camp from hell?\There are many similarities,\but there is one major difference.\We will be changing locations after we clear every topic. response:	We begin at the prefecture's southern tip,
context: It is tradition to hold the annual advancement exams for first-years in Hokkaido.\Advancement Exams\Hokkaido, huh.\Is it going to be like the camp from hell?\There are many similarities,\but there is one major difference.\We will be changing locations after we clear every topic.\We begin at the prefecture's southern tip, response:	then continue moving north as we clear each stage of the exams.
context: Advancement Exams\Hokkaido, huh.\Is it going to be like the camp from hell?\There are many similarities,\but there is one major difference.\We will be changing locations after we clear every topic.\We begin at the prefecture's southern tip,\then continue moving north as we clear each stage of the exams. response:	The academy possesses many lodging facilities across the prefecture, you see.
context: Hokkaido, huh.\Is it going to be like the camp from hell?\There are many similarities,\but there is one major difference.\We will be changing locations after we clear every topic.\We begin at the prefecture's southern tip,\then continue moving north as we clear each stage of the exams.\The academy possesses many lodging facilities across the prefecture, you see. response:	Huh, so we're gonna travel all over Hokkaido.
context: Is it going to be like the camp from hell?\There are many similarities,\but there is one major difference.\We will be changing locations after we clear every topic.\We begin at the prefecture's southern tip,\then continue moving north as we clear each stage of the exams.\The academy possesses many lodging facilities across the prefecture, you see.\Huh, so we're gonna travel all over Hokkaido. response:	That's pretty grand.
context: There are many similarities,\but there is one major difference.\We will be changing locations after we clear every topic.\We begin at the prefecture's southern tip,\then continue moving north as we clear each stage of the exams.\The academy possesses many lodging facilities across the prefecture, you see.\Huh, so we're gonna travel all over Hokkaido.\That's pretty grand. response:	There are points where the route diverges, as well.
context: but there is one major difference.\We will be changing locations after we clear every topic.\We begin at the prefecture's southern tip,\then continue moving north as we clear each stage of the exams.\The academy possesses many lodging facilities across the prefecture, you see.\Huh, so we're gonna travel all over Hokkaido.\That's pretty grand.\There are points where the route diverges, as well. response:	The final stage of the exams occurs on this isolated island at the very north.
context: We will be changing locations after we clear every topic.\We begin at the prefecture's southern tip,\then continue moving north as we clear each stage of the exams.\The academy possesses many lodging facilities across the prefecture, you see.\Huh, so we're gonna travel all over Hokkaido.\That's pretty grand.\There are points where the route diverges, as well.\The final stage of the exams occurs on this isolated island at the very north. response:	There's no doubt that ingredients Hokkaido
context: We begin at the prefecture's southern tip,\then continue moving north as we clear each stage of the exams.\The academy possesses many lodging facilities across the prefecture, you see.\Huh, so we're gonna travel all over Hokkaido.\That's pretty grand.\There are points where the route diverges, as well.\The final stage of the exams occurs on this isolated island at the very north.\There's no doubt that ingredients Hokkaido response:	is known for will be featured this year, as well.
context: then continue moving north as we clear each stage of the exams.\The academy possesses many lodging facilities across the prefecture, you see.\Huh, so we're gonna travel all over Hokkaido.\That's pretty grand.\There are points where the route diverges, as well.\The final stage of the exams occurs on this isolated island at the very north.\There's no doubt that ingredients Hokkaido\is known for will be featured this year, as well. response:	But the situation has changed drastically,
context: The academy possesses many lodging facilities across the prefecture, you see.\Huh, so we're gonna travel all over Hokkaido.\That's pretty grand.\There are points where the route diverges, as well.\The final stage of the exams occurs on this isolated island at the very north.\There's no doubt that ingredients Hokkaido\is known for will be featured this year, as well.\But the situation has changed drastically, response:	given that everything is now under Central's control.
context: Huh, so we're gonna travel all over Hokkaido.\That's pretty grand.\There are points where the route diverges, as well.\The final stage of the exams occurs on this isolated island at the very north.\There's no doubt that ingredients Hokkaido\is known for will be featured this year, as well.\But the situation has changed drastically,\given that everything is now under Central's control. response:	Yes, that's why you all must prepare.
context: That's pretty grand.\There are points where the route diverges, as well.\The final stage of the exams occurs on this isolated island at the very north.\There's no doubt that ingredients Hokkaido\is known for will be featured this year, as well.\But the situation has changed drastically,\given that everything is now under Central's control.\Yes, that's why you all must prepare. response:	Prepare so that you can be flexible when you get there!
context: There are points where the route diverges, as well.\The final stage of the exams occurs on this isolated island at the very north.\There's no doubt that ingredients Hokkaido\is known for will be featured this year, as well.\But the situation has changed drastically,\given that everything is now under Central's control.\Yes, that's why you all must prepare.\Prepare so that you can be flexible when you get there! response:	For the next seven days until our departure,
context: The final stage of the exams occurs on this isolated island at the very north.\There's no doubt that ingredients Hokkaido\is known for will be featured this year, as well.\But the situation has changed drastically,\given that everything is now under Central's control.\Yes, that's why you all must prepare.\Prepare so that you can be flexible when you get there!\For the next seven days until our departure, response:	I'll hold a Hokkaido seminar for you!
context: There's no doubt that ingredients Hokkaido\is known for will be featured this year, as well.\But the situation has changed drastically,\given that everything is now under Central's control.\Yes, that's why you all must prepare.\Prepare so that you can be flexible when you get there!\For the next seven days until our departure,\I'll hold a Hokkaido seminar for you! response:	What's with the sexy teacher get-up?
context: is known for will be featured this year, as well.\But the situation has changed drastically,\given that everything is now under Central's control.\Yes, that's why you all must prepare.\Prepare so that you can be flexible when you get there!\For the next seven days until our departure,\I'll hold a Hokkaido seminar for you!\What's with the sexy teacher get-up? response:	A Hokkaido seminar?!
context: But the situation has changed drastically,\given that everything is now under Central's control.\Yes, that's why you all must prepare.\Prepare so that you can be flexible when you get there!\For the next seven days until our departure,\I'll hold a Hokkaido seminar for you!\What's with the sexy teacher get-up?\A Hokkaido seminar?! response:	I have been exposed to a wide variety of ingredients from across
context: given that everything is now under Central's control.\Yes, that's why you all must prepare.\Prepare so that you can be flexible when you get there!\For the next seven days until our departure,\I'll hold a Hokkaido seminar for you!\What's with the sexy teacher get-up?\A Hokkaido seminar?!\I have been exposed to a wide variety of ingredients from across response:	the country since childhood.
context: Yes, that's why you all must prepare.\Prepare so that you can be flexible when you get there!\For the next seven days until our departure,\I'll hold a Hokkaido seminar for you!\What's with the sexy teacher get-up?\A Hokkaido seminar?!\I have been exposed to a wide variety of ingredients from across\the country since childhood. response:	Those from Hokkaido were no exception.
context: Prepare so that you can be flexible when you get there!\For the next seven days until our departure,\I'll hold a Hokkaido seminar for you!\What's with the sexy teacher get-up?\A Hokkaido seminar?!\I have been exposed to a wide variety of ingredients from across\the country since childhood.\Those from Hokkaido were no exception. response:	I am going to impart my knowledge to you.
context: For the next seven days until our departure,\I'll hold a Hokkaido seminar for you!\What's with the sexy teacher get-up?\A Hokkaido seminar?!\I have been exposed to a wide variety of ingredients from across\the country since childhood.\Those from Hokkaido were no exception.\I am going to impart my knowledge to you. response:	I'm giving you more ammunition!
context: I'll hold a Hokkaido seminar for you!\What's with the sexy teacher get-up?\A Hokkaido seminar?!\I have been exposed to a wide variety of ingredients from across\the country since childhood.\Those from Hokkaido were no exception.\I am going to impart my knowledge to you.\I'm giving you more ammunition! response:	Ammunition you can use to fight your way through the exams!
context: What's with the sexy teacher get-up?\A Hokkaido seminar?!\I have been exposed to a wide variety of ingredients from across\the country since childhood.\Those from Hokkaido were no exception.\I am going to impart my knowledge to you.\I'm giving you more ammunition!\Ammunition you can use to fight your way through the exams! response:	Also...
context: A Hokkaido seminar?!\I have been exposed to a wide variety of ingredients from across\the country since childhood.\Those from Hokkaido were no exception.\I am going to impart my knowledge to you.\I'm giving you more ammunition!\Ammunition you can use to fight your way through the exams!\Also... response:	I'll be a bit harsh, but I will not allow any complaining.
context: I have been exposed to a wide variety of ingredients from across\the country since childhood.\Those from Hokkaido were no exception.\I am going to impart my knowledge to you.\I'm giving you more ammunition!\Ammunition you can use to fight your way through the exams!\Also...\I'll be a bit harsh, but I will not allow any complaining. response:	I trust you will keep up?
context: the country since childhood.\Those from Hokkaido were no exception.\I am going to impart my knowledge to you.\I'm giving you more ammunition!\Ammunition you can use to fight your way through the exams!\Also...\I'll be a bit harsh, but I will not allow any complaining.\I trust you will keep up? response:	Yes!
context: Those from Hokkaido were no exception.\I am going to impart my knowledge to you.\I'm giving you more ammunition!\Ammunition you can use to fight your way through the exams!\Also...\I'll be a bit harsh, but I will not allow any complaining.\I trust you will keep up?\Yes! response:	Huh?
context: I am going to impart my knowledge to you.\I'm giving you more ammunition!\Ammunition you can use to fight your way through the exams!\Also...\I'll be a bit harsh, but I will not allow any complaining.\I trust you will keep up?\Yes!\Huh? response:	Hm?
context: I'm giving you more ammunition!\Ammunition you can use to fight your way through the exams!\Also...\I'll be a bit harsh, but I will not allow any complaining.\I trust you will keep up?\Yes!\Huh?\Hm? response:	Oh.
context: Ammunition you can use to fight your way through the exams!\Also...\I'll be a bit harsh, but I will not allow any complaining.\I trust you will keep up?\Yes!\Huh?\Hm?\Oh. response:	Hello, Mito-san.
context: Also...\I'll be a bit harsh, but I will not allow any complaining.\I trust you will keep up?\Yes!\Huh?\Hm?\Oh.\Hello, Mito-san. response:	Potatoes.
context: I'll be a bit harsh, but I will not allow any complaining.\I trust you will keep up?\Yes!\Huh?\Hm?\Oh.\Hello, Mito-san.\Potatoes. response:	These are essential in any discussion of Hokkaido's culinary scene.
context: I trust you will keep up?\Yes!\Huh?\Hm?\Oh.\Hello, Mito-san.\Potatoes.\These are essential in any discussion of Hokkaido's culinary scene. response:	Indeed. Hokkaido produces 80 percent of the nation's potatoes.
context: Yes!\Huh?\Hm?\Oh.\Hello, Mito-san.\Potatoes.\These are essential in any discussion of Hokkaido's culinary scene.\Indeed. Hokkaido produces 80 percent of the nation's potatoes. response:	Fifty varieties are grown there.
context: Huh?\Hm?\Oh.\Hello, Mito-san.\Potatoes.\These are essential in any discussion of Hokkaido's culinary scene.\Indeed. Hokkaido produces 80 percent of the nation's potatoes.\Fifty varieties are grown there. response:	To start, I'll have you memorize the characteristics of all the varieties.
context: Hm?\Oh.\Hello, Mito-san.\Potatoes.\These are essential in any discussion of Hokkaido's culinary scene.\Indeed. Hokkaido produces 80 percent of the nation's potatoes.\Fifty varieties are grown there.\To start, I'll have you memorize the characteristics of all the varieties. response:	Huh?! All 50 varieties?!
context: Oh.\Hello, Mito-san.\Potatoes.\These are essential in any discussion of Hokkaido's culinary scene.\Indeed. Hokkaido produces 80 percent of the nation's potatoes.\Fifty varieties are grown there.\To start, I'll have you memorize the characteristics of all the varieties.\Huh?! All 50 varieties?! response:	After we're done with potatoes,
context: Hello, Mito-san.\Potatoes.\These are essential in any discussion of Hokkaido's culinary scene.\Indeed. Hokkaido produces 80 percent of the nation's potatoes.\Fifty varieties are grown there.\To start, I'll have you memorize the characteristics of all the varieties.\Huh?! All 50 varieties?!\After we're done with potatoes, response:	I'll hammer in knowledge of all other ingredients unique to Hokkaido,
context: Potatoes.\These are essential in any discussion of Hokkaido's culinary scene.\Indeed. Hokkaido produces 80 percent of the nation's potatoes.\Fifty varieties are grown there.\To start, I'll have you memorize the characteristics of all the varieties.\Huh?! All 50 varieties?!\After we're done with potatoes,\I'll hammer in knowledge of all other ingredients unique to Hokkaido, response:	such as vegetables, seafood, beef, and wild game.
context: These are essential in any discussion of Hokkaido's culinary scene.\Indeed. Hokkaido produces 80 percent of the nation's potatoes.\Fifty varieties are grown there.\To start, I'll have you memorize the characteristics of all the varieties.\Huh?! All 50 varieties?!\After we're done with potatoes,\I'll hammer in knowledge of all other ingredients unique to Hokkaido,\such as vegetables, seafood, beef, and wild game. response:	But there's only a week left!
context: Indeed. Hokkaido produces 80 percent of the nation's potatoes.\Fifty varieties are grown there.\To start, I'll have you memorize the characteristics of all the varieties.\Huh?! All 50 varieties?!\After we're done with potatoes,\I'll hammer in knowledge of all other ingredients unique to Hokkaido,\such as vegetables, seafood, beef, and wild game.\But there's only a week left! response:	That's right!
context: Fifty varieties are grown there.\To start, I'll have you memorize the characteristics of all the varieties.\Huh?! All 50 varieties?!\After we're done with potatoes,\I'll hammer in knowledge of all other ingredients unique to Hokkaido,\such as vegetables, seafood, beef, and wild game.\But there's only a week left!\That's right! response:	Put your backs to it!
context: To start, I'll have you memorize the characteristics of all the varieties.\Huh?! All 50 varieties?!\After we're done with potatoes,\I'll hammer in knowledge of all other ingredients unique to Hokkaido,\such as vegetables, seafood, beef, and wild game.\But there's only a week left!\That's right!\Put your backs to it! response:	Erina-sama... so cool.
context: Huh?! All 50 varieties?!\After we're done with potatoes,\I'll hammer in knowledge of all other ingredients unique to Hokkaido,\such as vegetables, seafood, beef, and wild game.\But there's only a week left!\That's right!\Put your backs to it!\Erina-sama... so cool. response:	She's really fired up.
context: After we're done with potatoes,\I'll hammer in knowledge of all other ingredients unique to Hokkaido,\such as vegetables, seafood, beef, and wild game.\But there's only a week left!\That's right!\Put your backs to it!\Erina-sama... so cool.\She's really fired up. response:	I bet Nakiri Azami has no idea this is happening.
context: I'll hammer in knowledge of all other ingredients unique to Hokkaido,\such as vegetables, seafood, beef, and wild game.\But there's only a week left!\That's right!\Put your backs to it!\Erina-sama... so cool.\She's really fired up.\I bet Nakiri Azami has no idea this is happening. response:	Hey!
context: such as vegetables, seafood, beef, and wild game.\But there's only a week left!\That's right!\Put your backs to it!\Erina-sama... so cool.\She's really fired up.\I bet Nakiri Azami has no idea this is happening.\Hey! response:	Yukihira...
context: But there's only a week left!\That's right!\Put your backs to it!\Erina-sama... so cool.\She's really fired up.\I bet Nakiri Azami has no idea this is happening.\Hey!\Yukihira... response:	Mito-san!
context: That's right!\Put your backs to it!\Erina-sama... so cool.\She's really fired up.\I bet Nakiri Azami has no idea this is happening.\Hey!\Yukihira...\Mito-san! response:	Aldini Brothers!
context: Put your backs to it!\Erina-sama... so cool.\She's really fired up.\I bet Nakiri Azami has no idea this is happening.\Hey!\Yukihira...\Mito-san!\Aldini Brothers! response:	You all should attend my seminar, too!
context: Erina-sama... so cool.\She's really fired up.\I bet Nakiri Azami has no idea this is happening.\Hey!\Yukihira...\Mito-san!\Aldini Brothers!\You all should attend my seminar, too! response:	Huh?
context: She's really fired up.\I bet Nakiri Azami has no idea this is happening.\Hey!\Yukihira...\Mito-san!\Aldini Brothers!\You all should attend my seminar, too!\Huh? response:	Us, too?
context: I bet Nakiri Azami has no idea this is happening.\Hey!\Yukihira...\Mito-san!\Aldini Brothers!\You all should attend my seminar, too!\Huh?\Us, too? response:	You're also against Central's methods, aren't you?
context: Hey!\Yukihira...\Mito-san!\Aldini Brothers!\You all should attend my seminar, too!\Huh?\Us, too?\You're also against Central's methods, aren't you? response:	You have nothing to lose by listening in, then.
context: Yukihira...\Mito-san!\Aldini Brothers!\You all should attend my seminar, too!\Huh?\Us, too?\You're also against Central's methods, aren't you?\You have nothing to lose by listening in, then. response:	Yup, yup.
context: Mito-san!\Aldini Brothers!\You all should attend my seminar, too!\Huh?\Us, too?\You're also against Central's methods, aren't you?\You have nothing to lose by listening in, then.\Yup, yup. response:	Toyohiro, Snowden, Kita Hime, Sayaka...
context: Aldini Brothers!\You all should attend my seminar, too!\Huh?\Us, too?\You're also against Central's methods, aren't you?\You have nothing to lose by listening in, then.\Yup, yup.\Toyohiro, Snowden, Kita Hime, Sayaka... response:	May Queen, Toya, Kita Akari, Kona Fubuki, Early Starch...
context: You all should attend my seminar, too!\Huh?\Us, too?\You're also against Central's methods, aren't you?\You have nothing to lose by listening in, then.\Yup, yup.\Toyohiro, Snowden, Kita Hime, Sayaka...\May Queen, Toya, Kita Akari, Kona Fubuki, Early Starch... response:	Why do you look like this doesn't concern you?
context: Huh?\Us, too?\You're also against Central's methods, aren't you?\You have nothing to lose by listening in, then.\Yup, yup.\Toyohiro, Snowden, Kita Hime, Sayaka...\May Queen, Toya, Kita Akari, Kona Fubuki, Early Starch...\Why do you look like this doesn't concern you? response:	You have to attend the seminar, too!
context: Us, too?\You're also against Central's methods, aren't you?\You have nothing to lose by listening in, then.\Yup, yup.\Toyohiro, Snowden, Kita Hime, Sayaka...\May Queen, Toya, Kita Akari, Kona Fubuki, Early Starch...\Why do you look like this doesn't concern you?\You have to attend the seminar, too! response:	Fine, fine.
context: You're also against Central's methods, aren't you?\You have nothing to lose by listening in, then.\Yup, yup.\Toyohiro, Snowden, Kita Hime, Sayaka...\May Queen, Toya, Kita Akari, Kona Fubuki, Early Starch...\Why do you look like this doesn't concern you?\You have to attend the seminar, too!\Fine, fine. response:	But you know what, Nakiri?
context: You have nothing to lose by listening in, then.\Yup, yup.\Toyohiro, Snowden, Kita Hime, Sayaka...\May Queen, Toya, Kita Akari, Kona Fubuki, Early Starch...\Why do you look like this doesn't concern you?\You have to attend the seminar, too!\Fine, fine.\But you know what, Nakiri? response:	Will this really help in the exams?
context: Yup, yup.\Toyohiro, Snowden, Kita Hime, Sayaka...\May Queen, Toya, Kita Akari, Kona Fubuki, Early Starch...\Why do you look like this doesn't concern you?\You have to attend the seminar, too!\Fine, fine.\But you know what, Nakiri?\Will this really help in the exams? response:	We don't even know what the academy's gonna throw at us.
context: Toyohiro, Snowden, Kita Hime, Sayaka...\May Queen, Toya, Kita Akari, Kona Fubuki, Early Starch...\Why do you look like this doesn't concern you?\You have to attend the seminar, too!\Fine, fine.\But you know what, Nakiri?\Will this really help in the exams?\We don't even know what the academy's gonna throw at us. response:	As long as they continue assigning topics,
context: May Queen, Toya, Kita Akari, Kona Fubuki, Early Starch...\Why do you look like this doesn't concern you?\You have to attend the seminar, too!\Fine, fine.\But you know what, Nakiri?\Will this really help in the exams?\We don't even know what the academy's gonna throw at us.\As long as they continue assigning topics, response:	there will always be a way to come up with an answer,
context: Why do you look like this doesn't concern you?\You have to attend the seminar, too!\Fine, fine.\But you know what, Nakiri?\Will this really help in the exams?\We don't even know what the academy's gonna throw at us.\As long as they continue assigning topics,\there will always be a way to come up with an answer, response:	just like you have always done.
context: You have to attend the seminar, too!\Fine, fine.\But you know what, Nakiri?\Will this really help in the exams?\We don't even know what the academy's gonna throw at us.\As long as they continue assigning topics,\there will always be a way to come up with an answer,\just like you have always done. response:	We're going to find a way.
context: Fine, fine.\But you know what, Nakiri?\Will this really help in the exams?\We don't even know what the academy's gonna throw at us.\As long as they continue assigning topics,\there will always be a way to come up with an answer,\just like you have always done.\We're going to find a way. response:	These people are capable of that.
context: But you know what, Nakiri?\Will this really help in the exams?\We don't even know what the academy's gonna throw at us.\As long as they continue assigning topics,\there will always be a way to come up with an answer,\just like you have always done.\We're going to find a way.\These people are capable of that. response:	No, no!
context: Will this really help in the exams?\We don't even know what the academy's gonna throw at us.\As long as they continue assigning topics,\there will always be a way to come up with an answer,\just like you have always done.\We're going to find a way.\These people are capable of that.\No, no! response:	You're all staying until you memorize them!
context: We don't even know what the academy's gonna throw at us.\As long as they continue assigning topics,\there will always be a way to come up with an answer,\just like you have always done.\We're going to find a way.\These people are capable of that.\No, no!\You're all staying until you memorize them! response:	Nakiri, you shouldn't put your nose to the grindstone like that.
context: As long as they continue assigning topics,\there will always be a way to come up with an answer,\just like you have always done.\We're going to find a way.\These people are capable of that.\No, no!\You're all staying until you memorize them!\Nakiri, you shouldn't put your nose to the grindstone like that. response:	You should take a bath and get some rest.
context: there will always be a way to come up with an answer,\just like you have always done.\We're going to find a way.\These people are capable of that.\No, no!\You're all staying until you memorize them!\Nakiri, you shouldn't put your nose to the grindstone like that.\You should take a bath and get some rest. response:	This is nothing, really.
context: just like you have always done.\We're going to find a way.\These people are capable of that.\No, no!\You're all staying until you memorize them!\Nakiri, you shouldn't put your nose to the grindstone like that.\You should take a bath and get some rest.\This is nothing, really. response:	Well, I guess.
context: We're going to find a way.\These people are capable of that.\No, no!\You're all staying until you memorize them!\Nakiri, you shouldn't put your nose to the grindstone like that.\You should take a bath and get some rest.\This is nothing, really.\Well, I guess. response:	You're gonna make or break our advancement.
context: These people are capable of that.\No, no!\You're all staying until you memorize them!\Nakiri, you shouldn't put your nose to the grindstone like that.\You should take a bath and get some rest.\This is nothing, really.\Well, I guess.\You're gonna make or break our advancement. response:	We definitely don't mind you working hard on this.
context: No, no!\You're all staying until you memorize them!\Nakiri, you shouldn't put your nose to the grindstone like that.\You should take a bath and get some rest.\This is nothing, really.\Well, I guess.\You're gonna make or break our advancement.\We definitely don't mind you working hard on this. response:	This concerns you, too.
context: You're all staying until you memorize them!\Nakiri, you shouldn't put your nose to the grindstone like that.\You should take a bath and get some rest.\This is nothing, really.\Well, I guess.\You're gonna make or break our advancement.\We definitely don't mind you working hard on this.\This concerns you, too. response:	You're acting like this isn't about you, but you have to pass the exams, too.
context: Nakiri, you shouldn't put your nose to the grindstone like that.\You should take a bath and get some rest.\This is nothing, really.\Well, I guess.\You're gonna make or break our advancement.\We definitely don't mind you working hard on this.\This concerns you, too.\You're acting like this isn't about you, but you have to pass the exams, too. response:	Understood?
