context: I see. response:	You found the candidate who could become the next queen?
context: Yes, somehow.\I can't believe that rotten noble released that monster just to take out Naofumi!\Seriously.\Keel-kun...\Raphtalia-chan...\Okay, what now\How'd it find us?\Shit. We're screwed if it charges at us now. response:	You stupid...
context: I can't believe that rotten noble released that monster just to take out Naofumi!\Seriously.\Keel-kun...\Raphtalia-chan...\Okay, what now\How'd it find us?\Shit. We're screwed if it charges at us now.\You stupid... response:	Filo-chan?
context: Seriously.\Keel-kun...\Raphtalia-chan...\Okay, what now\How'd it find us?\Shit. We're screwed if it charges at us now.\You stupid...\Filo-chan? response:	Filo!
context: Keel-kun...\Raphtalia-chan...\Okay, what now\How'd it find us?\Shit. We're screwed if it charges at us now.\You stupid...\Filo-chan?\Filo! response:	Are you going to fight here?
context: Raphtalia-chan...\Okay, what now\How'd it find us?\Shit. We're screwed if it charges at us now.\You stupid...\Filo-chan?\Filo!\Are you going to fight here? response:	We're in the center of town, you know!
context: Okay, what now\How'd it find us?\Shit. We're screwed if it charges at us now.\You stupid...\Filo-chan?\Filo!\Are you going to fight here?\We're in the center of town, you know! response:	I know! We'll lure it out of town first!
context: How'd it find us?\Shit. We're screwed if it charges at us now.\You stupid...\Filo-chan?\Filo!\Are you going to fight here?\We're in the center of town, you know!\I know! We'll lure it out of town first! response:	But...
context: Shit. We're screwed if it charges at us now.\You stupid...\Filo-chan?\Filo!\Are you going to fight here?\We're in the center of town, you know!\I know! We'll lure it out of town first!\But... response:	How?
context: You stupid...\Filo-chan?\Filo!\Are you going to fight here?\We're in the center of town, you know!\I know! We'll lure it out of town first!\But...\How? response:	Hey, Naofumi.
context: Filo-chan?\Filo!\Are you going to fight here?\We're in the center of town, you know!\I know! We'll lure it out of town first!\But...\How?\Hey, Naofumi. response:	What?
context: Filo!\Are you going to fight here?\We're in the center of town, you know!\I know! We'll lure it out of town first!\But...\How?\Hey, Naofumi.\What? response:	Look at Filo-chan's belly.
context: Are you going to fight here?\We're in the center of town, you know!\I know! We'll lure it out of town first!\But...\How?\Hey, Naofumi.\What?\Look at Filo-chan's belly. response:	Now look at the monster.
context: We're in the center of town, you know!\I know! We'll lure it out of town first!\But...\How?\Hey, Naofumi.\What?\Look at Filo-chan's belly.\Now look at the monster. response:	Maybe it's really coming after...
context: I know! We'll lure it out of town first!\But...\How?\Hey, Naofumi.\What?\Look at Filo-chan's belly.\Now look at the monster.\Maybe it's really coming after... response:	Filo?
context: But...\How?\Hey, Naofumi.\What?\Look at Filo-chan's belly.\Now look at the monster.\Maybe it's really coming after...\Filo? response:	Yes.
context: How?\Hey, Naofumi.\What?\Look at Filo-chan's belly.\Now look at the monster.\Maybe it's really coming after...\Filo?\Yes. response:	Then she can lure it out of town.
context: Hey, Naofumi.\What?\Look at Filo-chan's belly.\Now look at the monster.\Maybe it's really coming after...\Filo?\Yes.\Then she can lure it out of town. response:	But...
context: What?\Look at Filo-chan's belly.\Now look at the monster.\Maybe it's really coming after...\Filo?\Yes.\Then she can lure it out of town.\But... response:	Don't worry.
context: Look at Filo-chan's belly.\Now look at the monster.\Maybe it's really coming after...\Filo?\Yes.\Then she can lure it out of town.\But...\Don't worry. response:	I'll take these kids and run.
context: Now look at the monster.\Maybe it's really coming after...\Filo?\Yes.\Then she can lure it out of town.\But...\Don't worry.\I'll take these kids and run. response:	Thanks. Please do.
context: Maybe it's really coming after...\Filo?\Yes.\Then she can lure it out of town.\But...\Don't worry.\I'll take these kids and run.\Thanks. Please do. response:	Raphtalia...
context: Filo?\Yes.\Then she can lure it out of town.\But...\Don't worry.\I'll take these kids and run.\Thanks. Please do.\Raphtalia... response:	Say, Raphtalia-chan.
context: Yes.\Then she can lure it out of town.\But...\Don't worry.\I'll take these kids and run.\Thanks. Please do.\Raphtalia...\Say, Raphtalia-chan. response:	You're in the Shield Hero's party, aren't you?
context: Then she can lure it out of town.\But...\Don't worry.\I'll take these kids and run.\Thanks. Please do.\Raphtalia...\Say, Raphtalia-chan.\You're in the Shield Hero's party, aren't you? response:	Yes.
context: But...\Don't worry.\I'll take these kids and run.\Thanks. Please do.\Raphtalia...\Say, Raphtalia-chan.\You're in the Shield Hero's party, aren't you?\Yes. response:	Then you should go.
context: Don't worry.\I'll take these kids and run.\Thanks. Please do.\Raphtalia...\Say, Raphtalia-chan.\You're in the Shield Hero's party, aren't you?\Yes.\Then you should go. response:	I'll be fine.
context: I'll take these kids and run.\Thanks. Please do.\Raphtalia...\Say, Raphtalia-chan.\You're in the Shield Hero's party, aren't you?\Yes.\Then you should go.\I'll be fine. response:	Go on.
context: Thanks. Please do.\Raphtalia...\Say, Raphtalia-chan.\You're in the Shield Hero's party, aren't you?\Yes.\Then you should go.\I'll be fine.\Go on. response:	Keel-kun...
context: Raphtalia...\Say, Raphtalia-chan.\You're in the Shield Hero's party, aren't you?\Yes.\Then you should go.\I'll be fine.\Go on.\Keel-kun... response:	Rest assured.
context: Say, Raphtalia-chan.\You're in the Shield Hero's party, aren't you?\Yes.\Then you should go.\I'll be fine.\Go on.\Keel-kun...\Rest assured. response:	I'll go meet up with my people.
context: You're in the Shield Hero's party, aren't you?\Yes.\Then you should go.\I'll be fine.\Go on.\Keel-kun...\Rest assured.\I'll go meet up with my people. response:	Van-sama!
context: Yes.\Then you should go.\I'll be fine.\Go on.\Keel-kun...\Rest assured.\I'll go meet up with my people.\Van-sama! response:	I understand.
context: Then you should go.\I'll be fine.\Go on.\Keel-kun...\Rest assured.\I'll go meet up with my people.\Van-sama!\I understand. response:	Please take care of Keel-kun.
context: I'll be fine.\Go on.\Keel-kun...\Rest assured.\I'll go meet up with my people.\Van-sama!\I understand.\Please take care of Keel-kun. response:	Certainly.
context: Go on.\Keel-kun...\Rest assured.\I'll go meet up with my people.\Van-sama!\I understand.\Please take care of Keel-kun.\Certainly. response:	Filo!
context: Keel-kun...\Rest assured.\I'll go meet up with my people.\Van-sama!\I understand.\Please take care of Keel-kun.\Certainly.\Filo! response:	Yeah!
context: Rest assured.\I'll go meet up with my people.\Van-sama!\I understand.\Please take care of Keel-kun.\Certainly.\Filo!\Yeah! response:	Be careful.
context: I'll go meet up with my people.\Van-sama!\I understand.\Please take care of Keel-kun.\Certainly.\Filo!\Yeah!\Be careful. response:	I will.
context: Van-sama!\I understand.\Please take care of Keel-kun.\Certainly.\Filo!\Yeah!\Be careful.\I will. response:	I'm sure we'll meet again.
context: I understand.\Please take care of Keel-kun.\Certainly.\Filo!\Yeah!\Be careful.\I will.\I'm sure we'll meet again. response:	Let's go!
context: Please take care of Keel-kun.\Certainly.\Filo!\Yeah!\Be careful.\I will.\I'm sure we'll meet again.\Let's go! response:	Yeah!
context: Certainly.\Filo!\Yeah!\Be careful.\I will.\I'm sure we'll meet again.\Let's go!\Yeah! response:	Roger!
context: Filo!\Yeah!\Be careful.\I will.\I'm sure we'll meet again.\Let's go!\Yeah!\Roger! response:	Run away!
context: Yeah!\Be careful.\I will.\I'm sure we'll meet again.\Let's go!\Yeah!\Roger!\Run away! response:	That way, Filo!
context: Be careful.\I will.\I'm sure we'll meet again.\Let's go!\Yeah!\Roger!\Run away!\That way, Filo! response:	Gotcha!
context: I will.\I'm sure we'll meet again.\Let's go!\Yeah!\Roger!\Run away!\That way, Filo!\Gotcha! response:	It really is coming after Filo-chan.
context: I'm sure we'll meet again.\Let's go!\Yeah!\Roger!\Run away!\That way, Filo!\Gotcha!\It really is coming after Filo-chan. response:	Yeah.
context: Let's go!\Yeah!\Roger!\Run away!\That way, Filo!\Gotcha!\It really is coming after Filo-chan.\Yeah. response:	I'm sorry I gave away that bracelet.
context: Yeah!\Roger!\Run away!\That way, Filo!\Gotcha!\It really is coming after Filo-chan.\Yeah.\I'm sorry I gave away that bracelet. response:	It's yours now. You're free to do whatever you want with it.
context: Roger!\Run away!\That way, Filo!\Gotcha!\It really is coming after Filo-chan.\Yeah.\I'm sorry I gave away that bracelet.\It's yours now. You're free to do whatever you want with it. response:	How far are we going?
context: Run away!\That way, Filo!\Gotcha!\It really is coming after Filo-chan.\Yeah.\I'm sorry I gave away that bracelet.\It's yours now. You're free to do whatever you want with it.\How far are we going? response:	As far as possible.
context: That way, Filo!\Gotcha!\It really is coming after Filo-chan.\Yeah.\I'm sorry I gave away that bracelet.\It's yours now. You're free to do whatever you want with it.\How far are we going?\As far as possible. response:	We're almost past the forest!
context: Gotcha!\It really is coming after Filo-chan.\Yeah.\I'm sorry I gave away that bracelet.\It's yours now. You're free to do whatever you want with it.\How far are we going?\As far as possible.\We're almost past the forest! response:	This place will do.
context: It really is coming after Filo-chan.\Yeah.\I'm sorry I gave away that bracelet.\It's yours now. You're free to do whatever you want with it.\How far are we going?\As far as possible.\We're almost past the forest!\This place will do. response:	Everyone ready?
context: Yeah.\I'm sorry I gave away that bracelet.\It's yours now. You're free to do whatever you want with it.\How far are we going?\As far as possible.\We're almost past the forest!\This place will do.\Everyone ready? response:	I'm all set to fight.
context: I'm sorry I gave away that bracelet.\It's yours now. You're free to do whatever you want with it.\How far are we going?\As far as possible.\We're almost past the forest!\This place will do.\Everyone ready?\I'm all set to fight. response:	I'll do my best.
context: It's yours now. You're free to do whatever you want with it.\How far are we going?\As far as possible.\We're almost past the forest!\This place will do.\Everyone ready?\I'm all set to fight.\I'll do my best. response:	Air Strike Shield!
context: How far are we going?\As far as possible.\We're almost past the forest!\This place will do.\Everyone ready?\I'm all set to fight.\I'll do my best.\Air Strike Shield! response:	Zweit Aqua Slash!
context: As far as possible.\We're almost past the forest!\This place will do.\Everyone ready?\I'm all set to fight.\I'll do my best.\Air Strike Shield!\Zweit Aqua Slash! response:	I can't cut it!
context: We're almost past the forest!\This place will do.\Everyone ready?\I'm all set to fight.\I'll do my best.\Air Strike Shield!\Zweit Aqua Slash!\I can't cut it! response:	It's slow, but we can't even scratch it!
context: This place will do.\Everyone ready?\I'm all set to fight.\I'll do my best.\Air Strike Shield!\Zweit Aqua Slash!\I can't cut it!\It's slow, but we can't even scratch it! response:	Master, give me some footing!
context: Everyone ready?\I'm all set to fight.\I'll do my best.\Air Strike Shield!\Zweit Aqua Slash!\I can't cut it!\It's slow, but we can't even scratch it!\Master, give me some footing! response:	Air Strike Shield!
context: I'm all set to fight.\I'll do my best.\Air Strike Shield!\Zweit Aqua Slash!\I can't cut it!\It's slow, but we can't even scratch it!\Master, give me some footing!\Air Strike Shield! response:	Second Shield!
context: I'll do my best.\Air Strike Shield!\Zweit Aqua Slash!\I can't cut it!\It's slow, but we can't even scratch it!\Master, give me some footing!\Air Strike Shield!\Second Shield! response:	It's not working!
context: Air Strike Shield!\Zweit Aqua Slash!\I can't cut it!\It's slow, but we can't even scratch it!\Master, give me some footing!\Air Strike Shield!\Second Shield!\It's not working! response:	One more try!
context: Zweit Aqua Slash!\I can't cut it!\It's slow, but we can't even scratch it!\Master, give me some footing!\Air Strike Shield!\Second Shield!\It's not working!\One more try! response:	Naofumi-sama!
context: I can't cut it!\It's slow, but we can't even scratch it!\Master, give me some footing!\Air Strike Shield!\Second Shield!\It's not working!\One more try!\Naofumi-sama! response:	I'm fine! Keep going!
context: It's slow, but we can't even scratch it!\Master, give me some footing!\Air Strike Shield!\Second Shield!\It's not working!\One more try!\Naofumi-sama!\I'm fine! Keep going! response:	Got it!
context: Master, give me some footing!\Air Strike Shield!\Second Shield!\It's not working!\One more try!\Naofumi-sama!\I'm fine! Keep going!\Got it! response:	We don't have unlimited stamina.
context: Air Strike Shield!\Second Shield!\It's not working!\One more try!\Naofumi-sama!\I'm fine! Keep going!\Got it!\We don't have unlimited stamina. response:	I'll have to use the Rage Shield.
context: Second Shield!\It's not working!\One more try!\Naofumi-sama!\I'm fine! Keep going!\Got it!\We don't have unlimited stamina.\I'll have to use the Rage Shield. response:	Don't.
context: It's not working!\One more try!\Naofumi-sama!\I'm fine! Keep going!\Got it!\We don't have unlimited stamina.\I'll have to use the Rage Shield.\Don't. response:	Naofumi, something seems wrong here.
context: One more try!\Naofumi-sama!\I'm fine! Keep going!\Got it!\We don't have unlimited stamina.\I'll have to use the Rage Shield.\Don't.\Naofumi, something seems wrong here. response:	Is this...
context: Naofumi-sama!\I'm fine! Keep going!\Got it!\We don't have unlimited stamina.\I'll have to use the Rage Shield.\Don't.\Naofumi, something seems wrong here.\Is this... response:	magic mist?
context: I'm fine! Keep going!\Got it!\We don't have unlimited stamina.\I'll have to use the Rage Shield.\Don't.\Naofumi, something seems wrong here.\Is this...\magic mist? response:	It's a high-level magic field.
context: Got it!\We don't have unlimited stamina.\I'll have to use the Rage Shield.\Don't.\Naofumi, something seems wrong here.\Is this...\magic mist?\It's a high-level magic field. response:	A magic field?
context: We don't have unlimited stamina.\I'll have to use the Rage Shield.\Don't.\Naofumi, something seems wrong here.\Is this...\magic mist?\It's a high-level magic field.\A magic field? response:	You mean we're trapped here?
context: I'll have to use the Rage Shield.\Don't.\Naofumi, something seems wrong here.\Is this...\magic mist?\It's a high-level magic field.\A magic field?\You mean we're trapped here? response:	I hear footsteps!
context: Don't.\Naofumi, something seems wrong here.\Is this...\magic mist?\It's a high-level magic field.\A magic field?\You mean we're trapped here?\I hear footsteps! response:	Filolials?!
context: Naofumi, something seems wrong here.\Is this...\magic mist?\It's a high-level magic field.\A magic field?\You mean we're trapped here?\I hear footsteps!\Filolials?! response:	What the hell?
context: Is this...\magic mist?\It's a high-level magic field.\A magic field?\You mean we're trapped here?\I hear footsteps!\Filolials?!\What the hell? response:	Damn it!
context: magic mist?\It's a high-level magic field.\A magic field?\You mean we're trapped here?\I hear footsteps!\Filolials?!\What the hell?\Damn it! response:	Detecting transformation jamming
context: It's a high-level magic field.\A magic field?\You mean we're trapped here?\I hear footsteps!\Filolials?!\What the hell?\Damn it!\Detecting transformation jamming response:	Don't resort to that power.
context: A magic field?\You mean we're trapped here?\I hear footsteps!\Filolials?!\What the hell?\Damn it!\Detecting transformation jamming\Don't resort to that power. response:	Who's there?
context: You mean we're trapped here?\I hear footsteps!\Filolials?!\What the hell?\Damn it!\Detecting transformation jamming\Don't resort to that power.\Who's there? response:	It can't be!
context: I hear footsteps!\Filolials?!\What the hell?\Damn it!\Detecting transformation jamming\Don't resort to that power.\Who's there?\It can't be! response:	The Filolial Queen?!
context: Filolials?!\What the hell?\Damn it!\Detecting transformation jamming\Don't resort to that power.\Who's there?\It can't be!\The Filolial Queen?! response:	So cool!
context: What the hell?\Damn it!\Detecting transformation jamming\Don't resort to that power.\Who's there?\It can't be!\The Filolial Queen?!\So cool! response:	Fall back.
context: Damn it!\Detecting transformation jamming\Don't resort to that power.\Who's there?\It can't be!\The Filolial Queen?!\So cool!\Fall back. response:	Your body reacted badly to the Dragon Emperor's fragment and grew beyond control.
context: Detecting transformation jamming\Don't resort to that power.\Who's there?\It can't be!\The Filolial Queen?!\So cool!\Fall back.\Your body reacted badly to the Dragon Emperor's fragment and grew beyond control. response:	If you hand over that fragment now, I shall spare your life.
context: Don't resort to that power.\Who's there?\It can't be!\The Filolial Queen?!\So cool!\Fall back.\Your body reacted badly to the Dragon Emperor's fragment and grew beyond control.\If you hand over that fragment now, I shall spare your life. response:	But begone at once!
context: Who's there?\It can't be!\The Filolial Queen?!\So cool!\Fall back.\Your body reacted badly to the Dragon Emperor's fragment and grew beyond control.\If you hand over that fragment now, I shall spare your life.\But begone at once! response:	Watch out!
context: It can't be!\The Filolial Queen?!\So cool!\Fall back.\Your body reacted badly to the Dragon Emperor's fragment and grew beyond control.\If you hand over that fragment now, I shall spare your life.\But begone at once!\Watch out! response:	As you wish.
context: The Filolial Queen?!\So cool!\Fall back.\Your body reacted badly to the Dragon Emperor's fragment and grew beyond control.\If you hand over that fragment now, I shall spare your life.\But begone at once!\Watch out!\As you wish. response:	Weak.
context: So cool!\Fall back.\Your body reacted badly to the Dragon Emperor's fragment and grew beyond control.\If you hand over that fragment now, I shall spare your life.\But begone at once!\Watch out!\As you wish.\Weak. response:	I'll end this at once.
context: Fall back.\Your body reacted badly to the Dragon Emperor's fragment and grew beyond control.\If you hand over that fragment now, I shall spare your life.\But begone at once!\Watch out!\As you wish.\Weak.\I'll end this at once. response:	The Shield Hero, I take it?
context: Your body reacted badly to the Dragon Emperor's fragment and grew beyond control.\If you hand over that fragment now, I shall spare your life.\But begone at once!\Watch out!\As you wish.\Weak.\I'll end this at once.\The Shield Hero, I take it? response:	Yeah.
context: If you hand over that fragment now, I shall spare your life.\But begone at once!\Watch out!\As you wish.\Weak.\I'll end this at once.\The Shield Hero, I take it?\Yeah. response:	I wish to discuss many things with you,
context: But begone at once!\Watch out!\As you wish.\Weak.\I'll end this at once.\The Shield Hero, I take it?\Yeah.\I wish to discuss many things with you, response:	but I know this form isn't suitable.
context: Watch out!\As you wish.\Weak.\I'll end this at once.\The Shield Hero, I take it?\Yeah.\I wish to discuss many things with you,\but I know this form isn't suitable. response:	One moment.
context: As you wish.\Weak.\I'll end this at once.\The Shield Hero, I take it?\Yeah.\I wish to discuss many things with you,\but I know this form isn't suitable.\One moment. response:	Now, to introduce myself.
context: Weak.\I'll end this at once.\The Shield Hero, I take it?\Yeah.\I wish to discuss many things with you,\but I know this form isn't suitable.\One moment.\Now, to introduce myself. response:	I am the queen of all filolials the world over,
context: I'll end this at once.\The Shield Hero, I take it?\Yeah.\I wish to discuss many things with you,\but I know this form isn't suitable.\One moment.\Now, to introduce myself.\I am the queen of all filolials the world over, response:	Fitoria.
context: The Shield Hero, I take it?\Yeah.\I wish to discuss many things with you,\but I know this form isn't suitable.\One moment.\Now, to introduce myself.\I am the queen of all filolials the world over,\Fitoria. response:	Fitoria?
context: Yeah.\I wish to discuss many things with you,\but I know this form isn't suitable.\One moment.\Now, to introduce myself.\I am the queen of all filolials the world over,\Fitoria.\Fitoria? response:	You're her?
context: I wish to discuss many things with you,\but I know this form isn't suitable.\One moment.\Now, to introduce myself.\I am the queen of all filolials the world over,\Fitoria.\Fitoria?\You're her? response:	You've heard of her?
context: but I know this form isn't suitable.\One moment.\Now, to introduce myself.\I am the queen of all filolials the world over,\Fitoria.\Fitoria?\You're her?\You've heard of her? response:	Of course.
context: One moment.\Now, to introduce myself.\I am the queen of all filolials the world over,\Fitoria.\Fitoria?\You're her?\You've heard of her?\Of course. response:	Centuries ago, a hero of the time is said to have raised a filolial.
context: Now, to introduce myself.\I am the queen of all filolials the world over,\Fitoria.\Fitoria?\You're her?\You've heard of her?\Of course.\Centuries ago, a hero of the time is said to have raised a filolial. response:	Her name is legendary.
context: I am the queen of all filolials the world over,\Fitoria.\Fitoria?\You're her?\You've heard of her?\Of course.\Centuries ago, a hero of the time is said to have raised a filolial.\Her name is legendary. response:	Centuries ago?
context: Fitoria.\Fitoria?\You're her?\You've heard of her?\Of course.\Centuries ago, a hero of the time is said to have raised a filolial.\Her name is legendary.\Centuries ago? response:	So she inherited the name?
context: Fitoria?\You're her?\You've heard of her?\Of course.\Centuries ago, a hero of the time is said to have raised a filolial.\Her name is legendary.\Centuries ago?\So she inherited the name? response:	No, I have always been Fitoria.
context: You're her?\You've heard of her?\Of course.\Centuries ago, a hero of the time is said to have raised a filolial.\Her name is legendary.\Centuries ago?\So she inherited the name?\No, I have always been Fitoria. response:	Will I also be as big as her one day?
context: You've heard of her?\Of course.\Centuries ago, a hero of the time is said to have raised a filolial.\Her name is legendary.\Centuries ago?\So she inherited the name?\No, I have always been Fitoria.\Will I also be as big as her one day? response:	I couldn't feed you if you grew that big, so you'd be on your own.
context: Of course.\Centuries ago, a hero of the time is said to have raised a filolial.\Her name is legendary.\Centuries ago?\So she inherited the name?\No, I have always been Fitoria.\Will I also be as big as her one day?\I couldn't feed you if you grew that big, so you'd be on your own. response:	That would take dozens of times longer than a normal filolial's lifespan,
context: Centuries ago, a hero of the time is said to have raised a filolial.\Her name is legendary.\Centuries ago?\So she inherited the name?\No, I have always been Fitoria.\Will I also be as big as her one day?\I couldn't feed you if you grew that big, so you'd be on your own.\That would take dozens of times longer than a normal filolial's lifespan, response:	so don't worry yourself over it.
context: Her name is legendary.\Centuries ago?\So she inherited the name?\No, I have always been Fitoria.\Will I also be as big as her one day?\I couldn't feed you if you grew that big, so you'd be on your own.\That would take dozens of times longer than a normal filolial's lifespan,\so don't worry yourself over it. response:	In other words, she's lived that long?
context: Centuries ago?\So she inherited the name?\No, I have always been Fitoria.\Will I also be as big as her one day?\I couldn't feed you if you grew that big, so you'd be on your own.\That would take dozens of times longer than a normal filolial's lifespan,\so don't worry yourself over it.\In other words, she's lived that long? response:	It's your turn to introduce yourselves, Shield Hero's party.
context: So she inherited the name?\No, I have always been Fitoria.\Will I also be as big as her one day?\I couldn't feed you if you grew that big, so you'd be on your own.\That would take dozens of times longer than a normal filolial's lifespan,\so don't worry yourself over it.\In other words, she's lived that long?\It's your turn to introduce yourselves, Shield Hero's party. response:	Iwatani Naofumi.
context: No, I have always been Fitoria.\Will I also be as big as her one day?\I couldn't feed you if you grew that big, so you'd be on your own.\That would take dozens of times longer than a normal filolial's lifespan,\so don't worry yourself over it.\In other words, she's lived that long?\It's your turn to introduce yourselves, Shield Hero's party.\Iwatani Naofumi. response:	Okay.
context: Will I also be as big as her one day?\I couldn't feed you if you grew that big, so you'd be on your own.\That would take dozens of times longer than a normal filolial's lifespan,\so don't worry yourself over it.\In other words, she's lived that long?\It's your turn to introduce yourselves, Shield Hero's party.\Iwatani Naofumi.\Okay. response:	I'm Raphtalia. Nice to meet you.
context: I couldn't feed you if you grew that big, so you'd be on your own.\That would take dozens of times longer than a normal filolial's lifespan,\so don't worry yourself over it.\In other words, she's lived that long?\It's your turn to introduce yourselves, Shield Hero's party.\Iwatani Naofumi.\Okay.\I'm Raphtalia. Nice to meet you. response:	Likewise.
context: That would take dozens of times longer than a normal filolial's lifespan,\so don't worry yourself over it.\In other words, she's lived that long?\It's your turn to introduce yourselves, Shield Hero's party.\Iwatani Naofumi.\Okay.\I'm Raphtalia. Nice to meet you.\Likewise. response:	My name is Filo.
context: so don't worry yourself over it.\In other words, she's lived that long?\It's your turn to introduce yourselves, Shield Hero's party.\Iwatani Naofumi.\Okay.\I'm Raphtalia. Nice to meet you.\Likewise.\My name is Filo. response:	We've met before, haven't we?
context: In other words, she's lived that long?\It's your turn to introduce yourselves, Shield Hero's party.\Iwatani Naofumi.\Okay.\I'm Raphtalia. Nice to meet you.\Likewise.\My name is Filo.\We've met before, haven't we? response:	Thank you for your help that time.
context: It's your turn to introduce yourselves, Shield Hero's party.\Iwatani Naofumi.\Okay.\I'm Raphtalia. Nice to meet you.\Likewise.\My name is Filo.\We've met before, haven't we?\Thank you for your help that time. response:	No problem. I'm Melty Melromarc.
context: Iwatani Naofumi.\Okay.\I'm Raphtalia. Nice to meet you.\Likewise.\My name is Filo.\We've met before, haven't we?\Thank you for your help that time.\No problem. I'm Melty Melromarc. response:	It's a pleasure to meet you again.
context: Okay.\I'm Raphtalia. Nice to meet you.\Likewise.\My name is Filo.\We've met before, haven't we?\Thank you for your help that time.\No problem. I'm Melty Melromarc.\It's a pleasure to meet you again. response:	Mel-tan, then.
context: I'm Raphtalia. Nice to meet you.\Likewise.\My name is Filo.\We've met before, haven't we?\Thank you for your help that time.\No problem. I'm Melty Melromarc.\It's a pleasure to meet you again.\Mel-tan, then. response:	Mel... tan?
context: Likewise.\My name is Filo.\We've met before, haven't we?\Thank you for your help that time.\No problem. I'm Melty Melromarc.\It's a pleasure to meet you again.\Mel-tan, then.\Mel... tan? response:	You've met before?
context: My name is Filo.\We've met before, haven't we?\Thank you for your help that time.\No problem. I'm Melty Melromarc.\It's a pleasure to meet you again.\Mel-tan, then.\Mel... tan?\You've met before? response:	Yes. I ran into her on the way back to the capital after a diplomatic visit.
context: We've met before, haven't we?\Thank you for your help that time.\No problem. I'm Melty Melromarc.\It's a pleasure to meet you again.\Mel-tan, then.\Mel... tan?\You've met before?\Yes. I ran into her on the way back to the capital after a diplomatic visit. response:	So you've made a habit of that, huh?
context: Thank you for your help that time.\No problem. I'm Melty Melromarc.\It's a pleasure to meet you again.\Mel-tan, then.\Mel... tan?\You've met before?\Yes. I ran into her on the way back to the capital after a diplomatic visit.\So you've made a habit of that, huh? response:	Anyway, I'm grateful that you took out that monster.
context: No problem. I'm Melty Melromarc.\It's a pleasure to meet you again.\Mel-tan, then.\Mel... tan?\You've met before?\Yes. I ran into her on the way back to the capital after a diplomatic visit.\So you've made a habit of that, huh?\Anyway, I'm grateful that you took out that monster. response:	But what do you want with us?
context: It's a pleasure to meet you again.\Mel-tan, then.\Mel... tan?\You've met before?\Yes. I ran into her on the way back to the capital after a diplomatic visit.\So you've made a habit of that, huh?\Anyway, I'm grateful that you took out that monster.\But what do you want with us? response:	It's a long story, and this isn't a great place for a chat.
context: Mel-tan, then.\Mel... tan?\You've met before?\Yes. I ran into her on the way back to the capital after a diplomatic visit.\So you've made a habit of that, huh?\Anyway, I'm grateful that you took out that monster.\But what do you want with us?\It's a long story, and this isn't a great place for a chat. response:	Let me take you somewhere more suitable.
