context: Isn't there a way to destroy him?! response:	Why, that!
context: Now come.\Why, you! Don't act too cocky!\Wind Scar!\Damn... not dead yet?\This will never end.\Huh? What's that?\A spider.\He's transforming again. response:	What's his body made of, anyway?
context: Why, you! Don't act too cocky!\Wind Scar!\Damn... not dead yet?\This will never end.\Huh? What's that?\A spider.\He's transforming again.\What's his body made of, anyway? response:	Naraku is basically a collection of demons
context: Wind Scar!\Damn... not dead yet?\This will never end.\Huh? What's that?\A spider.\He's transforming again.\What's his body made of, anyway?\Naraku is basically a collection of demons response:	bonded into one by Onigumo the bandit.
context: Damn... not dead yet?\This will never end.\Huh? What's that?\A spider.\He's transforming again.\What's his body made of, anyway?\Naraku is basically a collection of demons\bonded into one by Onigumo the bandit. response:	If Muso was created from Naraku's flesh...
context: This will never end.\Huh? What's that?\A spider.\He's transforming again.\What's his body made of, anyway?\Naraku is basically a collection of demons\bonded into one by Onigumo the bandit.\If Muso was created from Naraku's flesh... response:	Then at that same time, several of those demons were released?
context: Huh? What's that?\A spider.\He's transforming again.\What's his body made of, anyway?\Naraku is basically a collection of demons\bonded into one by Onigumo the bandit.\If Muso was created from Naraku's flesh...\Then at that same time, several of those demons were released? response:	Is he different from us?
context: A spider.\He's transforming again.\What's his body made of, anyway?\Naraku is basically a collection of demons\bonded into one by Onigumo the bandit.\If Muso was created from Naraku's flesh...\Then at that same time, several of those demons were released?\Is he different from us? response:	Is he something special? Even to Naraku?
context: He's transforming again.\What's his body made of, anyway?\Naraku is basically a collection of demons\bonded into one by Onigumo the bandit.\If Muso was created from Naraku's flesh...\Then at that same time, several of those demons were released?\Is he different from us?\Is he something special? Even to Naraku? response:	But why is Muso able to regenerate? Is he immortal?
context: What's his body made of, anyway?\Naraku is basically a collection of demons\bonded into one by Onigumo the bandit.\If Muso was created from Naraku's flesh...\Then at that same time, several of those demons were released?\Is he different from us?\Is he something special? Even to Naraku?\But why is Muso able to regenerate? Is he immortal? response:	Why, you!
context: Naraku is basically a collection of demons\bonded into one by Onigumo the bandit.\If Muso was created from Naraku's flesh...\Then at that same time, several of those demons were released?\Is he different from us?\Is he something special? Even to Naraku?\But why is Muso able to regenerate? Is he immortal?\Why, you! response:	I told you it's useless.
context: bonded into one by Onigumo the bandit.\If Muso was created from Naraku's flesh...\Then at that same time, several of those demons were released?\Is he different from us?\Is he something special? Even to Naraku?\But why is Muso able to regenerate? Is he immortal?\Why, you!\I told you it's useless. response:	You bastard!
context: If Muso was created from Naraku's flesh...\Then at that same time, several of those demons were released?\Is he different from us?\Is he something special? Even to Naraku?\But why is Muso able to regenerate? Is he immortal?\Why, you!\I told you it's useless.\You bastard! response:	I can't watch! Isn't there anything we can do?!
context: Then at that same time, several of those demons were released?\Is he different from us?\Is he something special? Even to Naraku?\But why is Muso able to regenerate? Is he immortal?\Why, you!\I told you it's useless.\You bastard!\I can't watch! Isn't there anything we can do?! response:	Inuyasha is getting tired.
context: Is he different from us?\Is he something special? Even to Naraku?\But why is Muso able to regenerate? Is he immortal?\Why, you!\I told you it's useless.\You bastard!\I can't watch! Isn't there anything we can do?!\Inuyasha is getting tired. response:	Which is to be expected from using the Wind Scar so many times.
context: Is he something special? Even to Naraku?\But why is Muso able to regenerate? Is he immortal?\Why, you!\I told you it's useless.\You bastard!\I can't watch! Isn't there anything we can do?!\Inuyasha is getting tired.\Which is to be expected from using the Wind Scar so many times. response:	He's also withstood Muso's vicious attacks.
context: But why is Muso able to regenerate? Is he immortal?\Why, you!\I told you it's useless.\You bastard!\I can't watch! Isn't there anything we can do?!\Inuyasha is getting tired.\Which is to be expected from using the Wind Scar so many times.\He's also withstood Muso's vicious attacks. response:	If this continues...
context: Why, you!\I told you it's useless.\You bastard!\I can't watch! Isn't there anything we can do?!\Inuyasha is getting tired.\Which is to be expected from using the Wind Scar so many times.\He's also withstood Muso's vicious attacks.\If this continues... response:	Look at you, Inuyasha! Had enough already?
context: I told you it's useless.\You bastard!\I can't watch! Isn't there anything we can do?!\Inuyasha is getting tired.\Which is to be expected from using the Wind Scar so many times.\He's also withstood Muso's vicious attacks.\If this continues...\Look at you, Inuyasha! Had enough already? response:	Inuyasha, use the Backlash Wave!
context: You bastard!\I can't watch! Isn't there anything we can do?!\Inuyasha is getting tired.\Which is to be expected from using the Wind Scar so many times.\He's also withstood Muso's vicious attacks.\If this continues...\Look at you, Inuyasha! Had enough already?\Inuyasha, use the Backlash Wave! response:	Use the Backlash Wave to blow him to bits!
context: I can't watch! Isn't there anything we can do?!\Inuyasha is getting tired.\Which is to be expected from using the Wind Scar so many times.\He's also withstood Muso's vicious attacks.\If this continues...\Look at you, Inuyasha! Had enough already?\Inuyasha, use the Backlash Wave!\Use the Backlash Wave to blow him to bits! response:	Shaddup! If I thought it'd work, I'd've used it long ago!
context: Inuyasha is getting tired.\Which is to be expected from using the Wind Scar so many times.\He's also withstood Muso's vicious attacks.\If this continues...\Look at you, Inuyasha! Had enough already?\Inuyasha, use the Backlash Wave!\Use the Backlash Wave to blow him to bits!\Shaddup! If I thought it'd work, I'd've used it long ago! response:	What? You can't use it?
context: Which is to be expected from using the Wind Scar so many times.\He's also withstood Muso's vicious attacks.\If this continues...\Look at you, Inuyasha! Had enough already?\Inuyasha, use the Backlash Wave!\Use the Backlash Wave to blow him to bits!\Shaddup! If I thought it'd work, I'd've used it long ago!\What? You can't use it? response:	The Backlash Wave utilizes the enemy's ghostly aura.
context: He's also withstood Muso's vicious attacks.\If this continues...\Look at you, Inuyasha! Had enough already?\Inuyasha, use the Backlash Wave!\Use the Backlash Wave to blow him to bits!\Shaddup! If I thought it'd work, I'd've used it long ago!\What? You can't use it?\The Backlash Wave utilizes the enemy's ghostly aura. response:	Muso doesn't have that, so it's useless.
context: If this continues...\Look at you, Inuyasha! Had enough already?\Inuyasha, use the Backlash Wave!\Use the Backlash Wave to blow him to bits!\Shaddup! If I thought it'd work, I'd've used it long ago!\What? You can't use it?\The Backlash Wave utilizes the enemy's ghostly aura.\Muso doesn't have that, so it's useless. response:	Wind Scar is the answer! Inuyasha!
context: Look at you, Inuyasha! Had enough already?\Inuyasha, use the Backlash Wave!\Use the Backlash Wave to blow him to bits!\Shaddup! If I thought it'd work, I'd've used it long ago!\What? You can't use it?\The Backlash Wave utilizes the enemy's ghostly aura.\Muso doesn't have that, so it's useless.\Wind Scar is the answer! Inuyasha! response:	Miroku!
context: Inuyasha, use the Backlash Wave!\Use the Backlash Wave to blow him to bits!\Shaddup! If I thought it'd work, I'd've used it long ago!\What? You can't use it?\The Backlash Wave utilizes the enemy's ghostly aura.\Muso doesn't have that, so it's useless.\Wind Scar is the answer! Inuyasha!\Miroku! response:	Use Wind Scar one more time to blow Muso away!
context: Use the Backlash Wave to blow him to bits!\Shaddup! If I thought it'd work, I'd've used it long ago!\What? You can't use it?\The Backlash Wave utilizes the enemy's ghostly aura.\Muso doesn't have that, so it's useless.\Wind Scar is the answer! Inuyasha!\Miroku!\Use Wind Scar one more time to blow Muso away! response:	No need to tell me that!
context: Shaddup! If I thought it'd work, I'd've used it long ago!\What? You can't use it?\The Backlash Wave utilizes the enemy's ghostly aura.\Muso doesn't have that, so it's useless.\Wind Scar is the answer! Inuyasha!\Miroku!\Use Wind Scar one more time to blow Muso away!\No need to tell me that! response:	Wind Scar!
context: What? You can't use it?\The Backlash Wave utilizes the enemy's ghostly aura.\Muso doesn't have that, so it's useless.\Wind Scar is the answer! Inuyasha!\Miroku!\Use Wind Scar one more time to blow Muso away!\No need to tell me that!\Wind Scar! response:	Well?!
context: The Backlash Wave utilizes the enemy's ghostly aura.\Muso doesn't have that, so it's useless.\Wind Scar is the answer! Inuyasha!\Miroku!\Use Wind Scar one more time to blow Muso away!\No need to tell me that!\Wind Scar!\Well?! response:	Damn! Not again!
context: Muso doesn't have that, so it's useless.\Wind Scar is the answer! Inuyasha!\Miroku!\Use Wind Scar one more time to blow Muso away!\No need to tell me that!\Wind Scar!\Well?!\Damn! Not again! response:	Even if I keep at it, this is hopeless!
context: Wind Scar is the answer! Inuyasha!\Miroku!\Use Wind Scar one more time to blow Muso away!\No need to tell me that!\Wind Scar!\Well?!\Damn! Not again!\Even if I keep at it, this is hopeless! response:	Inuyasha!
context: Miroku!\Use Wind Scar one more time to blow Muso away!\No need to tell me that!\Wind Scar!\Well?!\Damn! Not again!\Even if I keep at it, this is hopeless!\Inuyasha! response:	Muso's tentacles accumulate towards the spider marks.
context: Use Wind Scar one more time to blow Muso away!\No need to tell me that!\Wind Scar!\Well?!\Damn! Not again!\Even if I keep at it, this is hopeless!\Inuyasha!\Muso's tentacles accumulate towards the spider marks. response:	What marks?
context: No need to tell me that!\Wind Scar!\Well?!\Damn! Not again!\Even if I keep at it, this is hopeless!\Inuyasha!\Muso's tentacles accumulate towards the spider marks.\What marks? response:	Look... you can see the spider scar.
context: Wind Scar!\Well?!\Damn! Not again!\Even if I keep at it, this is hopeless!\Inuyasha!\Muso's tentacles accumulate towards the spider marks.\What marks?\Look... you can see the spider scar. response:	Muso gathers his parts towards that scar to regenerate.
context: Well?!\Damn! Not again!\Even if I keep at it, this is hopeless!\Inuyasha!\Muso's tentacles accumulate towards the spider marks.\What marks?\Look... you can see the spider scar.\Muso gathers his parts towards that scar to regenerate. response:	That scar was pulsating.
context: Damn! Not again!\Even if I keep at it, this is hopeless!\Inuyasha!\Muso's tentacles accumulate towards the spider marks.\What marks?\Look... you can see the spider scar.\Muso gathers his parts towards that scar to regenerate.\That scar was pulsating. response:	Most probably, that is where his heart is.
context: Even if I keep at it, this is hopeless!\Inuyasha!\Muso's tentacles accumulate towards the spider marks.\What marks?\Look... you can see the spider scar.\Muso gathers his parts towards that scar to regenerate.\That scar was pulsating.\Most probably, that is where his heart is. response:	I get it. It's worth a try to aim for that.
context: Inuyasha!\Muso's tentacles accumulate towards the spider marks.\What marks?\Look... you can see the spider scar.\Muso gathers his parts towards that scar to regenerate.\That scar was pulsating.\Most probably, that is where his heart is.\I get it. It's worth a try to aim for that. response:	It's useless, Inuyasha.
context: Muso's tentacles accumulate towards the spider marks.\What marks?\Look... you can see the spider scar.\Muso gathers his parts towards that scar to regenerate.\That scar was pulsating.\Most probably, that is where his heart is.\I get it. It's worth a try to aim for that.\It's useless, Inuyasha. response:	You're starting to breathe pretty hard.
context: What marks?\Look... you can see the spider scar.\Muso gathers his parts towards that scar to regenerate.\That scar was pulsating.\Most probably, that is where his heart is.\I get it. It's worth a try to aim for that.\It's useless, Inuyasha.\You're starting to breathe pretty hard. response:	The track of the Wind Scar that leads to Muso...
context: Look... you can see the spider scar.\Muso gathers his parts towards that scar to regenerate.\That scar was pulsating.\Most probably, that is where his heart is.\I get it. It's worth a try to aim for that.\It's useless, Inuyasha.\You're starting to breathe pretty hard.\The track of the Wind Scar that leads to Muso... response:	I'll use it to make sure it strikes straight on...
context: Muso gathers his parts towards that scar to regenerate.\That scar was pulsating.\Most probably, that is where his heart is.\I get it. It's worth a try to aim for that.\It's useless, Inuyasha.\You're starting to breathe pretty hard.\The track of the Wind Scar that leads to Muso...\I'll use it to make sure it strikes straight on... response:	Die!
context: That scar was pulsating.\Most probably, that is where his heart is.\I get it. It's worth a try to aim for that.\It's useless, Inuyasha.\You're starting to breathe pretty hard.\The track of the Wind Scar that leads to Muso...\I'll use it to make sure it strikes straight on...\Die! response:	Go!
context: Most probably, that is where his heart is.\I get it. It's worth a try to aim for that.\It's useless, Inuyasha.\You're starting to breathe pretty hard.\The track of the Wind Scar that leads to Muso...\I'll use it to make sure it strikes straight on...\Die!\Go! response:	Fujin!
context: I get it. It's worth a try to aim for that.\It's useless, Inuyasha.\You're starting to breathe pretty hard.\The track of the Wind Scar that leads to Muso...\I'll use it to make sure it strikes straight on...\Die!\Go!\Fujin! response:	Kagura!
context: It's useless, Inuyasha.\You're starting to breathe pretty hard.\The track of the Wind Scar that leads to Muso...\I'll use it to make sure it strikes straight on...\Die!\Go!\Fujin!\Kagura! response:	Did it work?
context: You're starting to breathe pretty hard.\The track of the Wind Scar that leads to Muso...\I'll use it to make sure it strikes straight on...\Die!\Go!\Fujin!\Kagura!\Did it work? response:	No. Kagura used her Fujin
context: The track of the Wind Scar that leads to Muso...\I'll use it to make sure it strikes straight on...\Die!\Go!\Fujin!\Kagura!\Did it work?\No. Kagura used her Fujin response:	to divert my Wind Scar from striking Muso's heart.
context: I'll use it to make sure it strikes straight on...\Die!\Go!\Fujin!\Kagura!\Did it work?\No. Kagura used her Fujin\to divert my Wind Scar from striking Muso's heart. response:	But now it's clear at least.
context: Die!\Go!\Fujin!\Kagura!\Did it work?\No. Kagura used her Fujin\to divert my Wind Scar from striking Muso's heart.\But now it's clear at least. response:	Muso's weakness is his heart.
context: Go!\Fujin!\Kagura!\Did it work?\No. Kagura used her Fujin\to divert my Wind Scar from striking Muso's heart.\But now it's clear at least.\Muso's weakness is his heart. response:	Damn!
context: Fujin!\Kagura!\Did it work?\No. Kagura used her Fujin\to divert my Wind Scar from striking Muso's heart.\But now it's clear at least.\Muso's weakness is his heart.\Damn! response:	And he's not gonna hide it either.
context: Kagura!\Did it work?\No. Kagura used her Fujin\to divert my Wind Scar from striking Muso's heart.\But now it's clear at least.\Muso's weakness is his heart.\Damn!\And he's not gonna hide it either. response:	After'em, Miroku!
context: Did it work?\No. Kagura used her Fujin\to divert my Wind Scar from striking Muso's heart.\But now it's clear at least.\Muso's weakness is his heart.\Damn!\And he's not gonna hide it either.\After'em, Miroku! response:	Sango, protect Kagome and the others.
context: No. Kagura used her Fujin\to divert my Wind Scar from striking Muso's heart.\But now it's clear at least.\Muso's weakness is his heart.\Damn!\And he's not gonna hide it either.\After'em, Miroku!\Sango, protect Kagome and the others. response:	Understood!
context: to divert my Wind Scar from striking Muso's heart.\But now it's clear at least.\Muso's weakness is his heart.\Damn!\And he's not gonna hide it either.\After'em, Miroku!\Sango, protect Kagome and the others.\Understood! response:	Don't worry. I'll protect them!
context: But now it's clear at least.\Muso's weakness is his heart.\Damn!\And he's not gonna hide it either.\After'em, Miroku!\Sango, protect Kagome and the others.\Understood!\Don't worry. I'll protect them! response:	Why would the Bandit Onigumo come alive now?
context: Muso's weakness is his heart.\Damn!\And he's not gonna hide it either.\After'em, Miroku!\Sango, protect Kagome and the others.\Understood!\Don't worry. I'll protect them!\Why would the Bandit Onigumo come alive now? response:	I don't think Muso is just another one of Naraku's creations.
context: Damn!\And he's not gonna hide it either.\After'em, Miroku!\Sango, protect Kagome and the others.\Understood!\Don't worry. I'll protect them!\Why would the Bandit Onigumo come alive now?\I don't think Muso is just another one of Naraku's creations. response:	I agree. Muso has Onigumo's heart.
context: And he's not gonna hide it either.\After'em, Miroku!\Sango, protect Kagome and the others.\Understood!\Don't worry. I'll protect them!\Why would the Bandit Onigumo come alive now?\I don't think Muso is just another one of Naraku's creations.\I agree. Muso has Onigumo's heart. response:	But don't you think it's strange?
context: After'em, Miroku!\Sango, protect Kagome and the others.\Understood!\Don't worry. I'll protect them!\Why would the Bandit Onigumo come alive now?\I don't think Muso is just another one of Naraku's creations.\I agree. Muso has Onigumo's heart.\But don't you think it's strange? response:	Huh?
context: Sango, protect Kagome and the others.\Understood!\Don't worry. I'll protect them!\Why would the Bandit Onigumo come alive now?\I don't think Muso is just another one of Naraku's creations.\I agree. Muso has Onigumo's heart.\But don't you think it's strange?\Huh? response:	Why would Naraku let Muso...
context: Understood!\Don't worry. I'll protect them!\Why would the Bandit Onigumo come alive now?\I don't think Muso is just another one of Naraku's creations.\I agree. Muso has Onigumo's heart.\But don't you think it's strange?\Huh?\Why would Naraku let Muso... response:	Naraku tried to get rid of Onigumo's heart...
context: Don't worry. I'll protect them!\Why would the Bandit Onigumo come alive now?\I don't think Muso is just another one of Naraku's creations.\I agree. Muso has Onigumo's heart.\But don't you think it's strange?\Huh?\Why would Naraku let Muso...\Naraku tried to get rid of Onigumo's heart... response:	because it still has feelings for Kikyo.
context: Why would the Bandit Onigumo come alive now?\I don't think Muso is just another one of Naraku's creations.\I agree. Muso has Onigumo's heart.\But don't you think it's strange?\Huh?\Why would Naraku let Muso...\Naraku tried to get rid of Onigumo's heart...\because it still has feelings for Kikyo. response:	Then he would try to destroy Kikyo's dead spirit.
context: I don't think Muso is just another one of Naraku's creations.\I agree. Muso has Onigumo's heart.\But don't you think it's strange?\Huh?\Why would Naraku let Muso...\Naraku tried to get rid of Onigumo's heart...\because it still has feelings for Kikyo.\Then he would try to destroy Kikyo's dead spirit. response:	For Naraku, Onigumo was a liability.
context: I agree. Muso has Onigumo's heart.\But don't you think it's strange?\Huh?\Why would Naraku let Muso...\Naraku tried to get rid of Onigumo's heart...\because it still has feelings for Kikyo.\Then he would try to destroy Kikyo's dead spirit.\For Naraku, Onigumo was a liability. response:	Isn't that why he cast Onigumo out of his body?
context: But don't you think it's strange?\Huh?\Why would Naraku let Muso...\Naraku tried to get rid of Onigumo's heart...\because it still has feelings for Kikyo.\Then he would try to destroy Kikyo's dead spirit.\For Naraku, Onigumo was a liability.\Isn't that why he cast Onigumo out of his body? response:	Yet Naraku is using Kagura and the toxic wasps to protect Muso.
context: Huh?\Why would Naraku let Muso...\Naraku tried to get rid of Onigumo's heart...\because it still has feelings for Kikyo.\Then he would try to destroy Kikyo's dead spirit.\For Naraku, Onigumo was a liability.\Isn't that why he cast Onigumo out of his body?\Yet Naraku is using Kagura and the toxic wasps to protect Muso. response:	What's going on?
context: Why would Naraku let Muso...\Naraku tried to get rid of Onigumo's heart...\because it still has feelings for Kikyo.\Then he would try to destroy Kikyo's dead spirit.\For Naraku, Onigumo was a liability.\Isn't that why he cast Onigumo out of his body?\Yet Naraku is using Kagura and the toxic wasps to protect Muso.\What's going on? response:	He's created others before, then cast them out after using them.
context: Naraku tried to get rid of Onigumo's heart...\because it still has feelings for Kikyo.\Then he would try to destroy Kikyo's dead spirit.\For Naraku, Onigumo was a liability.\Isn't that why he cast Onigumo out of his body?\Yet Naraku is using Kagura and the toxic wasps to protect Muso.\What's going on?\He's created others before, then cast them out after using them. response:	Does it mean that Naraku still needs Onigumo?
context: because it still has feelings for Kikyo.\Then he would try to destroy Kikyo's dead spirit.\For Naraku, Onigumo was a liability.\Isn't that why he cast Onigumo out of his body?\Yet Naraku is using Kagura and the toxic wasps to protect Muso.\What's going on?\He's created others before, then cast them out after using them.\Does it mean that Naraku still needs Onigumo? response:	Damn that Inuyasha! I almost killed him, too.
context: Then he would try to destroy Kikyo's dead spirit.\For Naraku, Onigumo was a liability.\Isn't that why he cast Onigumo out of his body?\Yet Naraku is using Kagura and the toxic wasps to protect Muso.\What's going on?\He's created others before, then cast them out after using them.\Does it mean that Naraku still needs Onigumo?\Damn that Inuyasha! I almost killed him, too. response:	Where am I anyway?
context: For Naraku, Onigumo was a liability.\Isn't that why he cast Onigumo out of his body?\Yet Naraku is using Kagura and the toxic wasps to protect Muso.\What's going on?\He's created others before, then cast them out after using them.\Does it mean that Naraku still needs Onigumo?\Damn that Inuyasha! I almost killed him, too.\Where am I anyway? response:	Onigumo... No, I should call you Muso.
context: Isn't that why he cast Onigumo out of his body?\Yet Naraku is using Kagura and the toxic wasps to protect Muso.\What's going on?\He's created others before, then cast them out after using them.\Does it mean that Naraku still needs Onigumo?\Damn that Inuyasha! I almost killed him, too.\Where am I anyway?\Onigumo... No, I should call you Muso. response:	Imagine confronting each other like this.
context: Yet Naraku is using Kagura and the toxic wasps to protect Muso.\What's going on?\He's created others before, then cast them out after using them.\Does it mean that Naraku still needs Onigumo?\Damn that Inuyasha! I almost killed him, too.\Where am I anyway?\Onigumo... No, I should call you Muso.\Imagine confronting each other like this. response:	You're... Naraku?
context: What's going on?\He's created others before, then cast them out after using them.\Does it mean that Naraku still needs Onigumo?\Damn that Inuyasha! I almost killed him, too.\Where am I anyway?\Onigumo... No, I should call you Muso.\Imagine confronting each other like this.\You're... Naraku? response:	Are you Naraku?!
context: He's created others before, then cast them out after using them.\Does it mean that Naraku still needs Onigumo?\Damn that Inuyasha! I almost killed him, too.\Where am I anyway?\Onigumo... No, I should call you Muso.\Imagine confronting each other like this.\You're... Naraku?\Are you Naraku?! response:	Did you enjoy the outside world after fifty years' absence?
context: Does it mean that Naraku still needs Onigumo?\Damn that Inuyasha! I almost killed him, too.\Where am I anyway?\Onigumo... No, I should call you Muso.\Imagine confronting each other like this.\You're... Naraku?\Are you Naraku?!\Did you enjoy the outside world after fifty years' absence? response:	Fifty years?
context: Damn that Inuyasha! I almost killed him, too.\Where am I anyway?\Onigumo... No, I should call you Muso.\Imagine confronting each other like this.\You're... Naraku?\Are you Naraku?!\Did you enjoy the outside world after fifty years' absence?\Fifty years? response:	Did you say fifty years?!
context: Where am I anyway?\Onigumo... No, I should call you Muso.\Imagine confronting each other like this.\You're... Naraku?\Are you Naraku?!\Did you enjoy the outside world after fifty years' absence?\Fifty years?\Did you say fifty years?! response:	Muso, come back inside me once more.
context: Onigumo... No, I should call you Muso.\Imagine confronting each other like this.\You're... Naraku?\Are you Naraku?!\Did you enjoy the outside world after fifty years' absence?\Fifty years?\Did you say fifty years?!\Muso, come back inside me once more. response:	You've gotta be joking.
context: Imagine confronting each other like this.\You're... Naraku?\Are you Naraku?!\Did you enjoy the outside world after fifty years' absence?\Fifty years?\Did you say fifty years?!\Muso, come back inside me once more.\You've gotta be joking. response:	Don't think I want you inside me any longer than necessary.
context: You're... Naraku?\Are you Naraku?!\Did you enjoy the outside world after fifty years' absence?\Fifty years?\Did you say fifty years?!\Muso, come back inside me once more.\You've gotta be joking.\Don't think I want you inside me any longer than necessary. response:	However, you were released too early.
context: Are you Naraku?!\Did you enjoy the outside world after fifty years' absence?\Fifty years?\Did you say fifty years?!\Muso, come back inside me once more.\You've gotta be joking.\Don't think I want you inside me any longer than necessary.\However, you were released too early. response:	Too early?!
context: Did you enjoy the outside world after fifty years' absence?\Fifty years?\Did you say fifty years?!\Muso, come back inside me once more.\You've gotta be joking.\Don't think I want you inside me any longer than necessary.\However, you were released too early.\Too early?! response:	How dare you say that after keeping me locked up for fifty years!
context: Fifty years?\Did you say fifty years?!\Muso, come back inside me once more.\You've gotta be joking.\Don't think I want you inside me any longer than necessary.\However, you were released too early.\Too early?!\How dare you say that after keeping me locked up for fifty years! response:	It must have felt like a second to you.
context: Did you say fifty years?!\Muso, come back inside me once more.\You've gotta be joking.\Don't think I want you inside me any longer than necessary.\However, you were released too early.\Too early?!\How dare you say that after keeping me locked up for fifty years!\It must have felt like a second to you. response:	I remember now!
context: Muso, come back inside me once more.\You've gotta be joking.\Don't think I want you inside me any longer than necessary.\However, you were released too early.\Too early?!\How dare you say that after keeping me locked up for fifty years!\It must have felt like a second to you.\I remember now! response:	You're the one who killed Kikyo fifty years ago!
context: You've gotta be joking.\Don't think I want you inside me any longer than necessary.\However, you were released too early.\Too early?!\How dare you say that after keeping me locked up for fifty years!\It must have felt like a second to you.\I remember now!\You're the one who killed Kikyo fifty years ago! response:	Your perverted greed lured the demons.
context: Don't think I want you inside me any longer than necessary.\However, you were released too early.\Too early?!\How dare you say that after keeping me locked up for fifty years!\It must have felt like a second to you.\I remember now!\You're the one who killed Kikyo fifty years ago!\Your perverted greed lured the demons. response:	And those demons which devoured your flesh
context: However, you were released too early.\Too early?!\How dare you say that after keeping me locked up for fifty years!\It must have felt like a second to you.\I remember now!\You're the one who killed Kikyo fifty years ago!\Your perverted greed lured the demons.\And those demons which devoured your flesh response:	wanted to kill Kikyo.
context: Too early?!\How dare you say that after keeping me locked up for fifty years!\It must have felt like a second to you.\I remember now!\You're the one who killed Kikyo fifty years ago!\Your perverted greed lured the demons.\And those demons which devoured your flesh\wanted to kill Kikyo. response:	Wasn't that you!?
context: How dare you say that after keeping me locked up for fifty years!\It must have felt like a second to you.\I remember now!\You're the one who killed Kikyo fifty years ago!\Your perverted greed lured the demons.\And those demons which devoured your flesh\wanted to kill Kikyo.\Wasn't that you!? response:	That was not me.
context: It must have felt like a second to you.\I remember now!\You're the one who killed Kikyo fifty years ago!\Your perverted greed lured the demons.\And those demons which devoured your flesh\wanted to kill Kikyo.\Wasn't that you!?\That was not me. response:	I am Naraku. You should know that.
context: I remember now!\You're the one who killed Kikyo fifty years ago!\Your perverted greed lured the demons.\And those demons which devoured your flesh\wanted to kill Kikyo.\Wasn't that you!?\That was not me.\I am Naraku. You should know that. response:	Shut up!
context: You're the one who killed Kikyo fifty years ago!\Your perverted greed lured the demons.\And those demons which devoured your flesh\wanted to kill Kikyo.\Wasn't that you!?\That was not me.\I am Naraku. You should know that.\Shut up! response:	All I wanted was to make Kikyo mine!
context: Your perverted greed lured the demons.\And those demons which devoured your flesh\wanted to kill Kikyo.\Wasn't that you!?\That was not me.\I am Naraku. You should know that.\Shut up!\All I wanted was to make Kikyo mine! response:	Damn!
context: And those demons which devoured your flesh\wanted to kill Kikyo.\Wasn't that you!?\That was not me.\I am Naraku. You should know that.\Shut up!\All I wanted was to make Kikyo mine!\Damn! response:	Kikyo was resurrected.
