context: Divorced?! response:	We'll apparently be shipping off to Tokyo later this year.
context: Either way, though, I'll still be going to college there.\I see... don't scare me like that, geez.\Less talking, more eating.\Yeah. I'll be done soon.\Hey runts, what are you doing today on your day off?\Ice skating.\All right, I'm done.\Masa, leave after you've cleaned your dishes. response:	Masa, it's gonna get dark out if you're this slow!
context: I see... don't scare me like that, geez.\Less talking, more eating.\Yeah. I'll be done soon.\Hey runts, what are you doing today on your day off?\Ice skating.\All right, I'm done.\Masa, leave after you've cleaned your dishes.\Masa, it's gonna get dark out if you're this slow! response:	Hurry and get your stuff ready!
context: Less talking, more eating.\Yeah. I'll be done soon.\Hey runts, what are you doing today on your day off?\Ice skating.\All right, I'm done.\Masa, leave after you've cleaned your dishes.\Masa, it's gonna get dark out if you're this slow!\Hurry and get your stuff ready! response:	By the way...
context: Yeah. I'll be done soon.\Hey runts, what are you doing today on your day off?\Ice skating.\All right, I'm done.\Masa, leave after you've cleaned your dishes.\Masa, it's gonna get dark out if you're this slow!\Hurry and get your stuff ready!\By the way... response:	Yes?
context: Hey runts, what are you doing today on your day off?\Ice skating.\All right, I'm done.\Masa, leave after you've cleaned your dishes.\Masa, it's gonna get dark out if you're this slow!\Hurry and get your stuff ready!\By the way...\Yes? response:	Were you the one who suggested staying behind?
context: Ice skating.\All right, I'm done.\Masa, leave after you've cleaned your dishes.\Masa, it's gonna get dark out if you're this slow!\Hurry and get your stuff ready!\By the way...\Yes?\Were you the one who suggested staying behind? response:	I'm asking whether or not you told your mom you wanted to stay.
context: All right, I'm done.\Masa, leave after you've cleaned your dishes.\Masa, it's gonna get dark out if you're this slow!\Hurry and get your stuff ready!\By the way...\Yes?\Were you the one who suggested staying behind?\I'm asking whether or not you told your mom you wanted to stay. response:	Yeah, I guess... but she was the one who said it'd be fine to stay if I wanted to.
context: Masa, leave after you've cleaned your dishes.\Masa, it's gonna get dark out if you're this slow!\Hurry and get your stuff ready!\By the way...\Yes?\Were you the one who suggested staying behind?\I'm asking whether or not you told your mom you wanted to stay.\Yeah, I guess... but she was the one who said it'd be fine to stay if I wanted to. response:	So I said, Oh... okay.
context: Masa, it's gonna get dark out if you're this slow!\Hurry and get your stuff ready!\By the way...\Yes?\Were you the one who suggested staying behind?\I'm asking whether or not you told your mom you wanted to stay.\Yeah, I guess... but she was the one who said it'd be fine to stay if I wanted to.\So I said, Oh... okay. response:	We can go now.
context: Hurry and get your stuff ready!\By the way...\Yes?\Were you the one who suggested staying behind?\I'm asking whether or not you told your mom you wanted to stay.\Yeah, I guess... but she was the one who said it'd be fine to stay if I wanted to.\So I said, Oh... okay.\We can go now. response:	So you've thought a lot about it.
context: By the way...\Yes?\Were you the one who suggested staying behind?\I'm asking whether or not you told your mom you wanted to stay.\Yeah, I guess... but she was the one who said it'd be fine to stay if I wanted to.\So I said, Oh... okay.\We can go now.\So you've thought a lot about it. response:	Even if I haven't...
context: Yes?\Were you the one who suggested staying behind?\I'm asking whether or not you told your mom you wanted to stay.\Yeah, I guess... but she was the one who said it'd be fine to stay if I wanted to.\So I said, Oh... okay.\We can go now.\So you've thought a lot about it.\Even if I haven't... response:	Hey... I thought I'd tell you today, but...
context: Were you the one who suggested staying behind?\I'm asking whether or not you told your mom you wanted to stay.\Yeah, I guess... but she was the one who said it'd be fine to stay if I wanted to.\So I said, Oh... okay.\We can go now.\So you've thought a lot about it.\Even if I haven't...\Hey... I thought I'd tell you today, but... response:	What is it?
context: I'm asking whether or not you told your mom you wanted to stay.\Yeah, I guess... but she was the one who said it'd be fine to stay if I wanted to.\So I said, Oh... okay.\We can go now.\So you've thought a lot about it.\Even if I haven't...\Hey... I thought I'd tell you today, but...\What is it? response:	I confessed my feelings to Takahashi.
context: Yeah, I guess... but she was the one who said it'd be fine to stay if I wanted to.\So I said, Oh... okay.\We can go now.\So you've thought a lot about it.\Even if I haven't...\Hey... I thought I'd tell you today, but...\What is it?\I confessed my feelings to Takahashi. response:	Usotsuki na anata nakimushi no atashi
context: So I said, Oh... okay.\We can go now.\So you've thought a lot about it.\Even if I haven't...\Hey... I thought I'd tell you today, but...\What is it?\I confessed my feelings to Takahashi.\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: We can go now.\So you've thought a lot about it.\Even if I haven't...\Hey... I thought I'd tell you today, but...\What is it?\I confessed my feelings to Takahashi.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: So you've thought a lot about it.\Even if I haven't...\Hey... I thought I'd tell you today, but...\What is it?\I confessed my feelings to Takahashi.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Even if I haven't...\Hey... I thought I'd tell you today, but...\What is it?\I confessed my feelings to Takahashi.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Hey... I thought I'd tell you today, but...\What is it?\I confessed my feelings to Takahashi.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: What is it?\I confessed my feelings to Takahashi.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: I confessed my feelings to Takahashi.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 23 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 23 ... response:	When?
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 23 ...\When? response:	Two days ago.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 23 ...\When?\Two days ago. response:	That's dirty.
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 23 ...\When?\Two days ago.\That's dirty. response:	While I was sick in bed, you...
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 23 ...\When?\Two days ago.\That's dirty.\While I was sick in bed, you... response:	Yeah. I tend to be good at playing dirty, I guess.
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 23 ...\When?\Two days ago.\That's dirty.\While I was sick in bed, you...\Yeah. I tend to be good at playing dirty, I guess. response:	Aren't you going to ask how she responded?
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 23 ...\When?\Two days ago.\That's dirty.\While I was sick in bed, you...\Yeah. I tend to be good at playing dirty, I guess.\Aren't you going to ask how she responded? response:	Sorry. I'm going home for today.
context: Episode 23 ...\When?\Two days ago.\That's dirty.\While I was sick in bed, you...\Yeah. I tend to be good at playing dirty, I guess.\Aren't you going to ask how she responded?\Sorry. I'm going home for today. response:	Don't jump to conclusions...
context: When?\Two days ago.\That's dirty.\While I was sick in bed, you...\Yeah. I tend to be good at playing dirty, I guess.\Aren't you going to ask how she responded?\Sorry. I'm going home for today.\Don't jump to conclusions... response:	If I hadn't confessed, do you really think two guys would go ice skating on a Sunday morning like this-
context: Two days ago.\That's dirty.\While I was sick in bed, you...\Yeah. I tend to be good at playing dirty, I guess.\Aren't you going to ask how she responded?\Sorry. I'm going home for today.\Don't jump to conclusions...\If I hadn't confessed, do you really think two guys would go ice skating on a Sunday morning like this- response:	We've known each other since the sixth grade.
context: That's dirty.\While I was sick in bed, you...\Yeah. I tend to be good at playing dirty, I guess.\Aren't you going to ask how she responded?\Sorry. I'm going home for today.\Don't jump to conclusions...\If I hadn't confessed, do you really think two guys would go ice skating on a Sunday morning like this-\We've known each other since the sixth grade. response:	Don't underestimate that, moron.
context: While I was sick in bed, you...\Yeah. I tend to be good at playing dirty, I guess.\Aren't you going to ask how she responded?\Sorry. I'm going home for today.\Don't jump to conclusions...\If I hadn't confessed, do you really think two guys would go ice skating on a Sunday morning like this-\We've known each other since the sixth grade.\Don't underestimate that, moron. response:	What? You're back already?
context: Yeah. I tend to be good at playing dirty, I guess.\Aren't you going to ask how she responded?\Sorry. I'm going home for today.\Don't jump to conclusions...\If I hadn't confessed, do you really think two guys would go ice skating on a Sunday morning like this-\We've known each other since the sixth grade.\Don't underestimate that, moron.\What? You're back already? response:	Yeah...
context: Aren't you going to ask how she responded?\Sorry. I'm going home for today.\Don't jump to conclusions...\If I hadn't confessed, do you really think two guys would go ice skating on a Sunday morning like this-\We've known each other since the sixth grade.\Don't underestimate that, moron.\What? You're back already?\Yeah... response:	As soon as I told him that I confessed to Takahashi, he went blue in the face.
context: Sorry. I'm going home for today.\Don't jump to conclusions...\If I hadn't confessed, do you really think two guys would go ice skating on a Sunday morning like this-\We've known each other since the sixth grade.\Don't underestimate that, moron.\What? You're back already?\Yeah...\As soon as I told him that I confessed to Takahashi, he went blue in the face. response:	What's up with that?
context: Don't jump to conclusions...\If I hadn't confessed, do you really think two guys would go ice skating on a Sunday morning like this-\We've known each other since the sixth grade.\Don't underestimate that, moron.\What? You're back already?\Yeah...\As soon as I told him that I confessed to Takahashi, he went blue in the face.\What's up with that? response:	You serious?!
context: If I hadn't confessed, do you really think two guys would go ice skating on a Sunday morning like this-\We've known each other since the sixth grade.\Don't underestimate that, moron.\What? You're back already?\Yeah...\As soon as I told him that I confessed to Takahashi, he went blue in the face.\What's up with that?\You serious?! response:	W-What?
context: We've known each other since the sixth grade.\Don't underestimate that, moron.\What? You're back already?\Yeah...\As soon as I told him that I confessed to Takahashi, he went blue in the face.\What's up with that?\You serious?!\W-What? response:	Good job, man!
context: Don't underestimate that, moron.\What? You're back already?\Yeah...\As soon as I told him that I confessed to Takahashi, he went blue in the face.\What's up with that?\You serious?!\W-What?\Good job, man! response:	Let me say something... I think you already know, but...
context: What? You're back already?\Yeah...\As soon as I told him that I confessed to Takahashi, he went blue in the face.\What's up with that?\You serious?!\W-What?\Good job, man!\Let me say something... I think you already know, but... response:	Both of you, even.
context: Yeah...\As soon as I told him that I confessed to Takahashi, he went blue in the face.\What's up with that?\You serious?!\W-What?\Good job, man!\Let me say something... I think you already know, but...\Both of you, even. response:	Nothing's changed.
context: As soon as I told him that I confessed to Takahashi, he went blue in the face.\What's up with that?\You serious?!\W-What?\Good job, man!\Let me say something... I think you already know, but...\Both of you, even.\Nothing's changed. response:	So little has changed between us that it's sad.
context: What's up with that?\You serious?!\W-What?\Good job, man!\Let me say something... I think you already know, but...\Both of you, even.\Nothing's changed.\So little has changed between us that it's sad. response:	But she didn't refuse you, did she?
context: You serious?!\W-What?\Good job, man!\Let me say something... I think you already know, but...\Both of you, even.\Nothing's changed.\So little has changed between us that it's sad.\But she didn't refuse you, did she? response:	How... did you know?
context: W-What?\Good job, man!\Let me say something... I think you already know, but...\Both of you, even.\Nothing's changed.\So little has changed between us that it's sad.\But she didn't refuse you, did she?\How... did you know? response:	You've always only taken challenges when the odds are in your favor.
context: Good job, man!\Let me say something... I think you already know, but...\Both of you, even.\Nothing's changed.\So little has changed between us that it's sad.\But she didn't refuse you, did she?\How... did you know?\You've always only taken challenges when the odds are in your favor. response:	I see now. I can understand why Moto would get so upset about this.
context: Let me say something... I think you already know, but...\Both of you, even.\Nothing's changed.\So little has changed between us that it's sad.\But she didn't refuse you, did she?\How... did you know?\You've always only taken challenges when the odds are in your favor.\I see now. I can understand why Moto would get so upset about this. response:	So? How'd you handle yourself in this little challenge?
context: Both of you, even.\Nothing's changed.\So little has changed between us that it's sad.\But she didn't refuse you, did she?\How... did you know?\You've always only taken challenges when the odds are in your favor.\I see now. I can understand why Moto would get so upset about this.\So? How'd you handle yourself in this little challenge? response:	I want to protect you, Takahashi!
context: Nothing's changed.\So little has changed between us that it's sad.\But she didn't refuse you, did she?\How... did you know?\You've always only taken challenges when the odds are in your favor.\I see now. I can understand why Moto would get so upset about this.\So? How'd you handle yourself in this little challenge?\I want to protect you, Takahashi! response:	Umm...
context: So little has changed between us that it's sad.\But she didn't refuse you, did she?\How... did you know?\You've always only taken challenges when the odds are in your favor.\I see now. I can understand why Moto would get so upset about this.\So? How'd you handle yourself in this little challenge?\I want to protect you, Takahashi!\Umm... response:	Ah, don't give me your answer right now.
context: But she didn't refuse you, did she?\How... did you know?\You've always only taken challenges when the odds are in your favor.\I see now. I can understand why Moto would get so upset about this.\So? How'd you handle yourself in this little challenge?\I want to protect you, Takahashi!\Umm...\Ah, don't give me your answer right now. response:	I don't intend to accept any answer but yes.
context: How... did you know?\You've always only taken challenges when the odds are in your favor.\I see now. I can understand why Moto would get so upset about this.\So? How'd you handle yourself in this little challenge?\I want to protect you, Takahashi!\Umm...\Ah, don't give me your answer right now.\I don't intend to accept any answer but yes. response:	I'm not taking this lightly, and I'm not confessing just for the hell of it.
context: You've always only taken challenges when the odds are in your favor.\I see now. I can understand why Moto would get so upset about this.\So? How'd you handle yourself in this little challenge?\I want to protect you, Takahashi!\Umm...\Ah, don't give me your answer right now.\I don't intend to accept any answer but yes.\I'm not taking this lightly, and I'm not confessing just for the hell of it. response:	Even if you refuse me, it won't stop me from loving you.
context: I see now. I can understand why Moto would get so upset about this.\So? How'd you handle yourself in this little challenge?\I want to protect you, Takahashi!\Umm...\Ah, don't give me your answer right now.\I don't intend to accept any answer but yes.\I'm not taking this lightly, and I'm not confessing just for the hell of it.\Even if you refuse me, it won't stop me from loving you. response:	In other words, I've decided to live with and accept these feelings.
context: So? How'd you handle yourself in this little challenge?\I want to protect you, Takahashi!\Umm...\Ah, don't give me your answer right now.\I don't intend to accept any answer but yes.\I'm not taking this lightly, and I'm not confessing just for the hell of it.\Even if you refuse me, it won't stop me from loving you.\In other words, I've decided to live with and accept these feelings. response:	Which is why... I'll be waiting.
context: I want to protect you, Takahashi!\Umm...\Ah, don't give me your answer right now.\I don't intend to accept any answer but yes.\I'm not taking this lightly, and I'm not confessing just for the hell of it.\Even if you refuse me, it won't stop me from loving you.\In other words, I've decided to live with and accept these feelings.\Which is why... I'll be waiting. response:	If it ever gets hard on you, or you can't bear with it any longer...
context: Umm...\Ah, don't give me your answer right now.\I don't intend to accept any answer but yes.\I'm not taking this lightly, and I'm not confessing just for the hell of it.\Even if you refuse me, it won't stop me from loving you.\In other words, I've decided to live with and accept these feelings.\Which is why... I'll be waiting.\If it ever gets hard on you, or you can't bear with it any longer... response:	Because... I'll always be waiting for you.
context: Ah, don't give me your answer right now.\I don't intend to accept any answer but yes.\I'm not taking this lightly, and I'm not confessing just for the hell of it.\Even if you refuse me, it won't stop me from loving you.\In other words, I've decided to live with and accept these feelings.\Which is why... I'll be waiting.\If it ever gets hard on you, or you can't bear with it any longer...\Because... I'll always be waiting for you. response:	I'll always be waiting for you.
context: I don't intend to accept any answer but yes.\I'm not taking this lightly, and I'm not confessing just for the hell of it.\Even if you refuse me, it won't stop me from loving you.\In other words, I've decided to live with and accept these feelings.\Which is why... I'll be waiting.\If it ever gets hard on you, or you can't bear with it any longer...\Because... I'll always be waiting for you.\I'll always be waiting for you. response:	Takeuchi-kun told me...
context: I'm not taking this lightly, and I'm not confessing just for the hell of it.\Even if you refuse me, it won't stop me from loving you.\In other words, I've decided to live with and accept these feelings.\Which is why... I'll be waiting.\If it ever gets hard on you, or you can't bear with it any longer...\Because... I'll always be waiting for you.\I'll always be waiting for you.\Takeuchi-kun told me... response:	You don't have to give me your answer right now.
context: Even if you refuse me, it won't stop me from loving you.\In other words, I've decided to live with and accept these feelings.\Which is why... I'll be waiting.\If it ever gets hard on you, or you can't bear with it any longer...\Because... I'll always be waiting for you.\I'll always be waiting for you.\Takeuchi-kun told me...\You don't have to give me your answer right now. response:	Thank goodness he said that...
context: In other words, I've decided to live with and accept these feelings.\Which is why... I'll be waiting.\If it ever gets hard on you, or you can't bear with it any longer...\Because... I'll always be waiting for you.\I'll always be waiting for you.\Takeuchi-kun told me...\You don't have to give me your answer right now.\Thank goodness he said that... response:	Because I don't want to hurt him... and in the first place, it's just impossible...
context: Which is why... I'll be waiting.\If it ever gets hard on you, or you can't bear with it any longer...\Because... I'll always be waiting for you.\I'll always be waiting for you.\Takeuchi-kun told me...\You don't have to give me your answer right now.\Thank goodness he said that...\Because I don't want to hurt him... and in the first place, it's just impossible... response:	But...
context: If it ever gets hard on you, or you can't bear with it any longer...\Because... I'll always be waiting for you.\I'll always be waiting for you.\Takeuchi-kun told me...\You don't have to give me your answer right now.\Thank goodness he said that...\Because I don't want to hurt him... and in the first place, it's just impossible...\But... response:	I'll be waiting.
context: Because... I'll always be waiting for you.\I'll always be waiting for you.\Takeuchi-kun told me...\You don't have to give me your answer right now.\Thank goodness he said that...\Because I don't want to hurt him... and in the first place, it's just impossible...\But...\I'll be waiting. response:	Mizu-chin?
context: I'll always be waiting for you.\Takeuchi-kun told me...\You don't have to give me your answer right now.\Thank goodness he said that...\Because I don't want to hurt him... and in the first place, it's just impossible...\But...\I'll be waiting.\Mizu-chin? response:	Nana, have you made up with Yano?
context: Takeuchi-kun told me...\You don't have to give me your answer right now.\Thank goodness he said that...\Because I don't want to hurt him... and in the first place, it's just impossible...\But...\I'll be waiting.\Mizu-chin?\Nana, have you made up with Yano? response:	No... not yet.
context: You don't have to give me your answer right now.\Thank goodness he said that...\Because I don't want to hurt him... and in the first place, it's just impossible...\But...\I'll be waiting.\Mizu-chin?\Nana, have you made up with Yano?\No... not yet. response:	Huh? But didn't you go to see him when he was sick?
context: Thank goodness he said that...\Because I don't want to hurt him... and in the first place, it's just impossible...\But...\I'll be waiting.\Mizu-chin?\Nana, have you made up with Yano?\No... not yet.\Huh? But didn't you go to see him when he was sick? response:	No... I didn't end up going in the end.
context: Because I don't want to hurt him... and in the first place, it's just impossible...\But...\I'll be waiting.\Mizu-chin?\Nana, have you made up with Yano?\No... not yet.\Huh? But didn't you go to see him when he was sick?\No... I didn't end up going in the end. response:	Then you haven't gotten in touch with him at all?
context: But...\I'll be waiting.\Mizu-chin?\Nana, have you made up with Yano?\No... not yet.\Huh? But didn't you go to see him when he was sick?\No... I didn't end up going in the end.\Then you haven't gotten in touch with him at all? response:	No...
context: I'll be waiting.\Mizu-chin?\Nana, have you made up with Yano?\No... not yet.\Huh? But didn't you go to see him when he was sick?\No... I didn't end up going in the end.\Then you haven't gotten in touch with him at all?\No... response:	What are you planning on doing?
context: Mizu-chin?\Nana, have you made up with Yano?\No... not yet.\Huh? But didn't you go to see him when he was sick?\No... I didn't end up going in the end.\Then you haven't gotten in touch with him at all?\No...\What are you planning on doing? response:	I don't know...
context: Nana, have you made up with Yano?\No... not yet.\Huh? But didn't you go to see him when he was sick?\No... I didn't end up going in the end.\Then you haven't gotten in touch with him at all?\No...\What are you planning on doing?\I don't know... response:	Mizu-chin, I don't know... my head's so mixed up...
context: No... not yet.\Huh? But didn't you go to see him when he was sick?\No... I didn't end up going in the end.\Then you haven't gotten in touch with him at all?\No...\What are you planning on doing?\I don't know...\Mizu-chin, I don't know... my head's so mixed up... response:	Did something happen?
context: Huh? But didn't you go to see him when he was sick?\No... I didn't end up going in the end.\Then you haven't gotten in touch with him at all?\No...\What are you planning on doing?\I don't know...\Mizu-chin, I don't know... my head's so mixed up...\Did something happen? response:	No... it's just that...
context: No... I didn't end up going in the end.\Then you haven't gotten in touch with him at all?\No...\What are you planning on doing?\I don't know...\Mizu-chin, I don't know... my head's so mixed up...\Did something happen?\No... it's just that... response:	What happened?
context: Then you haven't gotten in touch with him at all?\No...\What are you planning on doing?\I don't know...\Mizu-chin, I don't know... my head's so mixed up...\Did something happen?\No... it's just that...\What happened? response:	I can't understand his feelings at all.
context: No...\What are you planning on doing?\I don't know...\Mizu-chin, I don't know... my head's so mixed up...\Did something happen?\No... it's just that...\What happened?\I can't understand his feelings at all. response:	I planned on giving it all my effort, but I keep on giving up at some point...
context: What are you planning on doing?\I don't know...\Mizu-chin, I don't know... my head's so mixed up...\Did something happen?\No... it's just that...\What happened?\I can't understand his feelings at all.\I planned on giving it all my effort, but I keep on giving up at some point... response:	I must be such horrible girlfriend...
