context: I'm Kinoshita Kazuya, twenty years old, response:	and I'm a college student living by myself in Tokyo.
context: I should go catch the last train.\Oh, yeah! Nothing beats taking a train to get back home, huh?\hYou are blocked from following @pyon-pyon210 and viewing @pyon-pyon210's Tweets.hhhhhhhhhhhhh\She blocked me.\Don't tell me...\She's already moved on and gone all the way with the new guy?!\Torment\This sucks! response:	Torment
context: Oh, yeah! Nothing beats taking a train to get back home, huh?\hYou are blocked from following @pyon-pyon210 and viewing @pyon-pyon210's Tweets.hhhhhhhhhhhhh\She blocked me.\Don't tell me...\She's already moved on and gone all the way with the new guy?!\Torment\This sucks!\Torment response:	And why am I getting turned on?
context: hYou are blocked from following @pyon-pyon210 and viewing @pyon-pyon210's Tweets.hhhhhhhhhhhhh\She blocked me.\Don't tell me...\She's already moved on and gone all the way with the new guy?!\Torment\This sucks!\Torment\And why am I getting turned on? response:	Torment
context: She blocked me.\Don't tell me...\She's already moved on and gone all the way with the new guy?!\Torment\This sucks!\Torment\And why am I getting turned on?\Torment response:	Junior's a big boy now! He's ready to move out!
context: Don't tell me...\She's already moved on and gone all the way with the new guy?!\Torment\This sucks!\Torment\And why am I getting turned on?\Torment\Junior's a big boy now! He's ready to move out! response:	Japan's most popular Rent-a-Girlfriend site!
context: She's already moved on and gone all the way with the new guy?!\Torment\This sucks!\Torment\And why am I getting turned on?\Torment\Junior's a big boy now! He's ready to move out!\Japan's most popular Rent-a-Girlfriend site! response:	Install
context: Torment\This sucks!\Torment\And why am I getting turned on?\Torment\Junior's a big boy now! He's ready to move out!\Japan's most popular Rent-a-Girlfriend site!\Install response:	A gem of an app that heals your soul...
context: This sucks!\Torment\And why am I getting turned on?\Torment\Junior's a big boy now! He's ready to move out!\Japan's most popular Rent-a-Girlfriend site!\Install\A gem of an app that heals your soul... response:	134 reviews
context: Torment\And why am I getting turned on?\Torment\Junior's a big boy now! He's ready to move out!\Japan's most popular Rent-a-Girlfriend site!\Install\A gem of an app that heals your soul...\134 reviews response:	Rent-a-Girlfriend?
context: And why am I getting turned on?\Torment\Junior's a big boy now! He's ready to move out!\Japan's most popular Rent-a-Girlfriend site!\Install\A gem of an app that heals your soul...\134 reviews\Rent-a-Girlfriend? response:	Spend a dreamlike time with our talents!
context: Torment\Junior's a big boy now! He's ready to move out!\Japan's most popular Rent-a-Girlfriend site!\Install\A gem of an app that heals your soul...\134 reviews\Rent-a-Girlfriend?\Spend a dreamlike time with our talents! response:	You're free to choose your girlfriend!
context: Junior's a big boy now! He's ready to move out!\Japan's most popular Rent-a-Girlfriend site!\Install\A gem of an app that heals your soul...\134 reviews\Rent-a-Girlfriend?\Spend a dreamlike time with our talents!\You're free to choose your girlfriend! response:	For just 5,000 yen per hour!
context: Japan's most popular Rent-a-Girlfriend site!\Install\A gem of an app that heals your soul...\134 reviews\Rent-a-Girlfriend?\Spend a dreamlike time with our talents!\You're free to choose your girlfriend!\For just 5,000 yen per hour! response:	Perfect if you're worried or stressed out about your love life!
context: Install\A gem of an app that heals your soul...\134 reviews\Rent-a-Girlfriend?\Spend a dreamlike time with our talents!\You're free to choose your girlfriend!\For just 5,000 yen per hour!\Perfect if you're worried or stressed out about your love life! response:	Man, I've had it.
context: A gem of an app that heals your soul...\134 reviews\Rent-a-Girlfriend?\Spend a dreamlike time with our talents!\You're free to choose your girlfriend!\For just 5,000 yen per hour!\Perfect if you're worried or stressed out about your love life!\Man, I've had it. response:	Like... I'm just... fed up with it all.
context: 134 reviews\Rent-a-Girlfriend?\Spend a dreamlike time with our talents!\You're free to choose your girlfriend!\For just 5,000 yen per hour!\Perfect if you're worried or stressed out about your love life!\Man, I've had it.\Like... I'm just... fed up with it all. response:	Mizuhara Chizuru
context: Rent-a-Girlfriend?\Spend a dreamlike time with our talents!\You're free to choose your girlfriend!\For just 5,000 yen per hour!\Perfect if you're worried or stressed out about your love life!\Man, I've had it.\Like... I'm just... fed up with it all.\Mizuhara Chizuru response:	A pure and refined high-class girlfriend
context: Spend a dreamlike time with our talents!\You're free to choose your girlfriend!\For just 5,000 yen per hour!\Perfect if you're worried or stressed out about your love life!\Man, I've had it.\Like... I'm just... fed up with it all.\Mizuhara Chizuru\A pure and refined high-class girlfriend response:	Tokyo Underground
context: You're free to choose your girlfriend!\For just 5,000 yen per hour!\Perfect if you're worried or stressed out about your love life!\Man, I've had it.\Like... I'm just... fed up with it all.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Tokyo Underground response:	Ikebukuro Station
context: For just 5,000 yen per hour!\Perfect if you're worried or stressed out about your love life!\Man, I've had it.\Like... I'm just... fed up with it all.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Tokyo Underground\Ikebukuro Station response:	What am I doing here?
context: Perfect if you're worried or stressed out about your love life!\Man, I've had it.\Like... I'm just... fed up with it all.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Tokyo Underground\Ikebukuro Station\What am I doing here? response:	I bet the girl's gonna be fugly without all the filters.
context: Man, I've had it.\Like... I'm just... fed up with it all.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Tokyo Underground\Ikebukuro Station\What am I doing here?\I bet the girl's gonna be fugly without all the filters. response:	An orange shirt and striped pants...
context: Like... I'm just... fed up with it all.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Tokyo Underground\Ikebukuro Station\What am I doing here?\I bet the girl's gonna be fugly without all the filters.\An orange shirt and striped pants... response:	You must be Kazuya-kun, right?
context: Mizuhara Chizuru\A pure and refined high-class girlfriend\Tokyo Underground\Ikebukuro Station\What am I doing here?\I bet the girl's gonna be fugly without all the filters.\An orange shirt and striped pants...\You must be Kazuya-kun, right? response:	Cafe Kanoir
context: A pure and refined high-class girlfriend\Tokyo Underground\Ikebukuro Station\What am I doing here?\I bet the girl's gonna be fugly without all the filters.\An orange shirt and striped pants...\You must be Kazuya-kun, right?\Cafe Kanoir response:	You're in college? What year?
context: Tokyo Underground\Ikebukuro Station\What am I doing here?\I bet the girl's gonna be fugly without all the filters.\An orange shirt and striped pants...\You must be Kazuya-kun, right?\Cafe Kanoir\You're in college? What year? response:	F-First year.
context: Ikebukuro Station\What am I doing here?\I bet the girl's gonna be fugly without all the filters.\An orange shirt and striped pants...\You must be Kazuya-kun, right?\Cafe Kanoir\You're in college? What year?\F-First year. response:	What? Me, too!
context: What am I doing here?\I bet the girl's gonna be fugly without all the filters.\An orange shirt and striped pants...\You must be Kazuya-kun, right?\Cafe Kanoir\You're in college? What year?\F-First year.\What? Me, too! response:	Oh, but I took a gap year.
context: I bet the girl's gonna be fugly without all the filters.\An orange shirt and striped pants...\You must be Kazuya-kun, right?\Cafe Kanoir\You're in college? What year?\F-First year.\What? Me, too!\Oh, but I took a gap year. response:	Ah, you're older than me, then.
context: An orange shirt and striped pants...\You must be Kazuya-kun, right?\Cafe Kanoir\You're in college? What year?\F-First year.\What? Me, too!\Oh, but I took a gap year.\Ah, you're older than me, then. response:	Oops.
context: You must be Kazuya-kun, right?\Cafe Kanoir\You're in college? What year?\F-First year.\What? Me, too!\Oh, but I took a gap year.\Ah, you're older than me, then.\Oops. response:	Damn...
context: Cafe Kanoir\You're in college? What year?\F-First year.\What? Me, too!\Oh, but I took a gap year.\Ah, you're older than me, then.\Oops.\Damn... response:	She's hot!
context: You're in college? What year?\F-First year.\What? Me, too!\Oh, but I took a gap year.\Ah, you're older than me, then.\Oops.\Damn...\She's hot! response:	Anyone dating her would be living the life!
context: F-First year.\What? Me, too!\Oh, but I took a gap year.\Ah, you're older than me, then.\Oops.\Damn...\She's hot!\Anyone dating her would be living the life! response:	Whoa.
context: What? Me, too!\Oh, but I took a gap year.\Ah, you're older than me, then.\Oops.\Damn...\She's hot!\Anyone dating her would be living the life!\Whoa. response:	Hey, uh...
context: Oh, but I took a gap year.\Ah, you're older than me, then.\Oops.\Damn...\She's hot!\Anyone dating her would be living the life!\Whoa.\Hey, uh... response:	Do you mind?
context: Ah, you're older than me, then.\Oops.\Damn...\She's hot!\Anyone dating her would be living the life!\Whoa.\Hey, uh...\Do you mind? response:	Oh, sure.
context: Oops.\Damn...\She's hot!\Anyone dating her would be living the life!\Whoa.\Hey, uh...\Do you mind?\Oh, sure. response:	Crap... I wanna leave.
context: Damn...\She's hot!\Anyone dating her would be living the life!\Whoa.\Hey, uh...\Do you mind?\Oh, sure.\Crap... I wanna leave. response:	I wanna go home and sleep.
context: She's hot!\Anyone dating her would be living the life!\Whoa.\Hey, uh...\Do you mind?\Oh, sure.\Crap... I wanna leave.\I wanna go home and sleep. response:	Oh, so we're following the date plan I sent by text.
context: Anyone dating her would be living the life!\Whoa.\Hey, uh...\Do you mind?\Oh, sure.\Crap... I wanna leave.\I wanna go home and sleep.\Oh, so we're following the date plan I sent by text. response:	This is my first time at an aquarium.
context: Whoa.\Hey, uh...\Do you mind?\Oh, sure.\Crap... I wanna leave.\I wanna go home and sleep.\Oh, so we're following the date plan I sent by text.\This is my first time at an aquarium. response:	Really? That's unusual.
context: Hey, uh...\Do you mind?\Oh, sure.\Crap... I wanna leave.\I wanna go home and sleep.\Oh, so we're following the date plan I sent by text.\This is my first time at an aquarium.\Really? That's unusual. response:	Wow, that fish is cute.
context: Do you mind?\Oh, sure.\Crap... I wanna leave.\I wanna go home and sleep.\Oh, so we're following the date plan I sent by text.\This is my first time at an aquarium.\Really? That's unusual.\Wow, that fish is cute. response:	Oh, that's the glowlight tetra.
context: Oh, sure.\Crap... I wanna leave.\I wanna go home and sleep.\Oh, so we're following the date plan I sent by text.\This is my first time at an aquarium.\Really? That's unusual.\Wow, that fish is cute.\Oh, that's the glowlight tetra. response:	Do you know a lot about fish?
context: Crap... I wanna leave.\I wanna go home and sleep.\Oh, so we're following the date plan I sent by text.\This is my first time at an aquarium.\Really? That's unusual.\Wow, that fish is cute.\Oh, that's the glowlight tetra.\Do you know a lot about fish? response:	I-I guess? I love hitting up aquariums.
context: I wanna go home and sleep.\Oh, so we're following the date plan I sent by text.\This is my first time at an aquarium.\Really? That's unusual.\Wow, that fish is cute.\Oh, that's the glowlight tetra.\Do you know a lot about fish?\I-I guess? I love hitting up aquariums. response:	Wow!
context: Oh, so we're following the date plan I sent by text.\This is my first time at an aquarium.\Really? That's unusual.\Wow, that fish is cute.\Oh, that's the glowlight tetra.\Do you know a lot about fish?\I-I guess? I love hitting up aquariums.\Wow! response:	I'm so glad my first aquarium visit was with you!
context: This is my first time at an aquarium.\Really? That's unusual.\Wow, that fish is cute.\Oh, that's the glowlight tetra.\Do you know a lot about fish?\I-I guess? I love hitting up aquariums.\Wow!\I'm so glad my first aquarium visit was with you! response:	Well, I had lots of fun today.
context: Really? That's unusual.\Wow, that fish is cute.\Oh, that's the glowlight tetra.\Do you know a lot about fish?\I-I guess? I love hitting up aquariums.\Wow!\I'm so glad my first aquarium visit was with you!\Well, I had lots of fun today. response:	Thanks, Kazuya-kun! See you!
context: Wow, that fish is cute.\Oh, that's the glowlight tetra.\Do you know a lot about fish?\I-I guess? I love hitting up aquariums.\Wow!\I'm so glad my first aquarium visit was with you!\Well, I had lots of fun today.\Thanks, Kazuya-kun! See you! response:	The Head-over-Heels for Mizuhara Chizuru Thread
context: Oh, that's the glowlight tetra.\Do you know a lot about fish?\I-I guess? I love hitting up aquariums.\Wow!\I'm so glad my first aquarium visit was with you!\Well, I had lots of fun today.\Thanks, Kazuya-kun! See you!\The Head-over-Heels for Mizuhara Chizuru Thread response:	It's Anon's Fault
context: Do you know a lot about fish?\I-I guess? I love hitting up aquariums.\Wow!\I'm so glad my first aquarium visit was with you!\Well, I had lots of fun today.\Thanks, Kazuya-kun! See you!\The Head-over-Heels for Mizuhara Chizuru Thread\It's Anon's Fault response:	she held my hand at the end too,
context: I-I guess? I love hitting up aquariums.\Wow!\I'm so glad my first aquarium visit was with you!\Well, I had lots of fun today.\Thanks, Kazuya-kun! See you!\The Head-over-Heels for Mizuhara Chizuru Thread\It's Anon's Fault\she held my hand at the end too, response:	It's Anon's Fault
context: Wow!\I'm so glad my first aquarium visit was with you!\Well, I had lots of fun today.\Thanks, Kazuya-kun! See you!\The Head-over-Heels for Mizuhara Chizuru Thread\It's Anon's Fault\she held my hand at the end too,\It's Anon's Fault response:	She was only businesslike at first
context: I'm so glad my first aquarium visit was with you!\Well, I had lots of fun today.\Thanks, Kazuya-kun! See you!\The Head-over-Heels for Mizuhara Chizuru Thread\It's Anon's Fault\she held my hand at the end too,\It's Anon's Fault\She was only businesslike at first response:	I had fun after that
context: Well, I had lots of fun today.\Thanks, Kazuya-kun! See you!\The Head-over-Heels for Mizuhara Chizuru Thread\It's Anon's Fault\she held my hand at the end too,\It's Anon's Fault\She was only businesslike at first\I had fun after that response:	It's Anon's Fault
context: Thanks, Kazuya-kun! See you!\The Head-over-Heels for Mizuhara Chizuru Thread\It's Anon's Fault\she held my hand at the end too,\It's Anon's Fault\She was only businesslike at first\I had fun after that\It's Anon's Fault response:	The see you -> bright smile totally makes you wanna repeat
context: The Head-over-Heels for Mizuhara Chizuru Thread\It's Anon's Fault\she held my hand at the end too,\It's Anon's Fault\She was only businesslike at first\I had fun after that\It's Anon's Fault\The see you -> bright smile totally makes you wanna repeat response:	It's Anon's Fault
context: It's Anon's Fault\she held my hand at the end too,\It's Anon's Fault\She was only businesslike at first\I had fun after that\It's Anon's Fault\The see you -> bright smile totally makes you wanna repeat\It's Anon's Fault response:	I'm glad I wasn't the only one to fall for her, but there's way too many of you guys!!!
context: she held my hand at the end too,\It's Anon's Fault\She was only businesslike at first\I had fun after that\It's Anon's Fault\The see you -> bright smile totally makes you wanna repeat\It's Anon's Fault\I'm glad I wasn't the only one to fall for her, but there's way too many of you guys!!! response:	O-Outrageous!
context: It's Anon's Fault\She was only businesslike at first\I had fun after that\It's Anon's Fault\The see you -> bright smile totally makes you wanna repeat\It's Anon's Fault\I'm glad I wasn't the only one to fall for her, but there's way too many of you guys!!!\O-Outrageous! response:	It was all an act?!
context: She was only businesslike at first\I had fun after that\It's Anon's Fault\The see you -> bright smile totally makes you wanna repeat\It's Anon's Fault\I'm glad I wasn't the only one to fall for her, but there's way too many of you guys!!!\O-Outrageous!\It was all an act?! response:	Holding hands before the end is just part of her routine?!
context: I had fun after that\It's Anon's Fault\The see you -> bright smile totally makes you wanna repeat\It's Anon's Fault\I'm glad I wasn't the only one to fall for her, but there's way too many of you guys!!!\O-Outrageous!\It was all an act?!\Holding hands before the end is just part of her routine?! response:	How dare she toy with my heart?!
context: It's Anon's Fault\The see you -> bright smile totally makes you wanna repeat\It's Anon's Fault\I'm glad I wasn't the only one to fall for her, but there's way too many of you guys!!!\O-Outrageous!\It was all an act?!\Holding hands before the end is just part of her routine?!\How dare she toy with my heart?! response:	Anonymous
context: The see you -> bright smile totally makes you wanna repeat\It's Anon's Fault\I'm glad I wasn't the only one to fall for her, but there's way too many of you guys!!!\O-Outrageous!\It was all an act?!\Holding hands before the end is just part of her routine?!\How dare she toy with my heart?!\Anonymous response:	She was a moron who didn't even know the names of common fish
context: It's Anon's Fault\I'm glad I wasn't the only one to fall for her, but there's way too many of you guys!!!\O-Outrageous!\It was all an act?!\Holding hands before the end is just part of her routine?!\How dare she toy with my heart?!\Anonymous\She was a moron who didn't even know the names of common fish response:	She was a moron who didn't even know the names of common fish.
context: I'm glad I wasn't the only one to fall for her, but there's way too many of you guys!!!\O-Outrageous!\It was all an act?!\Holding hands before the end is just part of her routine?!\How dare she toy with my heart?!\Anonymous\She was a moron who didn't even know the names of common fish\She was a moron who didn't even know the names of common fish. response:	Credit (yen)
context: O-Outrageous!\It was all an act?!\Holding hands before the end is just part of her routine?!\How dare she toy with my heart?!\Anonymous\She was a moron who didn't even know the names of common fish\She was a moron who didn't even know the names of common fish.\Credit (yen) response:	Balance (yen)
context: It was all an act?!\Holding hands before the end is just part of her routine?!\How dare she toy with my heart?!\Anonymous\She was a moron who didn't even know the names of common fish\She was a moron who didn't even know the names of common fish.\Credit (yen)\Balance (yen) response:	Use this to get by.
context: Holding hands before the end is just part of her routine?!\How dare she toy with my heart?!\Anonymous\She was a moron who didn't even know the names of common fish\She was a moron who didn't even know the names of common fish.\Credit (yen)\Balance (yen)\Use this to get by. response:	I will not send you any more money for living expenses.
context: How dare she toy with my heart?!\Anonymous\She was a moron who didn't even know the names of common fish\She was a moron who didn't even know the names of common fish.\Credit (yen)\Balance (yen)\Use this to get by.\I will not send you any more money for living expenses. response:	Make sure you don't get swept up in campus life and waste it all.
context: Anonymous\She was a moron who didn't even know the names of common fish\She was a moron who didn't even know the names of common fish.\Credit (yen)\Balance (yen)\Use this to get by.\I will not send you any more money for living expenses.\Make sure you don't get swept up in campus life and waste it all. response:	Are you stupid?
context: She was a moron who didn't even know the names of common fish\She was a moron who didn't even know the names of common fish.\Credit (yen)\Balance (yen)\Use this to get by.\I will not send you any more money for living expenses.\Make sure you don't get swept up in campus life and waste it all.\Are you stupid? response:	I'm not going to college to have fun!
context: She was a moron who didn't even know the names of common fish.\Credit (yen)\Balance (yen)\Use this to get by.\I will not send you any more money for living expenses.\Make sure you don't get swept up in campus life and waste it all.\Are you stupid?\I'm not going to college to have fun! response:	I just...
context: Credit (yen)\Balance (yen)\Use this to get by.\I will not send you any more money for living expenses.\Make sure you don't get swept up in campus life and waste it all.\Are you stupid?\I'm not going to college to have fun!\I just... response:	I just need to give her a piece of my mind!
context: Balance (yen)\Use this to get by.\I will not send you any more money for living expenses.\Make sure you don't get swept up in campus life and waste it all.\Are you stupid?\I'm not going to college to have fun!\I just...\I just need to give her a piece of my mind! response:	Kazuya-kun! Did you wait long?
context: Use this to get by.\I will not send you any more money for living expenses.\Make sure you don't get swept up in campus life and waste it all.\Are you stupid?\I'm not going to college to have fun!\I just...\I just need to give her a piece of my mind!\Kazuya-kun! Did you wait long? response:	Sorry, it took me a while to set my hair.
context: I will not send you any more money for living expenses.\Make sure you don't get swept up in campus life and waste it all.\Are you stupid?\I'm not going to college to have fun!\I just...\I just need to give her a piece of my mind!\Kazuya-kun! Did you wait long?\Sorry, it took me a while to set my hair. response:	I was worried you might not like this hairdo.
context: Make sure you don't get swept up in campus life and waste it all.\Are you stupid?\I'm not going to college to have fun!\I just...\I just need to give her a piece of my mind!\Kazuya-kun! Did you wait long?\Sorry, it took me a while to set my hair.\I was worried you might not like this hairdo. response:	What do you think?
context: Are you stupid?\I'm not going to college to have fun!\I just...\I just need to give her a piece of my mind!\Kazuya-kun! Did you wait long?\Sorry, it took me a while to set my hair.\I was worried you might not like this hairdo.\What do you think? response:	I-I don't hate it or anything.
context: I'm not going to college to have fun!\I just...\I just need to give her a piece of my mind!\Kazuya-kun! Did you wait long?\Sorry, it took me a while to set my hair.\I was worried you might not like this hairdo.\What do you think?\I-I don't hate it or anything. response:	Thank goodness!
context: I just...\I just need to give her a piece of my mind!\Kazuya-kun! Did you wait long?\Sorry, it took me a while to set my hair.\I was worried you might not like this hairdo.\What do you think?\I-I don't hate it or anything.\Thank goodness! response:	Damn it! She's so cute!
context: I just need to give her a piece of my mind!\Kazuya-kun! Did you wait long?\Sorry, it took me a while to set my hair.\I was worried you might not like this hairdo.\What do you think?\I-I don't hate it or anything.\Thank goodness!\Damn it! She's so cute! response:	Cafe Kanoir
context: Kazuya-kun! Did you wait long?\Sorry, it took me a while to set my hair.\I was worried you might not like this hairdo.\What do you think?\I-I don't hate it or anything.\Thank goodness!\Damn it! She's so cute!\Cafe Kanoir response:	Fee received. Thank you.
context: Sorry, it took me a while to set my hair.\I was worried you might not like this hairdo.\What do you think?\I-I don't hate it or anything.\Thank goodness!\Damn it! She's so cute!\Cafe Kanoir\Fee received. Thank you. response:	Hey, doesn't it make you feel empty inside?
context: I was worried you might not like this hairdo.\What do you think?\I-I don't hate it or anything.\Thank goodness!\Damn it! She's so cute!\Cafe Kanoir\Fee received. Thank you.\Hey, doesn't it make you feel empty inside? response:	Huh?
context: What do you think?\I-I don't hate it or anything.\Thank goodness!\Damn it! She's so cute!\Cafe Kanoir\Fee received. Thank you.\Hey, doesn't it make you feel empty inside?\Huh? response:	Y'know, going on dates with guys you don't even like,
context: I-I don't hate it or anything.\Thank goodness!\Damn it! She's so cute!\Cafe Kanoir\Fee received. Thank you.\Hey, doesn't it make you feel empty inside?\Huh?\Y'know, going on dates with guys you don't even like, response:	and getting paid for it.
context: Thank goodness!\Damn it! She's so cute!\Cafe Kanoir\Fee received. Thank you.\Hey, doesn't it make you feel empty inside?\Huh?\Y'know, going on dates with guys you don't even like,\and getting paid for it. response:	Doesn't it get to you?
context: Damn it! She's so cute!\Cafe Kanoir\Fee received. Thank you.\Hey, doesn't it make you feel empty inside?\Huh?\Y'know, going on dates with guys you don't even like,\and getting paid for it.\Doesn't it get to you? response:	No. I love this job.
context: Cafe Kanoir\Fee received. Thank you.\Hey, doesn't it make you feel empty inside?\Huh?\Y'know, going on dates with guys you don't even like,\and getting paid for it.\Doesn't it get to you?\No. I love this job. response:	I get to meet people like you, after all.
context: Fee received. Thank you.\Hey, doesn't it make you feel empty inside?\Huh?\Y'know, going on dates with guys you don't even like,\and getting paid for it.\Doesn't it get to you?\No. I love this job.\I get to meet people like you, after all. response:	Flea Market 150 yen
context: Hey, doesn't it make you feel empty inside?\Huh?\Y'know, going on dates with guys you don't even like,\and getting paid for it.\Doesn't it get to you?\No. I love this job.\I get to meet people like you, after all.\Flea Market 150 yen response:	Will one bag do for the mister and missus?
context: Huh?\Y'know, going on dates with guys you don't even like,\and getting paid for it.\Doesn't it get to you?\No. I love this job.\I get to meet people like you, after all.\Flea Market 150 yen\Will one bag do for the mister and missus? response:	Here.
context: Y'know, going on dates with guys you don't even like,\and getting paid for it.\Doesn't it get to you?\No. I love this job.\I get to meet people like you, after all.\Flea Market 150 yen\Will one bag do for the mister and missus?\Here. response:	Huh? W-We're not ma
context: and getting paid for it.\Doesn't it get to you?\No. I love this job.\I get to meet people like you, after all.\Flea Market 150 yen\Will one bag do for the mister and missus?\Here.\Huh? W-We're not ma response:	We're dating!
context: Doesn't it get to you?\No. I love this job.\I get to meet people like you, after all.\Flea Market 150 yen\Will one bag do for the mister and missus?\Here.\Huh? W-We're not ma\We're dating! response:	No, we're not even that.
context: No. I love this job.\I get to meet people like you, after all.\Flea Market 150 yen\Will one bag do for the mister and missus?\Here.\Huh? W-We're not ma\We're dating!\No, we're not even that. response:	We're total strangers,
context: I get to meet people like you, after all.\Flea Market 150 yen\Will one bag do for the mister and missus?\Here.\Huh? W-We're not ma\We're dating!\No, we're not even that.\We're total strangers, response:	aren't we?
context: Flea Market 150 yen\Will one bag do for the mister and missus?\Here.\Huh? W-We're not ma\We're dating!\No, we're not even that.\We're total strangers,\aren't we? response:	Technically.
context: Will one bag do for the mister and missus?\Here.\Huh? W-We're not ma\We're dating!\No, we're not even that.\We're total strangers,\aren't we?\Technically. response:	Oh, uh... I guess I'll split your purchases up.
