context: What's that, Kirino? response:	A guy?
context: What have you been doing these last three days?\Living a normal life...\Normal people would take less than three days to clear this!\I've never played a game like this before!\I don't know what I'm doing!\There. I turned on hints whenever you get a choice.\If you can't clear it now, you're better off dead.\O-Okay... response:	Hurry up and finish it.
context: Living a normal life...\Normal people would take less than three days to clear this!\I've never played a game like this before!\I don't know what I'm doing!\There. I turned on hints whenever you get a choice.\If you can't clear it now, you're better off dead.\O-Okay...\Hurry up and finish it. response:	They're waiting on you.
context: Normal people would take less than three days to clear this!\I've never played a game like this before!\I don't know what I'm doing!\There. I turned on hints whenever you get a choice.\If you can't clear it now, you're better off dead.\O-Okay...\Hurry up and finish it.\They're waiting on you. response:	Are you going to lend this game to someone else?
context: I've never played a game like this before!\I don't know what I'm doing!\There. I turned on hints whenever you get a choice.\If you can't clear it now, you're better off dead.\O-Okay...\Hurry up and finish it.\They're waiting on you.\Are you going to lend this game to someone else? response:	I can just play it after
context: I don't know what I'm doing!\There. I turned on hints whenever you get a choice.\If you can't clear it now, you're better off dead.\O-Okay...\Hurry up and finish it.\They're waiting on you.\Are you going to lend this game to someone else?\I can just play it after response:	No, you idiot!
context: There. I turned on hints whenever you get a choice.\If you can't clear it now, you're better off dead.\O-Okay...\Hurry up and finish it.\They're waiting on you.\Are you going to lend this game to someone else?\I can just play it after\No, you idiot! response:	The next game is waiting on you!
context: If you can't clear it now, you're better off dead.\O-Okay...\Hurry up and finish it.\They're waiting on you.\Are you going to lend this game to someone else?\I can just play it after\No, you idiot!\The next game is waiting on you! response:	What, I have to play more than just this one?
context: O-Okay...\Hurry up and finish it.\They're waiting on you.\Are you going to lend this game to someone else?\I can just play it after\No, you idiot!\The next game is waiting on you!\What, I have to play more than just this one? response:	You think you can understand anything after just one game?
context: Hurry up and finish it.\They're waiting on you.\Are you going to lend this game to someone else?\I can just play it after\No, you idiot!\The next game is waiting on you!\What, I have to play more than just this one?\You think you can understand anything after just one game? response:	You've only just stepped foot into the eroge world.
context: They're waiting on you.\Are you going to lend this game to someone else?\I can just play it after\No, you idiot!\The next game is waiting on you!\What, I have to play more than just this one?\You think you can understand anything after just one game?\You've only just stepped foot into the eroge world. response:	When did this happen?
context: Are you going to lend this game to someone else?\I can just play it after\No, you idiot!\The next game is waiting on you!\What, I have to play more than just this one?\You think you can understand anything after just one game?\You've only just stepped foot into the eroge world.\When did this happen? response:	Give me a break!
context: I can just play it after\No, you idiot!\The next game is waiting on you!\What, I have to play more than just this one?\You think you can understand anything after just one game?\You've only just stepped foot into the eroge world.\When did this happen?\Give me a break! response:	If you want to talk about games, why don't you talk to your school friends?
context: No, you idiot!\The next game is waiting on you!\What, I have to play more than just this one?\You think you can understand anything after just one game?\You've only just stepped foot into the eroge world.\When did this happen?\Give me a break!\If you want to talk about games, why don't you talk to your school friends? response:	You don't have to drag me
context: The next game is waiting on you!\What, I have to play more than just this one?\You think you can understand anything after just one game?\You've only just stepped foot into the eroge world.\When did this happen?\Give me a break!\If you want to talk about games, why don't you talk to your school friends?\You don't have to drag me response:	Wait, you don't have any friends into this kind of thing?
context: What, I have to play more than just this one?\You think you can understand anything after just one game?\You've only just stepped foot into the eroge world.\When did this happen?\Give me a break!\If you want to talk about games, why don't you talk to your school friends?\You don't have to drag me\Wait, you don't have any friends into this kind of thing? response:	Like it matters.
context: You think you can understand anything after just one game?\You've only just stepped foot into the eroge world.\When did this happen?\Give me a break!\If you want to talk about games, why don't you talk to your school friends?\You don't have to drag me\Wait, you don't have any friends into this kind of thing?\Like it matters. response:	I see...
context: You've only just stepped foot into the eroge world.\When did this happen?\Give me a break!\If you want to talk about games, why don't you talk to your school friends?\You don't have to drag me\Wait, you don't have any friends into this kind of thing?\Like it matters.\I see... response:	Kirino...
context: When did this happen?\Give me a break!\If you want to talk about games, why don't you talk to your school friends?\You don't have to drag me\Wait, you don't have any friends into this kind of thing?\Like it matters.\I see...\Kirino... response:	Want to make some friends?
context: Give me a break!\If you want to talk about games, why don't you talk to your school friends?\You don't have to drag me\Wait, you don't have any friends into this kind of thing?\Like it matters.\I see...\Kirino...\Want to make some friends? response:	You asked me earlier right?
context: If you want to talk about games, why don't you talk to your school friends?\You don't have to drag me\Wait, you don't have any friends into this kind of thing?\Like it matters.\I see...\Kirino...\Want to make some friends?\You asked me earlier right? response:	You asked me earlier right?
context: You don't have to drag me\Wait, you don't have any friends into this kind of thing?\Like it matters.\I see...\Kirino...\Want to make some friends?\You asked me earlier right?\You asked me earlier right? response:	What should I do?
context: Wait, you don't have any friends into this kind of thing?\Like it matters.\I see...\Kirino...\Want to make some friends?\You asked me earlier right?\You asked me earlier right?\What should I do? response:	Here's my answer.
context: Like it matters.\I see...\Kirino...\Want to make some friends?\You asked me earlier right?\You asked me earlier right?\What should I do?\Here's my answer. response:	You want friends that you can talk to about your hobbies, right?
context: I see...\Kirino...\Want to make some friends?\You asked me earlier right?\You asked me earlier right?\What should I do?\Here's my answer.\You want friends that you can talk to about your hobbies, right? response:	Someone you can talk to about anime, games, and eroge as much as you want.
context: Kirino...\Want to make some friends?\You asked me earlier right?\You asked me earlier right?\What should I do?\Here's my answer.\You want friends that you can talk to about your hobbies, right?\Someone you can talk to about anime, games, and eroge as much as you want. response:	And if it's someone in the same boat as you, they won't make fun of you.
context: Want to make some friends?\You asked me earlier right?\You asked me earlier right?\What should I do?\Here's my answer.\You want friends that you can talk to about your hobbies, right?\Someone you can talk to about anime, games, and eroge as much as you want.\And if it's someone in the same boat as you, they won't make fun of you. response:	In other words, you're telling me to make otaku friends?
context: You asked me earlier right?\You asked me earlier right?\What should I do?\Here's my answer.\You want friends that you can talk to about your hobbies, right?\Someone you can talk to about anime, games, and eroge as much as you want.\And if it's someone in the same boat as you, they won't make fun of you.\In other words, you're telling me to make otaku friends? response:	No way.
context: You asked me earlier right?\What should I do?\Here's my answer.\You want friends that you can talk to about your hobbies, right?\Someone you can talk to about anime, games, and eroge as much as you want.\And if it's someone in the same boat as you, they won't make fun of you.\In other words, you're telling me to make otaku friends?\No way. response:	They'll think I'm the same as them.
context: What should I do?\Here's my answer.\You want friends that you can talk to about your hobbies, right?\Someone you can talk to about anime, games, and eroge as much as you want.\And if it's someone in the same boat as you, they won't make fun of you.\In other words, you're telling me to make otaku friends?\No way.\They'll think I'm the same as them. response:	But you are one of them.
context: Here's my answer.\You want friends that you can talk to about your hobbies, right?\Someone you can talk to about anime, games, and eroge as much as you want.\And if it's someone in the same boat as you, they won't make fun of you.\In other words, you're telling me to make otaku friends?\No way.\They'll think I'm the same as them.\But you are one of them. response:	I told you I wouldn't make fun of you no matter what your hobbies are.
context: You want friends that you can talk to about your hobbies, right?\Someone you can talk to about anime, games, and eroge as much as you want.\And if it's someone in the same boat as you, they won't make fun of you.\In other words, you're telling me to make otaku friends?\No way.\They'll think I'm the same as them.\But you are one of them.\I told you I wouldn't make fun of you no matter what your hobbies are. response:	But what about you?
context: Someone you can talk to about anime, games, and eroge as much as you want.\And if it's someone in the same boat as you, they won't make fun of you.\In other words, you're telling me to make otaku friends?\No way.\They'll think I'm the same as them.\But you are one of them.\I told you I wouldn't make fun of you no matter what your hobbies are.\But what about you? response:	Why wouldn't you want to be grouped with otaku?
context: And if it's someone in the same boat as you, they won't make fun of you.\In other words, you're telling me to make otaku friends?\No way.\They'll think I'm the same as them.\But you are one of them.\I told you I wouldn't make fun of you no matter what your hobbies are.\But what about you?\Why wouldn't you want to be grouped with otaku? response:	Doesn't that make you the one making fun of otaku?
context: In other words, you're telling me to make otaku friends?\No way.\They'll think I'm the same as them.\But you are one of them.\I told you I wouldn't make fun of you no matter what your hobbies are.\But what about you?\Why wouldn't you want to be grouped with otaku?\Doesn't that make you the one making fun of otaku? response:	I'm not making fun of them!
context: No way.\They'll think I'm the same as them.\But you are one of them.\I told you I wouldn't make fun of you no matter what your hobbies are.\But what about you?\Why wouldn't you want to be grouped with otaku?\Doesn't that make you the one making fun of otaku?\I'm not making fun of them! response:	I'm talking about the societal consequences!
context: They'll think I'm the same as them.\But you are one of them.\I told you I wouldn't make fun of you no matter what your hobbies are.\But what about you?\Why wouldn't you want to be grouped with otaku?\Doesn't that make you the one making fun of otaku?\I'm not making fun of them!\I'm talking about the societal consequences! response:	Societal?
context: But you are one of them.\I told you I wouldn't make fun of you no matter what your hobbies are.\But what about you?\Why wouldn't you want to be grouped with otaku?\Doesn't that make you the one making fun of otaku?\I'm not making fun of them!\I'm talking about the societal consequences!\Societal? response:	It's true I like anime and eroge a lot.
context: I told you I wouldn't make fun of you no matter what your hobbies are.\But what about you?\Why wouldn't you want to be grouped with otaku?\Doesn't that make you the one making fun of otaku?\I'm not making fun of them!\I'm talking about the societal consequences!\Societal?\It's true I like anime and eroge a lot. response:	No, I can say I love them.
context: But what about you?\Why wouldn't you want to be grouped with otaku?\Doesn't that make you the one making fun of otaku?\I'm not making fun of them!\I'm talking about the societal consequences!\Societal?\It's true I like anime and eroge a lot.\No, I can say I love them. response:	You can?
context: Why wouldn't you want to be grouped with otaku?\Doesn't that make you the one making fun of otaku?\I'm not making fun of them!\I'm talking about the societal consequences!\Societal?\It's true I like anime and eroge a lot.\No, I can say I love them.\You can? response:	And I love being with my school friends too.
context: Doesn't that make you the one making fun of otaku?\I'm not making fun of them!\I'm talking about the societal consequences!\Societal?\It's true I like anime and eroge a lot.\No, I can say I love them.\You can?\And I love being with my school friends too. response:	But I love this stuff just as much!
context: I'm not making fun of them!\I'm talking about the societal consequences!\Societal?\It's true I like anime and eroge a lot.\No, I can say I love them.\You can?\And I love being with my school friends too.\But I love this stuff just as much! response:	I can't pick just one!
context: I'm talking about the societal consequences!\Societal?\It's true I like anime and eroge a lot.\No, I can say I love them.\You can?\And I love being with my school friends too.\But I love this stuff just as much!\I can't pick just one! response:	My love for each one is a part of me!
context: Societal?\It's true I like anime and eroge a lot.\No, I can say I love them.\You can?\And I love being with my school friends too.\But I love this stuff just as much!\I can't pick just one!\My love for each one is a part of me! response:	But I know how the world looks down on otaku, too.
context: It's true I like anime and eroge a lot.\No, I can say I love them.\You can?\And I love being with my school friends too.\But I love this stuff just as much!\I can't pick just one!\My love for each one is a part of me!\But I know how the world looks down on otaku, too. response:	Especially middle school girls.
context: No, I can say I love them.\You can?\And I love being with my school friends too.\But I love this stuff just as much!\I can't pick just one!\My love for each one is a part of me!\But I know how the world looks down on otaku, too.\Especially middle school girls. response:	They hate otaku the most out of anyone.
context: You can?\And I love being with my school friends too.\But I love this stuff just as much!\I can't pick just one!\My love for each one is a part of me!\But I know how the world looks down on otaku, too.\Especially middle school girls.\They hate otaku the most out of anyone. response:	So it's okay for you to know, but no one at school can ever know.
context: And I love being with my school friends too.\But I love this stuff just as much!\I can't pick just one!\My love for each one is a part of me!\But I know how the world looks down on otaku, too.\Especially middle school girls.\They hate otaku the most out of anyone.\So it's okay for you to know, but no one at school can ever know. response:	If they ever found out, I'd never be able to go again.
context: But I love this stuff just as much!\I can't pick just one!\My love for each one is a part of me!\But I know how the world looks down on otaku, too.\Especially middle school girls.\They hate otaku the most out of anyone.\So it's okay for you to know, but no one at school can ever know.\If they ever found out, I'd never be able to go again. response:	So basically, you have to make otaku friends without your school friends finding out?
context: I can't pick just one!\My love for each one is a part of me!\But I know how the world looks down on otaku, too.\Especially middle school girls.\They hate otaku the most out of anyone.\So it's okay for you to know, but no one at school can ever know.\If they ever found out, I'd never be able to go again.\So basically, you have to make otaku friends without your school friends finding out? response:	Yeah, I guess...
context: My love for each one is a part of me!\But I know how the world looks down on otaku, too.\Especially middle school girls.\They hate otaku the most out of anyone.\So it's okay for you to know, but no one at school can ever know.\If they ever found out, I'd never be able to go again.\So basically, you have to make otaku friends without your school friends finding out?\Yeah, I guess... response:	You have an idea?
context: But I know how the world looks down on otaku, too.\Especially middle school girls.\They hate otaku the most out of anyone.\So it's okay for you to know, but no one at school can ever know.\If they ever found out, I'd never be able to go again.\So basically, you have to make otaku friends without your school friends finding out?\Yeah, I guess...\You have an idea? response:	Nope.
context: Especially middle school girls.\They hate otaku the most out of anyone.\So it's okay for you to know, but no one at school can ever know.\If they ever found out, I'd never be able to go again.\So basically, you have to make otaku friends without your school friends finding out?\Yeah, I guess...\You have an idea?\Nope. response:	You're useless.
context: They hate otaku the most out of anyone.\So it's okay for you to know, but no one at school can ever know.\If they ever found out, I'd never be able to go again.\So basically, you have to make otaku friends without your school friends finding out?\Yeah, I guess...\You have an idea?\Nope.\You're useless. response:	What's wrong, Kyou-chan?
context: So it's okay for you to know, but no one at school can ever know.\If they ever found out, I'd never be able to go again.\So basically, you have to make otaku friends without your school friends finding out?\Yeah, I guess...\You have an idea?\Nope.\You're useless.\What's wrong, Kyou-chan? response:	Nothing to do with you.
context: If they ever found out, I'd never be able to go again.\So basically, you have to make otaku friends without your school friends finding out?\Yeah, I guess...\You have an idea?\Nope.\You're useless.\What's wrong, Kyou-chan?\Nothing to do with you. response:	Don't worry about it.
context: So basically, you have to make otaku friends without your school friends finding out?\Yeah, I guess...\You have an idea?\Nope.\You're useless.\What's wrong, Kyou-chan?\Nothing to do with you.\Don't worry about it. response:	It has everything to do with me!
context: Yeah, I guess...\You have an idea?\Nope.\You're useless.\What's wrong, Kyou-chan?\Nothing to do with you.\Don't worry about it.\It has everything to do with me! response:	Why?
context: You have an idea?\Nope.\You're useless.\What's wrong, Kyou-chan?\Nothing to do with you.\Don't worry about it.\It has everything to do with me!\Why? response:	If I were depressed, would you just look away and say Nothing to do with me?
context: Nope.\You're useless.\What's wrong, Kyou-chan?\Nothing to do with you.\Don't worry about it.\It has everything to do with me!\Why?\If I were depressed, would you just look away and say Nothing to do with me? response:	Fine, fine. Geez...
context: You're useless.\What's wrong, Kyou-chan?\Nothing to do with you.\Don't worry about it.\It has everything to do with me!\Why?\If I were depressed, would you just look away and say Nothing to do with me?\Fine, fine. Geez... response:	An IRL meetup?
context: What's wrong, Kyou-chan?\Nothing to do with you.\Don't worry about it.\It has everything to do with me!\Why?\If I were depressed, would you just look away and say Nothing to do with me?\Fine, fine. Geez...\An IRL meetup? response:	Yeah!
context: Nothing to do with you.\Don't worry about it.\It has everything to do with me!\Why?\If I were depressed, would you just look away and say Nothing to do with me?\Fine, fine. Geez...\An IRL meetup?\Yeah! response:	There are sites for people with the same hobbies and services to meet new people, right?
context: Don't worry about it.\It has everything to do with me!\Why?\If I were depressed, would you just look away and say Nothing to do with me?\Fine, fine. Geez...\An IRL meetup?\Yeah!\There are sites for people with the same hobbies and services to meet new people, right? response:	Social net-something.
context: It has everything to do with me!\Why?\If I were depressed, would you just look away and say Nothing to do with me?\Fine, fine. Geez...\An IRL meetup?\Yeah!\There are sites for people with the same hobbies and services to meet new people, right?\Social net-something. response:	You mean SNS?
context: Why?\If I were depressed, would you just look away and say Nothing to do with me?\Fine, fine. Geez...\An IRL meetup?\Yeah!\There are sites for people with the same hobbies and services to meet new people, right?\Social net-something.\You mean SNS? response:	Yeah, that!
context: If I were depressed, would you just look away and say Nothing to do with me?\Fine, fine. Geez...\An IRL meetup?\Yeah!\There are sites for people with the same hobbies and services to meet new people, right?\Social net-something.\You mean SNS?\Yeah, that! response:	You can join one of those manga and anime...
context: Fine, fine. Geez...\An IRL meetup?\Yeah!\There are sites for people with the same hobbies and services to meet new people, right?\Social net-something.\You mean SNS?\Yeah, that!\You can join one of those manga and anime... response:	And once you get to know each other, you can meet up and talk as much as you want.
context: An IRL meetup?\Yeah!\There are sites for people with the same hobbies and services to meet new people, right?\Social net-something.\You mean SNS?\Yeah, that!\You can join one of those manga and anime...\And once you get to know each other, you can meet up and talk as much as you want. response:	Well, that's how IRL meetup stuff works.
context: Yeah!\There are sites for people with the same hobbies and services to meet new people, right?\Social net-something.\You mean SNS?\Yeah, that!\You can join one of those manga and anime...\And once you get to know each other, you can meet up and talk as much as you want.\Well, that's how IRL meetup stuff works. response:	I already knew that.
context: There are sites for people with the same hobbies and services to meet new people, right?\Social net-something.\You mean SNS?\Yeah, that!\You can join one of those manga and anime...\And once you get to know each other, you can meet up and talk as much as you want.\Well, that's how IRL meetup stuff works.\I already knew that. response:	And your explanation sounds kind of lame.
context: Social net-something.\You mean SNS?\Yeah, that!\You can join one of those manga and anime...\And once you get to know each other, you can meet up and talk as much as you want.\Well, that's how IRL meetup stuff works.\I already knew that.\And your explanation sounds kind of lame. response:	Who gave you the idea?
context: You mean SNS?\Yeah, that!\You can join one of those manga and anime...\And once you get to know each other, you can meet up and talk as much as you want.\Well, that's how IRL meetup stuff works.\I already knew that.\And your explanation sounds kind of lame.\Who gave you the idea? response:	My secret weaponGrandma's bag of wisdom.
context: Yeah, that!\You can join one of those manga and anime...\And once you get to know each other, you can meet up and talk as much as you want.\Well, that's how IRL meetup stuff works.\I already knew that.\And your explanation sounds kind of lame.\Who gave you the idea?\My secret weaponGrandma's bag of wisdom. response:	So it was Neighbor-girl, huh?
context: You can join one of those manga and anime...\And once you get to know each other, you can meet up and talk as much as you want.\Well, that's how IRL meetup stuff works.\I already knew that.\And your explanation sounds kind of lame.\Who gave you the idea?\My secret weaponGrandma's bag of wisdom.\So it was Neighbor-girl, huh? response:	Don't call her Neighbor-girl!
context: And once you get to know each other, you can meet up and talk as much as you want.\Well, that's how IRL meetup stuff works.\I already knew that.\And your explanation sounds kind of lame.\Who gave you the idea?\My secret weaponGrandma's bag of wisdom.\So it was Neighbor-girl, huh?\Don't call her Neighbor-girl! response:	What are you getting worked up about?
context: Well, that's how IRL meetup stuff works.\I already knew that.\And your explanation sounds kind of lame.\Who gave you the idea?\My secret weaponGrandma's bag of wisdom.\So it was Neighbor-girl, huh?\Don't call her Neighbor-girl!\What are you getting worked up about? response:	Are you stupid?
context: I already knew that.\And your explanation sounds kind of lame.\Who gave you the idea?\My secret weaponGrandma's bag of wisdom.\So it was Neighbor-girl, huh?\Don't call her Neighbor-girl!\What are you getting worked up about?\Are you stupid? response:	I hate hearing anyone who isn't me badmouthing her.
context: And your explanation sounds kind of lame.\Who gave you the idea?\My secret weaponGrandma's bag of wisdom.\So it was Neighbor-girl, huh?\Don't call her Neighbor-girl!\What are you getting worked up about?\Are you stupid?\I hate hearing anyone who isn't me badmouthing her. response:	Yeah, yeah.
context: Who gave you the idea?\My secret weaponGrandma's bag of wisdom.\So it was Neighbor-girl, huh?\Don't call her Neighbor-girl!\What are you getting worked up about?\Are you stupid?\I hate hearing anyone who isn't me badmouthing her.\Yeah, yeah. response:	I don't really care either.
context: My secret weaponGrandma's bag of wisdom.\So it was Neighbor-girl, huh?\Don't call her Neighbor-girl!\What are you getting worked up about?\Are you stupid?\I hate hearing anyone who isn't me badmouthing her.\Yeah, yeah.\I don't really care either. response:	You just look stupid when you're all over each other.
context: So it was Neighbor-girl, huh?\Don't call her Neighbor-girl!\What are you getting worked up about?\Are you stupid?\I hate hearing anyone who isn't me badmouthing her.\Yeah, yeah.\I don't really care either.\You just look stupid when you're all over each other. response:	Pleased to meet you, Kiririn-sama.
context: Don't call her Neighbor-girl!\What are you getting worked up about?\Are you stupid?\I hate hearing anyone who isn't me badmouthing her.\Yeah, yeah.\I don't really care either.\You just look stupid when you're all over each other.\Pleased to meet you, Kiririn-sama. response:	I am Saori, the moderator for the'Otaku Girls Unite!' community.
context: What are you getting worked up about?\Are you stupid?\I hate hearing anyone who isn't me badmouthing her.\Yeah, yeah.\I don't really care either.\You just look stupid when you're all over each other.\Pleased to meet you, Kiririn-sama.\I am Saori, the moderator for the'Otaku Girls Unite!' community. response:	Thank you for showing interest in joining our community.
context: Are you stupid?\I hate hearing anyone who isn't me badmouthing her.\Yeah, yeah.\I don't really care either.\You just look stupid when you're all over each other.\Pleased to meet you, Kiririn-sama.\I am Saori, the moderator for the'Otaku Girls Unite!' community.\Thank you for showing interest in joining our community. response:	She sounds like a really polite person.
context: I hate hearing anyone who isn't me badmouthing her.\Yeah, yeah.\I don't really care either.\You just look stupid when you're all over each other.\Pleased to meet you, Kiririn-sama.\I am Saori, the moderator for the'Otaku Girls Unite!' community.\Thank you for showing interest in joining our community.\She sounds like a really polite person. response:	Her writing sounds very refined.
context: Yeah, yeah.\I don't really care either.\You just look stupid when you're all over each other.\Pleased to meet you, Kiririn-sama.\I am Saori, the moderator for the'Otaku Girls Unite!' community.\Thank you for showing interest in joining our community.\She sounds like a really polite person.\Her writing sounds very refined. response:	Like a well-brought-up young lady?
context: I don't really care either.\You just look stupid when you're all over each other.\Pleased to meet you, Kiririn-sama.\I am Saori, the moderator for the'Otaku Girls Unite!' community.\Thank you for showing interest in joining our community.\She sounds like a really polite person.\Her writing sounds very refined.\Like a well-brought-up young lady? response:	Shut up. You're gross.
context: You just look stupid when you're all over each other.\Pleased to meet you, Kiririn-sama.\I am Saori, the moderator for the'Otaku Girls Unite!' community.\Thank you for showing interest in joining our community.\She sounds like a really polite person.\Her writing sounds very refined.\Like a well-brought-up young lady?\Shut up. You're gross. response:	I believe we can be good friends as we share similar hobbies.
context: Pleased to meet you, Kiririn-sama.\I am Saori, the moderator for the'Otaku Girls Unite!' community.\Thank you for showing interest in joining our community.\She sounds like a really polite person.\Her writing sounds very refined.\Like a well-brought-up young lady?\Shut up. You're gross.\I believe we can be good friends as we share similar hobbies. response:	Isn't that great?
