context: CCG Base to 203, response:	trespassers reported in the 20th Ward at the Aqua Building.
context: Give them back. They're mine.\Give them back!\I'm not going to play with you.\Early this morning, several unidentified male bodies\were discovered in the Aqua Building,\a commercial facility in Tokyo's 20th Ward.\What is believed to be saliva belonging to ghouls\was retrieved from the bodies, response:	Multiple Unidentified Bodies Found
context: Give them back!\I'm not going to play with you.\Early this morning, several unidentified male bodies\were discovered in the Aqua Building,\a commercial facility in Tokyo's 20th Ward.\What is believed to be saliva belonging to ghouls\was retrieved from the bodies,\Multiple Unidentified Bodies Found response:	was retrieved from the bodies,
context: I'm not going to play with you.\Early this morning, several unidentified male bodies\were discovered in the Aqua Building,\a commercial facility in Tokyo's 20th Ward.\What is believed to be saliva belonging to ghouls\was retrieved from the bodies,\Multiple Unidentified Bodies Found\was retrieved from the bodies, response:	Multiple Unidentified Bodies Found
context: Early this morning, several unidentified male bodies\were discovered in the Aqua Building,\a commercial facility in Tokyo's 20th Ward.\What is believed to be saliva belonging to ghouls\was retrieved from the bodies,\Multiple Unidentified Bodies Found\was retrieved from the bodies,\Multiple Unidentified Bodies Found response:	and the incident is being investigated as a ghoul crime.
context: were discovered in the Aqua Building,\a commercial facility in Tokyo's 20th Ward.\What is believed to be saliva belonging to ghouls\was retrieved from the bodies,\Multiple Unidentified Bodies Found\was retrieved from the bodies,\Multiple Unidentified Bodies Found\and the incident is being investigated as a ghoul crime. response:	and the incident is being investigated as a ghoul crime.
context: a commercial facility in Tokyo's 20th Ward.\What is believed to be saliva belonging to ghouls\was retrieved from the bodies,\Multiple Unidentified Bodies Found\was retrieved from the bodies,\Multiple Unidentified Bodies Found\and the incident is being investigated as a ghoul crime.\and the incident is being investigated as a ghoul crime. response:	It's not that funny, is it?
context: What is believed to be saliva belonging to ghouls\was retrieved from the bodies,\Multiple Unidentified Bodies Found\was retrieved from the bodies,\Multiple Unidentified Bodies Found\and the incident is being investigated as a ghoul crime.\and the incident is being investigated as a ghoul crime.\It's not that funny, is it? response:	I'm just saying, you can't have a first date at a bookstore, right?
context: was retrieved from the bodies,\Multiple Unidentified Bodies Found\was retrieved from the bodies,\Multiple Unidentified Bodies Found\and the incident is being investigated as a ghoul crime.\and the incident is being investigated as a ghoul crime.\It's not that funny, is it?\I'm just saying, you can't have a first date at a bookstore, right? response:	Why not? She might be thrilled, you know!
context: Multiple Unidentified Bodies Found\was retrieved from the bodies,\Multiple Unidentified Bodies Found\and the incident is being investigated as a ghoul crime.\and the incident is being investigated as a ghoul crime.\It's not that funny, is it?\I'm just saying, you can't have a first date at a bookstore, right?\Why not? She might be thrilled, you know! response:	I'll state for the record, that won't happen. Case dismissed.
context: was retrieved from the bodies,\Multiple Unidentified Bodies Found\and the incident is being investigated as a ghoul crime.\and the incident is being investigated as a ghoul crime.\It's not that funny, is it?\I'm just saying, you can't have a first date at a bookstore, right?\Why not? She might be thrilled, you know!\I'll state for the record, that won't happen. Case dismissed. response:	Huh? Then first, I'll take her out to Big Girl, just the two of us,
context: Multiple Unidentified Bodies Found\and the incident is being investigated as a ghoul crime.\and the incident is being investigated as a ghoul crime.\It's not that funny, is it?\I'm just saying, you can't have a first date at a bookstore, right?\Why not? She might be thrilled, you know!\I'll state for the record, that won't happen. Case dismissed.\Huh? Then first, I'll take her out to Big Girl, just the two of us, response:	and we'll get a burger.
context: and the incident is being investigated as a ghoul crime.\and the incident is being investigated as a ghoul crime.\It's not that funny, is it?\I'm just saying, you can't have a first date at a bookstore, right?\Why not? She might be thrilled, you know!\I'll state for the record, that won't happen. Case dismissed.\Huh? Then first, I'll take her out to Big Girl, just the two of us,\and we'll get a burger. response:	I'm giving you a serious answer.
context: and the incident is being investigated as a ghoul crime.\It's not that funny, is it?\I'm just saying, you can't have a first date at a bookstore, right?\Why not? She might be thrilled, you know!\I'll state for the record, that won't happen. Case dismissed.\Huh? Then first, I'll take her out to Big Girl, just the two of us,\and we'll get a burger.\I'm giving you a serious answer. response:	No, it's great! It's great, just like you!
context: It's not that funny, is it?\I'm just saying, you can't have a first date at a bookstore, right?\Why not? She might be thrilled, you know!\I'll state for the record, that won't happen. Case dismissed.\Huh? Then first, I'll take her out to Big Girl, just the two of us,\and we'll get a burger.\I'm giving you a serious answer.\No, it's great! It's great, just like you! response:	But as a date, it'll be a flop.
context: I'm just saying, you can't have a first date at a bookstore, right?\Why not? She might be thrilled, you know!\I'll state for the record, that won't happen. Case dismissed.\Huh? Then first, I'll take her out to Big Girl, just the two of us,\and we'll get a burger.\I'm giving you a serious answer.\No, it's great! It's great, just like you!\But as a date, it'll be a flop. response:	What, is everything I do wrong? Hide, what would you do?
context: Why not? She might be thrilled, you know!\I'll state for the record, that won't happen. Case dismissed.\Huh? Then first, I'll take her out to Big Girl, just the two of us,\and we'll get a burger.\I'm giving you a serious answer.\No, it's great! It's great, just like you!\But as a date, it'll be a flop.\What, is everything I do wrong? Hide, what would you do? response:	Anteiku
context: I'll state for the record, that won't happen. Case dismissed.\Huh? Then first, I'll take her out to Big Girl, just the two of us,\and we'll get a burger.\I'm giving you a serious answer.\No, it's great! It's great, just like you!\But as a date, it'll be a flop.\What, is everything I do wrong? Hide, what would you do?\Anteiku response:	What, is everything I do wrong? Hide, what would you do?
context: Huh? Then first, I'll take her out to Big Girl, just the two of us,\and we'll get a burger.\I'm giving you a serious answer.\No, it's great! It's great, just like you!\But as a date, it'll be a flop.\What, is everything I do wrong? Hide, what would you do?\Anteiku\What, is everything I do wrong? Hide, what would you do? response:	Anteiku
context: and we'll get a burger.\I'm giving you a serious answer.\No, it's great! It's great, just like you!\But as a date, it'll be a flop.\What, is everything I do wrong? Hide, what would you do?\Anteiku\What, is everything I do wrong? Hide, what would you do?\Anteiku response:	Listen up. You have to choose a place
context: I'm giving you a serious answer.\No, it's great! It's great, just like you!\But as a date, it'll be a flop.\What, is everything I do wrong? Hide, what would you do?\Anteiku\What, is everything I do wrong? Hide, what would you do?\Anteiku\Listen up. You have to choose a place response:	Anteiku
context: No, it's great! It's great, just like you!\But as a date, it'll be a flop.\What, is everything I do wrong? Hide, what would you do?\Anteiku\What, is everything I do wrong? Hide, what would you do?\Anteiku\Listen up. You have to choose a place\Anteiku response:	where the girl will be pleased when making a date.
context: But as a date, it'll be a flop.\What, is everything I do wrong? Hide, what would you do?\Anteiku\What, is everything I do wrong? Hide, what would you do?\Anteiku\Listen up. You have to choose a place\Anteiku\where the girl will be pleased when making a date. response:	Anteiku
context: What, is everything I do wrong? Hide, what would you do?\Anteiku\What, is everything I do wrong? Hide, what would you do?\Anteiku\Listen up. You have to choose a place\Anteiku\where the girl will be pleased when making a date.\Anteiku response:	Such as?
context: Anteiku\What, is everything I do wrong? Hide, what would you do?\Anteiku\Listen up. You have to choose a place\Anteiku\where the girl will be pleased when making a date.\Anteiku\Such as? response:	Anteiku
context: What, is everything I do wrong? Hide, what would you do?\Anteiku\Listen up. You have to choose a place\Anteiku\where the girl will be pleased when making a date.\Anteiku\Such as?\Anteiku response:	Huh? S-Such as...
context: Anteiku\Listen up. You have to choose a place\Anteiku\where the girl will be pleased when making a date.\Anteiku\Such as?\Anteiku\Huh? S-Such as... response:	Anteiku
context: Listen up. You have to choose a place\Anteiku\where the girl will be pleased when making a date.\Anteiku\Such as?\Anteiku\Huh? S-Such as...\Anteiku response:	Hide, you don't even know.
context: Anteiku\where the girl will be pleased when making a date.\Anteiku\Such as?\Anteiku\Huh? S-Such as...\Anteiku\Hide, you don't even know. response:	Hide, you don't even know.
context: where the girl will be pleased when making a date.\Anteiku\Such as?\Anteiku\Huh? S-Such as...\Anteiku\Hide, you don't even know.\Hide, you don't even know. response:	If I knew,
context: Anteiku\Such as?\Anteiku\Huh? S-Such as...\Anteiku\Hide, you don't even know.\Hide, you don't even know.\If I knew, response:	-I wouldn't be here spending my afternoon off like this -These last few days have seen a string
context: Such as?\Anteiku\Huh? S-Such as...\Anteiku\Hide, you don't even know.\Hide, you don't even know.\If I knew,\-I wouldn't be here spending my afternoon off like this -These last few days have seen a string response:	-out having a date with you. -of predatory ghoul attacks in the 20th Ward,
context: Anteiku\Huh? S-Such as...\Anteiku\Hide, you don't even know.\Hide, you don't even know.\If I knew,\-I wouldn't be here spending my afternoon off like this -These last few days have seen a string\-out having a date with you. -of predatory ghoul attacks in the 20th Ward, response:	-I guess that's true. -of predatory ghoul attacks in the 20th Ward,
context: Huh? S-Such as...\Anteiku\Hide, you don't even know.\Hide, you don't even know.\If I knew,\-I wouldn't be here spending my afternoon off like this -These last few days have seen a string\-out having a date with you. -of predatory ghoul attacks in the 20th Ward,\-I guess that's true. -of predatory ghoul attacks in the 20th Ward, response:	Being Investigated as Ghoul Predation
context: Anteiku\Hide, you don't even know.\Hide, you don't even know.\If I knew,\-I wouldn't be here spending my afternoon off like this -These last few days have seen a string\-out having a date with you. -of predatory ghoul attacks in the 20th Ward,\-I guess that's true. -of predatory ghoul attacks in the 20th Ward,\Being Investigated as Ghoul Predation response:	and according to CCG's 20th Ward Branch,
context: Hide, you don't even know.\Hide, you don't even know.\If I knew,\-I wouldn't be here spending my afternoon off like this -These last few days have seen a string\-out having a date with you. -of predatory ghoul attacks in the 20th Ward,\-I guess that's true. -of predatory ghoul attacks in the 20th Ward,\Being Investigated as Ghoul Predation\and according to CCG's 20th Ward Branch, response:	Being Investigated as Ghoul Predation
context: Hide, you don't even know.\If I knew,\-I wouldn't be here spending my afternoon off like this -These last few days have seen a string\-out having a date with you. -of predatory ghoul attacks in the 20th Ward,\-I guess that's true. -of predatory ghoul attacks in the 20th Ward,\Being Investigated as Ghoul Predation\and according to CCG's 20th Ward Branch,\Being Investigated as Ghoul Predation response:	they are investigating the possibility that the incidents
context: If I knew,\-I wouldn't be here spending my afternoon off like this -These last few days have seen a string\-out having a date with you. -of predatory ghoul attacks in the 20th Ward,\-I guess that's true. -of predatory ghoul attacks in the 20th Ward,\Being Investigated as Ghoul Predation\and according to CCG's 20th Ward Branch,\Being Investigated as Ghoul Predation\they are investigating the possibility that the incidents response:	they are investigating the possibility that the incidents
context: -I wouldn't be here spending my afternoon off like this -These last few days have seen a string\-out having a date with you. -of predatory ghoul attacks in the 20th Ward,\-I guess that's true. -of predatory ghoul attacks in the 20th Ward,\Being Investigated as Ghoul Predation\and according to CCG's 20th Ward Branch,\Being Investigated as Ghoul Predation\they are investigating the possibility that the incidents\they are investigating the possibility that the incidents response:	-That's pretty close, huh? -are the result of the same culprit. In other news...
context: -out having a date with you. -of predatory ghoul attacks in the 20th Ward,\-I guess that's true. -of predatory ghoul attacks in the 20th Ward,\Being Investigated as Ghoul Predation\and according to CCG's 20th Ward Branch,\Being Investigated as Ghoul Predation\they are investigating the possibility that the incidents\they are investigating the possibility that the incidents\-That's pretty close, huh? -are the result of the same culprit. In other news... response:	So? So, so, so?
context: -I guess that's true. -of predatory ghoul attacks in the 20th Ward,\Being Investigated as Ghoul Predation\and according to CCG's 20th Ward Branch,\Being Investigated as Ghoul Predation\they are investigating the possibility that the incidents\they are investigating the possibility that the incidents\-That's pretty close, huh? -are the result of the same culprit. In other news...\So? So, so, so? response:	Who is she? The cute girl you mentioned?
context: Being Investigated as Ghoul Predation\and according to CCG's 20th Ward Branch,\Being Investigated as Ghoul Predation\they are investigating the possibility that the incidents\they are investigating the possibility that the incidents\-That's pretty close, huh? -are the result of the same culprit. In other news...\So? So, so, so?\Who is she? The cute girl you mentioned? response:	-Oh, that's her, right? -Yes, indeed. -No it isn't.
context: and according to CCG's 20th Ward Branch,\Being Investigated as Ghoul Predation\they are investigating the possibility that the incidents\they are investigating the possibility that the incidents\-That's pretty close, huh? -are the result of the same culprit. In other news...\So? So, so, so?\Who is she? The cute girl you mentioned?\-Oh, that's her, right? -Yes, indeed. -No it isn't. response:	Sure, she's cute, too...
context: Being Investigated as Ghoul Predation\they are investigating the possibility that the incidents\they are investigating the possibility that the incidents\-That's pretty close, huh? -are the result of the same culprit. In other news...\So? So, so, so?\Who is she? The cute girl you mentioned?\-Oh, that's her, right? -Yes, indeed. -No it isn't.\Sure, she's cute, too... response:	Excuse me!
context: they are investigating the possibility that the incidents\they are investigating the possibility that the incidents\-That's pretty close, huh? -are the result of the same culprit. In other news...\So? So, so, so?\Who is she? The cute girl you mentioned?\-Oh, that's her, right? -Yes, indeed. -No it isn't.\Sure, she's cute, too...\Excuse me! response:	One cappuccino, please! And you, Kaneki?
context: they are investigating the possibility that the incidents\-That's pretty close, huh? -are the result of the same culprit. In other news...\So? So, so, so?\Who is she? The cute girl you mentioned?\-Oh, that's her, right? -Yes, indeed. -No it isn't.\Sure, she's cute, too...\Excuse me!\One cappuccino, please! And you, Kaneki? response:	-I'm not done with this, yet. -One cappuccino.
context: -That's pretty close, huh? -are the result of the same culprit. In other news...\So? So, so, so?\Who is she? The cute girl you mentioned?\-Oh, that's her, right? -Yes, indeed. -No it isn't.\Sure, she's cute, too...\Excuse me!\One cappuccino, please! And you, Kaneki?\-I'm not done with this, yet. -One cappuccino. response:	And also, what's your name?
context: So? So, so, so?\Who is she? The cute girl you mentioned?\-Oh, that's her, right? -Yes, indeed. -No it isn't.\Sure, she's cute, too...\Excuse me!\One cappuccino, please! And you, Kaneki?\-I'm not done with this, yet. -One cappuccino.\And also, what's your name? response:	Hide!
context: Who is she? The cute girl you mentioned?\-Oh, that's her, right? -Yes, indeed. -No it isn't.\Sure, she's cute, too...\Excuse me!\One cappuccino, please! And you, Kaneki?\-I'm not done with this, yet. -One cappuccino.\And also, what's your name?\Hide! response:	It's Kirishima Toka.
context: -Oh, that's her, right? -Yes, indeed. -No it isn't.\Sure, she's cute, too...\Excuse me!\One cappuccino, please! And you, Kaneki?\-I'm not done with this, yet. -One cappuccino.\And also, what's your name?\Hide!\It's Kirishima Toka. response:	Miss Toka! Are you seeing anyone?!
context: Sure, she's cute, too...\Excuse me!\One cappuccino, please! And you, Kaneki?\-I'm not done with this, yet. -One cappuccino.\And also, what's your name?\Hide!\It's Kirishima Toka.\Miss Toka! Are you seeing anyone?! response:	Stop that, you idiot!
context: Excuse me!\One cappuccino, please! And you, Kaneki?\-I'm not done with this, yet. -One cappuccino.\And also, what's your name?\Hide!\It's Kirishima Toka.\Miss Toka! Are you seeing anyone?!\Stop that, you idiot! response:	Hmm, how lovely.
context: One cappuccino, please! And you, Kaneki?\-I'm not done with this, yet. -One cappuccino.\And also, what's your name?\Hide!\It's Kirishima Toka.\Miss Toka! Are you seeing anyone?!\Stop that, you idiot!\Hmm, how lovely. response:	If I get kicked out of here, then what do I do?!
context: -I'm not done with this, yet. -One cappuccino.\And also, what's your name?\Hide!\It's Kirishima Toka.\Miss Toka! Are you seeing anyone?!\Stop that, you idiot!\Hmm, how lovely.\If I get kicked out of here, then what do I do?! response:	This shop is the one place where she and I both-
context: And also, what's your name?\Hide!\It's Kirishima Toka.\Miss Toka! Are you seeing anyone?!\Stop that, you idiot!\Hmm, how lovely.\If I get kicked out of here, then what do I do?!\This shop is the one place where she and I both- response:	She's... the one.
context: Hide!\It's Kirishima Toka.\Miss Toka! Are you seeing anyone?!\Stop that, you idiot!\Hmm, how lovely.\If I get kicked out of here, then what do I do?!\This shop is the one place where she and I both-\She's... the one. response:	Give it up.
context: It's Kirishima Toka.\Miss Toka! Are you seeing anyone?!\Stop that, you idiot!\Hmm, how lovely.\If I get kicked out of here, then what do I do?!\This shop is the one place where she and I both-\She's... the one.\Give it up. response:	Huh?
context: Miss Toka! Are you seeing anyone?!\Stop that, you idiot!\Hmm, how lovely.\If I get kicked out of here, then what do I do?!\This shop is the one place where she and I both-\She's... the one.\Give it up.\Huh? response:	You and her would be Beauty and whatever.
context: Stop that, you idiot!\Hmm, how lovely.\If I get kicked out of here, then what do I do?!\This shop is the one place where she and I both-\She's... the one.\Give it up.\Huh?\You and her would be Beauty and whatever. response:	The Beast!
context: Hmm, how lovely.\If I get kicked out of here, then what do I do?!\This shop is the one place where she and I both-\She's... the one.\Give it up.\Huh?\You and her would be Beauty and whatever.\The Beast! response:	Well then... Now that I've seen you lovelorn,
context: If I get kicked out of here, then what do I do?!\This shop is the one place where she and I both-\She's... the one.\Give it up.\Huh?\You and her would be Beauty and whatever.\The Beast!\Well then... Now that I've seen you lovelorn, response:	Egg of the Black Goat
context: This shop is the one place where she and I both-\She's... the one.\Give it up.\Huh?\You and her would be Beauty and whatever.\The Beast!\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat response:	Well then... Now that I've seen you lovelorn,
context: She's... the one.\Give it up.\Huh?\You and her would be Beauty and whatever.\The Beast!\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\Well then... Now that I've seen you lovelorn, response:	Egg of the Black Goat
context: Give it up.\Huh?\You and her would be Beauty and whatever.\The Beast!\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat response:	I think I'll be off.
context: Huh?\You and her would be Beauty and whatever.\The Beast!\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\I think I'll be off. response:	Wait, Hide...
context: You and her would be Beauty and whatever.\The Beast!\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\I think I'll be off.\Wait, Hide... response:	See you later, Miss Toka.
context: The Beast!\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\I think I'll be off.\Wait, Hide...\See you later, Miss Toka. response:	Good luck, delusional Kaneki!
context: Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\I think I'll be off.\Wait, Hide...\See you later, Miss Toka.\Good luck, delusional Kaneki! response:	Egg of the Black Goat
context: Egg of the Black Goat\Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\I think I'll be off.\Wait, Hide...\See you later, Miss Toka.\Good luck, delusional Kaneki!\Egg of the Black Goat response:	I guess sometimes you get lucky.
context: Well then... Now that I've seen you lovelorn,\Egg of the Black Goat\I think I'll be off.\Wait, Hide...\See you later, Miss Toka.\Good luck, delusional Kaneki!\Egg of the Black Goat\I guess sometimes you get lucky. response:	Yeah. Imagine, liking the same novelist that I do!
context: Egg of the Black Goat\I think I'll be off.\Wait, Hide...\See you later, Miss Toka.\Good luck, delusional Kaneki!\Egg of the Black Goat\I guess sometimes you get lucky.\Yeah. Imagine, liking the same novelist that I do! response:	Yeah, who was it again? Takasaki Sen?
context: I think I'll be off.\Wait, Hide...\See you later, Miss Toka.\Good luck, delusional Kaneki!\Egg of the Black Goat\I guess sometimes you get lucky.\Yeah. Imagine, liking the same novelist that I do!\Yeah, who was it again? Takasaki Sen? response:	No, Takatsuki Sen!
context: Wait, Hide...\See you later, Miss Toka.\Good luck, delusional Kaneki!\Egg of the Black Goat\I guess sometimes you get lucky.\Yeah. Imagine, liking the same novelist that I do!\Yeah, who was it again? Takasaki Sen?\No, Takatsuki Sen! response:	We're going to go to the bookstore together this coming Sunday.
context: See you later, Miss Toka.\Good luck, delusional Kaneki!\Egg of the Black Goat\I guess sometimes you get lucky.\Yeah. Imagine, liking the same novelist that I do!\Yeah, who was it again? Takasaki Sen?\No, Takatsuki Sen!\We're going to go to the bookstore together this coming Sunday. response:	Oh, yeah? I'm not sure how good a bookstore date is gonna be,
context: Good luck, delusional Kaneki!\Egg of the Black Goat\I guess sometimes you get lucky.\Yeah. Imagine, liking the same novelist that I do!\Yeah, who was it again? Takasaki Sen?\No, Takatsuki Sen!\We're going to go to the bookstore together this coming Sunday.\Oh, yeah? I'm not sure how good a bookstore date is gonna be, response:	but have a good time.
context: Egg of the Black Goat\I guess sometimes you get lucky.\Yeah. Imagine, liking the same novelist that I do!\Yeah, who was it again? Takasaki Sen?\No, Takatsuki Sen!\We're going to go to the bookstore together this coming Sunday.\Oh, yeah? I'm not sure how good a bookstore date is gonna be,\but have a good time. response:	Yeah.
context: I guess sometimes you get lucky.\Yeah. Imagine, liking the same novelist that I do!\Yeah, who was it again? Takasaki Sen?\No, Takatsuki Sen!\We're going to go to the bookstore together this coming Sunday.\Oh, yeah? I'm not sure how good a bookstore date is gonna be,\but have a good time.\Yeah. response:	I have to say, this is getting ugly.
context: Yeah. Imagine, liking the same novelist that I do!\Yeah, who was it again? Takasaki Sen?\No, Takatsuki Sen!\We're going to go to the bookstore together this coming Sunday.\Oh, yeah? I'm not sure how good a bookstore date is gonna be,\but have a good time.\Yeah.\I have to say, this is getting ugly. response:	Yeah.
context: Yeah, who was it again? Takasaki Sen?\No, Takatsuki Sen!\We're going to go to the bookstore together this coming Sunday.\Oh, yeah? I'm not sure how good a bookstore date is gonna be,\but have a good time.\Yeah.\I have to say, this is getting ugly.\Yeah. response:	Word is that eating one person is supposed to last them a month,
context: No, Takatsuki Sen!\We're going to go to the bookstore together this coming Sunday.\Oh, yeah? I'm not sure how good a bookstore date is gonna be,\but have a good time.\Yeah.\I have to say, this is getting ugly.\Yeah.\Word is that eating one person is supposed to last them a month, response:	but these binge eaters are something else.
context: We're going to go to the bookstore together this coming Sunday.\Oh, yeah? I'm not sure how good a bookstore date is gonna be,\but have a good time.\Yeah.\I have to say, this is getting ugly.\Yeah.\Word is that eating one person is supposed to last them a month,\but these binge eaters are something else. response:	Write them off as animals,
context: Oh, yeah? I'm not sure how good a bookstore date is gonna be,\but have a good time.\Yeah.\I have to say, this is getting ugly.\Yeah.\Word is that eating one person is supposed to last them a month,\but these binge eaters are something else.\Write them off as animals, response:	and they'd eat any number of people, wouldn't they?
context: but have a good time.\Yeah.\I have to say, this is getting ugly.\Yeah.\Word is that eating one person is supposed to last them a month,\but these binge eaters are something else.\Write them off as animals,\and they'd eat any number of people, wouldn't they? response:	Ghouls as animals, huh?
