context: Oursworn enemy: Naraku. response:	Taking possession of more and more Sacred Jewel shards,
context: Each and every time, without ever sullying his own hands,\he manipulates people and events.\In orderto undo the curse he put on Miroku's Wind Tunnel and\to help Sango rescue herbrother, Kohaku, from Naraku's despicable grasp,\we have to find Naraku and destroy him as soon as possible!\What's the matter, Inuyasha?\I smell him...\It's Naraku! response:	The smell of the wind has changed.
context: he manipulates people and events.\In orderto undo the curse he put on Miroku's Wind Tunnel and\to help Sango rescue herbrother, Kohaku, from Naraku's despicable grasp,\we have to find Naraku and destroy him as soon as possible!\What's the matter, Inuyasha?\I smell him...\It's Naraku!\The smell of the wind has changed. response:	L-Lord Sesshomaru!
context: In orderto undo the curse he put on Miroku's Wind Tunnel and\to help Sango rescue herbrother, Kohaku, from Naraku's despicable grasp,\we have to find Naraku and destroy him as soon as possible!\What's the matter, Inuyasha?\I smell him...\It's Naraku!\The smell of the wind has changed.\L-Lord Sesshomaru! response:	Rin has been abducted!
context: to help Sango rescue herbrother, Kohaku, from Naraku's despicable grasp,\we have to find Naraku and destroy him as soon as possible!\What's the matter, Inuyasha?\I smell him...\It's Naraku!\The smell of the wind has changed.\L-Lord Sesshomaru!\Rin has been abducted! response:	One of Naraku's incarnations named Kagura appeared...
context: we have to find Naraku and destroy him as soon as possible!\What's the matter, Inuyasha?\I smell him...\It's Naraku!\The smell of the wind has changed.\L-Lord Sesshomaru!\Rin has been abducted!\One of Naraku's incarnations named Kagura appeared... response:	And out of the blue...
context: What's the matter, Inuyasha?\I smell him...\It's Naraku!\The smell of the wind has changed.\L-Lord Sesshomaru!\Rin has been abducted!\One of Naraku's incarnations named Kagura appeared...\And out of the blue... response:	Let me reassure you, Lord Sesshomaru.
context: I smell him...\It's Naraku!\The smell of the wind has changed.\L-Lord Sesshomaru!\Rin has been abducted!\One of Naraku's incarnations named Kagura appeared...\And out of the blue...\Let me reassure you, Lord Sesshomaru. response:	If you heed my request,
context: It's Naraku!\The smell of the wind has changed.\L-Lord Sesshomaru!\Rin has been abducted!\One of Naraku's incarnations named Kagura appeared...\And out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request, response:	I shall return Rin in good health.
context: The smell of the wind has changed.\L-Lord Sesshomaru!\Rin has been abducted!\One of Naraku's incarnations named Kagura appeared...\And out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in good health. response:	Y-You are Naraku!
context: L-Lord Sesshomaru!\Rin has been abducted!\One of Naraku's incarnations named Kagura appeared...\And out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in good health.\Y-You are Naraku! response:	Naraku, huh?
context: Rin has been abducted!\One of Naraku's incarnations named Kagura appeared...\And out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in good health.\Y-You are Naraku!\Naraku, huh? response:	What are you up to now?
context: One of Naraku's incarnations named Kagura appeared...\And out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in good health.\Y-You are Naraku!\Naraku, huh?\What are you up to now? response:	It's nothing special.
context: And out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in good health.\Y-You are Naraku!\Naraku, huh?\What are you up to now?\It's nothing special. response:	Just... kill Inuyasha, that is all.
context: Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in good health.\Y-You are Naraku!\Naraku, huh?\What are you up to now?\It's nothing special.\Just... kill Inuyasha, that is all. response:	All this trouble, just forthat?
context: If you heed my request,\I shall return Rin in good health.\Y-You are Naraku!\Naraku, huh?\What are you up to now?\It's nothing special.\Just... kill Inuyasha, that is all.\All this trouble, just forthat? response:	Huh?! W-What is this?!
context: I shall return Rin in good health.\Y-You are Naraku!\Naraku, huh?\What are you up to now?\It's nothing special.\Just... kill Inuyasha, that is all.\All this trouble, just forthat?\Huh?! W-What is this?! response:	Ademon puppet?
context: Y-You are Naraku!\Naraku, huh?\What are you up to now?\It's nothing special.\Just... kill Inuyasha, that is all.\All this trouble, just forthat?\Huh?! W-What is this?!\Ademon puppet? response:	Did he think that I, Sesshomaru,
context: Naraku, huh?\What are you up to now?\It's nothing special.\Just... kill Inuyasha, that is all.\All this trouble, just forthat?\Huh?! W-What is this?!\Ademon puppet?\Did he think that I, Sesshomaru, response:	could be so manipulated over a mere mortal girl?
context: What are you up to now?\It's nothing special.\Just... kill Inuyasha, that is all.\All this trouble, just forthat?\Huh?! W-What is this?!\Ademon puppet?\Did he think that I, Sesshomaru,\could be so manipulated over a mere mortal girl? response:	Then Lord Sesshomaru, will you forsake Rin?
context: It's nothing special.\Just... kill Inuyasha, that is all.\All this trouble, just forthat?\Huh?! W-What is this?!\Ademon puppet?\Did he think that I, Sesshomaru,\could be so manipulated over a mere mortal girl?\Then Lord Sesshomaru, will you forsake Rin? response:	And... Lord Sesshomaru, where are you going?
context: Just... kill Inuyasha, that is all.\All this trouble, just forthat?\Huh?! W-What is this?!\Ademon puppet?\Did he think that I, Sesshomaru,\could be so manipulated over a mere mortal girl?\Then Lord Sesshomaru, will you forsake Rin?\And... Lord Sesshomaru, where are you going? response:	Umm... Where are you headed?
context: All this trouble, just forthat?\Huh?! W-What is this?!\Ademon puppet?\Did he think that I, Sesshomaru,\could be so manipulated over a mere mortal girl?\Then Lord Sesshomaru, will you forsake Rin?\And... Lord Sesshomaru, where are you going?\Umm... Where are you headed? response:	Are you perhaps?
context: Huh?! W-What is this?!\Ademon puppet?\Did he think that I, Sesshomaru,\could be so manipulated over a mere mortal girl?\Then Lord Sesshomaru, will you forsake Rin?\And... Lord Sesshomaru, where are you going?\Umm... Where are you headed?\Are you perhaps? response:	So you will come, Sesshomaru.
context: Ademon puppet?\Did he think that I, Sesshomaru,\could be so manipulated over a mere mortal girl?\Then Lord Sesshomaru, will you forsake Rin?\And... Lord Sesshomaru, where are you going?\Umm... Where are you headed?\Are you perhaps?\So you will come, Sesshomaru. response:	Is it really Naraku's smell?
context: Did he think that I, Sesshomaru,\could be so manipulated over a mere mortal girl?\Then Lord Sesshomaru, will you forsake Rin?\And... Lord Sesshomaru, where are you going?\Umm... Where are you headed?\Are you perhaps?\So you will come, Sesshomaru.\Is it really Naraku's smell? response:	No mistake about it!
context: could be so manipulated over a mere mortal girl?\Then Lord Sesshomaru, will you forsake Rin?\And... Lord Sesshomaru, where are you going?\Umm... Where are you headed?\Are you perhaps?\So you will come, Sesshomaru.\Is it really Naraku's smell?\No mistake about it! response:	That Naraku!
context: Then Lord Sesshomaru, will you forsake Rin?\And... Lord Sesshomaru, where are you going?\Umm... Where are you headed?\Are you perhaps?\So you will come, Sesshomaru.\Is it really Naraku's smell?\No mistake about it!\That Naraku! response:	This time I'll find you and kill you!
context: And... Lord Sesshomaru, where are you going?\Umm... Where are you headed?\Are you perhaps?\So you will come, Sesshomaru.\Is it really Naraku's smell?\No mistake about it!\That Naraku!\This time I'll find you and kill you! response:	He never showed himself. So why now?
context: Umm... Where are you headed?\Are you perhaps?\So you will come, Sesshomaru.\Is it really Naraku's smell?\No mistake about it!\That Naraku!\This time I'll find you and kill you!\He never showed himself. So why now? response:	Yes, that bothers me.
context: Are you perhaps?\So you will come, Sesshomaru.\Is it really Naraku's smell?\No mistake about it!\That Naraku!\This time I'll find you and kill you!\He never showed himself. So why now?\Yes, that bothers me. response:	Oh yes... I...
context: So you will come, Sesshomaru.\Is it really Naraku's smell?\No mistake about it!\That Naraku!\This time I'll find you and kill you!\He never showed himself. So why now?\Yes, that bothers me.\Oh yes... I... response:	was taken by that Kagura lady.
context: Is it really Naraku's smell?\No mistake about it!\That Naraku!\This time I'll find you and kill you!\He never showed himself. So why now?\Yes, that bothers me.\Oh yes... I...\was taken by that Kagura lady. response:	Y-You're!
context: No mistake about it!\That Naraku!\This time I'll find you and kill you!\He never showed himself. So why now?\Yes, that bothers me.\Oh yes... I...\was taken by that Kagura lady.\Y-You're! response:	I was kidnapped.
context: That Naraku!\This time I'll find you and kill you!\He never showed himself. So why now?\Yes, that bothers me.\Oh yes... I...\was taken by that Kagura lady.\Y-You're!\I was kidnapped. response:	Where am I?
context: This time I'll find you and kill you!\He never showed himself. So why now?\Yes, that bothers me.\Oh yes... I...\was taken by that Kagura lady.\Y-You're!\I was kidnapped.\Where am I? response:	Who are you?
context: He never showed himself. So why now?\Yes, that bothers me.\Oh yes... I...\was taken by that Kagura lady.\Y-You're!\I was kidnapped.\Where am I?\Who are you? response:	Don't go outside!
context: Yes, that bothers me.\Oh yes... I...\was taken by that Kagura lady.\Y-You're!\I was kidnapped.\Where am I?\Who are you?\Don't go outside! response:	I have to go!
context: Oh yes... I...\was taken by that Kagura lady.\Y-You're!\I was kidnapped.\Where am I?\Who are you?\Don't go outside!\I have to go! response:	Understand now? If you go out, they'll tearyou apart.
context: was taken by that Kagura lady.\Y-You're!\I was kidnapped.\Where am I?\Who are you?\Don't go outside!\I have to go!\Understand now? If you go out, they'll tearyou apart. response:	Were you kidnapped, too?
context: Y-You're!\I was kidnapped.\Where am I?\Who are you?\Don't go outside!\I have to go!\Understand now? If you go out, they'll tearyou apart.\Were you kidnapped, too? response:	Then let's run away together.
context: I was kidnapped.\Where am I?\Who are you?\Don't go outside!\I have to go!\Understand now? If you go out, they'll tearyou apart.\Were you kidnapped, too?\Then let's run away together. response:	I'm guarding you.
context: Where am I?\Who are you?\Don't go outside!\I have to go!\Understand now? If you go out, they'll tearyou apart.\Were you kidnapped, too?\Then let's run away together.\I'm guarding you. response:	I see...
context: Who are you?\Don't go outside!\I have to go!\Understand now? If you go out, they'll tearyou apart.\Were you kidnapped, too?\Then let's run away together.\I'm guarding you.\I see... response:	Say what's yourname?
context: Don't go outside!\I have to go!\Understand now? If you go out, they'll tearyou apart.\Were you kidnapped, too?\Then let's run away together.\I'm guarding you.\I see...\Say what's yourname? response:	I'm Rin. How old are you?
context: I have to go!\Understand now? If you go out, they'll tearyou apart.\Were you kidnapped, too?\Then let's run away together.\I'm guarding you.\I see...\Say what's yourname?\I'm Rin. How old are you? response:	Why are you doing this? Are you a demon, too?
context: Understand now? If you go out, they'll tearyou apart.\Were you kidnapped, too?\Then let's run away together.\I'm guarding you.\I see...\Say what's yourname?\I'm Rin. How old are you?\Why are you doing this? Are you a demon, too? response:	What do you like to eat? Do you like melons?
context: Were you kidnapped, too?\Then let's run away together.\I'm guarding you.\I see...\Say what's yourname?\I'm Rin. How old are you?\Why are you doing this? Are you a demon, too?\What do you like to eat? Do you like melons? response:	You sure talk a lot.
context: Then let's run away together.\I'm guarding you.\I see...\Say what's yourname?\I'm Rin. How old are you?\Why are you doing this? Are you a demon, too?\What do you like to eat? Do you like melons?\You sure talk a lot. response:	Huh?
context: I'm guarding you.\I see...\Say what's yourname?\I'm Rin. How old are you?\Why are you doing this? Are you a demon, too?\What do you like to eat? Do you like melons?\You sure talk a lot.\Huh? response:	Well...
context: I see...\Say what's yourname?\I'm Rin. How old are you?\Why are you doing this? Are you a demon, too?\What do you like to eat? Do you like melons?\You sure talk a lot.\Huh?\Well... response:	Keeping quiet makes me more scared.
context: Say what's yourname?\I'm Rin. How old are you?\Why are you doing this? Are you a demon, too?\What do you like to eat? Do you like melons?\You sure talk a lot.\Huh?\Well...\Keeping quiet makes me more scared. response:	I wonder if Lord Sesshomaru will come to save me?
context: I'm Rin. How old are you?\Why are you doing this? Are you a demon, too?\What do you like to eat? Do you like melons?\You sure talk a lot.\Huh?\Well...\Keeping quiet makes me more scared.\I wonder if Lord Sesshomaru will come to save me? response:	Lord Sesshomaru. What are yourplans?
context: Why are you doing this? Are you a demon, too?\What do you like to eat? Do you like melons?\You sure talk a lot.\Huh?\Well...\Keeping quiet makes me more scared.\I wonder if Lord Sesshomaru will come to save me?\Lord Sesshomaru. What are yourplans? response:	Huh? What's the matter?
context: What do you like to eat? Do you like melons?\You sure talk a lot.\Huh?\Well...\Keeping quiet makes me more scared.\I wonder if Lord Sesshomaru will come to save me?\Lord Sesshomaru. What are yourplans?\Huh? What's the matter? response:	It's Naraku's castle.
context: You sure talk a lot.\Huh?\Well...\Keeping quiet makes me more scared.\I wonder if Lord Sesshomaru will come to save me?\Lord Sesshomaru. What are yourplans?\Huh? What's the matter?\It's Naraku's castle. response:	Huh?
context: Huh?\Well...\Keeping quiet makes me more scared.\I wonder if Lord Sesshomaru will come to save me?\Lord Sesshomaru. What are yourplans?\Huh? What's the matter?\It's Naraku's castle.\Huh? response:	Well now...
context: Well...\Keeping quiet makes me more scared.\I wonder if Lord Sesshomaru will come to save me?\Lord Sesshomaru. What are yourplans?\Huh? What's the matter?\It's Naraku's castle.\Huh?\Well now... response:	I don't see a castle.
context: Keeping quiet makes me more scared.\I wonder if Lord Sesshomaru will come to save me?\Lord Sesshomaru. What are yourplans?\Huh? What's the matter?\It's Naraku's castle.\Huh?\Well now...\I don't see a castle. response:	The barrier opened up!
context: I wonder if Lord Sesshomaru will come to save me?\Lord Sesshomaru. What are yourplans?\Huh? What's the matter?\It's Naraku's castle.\Huh?\Well now...\I don't see a castle.\The barrier opened up! response:	Lord Sesshomaru!
context: Lord Sesshomaru. What are yourplans?\Huh? What's the matter?\It's Naraku's castle.\Huh?\Well now...\I don't see a castle.\The barrier opened up!\Lord Sesshomaru! response:	Oh, please wait!
context: Huh? What's the matter?\It's Naraku's castle.\Huh?\Well now...\I don't see a castle.\The barrier opened up!\Lord Sesshomaru!\Oh, please wait! response:	So you purposely leaked your scent and revealed yourlocation...
context: It's Naraku's castle.\Huh?\Well now...\I don't see a castle.\The barrier opened up!\Lord Sesshomaru!\Oh, please wait!\So you purposely leaked your scent and revealed yourlocation... response:	inviting me into this castle.
context: Huh?\Well now...\I don't see a castle.\The barrier opened up!\Lord Sesshomaru!\Oh, please wait!\So you purposely leaked your scent and revealed yourlocation...\inviting me into this castle. response:	Well, would you have come otherwise?
context: Well now...\I don't see a castle.\The barrier opened up!\Lord Sesshomaru!\Oh, please wait!\So you purposely leaked your scent and revealed yourlocation...\inviting me into this castle.\Well, would you have come otherwise? response:	There he is!
context: I don't see a castle.\The barrier opened up!\Lord Sesshomaru!\Oh, please wait!\So you purposely leaked your scent and revealed yourlocation...\inviting me into this castle.\Well, would you have come otherwise?\There he is! response:	Although, the child you seek is not here.
context: The barrier opened up!\Lord Sesshomaru!\Oh, please wait!\So you purposely leaked your scent and revealed yourlocation...\inviting me into this castle.\Well, would you have come otherwise?\There he is!\Although, the child you seek is not here. response:	Inside this miasma, she would not be able to breathe at all.
context: Lord Sesshomaru!\Oh, please wait!\So you purposely leaked your scent and revealed yourlocation...\inviting me into this castle.\Well, would you have come otherwise?\There he is!\Although, the child you seek is not here.\Inside this miasma, she would not be able to breathe at all. response:	That child is undermy protection outside the castle walls.
context: Oh, please wait!\So you purposely leaked your scent and revealed yourlocation...\inviting me into this castle.\Well, would you have come otherwise?\There he is!\Although, the child you seek is not here.\Inside this miasma, she would not be able to breathe at all.\That child is undermy protection outside the castle walls. response:	You may rest assured fornow.
context: So you purposely leaked your scent and revealed yourlocation...\inviting me into this castle.\Well, would you have come otherwise?\There he is!\Although, the child you seek is not here.\Inside this miasma, she would not be able to breathe at all.\That child is undermy protection outside the castle walls.\You may rest assured fornow. response:	Naraku...
context: inviting me into this castle.\Well, would you have come otherwise?\There he is!\Although, the child you seek is not here.\Inside this miasma, she would not be able to breathe at all.\That child is undermy protection outside the castle walls.\You may rest assured fornow.\Naraku... response:	You should know that I am not here to save Rin.
context: Well, would you have come otherwise?\There he is!\Although, the child you seek is not here.\Inside this miasma, she would not be able to breathe at all.\That child is undermy protection outside the castle walls.\You may rest assured fornow.\Naraku...\You should know that I am not here to save Rin. response:	Huh?!
context: There he is!\Although, the child you seek is not here.\Inside this miasma, she would not be able to breathe at all.\That child is undermy protection outside the castle walls.\You may rest assured fornow.\Naraku...\You should know that I am not here to save Rin.\Huh?! response:	Oh indeed.
context: Although, the child you seek is not here.\Inside this miasma, she would not be able to breathe at all.\That child is undermy protection outside the castle walls.\You may rest assured fornow.\Naraku...\You should know that I am not here to save Rin.\Huh?!\Oh indeed. response:	You do not seem to appreciate being told what to do.
context: Inside this miasma, she would not be able to breathe at all.\That child is undermy protection outside the castle walls.\You may rest assured fornow.\Naraku...\You should know that I am not here to save Rin.\Huh?!\Oh indeed.\You do not seem to appreciate being told what to do. response:	You did not come to kill Inuyasha as ordered...
context: That child is undermy protection outside the castle walls.\You may rest assured fornow.\Naraku...\You should know that I am not here to save Rin.\Huh?!\Oh indeed.\You do not seem to appreciate being told what to do.\You did not come to kill Inuyasha as ordered... response:	nordid you come to look forthe girl.
context: You may rest assured fornow.\Naraku...\You should know that I am not here to save Rin.\Huh?!\Oh indeed.\You do not seem to appreciate being told what to do.\You did not come to kill Inuyasha as ordered...\nordid you come to look forthe girl. response:	You've come to kill me, I know that.
context: Naraku...\You should know that I am not here to save Rin.\Huh?!\Oh indeed.\You do not seem to appreciate being told what to do.\You did not come to kill Inuyasha as ordered...\nordid you come to look forthe girl.\You've come to kill me, I know that. response:	You talk as if you think you've lured me into a trap.
context: You should know that I am not here to save Rin.\Huh?!\Oh indeed.\You do not seem to appreciate being told what to do.\You did not come to kill Inuyasha as ordered...\nordid you come to look forthe girl.\You've come to kill me, I know that.\You talk as if you think you've lured me into a trap. response:	I'll ask you why later.
context: Huh?!\Oh indeed.\You do not seem to appreciate being told what to do.\You did not come to kill Inuyasha as ordered...\nordid you come to look forthe girl.\You've come to kill me, I know that.\You talk as if you think you've lured me into a trap.\I'll ask you why later. response:	IF you remain alive.
context: Oh indeed.\You do not seem to appreciate being told what to do.\You did not come to kill Inuyasha as ordered...\nordid you come to look forthe girl.\You've come to kill me, I know that.\You talk as if you think you've lured me into a trap.\I'll ask you why later.\IF you remain alive. response:	Sesshomaru...
context: You do not seem to appreciate being told what to do.\You did not come to kill Inuyasha as ordered...\nordid you come to look forthe girl.\You've come to kill me, I know that.\You talk as if you think you've lured me into a trap.\I'll ask you why later.\IF you remain alive.\Sesshomaru... response:	Even if you refuse, you SHALL give me yourpower.
context: You did not come to kill Inuyasha as ordered...\nordid you come to look forthe girl.\You've come to kill me, I know that.\You talk as if you think you've lured me into a trap.\I'll ask you why later.\IF you remain alive.\Sesshomaru...\Even if you refuse, you SHALL give me yourpower. response:	Geez! Wait up, will you?!
context: nordid you come to look forthe girl.\You've come to kill me, I know that.\You talk as if you think you've lured me into a trap.\I'll ask you why later.\IF you remain alive.\Sesshomaru...\Even if you refuse, you SHALL give me yourpower.\Geez! Wait up, will you?! response:	Wait, everyone!
context: You've come to kill me, I know that.\You talk as if you think you've lured me into a trap.\I'll ask you why later.\IF you remain alive.\Sesshomaru...\Even if you refuse, you SHALL give me yourpower.\Geez! Wait up, will you?!\Wait, everyone! response:	What's the holdup?!
context: You talk as if you think you've lured me into a trap.\I'll ask you why later.\IF you remain alive.\Sesshomaru...\Even if you refuse, you SHALL give me yourpower.\Geez! Wait up, will you?!\Wait, everyone!\What's the holdup?! response:	I sense Sacred Jewel shards!
context: I'll ask you why later.\IF you remain alive.\Sesshomaru...\Even if you refuse, you SHALL give me yourpower.\Geez! Wait up, will you?!\Wait, everyone!\What's the holdup?!\I sense Sacred Jewel shards! response:	From that mountain.
context: IF you remain alive.\Sesshomaru...\Even if you refuse, you SHALL give me yourpower.\Geez! Wait up, will you?!\Wait, everyone!\What's the holdup?!\I sense Sacred Jewel shards!\From that mountain. response:	That mountain? You sense the shards there?
context: Sesshomaru...\Even if you refuse, you SHALL give me yourpower.\Geez! Wait up, will you?!\Wait, everyone!\What's the holdup?!\I sense Sacred Jewel shards!\From that mountain.\That mountain? You sense the shards there? response:	What'll we do?
context: Even if you refuse, you SHALL give me yourpower.\Geez! Wait up, will you?!\Wait, everyone!\What's the holdup?!\I sense Sacred Jewel shards!\From that mountain.\That mountain? You sense the shards there?\What'll we do? response:	We'll go after the shards.
context: Geez! Wait up, will you?!\Wait, everyone!\What's the holdup?!\I sense Sacred Jewel shards!\From that mountain.\That mountain? You sense the shards there?\What'll we do?\We'll go after the shards. response:	Inuyasha, go find Naraku's castle.
context: Wait, everyone!\What's the holdup?!\I sense Sacred Jewel shards!\From that mountain.\That mountain? You sense the shards there?\What'll we do?\We'll go after the shards.\Inuyasha, go find Naraku's castle. response:	Awright! Take care of things on your side!
context: What's the holdup?!\I sense Sacred Jewel shards!\From that mountain.\That mountain? You sense the shards there?\What'll we do?\We'll go after the shards.\Inuyasha, go find Naraku's castle.\Awright! Take care of things on your side! response:	Be careful!
context: I sense Sacred Jewel shards!\From that mountain.\That mountain? You sense the shards there?\What'll we do?\We'll go after the shards.\Inuyasha, go find Naraku's castle.\Awright! Take care of things on your side!\Be careful! response:	What's going on?!
context: From that mountain.\That mountain? You sense the shards there?\What'll we do?\We'll go after the shards.\Inuyasha, go find Naraku's castle.\Awright! Take care of things on your side!\Be careful!\What's going on?! response:	Naraku's scent is starting to fade!
context: That mountain? You sense the shards there?\What'll we do?\We'll go after the shards.\Inuyasha, go find Naraku's castle.\Awright! Take care of things on your side!\Be careful!\What's going on?!\Naraku's scent is starting to fade! response:	Does it mean he's sealed off the barrierto his castle?
context: What'll we do?\We'll go after the shards.\Inuyasha, go find Naraku's castle.\Awright! Take care of things on your side!\Be careful!\What's going on?!\Naraku's scent is starting to fade!\Does it mean he's sealed off the barrierto his castle? response:	I must hurry before I lose the scent of it!
context: We'll go after the shards.\Inuyasha, go find Naraku's castle.\Awright! Take care of things on your side!\Be careful!\What's going on?!\Naraku's scent is starting to fade!\Does it mean he's sealed off the barrierto his castle?\I must hurry before I lose the scent of it! response:	The barrier!
context: Inuyasha, go find Naraku's castle.\Awright! Take care of things on your side!\Be careful!\What's going on?!\Naraku's scent is starting to fade!\Does it mean he's sealed off the barrierto his castle?\I must hurry before I lose the scent of it!\The barrier! response:	Damn barrier! Take... my Wind Scar!
context: Awright! Take care of things on your side!\Be careful!\What's going on?!\Naraku's scent is starting to fade!\Does it mean he's sealed off the barrierto his castle?\I must hurry before I lose the scent of it!\The barrier!\Damn barrier! Take... my Wind Scar! response:	The Wind Scarisn't working!
context: Be careful!\What's going on?!\Naraku's scent is starting to fade!\Does it mean he's sealed off the barrierto his castle?\I must hurry before I lose the scent of it!\The barrier!\Damn barrier! Take... my Wind Scar!\The Wind Scarisn't working! response:	He's not getting away this time!
context: What's going on?!\Naraku's scent is starting to fade!\Does it mean he's sealed off the barrierto his castle?\I must hurry before I lose the scent of it!\The barrier!\Damn barrier! Take... my Wind Scar!\The Wind Scarisn't working!\He's not getting away this time! response:	Lord Sesshomaru, you did me the honor of coming here.
context: Naraku's scent is starting to fade!\Does it mean he's sealed off the barrierto his castle?\I must hurry before I lose the scent of it!\The barrier!\Damn barrier! Take... my Wind Scar!\The Wind Scarisn't working!\He's not getting away this time!\Lord Sesshomaru, you did me the honor of coming here. response:	I will gladly take you on.
context: Does it mean he's sealed off the barrierto his castle?\I must hurry before I lose the scent of it!\The barrier!\Damn barrier! Take... my Wind Scar!\The Wind Scarisn't working!\He's not getting away this time!\Lord Sesshomaru, you did me the honor of coming here.\I will gladly take you on. response:	What's this?!
context: I must hurry before I lose the scent of it!\The barrier!\Damn barrier! Take... my Wind Scar!\The Wind Scarisn't working!\He's not getting away this time!\Lord Sesshomaru, you did me the honor of coming here.\I will gladly take you on.\What's this?! response:	Hmph! A collection of rejected demons.
context: The barrier!\Damn barrier! Take... my Wind Scar!\The Wind Scarisn't working!\He's not getting away this time!\Lord Sesshomaru, you did me the honor of coming here.\I will gladly take you on.\What's this?!\Hmph! A collection of rejected demons. response:	Naraku, is that yourtrue form?
context: Damn barrier! Take... my Wind Scar!\The Wind Scarisn't working!\He's not getting away this time!\Lord Sesshomaru, you did me the honor of coming here.\I will gladly take you on.\What's this?!\Hmph! A collection of rejected demons.\Naraku, is that yourtrue form? response:	True form?
context: The Wind Scarisn't working!\He's not getting away this time!\Lord Sesshomaru, you did me the honor of coming here.\I will gladly take you on.\What's this?!\Hmph! A collection of rejected demons.\Naraku, is that yourtrue form?\True form? response:	No, this is only the beginning.
context: He's not getting away this time!\Lord Sesshomaru, you did me the honor of coming here.\I will gladly take you on.\What's this?!\Hmph! A collection of rejected demons.\Naraku, is that yourtrue form?\True form?\No, this is only the beginning. response:	So... you want my life?
context: Lord Sesshomaru, you did me the honor of coming here.\I will gladly take you on.\What's this?!\Hmph! A collection of rejected demons.\Naraku, is that yourtrue form?\True form?\No, this is only the beginning.\So... you want my life? response:	I don't get it.
context: I will gladly take you on.\What's this?!\Hmph! A collection of rejected demons.\Naraku, is that yourtrue form?\True form?\No, this is only the beginning.\So... you want my life?\I don't get it. response:	What's the point of Naraku killing Sesshomaru?
context: What's this?!\Hmph! A collection of rejected demons.\Naraku, is that yourtrue form?\True form?\No, this is only the beginning.\So... you want my life?\I don't get it.\What's the point of Naraku killing Sesshomaru? response:	Could Naraku be planning to?!
context: Hmph! A collection of rejected demons.\Naraku, is that yourtrue form?\True form?\No, this is only the beginning.\So... you want my life?\I don't get it.\What's the point of Naraku killing Sesshomaru?\Could Naraku be planning to?! response:	It's close... The Sacred Jewel shard.
