context: Mameshiba response:	-OP-
context: And you got one? That's awesome.\High!\Does that key make us warp or something?\This academy is a very important place for the Order of True Cross.\So the Principal has used his power to set a maze of amulets and barriers to ward off demons.\Oh, him... I guess he's not just any ordinary clown.\You can avoid those traps and visit the world outside the academy if you have the keys.\I see... response:	You should take good care of the keys you're given.
context: High!\Does that key make us warp or something?\This academy is a very important place for the Order of True Cross.\So the Principal has used his power to set a maze of amulets and barriers to ward off demons.\Oh, him... I guess he's not just any ordinary clown.\You can avoid those traps and visit the world outside the academy if you have the keys.\I see...\You should take good care of the keys you're given. response:	They're very precious to us.
context: Does that key make us warp or something?\This academy is a very important place for the Order of True Cross.\So the Principal has used his power to set a maze of amulets and barriers to ward off demons.\Oh, him... I guess he's not just any ordinary clown.\You can avoid those traps and visit the world outside the academy if you have the keys.\I see...\You should take good care of the keys you're given.\They're very precious to us. response:	Ye Olde Exorcist Store
context: This academy is a very important place for the Order of True Cross.\So the Principal has used his power to set a maze of amulets and barriers to ward off demons.\Oh, him... I guess he's not just any ordinary clown.\You can avoid those traps and visit the world outside the academy if you have the keys.\I see...\You should take good care of the keys you're given.\They're very precious to us.\Ye Olde Exorcist Store response:	Episode 4 szia Garden of Amahara
context: So the Principal has used his power to set a maze of amulets and barriers to ward off demons.\Oh, him... I guess he's not just any ordinary clown.\You can avoid those traps and visit the world outside the academy if you have the keys.\I see...\You should take good care of the keys you're given.\They're very precious to us.\Ye Olde Exorcist Store\Episode 4 szia Garden of Amahara response:	Well, I'll go buy the supplies first.
context: Oh, him... I guess he's not just any ordinary clown.\You can avoid those traps and visit the world outside the academy if you have the keys.\I see...\You should take good care of the keys you're given.\They're very precious to us.\Ye Olde Exorcist Store\Episode 4 szia Garden of Amahara\Well, I'll go buy the supplies first. response:	Wait out here.
context: You can avoid those traps and visit the world outside the academy if you have the keys.\I see...\You should take good care of the keys you're given.\They're very precious to us.\Ye Olde Exorcist Store\Episode 4 szia Garden of Amahara\Well, I'll go buy the supplies first.\Wait out here. response:	I want to come with you.
context: I see...\You should take good care of the keys you're given.\They're very precious to us.\Ye Olde Exorcist Store\Episode 4 szia Garden of Amahara\Well, I'll go buy the supplies first.\Wait out here.\I want to come with you. response:	Exorcist Supply Store Futsumaya
context: You should take good care of the keys you're given.\They're very precious to us.\Ye Olde Exorcist Store\Episode 4 szia Garden of Amahara\Well, I'll go buy the supplies first.\Wait out here.\I want to come with you.\Exorcist Supply Store Futsumaya response:	Only Exorcists can enter the store. I won't be long.
context: They're very precious to us.\Ye Olde Exorcist Store\Episode 4 szia Garden of Amahara\Well, I'll go buy the supplies first.\Wait out here.\I want to come with you.\Exorcist Supply Store Futsumaya\Only Exorcists can enter the store. I won't be long. response:	Don't loiter around! And don't touch anything!
context: Ye Olde Exorcist Store\Episode 4 szia Garden of Amahara\Well, I'll go buy the supplies first.\Wait out here.\I want to come with you.\Exorcist Supply Store Futsumaya\Only Exorcists can enter the store. I won't be long.\Don't loiter around! And don't touch anything! response:	Just hurry up!
context: Episode 4 szia Garden of Amahara\Well, I'll go buy the supplies first.\Wait out here.\I want to come with you.\Exorcist Supply Store Futsumaya\Only Exorcists can enter the store. I won't be long.\Don't loiter around! And don't touch anything!\Just hurry up! response:	Damn, he keeps treating me like I'm just a brat!
context: Well, I'll go buy the supplies first.\Wait out here.\I want to come with you.\Exorcist Supply Store Futsumaya\Only Exorcists can enter the store. I won't be long.\Don't loiter around! And don't touch anything!\Just hurry up!\Damn, he keeps treating me like I'm just a brat! response:	No loitering! Don't touch anything!
context: Wait out here.\I want to come with you.\Exorcist Supply Store Futsumaya\Only Exorcists can enter the store. I won't be long.\Don't loiter around! And don't touch anything!\Just hurry up!\Damn, he keeps treating me like I'm just a brat!\No loitering! Don't touch anything! response:	Like he's my mother or something!
context: I want to come with you.\Exorcist Supply Store Futsumaya\Only Exorcists can enter the store. I won't be long.\Don't loiter around! And don't touch anything!\Just hurry up!\Damn, he keeps treating me like I'm just a brat!\No loitering! Don't touch anything!\Like he's my mother or something! response:	Damnit. One day you'll come asking for my help...
context: Exorcist Supply Store Futsumaya\Only Exorcists can enter the store. I won't be long.\Don't loiter around! And don't touch anything!\Just hurry up!\Damn, he keeps treating me like I'm just a brat!\No loitering! Don't touch anything!\Like he's my mother or something!\Damnit. One day you'll come asking for my help... response:	Wow, it's so pretty!
context: Only Exorcists can enter the store. I won't be long.\Don't loiter around! And don't touch anything!\Just hurry up!\Damn, he keeps treating me like I'm just a brat!\No loitering! Don't touch anything!\Like he's my mother or something!\Damnit. One day you'll come asking for my help...\Wow, it's so pretty! response:	Ouch!
context: Don't loiter around! And don't touch anything!\Just hurry up!\Damn, he keeps treating me like I'm just a brat!\No loitering! Don't touch anything!\Like he's my mother or something!\Damnit. One day you'll come asking for my help...\Wow, it's so pretty!\Ouch! response:	Um, I didn't do... It just broke!
context: Just hurry up!\Damn, he keeps treating me like I'm just a brat!\No loitering! Don't touch anything!\Like he's my mother or something!\Damnit. One day you'll come asking for my help...\Wow, it's so pretty!\Ouch!\Um, I didn't do... It just broke! response:	D-Demon?
context: Damn, he keeps treating me like I'm just a brat!\No loitering! Don't touch anything!\Like he's my mother or something!\Damnit. One day you'll come asking for my help...\Wow, it's so pretty!\Ouch!\Um, I didn't do... It just broke!\D-Demon? response:	The warding gate...
context: No loitering! Don't touch anything!\Like he's my mother or something!\Damnit. One day you'll come asking for my help...\Wow, it's so pretty!\Ouch!\Um, I didn't do... It just broke!\D-Demon?\The warding gate... response:	Warding?
context: Like he's my mother or something!\Damnit. One day you'll come asking for my help...\Wow, it's so pretty!\Ouch!\Um, I didn't do... It just broke!\D-Demon?\The warding gate...\Warding? response:	Oh crap, did it react to me?
context: Damnit. One day you'll come asking for my help...\Wow, it's so pretty!\Ouch!\Um, I didn't do... It just broke!\D-Demon?\The warding gate...\Warding?\Oh crap, did it react to me? response:	Don't come in!
context: Wow, it's so pretty!\Ouch!\Um, I didn't do... It just broke!\D-Demon?\The warding gate...\Warding?\Oh crap, did it react to me?\Don't come in! response:	Demon!
context: Ouch!\Um, I didn't do... It just broke!\D-Demon?\The warding gate...\Warding?\Oh crap, did it react to me?\Don't come in!\Demon! response:	Demon schmemon! I'm not a demon!
context: Um, I didn't do... It just broke!\D-Demon?\The warding gate...\Warding?\Oh crap, did it react to me?\Don't come in!\Demon!\Demon schmemon! I'm not a demon! response:	Don't make assumptions!
context: D-Demon?\The warding gate...\Warding?\Oh crap, did it react to me?\Don't come in!\Demon!\Demon schmemon! I'm not a demon!\Don't make assumptions! response:	Stay away!
context: The warding gate...\Warding?\Oh crap, did it react to me?\Don't come in!\Demon!\Demon schmemon! I'm not a demon!\Don't make assumptions!\Stay away! response:	Hey...
context: Warding?\Oh crap, did it react to me?\Don't come in!\Demon!\Demon schmemon! I'm not a demon!\Don't make assumptions!\Stay away!\Hey... response:	I told you to stay away!
context: Oh crap, did it react to me?\Don't come in!\Demon!\Demon schmemon! I'm not a demon!\Don't make assumptions!\Stay away!\Hey...\I told you to stay away! response:	Can't you use your legs?
context: Don't come in!\Demon!\Demon schmemon! I'm not a demon!\Don't make assumptions!\Stay away!\Hey...\I told you to stay away!\Can't you use your legs? response:	Valeriana, St. John's wort, fern, horehound... Two of each.
context: Demon!\Demon schmemon! I'm not a demon!\Don't make assumptions!\Stay away!\Hey...\I told you to stay away!\Can't you use your legs?\Valeriana, St. John's wort, fern, horehound... Two of each. response:	And then one liter of C-concentration holy water.
context: Demon schmemon! I'm not a demon!\Don't make assumptions!\Stay away!\Hey...\I told you to stay away!\Can't you use your legs?\Valeriana, St. John's wort, fern, horehound... Two of each.\And then one liter of C-concentration holy water. response:	300 grams of magnetite sand.
context: Don't make assumptions!\Stay away!\Hey...\I told you to stay away!\Can't you use your legs?\Valeriana, St. John's wort, fern, horehound... Two of each.\And then one liter of C-concentration holy water.\300 grams of magnetite sand. response:	And six dozen of my usual blessed silver-jacket bullets.
context: Stay away!\Hey...\I told you to stay away!\Can't you use your legs?\Valeriana, St. John's wort, fern, horehound... Two of each.\And then one liter of C-concentration holy water.\300 grams of magnetite sand.\And six dozen of my usual blessed silver-jacket bullets. response:	Thank you for your patronage. Buying in bulk again, I see?
context: Hey...\I told you to stay away!\Can't you use your legs?\Valeriana, St. John's wort, fern, horehound... Two of each.\And then one liter of C-concentration holy water.\300 grams of magnetite sand.\And six dozen of my usual blessed silver-jacket bullets.\Thank you for your patronage. Buying in bulk again, I see? response:	I used up a lot the other day.
context: I told you to stay away!\Can't you use your legs?\Valeriana, St. John's wort, fern, horehound... Two of each.\And then one liter of C-concentration holy water.\300 grams of magnetite sand.\And six dozen of my usual blessed silver-jacket bullets.\Thank you for your patronage. Buying in bulk again, I see?\I used up a lot the other day. response:	How about the young lady? How is Shiemi?
context: Can't you use your legs?\Valeriana, St. John's wort, fern, horehound... Two of each.\And then one liter of C-concentration holy water.\300 grams of magnetite sand.\And six dozen of my usual blessed silver-jacket bullets.\Thank you for your patronage. Buying in bulk again, I see?\I used up a lot the other day.\How about the young lady? How is Shiemi? response:	Her legs keep getting worse day by day.
context: Valeriana, St. John's wort, fern, horehound... Two of each.\And then one liter of C-concentration holy water.\300 grams of magnetite sand.\And six dozen of my usual blessed silver-jacket bullets.\Thank you for your patronage. Buying in bulk again, I see?\I used up a lot the other day.\How about the young lady? How is Shiemi?\Her legs keep getting worse day by day. response:	But the doctors can't find anything wrong with either her bones or muscles.
context: And then one liter of C-concentration holy water.\300 grams of magnetite sand.\And six dozen of my usual blessed silver-jacket bullets.\Thank you for your patronage. Buying in bulk again, I see?\I used up a lot the other day.\How about the young lady? How is Shiemi?\Her legs keep getting worse day by day.\But the doctors can't find anything wrong with either her bones or muscles. response:	That's why I asked you here.
context: 300 grams of magnetite sand.\And six dozen of my usual blessed silver-jacket bullets.\Thank you for your patronage. Buying in bulk again, I see?\I used up a lot the other day.\How about the young lady? How is Shiemi?\Her legs keep getting worse day by day.\But the doctors can't find anything wrong with either her bones or muscles.\That's why I asked you here. response:	And Shiemi?
context: And six dozen of my usual blessed silver-jacket bullets.\Thank you for your patronage. Buying in bulk again, I see?\I used up a lot the other day.\How about the young lady? How is Shiemi?\Her legs keep getting worse day by day.\But the doctors can't find anything wrong with either her bones or muscles.\That's why I asked you here.\And Shiemi? response:	Unfortunately we're at odds right now.
context: Thank you for your patronage. Buying in bulk again, I see?\I used up a lot the other day.\How about the young lady? How is Shiemi?\Her legs keep getting worse day by day.\But the doctors can't find anything wrong with either her bones or muscles.\That's why I asked you here.\And Shiemi?\Unfortunately we're at odds right now. response:	She isn't talking to me for the time being.
context: I used up a lot the other day.\How about the young lady? How is Shiemi?\Her legs keep getting worse day by day.\But the doctors can't find anything wrong with either her bones or muscles.\That's why I asked you here.\And Shiemi?\Unfortunately we're at odds right now.\She isn't talking to me for the time being. response:	Do you think a demon could be involved in this?
context: How about the young lady? How is Shiemi?\Her legs keep getting worse day by day.\But the doctors can't find anything wrong with either her bones or muscles.\That's why I asked you here.\And Shiemi?\Unfortunately we're at odds right now.\She isn't talking to me for the time being.\Do you think a demon could be involved in this? response:	It started when my mother... her grandmother died.
context: Her legs keep getting worse day by day.\But the doctors can't find anything wrong with either her bones or muscles.\That's why I asked you here.\And Shiemi?\Unfortunately we're at odds right now.\She isn't talking to me for the time being.\Do you think a demon could be involved in this?\It started when my mother... her grandmother died. response:	It stinks! Makes even my eyes water...
context: But the doctors can't find anything wrong with either her bones or muscles.\That's why I asked you here.\And Shiemi?\Unfortunately we're at odds right now.\She isn't talking to me for the time being.\Do you think a demon could be involved in this?\It started when my mother... her grandmother died.\It stinks! Makes even my eyes water... response:	It's fertilizer made by mixing cow manure and water.
context: That's why I asked you here.\And Shiemi?\Unfortunately we're at odds right now.\She isn't talking to me for the time being.\Do you think a demon could be involved in this?\It started when my mother... her grandmother died.\It stinks! Makes even my eyes water...\It's fertilizer made by mixing cow manure and water. response:	Cow manure...
context: And Shiemi?\Unfortunately we're at odds right now.\She isn't talking to me for the time being.\Do you think a demon could be involved in this?\It started when my mother... her grandmother died.\It stinks! Makes even my eyes water...\It's fertilizer made by mixing cow manure and water.\Cow manure... response:	I'm not good at digging deep holes like this, thanks for helping me!
context: Unfortunately we're at odds right now.\She isn't talking to me for the time being.\Do you think a demon could be involved in this?\It started when my mother... her grandmother died.\It stinks! Makes even my eyes water...\It's fertilizer made by mixing cow manure and water.\Cow manure...\I'm not good at digging deep holes like this, thanks for helping me! response:	Thanks for helping?! First you call me a demon, then you make me work for you!
context: She isn't talking to me for the time being.\Do you think a demon could be involved in this?\It started when my mother... her grandmother died.\It stinks! Makes even my eyes water...\It's fertilizer made by mixing cow manure and water.\Cow manure...\I'm not good at digging deep holes like this, thanks for helping me!\Thanks for helping?! First you call me a demon, then you make me work for you! response:	I'm sorry. You just surprised me earlier.
context: Do you think a demon could be involved in this?\It started when my mother... her grandmother died.\It stinks! Makes even my eyes water...\It's fertilizer made by mixing cow manure and water.\Cow manure...\I'm not good at digging deep holes like this, thanks for helping me!\Thanks for helping?! First you call me a demon, then you make me work for you!\I'm sorry. You just surprised me earlier. response:	Let's make up.
context: It started when my mother... her grandmother died.\It stinks! Makes even my eyes water...\It's fertilizer made by mixing cow manure and water.\Cow manure...\I'm not good at digging deep holes like this, thanks for helping me!\Thanks for helping?! First you call me a demon, then you make me work for you!\I'm sorry. You just surprised me earlier.\Let's make up. response:	I didn't know you were actually a nice guy.
