context: JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: I'll send you to the ends of the Earth and kill you there.\I'll be safest in prison!\Chili Pepper's in pieces.\Even if he gets out of jail, I'm sure he won't try anything again.\Jotaro, what are you going to do with the bow and arrow?\The Speedwagon Foundation is going to hold on to it and research it.\It's a crucial piece of evidence we can use to unravel the mystery behind Stands.\That's great. response:	Thank goodness!
context: I'll be safest in prison!\Chili Pepper's in pieces.\Even if he gets out of jail, I'm sure he won't try anything again.\Jotaro, what are you going to do with the bow and arrow?\The Speedwagon Foundation is going to hold on to it and research it.\It's a crucial piece of evidence we can use to unravel the mystery behind Stands.\That's great.\Thank goodness! response:	That means this incident's been resolved!
context: Chili Pepper's in pieces.\Even if he gets out of jail, I'm sure he won't try anything again.\Jotaro, what are you going to do with the bow and arrow?\The Speedwagon Foundation is going to hold on to it and research it.\It's a crucial piece of evidence we can use to unravel the mystery behind Stands.\That's great.\Thank goodness!\That means this incident's been resolved! response:	It didn't end up being that big a deal, but yay! Hooray!
context: Even if he gets out of jail, I'm sure he won't try anything again.\Jotaro, what are you going to do with the bow and arrow?\The Speedwagon Foundation is going to hold on to it and research it.\It's a crucial piece of evidence we can use to unravel the mystery behind Stands.\That's great.\Thank goodness!\That means this incident's been resolved!\It didn't end up being that big a deal, but yay! Hooray! response:	I'm still questioning Otoishi about the Stand
context: Jotaro, what are you going to do with the bow and arrow?\The Speedwagon Foundation is going to hold on to it and research it.\It's a crucial piece of evidence we can use to unravel the mystery behind Stands.\That's great.\Thank goodness!\That means this incident's been resolved!\It didn't end up being that big a deal, but yay! Hooray!\I'm still questioning Otoishi about the Stand response:	users that were created here.
context: The Speedwagon Foundation is going to hold on to it and research it.\It's a crucial piece of evidence we can use to unravel the mystery behind Stands.\That's great.\Thank goodness!\That means this incident's been resolved!\It didn't end up being that big a deal, but yay! Hooray!\I'm still questioning Otoishi about the Stand\users that were created here. response:	Stay on your guard, just in case.
context: It's a crucial piece of evidence we can use to unravel the mystery behind Stands.\That's great.\Thank goodness!\That means this incident's been resolved!\It didn't end up being that big a deal, but yay! Hooray!\I'm still questioning Otoishi about the Stand\users that were created here.\Stay on your guard, just in case. response:	Yeah.
context: That's great.\Thank goodness!\That means this incident's been resolved!\It didn't end up being that big a deal, but yay! Hooray!\I'm still questioning Otoishi about the Stand\users that were created here.\Stay on your guard, just in case.\Yeah. response:	Right.
context: Thank goodness!\That means this incident's been resolved!\It didn't end up being that big a deal, but yay! Hooray!\I'm still questioning Otoishi about the Stand\users that were created here.\Stay on your guard, just in case.\Yeah.\Right. response:	Sure.
context: That means this incident's been resolved!\It didn't end up being that big a deal, but yay! Hooray!\I'm still questioning Otoishi about the Stand\users that were created here.\Stay on your guard, just in case.\Yeah.\Right.\Sure. response:	Coffee in Japan is still the best.
context: It didn't end up being that big a deal, but yay! Hooray!\I'm still questioning Otoishi about the Stand\users that were created here.\Stay on your guard, just in case.\Yeah.\Right.\Sure.\Coffee in Japan is still the best. response:	Waitress, can I get a refill?
context: I'm still questioning Otoishi about the Stand\users that were created here.\Stay on your guard, just in case.\Yeah.\Right.\Sure.\Coffee in Japan is still the best.\Waitress, can I get a refill? response:	Whoa! Jeez.
context: users that were created here.\Stay on your guard, just in case.\Yeah.\Right.\Sure.\Coffee in Japan is still the best.\Waitress, can I get a refill?\Whoa! Jeez. response:	Be more careful. I look away for a second and...
context: Stay on your guard, just in case.\Yeah.\Right.\Sure.\Coffee in Japan is still the best.\Waitress, can I get a refill?\Whoa! Jeez.\Be more careful. I look away for a second and... response:	Josuke, don't you have to go? The bus will be here soon.
context: Yeah.\Right.\Sure.\Coffee in Japan is still the best.\Waitress, can I get a refill?\Whoa! Jeez.\Be more careful. I look away for a second and...\Josuke, don't you have to go? The bus will be here soon. response:	R-Right...
context: Right.\Sure.\Coffee in Japan is still the best.\Waitress, can I get a refill?\Whoa! Jeez.\Be more careful. I look away for a second and...\Josuke, don't you have to go? The bus will be here soon.\R-Right... response:	Yeah. Come on, let's go. Stand up.
context: Sure.\Coffee in Japan is still the best.\Waitress, can I get a refill?\Whoa! Jeez.\Be more careful. I look away for a second and...\Josuke, don't you have to go? The bus will be here soon.\R-Right...\Yeah. Come on, let's go. Stand up. response:	I wonder if those two will be okay.
context: Coffee in Japan is still the best.\Waitress, can I get a refill?\Whoa! Jeez.\Be more careful. I look away for a second and...\Josuke, don't you have to go? The bus will be here soon.\R-Right...\Yeah. Come on, let's go. Stand up.\I wonder if those two will be okay. response:	I'm worried.
context: Waitress, can I get a refill?\Whoa! Jeez.\Be more careful. I look away for a second and...\Josuke, don't you have to go? The bus will be here soon.\R-Right...\Yeah. Come on, let's go. Stand up.\I wonder if those two will be okay.\I'm worried. response:	Whoa, this cake is so good!
context: Whoa! Jeez.\Be more careful. I look away for a second and...\Josuke, don't you have to go? The bus will be here soon.\R-Right...\Yeah. Come on, let's go. Stand up.\I wonder if those two will be okay.\I'm worried.\Whoa, this cake is so good! response:	Can I get another slice, waitress?
context: Be more careful. I look away for a second and...\Josuke, don't you have to go? The bus will be here soon.\R-Right...\Yeah. Come on, let's go. Stand up.\I wonder if those two will be okay.\I'm worried.\Whoa, this cake is so good!\Can I get another slice, waitress? response:	Hello, this is the Higashikata resid
context: Josuke, don't you have to go? The bus will be here soon.\R-Right...\Yeah. Come on, let's go. Stand up.\I wonder if those two will be okay.\I'm worried.\Whoa, this cake is so good!\Can I get another slice, waitress?\Hello, this is the Higashikata resid response:	Hey, Mom. It's me.
context: R-Right...\Yeah. Come on, let's go. Stand up.\I wonder if those two will be okay.\I'm worried.\Whoa, this cake is so good!\Can I get another slice, waitress?\Hello, this is the Higashikata resid\Hey, Mom. It's me. response:	Josuke? It's unusual for you to call me.
context: Yeah. Come on, let's go. Stand up.\I wonder if those two will be okay.\I'm worried.\Whoa, this cake is so good!\Can I get another slice, waitress?\Hello, this is the Higashikata resid\Hey, Mom. It's me.\Josuke? It's unusual for you to call me. response:	Do you need something?
context: I wonder if those two will be okay.\I'm worried.\Whoa, this cake is so good!\Can I get another slice, waitress?\Hello, this is the Higashikata resid\Hey, Mom. It's me.\Josuke? It's unusual for you to call me.\Do you need something? response:	Well, uh... Hey, y-you're going to be home all day today, right?
context: I'm worried.\Whoa, this cake is so good!\Can I get another slice, waitress?\Hello, this is the Higashikata resid\Hey, Mom. It's me.\Josuke? It's unusual for you to call me.\Do you need something?\Well, uh... Hey, y-you're going to be home all day today, right? response:	Yeah? What about it?
context: Whoa, this cake is so good!\Can I get another slice, waitress?\Hello, this is the Higashikata resid\Hey, Mom. It's me.\Josuke? It's unusual for you to call me.\Do you need something?\Well, uh... Hey, y-you're going to be home all day today, right?\Yeah? What about it? response:	N-Nothing! As long as you're there, it's fine. Bye!
context: Can I get another slice, waitress?\Hello, this is the Higashikata resid\Hey, Mom. It's me.\Josuke? It's unusual for you to call me.\Do you need something?\Well, uh... Hey, y-you're going to be home all day today, right?\Yeah? What about it?\N-Nothing! As long as you're there, it's fine. Bye! response:	Hey!
context: Hello, this is the Higashikata resid\Hey, Mom. It's me.\Josuke? It's unusual for you to call me.\Do you need something?\Well, uh... Hey, y-you're going to be home all day today, right?\Yeah? What about it?\N-Nothing! As long as you're there, it's fine. Bye!\Hey! response:	What was that all about?
context: Hey, Mom. It's me.\Josuke? It's unusual for you to call me.\Do you need something?\Well, uh... Hey, y-you're going to be home all day today, right?\Yeah? What about it?\N-Nothing! As long as you're there, it's fine. Bye!\Hey!\What was that all about? response:	He'd better not be planning something weird again.
context: Josuke? It's unusual for you to call me.\Do you need something?\Well, uh... Hey, y-you're going to be home all day today, right?\Yeah? What about it?\N-Nothing! As long as you're there, it's fine. Bye!\Hey!\What was that all about?\He'd better not be planning something weird again. response:	Crap. I hope Mom didn't think that was weird.
context: Do you need something?\Well, uh... Hey, y-you're going to be home all day today, right?\Yeah? What about it?\N-Nothing! As long as you're there, it's fine. Bye!\Hey!\What was that all about?\He'd better not be planning something weird again.\Crap. I hope Mom didn't think that was weird. response:	Oh, for crying out loud...
context: Well, uh... Hey, y-you're going to be home all day today, right?\Yeah? What about it?\N-Nothing! As long as you're there, it's fine. Bye!\Hey!\What was that all about?\He'd better not be planning something weird again.\Crap. I hope Mom didn't think that was weird.\Oh, for crying out loud... response:	I told him to wait until I was done with the phone call!
context: Yeah? What about it?\N-Nothing! As long as you're there, it's fine. Bye!\Hey!\What was that all about?\He'd better not be planning something weird again.\Crap. I hope Mom didn't think that was weird.\Oh, for crying out loud...\I told him to wait until I was done with the phone call! response:	Hey, wait!
context: N-Nothing! As long as you're there, it's fine. Bye!\Hey!\What was that all about?\He'd better not be planning something weird again.\Crap. I hope Mom didn't think that was weird.\Oh, for crying out loud...\I told him to wait until I was done with the phone call!\Hey, wait! response:	Hello? Can you hear me? Hey!
context: Hey!\What was that all about?\He'd better not be planning something weird again.\Crap. I hope Mom didn't think that was weird.\Oh, for crying out loud...\I told him to wait until I was done with the phone call!\Hey, wait!\Hello? Can you hear me? Hey! response:	Did you just call for me?
context: What was that all about?\He'd better not be planning something weird again.\Crap. I hope Mom didn't think that was weird.\Oh, for crying out loud...\I told him to wait until I was done with the phone call!\Hey, wait!\Hello? Can you hear me? Hey!\Did you just call for me? response:	Yeah. We can't get a taxi at this hour,
context: He'd better not be planning something weird again.\Crap. I hope Mom didn't think that was weird.\Oh, for crying out loud...\I told him to wait until I was done with the phone call!\Hey, wait!\Hello? Can you hear me? Hey!\Did you just call for me?\Yeah. We can't get a taxi at this hour, response:	so we're going to take the bus to my house.
context: Crap. I hope Mom didn't think that was weird.\Oh, for crying out loud...\I told him to wait until I was done with the phone call!\Hey, wait!\Hello? Can you hear me? Hey!\Did you just call for me?\Yeah. We can't get a taxi at this hour,\so we're going to take the bus to my house. response:	And... I know I'm being pushy, but I'm going to confirm one more time.
context: Oh, for crying out loud...\I told him to wait until I was done with the phone call!\Hey, wait!\Hello? Can you hear me? Hey!\Did you just call for me?\Yeah. We can't get a taxi at this hour,\so we're going to take the bus to my house.\And... I know I'm being pushy, but I'm going to confirm one more time. response:	You can only look from a distance.
context: I told him to wait until I was done with the phone call!\Hey, wait!\Hello? Can you hear me? Hey!\Did you just call for me?\Yeah. We can't get a taxi at this hour,\so we're going to take the bus to my house.\And... I know I'm being pushy, but I'm going to confirm one more time.\You can only look from a distance. response:	Make sure you don't talk to my mom!
context: Hey, wait!\Hello? Can you hear me? Hey!\Did you just call for me?\Yeah. We can't get a taxi at this hour,\so we're going to take the bus to my house.\And... I know I'm being pushy, but I'm going to confirm one more time.\You can only look from a distance.\Make sure you don't talk to my mom! response:	Promise me that.
context: Hello? Can you hear me? Hey!\Did you just call for me?\Yeah. We can't get a taxi at this hour,\so we're going to take the bus to my house.\And... I know I'm being pushy, but I'm going to confirm one more time.\You can only look from a distance.\Make sure you don't talk to my mom!\Promise me that. response:	My mom won't be happy just because you came to visit.
context: Did you just call for me?\Yeah. We can't get a taxi at this hour,\so we're going to take the bus to my house.\And... I know I'm being pushy, but I'm going to confirm one more time.\You can only look from a distance.\Make sure you don't talk to my mom!\Promise me that.\My mom won't be happy just because you came to visit. response:	She's gonna be a wreck.
context: Yeah. We can't get a taxi at this hour,\so we're going to take the bus to my house.\And... I know I'm being pushy, but I'm going to confirm one more time.\You can only look from a distance.\Make sure you don't talk to my mom!\Promise me that.\My mom won't be happy just because you came to visit.\She's gonna be a wreck. response:	I know that. I promise.
context: so we're going to take the bus to my house.\And... I know I'm being pushy, but I'm going to confirm one more time.\You can only look from a distance.\Make sure you don't talk to my mom!\Promise me that.\My mom won't be happy just because you came to visit.\She's gonna be a wreck.\I know that. I promise. response:	Also, one more thing.
context: And... I know I'm being pushy, but I'm going to confirm one more time.\You can only look from a distance.\Make sure you don't talk to my mom!\Promise me that.\My mom won't be happy just because you came to visit.\She's gonna be a wreck.\I know that. I promise.\Also, one more thing. response:	I'm gonna be calling you Mr. Joestar.
context: You can only look from a distance.\Make sure you don't talk to my mom!\Promise me that.\My mom won't be happy just because you came to visit.\She's gonna be a wreck.\I know that. I promise.\Also, one more thing.\I'm gonna be calling you Mr. Joestar. response:	Huh?
context: Make sure you don't talk to my mom!\Promise me that.\My mom won't be happy just because you came to visit.\She's gonna be a wreck.\I know that. I promise.\Also, one more thing.\I'm gonna be calling you Mr. Joestar.\Huh? response:	W-Well, you know... I might as well lay it on the line now.
context: Promise me that.\My mom won't be happy just because you came to visit.\She's gonna be a wreck.\I know that. I promise.\Also, one more thing.\I'm gonna be calling you Mr. Joestar.\Huh?\W-Well, you know... I might as well lay it on the line now. response:	I mean, it might seem cold,
context: My mom won't be happy just because you came to visit.\She's gonna be a wreck.\I know that. I promise.\Also, one more thing.\I'm gonna be calling you Mr. Joestar.\Huh?\W-Well, you know... I might as well lay it on the line now.\I mean, it might seem cold, response:	but calling someone I just met Dad or Pops is just not happening.
context: She's gonna be a wreck.\I know that. I promise.\Also, one more thing.\I'm gonna be calling you Mr. Joestar.\Huh?\W-Well, you know... I might as well lay it on the line now.\I mean, it might seem cold,\but calling someone I just met Dad or Pops is just not happening. response:	So after you see my mom, I want you to go right back to America.
context: I know that. I promise.\Also, one more thing.\I'm gonna be calling you Mr. Joestar.\Huh?\W-Well, you know... I might as well lay it on the line now.\I mean, it might seem cold,\but calling someone I just met Dad or Pops is just not happening.\So after you see my mom, I want you to go right back to America. response:	Right...
context: Also, one more thing.\I'm gonna be calling you Mr. Joestar.\Huh?\W-Well, you know... I might as well lay it on the line now.\I mean, it might seem cold,\but calling someone I just met Dad or Pops is just not happening.\So after you see my mom, I want you to go right back to America.\Right... response:	You're absolutely right. I understand.
context: I'm gonna be calling you Mr. Joestar.\Huh?\W-Well, you know... I might as well lay it on the line now.\I mean, it might seem cold,\but calling someone I just met Dad or Pops is just not happening.\So after you see my mom, I want you to go right back to America.\Right...\You're absolutely right. I understand. response:	Man, this is awkward.
context: Huh?\W-Well, you know... I might as well lay it on the line now.\I mean, it might seem cold,\but calling someone I just met Dad or Pops is just not happening.\So after you see my mom, I want you to go right back to America.\Right...\You're absolutely right. I understand.\Man, this is awkward. response:	I know it's best to be honest, but still,
context: W-Well, you know... I might as well lay it on the line now.\I mean, it might seem cold,\but calling someone I just met Dad or Pops is just not happening.\So after you see my mom, I want you to go right back to America.\Right...\You're absolutely right. I understand.\Man, this is awkward.\I know it's best to be honest, but still, response:	there are some things between people that just aren't possible.
context: I mean, it might seem cold,\but calling someone I just met Dad or Pops is just not happening.\So after you see my mom, I want you to go right back to America.\Right...\You're absolutely right. I understand.\Man, this is awkward.\I know it's best to be honest, but still,\there are some things between people that just aren't possible. response:	Hey, Mr. Joestar...
context: but calling someone I just met Dad or Pops is just not happening.\So after you see my mom, I want you to go right back to America.\Right...\You're absolutely right. I understand.\Man, this is awkward.\I know it's best to be honest, but still,\there are some things between people that just aren't possible.\Hey, Mr. Joestar... response:	Excuse me, did you see where the burly old man who was just here went?
context: So after you see my mom, I want you to go right back to America.\Right...\You're absolutely right. I understand.\Man, this is awkward.\I know it's best to be honest, but still,\there are some things between people that just aren't possible.\Hey, Mr. Joestar...\Excuse me, did you see where the burly old man who was just here went? response:	He got onto that long-distance bus.
context: Right...\You're absolutely right. I understand.\Man, this is awkward.\I know it's best to be honest, but still,\there are some things between people that just aren't possible.\Hey, Mr. Joestar...\Excuse me, did you see where the burly old man who was just here went?\He got onto that long-distance bus. response:	Bright Deer
context: You're absolutely right. I understand.\Man, this is awkward.\I know it's best to be honest, but still,\there are some things between people that just aren't possible.\Hey, Mr. Joestar...\Excuse me, did you see where the burly old man who was just here went?\He got onto that long-distance bus.\Bright Deer response:	Long Distance Bus
context: Man, this is awkward.\I know it's best to be honest, but still,\there are some things between people that just aren't possible.\Hey, Mr. Joestar...\Excuse me, did you see where the burly old man who was just here went?\He got onto that long-distance bus.\Bright Deer\Long Distance Bus response:	To Sapporo
context: I know it's best to be honest, but still,\there are some things between people that just aren't possible.\Hey, Mr. Joestar...\Excuse me, did you see where the burly old man who was just here went?\He got onto that long-distance bus.\Bright Deer\Long Distance Bus\To Sapporo response:	Y-You can't be serious! Damn it!
context: there are some things between people that just aren't possible.\Hey, Mr. Joestar...\Excuse me, did you see where the burly old man who was just here went?\He got onto that long-distance bus.\Bright Deer\Long Distance Bus\To Sapporo\Y-You can't be serious! Damn it! response:	I'm sorry about that.
context: Hey, Mr. Joestar...\Excuse me, did you see where the burly old man who was just here went?\He got onto that long-distance bus.\Bright Deer\Long Distance Bus\To Sapporo\Y-You can't be serious! Damn it!\I'm sorry about that. response:	You said we were getting on a bus, so...
context: Excuse me, did you see where the burly old man who was just here went?\He got onto that long-distance bus.\Bright Deer\Long Distance Bus\To Sapporo\Y-You can't be serious! Damn it!\I'm sorry about that.\You said we were getting on a bus, so... response:	But I'm surprised you caught up to the bus by running.
context: He got onto that long-distance bus.\Bright Deer\Long Distance Bus\To Sapporo\Y-You can't be serious! Damn it!\I'm sorry about that.\You said we were getting on a bus, so...\But I'm surprised you caught up to the bus by running. response:	We were just about to get onto the freeway.
context: Bright Deer\Long Distance Bus\To Sapporo\Y-You can't be serious! Damn it!\I'm sorry about that.\You said we were getting on a bus, so...\But I'm surprised you caught up to the bus by running.\We were just about to get onto the freeway. response:	Right now, I'm thinking it might have been better to just let you go...
context: Long Distance Bus\To Sapporo\Y-You can't be serious! Damn it!\I'm sorry about that.\You said we were getting on a bus, so...\But I'm surprised you caught up to the bus by running.\We were just about to get onto the freeway.\Right now, I'm thinking it might have been better to just let you go... response:	To Hokkaido!
context: To Sapporo\Y-You can't be serious! Damn it!\I'm sorry about that.\You said we were getting on a bus, so...\But I'm surprised you caught up to the bus by running.\We were just about to get onto the freeway.\Right now, I'm thinking it might have been better to just let you go...\To Hokkaido! response:	Ugh, my stomach hurts.
context: Y-You can't be serious! Damn it!\I'm sorry about that.\You said we were getting on a bus, so...\But I'm surprised you caught up to the bus by running.\We were just about to get onto the freeway.\Right now, I'm thinking it might have been better to just let you go...\To Hokkaido!\Ugh, my stomach hurts. response:	Sorry about that.
context: I'm sorry about that.\You said we were getting on a bus, so...\But I'm surprised you caught up to the bus by running.\We were just about to get onto the freeway.\Right now, I'm thinking it might have been better to just let you go...\To Hokkaido!\Ugh, my stomach hurts.\Sorry about that. response:	Josuke...
context: You said we were getting on a bus, so...\But I'm surprised you caught up to the bus by running.\We were just about to get onto the freeway.\Right now, I'm thinking it might have been better to just let you go...\To Hokkaido!\Ugh, my stomach hurts.\Sorry about that.\Josuke... response:	Something seems to be pulling on my trousers.
context: But I'm surprised you caught up to the bus by running.\We were just about to get onto the freeway.\Right now, I'm thinking it might have been better to just let you go...\To Hokkaido!\Ugh, my stomach hurts.\Sorry about that.\Josuke...\Something seems to be pulling on my trousers. response:	Oh, really? Don't let them drag you off somewhere again.
context: We were just about to get onto the freeway.\Right now, I'm thinking it might have been better to just let you go...\To Hokkaido!\Ugh, my stomach hurts.\Sorry about that.\Josuke...\Something seems to be pulling on my trousers.\Oh, really? Don't let them drag you off somewhere again. response:	Wha...
context: Right now, I'm thinking it might have been better to just let you go...\To Hokkaido!\Ugh, my stomach hurts.\Sorry about that.\Josuke...\Something seems to be pulling on my trousers.\Oh, really? Don't let them drag you off somewhere again.\Wha... response:	J-Josuke! There's a Stand user nearby!
context: To Hokkaido!\Ugh, my stomach hurts.\Sorry about that.\Josuke...\Something seems to be pulling on my trousers.\Oh, really? Don't let them drag you off somewhere again.\Wha...\J-Josuke! There's a Stand user nearby! response:	Yup, there sure is. Two, in fact... Me and you.
context: Ugh, my stomach hurts.\Sorry about that.\Josuke...\Something seems to be pulling on my trousers.\Oh, really? Don't let them drag you off somewhere again.\Wha...\J-Josuke! There's a Stand user nearby!\Yup, there sure is. Two, in fact... Me and you. response:	Anyway, is there a vending machine nearby? I need a drink.
context: Sorry about that.\Josuke...\Something seems to be pulling on my trousers.\Oh, really? Don't let them drag you off somewhere again.\Wha...\J-Josuke! There's a Stand user nearby!\Yup, there sure is. Two, in fact... Me and you.\Anyway, is there a vending machine nearby? I need a drink. response:	Wh-What is this? They're not footsteps.
context: Josuke...\Something seems to be pulling on my trousers.\Oh, really? Don't let them drag you off somewhere again.\Wha...\J-Josuke! There's a Stand user nearby!\Yup, there sure is. Two, in fact... Me and you.\Anyway, is there a vending machine nearby? I need a drink.\Wh-What is this? They're not footsteps. response:	Hands? Hand prints?
context: Something seems to be pulling on my trousers.\Oh, really? Don't let them drag you off somewhere again.\Wha...\J-Josuke! There's a Stand user nearby!\Yup, there sure is. Two, in fact... Me and you.\Anyway, is there a vending machine nearby? I need a drink.\Wh-What is this? They're not footsteps.\Hands? Hand prints? response:	Oh my God! Josuke, the Stand just laughed!
context: Oh, really? Don't let them drag you off somewhere again.\Wha...\J-Josuke! There's a Stand user nearby!\Yup, there sure is. Two, in fact... Me and you.\Anyway, is there a vending machine nearby? I need a drink.\Wh-What is this? They're not footsteps.\Hands? Hand prints?\Oh my God! Josuke, the Stand just laughed! response:	See? Right here! On top of the sand!
context: Wha...\J-Josuke! There's a Stand user nearby!\Yup, there sure is. Two, in fact... Me and you.\Anyway, is there a vending machine nearby? I need a drink.\Wh-What is this? They're not footsteps.\Hands? Hand prints?\Oh my God! Josuke, the Stand just laughed!\See? Right here! On top of the sand! response:	There's no way I'm letting him see my mom.
context: J-Josuke! There's a Stand user nearby!\Yup, there sure is. Two, in fact... Me and you.\Anyway, is there a vending machine nearby? I need a drink.\Wh-What is this? They're not footsteps.\Hands? Hand prints?\Oh my God! Josuke, the Stand just laughed!\See? Right here! On top of the sand!\There's no way I'm letting him see my mom. response:	Now he's seeing and hearing things.
