context: The weather's so nice again today. response:	That's right.
context: It's a wonderful thing.\Event?\Some kind of festival?\Oh, this is for my arranged marriage meetings.\All these people want to marry Leo-sama.\I see.\An arranged marriage, huh?\An arranged marriage?! response:	The Lion's Arranged Marriage
context: Event?\Some kind of festival?\Oh, this is for my arranged marriage meetings.\All these people want to marry Leo-sama.\I see.\An arranged marriage, huh?\An arranged marriage?!\The Lion's Arranged Marriage response:	Leo-sama's meeting with potential husbands?
context: Some kind of festival?\Oh, this is for my arranged marriage meetings.\All these people want to marry Leo-sama.\I see.\An arranged marriage, huh?\An arranged marriage?!\The Lion's Arranged Marriage\Leo-sama's meeting with potential husbands? response:	Yup.
context: Oh, this is for my arranged marriage meetings.\All these people want to marry Leo-sama.\I see.\An arranged marriage, huh?\An arranged marriage?!\The Lion's Arranged Marriage\Leo-sama's meeting with potential husbands?\Yup. response:	You come, too. It's fun.
context: All these people want to marry Leo-sama.\I see.\An arranged marriage, huh?\An arranged marriage?!\The Lion's Arranged Marriage\Leo-sama's meeting with potential husbands?\Yup.\You come, too. It's fun. response:	I can watch?
context: I see.\An arranged marriage, huh?\An arranged marriage?!\The Lion's Arranged Marriage\Leo-sama's meeting with potential husbands?\Yup.\You come, too. It's fun.\I can watch? response:	Sure.
context: An arranged marriage, huh?\An arranged marriage?!\The Lion's Arranged Marriage\Leo-sama's meeting with potential husbands?\Yup.\You come, too. It's fun.\I can watch?\Sure. response:	Actually, invitations should've gone to
context: An arranged marriage?!\The Lion's Arranged Marriage\Leo-sama's meeting with potential husbands?\Yup.\You come, too. It's fun.\I can watch?\Sure.\Actually, invitations should've gone to response:	the Princess and your knights.
context: The Lion's Arranged Marriage\Leo-sama's meeting with potential husbands?\Yup.\You come, too. It's fun.\I can watch?\Sure.\Actually, invitations should've gone to\the Princess and your knights. response:	Noir and I are going to be doing the commentary.
context: Leo-sama's meeting with potential husbands?\Yup.\You come, too. It's fun.\I can watch?\Sure.\Actually, invitations should've gone to\the Princess and your knights.\Noir and I are going to be doing the commentary. response:	Commentary?
context: Yup.\You come, too. It's fun.\I can watch?\Sure.\Actually, invitations should've gone to\the Princess and your knights.\Noir and I are going to be doing the commentary.\Commentary? response:	Yup.
context: You come, too. It's fun.\I can watch?\Sure.\Actually, invitations should've gone to\the Princess and your knights.\Noir and I are going to be doing the commentary.\Commentary?\Yup. response:	We've got a lot of people here this year, too.
context: I can watch?\Sure.\Actually, invitations should've gone to\the Princess and your knights.\Noir and I are going to be doing the commentary.\Commentary?\Yup.\We've got a lot of people here this year, too. response:	25 more than last year, it seems.
context: Sure.\Actually, invitations should've gone to\the Princess and your knights.\Noir and I are going to be doing the commentary.\Commentary?\Yup.\We've got a lot of people here this year, too.\25 more than last year, it seems. response:	Merchandise and concession sales are doing well.
context: Actually, invitations should've gone to\the Princess and your knights.\Noir and I are going to be doing the commentary.\Commentary?\Yup.\We've got a lot of people here this year, too.\25 more than last year, it seems.\Merchandise and concession sales are doing well. response:	It's a good thing.
context: the Princess and your knights.\Noir and I are going to be doing the commentary.\Commentary?\Yup.\We've got a lot of people here this year, too.\25 more than last year, it seems.\Merchandise and concession sales are doing well.\It's a good thing. response:	It's thanks to everyone.
context: Noir and I are going to be doing the commentary.\Commentary?\Yup.\We've got a lot of people here this year, too.\25 more than last year, it seems.\Merchandise and concession sales are doing well.\It's a good thing.\It's thanks to everyone. response:	Well, there's a lot of things I could say about it,
context: Commentary?\Yup.\We've got a lot of people here this year, too.\25 more than last year, it seems.\Merchandise and concession sales are doing well.\It's a good thing.\It's thanks to everyone.\Well, there's a lot of things I could say about it, response:	but it's a wonderful way to earn money.
context: Yup.\We've got a lot of people here this year, too.\25 more than last year, it seems.\Merchandise and concession sales are doing well.\It's a good thing.\It's thanks to everyone.\Well, there's a lot of things I could say about it,\but it's a wonderful way to earn money. response:	It's time, everybody!
context: We've got a lot of people here this year, too.\25 more than last year, it seems.\Merchandise and concession sales are doing well.\It's a good thing.\It's thanks to everyone.\Well, there's a lot of things I could say about it,\but it's a wonderful way to earn money.\It's time, everybody! response:	At the mics today we've got Framboise Charley from Galette National Broadcasting,
context: 25 more than last year, it seems.\Merchandise and concession sales are doing well.\It's a good thing.\It's thanks to everyone.\Well, there's a lot of things I could say about it,\but it's a wonderful way to earn money.\It's time, everybody!\At the mics today we've got Framboise Charley from Galette National Broadcasting, response:	and Jean Casoni!
context: Merchandise and concession sales are doing well.\It's a good thing.\It's thanks to everyone.\Well, there's a lot of things I could say about it,\but it's a wonderful way to earn money.\It's time, everybody!\At the mics today we've got Framboise Charley from Galette National Broadcasting,\and Jean Casoni! response:	And providing commentary is...
context: It's a good thing.\It's thanks to everyone.\Well, there's a lot of things I could say about it,\but it's a wonderful way to earn money.\It's time, everybody!\At the mics today we've got Framboise Charley from Galette National Broadcasting,\and Jean Casoni!\And providing commentary is... response:	Crown prince of Galette, Gaul Galette des Rois
context: It's thanks to everyone.\Well, there's a lot of things I could say about it,\but it's a wonderful way to earn money.\It's time, everybody!\At the mics today we've got Framboise Charley from Galette National Broadcasting,\and Jean Casoni!\And providing commentary is...\Crown prince of Galette, Gaul Galette des Rois response:	and Noir, the center of the Imperial Guard Unit Genoise.
context: Well, there's a lot of things I could say about it,\but it's a wonderful way to earn money.\It's time, everybody!\At the mics today we've got Framboise Charley from Galette National Broadcasting,\and Jean Casoni!\And providing commentary is...\Crown prince of Galette, Gaul Galette des Rois\and Noir, the center of the Imperial Guard Unit Genoise. response:	Thanks for having us here today.
context: but it's a wonderful way to earn money.\It's time, everybody!\At the mics today we've got Framboise Charley from Galette National Broadcasting,\and Jean Casoni!\And providing commentary is...\Crown prince of Galette, Gaul Galette des Rois\and Noir, the center of the Imperial Guard Unit Genoise.\Thanks for having us here today. response:	Lady Leonmitchelli, one of the most powerful
context: It's time, everybody!\At the mics today we've got Framboise Charley from Galette National Broadcasting,\and Jean Casoni!\And providing commentary is...\Crown prince of Galette, Gaul Galette des Rois\and Noir, the center of the Imperial Guard Unit Genoise.\Thanks for having us here today.\Lady Leonmitchelli, one of the most powerful response:	there are no shortage of men who want to marry her.
context: At the mics today we've got Framboise Charley from Galette National Broadcasting,\and Jean Casoni!\And providing commentary is...\Crown prince of Galette, Gaul Galette des Rois\and Noir, the center of the Imperial Guard Unit Genoise.\Thanks for having us here today.\Lady Leonmitchelli, one of the most powerful\there are no shortage of men who want to marry her. response:	And there's only one thing she has to say to them.
context: and Jean Casoni!\And providing commentary is...\Crown prince of Galette, Gaul Galette des Rois\and Noir, the center of the Imperial Guard Unit Genoise.\Thanks for having us here today.\Lady Leonmitchelli, one of the most powerful\there are no shortage of men who want to marry her.\And there's only one thing she has to say to them. response:	I want you to fight me one on one, and defeat me!
context: And providing commentary is...\Crown prince of Galette, Gaul Galette des Rois\and Noir, the center of the Imperial Guard Unit Genoise.\Thanks for having us here today.\Lady Leonmitchelli, one of the most powerful\there are no shortage of men who want to marry her.\And there's only one thing she has to say to them.\I want you to fight me one on one, and defeat me! response:	I, Leonmitchelli, will accept a challenge from anyone.
context: Crown prince of Galette, Gaul Galette des Rois\and Noir, the center of the Imperial Guard Unit Genoise.\Thanks for having us here today.\Lady Leonmitchelli, one of the most powerful\there are no shortage of men who want to marry her.\And there's only one thing she has to say to them.\I want you to fight me one on one, and defeat me!\I, Leonmitchelli, will accept a challenge from anyone. response:	If you want a shot at marrying me, come get me!
context: and Noir, the center of the Imperial Guard Unit Genoise.\Thanks for having us here today.\Lady Leonmitchelli, one of the most powerful\there are no shortage of men who want to marry her.\And there's only one thing she has to say to them.\I want you to fight me one on one, and defeat me!\I, Leonmitchelli, will accept a challenge from anyone.\If you want a shot at marrying me, come get me! response:	Chosen warriors from
context: Thanks for having us here today.\Lady Leonmitchelli, one of the most powerful\there are no shortage of men who want to marry her.\And there's only one thing she has to say to them.\I want you to fight me one on one, and defeat me!\I, Leonmitchelli, will accept a challenge from anyone.\If you want a shot at marrying me, come get me!\Chosen warriors from response:	every nation have appeared to battle her.
context: Lady Leonmitchelli, one of the most powerful\there are no shortage of men who want to marry her.\And there's only one thing she has to say to them.\I want you to fight me one on one, and defeat me!\I, Leonmitchelli, will accept a challenge from anyone.\If you want a shot at marrying me, come get me!\Chosen warriors from\every nation have appeared to battle her. response:	They all look strong.
context: there are no shortage of men who want to marry her.\And there's only one thing she has to say to them.\I want you to fight me one on one, and defeat me!\I, Leonmitchelli, will accept a challenge from anyone.\If you want a shot at marrying me, come get me!\Chosen warriors from\every nation have appeared to battle her.\They all look strong. response:	And they're all looking at...
context: And there's only one thing she has to say to them.\I want you to fight me one on one, and defeat me!\I, Leonmitchelli, will accept a challenge from anyone.\If you want a shot at marrying me, come get me!\Chosen warriors from\every nation have appeared to battle her.\They all look strong.\And they're all looking at... response:	There she is! Lady Leo!
context: I want you to fight me one on one, and defeat me!\I, Leonmitchelli, will accept a challenge from anyone.\If you want a shot at marrying me, come get me!\Chosen warriors from\every nation have appeared to battle her.\They all look strong.\And they're all looking at...\There she is! Lady Leo! response:	I am Leonmitchelli Galette des Rois!
context: I, Leonmitchelli, will accept a challenge from anyone.\If you want a shot at marrying me, come get me!\Chosen warriors from\every nation have appeared to battle her.\They all look strong.\And they're all looking at...\There she is! Lady Leo!\I am Leonmitchelli Galette des Rois! response:	I'm happy you've all come here today to try and marry me.
context: If you want a shot at marrying me, come get me!\Chosen warriors from\every nation have appeared to battle her.\They all look strong.\And they're all looking at...\There she is! Lady Leo!\I am Leonmitchelli Galette des Rois!\I'm happy you've all come here today to try and marry me. response:	People older and younger than me,
context: Chosen warriors from\every nation have appeared to battle her.\They all look strong.\And they're all looking at...\There she is! Lady Leo!\I am Leonmitchelli Galette des Rois!\I'm happy you've all come here today to try and marry me.\People older and younger than me, response:	knights and nobles, royals and citizens.
context: every nation have appeared to battle her.\They all look strong.\And they're all looking at...\There she is! Lady Leo!\I am Leonmitchelli Galette des Rois!\I'm happy you've all come here today to try and marry me.\People older and younger than me,\knights and nobles, royals and citizens. response:	Men of many positions are here,
context: They all look strong.\And they're all looking at...\There she is! Lady Leo!\I am Leonmitchelli Galette des Rois!\I'm happy you've all come here today to try and marry me.\People older and younger than me,\knights and nobles, royals and citizens.\Men of many positions are here, response:	but you have only thing you must do!
context: And they're all looking at...\There she is! Lady Leo!\I am Leonmitchelli Galette des Rois!\I'm happy you've all come here today to try and marry me.\People older and younger than me,\knights and nobles, royals and citizens.\Men of many positions are here,\but you have only thing you must do! response:	Defeat me!
context: There she is! Lady Leo!\I am Leonmitchelli Galette des Rois!\I'm happy you've all come here today to try and marry me.\People older and younger than me,\knights and nobles, royals and citizens.\Men of many positions are here,\but you have only thing you must do!\Defeat me! response:	I promise to give marriage proposals from those who
context: I am Leonmitchelli Galette des Rois!\I'm happy you've all come here today to try and marry me.\People older and younger than me,\knights and nobles, royals and citizens.\Men of many positions are here,\but you have only thing you must do!\Defeat me!\I promise to give marriage proposals from those who response:	defeat me top priority and serious consideration!
context: I'm happy you've all come here today to try and marry me.\People older and younger than me,\knights and nobles, royals and citizens.\Men of many positions are here,\but you have only thing you must do!\Defeat me!\I promise to give marriage proposals from those who\defeat me top priority and serious consideration! response:	This is an arranged marriage?
context: People older and younger than me,\knights and nobles, royals and citizens.\Men of many positions are here,\but you have only thing you must do!\Defeat me!\I promise to give marriage proposals from those who\defeat me top priority and serious consideration!\This is an arranged marriage? response:	It seems like how she'd do it, I guess.
context: knights and nobles, royals and citizens.\Men of many positions are here,\but you have only thing you must do!\Defeat me!\I promise to give marriage proposals from those who\defeat me top priority and serious consideration!\This is an arranged marriage?\It seems like how she'd do it, I guess. response:	I was surprised, too.
context: Men of many positions are here,\but you have only thing you must do!\Defeat me!\I promise to give marriage proposals from those who\defeat me top priority and serious consideration!\This is an arranged marriage?\It seems like how she'd do it, I guess.\I was surprised, too. response:	Well, it's pretty strange, but...
context: but you have only thing you must do!\Defeat me!\I promise to give marriage proposals from those who\defeat me top priority and serious consideration!\This is an arranged marriage?\It seems like how she'd do it, I guess.\I was surprised, too.\Well, it's pretty strange, but... response:	The fact that it's a worthwhile commercial enterprise
context: Defeat me!\I promise to give marriage proposals from those who\defeat me top priority and serious consideration!\This is an arranged marriage?\It seems like how she'd do it, I guess.\I was surprised, too.\Well, it's pretty strange, but...\The fact that it's a worthwhile commercial enterprise response:	is what makes Leo-sama amazing.
context: I promise to give marriage proposals from those who\defeat me top priority and serious consideration!\This is an arranged marriage?\It seems like how she'd do it, I guess.\I was surprised, too.\Well, it's pretty strange, but...\The fact that it's a worthwhile commercial enterprise\is what makes Leo-sama amazing. response:	Yup.
context: defeat me top priority and serious consideration!\This is an arranged marriage?\It seems like how she'd do it, I guess.\I was surprised, too.\Well, it's pretty strange, but...\The fact that it's a worthwhile commercial enterprise\is what makes Leo-sama amazing.\Yup. response:	What's wrong, Vert?
context: This is an arranged marriage?\It seems like how she'd do it, I guess.\I was surprised, too.\Well, it's pretty strange, but...\The fact that it's a worthwhile commercial enterprise\is what makes Leo-sama amazing.\Yup.\What's wrong, Vert? response:	No. It's nothing.
context: It seems like how she'd do it, I guess.\I was surprised, too.\Well, it's pretty strange, but...\The fact that it's a worthwhile commercial enterprise\is what makes Leo-sama amazing.\Yup.\What's wrong, Vert?\No. It's nothing. response:	Okay, it's time for our first fight!
context: I was surprised, too.\Well, it's pretty strange, but...\The fact that it's a worthwhile commercial enterprise\is what makes Leo-sama amazing.\Yup.\What's wrong, Vert?\No. It's nothing.\Okay, it's time for our first fight! response:	The challenger is a young knight
context: Well, it's pretty strange, but...\The fact that it's a worthwhile commercial enterprise\is what makes Leo-sama amazing.\Yup.\What's wrong, Vert?\No. It's nothing.\Okay, it's time for our first fight!\The challenger is a young knight response:	from the land of Orange, here for his second time, Lord Raymond!
context: The fact that it's a worthwhile commercial enterprise\is what makes Leo-sama amazing.\Yup.\What's wrong, Vert?\No. It's nothing.\Okay, it's time for our first fight!\The challenger is a young knight\from the land of Orange, here for his second time, Lord Raymond! response:	In the war game a few days ago, he succeeded in defeating 500 enemies!
context: is what makes Leo-sama amazing.\Yup.\What's wrong, Vert?\No. It's nothing.\Okay, it's time for our first fight!\The challenger is a young knight\from the land of Orange, here for his second time, Lord Raymond!\In the war game a few days ago, he succeeded in defeating 500 enemies! response:	Lady Leo, let us fight!
context: Yup.\What's wrong, Vert?\No. It's nothing.\Okay, it's time for our first fight!\The challenger is a young knight\from the land of Orange, here for his second time, Lord Raymond!\In the war game a few days ago, he succeeded in defeating 500 enemies!\Lady Leo, let us fight! response:	Yes, come!
context: What's wrong, Vert?\No. It's nothing.\Okay, it's time for our first fight!\The challenger is a young knight\from the land of Orange, here for his second time, Lord Raymond!\In the war game a few days ago, he succeeded in defeating 500 enemies!\Lady Leo, let us fight!\Yes, come! response:	Please go out with me, and hopefully marry me!
context: No. It's nothing.\Okay, it's time for our first fight!\The challenger is a young knight\from the land of Orange, here for his second time, Lord Raymond!\In the war game a few days ago, he succeeded in defeating 500 enemies!\Lady Leo, let us fight!\Yes, come!\Please go out with me, and hopefully marry me! response:	I'm moved and grateful for your request.
context: Okay, it's time for our first fight!\The challenger is a young knight\from the land of Orange, here for his second time, Lord Raymond!\In the war game a few days ago, he succeeded in defeating 500 enemies!\Lady Leo, let us fight!\Yes, come!\Please go out with me, and hopefully marry me!\I'm moved and grateful for your request. response:	But...
context: The challenger is a young knight\from the land of Orange, here for his second time, Lord Raymond!\In the war game a few days ago, he succeeded in defeating 500 enemies!\Lady Leo, let us fight!\Yes, come!\Please go out with me, and hopefully marry me!\I'm moved and grateful for your request.\But... response:	You're not there yet!
context: from the land of Orange, here for his second time, Lord Raymond!\In the war game a few days ago, he succeeded in defeating 500 enemies!\Lady Leo, let us fight!\Yes, come!\Please go out with me, and hopefully marry me!\I'm moved and grateful for your request.\But...\You're not there yet! response:	Here I go!
context: In the war game a few days ago, he succeeded in defeating 500 enemies!\Lady Leo, let us fight!\Yes, come!\Please go out with me, and hopefully marry me!\I'm moved and grateful for your request.\But...\You're not there yet!\Here I go! response:	He's down!
context: Lady Leo, let us fight!\Yes, come!\Please go out with me, and hopefully marry me!\I'm moved and grateful for your request.\But...\You're not there yet!\Here I go!\He's down! response:	Down! Lord Raymond was wiped out instantly!
context: Yes, come!\Please go out with me, and hopefully marry me!\I'm moved and grateful for your request.\But...\You're not there yet!\Here I go!\He's down!\Down! Lord Raymond was wiped out instantly! response:	Lord Raymond's a strong knight, but...
context: Please go out with me, and hopefully marry me!\I'm moved and grateful for your request.\But...\You're not there yet!\Here I go!\He's down!\Down! Lord Raymond was wiped out instantly!\Lord Raymond's a strong knight, but... response:	It's amazing he was able to even take the first blow.
context: I'm moved and grateful for your request.\But...\You're not there yet!\Here I go!\He's down!\Down! Lord Raymond was wiped out instantly!\Lord Raymond's a strong knight, but...\It's amazing he was able to even take the first blow. response:	So true.
context: But...\You're not there yet!\Here I go!\He's down!\Down! Lord Raymond was wiped out instantly!\Lord Raymond's a strong knight, but...\It's amazing he was able to even take the first blow.\So true. response:	Lady Leo is praising him for his excellent fighting.
context: You're not there yet!\Here I go!\He's down!\Down! Lord Raymond was wiped out instantly!\Lord Raymond's a strong knight, but...\It's amazing he was able to even take the first blow.\So true.\Lady Leo is praising him for his excellent fighting. response:	Lady Leo is wonderful!
context: Here I go!\He's down!\Down! Lord Raymond was wiped out instantly!\Lord Raymond's a strong knight, but...\It's amazing he was able to even take the first blow.\So true.\Lady Leo is praising him for his excellent fighting.\Lady Leo is wonderful! response:	Isn't she?
context: He's down!\Down! Lord Raymond was wiped out instantly!\Lord Raymond's a strong knight, but...\It's amazing he was able to even take the first blow.\So true.\Lady Leo is praising him for his excellent fighting.\Lady Leo is wonderful!\Isn't she? response:	Round two!
context: Down! Lord Raymond was wiped out instantly!\Lord Raymond's a strong knight, but...\It's amazing he was able to even take the first blow.\So true.\Lady Leo is praising him for his excellent fighting.\Lady Leo is wonderful!\Isn't she?\Round two! response:	Defense Minister of the country of Dragee, and master of the long sword,
context: Lord Raymond's a strong knight, but...\It's amazing he was able to even take the first blow.\So true.\Lady Leo is praising him for his excellent fighting.\Lady Leo is wonderful!\Isn't she?\Round two!\Defense Minister of the country of Dragee, and master of the long sword, response:	Lord Belier, has come to the fight today!
context: It's amazing he was able to even take the first blow.\So true.\Lady Leo is praising him for his excellent fighting.\Lady Leo is wonderful!\Isn't she?\Round two!\Defense Minister of the country of Dragee, and master of the long sword,\Lord Belier, has come to the fight today! response:	Lady, please come with me this year.
context: So true.\Lady Leo is praising him for his excellent fighting.\Lady Leo is wonderful!\Isn't she?\Round two!\Defense Minister of the country of Dragee, and master of the long sword,\Lord Belier, has come to the fight today!\Lady, please come with me this year. response:	Once again, I'm honored by your request.
context: Lady Leo is praising him for his excellent fighting.\Lady Leo is wonderful!\Isn't she?\Round two!\Defense Minister of the country of Dragee, and master of the long sword,\Lord Belier, has come to the fight today!\Lady, please come with me this year.\Once again, I'm honored by your request. response:	But...
context: Lady Leo is wonderful!\Isn't she?\Round two!\Defense Minister of the country of Dragee, and master of the long sword,\Lord Belier, has come to the fight today!\Lady, please come with me this year.\Once again, I'm honored by your request.\But... response:	I will win you with this blade!
context: Isn't she?\Round two!\Defense Minister of the country of Dragee, and master of the long sword,\Lord Belier, has come to the fight today!\Lady, please come with me this year.\Once again, I'm honored by your request.\But...\I will win you with this blade! response:	The battle begins!
context: Round two!\Defense Minister of the country of Dragee, and master of the long sword,\Lord Belier, has come to the fight today!\Lady, please come with me this year.\Once again, I'm honored by your request.\But...\I will win you with this blade!\The battle begins! response:	National Defense Blade: Dragon King's Rage Slash!
context: Defense Minister of the country of Dragee, and master of the long sword,\Lord Belier, has come to the fight today!\Lady, please come with me this year.\Once again, I'm honored by your request.\But...\I will win you with this blade!\The battle begins!\National Defense Blade: Dragon King's Rage Slash! response:	Lord Belier's crest blade!
context: Lord Belier, has come to the fight today!\Lady, please come with me this year.\Once again, I'm honored by your request.\But...\I will win you with this blade!\The battle begins!\National Defense Blade: Dragon King's Rage Slash!\Lord Belier's crest blade! response:	The dragon's aura is attacking Lady Leo!
context: Lady, please come with me this year.\Once again, I'm honored by your request.\But...\I will win you with this blade!\The battle begins!\National Defense Blade: Dragon King's Rage Slash!\Lord Belier's crest blade!\The dragon's aura is attacking Lady Leo! response:	I just fought a dragon a few days ago
context: Once again, I'm honored by your request.\But...\I will win you with this blade!\The battle begins!\National Defense Blade: Dragon King's Rage Slash!\Lord Belier's crest blade!\The dragon's aura is attacking Lady Leo!\I just fought a dragon a few days ago response:	and your vigor matches that of a true dragon!
context: But...\I will win you with this blade!\The battle begins!\National Defense Blade: Dragon King's Rage Slash!\Lord Belier's crest blade!\The dragon's aura is attacking Lady Leo!\I just fought a dragon a few days ago\and your vigor matches that of a true dragon! response:	Lion King Roaring Thunder Blade!
context: I will win you with this blade!\The battle begins!\National Defense Blade: Dragon King's Rage Slash!\Lord Belier's crest blade!\The dragon's aura is attacking Lady Leo!\I just fought a dragon a few days ago\and your vigor matches that of a true dragon!\Lion King Roaring Thunder Blade! response:	Exploding Lightning Fang!
context: The battle begins!\National Defense Blade: Dragon King's Rage Slash!\Lord Belier's crest blade!\The dragon's aura is attacking Lady Leo!\I just fought a dragon a few days ago\and your vigor matches that of a true dragon!\Lion King Roaring Thunder Blade!\Exploding Lightning Fang! response:	The fight is over!
context: National Defense Blade: Dragon King's Rage Slash!\Lord Belier's crest blade!\The dragon's aura is attacking Lady Leo!\I just fought a dragon a few days ago\and your vigor matches that of a true dragon!\Lion King Roaring Thunder Blade!\Exploding Lightning Fang!\The fight is over! response:	Lady Leo strikes with one slash of her blade!
context: Lord Belier's crest blade!\The dragon's aura is attacking Lady Leo!\I just fought a dragon a few days ago\and your vigor matches that of a true dragon!\Lion King Roaring Thunder Blade!\Exploding Lightning Fang!\The fight is over!\Lady Leo strikes with one slash of her blade! response:	Lord Belier is down!
context: The dragon's aura is attacking Lady Leo!\I just fought a dragon a few days ago\and your vigor matches that of a true dragon!\Lion King Roaring Thunder Blade!\Exploding Lightning Fang!\The fight is over!\Lady Leo strikes with one slash of her blade!\Lord Belier is down! response:	Leo-sama is so cool!
context: I just fought a dragon a few days ago\and your vigor matches that of a true dragon!\Lion King Roaring Thunder Blade!\Exploding Lightning Fang!\The fight is over!\Lady Leo strikes with one slash of her blade!\Lord Belier is down!\Leo-sama is so cool! response:	Next up is the incredibly strong leader of the knights
context: and your vigor matches that of a true dragon!\Lion King Roaring Thunder Blade!\Exploding Lightning Fang!\The fight is over!\Lady Leo strikes with one slash of her blade!\Lord Belier is down!\Leo-sama is so cool!\Next up is the incredibly strong leader of the knights response:	from the Dukedom of Camibel.
context: Lion King Roaring Thunder Blade!\Exploding Lightning Fang!\The fight is over!\Lady Leo strikes with one slash of her blade!\Lord Belier is down!\Leo-sama is so cool!\Next up is the incredibly strong leader of the knights\from the Dukedom of Camibel. response:	Lord Dorg!
context: Exploding Lightning Fang!\The fight is over!\Lady Leo strikes with one slash of her blade!\Lord Belier is down!\Leo-sama is so cool!\Next up is the incredibly strong leader of the knights\from the Dukedom of Camibel.\Lord Dorg! response:	His massive strength and specially-ordered axe
context: The fight is over!\Lady Leo strikes with one slash of her blade!\Lord Belier is down!\Leo-sama is so cool!\Next up is the incredibly strong leader of the knights\from the Dukedom of Camibel.\Lord Dorg!\His massive strength and specially-ordered axe response:	are said to be able to destroy a fortress!
context: Lady Leo strikes with one slash of her blade!\Lord Belier is down!\Leo-sama is so cool!\Next up is the incredibly strong leader of the knights\from the Dukedom of Camibel.\Lord Dorg!\His massive strength and specially-ordered axe\are said to be able to destroy a fortress! response:	Here I come.
context: Lord Belier is down!\Leo-sama is so cool!\Next up is the incredibly strong leader of the knights\from the Dukedom of Camibel.\Lord Dorg!\His massive strength and specially-ordered axe\are said to be able to destroy a fortress!\Here I come. response:	Lord Dorg.
context: Leo-sama is so cool!\Next up is the incredibly strong leader of the knights\from the Dukedom of Camibel.\Lord Dorg!\His massive strength and specially-ordered axe\are said to be able to destroy a fortress!\Here I come.\Lord Dorg. response:	You've gotten even stronger, it seems.
context: Next up is the incredibly strong leader of the knights\from the Dukedom of Camibel.\Lord Dorg!\His massive strength and specially-ordered axe\are said to be able to destroy a fortress!\Here I come.\Lord Dorg.\You've gotten even stronger, it seems. response:	I'm so happy and grateful you said that!
context: from the Dukedom of Camibel.\Lord Dorg!\His massive strength and specially-ordered axe\are said to be able to destroy a fortress!\Here I come.\Lord Dorg.\You've gotten even stronger, it seems.\I'm so happy and grateful you said that! response:	But it's
context: Lord Dorg!\His massive strength and specially-ordered axe\are said to be able to destroy a fortress!\Here I come.\Lord Dorg.\You've gotten even stronger, it seems.\I'm so happy and grateful you said that!\But it's response:	not enough yet!
context: His massive strength and specially-ordered axe\are said to be able to destroy a fortress!\Here I come.\Lord Dorg.\You've gotten even stronger, it seems.\I'm so happy and grateful you said that!\But it's\not enough yet! response:	She was every bit as strong as the massive Lord Dorg.
