context: Once upon a time, there was a man who died. response:	The man had the power to make stories come true,
context: When the man died, the people heaved a great sigh of relief.\However, when his hands were cut off, the man had been writing a story in his own blood.\That was a story of the man himself, who would continue to spin stories even after his death.\What?\No way! How could this be?!\To think the words of true love that Tutu was supposed to say, Princess Kraehe said instead!\Even though she was raised on raven's blood, and shouldn't even know how to love...\But even so, you still can't escape tragedy, Little Duck. response:	The Dying Swan
context: However, when his hands were cut off, the man had been writing a story in his own blood.\That was a story of the man himself, who would continue to spin stories even after his death.\What?\No way! How could this be?!\To think the words of true love that Tutu was supposed to say, Princess Kraehe said instead!\Even though she was raised on raven's blood, and shouldn't even know how to love...\But even so, you still can't escape tragedy, Little Duck.\The Dying Swan response:	Are you happy to have it, prince?
context: That was a story of the man himself, who would continue to spin stories even after his death.\What?\No way! How could this be?!\To think the words of true love that Tutu was supposed to say, Princess Kraehe said instead!\Even though she was raised on raven's blood, and shouldn't even know how to love...\But even so, you still can't escape tragedy, Little Duck.\The Dying Swan\Are you happy to have it, prince? response:	I don't know.
context: What?\No way! How could this be?!\To think the words of true love that Tutu was supposed to say, Princess Kraehe said instead!\Even though she was raised on raven's blood, and shouldn't even know how to love...\But even so, you still can't escape tragedy, Little Duck.\The Dying Swan\Are you happy to have it, prince?\I don't know. response:	Um... Will you love me?
context: No way! How could this be?!\To think the words of true love that Tutu was supposed to say, Princess Kraehe said instead!\Even though she was raised on raven's blood, and shouldn't even know how to love...\But even so, you still can't escape tragedy, Little Duck.\The Dying Swan\Are you happy to have it, prince?\I don't know.\Um... Will you love me? response:	I don't know.
context: To think the words of true love that Tutu was supposed to say, Princess Kraehe said instead!\Even though she was raised on raven's blood, and shouldn't even know how to love...\But even so, you still can't escape tragedy, Little Duck.\The Dying Swan\Are you happy to have it, prince?\I don't know.\Um... Will you love me?\I don't know. response:	Just tell me you love me.
context: Even though she was raised on raven's blood, and shouldn't even know how to love...\But even so, you still can't escape tragedy, Little Duck.\The Dying Swan\Are you happy to have it, prince?\I don't know.\Um... Will you love me?\I don't know.\Just tell me you love me. response:	I love you.
context: But even so, you still can't escape tragedy, Little Duck.\The Dying Swan\Are you happy to have it, prince?\I don't know.\Um... Will you love me?\I don't know.\Just tell me you love me.\I love you. response:	Say. Tell me that you love me.
context: The Dying Swan\Are you happy to have it, prince?\I don't know.\Um... Will you love me?\I don't know.\Just tell me you love me.\I love you.\Say. Tell me that you love me. response:	Mytho, you love me.
context: Are you happy to have it, prince?\I don't know.\Um... Will you love me?\I don't know.\Just tell me you love me.\I love you.\Say. Tell me that you love me.\Mytho, you love me. response:	I love you! I have ever since I was little!
context: I don't know.\Um... Will you love me?\I don't know.\Just tell me you love me.\I love you.\Say. Tell me that you love me.\Mytho, you love me.\I love you! I have ever since I was little! response:	I've always loved you!
context: Um... Will you love me?\I don't know.\Just tell me you love me.\I love you.\Say. Tell me that you love me.\Mytho, you love me.\I love you! I have ever since I was little!\I've always loved you! response:	Rue!
context: I don't know.\Just tell me you love me.\I love you.\Say. Tell me that you love me.\Mytho, you love me.\I love you! I have ever since I was little!\I've always loved you!\Rue! response:	Rue-chan! RUE-CHAN!
context: Just tell me you love me.\I love you.\Say. Tell me that you love me.\Mytho, you love me.\I love you! I have ever since I was little!\I've always loved you!\Rue!\Rue-chan! RUE-CHAN! response:	Relax. I am still keeping her alive, deep in my stomach.
context: I love you.\Say. Tell me that you love me.\Mytho, you love me.\I love you! I have ever since I was little!\I've always loved you!\Rue!\Rue-chan! RUE-CHAN!\Relax. I am still keeping her alive, deep in my stomach. response:	I should have done this in that fight long ago too.
context: Say. Tell me that you love me.\Mytho, you love me.\I love you! I have ever since I was little!\I've always loved you!\Rue!\Rue-chan! RUE-CHAN!\Relax. I am still keeping her alive, deep in my stomach.\I should have done this in that fight long ago too. response:	What?
context: Mytho, you love me.\I love you! I have ever since I was little!\I've always loved you!\Rue!\Rue-chan! RUE-CHAN!\Relax. I am still keeping her alive, deep in my stomach.\I should have done this in that fight long ago too.\What? response:	She is just a human girl I kidnapped on a whim and raised, but she has been quite useful.
context: I love you! I have ever since I was little!\I've always loved you!\Rue!\Rue-chan! RUE-CHAN!\Relax. I am still keeping her alive, deep in my stomach.\I should have done this in that fight long ago too.\What?\She is just a human girl I kidnapped on a whim and raised, but she has been quite useful. response:	If you kill me, you will be killing the girl within me as well.
context: I've always loved you!\Rue!\Rue-chan! RUE-CHAN!\Relax. I am still keeping her alive, deep in my stomach.\I should have done this in that fight long ago too.\What?\She is just a human girl I kidnapped on a whim and raised, but she has been quite useful.\If you kill me, you will be killing the girl within me as well. response:	And the same goes for if you seal me away as well.
context: Rue!\Rue-chan! RUE-CHAN!\Relax. I am still keeping her alive, deep in my stomach.\I should have done this in that fight long ago too.\What?\She is just a human girl I kidnapped on a whim and raised, but she has been quite useful.\If you kill me, you will be killing the girl within me as well.\And the same goes for if you seal me away as well. response:	You have no choice but to give me your heart!
context: Rue-chan! RUE-CHAN!\Relax. I am still keeping her alive, deep in my stomach.\I should have done this in that fight long ago too.\What?\She is just a human girl I kidnapped on a whim and raised, but she has been quite useful.\If you kill me, you will be killing the girl within me as well.\And the same goes for if you seal me away as well.\You have no choice but to give me your heart! response:	He can't fight even if I return the last heart shard... That's awful!
context: Relax. I am still keeping her alive, deep in my stomach.\I should have done this in that fight long ago too.\What?\She is just a human girl I kidnapped on a whim and raised, but she has been quite useful.\If you kill me, you will be killing the girl within me as well.\And the same goes for if you seal me away as well.\You have no choice but to give me your heart!\He can't fight even if I return the last heart shard... That's awful! response:	Prince! Give me your heart, right now!
context: I should have done this in that fight long ago too.\What?\She is just a human girl I kidnapped on a whim and raised, but she has been quite useful.\If you kill me, you will be killing the girl within me as well.\And the same goes for if you seal me away as well.\You have no choice but to give me your heart!\He can't fight even if I return the last heart shard... That's awful!\Prince! Give me your heart, right now! response:	So you still resist?
context: What?\She is just a human girl I kidnapped on a whim and raised, but she has been quite useful.\If you kill me, you will be killing the girl within me as well.\And the same goes for if you seal me away as well.\You have no choice but to give me your heart!\He can't fight even if I return the last heart shard... That's awful!\Prince! Give me your heart, right now!\So you still resist? response:	Are you implying you've some chance of success, prince?
context: She is just a human girl I kidnapped on a whim and raised, but she has been quite useful.\If you kill me, you will be killing the girl within me as well.\And the same goes for if you seal me away as well.\You have no choice but to give me your heart!\He can't fight even if I return the last heart shard... That's awful!\Prince! Give me your heart, right now!\So you still resist?\Are you implying you've some chance of success, prince? response:	Princess Tutu.
context: If you kill me, you will be killing the girl within me as well.\And the same goes for if you seal me away as well.\You have no choice but to give me your heart!\He can't fight even if I return the last heart shard... That's awful!\Prince! Give me your heart, right now!\So you still resist?\Are you implying you've some chance of success, prince?\Princess Tutu. response:	Yes.
context: And the same goes for if you seal me away as well.\You have no choice but to give me your heart!\He can't fight even if I return the last heart shard... That's awful!\Prince! Give me your heart, right now!\So you still resist?\Are you implying you've some chance of success, prince?\Princess Tutu.\Yes. response:	I'd like you to return my final heart shard.
context: You have no choice but to give me your heart!\He can't fight even if I return the last heart shard... That's awful!\Prince! Give me your heart, right now!\So you still resist?\Are you implying you've some chance of success, prince?\Princess Tutu.\Yes.\I'd like you to return my final heart shard. response:	What?
context: He can't fight even if I return the last heart shard... That's awful!\Prince! Give me your heart, right now!\So you still resist?\Are you implying you've some chance of success, prince?\Princess Tutu.\Yes.\I'd like you to return my final heart shard.\What? response:	I have to save her.
context: Prince! Give me your heart, right now!\So you still resist?\Are you implying you've some chance of success, prince?\Princess Tutu.\Yes.\I'd like you to return my final heart shard.\What?\I have to save her. response:	No, I want to save her. I want to save Rue.
context: So you still resist?\Are you implying you've some chance of success, prince?\Princess Tutu.\Yes.\I'd like you to return my final heart shard.\What?\I have to save her.\No, I want to save her. I want to save Rue. response:	I understand the pain of having your heart eaten away at by raven's blood.
context: Are you implying you've some chance of success, prince?\Princess Tutu.\Yes.\I'd like you to return my final heart shard.\What?\I have to save her.\No, I want to save her. I want to save Rue.\I understand the pain of having your heart eaten away at by raven's blood. response:	It starts in the weak places in your heart and spreads ruthlessly.
context: Princess Tutu.\Yes.\I'd like you to return my final heart shard.\What?\I have to save her.\No, I want to save her. I want to save Rue.\I understand the pain of having your heart eaten away at by raven's blood.\It starts in the weak places in your heart and spreads ruthlessly. response:	You can't even stop yourself from hurting the people important to you.
context: Yes.\I'd like you to return my final heart shard.\What?\I have to save her.\No, I want to save her. I want to save Rue.\I understand the pain of having your heart eaten away at by raven's blood.\It starts in the weak places in your heart and spreads ruthlessly.\You can't even stop yourself from hurting the people important to you. response:	Ever since she was small, Rue has stood up under the burden of that suffering all alone.
context: I'd like you to return my final heart shard.\What?\I have to save her.\No, I want to save her. I want to save Rue.\I understand the pain of having your heart eaten away at by raven's blood.\It starts in the weak places in your heart and spreads ruthlessly.\You can't even stop yourself from hurting the people important to you.\Ever since she was small, Rue has stood up under the burden of that suffering all alone. response:	Her love was frail and she was always afraid of losing love...
context: What?\I have to save her.\No, I want to save her. I want to save Rue.\I understand the pain of having your heart eaten away at by raven's blood.\It starts in the weak places in your heart and spreads ruthlessly.\You can't even stop yourself from hurting the people important to you.\Ever since she was small, Rue has stood up under the burden of that suffering all alone.\Her love was frail and she was always afraid of losing love... response:	The more she loved, the more she suffered, and she couldn't even seek help from anyone.
context: I have to save her.\No, I want to save her. I want to save Rue.\I understand the pain of having your heart eaten away at by raven's blood.\It starts in the weak places in your heart and spreads ruthlessly.\You can't even stop yourself from hurting the people important to you.\Ever since she was small, Rue has stood up under the burden of that suffering all alone.\Her love was frail and she was always afraid of losing love...\The more she loved, the more she suffered, and she couldn't even seek help from anyone. response:	But she never tried to stop loving...
context: No, I want to save her. I want to save Rue.\I understand the pain of having your heart eaten away at by raven's blood.\It starts in the weak places in your heart and spreads ruthlessly.\You can't even stop yourself from hurting the people important to you.\Ever since she was small, Rue has stood up under the burden of that suffering all alone.\Her love was frail and she was always afraid of losing love...\The more she loved, the more she suffered, and she couldn't even seek help from anyone.\But she never tried to stop loving... response:	She led me out of the raven's darkness with words of true love.
context: I understand the pain of having your heart eaten away at by raven's blood.\It starts in the weak places in your heart and spreads ruthlessly.\You can't even stop yourself from hurting the people important to you.\Ever since she was small, Rue has stood up under the burden of that suffering all alone.\Her love was frail and she was always afraid of losing love...\The more she loved, the more she suffered, and she couldn't even seek help from anyone.\But she never tried to stop loving...\She led me out of the raven's darkness with words of true love. response:	It's my turn to protect her now.
context: It starts in the weak places in your heart and spreads ruthlessly.\You can't even stop yourself from hurting the people important to you.\Ever since she was small, Rue has stood up under the burden of that suffering all alone.\Her love was frail and she was always afraid of losing love...\The more she loved, the more she suffered, and she couldn't even seek help from anyone.\But she never tried to stop loving...\She led me out of the raven's darkness with words of true love.\It's my turn to protect her now. response:	And if possible, I'd like to take Rue as my princess.
context: You can't even stop yourself from hurting the people important to you.\Ever since she was small, Rue has stood up under the burden of that suffering all alone.\Her love was frail and she was always afraid of losing love...\The more she loved, the more she suffered, and she couldn't even seek help from anyone.\But she never tried to stop loving...\She led me out of the raven's darkness with words of true love.\It's my turn to protect her now.\And if possible, I'd like to take Rue as my princess. response:	So Princess Tutu, please give me the last heart shard.
context: Ever since she was small, Rue has stood up under the burden of that suffering all alone.\Her love was frail and she was always afraid of losing love...\The more she loved, the more she suffered, and she couldn't even seek help from anyone.\But she never tried to stop loving...\She led me out of the raven's darkness with words of true love.\It's my turn to protect her now.\And if possible, I'd like to take Rue as my princess.\So Princess Tutu, please give me the last heart shard. response:	Yes.
context: Her love was frail and she was always afraid of losing love...\The more she loved, the more she suffered, and she couldn't even seek help from anyone.\But she never tried to stop loving...\She led me out of the raven's darkness with words of true love.\It's my turn to protect her now.\And if possible, I'd like to take Rue as my princess.\So Princess Tutu, please give me the last heart shard.\Yes. response:	Thank you.
context: The more she loved, the more she suffered, and she couldn't even seek help from anyone.\But she never tried to stop loving...\She led me out of the raven's darkness with words of true love.\It's my turn to protect her now.\And if possible, I'd like to take Rue as my princess.\So Princess Tutu, please give me the last heart shard.\Yes.\Thank you. response:	If your heart is not complete, I cannot gain eternal life from it.
context: But she never tried to stop loving...\She led me out of the raven's darkness with words of true love.\It's my turn to protect her now.\And if possible, I'd like to take Rue as my princess.\So Princess Tutu, please give me the last heart shard.\Yes.\Thank you.\If your heart is not complete, I cannot gain eternal life from it. response:	I almost rushed things too much.
context: She led me out of the raven's darkness with words of true love.\It's my turn to protect her now.\And if possible, I'd like to take Rue as my princess.\So Princess Tutu, please give me the last heart shard.\Yes.\Thank you.\If your heart is not complete, I cannot gain eternal life from it.\I almost rushed things too much. response:	Huh?
context: It's my turn to protect her now.\And if possible, I'd like to take Rue as my princess.\So Princess Tutu, please give me the last heart shard.\Yes.\Thank you.\If your heart is not complete, I cannot gain eternal life from it.\I almost rushed things too much.\Huh? response:	What?
context: And if possible, I'd like to take Rue as my princess.\So Princess Tutu, please give me the last heart shard.\Yes.\Thank you.\If your heart is not complete, I cannot gain eternal life from it.\I almost rushed things too much.\Huh?\What? response:	Huh?
context: So Princess Tutu, please give me the last heart shard.\Yes.\Thank you.\If your heart is not complete, I cannot gain eternal life from it.\I almost rushed things too much.\Huh?\What?\Huh? response:	What's the matter?
context: Yes.\Thank you.\If your heart is not complete, I cannot gain eternal life from it.\I almost rushed things too much.\Huh?\What?\Huh?\What's the matter? response:	The pendant won't come off!
context: Thank you.\If your heart is not complete, I cannot gain eternal life from it.\I almost rushed things too much.\Huh?\What?\Huh?\What's the matter?\The pendant won't come off! response:	Why not? What's going on?
context: If your heart is not complete, I cannot gain eternal life from it.\I almost rushed things too much.\Huh?\What?\Huh?\What's the matter?\The pendant won't come off!\Why not? What's going on? response:	Princess Tutu, I will give you time.
context: I almost rushed things too much.\Huh?\What?\Huh?\What's the matter?\The pendant won't come off!\Why not? What's going on?\Princess Tutu, I will give you time. response:	Give the final shard back to the prince by dawn.
context: Huh?\What?\Huh?\What's the matter?\The pendant won't come off!\Why not? What's going on?\Princess Tutu, I will give you time.\Give the final shard back to the prince by dawn. response:	Prince!
context: What?\Huh?\What's the matter?\The pendant won't come off!\Why not? What's going on?\Princess Tutu, I will give you time.\Give the final shard back to the prince by dawn.\Prince! response:	If you do not, I will tear the prince's heart to pieces!
context: Huh?\What's the matter?\The pendant won't come off!\Why not? What's going on?\Princess Tutu, I will give you time.\Give the final shard back to the prince by dawn.\Prince!\If you do not, I will tear the prince's heart to pieces! response:	This tea is the blend that Drosselmeyer liked to drink while he was working.
context: What's the matter?\The pendant won't come off!\Why not? What's going on?\Princess Tutu, I will give you time.\Give the final shard back to the prince by dawn.\Prince!\If you do not, I will tear the prince's heart to pieces!\This tea is the blend that Drosselmeyer liked to drink while he was working. response:	He used three parts Darjeeling and then added Assam...
context: The pendant won't come off!\Why not? What's going on?\Princess Tutu, I will give you time.\Give the final shard back to the prince by dawn.\Prince!\If you do not, I will tear the prince's heart to pieces!\This tea is the blend that Drosselmeyer liked to drink while he was working.\He used three parts Darjeeling and then added Assam... response:	Why do I have to do this?
context: Why not? What's going on?\Princess Tutu, I will give you time.\Give the final shard back to the prince by dawn.\Prince!\If you do not, I will tear the prince's heart to pieces!\This tea is the blend that Drosselmeyer liked to drink while he was working.\He used three parts Darjeeling and then added Assam...\Why do I have to do this? response:	It's certainly noisy outside.
context: Princess Tutu, I will give you time.\Give the final shard back to the prince by dawn.\Prince!\If you do not, I will tear the prince's heart to pieces!\This tea is the blend that Drosselmeyer liked to drink while he was working.\He used three parts Darjeeling and then added Assam...\Why do I have to do this?\It's certainly noisy outside. response:	What's going on?!
context: Give the final shard back to the prince by dawn.\Prince!\If you do not, I will tear the prince's heart to pieces!\This tea is the blend that Drosselmeyer liked to drink while he was working.\He used three parts Darjeeling and then added Assam...\Why do I have to do this?\It's certainly noisy outside.\What's going on?! response:	What?
context: Prince!\If you do not, I will tear the prince's heart to pieces!\This tea is the blend that Drosselmeyer liked to drink while he was working.\He used three parts Darjeeling and then added Assam...\Why do I have to do this?\It's certainly noisy outside.\What's going on?!\What? response:	Bathed in this noble blood, all people will become crows!
context: If you do not, I will tear the prince's heart to pieces!\This tea is the blend that Drosselmeyer liked to drink while he was working.\He used three parts Darjeeling and then added Assam...\Why do I have to do this?\It's certainly noisy outside.\What's going on?!\What?\Bathed in this noble blood, all people will become crows! response:	Now celebrate my return!
context: This tea is the blend that Drosselmeyer liked to drink while he was working.\He used three parts Darjeeling and then added Assam...\Why do I have to do this?\It's certainly noisy outside.\What's going on?!\What?\Bathed in this noble blood, all people will become crows!\Now celebrate my return! response:	That's Pike and Lilie!
context: He used three parts Darjeeling and then added Assam...\Why do I have to do this?\It's certainly noisy outside.\What's going on?!\What?\Bathed in this noble blood, all people will become crows!\Now celebrate my return!\That's Pike and Lilie! response:	Meow, meow, meow, meow, meow!
context: Why do I have to do this?\It's certainly noisy outside.\What's going on?!\What?\Bathed in this noble blood, all people will become crows!\Now celebrate my return!\That's Pike and Lilie!\Meow, meow, meow, meow, meow! response:	Cat-sensei...
context: It's certainly noisy outside.\What's going on?!\What?\Bathed in this noble blood, all people will become crows!\Now celebrate my return!\That's Pike and Lilie!\Meow, meow, meow, meow, meow!\Cat-sensei... response:	Now, you'd better hurry.
context: What's going on?!\What?\Bathed in this noble blood, all people will become crows!\Now celebrate my return!\That's Pike and Lilie!\Meow, meow, meow, meow, meow!\Cat-sensei...\Now, you'd better hurry. response:	You do not have much time, Tutu.
context: What?\Bathed in this noble blood, all people will become crows!\Now celebrate my return!\That's Pike and Lilie!\Meow, meow, meow, meow, meow!\Cat-sensei...\Now, you'd better hurry.\You do not have much time, Tutu. response:	I can't take it off. Why not?!
context: Bathed in this noble blood, all people will become crows!\Now celebrate my return!\That's Pike and Lilie!\Meow, meow, meow, meow, meow!\Cat-sensei...\Now, you'd better hurry.\You do not have much time, Tutu.\I can't take it off. Why not?! response:	I wonder!
context: Now celebrate my return!\That's Pike and Lilie!\Meow, meow, meow, meow, meow!\Cat-sensei...\Now, you'd better hurry.\You do not have much time, Tutu.\I can't take it off. Why not?!\I wonder! response:	Huh?
context: That's Pike and Lilie!\Meow, meow, meow, meow, meow!\Cat-sensei...\Now, you'd better hurry.\You do not have much time, Tutu.\I can't take it off. Why not?!\I wonder!\Huh? response:	This is bad, Fa...
context: Meow, meow, meow, meow, meow!\Cat-sensei...\Now, you'd better hurry.\You do not have much time, Tutu.\I can't take it off. Why not?!\I wonder!\Huh?\This is bad, Fa... response:	Autor, I'm begging you, please be a little quie...
context: Cat-sensei...\Now, you'd better hurry.\You do not have much time, Tutu.\I can't take it off. Why not?!\I wonder!\Huh?\This is bad, Fa...\Autor, I'm begging you, please be a little quie... response:	Well, well. Is that person sitting and writing there me?
context: Now, you'd better hurry.\You do not have much time, Tutu.\I can't take it off. Why not?!\I wonder!\Huh?\This is bad, Fa...\Autor, I'm begging you, please be a little quie...\Well, well. Is that person sitting and writing there me? response:	No, I would never waver about writing.
context: You do not have much time, Tutu.\I can't take it off. Why not?!\I wonder!\Huh?\This is bad, Fa...\Autor, I'm begging you, please be a little quie...\Well, well. Is that person sitting and writing there me?\No, I would never waver about writing. response:	Drosselmeyer?
context: I can't take it off. Why not?!\I wonder!\Huh?\This is bad, Fa...\Autor, I'm begging you, please be a little quie...\Well, well. Is that person sitting and writing there me?\No, I would never waver about writing.\Drosselmeyer? response:	Hmm, these things all look a lot like what I used, but most of them are fakes...
context: I wonder!\Huh?\This is bad, Fa...\Autor, I'm begging you, please be a little quie...\Well, well. Is that person sitting and writing there me?\No, I would never waver about writing.\Drosselmeyer?\Hmm, these things all look a lot like what I used, but most of them are fakes... response:	You're trying to be responsible about writing, aren't you?
context: Huh?\This is bad, Fa...\Autor, I'm begging you, please be a little quie...\Well, well. Is that person sitting and writing there me?\No, I would never waver about writing.\Drosselmeyer?\Hmm, these things all look a lot like what I used, but most of them are fakes...\You're trying to be responsible about writing, aren't you? response:	That's why you can't write.
context: This is bad, Fa...\Autor, I'm begging you, please be a little quie...\Well, well. Is that person sitting and writing there me?\No, I would never waver about writing.\Drosselmeyer?\Hmm, these things all look a lot like what I used, but most of them are fakes...\You're trying to be responsible about writing, aren't you?\That's why you can't write. response:	When you write stories, you should do it more freely and irresponsibly, just following your own feelings.
context: Autor, I'm begging you, please be a little quie...\Well, well. Is that person sitting and writing there me?\No, I would never waver about writing.\Drosselmeyer?\Hmm, these things all look a lot like what I used, but most of them are fakes...\You're trying to be responsible about writing, aren't you?\That's why you can't write.\When you write stories, you should do it more freely and irresponsibly, just following your own feelings. response:	I don't want to be like you, toying with people's fates for a lark!
context: Well, well. Is that person sitting and writing there me?\No, I would never waver about writing.\Drosselmeyer?\Hmm, these things all look a lot like what I used, but most of them are fakes...\You're trying to be responsible about writing, aren't you?\That's why you can't write.\When you write stories, you should do it more freely and irresponsibly, just following your own feelings.\I don't want to be like you, toying with people's fates for a lark! response:	For goodness's sake. That won't get us anywhere.
context: No, I would never waver about writing.\Drosselmeyer?\Hmm, these things all look a lot like what I used, but most of them are fakes...\You're trying to be responsible about writing, aren't you?\That's why you can't write.\When you write stories, you should do it more freely and irresponsibly, just following your own feelings.\I don't want to be like you, toying with people's fates for a lark!\For goodness's sake. That won't get us anywhere. response:	Mytho!
context: Drosselmeyer?\Hmm, these things all look a lot like what I used, but most of them are fakes...\You're trying to be responsible about writing, aren't you?\That's why you can't write.\When you write stories, you should do it more freely and irresponsibly, just following your own feelings.\I don't want to be like you, toying with people's fates for a lark!\For goodness's sake. That won't get us anywhere.\Mytho! response:	The raven has revived, and all of the prince's heart has returned to him except for the shard in Princess Tutu's pendant.
context: Hmm, these things all look a lot like what I used, but most of them are fakes...\You're trying to be responsible about writing, aren't you?\That's why you can't write.\When you write stories, you should do it more freely and irresponsibly, just following your own feelings.\I don't want to be like you, toying with people's fates for a lark!\For goodness's sake. That won't get us anywhere.\Mytho!\The raven has revived, and all of the prince's heart has returned to him except for the shard in Princess Tutu's pendant. response:	What?
context: You're trying to be responsible about writing, aren't you?\That's why you can't write.\When you write stories, you should do it more freely and irresponsibly, just following your own feelings.\I don't want to be like you, toying with people's fates for a lark!\For goodness's sake. That won't get us anywhere.\Mytho!\The raven has revived, and all of the prince's heart has returned to him except for the shard in Princess Tutu's pendant.\What? response:	And right now Princess Tutu is suffering because she can't give back the pendant.
context: That's why you can't write.\When you write stories, you should do it more freely and irresponsibly, just following your own feelings.\I don't want to be like you, toying with people's fates for a lark!\For goodness's sake. That won't get us anywhere.\Mytho!\The raven has revived, and all of the prince's heart has returned to him except for the shard in Princess Tutu's pendant.\What?\And right now Princess Tutu is suffering because she can't give back the pendant. response:	What is this?! My hand is writing by itself...
context: When you write stories, you should do it more freely and irresponsibly, just following your own feelings.\I don't want to be like you, toying with people's fates for a lark!\For goodness's sake. That won't get us anywhere.\Mytho!\The raven has revived, and all of the prince's heart has returned to him except for the shard in Princess Tutu's pendant.\What?\And right now Princess Tutu is suffering because she can't give back the pendant.\What is this?! My hand is writing by itself... response:	You see, you have my blood running through your veins.
context: I don't want to be like you, toying with people's fates for a lark!\For goodness's sake. That won't get us anywhere.\Mytho!\The raven has revived, and all of the prince's heart has returned to him except for the shard in Princess Tutu's pendant.\What?\And right now Princess Tutu is suffering because she can't give back the pendant.\What is this?! My hand is writing by itself...\You see, you have my blood running through your veins. response:	That was the lake called Despair.
context: For goodness's sake. That won't get us anywhere.\Mytho!\The raven has revived, and all of the prince's heart has returned to him except for the shard in Princess Tutu's pendant.\What?\And right now Princess Tutu is suffering because she can't give back the pendant.\What is this?! My hand is writing by itself...\You see, you have my blood running through your veins.\That was the lake called Despair. response:	It was dark and deep, just like Ahiru's eyes...
context: Mytho!\The raven has revived, and all of the prince's heart has returned to him except for the shard in Princess Tutu's pendant.\What?\And right now Princess Tutu is suffering because she can't give back the pendant.\What is this?! My hand is writing by itself...\You see, you have my blood running through your veins.\That was the lake called Despair.\It was dark and deep, just like Ahiru's eyes... response:	What do you intend to make me write?!
context: The raven has revived, and all of the prince's heart has returned to him except for the shard in Princess Tutu's pendant.\What?\And right now Princess Tutu is suffering because she can't give back the pendant.\What is this?! My hand is writing by itself...\You see, you have my blood running through your veins.\That was the lake called Despair.\It was dark and deep, just like Ahiru's eyes...\What do you intend to make me write?! response:	The sad yet beautiful story of Little Duck.
context: What?\And right now Princess Tutu is suffering because she can't give back the pendant.\What is this?! My hand is writing by itself...\You see, you have my blood running through your veins.\That was the lake called Despair.\It was dark and deep, just like Ahiru's eyes...\What do you intend to make me write?!\The sad yet beautiful story of Little Duck. response:	What did you say?
context: And right now Princess Tutu is suffering because she can't give back the pendant.\What is this?! My hand is writing by itself...\You see, you have my blood running through your veins.\That was the lake called Despair.\It was dark and deep, just like Ahiru's eyes...\What do you intend to make me write?!\The sad yet beautiful story of Little Duck.\What did you say? response:	At that moment, Ahiru could hear a voice.
context: What is this?! My hand is writing by itself...\You see, you have my blood running through your veins.\That was the lake called Despair.\It was dark and deep, just like Ahiru's eyes...\What do you intend to make me write?!\The sad yet beautiful story of Little Duck.\What did you say?\At that moment, Ahiru could hear a voice. response:	It was the voice of Drosselmeyer, the man who controlled the story.
