context: That reporter from the Weekly Sorcerer was pretty amazing. response:	He completely ignored you, Lucy.
context: Well, I have the perfect thing for that.\All Juvia wants is for him to gaze in her direction.\Drip, drip, drop.\Well, it's not beyond the ability of my potions.\Here. Try using this.\And this is?\It's a potion that will get him to gaze at you passionately.\60,000 jewel. response:	That is quite expensive.
context: All Juvia wants is for him to gaze in her direction.\Drip, drip, drop.\Well, it's not beyond the ability of my potions.\Here. Try using this.\And this is?\It's a potion that will get him to gaze at you passionately.\60,000 jewel.\That is quite expensive. response:	If you try and haggle, then no sale.
context: Drip, drip, drop.\Well, it's not beyond the ability of my potions.\Here. Try using this.\And this is?\It's a potion that will get him to gaze at you passionately.\60,000 jewel.\That is quite expensive.\If you try and haggle, then no sale. response:	It is 100 effective, after all.
context: Well, it's not beyond the ability of my potions.\Here. Try using this.\And this is?\It's a potion that will get him to gaze at you passionately.\60,000 jewel.\That is quite expensive.\If you try and haggle, then no sale.\It is 100 effective, after all. response:	100... Passionate gaze...
context: Here. Try using this.\And this is?\It's a potion that will get him to gaze at you passionately.\60,000 jewel.\That is quite expensive.\If you try and haggle, then no sale.\It is 100 effective, after all.\100... Passionate gaze... response:	I will pay it.
context: And this is?\It's a potion that will get him to gaze at you passionately.\60,000 jewel.\That is quite expensive.\If you try and haggle, then no sale.\It is 100 effective, after all.\100... Passionate gaze...\I will pay it. response:	Drip, drip, drop.
context: It's a potion that will get him to gaze at you passionately.\60,000 jewel.\That is quite expensive.\If you try and haggle, then no sale.\It is 100 effective, after all.\100... Passionate gaze...\I will pay it.\Drip, drip, drop. response:	This mysterious potion that Juvia bought at full price
context: 60,000 jewel.\That is quite expensive.\If you try and haggle, then no sale.\It is 100 effective, after all.\100... Passionate gaze...\I will pay it.\Drip, drip, drop.\This mysterious potion that Juvia bought at full price response:	could well bring Fairy Tail to the brink of destruction.
context: That is quite expensive.\If you try and haggle, then no sale.\It is 100 effective, after all.\100... Passionate gaze...\I will pay it.\Drip, drip, drop.\This mysterious potion that Juvia bought at full price\could well bring Fairy Tail to the brink of destruction. response:	But no one is yet aware of the danger.
context: If you try and haggle, then no sale.\It is 100 effective, after all.\100... Passionate gaze...\I will pay it.\Drip, drip, drop.\This mysterious potion that Juvia bought at full price\could well bring Fairy Tail to the brink of destruction.\But no one is yet aware of the danger. response:	Special Request: Watch Out for the Guy You Like!
context: It is 100 effective, after all.\100... Passionate gaze...\I will pay it.\Drip, drip, drop.\This mysterious potion that Juvia bought at full price\could well bring Fairy Tail to the brink of destruction.\But no one is yet aware of the danger.\Special Request: Watch Out for the Guy You Like! response:	Nothing to do!
context: 100... Passionate gaze...\I will pay it.\Drip, drip, drop.\This mysterious potion that Juvia bought at full price\could well bring Fairy Tail to the brink of destruction.\But no one is yet aware of the danger.\Special Request: Watch Out for the Guy You Like!\Nothing to do! response:	Why don't you go on a job?
context: I will pay it.\Drip, drip, drop.\This mysterious potion that Juvia bought at full price\could well bring Fairy Tail to the brink of destruction.\But no one is yet aware of the danger.\Special Request: Watch Out for the Guy You Like!\Nothing to do!\Why don't you go on a job? response:	Well, Natsu said he wanted to rest for a little while.
context: Drip, drip, drop.\This mysterious potion that Juvia bought at full price\could well bring Fairy Tail to the brink of destruction.\But no one is yet aware of the danger.\Special Request: Watch Out for the Guy You Like!\Nothing to do!\Why don't you go on a job?\Well, Natsu said he wanted to rest for a little while. response:	Couldn't you go by yourself, or with some other people?
context: This mysterious potion that Juvia bought at full price\could well bring Fairy Tail to the brink of destruction.\But no one is yet aware of the danger.\Special Request: Watch Out for the Guy You Like!\Nothing to do!\Why don't you go on a job?\Well, Natsu said he wanted to rest for a little while.\Couldn't you go by yourself, or with some other people? response:	But I have a responsibility to him since we're on the same team.
context: could well bring Fairy Tail to the brink of destruction.\But no one is yet aware of the danger.\Special Request: Watch Out for the Guy You Like!\Nothing to do!\Why don't you go on a job?\Well, Natsu said he wanted to rest for a little while.\Couldn't you go by yourself, or with some other people?\But I have a responsibility to him since we're on the same team. response:	You guys really get along well.
context: But no one is yet aware of the danger.\Special Request: Watch Out for the Guy You Like!\Nothing to do!\Why don't you go on a job?\Well, Natsu said he wanted to rest for a little while.\Couldn't you go by yourself, or with some other people?\But I have a responsibility to him since we're on the same team.\You guys really get along well. response:	Like you're a couple!
context: Special Request: Watch Out for the Guy You Like!\Nothing to do!\Why don't you go on a job?\Well, Natsu said he wanted to rest for a little while.\Couldn't you go by yourself, or with some other people?\But I have a responsibility to him since we're on the same team.\You guys really get along well.\Like you're a couple! response:	We are not!
context: Nothing to do!\Why don't you go on a job?\Well, Natsu said he wanted to rest for a little while.\Couldn't you go by yourself, or with some other people?\But I have a responsibility to him since we're on the same team.\You guys really get along well.\Like you're a couple!\We are not! response:	But Natsu might really love you, Lucy.
context: Why don't you go on a job?\Well, Natsu said he wanted to rest for a little while.\Couldn't you go by yourself, or with some other people?\But I have a responsibility to him since we're on the same team.\You guys really get along well.\Like you're a couple!\We are not!\But Natsu might really love you, Lucy. response:	Even if that's the case, I think I'll pass.
context: Well, Natsu said he wanted to rest for a little while.\Couldn't you go by yourself, or with some other people?\But I have a responsibility to him since we're on the same team.\You guys really get along well.\Like you're a couple!\We are not!\But Natsu might really love you, Lucy.\Even if that's the case, I think I'll pass. response:	I think you two would be a good match, though.
context: Couldn't you go by yourself, or with some other people?\But I have a responsibility to him since we're on the same team.\You guys really get along well.\Like you're a couple!\We are not!\But Natsu might really love you, Lucy.\Even if that's the case, I think I'll pass.\I think you two would be a good match, though. response:	Hey, Natsu! We'd better go on a job soon, or else...
context: But I have a responsibility to him since we're on the same team.\You guys really get along well.\Like you're a couple!\We are not!\But Natsu might really love you, Lucy.\Even if that's the case, I think I'll pass.\I think you two would be a good match, though.\Hey, Natsu! We'd better go on a job soon, or else... response:	You, put on some clothes!
context: You guys really get along well.\Like you're a couple!\We are not!\But Natsu might really love you, Lucy.\Even if that's the case, I think I'll pass.\I think you two would be a good match, though.\Hey, Natsu! We'd better go on a job soon, or else...\You, put on some clothes! response:	Did you use too much fire and turn your brain to charcoal, Natsu?
context: Like you're a couple!\We are not!\But Natsu might really love you, Lucy.\Even if that's the case, I think I'll pass.\I think you two would be a good match, though.\Hey, Natsu! We'd better go on a job soon, or else...\You, put on some clothes!\Did you use too much fire and turn your brain to charcoal, Natsu? response:	Hey, give it a rest! You gotta take a day off once in a while, right?
context: We are not!\But Natsu might really love you, Lucy.\Even if that's the case, I think I'll pass.\I think you two would be a good match, though.\Hey, Natsu! We'd better go on a job soon, or else...\You, put on some clothes!\Did you use too much fire and turn your brain to charcoal, Natsu?\Hey, give it a rest! You gotta take a day off once in a while, right? response:	Isn't that right, Happy?
context: But Natsu might really love you, Lucy.\Even if that's the case, I think I'll pass.\I think you two would be a good match, though.\Hey, Natsu! We'd better go on a job soon, or else...\You, put on some clothes!\Did you use too much fire and turn your brain to charcoal, Natsu?\Hey, give it a rest! You gotta take a day off once in a while, right?\Isn't that right, Happy? response:	Aye!
context: Even if that's the case, I think I'll pass.\I think you two would be a good match, though.\Hey, Natsu! We'd better go on a job soon, or else...\You, put on some clothes!\Did you use too much fire and turn your brain to charcoal, Natsu?\Hey, give it a rest! You gotta take a day off once in a while, right?\Isn't that right, Happy?\Aye! response:	Refresh!
context: I think you two would be a good match, though.\Hey, Natsu! We'd better go on a job soon, or else...\You, put on some clothes!\Did you use too much fire and turn your brain to charcoal, Natsu?\Hey, give it a rest! You gotta take a day off once in a while, right?\Isn't that right, Happy?\Aye!\Refresh! response:	And to refresh, you do this!
context: Hey, Natsu! We'd better go on a job soon, or else...\You, put on some clothes!\Did you use too much fire and turn your brain to charcoal, Natsu?\Hey, give it a rest! You gotta take a day off once in a while, right?\Isn't that right, Happy?\Aye!\Refresh!\And to refresh, you do this! response:	Yeah, I don't think so.
context: You, put on some clothes!\Did you use too much fire and turn your brain to charcoal, Natsu?\Hey, give it a rest! You gotta take a day off once in a while, right?\Isn't that right, Happy?\Aye!\Refresh!\And to refresh, you do this!\Yeah, I don't think so. response:	I think you two would be a good match, though.
context: Did you use too much fire and turn your brain to charcoal, Natsu?\Hey, give it a rest! You gotta take a day off once in a while, right?\Isn't that right, Happy?\Aye!\Refresh!\And to refresh, you do this!\Yeah, I don't think so.\I think you two would be a good match, though. response:	Gray-sama...
context: Hey, give it a rest! You gotta take a day off once in a while, right?\Isn't that right, Happy?\Aye!\Refresh!\And to refresh, you do this!\Yeah, I don't think so.\I think you two would be a good match, though.\Gray-sama... response:	May your passionate gaze only be aimed at Juvia!
context: Isn't that right, Happy?\Aye!\Refresh!\And to refresh, you do this!\Yeah, I don't think so.\I think you two would be a good match, though.\Gray-sama...\May your passionate gaze only be aimed at Juvia! response:	Ah, this is so nerve-wracking!
context: Aye!\Refresh!\And to refresh, you do this!\Yeah, I don't think so.\I think you two would be a good match, though.\Gray-sama...\May your passionate gaze only be aimed at Juvia!\Ah, this is so nerve-wracking! response:	Even Juvia's hands are shaking!
context: Refresh!\And to refresh, you do this!\Yeah, I don't think so.\I think you two would be a good match, though.\Gray-sama...\May your passionate gaze only be aimed at Juvia!\Ah, this is so nerve-wracking!\Even Juvia's hands are shaking! response:	No!
context: And to refresh, you do this!\Yeah, I don't think so.\I think you two would be a good match, though.\Gray-sama...\May your passionate gaze only be aimed at Juvia!\Ah, this is so nerve-wracking!\Even Juvia's hands are shaking!\No! response:	I think you two would make a good couple, though.
context: Yeah, I don't think so.\I think you two would be a good match, though.\Gray-sama...\May your passionate gaze only be aimed at Juvia!\Ah, this is so nerve-wracking!\Even Juvia's hands are shaking!\No!\I think you two would make a good couple, though. response:	Not a chance.
context: I think you two would be a good match, though.\Gray-sama...\May your passionate gaze only be aimed at Juvia!\Ah, this is so nerve-wracking!\Even Juvia's hands are shaking!\No!\I think you two would make a good couple, though.\Not a chance. response:	Sheesh, Mira-san. Don't even joke about that.
context: Gray-sama...\May your passionate gaze only be aimed at Juvia!\Ah, this is so nerve-wracking!\Even Juvia's hands are shaking!\No!\I think you two would make a good couple, though.\Not a chance.\Sheesh, Mira-san. Don't even joke about that. response:	That's dangerous, Lucy-chan!
context: May your passionate gaze only be aimed at Juvia!\Ah, this is so nerve-wracking!\Even Juvia's hands are shaking!\No!\I think you two would make a good couple, though.\Not a chance.\Sheesh, Mira-san. Don't even joke about that.\That's dangerous, Lucy-chan! response:	I'm home!
context: Ah, this is so nerve-wracking!\Even Juvia's hands are shaking!\No!\I think you two would make a good couple, though.\Not a chance.\Sheesh, Mira-san. Don't even joke about that.\That's dangerous, Lucy-chan!\I'm home! response:	Yo!
context: Even Juvia's hands are shaking!\No!\I think you two would make a good couple, though.\Not a chance.\Sheesh, Mira-san. Don't even joke about that.\That's dangerous, Lucy-chan!\I'm home!\Yo! response:	Letting yourself in again?!
context: No!\I think you two would make a good couple, though.\Not a chance.\Sheesh, Mira-san. Don't even joke about that.\That's dangerous, Lucy-chan!\I'm home!\Yo!\Letting yourself in again?! response:	Actually, I have something important to ask you.
context: I think you two would make a good couple, though.\Not a chance.\Sheesh, Mira-san. Don't even joke about that.\That's dangerous, Lucy-chan!\I'm home!\Yo!\Letting yourself in again?!\Actually, I have something important to ask you. response:	Man, you really love my house, you know that?
context: Not a chance.\Sheesh, Mira-san. Don't even joke about that.\That's dangerous, Lucy-chan!\I'm home!\Yo!\Letting yourself in again?!\Actually, I have something important to ask you.\Man, you really love my house, you know that? response:	Love
context: Sheesh, Mira-san. Don't even joke about that.\That's dangerous, Lucy-chan!\I'm home!\Yo!\Letting yourself in again?!\Actually, I have something important to ask you.\Man, you really love my house, you know that?\Love response:	Love!!?
context: That's dangerous, Lucy-chan!\I'm home!\Yo!\Letting yourself in again?!\Actually, I have something important to ask you.\Man, you really love my house, you know that?\Love\Love!!? response:	Love.
context: I'm home!\Yo!\Letting yourself in again?!\Actually, I have something important to ask you.\Man, you really love my house, you know that?\Love\Love!!?\Love. response:	Natsu might really love you, Lucy.
context: Yo!\Letting yourself in again?!\Actually, I have something important to ask you.\Man, you really love my house, you know that?\Love\Love!!?\Love.\Natsu might really love you, Lucy. response:	Go home!
context: Letting yourself in again?!\Actually, I have something important to ask you.\Man, you really love my house, you know that?\Love\Love!!?\Love.\Natsu might really love you, Lucy.\Go home! response:	But it's important.
context: Actually, I have something important to ask you.\Man, you really love my house, you know that?\Love\Love!!?\Love.\Natsu might really love you, Lucy.\Go home!\But it's important. response:	Talk about something important
context: Man, you really love my house, you know that?\Love\Love!!?\Love.\Natsu might really love you, Lucy.\Go home!\But it's important.\Talk about something important response:	Important?
context: Love\Love!!?\Love.\Natsu might really love you, Lucy.\Go home!\But it's important.\Talk about something important\Important? response:	Go home!
context: Love!!?\Love.\Natsu might really love you, Lucy.\Go home!\But it's important.\Talk about something important\Important?\Go home! response:	What's with you?
context: Love.\Natsu might really love you, Lucy.\Go home!\But it's important.\Talk about something important\Important?\Go home!\What's with you? response:	Somebody's in a lousy mood today!
context: Natsu might really love you, Lucy.\Go home!\But it's important.\Talk about something important\Important?\Go home!\What's with you?\Somebody's in a lousy mood today! response:	Leave using the door!
context: Go home!\But it's important.\Talk about something important\Important?\Go home!\What's with you?\Somebody's in a lousy mood today!\Leave using the door! response:	Crap... What's going on here?
context: But it's important.\Talk about something important\Important?\Go home!\What's with you?\Somebody's in a lousy mood today!\Leave using the door!\Crap... What's going on here? response:	The next day.
context: Talk about something important\Important?\Go home!\What's with you?\Somebody's in a lousy mood today!\Leave using the door!\Crap... What's going on here?\The next day. response:	Nothing to do...
context: Important?\Go home!\What's with you?\Somebody's in a lousy mood today!\Leave using the door!\Crap... What's going on here?\The next day.\Nothing to do... response:	Hey there!
context: Go home!\What's with you?\Somebody's in a lousy mood today!\Leave using the door!\Crap... What's going on here?\The next day.\Nothing to do...\Hey there! response:	You feelin' better?
context: What's with you?\Somebody's in a lousy mood today!\Leave using the door!\Crap... What's going on here?\The next day.\Nothing to do...\Hey there!\You feelin' better? response:	Get off! Stop being all over me like that!
context: Somebody's in a lousy mood today!\Leave using the door!\Crap... What's going on here?\The next day.\Nothing to do...\Hey there!\You feelin' better?\Get off! Stop being all over me like that! response:	Hey, Lucy...
context: Leave using the door!\Crap... What's going on here?\The next day.\Nothing to do...\Hey there!\You feelin' better?\Get off! Stop being all over me like that!\Hey, Lucy... response:	This is bad. This is real bad.
context: Crap... What's going on here?\The next day.\Nothing to do...\Hey there!\You feelin' better?\Get off! Stop being all over me like that!\Hey, Lucy...\This is bad. This is real bad. response:	I'm being totally self conscious...
context: The next day.\Nothing to do...\Hey there!\You feelin' better?\Get off! Stop being all over me like that!\Hey, Lucy...\This is bad. This is real bad.\I'm being totally self conscious... response:	Natsu!
context: Nothing to do...\Hey there!\You feelin' better?\Get off! Stop being all over me like that!\Hey, Lucy...\This is bad. This is real bad.\I'm being totally self conscious...\Natsu! response:	That's about enough!
context: Hey there!\You feelin' better?\Get off! Stop being all over me like that!\Hey, Lucy...\This is bad. This is real bad.\I'm being totally self conscious...\Natsu!\That's about enough! response:	How long are you planning on playing around?
context: You feelin' better?\Get off! Stop being all over me like that!\Hey, Lucy...\This is bad. This is real bad.\I'm being totally self conscious...\Natsu!\That's about enough!\How long are you planning on playing around? response:	What's that?
context: Get off! Stop being all over me like that!\Hey, Lucy...\This is bad. This is real bad.\I'm being totally self conscious...\Natsu!\That's about enough!\How long are you planning on playing around?\What's that? response:	You wanna go, buddy?
context: Hey, Lucy...\This is bad. This is real bad.\I'm being totally self conscious...\Natsu!\That's about enough!\How long are you planning on playing around?\What's that?\You wanna go, buddy? response:	Fight!
context: This is bad. This is real bad.\I'm being totally self conscious...\Natsu!\That's about enough!\How long are you planning on playing around?\What's that?\You wanna go, buddy?\Fight! response:	Gray-sama...
context: I'm being totally self conscious...\Natsu!\That's about enough!\How long are you planning on playing around?\What's that?\You wanna go, buddy?\Fight!\Gray-sama... response:	Yesterday, Juvia was too nervous, she couldn't...
context: Natsu!\That's about enough!\How long are you planning on playing around?\What's that?\You wanna go, buddy?\Fight!\Gray-sama...\Yesterday, Juvia was too nervous, she couldn't... response:	But today, Juvia has made up her mind!
context: That's about enough!\How long are you planning on playing around?\What's that?\You wanna go, buddy?\Fight!\Gray-sama...\Yesterday, Juvia was too nervous, she couldn't...\But today, Juvia has made up her mind! response:	What type of potion is this?
context: How long are you planning on playing around?\What's that?\You wanna go, buddy?\Fight!\Gray-sama...\Yesterday, Juvia was too nervous, she couldn't...\But today, Juvia has made up her mind!\What type of potion is this? response:	Blow on the contents of the flask,
context: What's that?\You wanna go, buddy?\Fight!\Gray-sama...\Yesterday, Juvia was too nervous, she couldn't...\But today, Juvia has made up her mind!\What type of potion is this?\Blow on the contents of the flask, response:	and have the person you are interested in swallow just a little.
context: You wanna go, buddy?\Fight!\Gray-sama...\Yesterday, Juvia was too nervous, she couldn't...\But today, Juvia has made up her mind!\What type of potion is this?\Blow on the contents of the flask,\and have the person you are interested in swallow just a little. response:	If you do, your passionate feelings will reach them, perhaps. That's how it works.
context: Fight!\Gray-sama...\Yesterday, Juvia was too nervous, she couldn't...\But today, Juvia has made up her mind!\What type of potion is this?\Blow on the contents of the flask,\and have the person you are interested in swallow just a little.\If you do, your passionate feelings will reach them, perhaps. That's how it works. response:	Gray-sama...
context: Gray-sama...\Yesterday, Juvia was too nervous, she couldn't...\But today, Juvia has made up her mind!\What type of potion is this?\Blow on the contents of the flask,\and have the person you are interested in swallow just a little.\If you do, your passionate feelings will reach them, perhaps. That's how it works.\Gray-sama... response:	This passion burning within, growing stronger and stronger as long as you are out of reach...
context: Yesterday, Juvia was too nervous, she couldn't...\But today, Juvia has made up her mind!\What type of potion is this?\Blow on the contents of the flask,\and have the person you are interested in swallow just a little.\If you do, your passionate feelings will reach them, perhaps. That's how it works.\Gray-sama...\This passion burning within, growing stronger and stronger as long as you are out of reach... response:	Love!
context: But today, Juvia has made up her mind!\What type of potion is this?\Blow on the contents of the flask,\and have the person you are interested in swallow just a little.\If you do, your passionate feelings will reach them, perhaps. That's how it works.\Gray-sama...\This passion burning within, growing stronger and stronger as long as you are out of reach...\Love! response:	The closer Juvia gets, the more impatient she feels!
context: What type of potion is this?\Blow on the contents of the flask,\and have the person you are interested in swallow just a little.\If you do, your passionate feelings will reach them, perhaps. That's how it works.\Gray-sama...\This passion burning within, growing stronger and stronger as long as you are out of reach...\Love!\The closer Juvia gets, the more impatient she feels! response:	But today, that will all be over.
context: Blow on the contents of the flask,\and have the person you are interested in swallow just a little.\If you do, your passionate feelings will reach them, perhaps. That's how it works.\Gray-sama...\This passion burning within, growing stronger and stronger as long as you are out of reach...\Love!\The closer Juvia gets, the more impatient she feels!\But today, that will all be over. response:	Starting today, Juvia and Gray-sama will be together as one, as lovers!
context: and have the person you are interested in swallow just a little.\If you do, your passionate feelings will reach them, perhaps. That's how it works.\Gray-sama...\This passion burning within, growing stronger and stronger as long as you are out of reach...\Love!\The closer Juvia gets, the more impatient she feels!\But today, that will all be over.\Starting today, Juvia and Gray-sama will be together as one, as lovers! response:	Oh, my!
context: If you do, your passionate feelings will reach them, perhaps. That's how it works.\Gray-sama...\This passion burning within, growing stronger and stronger as long as you are out of reach...\Love!\The closer Juvia gets, the more impatient she feels!\But today, that will all be over.\Starting today, Juvia and Gray-sama will be together as one, as lovers!\Oh, my! response:	Oh, right! I don't have time for this!
context: Gray-sama...\This passion burning within, growing stronger and stronger as long as you are out of reach...\Love!\The closer Juvia gets, the more impatient she feels!\But today, that will all be over.\Starting today, Juvia and Gray-sama will be together as one, as lovers!\Oh, my!\Oh, right! I don't have time for this! response:	What's that supposed to mean?
context: This passion burning within, growing stronger and stronger as long as you are out of reach...\Love!\The closer Juvia gets, the more impatient she feels!\But today, that will all be over.\Starting today, Juvia and Gray-sama will be together as one, as lovers!\Oh, my!\Oh, right! I don't have time for this!\What's that supposed to mean? response:	It seems like Natsu has some girl he's in love with.
context: Love!\The closer Juvia gets, the more impatient she feels!\But today, that will all be over.\Starting today, Juvia and Gray-sama will be together as one, as lovers!\Oh, my!\Oh, right! I don't have time for this!\What's that supposed to mean?\It seems like Natsu has some girl he's in love with. response:	You mean our Natsu?
context: The closer Juvia gets, the more impatient she feels!\But today, that will all be over.\Starting today, Juvia and Gray-sama will be together as one, as lovers!\Oh, my!\Oh, right! I don't have time for this!\What's that supposed to mean?\It seems like Natsu has some girl he's in love with.\You mean our Natsu? response:	No way.
context: But today, that will all be over.\Starting today, Juvia and Gray-sama will be together as one, as lovers!\Oh, my!\Oh, right! I don't have time for this!\What's that supposed to mean?\It seems like Natsu has some girl he's in love with.\You mean our Natsu?\No way. response:	What a laugh.
context: Starting today, Juvia and Gray-sama will be together as one, as lovers!\Oh, my!\Oh, right! I don't have time for this!\What's that supposed to mean?\It seems like Natsu has some girl he's in love with.\You mean our Natsu?\No way.\What a laugh. response:	That's the last thing I'd expect to hear about him.
context: Oh, my!\Oh, right! I don't have time for this!\What's that supposed to mean?\It seems like Natsu has some girl he's in love with.\You mean our Natsu?\No way.\What a laugh.\That's the last thing I'd expect to hear about him. response:	It's the truth!
context: Oh, right! I don't have time for this!\What's that supposed to mean?\It seems like Natsu has some girl he's in love with.\You mean our Natsu?\No way.\What a laugh.\That's the last thing I'd expect to hear about him.\It's the truth! response:	Lately he's been all I want to see her, I want to see her!
context: What's that supposed to mean?\It seems like Natsu has some girl he's in love with.\You mean our Natsu?\No way.\What a laugh.\That's the last thing I'd expect to hear about him.\It's the truth!\Lately he's been all I want to see her, I want to see her! response:	See who?
context: It seems like Natsu has some girl he's in love with.\You mean our Natsu?\No way.\What a laugh.\That's the last thing I'd expect to hear about him.\It's the truth!\Lately he's been all I want to see her, I want to see her!\See who? response:	I don't know.
context: You mean our Natsu?\No way.\What a laugh.\That's the last thing I'd expect to hear about him.\It's the truth!\Lately he's been all I want to see her, I want to see her!\See who?\I don't know. response:	What'll I do? What'll I do?
context: No way.\What a laugh.\That's the last thing I'd expect to hear about him.\It's the truth!\Lately he's been all I want to see her, I want to see her!\See who?\I don't know.\What'll I do? What'll I do? response:	It's me!
context: What a laugh.\That's the last thing I'd expect to hear about him.\It's the truth!\Lately he's been all I want to see her, I want to see her!\See who?\I don't know.\What'll I do? What'll I do?\It's me! response:	It's not like I hate him or anything...
context: That's the last thing I'd expect to hear about him.\It's the truth!\Lately he's been all I want to see her, I want to see her!\See who?\I don't know.\What'll I do? What'll I do?\It's me!\It's not like I hate him or anything... response:	When it comes to love or dating, well, it's just...
context: It's the truth!\Lately he's been all I want to see her, I want to see her!\See who?\I don't know.\What'll I do? What'll I do?\It's me!\It's not like I hate him or anything...\When it comes to love or dating, well, it's just... response:	I've never gone out with a guy before!
context: Lately he's been all I want to see her, I want to see her!\See who?\I don't know.\What'll I do? What'll I do?\It's me!\It's not like I hate him or anything...\When it comes to love or dating, well, it's just...\I've never gone out with a guy before! response:	I want to see you.
context: See who?\I don't know.\What'll I do? What'll I do?\It's me!\It's not like I hate him or anything...\When it comes to love or dating, well, it's just...\I've never gone out with a guy before!\I want to see you. response:	Stop prettifying him, Lucy!
