context: Eek! It's so cold! response:	Well, it is the end of December.
context: Shbaa!\Yet this, indeed, is what makes a Japanese winter!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. In snuggling, we become as warm as steamed buns! Behold! Indeed!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Sylphin! What do you think you're doing?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Ebina, even you?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Now then, give it all you've got, Kirie! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Yet this, indeed, is what makes a Japanese winter!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. In snuggling, we become as warm as steamed buns! Behold! Indeed!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Sylphin! What do you think you're doing?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Ebina, even you?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Now then, give it all you've got, Kirie! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Note: They're standing back-to-back like this as a sort of children's game where a song is sang. In snuggling, we become as warm as steamed buns! Behold! Indeed!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Sylphin! What do you think you're doing?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Ebina, even you?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Now then, give it all you've got, Kirie! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Jeez! Cut that out! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Note: They're standing back-to-back like this as a sort of children's game where a song is sang. Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Sylphin! What do you think you're doing?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Ebina, even you?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Now then, give it all you've got, Kirie! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Jeez! Cut that out! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Sylphin! What do you think you're doing?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Ebina, even you?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Now then, give it all you've got, Kirie! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Jeez! Cut that out! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Usually, I feel a little sad at the end of the year, but, strangely... Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Ebina, even you?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Now then, give it all you've got, Kirie! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Jeez! Cut that out! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Usually, I feel a little sad at the end of the year, but, strangely... Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Right now, I don't feel sad at all! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Ebina, even you?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Now then, give it all you've got, Kirie! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Jeez! Cut that out! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Usually, I feel a little sad at the end of the year, but, strangely... Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Right now, I don't feel sad at all! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Now then, give it all you've got, Kirie! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Jeez! Cut that out! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Usually, I feel a little sad at the end of the year, but, strangely... Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Right now, I don't feel sad at all! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Umaru, what do you want for dinner tonight?
context: Now then, give it all you've got, Kirie! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Jeez! Cut that out! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Usually, I feel a little sad at the end of the year, but, strangely... Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Right now, I don't feel sad at all! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Umaru, what do you want for dinner tonight? response:	I can have anything at all? Well then, I want pizza!
context: Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Jeez! Cut that out! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Usually, I feel a little sad at the end of the year, but, strangely... Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Right now, I don't feel sad at all! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Umaru, what do you want for dinner tonight?\I can have anything at all? Well then, I want pizza! response:	I didn't say anything, but still... Pizza, huh?
context: Jeez! Cut that out! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Usually, I feel a little sad at the end of the year, but, strangely... Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Right now, I don't feel sad at all! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Umaru, what do you want for dinner tonight?\I can have anything at all? Well then, I want pizza!\I didn't say anything, but still... Pizza, huh? response:	Step 1 will be a brick oven.
context: Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Usually, I feel a little sad at the end of the year, but, strangely... Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Right now, I don't feel sad at all! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Umaru, what do you want for dinner tonight?\I can have anything at all? Well then, I want pizza!\I didn't say anything, but still... Pizza, huh?\Step 1 will be a brick oven. response:	What makes you think we have to start by making a brick oven?
context: Usually, I feel a little sad at the end of the year, but, strangely... Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Right now, I don't feel sad at all! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Umaru, what do you want for dinner tonight?\I can have anything at all? Well then, I want pizza!\I didn't say anything, but still... Pizza, huh?\Step 1 will be a brick oven.\What makes you think we have to start by making a brick oven? response:	We can just have it delivered.
context: Right now, I don't feel sad at all! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Umaru, what do you want for dinner tonight?\I can have anything at all? Well then, I want pizza!\I didn't say anything, but still... Pizza, huh?\Step 1 will be a brick oven.\What makes you think we have to start by making a brick oven?\We can just have it delivered. response:	Why do you always take the easy way out?
context: Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Umaru, what do you want for dinner tonight?\I can have anything at all? Well then, I want pizza!\I didn't say anything, but still... Pizza, huh?\Step 1 will be a brick oven.\What makes you think we have to start by making a brick oven?\We can just have it delivered.\Why do you always take the easy way out? response:	Making things by hand gives it a taste all its own.
context: Umaru, what do you want for dinner tonight?\I can have anything at all? Well then, I want pizza!\I didn't say anything, but still... Pizza, huh?\Step 1 will be a brick oven.\What makes you think we have to start by making a brick oven?\We can just have it delivered.\Why do you always take the easy way out?\Making things by hand gives it a taste all its own. response:	Huh? But delivery pizza was handmade by the people at the store, right?
context: I can have anything at all? Well then, I want pizza!\I didn't say anything, but still... Pizza, huh?\Step 1 will be a brick oven.\What makes you think we have to start by making a brick oven?\We can just have it delivered.\Why do you always take the easy way out?\Making things by hand gives it a taste all its own.\Huh? But delivery pizza was handmade by the people at the store, right? response:	If I can get some delicious stuff without having to make it myself, that's fine by me!
context: I didn't say anything, but still... Pizza, huh?\Step 1 will be a brick oven.\What makes you think we have to start by making a brick oven?\We can just have it delivered.\Why do you always take the easy way out?\Making things by hand gives it a taste all its own.\Huh? But delivery pizza was handmade by the people at the store, right?\If I can get some delicious stuff without having to make it myself, that's fine by me! response:	I mean, look, Big Brother! Look at all this pizza!
context: Step 1 will be a brick oven.\What makes you think we have to start by making a brick oven?\We can just have it delivered.\Why do you always take the easy way out?\Making things by hand gives it a taste all its own.\Huh? But delivery pizza was handmade by the people at the store, right?\If I can get some delicious stuff without having to make it myself, that's fine by me!\I mean, look, Big Brother! Look at all this pizza! response:	I see. So that's your thought process, huh?
context: What makes you think we have to start by making a brick oven?\We can just have it delivered.\Why do you always take the easy way out?\Making things by hand gives it a taste all its own.\Huh? But delivery pizza was handmade by the people at the store, right?\If I can get some delicious stuff without having to make it myself, that's fine by me!\I mean, look, Big Brother! Look at all this pizza!\I see. So that's your thought process, huh? response:	IN THAT CASE!
context: We can just have it delivered.\Why do you always take the easy way out?\Making things by hand gives it a taste all its own.\Huh? But delivery pizza was handmade by the people at the store, right?\If I can get some delicious stuff without having to make it myself, that's fine by me!\I mean, look, Big Brother! Look at all this pizza!\I see. So that's your thought process, huh?\IN THAT CASE! response:	B-Big Brother?
context: Why do you always take the easy way out?\Making things by hand gives it a taste all its own.\Huh? But delivery pizza was handmade by the people at the store, right?\If I can get some delicious stuff without having to make it myself, that's fine by me!\I mean, look, Big Brother! Look at all this pizza!\I see. So that's your thought process, huh?\IN THAT CASE!\B-Big Brother? response:	Listen up, Umaru: Tonight, your way of thinking will be turned on its head!
context: Making things by hand gives it a taste all its own.\Huh? But delivery pizza was handmade by the people at the store, right?\If I can get some delicious stuff without having to make it myself, that's fine by me!\I mean, look, Big Brother! Look at all this pizza!\I see. So that's your thought process, huh?\IN THAT CASE!\B-Big Brother?\Listen up, Umaru: Tonight, your way of thinking will be turned on its head! response:	What's got him so much more fired up than usual...?
context: Huh? But delivery pizza was handmade by the people at the store, right?\If I can get some delicious stuff without having to make it myself, that's fine by me!\I mean, look, Big Brother! Look at all this pizza!\I see. So that's your thought process, huh?\IN THAT CASE!\B-Big Brother?\Listen up, Umaru: Tonight, your way of thinking will be turned on its head!\What's got him so much more fired up than usual...? response:	Stir, stir, stir, stir!
context: If I can get some delicious stuff without having to make it myself, that's fine by me!\I mean, look, Big Brother! Look at all this pizza!\I see. So that's your thought process, huh?\IN THAT CASE!\B-Big Brother?\Listen up, Umaru: Tonight, your way of thinking will be turned on its head!\What's got him so much more fired up than usual...?\Stir, stir, stir, stir! response:	Whisk, whisk, whisk, whisk!
context: I mean, look, Big Brother! Look at all this pizza!\I see. So that's your thought process, huh?\IN THAT CASE!\B-Big Brother?\Listen up, Umaru: Tonight, your way of thinking will be turned on its head!\What's got him so much more fired up than usual...?\Stir, stir, stir, stir!\Whisk, whisk, whisk, whisk! response:	Sure enough, he's fired up.
context: I see. So that's your thought process, huh?\IN THAT CASE!\B-Big Brother?\Listen up, Umaru: Tonight, your way of thinking will be turned on its head!\What's got him so much more fired up than usual...?\Stir, stir, stir, stir!\Whisk, whisk, whisk, whisk!\Sure enough, he's fired up. response:	'Sup, Tanukichi?
context: IN THAT CASE!\B-Big Brother?\Listen up, Umaru: Tonight, your way of thinking will be turned on its head!\What's got him so much more fired up than usual...?\Stir, stir, stir, stir!\Whisk, whisk, whisk, whisk!\Sure enough, he's fired up.\'Sup, Tanukichi? response:	I took Taihei up on his offer to come by, Sensei.
context: B-Big Brother?\Listen up, Umaru: Tonight, your way of thinking will be turned on its head!\What's got him so much more fired up than usual...?\Stir, stir, stir, stir!\Whisk, whisk, whisk, whisk!\Sure enough, he's fired up.\'Sup, Tanukichi?\I took Taihei up on his offer to come by, Sensei. response:	He invited you...?
context: Listen up, Umaru: Tonight, your way of thinking will be turned on its head!\What's got him so much more fired up than usual...?\Stir, stir, stir, stir!\Whisk, whisk, whisk, whisk!\Sure enough, he's fired up.\'Sup, Tanukichi?\I took Taihei up on his offer to come by, Sensei.\He invited you...? response:	This will be my first time to eat something made at home.
context: What's got him so much more fired up than usual...?\Stir, stir, stir, stir!\Whisk, whisk, whisk, whisk!\Sure enough, he's fired up.\'Sup, Tanukichi?\I took Taihei up on his offer to come by, Sensei.\He invited you...?\This will be my first time to eat something made at home. response:	Taihei's cooking is totally delish!
context: Stir, stir, stir, stir!\Whisk, whisk, whisk, whisk!\Sure enough, he's fired up.\'Sup, Tanukichi?\I took Taihei up on his offer to come by, Sensei.\He invited you...?\This will be my first time to eat something made at home.\Taihei's cooking is totally delish! response:	S-so, could this be...?
context: Whisk, whisk, whisk, whisk!\Sure enough, he's fired up.\'Sup, Tanukichi?\I took Taihei up on his offer to come by, Sensei.\He invited you...?\This will be my first time to eat something made at home.\Taihei's cooking is totally delish!\S-so, could this be...? response:	Yes!
context: Sure enough, he's fired up.\'Sup, Tanukichi?\I took Taihei up on his offer to come by, Sensei.\He invited you...?\This will be my first time to eat something made at home.\Taihei's cooking is totally delish!\S-so, could this be...?\Yes! response:	Note: A dish of fried batter with cabbage and various meats. It's okonomiyaki!
context: 'Sup, Tanukichi?\I took Taihei up on his offer to come by, Sensei.\He invited you...?\This will be my first time to eat something made at home.\Taihei's cooking is totally delish!\S-so, could this be...?\Yes!\Note: A dish of fried batter with cabbage and various meats. It's okonomiyaki! response:	Wait, that's not pizza at all!
context: I took Taihei up on his offer to come by, Sensei.\He invited you...?\This will be my first time to eat something made at home.\Taihei's cooking is totally delish!\S-so, could this be...?\Yes!\Note: A dish of fried batter with cabbage and various meats. It's okonomiyaki!\Wait, that's not pizza at all! response:	Okonomiyaki is a Japanese-style pizza, right?
context: He invited you...?\This will be my first time to eat something made at home.\Taihei's cooking is totally delish!\S-so, could this be...?\Yes!\Note: A dish of fried batter with cabbage and various meats. It's okonomiyaki!\Wait, that's not pizza at all!\Okonomiyaki is a Japanese-style pizza, right? response:	No, it's not! It's totally different!
context: This will be my first time to eat something made at home.\Taihei's cooking is totally delish!\S-so, could this be...?\Yes!\Note: A dish of fried batter with cabbage and various meats. It's okonomiyaki!\Wait, that's not pizza at all!\Okonomiyaki is a Japanese-style pizza, right?\No, it's not! It's totally different! response:	Jeez, I was REALLY in the mood for pizza tonight!
context: Taihei's cooking is totally delish!\S-so, could this be...?\Yes!\Note: A dish of fried batter with cabbage and various meats. It's okonomiyaki!\Wait, that's not pizza at all!\Okonomiyaki is a Japanese-style pizza, right?\No, it's not! It's totally different!\Jeez, I was REALLY in the mood for pizza tonight! response:	Pizza! Pizza! Pizza! Pizza!
context: S-so, could this be...?\Yes!\Note: A dish of fried batter with cabbage and various meats. It's okonomiyaki!\Wait, that's not pizza at all!\Okonomiyaki is a Japanese-style pizza, right?\No, it's not! It's totally different!\Jeez, I was REALLY in the mood for pizza tonight!\Pizza! Pizza! Pizza! Pizza! response:	Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! Pizza! Pizza! Pizza!
context: Yes!\Note: A dish of fried batter with cabbage and various meats. It's okonomiyaki!\Wait, that's not pizza at all!\Okonomiyaki is a Japanese-style pizza, right?\No, it's not! It's totally different!\Jeez, I was REALLY in the mood for pizza tonight!\Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! Pizza! Pizza! Pizza! response:	Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! PIZZA! Pizza? Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! PIZZA! Pizza!
context: Note: A dish of fried batter with cabbage and various meats. It's okonomiyaki!\Wait, that's not pizza at all!\Okonomiyaki is a Japanese-style pizza, right?\No, it's not! It's totally different!\Jeez, I was REALLY in the mood for pizza tonight!\Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! PIZZA! Pizza? Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! PIZZA! Pizza! response:	Well, I say we go with shrimp or squid, or a seafood mix. Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza!
context: Wait, that's not pizza at all!\Okonomiyaki is a Japanese-style pizza, right?\No, it's not! It's totally different!\Jeez, I was REALLY in the mood for pizza tonight!\Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! PIZZA! Pizza? Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! PIZZA! Pizza!\Well, I say we go with shrimp or squid, or a seafood mix. Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! response:	Huh?
context: Okonomiyaki is a Japanese-style pizza, right?\No, it's not! It's totally different!\Jeez, I was REALLY in the mood for pizza tonight!\Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! PIZZA! Pizza? Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! PIZZA! Pizza!\Well, I say we go with shrimp or squid, or a seafood mix. Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza!\Huh? response:	Taihei, let's hear what you think. We've gotta start off with meat, right?
context: No, it's not! It's totally different!\Jeez, I was REALLY in the mood for pizza tonight!\Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! PIZZA! Pizza? Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! PIZZA! Pizza!\Well, I say we go with shrimp or squid, or a seafood mix. Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza!\Huh?\Taihei, let's hear what you think. We've gotta start off with meat, right? response:	No, it must be seafood, right?
context: Jeez, I was REALLY in the mood for pizza tonight!\Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! PIZZA! Pizza? Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! PIZZA! Pizza!\Well, I say we go with shrimp or squid, or a seafood mix. Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza!\Huh?\Taihei, let's hear what you think. We've gotta start off with meat, right?\No, it must be seafood, right? response:	Wouldn't it be best to start off with something light?
context: Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! PIZZA! Pizza? Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! PIZZA! Pizza!\Well, I say we go with shrimp or squid, or a seafood mix. Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza!\Huh?\Taihei, let's hear what you think. We've gotta start off with meat, right?\No, it must be seafood, right?\Wouldn't it be best to start off with something light? response:	Note: A pungent dish of fermented soybeans. I know! How about natto? It'll go great with scallions.
context: Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! Pizza! Pizza! Pizza!\Hey, what should we use for our first ingredient? Pork? Beef? Or how about chicken? Pizza! PIZZA! Pizza? Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! PIZZA! Pizza!\Well, I say we go with shrimp or squid, or a seafood mix. Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza! Pizza!\Huh?\Taihei, let's hear what you think. We've gotta start off with meat, right?\No, it must be seafood, right?\Wouldn't it be best to start off with something light?\Note: A pungent dish of fermented soybeans. I know! How about natto? It'll go great with scallions. response:	Huh? Natto?! A man's gotta start with meat, dude. MEAT!
