context: It's inexcusable to use music for evil. response:	I can't forgive anybody who tries to take away a man's right to love.
context: One day, a strange black cat named Luna\gave me a peculiar transforming brooch\making me into a sailor warrior.\But, she wants me to fight bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Protect the Melody of Love! Usagi is a Cupid\It stole the plant's energy, this music... response:	Queen Beryl, this music has subliminal high-frequency waves hidden inside it.
context: gave me a peculiar transforming brooch\making me into a sailor warrior.\But, she wants me to fight bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Protect the Melody of Love! Usagi is a Cupid\It stole the plant's energy, this music...\Queen Beryl, this music has subliminal high-frequency waves hidden inside it. response:	The humans that listen to this will become like the plant...
context: making me into a sailor warrior.\But, she wants me to fight bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Protect the Melody of Love! Usagi is a Cupid\It stole the plant's energy, this music...\Queen Beryl, this music has subliminal high-frequency waves hidden inside it.\The humans that listen to this will become like the plant... response:	Interesting...
context: But, she wants me to fight bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Protect the Melody of Love! Usagi is a Cupid\It stole the plant's energy, this music...\Queen Beryl, this music has subliminal high-frequency waves hidden inside it.\The humans that listen to this will become like the plant...\Interesting... response:	Try it.
context: That makes me really nervous.\Oh well, I guess everything will be okay.\Protect the Melody of Love! Usagi is a Cupid\It stole the plant's energy, this music...\Queen Beryl, this music has subliminal high-frequency waves hidden inside it.\The humans that listen to this will become like the plant...\Interesting...\Try it. response:	At once!
context: Oh well, I guess everything will be okay.\Protect the Melody of Love! Usagi is a Cupid\It stole the plant's energy, this music...\Queen Beryl, this music has subliminal high-frequency waves hidden inside it.\The humans that listen to this will become like the plant...\Interesting...\Try it.\At once! response:	Kurene.
context: Protect the Melody of Love! Usagi is a Cupid\It stole the plant's energy, this music...\Queen Beryl, this music has subliminal high-frequency waves hidden inside it.\The humans that listen to this will become like the plant...\Interesting...\Try it.\At once!\Kurene. response:	Place the high-frequency wave on this tape into the humans' music.
context: It stole the plant's energy, this music...\Queen Beryl, this music has subliminal high-frequency waves hidden inside it.\The humans that listen to this will become like the plant...\Interesting...\Try it.\At once!\Kurene.\Place the high-frequency wave on this tape into the humans' music. response:	As you wish.
context: Queen Beryl, this music has subliminal high-frequency waves hidden inside it.\The humans that listen to this will become like the plant...\Interesting...\Try it.\At once!\Kurene.\Place the high-frequency wave on this tape into the humans' music.\As you wish. response:	Jewelry
context: The humans that listen to this will become like the plant...\Interesting...\Try it.\At once!\Kurene.\Place the high-frequency wave on this tape into the humans' music.\As you wish.\Jewelry response:	Naru, this is a good song.
context: Interesting...\Try it.\At once!\Kurene.\Place the high-frequency wave on this tape into the humans' music.\As you wish.\Jewelry\Naru, this is a good song. response:	Isn't it? I highly recommend it.
context: Try it.\At once!\Kurene.\Place the high-frequency wave on this tape into the humans' music.\As you wish.\Jewelry\Naru, this is a good song.\Isn't it? I highly recommend it. response:	This is jazz, right?
context: At once!\Kurene.\Place the high-frequency wave on this tape into the humans' music.\As you wish.\Jewelry\Naru, this is a good song.\Isn't it? I highly recommend it.\This is jazz, right? response:	Naru, you are so mature.
context: Kurene.\Place the high-frequency wave on this tape into the humans' music.\As you wish.\Jewelry\Naru, this is a good song.\Isn't it? I highly recommend it.\This is jazz, right?\Naru, you are so mature. response:	I know... If you have any questions, just ask me.
context: Place the high-frequency wave on this tape into the humans' music.\As you wish.\Jewelry\Naru, this is a good song.\Isn't it? I highly recommend it.\This is jazz, right?\Naru, you are so mature.\I know... If you have any questions, just ask me. response:	Yeah, yeah.
context: As you wish.\Jewelry\Naru, this is a good song.\Isn't it? I highly recommend it.\This is jazz, right?\Naru, you are so mature.\I know... If you have any questions, just ask me.\Yeah, yeah. response:	Hmm, Yusuke Amade, huh?
context: Jewelry\Naru, this is a good song.\Isn't it? I highly recommend it.\This is jazz, right?\Naru, you are so mature.\I know... If you have any questions, just ask me.\Yeah, yeah.\Hmm, Yusuke Amade, huh? response:	Isn't he great?
context: Naru, this is a good song.\Isn't it? I highly recommend it.\This is jazz, right?\Naru, you are so mature.\I know... If you have any questions, just ask me.\Yeah, yeah.\Hmm, Yusuke Amade, huh?\Isn't he great? response:	He's probably a wonderful and mature man.
context: Isn't it? I highly recommend it.\This is jazz, right?\Naru, you are so mature.\I know... If you have any questions, just ask me.\Yeah, yeah.\Hmm, Yusuke Amade, huh?\Isn't he great?\He's probably a wonderful and mature man. response:	I'd like to go out with him.
context: This is jazz, right?\Naru, you are so mature.\I know... If you have any questions, just ask me.\Yeah, yeah.\Hmm, Yusuke Amade, huh?\Isn't he great?\He's probably a wonderful and mature man.\I'd like to go out with him. response:	I'll pass.
context: Naru, you are so mature.\I know... If you have any questions, just ask me.\Yeah, yeah.\Hmm, Yusuke Amade, huh?\Isn't he great?\He's probably a wonderful and mature man.\I'd like to go out with him.\I'll pass. response:	They'd turn you down first.
context: I know... If you have any questions, just ask me.\Yeah, yeah.\Hmm, Yusuke Amade, huh?\Isn't he great?\He's probably a wonderful and mature man.\I'd like to go out with him.\I'll pass.\They'd turn you down first. response:	Today... Today, I'm going to confess.
context: Yeah, yeah.\Hmm, Yusuke Amade, huh?\Isn't he great?\He's probably a wonderful and mature man.\I'd like to go out with him.\I'll pass.\They'd turn you down first.\Today... Today, I'm going to confess. response:	Jam Records
context: Hmm, Yusuke Amade, huh?\Isn't he great?\He's probably a wonderful and mature man.\I'd like to go out with him.\I'll pass.\They'd turn you down first.\Today... Today, I'm going to confess.\Jam Records response:	The stereo that plays this tape will become infected with the evil virus.
context: Isn't he great?\He's probably a wonderful and mature man.\I'd like to go out with him.\I'll pass.\They'd turn you down first.\Today... Today, I'm going to confess.\Jam Records\The stereo that plays this tape will become infected with the evil virus. response:	In other words, any music recorded in this studio
context: He's probably a wonderful and mature man.\I'd like to go out with him.\I'll pass.\They'd turn you down first.\Today... Today, I'm going to confess.\Jam Records\The stereo that plays this tape will become infected with the evil virus.\In other words, any music recorded in this studio response:	will have the subliminal high-frequency wave in it.
context: I'd like to go out with him.\I'll pass.\They'd turn you down first.\Today... Today, I'm going to confess.\Jam Records\The stereo that plays this tape will become infected with the evil virus.\In other words, any music recorded in this studio\will have the subliminal high-frequency wave in it. response:	Here it is!
context: I'll pass.\They'd turn you down first.\Today... Today, I'm going to confess.\Jam Records\The stereo that plays this tape will become infected with the evil virus.\In other words, any music recorded in this studio\will have the subliminal high-frequency wave in it.\Here it is! response:	I can't believe I left it here.
context: They'd turn you down first.\Today... Today, I'm going to confess.\Jam Records\The stereo that plays this tape will become infected with the evil virus.\In other words, any music recorded in this studio\will have the subliminal high-frequency wave in it.\Here it is!\I can't believe I left it here. response:	Yusuke is going to be mad at me.
context: Today... Today, I'm going to confess.\Jam Records\The stereo that plays this tape will become infected with the evil virus.\In other words, any music recorded in this studio\will have the subliminal high-frequency wave in it.\Here it is!\I can't believe I left it here.\Yusuke is going to be mad at me. response:	Ms. Akiko.
context: Jam Records\The stereo that plays this tape will become infected with the evil virus.\In other words, any music recorded in this studio\will have the subliminal high-frequency wave in it.\Here it is!\I can't believe I left it here.\Yusuke is going to be mad at me.\Ms. Akiko. response:	Mr. Amade is here to see you. He is in the lobby on the first floor.
context: The stereo that plays this tape will become infected with the evil virus.\In other words, any music recorded in this studio\will have the subliminal high-frequency wave in it.\Here it is!\I can't believe I left it here.\Yusuke is going to be mad at me.\Ms. Akiko.\Mr. Amade is here to see you. He is in the lobby on the first floor. response:	I'm coming.
context: In other words, any music recorded in this studio\will have the subliminal high-frequency wave in it.\Here it is!\I can't believe I left it here.\Yusuke is going to be mad at me.\Ms. Akiko.\Mr. Amade is here to see you. He is in the lobby on the first floor.\I'm coming. response:	Yusuke didn't have to come on such a rainy day like this.
context: will have the subliminal high-frequency wave in it.\Here it is!\I can't believe I left it here.\Yusuke is going to be mad at me.\Ms. Akiko.\Mr. Amade is here to see you. He is in the lobby on the first floor.\I'm coming.\Yusuke didn't have to come on such a rainy day like this. response:	Yusuke!
context: Here it is!\I can't believe I left it here.\Yusuke is going to be mad at me.\Ms. Akiko.\Mr. Amade is here to see you. He is in the lobby on the first floor.\I'm coming.\Yusuke didn't have to come on such a rainy day like this.\Yusuke! response:	Oh my, you're soaked.
context: I can't believe I left it here.\Yusuke is going to be mad at me.\Ms. Akiko.\Mr. Amade is here to see you. He is in the lobby on the first floor.\I'm coming.\Yusuke didn't have to come on such a rainy day like this.\Yusuke!\Oh my, you're soaked. response:	You didn't use an umbrella?
context: Yusuke is going to be mad at me.\Ms. Akiko.\Mr. Amade is here to see you. He is in the lobby on the first floor.\I'm coming.\Yusuke didn't have to come on such a rainy day like this.\Yusuke!\Oh my, you're soaked.\You didn't use an umbrella? response:	You were probably too busy thinking about music, weren't you?
context: Ms. Akiko.\Mr. Amade is here to see you. He is in the lobby on the first floor.\I'm coming.\Yusuke didn't have to come on such a rainy day like this.\Yusuke!\Oh my, you're soaked.\You didn't use an umbrella?\You were probably too busy thinking about music, weren't you? response:	Uh, yeah.
context: Mr. Amade is here to see you. He is in the lobby on the first floor.\I'm coming.\Yusuke didn't have to come on such a rainy day like this.\Yusuke!\Oh my, you're soaked.\You didn't use an umbrella?\You were probably too busy thinking about music, weren't you?\Uh, yeah. response:	Here is the demo tape from the other day.
context: I'm coming.\Yusuke didn't have to come on such a rainy day like this.\Yusuke!\Oh my, you're soaked.\You didn't use an umbrella?\You were probably too busy thinking about music, weren't you?\Uh, yeah.\Here is the demo tape from the other day. response:	It was really good. Let's discuss the recording next week or so.
context: Yusuke didn't have to come on such a rainy day like this.\Yusuke!\Oh my, you're soaked.\You didn't use an umbrella?\You were probably too busy thinking about music, weren't you?\Uh, yeah.\Here is the demo tape from the other day.\It was really good. Let's discuss the recording next week or so. response:	Um, it's your birthday today, right?
context: Yusuke!\Oh my, you're soaked.\You didn't use an umbrella?\You were probably too busy thinking about music, weren't you?\Uh, yeah.\Here is the demo tape from the other day.\It was really good. Let's discuss the recording next week or so.\Um, it's your birthday today, right? response:	Oh, you're right...
context: Oh my, you're soaked.\You didn't use an umbrella?\You were probably too busy thinking about music, weren't you?\Uh, yeah.\Here is the demo tape from the other day.\It was really good. Let's discuss the recording next week or so.\Um, it's your birthday today, right?\Oh, you're right... response:	Ms. Akiko!
context: You didn't use an umbrella?\You were probably too busy thinking about music, weren't you?\Uh, yeah.\Here is the demo tape from the other day.\It was really good. Let's discuss the recording next week or so.\Um, it's your birthday today, right?\Oh, you're right...\Ms. Akiko! response:	It's terrible! We made a mistake with the mixing.
context: You were probably too busy thinking about music, weren't you?\Uh, yeah.\Here is the demo tape from the other day.\It was really good. Let's discuss the recording next week or so.\Um, it's your birthday today, right?\Oh, you're right...\Ms. Akiko!\It's terrible! We made a mistake with the mixing. response:	What? Again?
context: Uh, yeah.\Here is the demo tape from the other day.\It was really good. Let's discuss the recording next week or so.\Um, it's your birthday today, right?\Oh, you're right...\Ms. Akiko!\It's terrible! We made a mistake with the mixing.\What? Again? response:	Sorry, I've got to go already.
context: Here is the demo tape from the other day.\It was really good. Let's discuss the recording next week or so.\Um, it's your birthday today, right?\Oh, you're right...\Ms. Akiko!\It's terrible! We made a mistake with the mixing.\What? Again?\Sorry, I've got to go already. response:	I'm working late again tonight.
context: It was really good. Let's discuss the recording next week or so.\Um, it's your birthday today, right?\Oh, you're right...\Ms. Akiko!\It's terrible! We made a mistake with the mixing.\What? Again?\Sorry, I've got to go already.\I'm working late again tonight. response:	Here.
context: Um, it's your birthday today, right?\Oh, you're right...\Ms. Akiko!\It's terrible! We made a mistake with the mixing.\What? Again?\Sorry, I've got to go already.\I'm working late again tonight.\Here. response:	Use my umbrella on your way home. It's the pink one at the entrance.
context: Oh, you're right...\Ms. Akiko!\It's terrible! We made a mistake with the mixing.\What? Again?\Sorry, I've got to go already.\I'm working late again tonight.\Here.\Use my umbrella on your way home. It's the pink one at the entrance. response:	And think of a title by next week!
context: Ms. Akiko!\It's terrible! We made a mistake with the mixing.\What? Again?\Sorry, I've got to go already.\I'm working late again tonight.\Here.\Use my umbrella on your way home. It's the pink one at the entrance.\And think of a title by next week! response:	Okay?
context: It's terrible! We made a mistake with the mixing.\What? Again?\Sorry, I've got to go already.\I'm working late again tonight.\Here.\Use my umbrella on your way home. It's the pink one at the entrance.\And think of a title by next week!\Okay? response:	Look more carefully...
context: What? Again?\Sorry, I've got to go already.\I'm working late again tonight.\Here.\Use my umbrella on your way home. It's the pink one at the entrance.\And think of a title by next week!\Okay?\Look more carefully... response:	I wrote the title. It says, A Waltz for Akiko.
context: Sorry, I've got to go already.\I'm working late again tonight.\Here.\Use my umbrella on your way home. It's the pink one at the entrance.\And think of a title by next week!\Okay?\Look more carefully...\I wrote the title. It says, A Waltz for Akiko. response:	What annoying rain.
context: I'm working late again tonight.\Here.\Use my umbrella on your way home. It's the pink one at the entrance.\And think of a title by next week!\Okay?\Look more carefully...\I wrote the title. It says, A Waltz for Akiko.\What annoying rain. response:	They do say spring showers are long.
context: Here.\Use my umbrella on your way home. It's the pink one at the entrance.\And think of a title by next week!\Okay?\Look more carefully...\I wrote the title. It says, A Waltz for Akiko.\What annoying rain.\They do say spring showers are long. response:	Oh well.
context: Use my umbrella on your way home. It's the pink one at the entrance.\And think of a title by next week!\Okay?\Look more carefully...\I wrote the title. It says, A Waltz for Akiko.\What annoying rain.\They do say spring showers are long.\Oh well. response:	Well, I'll see you at school tomorrow.
context: And think of a title by next week!\Okay?\Look more carefully...\I wrote the title. It says, A Waltz for Akiko.\What annoying rain.\They do say spring showers are long.\Oh well.\Well, I'll see you at school tomorrow. response:	Okay, bye.
context: Okay?\Look more carefully...\I wrote the title. It says, A Waltz for Akiko.\What annoying rain.\They do say spring showers are long.\Oh well.\Well, I'll see you at school tomorrow.\Okay, bye. response:	Maybe I'll play a little.
context: Look more carefully...\I wrote the title. It says, A Waltz for Akiko.\What annoying rain.\They do say spring showers are long.\Oh well.\Well, I'll see you at school tomorrow.\Okay, bye.\Maybe I'll play a little. response:	You shouldn't be at an arcade so late at night.
context: I wrote the title. It says, A Waltz for Akiko.\What annoying rain.\They do say spring showers are long.\Oh well.\Well, I'll see you at school tomorrow.\Okay, bye.\Maybe I'll play a little.\You shouldn't be at an arcade so late at night. response:	Come on, it's only for a little bit.
context: What annoying rain.\They do say spring showers are long.\Oh well.\Well, I'll see you at school tomorrow.\Okay, bye.\Maybe I'll play a little.\You shouldn't be at an arcade so late at night.\Come on, it's only for a little bit. response:	Honestly!
context: They do say spring showers are long.\Oh well.\Well, I'll see you at school tomorrow.\Okay, bye.\Maybe I'll play a little.\You shouldn't be at an arcade so late at night.\Come on, it's only for a little bit.\Honestly! response:	Look out!
context: Oh well.\Well, I'll see you at school tomorrow.\Okay, bye.\Maybe I'll play a little.\You shouldn't be at an arcade so late at night.\Come on, it's only for a little bit.\Honestly!\Look out! response:	What? Look out!
context: Well, I'll see you at school tomorrow.\Okay, bye.\Maybe I'll play a little.\You shouldn't be at an arcade so late at night.\Come on, it's only for a little bit.\Honestly!\Look out!\What? Look out! response:	What?
context: Okay, bye.\Maybe I'll play a little.\You shouldn't be at an arcade so late at night.\Come on, it's only for a little bit.\Honestly!\Look out!\What? Look out!\What? response:	Oh, my new outfit is all wet!
context: Maybe I'll play a little.\You shouldn't be at an arcade so late at night.\Come on, it's only for a little bit.\Honestly!\Look out!\What? Look out!\What?\Oh, my new outfit is all wet! response:	Ouch!
context: You shouldn't be at an arcade so late at night.\Come on, it's only for a little bit.\Honestly!\Look out!\What? Look out!\What?\Oh, my new outfit is all wet!\Ouch! response:	You!
context: Come on, it's only for a little bit.\Honestly!\Look out!\What? Look out!\What?\Oh, my new outfit is all wet!\Ouch!\You! response:	Help me! Don't kill me. Please don't... Not my life!
context: Honestly!\Look out!\What? Look out!\What?\Oh, my new outfit is all wet!\Ouch!\You!\Help me! Don't kill me. Please don't... Not my life! response:	Wait a second...
context: Look out!\What? Look out!\What?\Oh, my new outfit is all wet!\Ouch!\You!\Help me! Don't kill me. Please don't... Not my life!\Wait a second... response:	I'm not going to kill you.
context: What? Look out!\What?\Oh, my new outfit is all wet!\Ouch!\You!\Help me! Don't kill me. Please don't... Not my life!\Wait a second...\I'm not going to kill you. response:	Huh?
context: What?\Oh, my new outfit is all wet!\Ouch!\You!\Help me! Don't kill me. Please don't... Not my life!\Wait a second...\I'm not going to kill you.\Huh? response:	What? You're being targeted?
context: Oh, my new outfit is all wet!\Ouch!\You!\Help me! Don't kill me. Please don't... Not my life!\Wait a second...\I'm not going to kill you.\Huh?\What? You're being targeted? response:	Yeah, and you probably wouldn't believe me, but...
context: Ouch!\You!\Help me! Don't kill me. Please don't... Not my life!\Wait a second...\I'm not going to kill you.\Huh?\What? You're being targeted?\Yeah, and you probably wouldn't believe me, but... response:	What is it?
context: You!\Help me! Don't kill me. Please don't... Not my life!\Wait a second...\I'm not going to kill you.\Huh?\What? You're being targeted?\Yeah, and you probably wouldn't believe me, but...\What is it? response:	The thing that is after me is actually...
context: Help me! Don't kill me. Please don't... Not my life!\Wait a second...\I'm not going to kill you.\Huh?\What? You're being targeted?\Yeah, and you probably wouldn't believe me, but...\What is it?\The thing that is after me is actually... response:	A monster...
context: Wait a second...\I'm not going to kill you.\Huh?\What? You're being targeted?\Yeah, and you probably wouldn't believe me, but...\What is it?\The thing that is after me is actually...\A monster... response:	A monster?!
context: I'm not going to kill you.\Huh?\What? You're being targeted?\Yeah, and you probably wouldn't believe me, but...\What is it?\The thing that is after me is actually...\A monster...\A monster?! response:	Yeah...
context: Huh?\What? You're being targeted?\Yeah, and you probably wouldn't believe me, but...\What is it?\The thing that is after me is actually...\A monster...\A monster?!\Yeah... response:	It was probably my imagination.
context: What? You're being targeted?\Yeah, and you probably wouldn't believe me, but...\What is it?\The thing that is after me is actually...\A monster...\A monster?!\Yeah...\It was probably my imagination. response:	Sorry for telling you such a stupid story.
context: Yeah, and you probably wouldn't believe me, but...\What is it?\The thing that is after me is actually...\A monster...\A monster?!\Yeah...\It was probably my imagination.\Sorry for telling you such a stupid story. response:	This is fine.
context: What is it?\The thing that is after me is actually...\A monster...\A monster?!\Yeah...\It was probably my imagination.\Sorry for telling you such a stupid story.\This is fine. response:	What? This is fine.
context: The thing that is after me is actually...\A monster...\A monster?!\Yeah...\It was probably my imagination.\Sorry for telling you such a stupid story.\This is fine.\What? This is fine. response:	What? I've got a job at that music club.
context: A monster...\A monster?!\Yeah...\It was probably my imagination.\Sorry for telling you such a stupid story.\This is fine.\What? This is fine.\What? I've got a job at that music club. response:	I've got a job at that music club.
context: A monster?!\Yeah...\It was probably my imagination.\Sorry for telling you such a stupid story.\This is fine.\What? This is fine.\What? I've got a job at that music club.\I've got a job at that music club. response:	Music club?
context: Yeah...\It was probably my imagination.\Sorry for telling you such a stupid story.\This is fine.\What? This is fine.\What? I've got a job at that music club.\I've got a job at that music club.\Music club? response:	Oh yeah, dry cleaning money...
context: It was probably my imagination.\Sorry for telling you such a stupid story.\This is fine.\What? This is fine.\What? I've got a job at that music club.\I've got a job at that music club.\Music club?\Oh yeah, dry cleaning money... response:	Sorry, I don't have any money with me right now.
context: Sorry for telling you such a stupid story.\This is fine.\What? This is fine.\What? I've got a job at that music club.\I've got a job at that music club.\Music club?\Oh yeah, dry cleaning money...\Sorry, I don't have any money with me right now. response:	Will you call me at this number later?
context: This is fine.\What? This is fine.\What? I've got a job at that music club.\I've got a job at that music club.\Music club?\Oh yeah, dry cleaning money...\Sorry, I don't have any money with me right now.\Will you call me at this number later? response:	Pianist Yusuke Amade Will you call me at this number later?
context: What? This is fine.\What? I've got a job at that music club.\I've got a job at that music club.\Music club?\Oh yeah, dry cleaning money...\Sorry, I don't have any money with me right now.\Will you call me at this number later?\Pianist Yusuke Amade Will you call me at this number later? response:	Pianist Yusuke Amade
context: What? I've got a job at that music club.\I've got a job at that music club.\Music club?\Oh yeah, dry cleaning money...\Sorry, I don't have any money with me right now.\Will you call me at this number later?\Pianist Yusuke Amade Will you call me at this number later?\Pianist Yusuke Amade response:	Pianist Yusuke Amade Yusuke Amade...
context: I've got a job at that music club.\Music club?\Oh yeah, dry cleaning money...\Sorry, I don't have any money with me right now.\Will you call me at this number later?\Pianist Yusuke Amade Will you call me at this number later?\Pianist Yusuke Amade\Pianist Yusuke Amade Yusuke Amade... response:	Yusuke Amade...
