context: Memorial Corner Aina Sakurai response:	Wow, this girl died.
context: Rest in peace, Aina-chan.\Rest in peace.\Rest in peace.\Rest in peace.\Just you watch, Nobu.\Next time, I'm gonna avenge you in that robot for sure.\I'll avenge you, you hear?\REST IN PEACE response:	Tokishima Haruto
context: Rest in peace.\Rest in peace.\Rest in peace.\Just you watch, Nobu.\Next time, I'm gonna avenge you in that robot for sure.\I'll avenge you, you hear?\REST IN PEACE\Tokishima Haruto response:	L-elf Karlstein
context: Rest in peace.\Rest in peace.\Just you watch, Nobu.\Next time, I'm gonna avenge you in that robot for sure.\I'll avenge you, you hear?\REST IN PEACE\Tokishima Haruto\L-elf Karlstein response:	I've worked out everyone's assignments.
context: Rest in peace.\Just you watch, Nobu.\Next time, I'm gonna avenge you in that robot for sure.\I'll avenge you, you hear?\REST IN PEACE\Tokishima Haruto\L-elf Karlstein\I've worked out everyone's assignments. response:	Navigation, Gunnery, Communications, Radar, Engineering, Shields.
context: Just you watch, Nobu.\Next time, I'm gonna avenge you in that robot for sure.\I'll avenge you, you hear?\REST IN PEACE\Tokishima Haruto\L-elf Karlstein\I've worked out everyone's assignments.\Navigation, Gunnery, Communications, Radar, Engineering, Shields. response:	Are you sure you want to let me work up the battle station assignments?
context: Next time, I'm gonna avenge you in that robot for sure.\I'll avenge you, you hear?\REST IN PEACE\Tokishima Haruto\L-elf Karlstein\I've worked out everyone's assignments.\Navigation, Gunnery, Communications, Radar, Engineering, Shields.\Are you sure you want to let me work up the battle station assignments? response:	I'm asking you to do it because I think that's the best way to minimize loss of life.
context: I'll avenge you, you hear?\REST IN PEACE\Tokishima Haruto\L-elf Karlstein\I've worked out everyone's assignments.\Navigation, Gunnery, Communications, Radar, Engineering, Shields.\Are you sure you want to let me work up the battle station assignments?\I'm asking you to do it because I think that's the best way to minimize loss of life. response:	Aina Sakurai, huh?
context: REST IN PEACE\Tokishima Haruto\L-elf Karlstein\I've worked out everyone's assignments.\Navigation, Gunnery, Communications, Radar, Engineering, Shields.\Are you sure you want to let me work up the battle station assignments?\I'm asking you to do it because I think that's the best way to minimize loss of life.\Aina Sakurai, huh? response:	I've decided to believe.
context: Tokishima Haruto\L-elf Karlstein\I've worked out everyone's assignments.\Navigation, Gunnery, Communications, Radar, Engineering, Shields.\Are you sure you want to let me work up the battle station assignments?\I'm asking you to do it because I think that's the best way to minimize loss of life.\Aina Sakurai, huh?\I've decided to believe. response:	That you also have something precious to you.
context: L-elf Karlstein\I've worked out everyone's assignments.\Navigation, Gunnery, Communications, Radar, Engineering, Shields.\Are you sure you want to let me work up the battle station assignments?\I'm asking you to do it because I think that's the best way to minimize loss of life.\Aina Sakurai, huh?\I've decided to believe.\That you also have something precious to you. response:	It looks like the intervals between attacks are growing shorter...
context: I've worked out everyone's assignments.\Navigation, Gunnery, Communications, Radar, Engineering, Shields.\Are you sure you want to let me work up the battle station assignments?\I'm asking you to do it because I think that's the best way to minimize loss of life.\Aina Sakurai, huh?\I've decided to believe.\That you also have something precious to you.\It looks like the intervals between attacks are growing shorter... response:	I'm hungry.
context: Navigation, Gunnery, Communications, Radar, Engineering, Shields.\Are you sure you want to let me work up the battle station assignments?\I'm asking you to do it because I think that's the best way to minimize loss of life.\Aina Sakurai, huh?\I've decided to believe.\That you also have something precious to you.\It looks like the intervals between attacks are growing shorter...\I'm hungry. response:	Training Journal. Rion Nanami.
context: Are you sure you want to let me work up the battle station assignments?\I'm asking you to do it because I think that's the best way to minimize loss of life.\Aina Sakurai, huh?\I've decided to believe.\That you also have something precious to you.\It looks like the intervals between attacks are growing shorter...\I'm hungry.\Training Journal. Rion Nanami. response:	Module 77 is en route to the Moon which is neutral territory.
context: I'm asking you to do it because I think that's the best way to minimize loss of life.\Aina Sakurai, huh?\I've decided to believe.\That you also have something precious to you.\It looks like the intervals between attacks are growing shorter...\I'm hungry.\Training Journal. Rion Nanami.\Module 77 is en route to the Moon which is neutral territory. response:	The students have begun military drills in order to prepare for battle.
context: Aina Sakurai, huh?\I've decided to believe.\That you also have something precious to you.\It looks like the intervals between attacks are growing shorter...\I'm hungry.\Training Journal. Rion Nanami.\Module 77 is en route to the Moon which is neutral territory.\The students have begun military drills in order to prepare for battle. response:	The person who drew up the drill regimen was none other than L-elf, our country's first refugee.
context: I've decided to believe.\That you also have something precious to you.\It looks like the intervals between attacks are growing shorter...\I'm hungry.\Training Journal. Rion Nanami.\Module 77 is en route to the Moon which is neutral territory.\The students have begun military drills in order to prepare for battle.\The person who drew up the drill regimen was none other than L-elf, our country's first refugee. response:	I think the reason that the students have been so surprisingly quick to accept his instructions
context: That you also have something precious to you.\It looks like the intervals between attacks are growing shorter...\I'm hungry.\Training Journal. Rion Nanami.\Module 77 is en route to the Moon which is neutral territory.\The students have begun military drills in order to prepare for battle.\The person who drew up the drill regimen was none other than L-elf, our country's first refugee.\I think the reason that the students have been so surprisingly quick to accept his instructions response:	is that they don't want to see anyone else die.
context: It looks like the intervals between attacks are growing shorter...\I'm hungry.\Training Journal. Rion Nanami.\Module 77 is en route to the Moon which is neutral territory.\The students have begun military drills in order to prepare for battle.\The person who drew up the drill regimen was none other than L-elf, our country's first refugee.\I think the reason that the students have been so surprisingly quick to accept his instructions\is that they don't want to see anyone else die. response:	I myself am teaching first-aid procedures.
context: I'm hungry.\Training Journal. Rion Nanami.\Module 77 is en route to the Moon which is neutral territory.\The students have begun military drills in order to prepare for battle.\The person who drew up the drill regimen was none other than L-elf, our country's first refugee.\I think the reason that the students have been so surprisingly quick to accept his instructions\is that they don't want to see anyone else die.\I myself am teaching first-aid procedures. response:	Though I hate the thought of any of my students being hurt...
context: Training Journal. Rion Nanami.\Module 77 is en route to the Moon which is neutral territory.\The students have begun military drills in order to prepare for battle.\The person who drew up the drill regimen was none other than L-elf, our country's first refugee.\I think the reason that the students have been so surprisingly quick to accept his instructions\is that they don't want to see anyone else die.\I myself am teaching first-aid procedures.\Though I hate the thought of any of my students being hurt... response:	I take some comfort in the fact that lessons are still being conducted in the classrooms.
context: Module 77 is en route to the Moon which is neutral territory.\The students have begun military drills in order to prepare for battle.\The person who drew up the drill regimen was none other than L-elf, our country's first refugee.\I think the reason that the students have been so surprisingly quick to accept his instructions\is that they don't want to see anyone else die.\I myself am teaching first-aid procedures.\Though I hate the thought of any of my students being hurt...\I take some comfort in the fact that lessons are still being conducted in the classrooms. response:	Inuzuka, quit looking at those stock prices or whatever!
context: The students have begun military drills in order to prepare for battle.\The person who drew up the drill regimen was none other than L-elf, our country's first refugee.\I think the reason that the students have been so surprisingly quick to accept his instructions\is that they don't want to see anyone else die.\I myself am teaching first-aid procedures.\Though I hate the thought of any of my students being hurt...\I take some comfort in the fact that lessons are still being conducted in the classrooms.\Inuzuka, quit looking at those stock prices or whatever! response:	Intruder detected in the Pit!
context: The person who drew up the drill regimen was none other than L-elf, our country's first refugee.\I think the reason that the students have been so surprisingly quick to accept his instructions\is that they don't want to see anyone else die.\I myself am teaching first-aid procedures.\Though I hate the thought of any of my students being hurt...\I take some comfort in the fact that lessons are still being conducted in the classrooms.\Inuzuka, quit looking at those stock prices or whatever!\Intruder detected in the Pit! response:	I repeat, intruder detected in the Pit!
context: I think the reason that the students have been so surprisingly quick to accept his instructions\is that they don't want to see anyone else die.\I myself am teaching first-aid procedures.\Though I hate the thought of any of my students being hurt...\I take some comfort in the fact that lessons are still being conducted in the classrooms.\Inuzuka, quit looking at those stock prices or whatever!\Intruder detected in the Pit!\I repeat, intruder detected in the Pit! response:	An enemy?
context: is that they don't want to see anyone else die.\I myself am teaching first-aid procedures.\Though I hate the thought of any of my students being hurt...\I take some comfort in the fact that lessons are still being conducted in the classrooms.\Inuzuka, quit looking at those stock prices or whatever!\Intruder detected in the Pit!\I repeat, intruder detected in the Pit!\An enemy? response:	Our intruder was Yamada, huh?
context: I myself am teaching first-aid procedures.\Though I hate the thought of any of my students being hurt...\I take some comfort in the fact that lessons are still being conducted in the classrooms.\Inuzuka, quit looking at those stock prices or whatever!\Intruder detected in the Pit!\I repeat, intruder detected in the Pit!\An enemy?\Our intruder was Yamada, huh? response:	This is the fifth time. When is he gonna learn?
context: Though I hate the thought of any of my students being hurt...\I take some comfort in the fact that lessons are still being conducted in the classrooms.\Inuzuka, quit looking at those stock prices or whatever!\Intruder detected in the Pit!\I repeat, intruder detected in the Pit!\An enemy?\Our intruder was Yamada, huh?\This is the fifth time. When is he gonna learn? response:	I get it. He wants to use this to
context: I take some comfort in the fact that lessons are still being conducted in the classrooms.\Inuzuka, quit looking at those stock prices or whatever!\Intruder detected in the Pit!\I repeat, intruder detected in the Pit!\An enemy?\Our intruder was Yamada, huh?\This is the fifth time. When is he gonna learn?\I get it. He wants to use this to response:	He wants to use it to get revenge with his own two hands.
context: Inuzuka, quit looking at those stock prices or whatever!\Intruder detected in the Pit!\I repeat, intruder detected in the Pit!\An enemy?\Our intruder was Yamada, huh?\This is the fifth time. When is he gonna learn?\I get it. He wants to use this to\He wants to use it to get revenge with his own two hands. response:	Pathetic.
context: Intruder detected in the Pit!\I repeat, intruder detected in the Pit!\An enemy?\Our intruder was Yamada, huh?\This is the fifth time. When is he gonna learn?\I get it. He wants to use this to\He wants to use it to get revenge with his own two hands.\Pathetic. response:	Hang on.
context: I repeat, intruder detected in the Pit!\An enemy?\Our intruder was Yamada, huh?\This is the fifth time. When is he gonna learn?\I get it. He wants to use this to\He wants to use it to get revenge with his own two hands.\Pathetic.\Hang on. response:	Wanting to avenge a friend's death is pathetic?
context: An enemy?\Our intruder was Yamada, huh?\This is the fifth time. When is he gonna learn?\I get it. He wants to use this to\He wants to use it to get revenge with his own two hands.\Pathetic.\Hang on.\Wanting to avenge a friend's death is pathetic? response:	These machines have a registration system.
context: Our intruder was Yamada, huh?\This is the fifth time. When is he gonna learn?\I get it. He wants to use this to\He wants to use it to get revenge with his own two hands.\Pathetic.\Hang on.\Wanting to avenge a friend's death is pathetic?\These machines have a registration system. response:	Once one pilot uses it, it can't be changed over to another.
context: This is the fifth time. When is he gonna learn?\I get it. He wants to use this to\He wants to use it to get revenge with his own two hands.\Pathetic.\Hang on.\Wanting to avenge a friend's death is pathetic?\These machines have a registration system.\Once one pilot uses it, it can't be changed over to another. response:	What about it?
context: I get it. He wants to use this to\He wants to use it to get revenge with his own two hands.\Pathetic.\Hang on.\Wanting to avenge a friend's death is pathetic?\These machines have a registration system.\Once one pilot uses it, it can't be changed over to another.\What about it? response:	If I gave in to emotion and let someone pilot it, and it turned out that he had no talent for it, what then?
context: He wants to use it to get revenge with his own two hands.\Pathetic.\Hang on.\Wanting to avenge a friend's death is pathetic?\These machines have a registration system.\Once one pilot uses it, it can't be changed over to another.\What about it?\If I gave in to emotion and let someone pilot it, and it turned out that he had no talent for it, what then? response:	Nothing is a bigger nuisance than the hopes of people who have no talent.
context: Pathetic.\Hang on.\Wanting to avenge a friend's death is pathetic?\These machines have a registration system.\Once one pilot uses it, it can't be changed over to another.\What about it?\If I gave in to emotion and let someone pilot it, and it turned out that he had no talent for it, what then?\Nothing is a bigger nuisance than the hopes of people who have no talent. response:	Will avenging someone's death bring them back to life?
context: Hang on.\Wanting to avenge a friend's death is pathetic?\These machines have a registration system.\Once one pilot uses it, it can't be changed over to another.\What about it?\If I gave in to emotion and let someone pilot it, and it turned out that he had no talent for it, what then?\Nothing is a bigger nuisance than the hopes of people who have no talent.\Will avenging someone's death bring them back to life? response:	Instead of that, you should think about how to prevent future losses.
context: Wanting to avenge a friend's death is pathetic?\These machines have a registration system.\Once one pilot uses it, it can't be changed over to another.\What about it?\If I gave in to emotion and let someone pilot it, and it turned out that he had no talent for it, what then?\Nothing is a bigger nuisance than the hopes of people who have no talent.\Will avenging someone's death bring them back to life?\Instead of that, you should think about how to prevent future losses. response:	War is something that should be conducted calmly and efficiently, like a machine.
context: These machines have a registration system.\Once one pilot uses it, it can't be changed over to another.\What about it?\If I gave in to emotion and let someone pilot it, and it turned out that he had no talent for it, what then?\Nothing is a bigger nuisance than the hopes of people who have no talent.\Will avenging someone's death bring them back to life?\Instead of that, you should think about how to prevent future losses.\War is something that should be conducted calmly and efficiently, like a machine. response:	Like a machine...
context: Once one pilot uses it, it can't be changed over to another.\What about it?\If I gave in to emotion and let someone pilot it, and it turned out that he had no talent for it, what then?\Nothing is a bigger nuisance than the hopes of people who have no talent.\Will avenging someone's death bring them back to life?\Instead of that, you should think about how to prevent future losses.\War is something that should be conducted calmly and efficiently, like a machine.\Like a machine... response:	47 seconds.
context: What about it?\If I gave in to emotion and let someone pilot it, and it turned out that he had no talent for it, what then?\Nothing is a bigger nuisance than the hopes of people who have no talent.\Will avenging someone's death bring them back to life?\Instead of that, you should think about how to prevent future losses.\War is something that should be conducted calmly and efficiently, like a machine.\Like a machine...\47 seconds. response:	46 seconds.
context: If I gave in to emotion and let someone pilot it, and it turned out that he had no talent for it, what then?\Nothing is a bigger nuisance than the hopes of people who have no talent.\Will avenging someone's death bring them back to life?\Instead of that, you should think about how to prevent future losses.\War is something that should be conducted calmly and efficiently, like a machine.\Like a machine...\47 seconds.\46 seconds. response:	48 seconds.
context: Nothing is a bigger nuisance than the hopes of people who have no talent.\Will avenging someone's death bring them back to life?\Instead of that, you should think about how to prevent future losses.\War is something that should be conducted calmly and efficiently, like a machine.\Like a machine...\47 seconds.\46 seconds.\48 seconds. response:	44 seconds.
context: Will avenging someone's death bring them back to life?\Instead of that, you should think about how to prevent future losses.\War is something that should be conducted calmly and efficiently, like a machine.\Like a machine...\47 seconds.\46 seconds.\48 seconds.\44 seconds. response:	Is he okay?
context: Instead of that, you should think about how to prevent future losses.\War is something that should be conducted calmly and efficiently, like a machine.\Like a machine...\47 seconds.\46 seconds.\48 seconds.\44 seconds.\Is he okay? response:	Is he okay?
context: War is something that should be conducted calmly and efficiently, like a machine.\Like a machine...\47 seconds.\46 seconds.\48 seconds.\44 seconds.\Is he okay?\Is he okay? response:	Haru
context: Like a machine...\47 seconds.\46 seconds.\48 seconds.\44 seconds.\Is he okay?\Is he okay?\Haru response:	What're you doing here?
context: 47 seconds.\46 seconds.\48 seconds.\44 seconds.\Is he okay?\Is he okay?\Haru\What're you doing here? response:	I was worried about him. What about you?
context: 46 seconds.\48 seconds.\44 seconds.\Is he okay?\Is he okay?\Haru\What're you doing here?\I was worried about him. What about you? response:	I'm worried, too.
context: 48 seconds.\44 seconds.\Is he okay?\Is he okay?\Haru\What're you doing here?\I was worried about him. What about you?\I'm worried, too. response:	I wonder if they were going out...
context: 44 seconds.\Is he okay?\Is he okay?\Haru\What're you doing here?\I was worried about him. What about you?\I'm worried, too.\I wonder if they were going out... response:	Him and Aina-chan?
context: Is he okay?\Is he okay?\Haru\What're you doing here?\I was worried about him. What about you?\I'm worried, too.\I wonder if they were going out...\Him and Aina-chan? response:	They were joined at the hip.
context: Is he okay?\Haru\What're you doing here?\I was worried about him. What about you?\I'm worried, too.\I wonder if they were going out...\Him and Aina-chan?\They were joined at the hip. response:	He was always heading out to visit some girl from another school.
context: Haru\What're you doing here?\I was worried about him. What about you?\I'm worried, too.\I wonder if they were going out...\Him and Aina-chan?\They were joined at the hip.\He was always heading out to visit some girl from another school. response:	Oh.
context: What're you doing here?\I was worried about him. What about you?\I'm worried, too.\I wonder if they were going out...\Him and Aina-chan?\They were joined at the hip.\He was always heading out to visit some girl from another school.\Oh. response:	Haruto. Say something to him.
context: I was worried about him. What about you?\I'm worried, too.\I wonder if they were going out...\Him and Aina-chan?\They were joined at the hip.\He was always heading out to visit some girl from another school.\Oh.\Haruto. Say something to him. response:	This is too big to carry alone.
context: I'm worried, too.\I wonder if they were going out...\Him and Aina-chan?\They were joined at the hip.\He was always heading out to visit some girl from another school.\Oh.\Haruto. Say something to him.\This is too big to carry alone. response:	Why not you?
context: I wonder if they were going out...\Him and Aina-chan?\They were joined at the hip.\He was always heading out to visit some girl from another school.\Oh.\Haruto. Say something to him.\This is too big to carry alone.\Why not you? response:	This has to be done guy to guy!
context: Him and Aina-chan?\They were joined at the hip.\He was always heading out to visit some girl from another school.\Oh.\Haruto. Say something to him.\This is too big to carry alone.\Why not you?\This has to be done guy to guy! response:	Yamada's at it again?
context: They were joined at the hip.\He was always heading out to visit some girl from another school.\Oh.\Haruto. Say something to him.\This is too big to carry alone.\Why not you?\This has to be done guy to guy!\Yamada's at it again? response:	No. Yamada's supposed to be in solitary confinement.
context: He was always heading out to visit some girl from another school.\Oh.\Haruto. Say something to him.\This is too big to carry alone.\Why not you?\This has to be done guy to guy!\Yamada's at it again?\No. Yamada's supposed to be in solitary confinement. response:	A Dorssian fleet is closing in on us from behind!
context: Oh.\Haruto. Say something to him.\This is too big to carry alone.\Why not you?\This has to be done guy to guy!\Yamada's at it again?\No. Yamada's supposed to be in solitary confinement.\A Dorssian fleet is closing in on us from behind! response:	The barrier system?
context: Haruto. Say something to him.\This is too big to carry alone.\Why not you?\This has to be done guy to guy!\Yamada's at it again?\No. Yamada's supposed to be in solitary confinement.\A Dorssian fleet is closing in on us from behind!\The barrier system? response:	Already on it!
context: This is too big to carry alone.\Why not you?\This has to be done guy to guy!\Yamada's at it again?\No. Yamada's supposed to be in solitary confinement.\A Dorssian fleet is closing in on us from behind!\The barrier system?\Already on it! response:	We won't let them hit us!
context: Why not you?\This has to be done guy to guy!\Yamada's at it again?\No. Yamada's supposed to be in solitary confinement.\A Dorssian fleet is closing in on us from behind!\The barrier system?\Already on it!\We won't let them hit us! response:	I'm widening mine!
context: This has to be done guy to guy!\Yamada's at it again?\No. Yamada's supposed to be in solitary confinement.\A Dorssian fleet is closing in on us from behind!\The barrier system?\Already on it!\We won't let them hit us!\I'm widening mine! response:	What are those?
context: Yamada's at it again?\No. Yamada's supposed to be in solitary confinement.\A Dorssian fleet is closing in on us from behind!\The barrier system?\Already on it!\We won't let them hit us!\I'm widening mine!\What are those? response:	The barrier system seems to be working.
context: No. Yamada's supposed to be in solitary confinement.\A Dorssian fleet is closing in on us from behind!\The barrier system?\Already on it!\We won't let them hit us!\I'm widening mine!\What are those?\The barrier system seems to be working. response:	Way to go! You guys are great at this!
context: A Dorssian fleet is closing in on us from behind!\The barrier system?\Already on it!\We won't let them hit us!\I'm widening mine!\What are those?\The barrier system seems to be working.\Way to go! You guys are great at this! response:	I can't believe he retrofitted the EM debris shield into a barrier system...
context: The barrier system?\Already on it!\We won't let them hit us!\I'm widening mine!\What are those?\The barrier system seems to be working.\Way to go! You guys are great at this!\I can't believe he retrofitted the EM debris shield into a barrier system... response:	How long had he been planning it?
context: Already on it!\We won't let them hit us!\I'm widening mine!\What are those?\The barrier system seems to be working.\Way to go! You guys are great at this!\I can't believe he retrofitted the EM debris shield into a barrier system...\How long had he been planning it? response:	Calmly. Like a machine.
context: We won't let them hit us!\I'm widening mine!\What are those?\The barrier system seems to be working.\Way to go! You guys are great at this!\I can't believe he retrofitted the EM debris shield into a barrier system...\How long had he been planning it?\Calmly. Like a machine. response:	Calmly. Like a machine.
context: I'm widening mine!\What are those?\The barrier system seems to be working.\Way to go! You guys are great at this!\I can't believe he retrofitted the EM debris shield into a barrier system...\How long had he been planning it?\Calmly. Like a machine.\Calmly. Like a machine. response:	A systematic defense strategy...
context: What are those?\The barrier system seems to be working.\Way to go! You guys are great at this!\I can't believe he retrofitted the EM debris shield into a barrier system...\How long had he been planning it?\Calmly. Like a machine.\Calmly. Like a machine.\A systematic defense strategy... response:	L-elf is in command?
context: The barrier system seems to be working.\Way to go! You guys are great at this!\I can't believe he retrofitted the EM debris shield into a barrier system...\How long had he been planning it?\Calmly. Like a machine.\Calmly. Like a machine.\A systematic defense strategy...\L-elf is in command? response:	It's the Valvraves.
context: Way to go! You guys are great at this!\I can't believe he retrofitted the EM debris shield into a barrier system...\How long had he been planning it?\Calmly. Like a machine.\Calmly. Like a machine.\A systematic defense strategy...\L-elf is in command?\It's the Valvraves. response:	Fall back slowly.
context: I can't believe he retrofitted the EM debris shield into a barrier system...\How long had he been planning it?\Calmly. Like a machine.\Calmly. Like a machine.\A systematic defense strategy...\L-elf is in command?\It's the Valvraves.\Fall back slowly. response:	Draw them both away from Module 77.
context: How long had he been planning it?\Calmly. Like a machine.\Calmly. Like a machine.\A systematic defense strategy...\L-elf is in command?\It's the Valvraves.\Fall back slowly.\Draw them both away from Module 77. response:	They're running?
context: Calmly. Like a machine.\Calmly. Like a machine.\A systematic defense strategy...\L-elf is in command?\It's the Valvraves.\Fall back slowly.\Draw them both away from Module 77.\They're running? response:	My show's just getting started!
context: Calmly. Like a machine.\A systematic defense strategy...\L-elf is in command?\It's the Valvraves.\Fall back slowly.\Draw them both away from Module 77.\They're running?\My show's just getting started! response:	DORSSIA MILITARY 6 FLEET
context: A systematic defense strategy...\L-elf is in command?\It's the Valvraves.\Fall back slowly.\Draw them both away from Module 77.\They're running?\My show's just getting started!\DORSSIA MILITARY 6 FLEET response:	Exactly as planned, sir.
context: L-elf is in command?\It's the Valvraves.\Fall back slowly.\Draw them both away from Module 77.\They're running?\My show's just getting started!\DORSSIA MILITARY 6 FLEET\Exactly as planned, sir. response:	The Valvraves are moving away to aft in pursuit of Captain Cain's fleet.
context: It's the Valvraves.\Fall back slowly.\Draw them both away from Module 77.\They're running?\My show's just getting started!\DORSSIA MILITARY 6 FLEET\Exactly as planned, sir.\The Valvraves are moving away to aft in pursuit of Captain Cain's fleet. response:	They're only students, after all.
context: Fall back slowly.\Draw them both away from Module 77.\They're running?\My show's just getting started!\DORSSIA MILITARY 6 FLEET\Exactly as planned, sir.\The Valvraves are moving away to aft in pursuit of Captain Cain's fleet.\They're only students, after all. response:	I can't believe they fell for such an obvious diversion.
context: Draw them both away from Module 77.\They're running?\My show's just getting started!\DORSSIA MILITARY 6 FLEET\Exactly as planned, sir.\The Valvraves are moving away to aft in pursuit of Captain Cain's fleet.\They're only students, after all.\I can't believe they fell for such an obvious diversion. response:	Wow, the Valvraves are so powerful...
context: They're running?\My show's just getting started!\DORSSIA MILITARY 6 FLEET\Exactly as planned, sir.\The Valvraves are moving away to aft in pursuit of Captain Cain's fleet.\They're only students, after all.\I can't believe they fell for such an obvious diversion.\Wow, the Valvraves are so powerful... response:	They're our guardian angels.
context: My show's just getting started!\DORSSIA MILITARY 6 FLEET\Exactly as planned, sir.\The Valvraves are moving away to aft in pursuit of Captain Cain's fleet.\They're only students, after all.\I can't believe they fell for such an obvious diversion.\Wow, the Valvraves are so powerful...\They're our guardian angels. response:	Still, aren't they too powerful?
context: DORSSIA MILITARY 6 FLEET\Exactly as planned, sir.\The Valvraves are moving away to aft in pursuit of Captain Cain's fleet.\They're only students, after all.\I can't believe they fell for such an obvious diversion.\Wow, the Valvraves are so powerful...\They're our guardian angels.\Still, aren't they too powerful? response:	JIOR didn't have any weapon manufacturers, so how
context: Exactly as planned, sir.\The Valvraves are moving away to aft in pursuit of Captain Cain's fleet.\They're only students, after all.\I can't believe they fell for such an obvious diversion.\Wow, the Valvraves are so powerful...\They're our guardian angels.\Still, aren't they too powerful?\JIOR didn't have any weapon manufacturers, so how response:	Ration time!
context: The Valvraves are moving away to aft in pursuit of Captain Cain's fleet.\They're only students, after all.\I can't believe they fell for such an obvious diversion.\Wow, the Valvraves are so powerful...\They're our guardian angels.\Still, aren't they too powerful?\JIOR didn't have any weapon manufacturers, so how\Ration time! response:	Those look tasty!
context: They're only students, after all.\I can't believe they fell for such an obvious diversion.\Wow, the Valvraves are so powerful...\They're our guardian angels.\Still, aren't they too powerful?\JIOR didn't have any weapon manufacturers, so how\Ration time!\Those look tasty! response:	Thanks.
context: I can't believe they fell for such an obvious diversion.\Wow, the Valvraves are so powerful...\They're our guardian angels.\Still, aren't they too powerful?\JIOR didn't have any weapon manufacturers, so how\Ration time!\Those look tasty!\Thanks. response:	I'm starved!
context: Wow, the Valvraves are so powerful...\They're our guardian angels.\Still, aren't they too powerful?\JIOR didn't have any weapon manufacturers, so how\Ration time!\Those look tasty!\Thanks.\I'm starved! response:	What's that?
context: They're our guardian angels.\Still, aren't they too powerful?\JIOR didn't have any weapon manufacturers, so how\Ration time!\Those look tasty!\Thanks.\I'm starved!\What's that? response:	Emergency rations.
context: Still, aren't they too powerful?\JIOR didn't have any weapon manufacturers, so how\Ration time!\Those look tasty!\Thanks.\I'm starved!\What's that?\Emergency rations. response:	You told me to make some, remember?
context: JIOR didn't have any weapon manufacturers, so how\Ration time!\Those look tasty!\Thanks.\I'm starved!\What's that?\Emergency rations.\You told me to make some, remember? response:	What did you do with the recipe I gave you?
context: Ration time!\Those look tasty!\Thanks.\I'm starved!\What's that?\Emergency rations.\You told me to make some, remember?\What did you do with the recipe I gave you? response:	It's better if they taste good, right?
context: Those look tasty!\Thanks.\I'm starved!\What's that?\Emergency rations.\You told me to make some, remember?\What did you do with the recipe I gave you?\It's better if they taste good, right? response:	These are a JIOR specialty, jellied bean paste called Youkan.
context: Thanks.\I'm starved!\What's that?\Emergency rations.\You told me to make some, remember?\What did you do with the recipe I gave you?\It's better if they taste good, right?\These are a JIOR specialty, jellied bean paste called Youkan. response:	What counts is nutrition. Flavor doesn't
context: I'm starved!\What's that?\Emergency rations.\You told me to make some, remember?\What did you do with the recipe I gave you?\It's better if they taste good, right?\These are a JIOR specialty, jellied bean paste called Youkan.\What counts is nutrition. Flavor doesn't response:	Here!
context: What's that?\Emergency rations.\You told me to make some, remember?\What did you do with the recipe I gave you?\It's better if they taste good, right?\These are a JIOR specialty, jellied bean paste called Youkan.\What counts is nutrition. Flavor doesn't\Here! response:	See? Nice and sweet, huh?
