context: Good grief. Why did you completely burn our ingredients? response:	Well, my apologies.
context: It's clearly a touchy topic for her.\Well, shall we buy some dessert?\Huh? Really?\What would you like?\I'd love an eclair!\Did you know? Eclair means flash of lightning!\Wow.\Speaking of lightning, there's the Norse god Thor... is your name related to that? response:	Absolutely not.
context: Well, shall we buy some dessert?\Huh? Really?\What would you like?\I'd love an eclair!\Did you know? Eclair means flash of lightning!\Wow.\Speaking of lightning, there's the Norse god Thor... is your name related to that?\Absolutely not. response:	According to my parents, it comes from an author here in this world.
context: Huh? Really?\What would you like?\I'd love an eclair!\Did you know? Eclair means flash of lightning!\Wow.\Speaking of lightning, there's the Norse god Thor... is your name related to that?\Absolutely not.\According to my parents, it comes from an author here in this world. response:	Huh? Your parents
context: What would you like?\I'd love an eclair!\Did you know? Eclair means flash of lightning!\Wow.\Speaking of lightning, there's the Norse god Thor... is your name related to that?\Absolutely not.\According to my parents, it comes from an author here in this world.\Huh? Your parents response:	Purse snatcher! Someone stop him!
context: I'd love an eclair!\Did you know? Eclair means flash of lightning!\Wow.\Speaking of lightning, there's the Norse god Thor... is your name related to that?\Absolutely not.\According to my parents, it comes from an author here in this world.\Huh? Your parents\Purse snatcher! Someone stop him! response:	Miss Kobayashi, may I stop him?
context: Did you know? Eclair means flash of lightning!\Wow.\Speaking of lightning, there's the Norse god Thor... is your name related to that?\Absolutely not.\According to my parents, it comes from an author here in this world.\Huh? Your parents\Purse snatcher! Someone stop him!\Miss Kobayashi, may I stop him? response:	Huh?
context: Wow.\Speaking of lightning, there's the Norse god Thor... is your name related to that?\Absolutely not.\According to my parents, it comes from an author here in this world.\Huh? Your parents\Purse snatcher! Someone stop him!\Miss Kobayashi, may I stop him?\Huh? response:	Uh, can you do it without exposing yourself as a dragon?
context: Speaking of lightning, there's the Norse god Thor... is your name related to that?\Absolutely not.\According to my parents, it comes from an author here in this world.\Huh? Your parents\Purse snatcher! Someone stop him!\Miss Kobayashi, may I stop him?\Huh?\Uh, can you do it without exposing yourself as a dragon? response:	Yes!
context: Absolutely not.\According to my parents, it comes from an author here in this world.\Huh? Your parents\Purse snatcher! Someone stop him!\Miss Kobayashi, may I stop him?\Huh?\Uh, can you do it without exposing yourself as a dragon?\Yes! response:	Understood!
context: According to my parents, it comes from an author here in this world.\Huh? Your parents\Purse snatcher! Someone stop him!\Miss Kobayashi, may I stop him?\Huh?\Uh, can you do it without exposing yourself as a dragon?\Yes!\Understood! response:	Good, now that I'm this far away...
context: Huh? Your parents\Purse snatcher! Someone stop him!\Miss Kobayashi, may I stop him?\Huh?\Uh, can you do it without exposing yourself as a dragon?\Yes!\Understood!\Good, now that I'm this far away... response:	Huh?
context: Purse snatcher! Someone stop him!\Miss Kobayashi, may I stop him?\Huh?\Uh, can you do it without exposing yourself as a dragon?\Yes!\Understood!\Good, now that I'm this far away...\Huh? response:	Doesn't this mean trouble?
context: Miss Kobayashi, may I stop him?\Huh?\Uh, can you do it without exposing yourself as a dragon?\Yes!\Understood!\Good, now that I'm this far away...\Huh?\Doesn't this mean trouble? response:	Tohru!
context: Huh?\Uh, can you do it without exposing yourself as a dragon?\Yes!\Understood!\Good, now that I'm this far away...\Huh?\Doesn't this mean trouble?\Tohru! response:	Huh?
context: Uh, can you do it without exposing yourself as a dragon?\Yes!\Understood!\Good, now that I'm this far away...\Huh?\Doesn't this mean trouble?\Tohru!\Huh? response:	Huh?
context: Yes!\Understood!\Good, now that I'm this far away...\Huh?\Doesn't this mean trouble?\Tohru!\Huh?\Huh? response:	Amazing, Tohru-chan!
context: Understood!\Good, now that I'm this far away...\Huh?\Doesn't this mean trouble?\Tohru!\Huh?\Huh?\Amazing, Tohru-chan! response:	I can't believe you're so strong!
context: Good, now that I'm this far away...\Huh?\Doesn't this mean trouble?\Tohru!\Huh?\Huh?\Amazing, Tohru-chan!\I can't believe you're so strong! response:	That was cool, lady!
context: Huh?\Doesn't this mean trouble?\Tohru!\Huh?\Huh?\Amazing, Tohru-chan!\I can't believe you're so strong!\That was cool, lady! response:	You've got quite the legs on you!
context: Doesn't this mean trouble?\Tohru!\Huh?\Huh?\Amazing, Tohru-chan!\I can't believe you're so strong!\That was cool, lady!\You've got quite the legs on you! response:	It worked out.
context: Tohru!\Huh?\Huh?\Amazing, Tohru-chan!\I can't believe you're so strong!\That was cool, lady!\You've got quite the legs on you!\It worked out. response:	Impressive!
context: Huh?\Huh?\Amazing, Tohru-chan!\I can't believe you're so strong!\That was cool, lady!\You've got quite the legs on you!\It worked out.\Impressive! response:	I can sleep soundly tonight!
context: Huh?\Amazing, Tohru-chan!\I can't believe you're so strong!\That was cool, lady!\You've got quite the legs on you!\It worked out.\Impressive!\I can sleep soundly tonight! response:	Just now, I was scared.
context: Amazing, Tohru-chan!\I can't believe you're so strong!\That was cool, lady!\You've got quite the legs on you!\It worked out.\Impressive!\I can sleep soundly tonight!\Just now, I was scared. response:	I was sweating, too.
context: I can't believe you're so strong!\That was cool, lady!\You've got quite the legs on you!\It worked out.\Impressive!\I can sleep soundly tonight!\Just now, I was scared.\I was sweating, too. response:	Sorry. I should have told you to hold back more.
context: That was cool, lady!\You've got quite the legs on you!\It worked out.\Impressive!\I can sleep soundly tonight!\Just now, I was scared.\I was sweating, too.\Sorry. I should have told you to hold back more. response:	It's okay.
context: You've got quite the legs on you!\It worked out.\Impressive!\I can sleep soundly tonight!\Just now, I was scared.\I was sweating, too.\Sorry. I should have told you to hold back more.\It's okay. response:	Um, your hand...
context: It worked out.\Impressive!\I can sleep soundly tonight!\Just now, I was scared.\I was sweating, too.\Sorry. I should have told you to hold back more.\It's okay.\Um, your hand... response:	You want to hold hands a little longer?
context: Impressive!\I can sleep soundly tonight!\Just now, I was scared.\I was sweating, too.\Sorry. I should have told you to hold back more.\It's okay.\Um, your hand...\You want to hold hands a little longer? response:	Yes.
context: I can sleep soundly tonight!\Just now, I was scared.\I was sweating, too.\Sorry. I should have told you to hold back more.\It's okay.\Um, your hand...\You want to hold hands a little longer?\Yes. response:	I won't wash this hand for a while.
context: Just now, I was scared.\I was sweating, too.\Sorry. I should have told you to hold back more.\It's okay.\Um, your hand...\You want to hold hands a little longer?\Yes.\I won't wash this hand for a while. response:	How does tail taste?
context: I was sweating, too.\Sorry. I should have told you to hold back more.\It's okay.\Um, your hand...\You want to hold hands a little longer?\Yes.\I won't wash this hand for a while.\How does tail taste? response:	Sweet and creamy!
context: Sorry. I should have told you to hold back more.\It's okay.\Um, your hand...\You want to hold hands a little longer?\Yes.\I won't wash this hand for a while.\How does tail taste?\Sweet and creamy! response:	Singing your own praises, huh?
context: It's okay.\Um, your hand...\You want to hold hands a little longer?\Yes.\I won't wash this hand for a while.\How does tail taste?\Sweet and creamy!\Singing your own praises, huh? response:	Is my package here?
context: Um, your hand...\You want to hold hands a little longer?\Yes.\I won't wash this hand for a while.\How does tail taste?\Sweet and creamy!\Singing your own praises, huh?\Is my package here? response:	Hello?
context: You want to hold hands a little longer?\Yes.\I won't wash this hand for a while.\How does tail taste?\Sweet and creamy!\Singing your own praises, huh?\Is my package here?\Hello? response:	Huh?
context: Yes.\I won't wash this hand for a while.\How does tail taste?\Sweet and creamy!\Singing your own praises, huh?\Is my package here?\Hello?\Huh? response:	I invited her into my house...
context: I won't wash this hand for a while.\How does tail taste?\Sweet and creamy!\Singing your own praises, huh?\Is my package here?\Hello?\Huh?\I invited her into my house... response:	But she's Tohru's friend, right?
context: How does tail taste?\Sweet and creamy!\Singing your own praises, huh?\Is my package here?\Hello?\Huh?\I invited her into my house...\But she's Tohru's friend, right? response:	She has horns and a tail, so...
context: Sweet and creamy!\Singing your own praises, huh?\Is my package here?\Hello?\Huh?\I invited her into my house...\But she's Tohru's friend, right?\She has horns and a tail, so... response:	But Tohru's out shopping right now.
context: Singing your own praises, huh?\Is my package here?\Hello?\Huh?\I invited her into my house...\But she's Tohru's friend, right?\She has horns and a tail, so...\But Tohru's out shopping right now. response:	Today we're having meat and potato stew!
context: Is my package here?\Hello?\Huh?\I invited her into my house...\But she's Tohru's friend, right?\She has horns and a tail, so...\But Tohru's out shopping right now.\Today we're having meat and potato stew! response:	What to do about this...
context: Hello?\Huh?\I invited her into my house...\But she's Tohru's friend, right?\She has horns and a tail, so...\But Tohru's out shopping right now.\Today we're having meat and potato stew!\What to do about this... response:	What's your name?
context: Huh?\I invited her into my house...\But she's Tohru's friend, right?\She has horns and a tail, so...\But Tohru's out shopping right now.\Today we're having meat and potato stew!\What to do about this...\What's your name? response:	Break up with Lady Tohru.
context: I invited her into my house...\But she's Tohru's friend, right?\She has horns and a tail, so...\But Tohru's out shopping right now.\Today we're having meat and potato stew!\What to do about this...\What's your name?\Break up with Lady Tohru. response:	Hmm? Lady?
context: But she's Tohru's friend, right?\She has horns and a tail, so...\But Tohru's out shopping right now.\Today we're having meat and potato stew!\What to do about this...\What's your name?\Break up with Lady Tohru.\Hmm? Lady? response:	What did you just say?
context: She has horns and a tail, so...\But Tohru's out shopping right now.\Today we're having meat and potato stew!\What to do about this...\What's your name?\Break up with Lady Tohru.\Hmm? Lady?\What did you just say? response:	I know that you've seduced her.
context: But Tohru's out shopping right now.\Today we're having meat and potato stew!\What to do about this...\What's your name?\Break up with Lady Tohru.\Hmm? Lady?\What did you just say?\I know that you've seduced her. response:	With your body.
context: Today we're having meat and potato stew!\What to do about this...\What's your name?\Break up with Lady Tohru.\Hmm? Lady?\What did you just say?\I know that you've seduced her.\With your body. response:	Huh?
context: What to do about this...\What's your name?\Break up with Lady Tohru.\Hmm? Lady?\What did you just say?\I know that you've seduced her.\With your body.\Huh? response:	Cuckold.
context: What's your name?\Break up with Lady Tohru.\Hmm? Lady?\What did you just say?\I know that you've seduced her.\With your body.\Huh?\Cuckold. response:	Slut in glasses!
