context: This token buys one meal. response:	And this slip of paper can be converted to 100 tokens.
context: That way, the fish can't get out. It's what you'd call a giant fishing spot.\Well, the festival's about to start!\Festival\You know how to operate this?\Simple operation system. No problem.\Is that right? Just don't break it!\Alright. Try to raise an arm.\I understand operation system. Where is information support system? response:	What the hell is that?
context: Well, the festival's about to start!\Festival\You know how to operate this?\Simple operation system. No problem.\Is that right? Just don't break it!\Alright. Try to raise an arm.\I understand operation system. Where is information support system?\What the hell is that? response:	Computer analysis of war situation.
context: Festival\You know how to operate this?\Simple operation system. No problem.\Is that right? Just don't break it!\Alright. Try to raise an arm.\I understand operation system. Where is information support system?\What the hell is that?\Computer analysis of war situation. response:	We don't got that. Use your own eyes to make decisions.
context: You know how to operate this?\Simple operation system. No problem.\Is that right? Just don't break it!\Alright. Try to raise an arm.\I understand operation system. Where is information support system?\What the hell is that?\Computer analysis of war situation.\We don't got that. Use your own eyes to make decisions. response:	Roger.
context: Simple operation system. No problem.\Is that right? Just don't break it!\Alright. Try to raise an arm.\I understand operation system. Where is information support system?\What the hell is that?\Computer analysis of war situation.\We don't got that. Use your own eyes to make decisions.\Roger. response:	Okay. Now just like that, move to the Swirling Galaxy.
context: Is that right? Just don't break it!\Alright. Try to raise an arm.\I understand operation system. Where is information support system?\What the hell is that?\Computer analysis of war situation.\We don't got that. Use your own eyes to make decisions.\Roger.\Okay. Now just like that, move to the Swirling Galaxy. response:	But listen, do it quietly. And don't open up a hole in the ring.
context: Alright. Try to raise an arm.\I understand operation system. Where is information support system?\What the hell is that?\Computer analysis of war situation.\We don't got that. Use your own eyes to make decisions.\Roger.\Okay. Now just like that, move to the Swirling Galaxy.\But listen, do it quietly. And don't open up a hole in the ring. response:	Display current location. Set coordinate axis.
context: I understand operation system. Where is information support system?\What the hell is that?\Computer analysis of war situation.\We don't got that. Use your own eyes to make decisions.\Roger.\Okay. Now just like that, move to the Swirling Galaxy.\But listen, do it quietly. And don't open up a hole in the ring.\Display current location. Set coordinate axis. response:	What's wrong, Chamber?
context: What the hell is that?\Computer analysis of war situation.\We don't got that. Use your own eyes to make decisions.\Roger.\Okay. Now just like that, move to the Swirling Galaxy.\But listen, do it quietly. And don't open up a hole in the ring.\Display current location. Set coordinate axis.\What's wrong, Chamber? response:	Hey, what the hell are you doin'?! Regain your bearings!
context: Computer analysis of war situation.\We don't got that. Use your own eyes to make decisions.\Roger.\Okay. Now just like that, move to the Swirling Galaxy.\But listen, do it quietly. And don't open up a hole in the ring.\Display current location. Set coordinate axis.\What's wrong, Chamber?\Hey, what the hell are you doin'?! Regain your bearings! response:	Information support!
context: We don't got that. Use your own eyes to make decisions.\Roger.\Okay. Now just like that, move to the Swirling Galaxy.\But listen, do it quietly. And don't open up a hole in the ring.\Display current location. Set coordinate axis.\What's wrong, Chamber?\Hey, what the hell are you doin'?! Regain your bearings!\Information support! response:	You need to swim! Let yourself relax and you'll float.
context: Roger.\Okay. Now just like that, move to the Swirling Galaxy.\But listen, do it quietly. And don't open up a hole in the ring.\Display current location. Set coordinate axis.\What's wrong, Chamber?\Hey, what the hell are you doin'?! Regain your bearings!\Information support!\You need to swim! Let yourself relax and you'll float. response:	I cannot swim!
context: Okay. Now just like that, move to the Swirling Galaxy.\But listen, do it quietly. And don't open up a hole in the ring.\Display current location. Set coordinate axis.\What's wrong, Chamber?\Hey, what the hell are you doin'?! Regain your bearings!\Information support!\You need to swim! Let yourself relax and you'll float.\I cannot swim! response:	Ledo!
context: But listen, do it quietly. And don't open up a hole in the ring.\Display current location. Set coordinate axis.\What's wrong, Chamber?\Hey, what the hell are you doin'?! Regain your bearings!\Information support!\You need to swim! Let yourself relax and you'll float.\I cannot swim!\Ledo! response:	Yeesh! If he doesn't know how to swim, he should've told me from the get-go!
context: Display current location. Set coordinate axis.\What's wrong, Chamber?\Hey, what the hell are you doin'?! Regain your bearings!\Information support!\You need to swim! Let yourself relax and you'll float.\I cannot swim!\Ledo!\Yeesh! If he doesn't know how to swim, he should've told me from the get-go! response:	I thought machines here would do more what I say.
context: What's wrong, Chamber?\Hey, what the hell are you doin'?! Regain your bearings!\Information support!\You need to swim! Let yourself relax and you'll float.\I cannot swim!\Ledo!\Yeesh! If he doesn't know how to swim, he should've told me from the get-go!\I thought machines here would do more what I say. response:	Well, there's no ocean in space, right?
context: Hey, what the hell are you doin'?! Regain your bearings!\Information support!\You need to swim! Let yourself relax and you'll float.\I cannot swim!\Ledo!\Yeesh! If he doesn't know how to swim, he should've told me from the get-go!\I thought machines here would do more what I say.\Well, there's no ocean in space, right? response:	Good effort. Anyway, what do you say we have lunch?
context: Information support!\You need to swim! Let yourself relax and you'll float.\I cannot swim!\Ledo!\Yeesh! If he doesn't know how to swim, he should've told me from the get-go!\I thought machines here would do more what I say.\Well, there's no ocean in space, right?\Good effort. Anyway, what do you say we have lunch? response:	Here you are, one Maiden Meal and one seaweed bread.
context: You need to swim! Let yourself relax and you'll float.\I cannot swim!\Ledo!\Yeesh! If he doesn't know how to swim, he should've told me from the get-go!\I thought machines here would do more what I say.\Well, there's no ocean in space, right?\Good effort. Anyway, what do you say we have lunch?\Here you are, one Maiden Meal and one seaweed bread. response:	Thanks!
context: I cannot swim!\Ledo!\Yeesh! If he doesn't know how to swim, he should've told me from the get-go!\I thought machines here would do more what I say.\Well, there's no ocean in space, right?\Good effort. Anyway, what do you say we have lunch?\Here you are, one Maiden Meal and one seaweed bread.\Thanks! response:	Say, Ledo, are you sure that's enough for you?
context: Ledo!\Yeesh! If he doesn't know how to swim, he should've told me from the get-go!\I thought machines here would do more what I say.\Well, there's no ocean in space, right?\Good effort. Anyway, what do you say we have lunch?\Here you are, one Maiden Meal and one seaweed bread.\Thanks!\Say, Ledo, are you sure that's enough for you? response:	There's other food I'm sure you'd like.
context: Yeesh! If he doesn't know how to swim, he should've told me from the get-go!\I thought machines here would do more what I say.\Well, there's no ocean in space, right?\Good effort. Anyway, what do you say we have lunch?\Here you are, one Maiden Meal and one seaweed bread.\Thanks!\Say, Ledo, are you sure that's enough for you?\There's other food I'm sure you'd like. response:	No problem.
context: I thought machines here would do more what I say.\Well, there's no ocean in space, right?\Good effort. Anyway, what do you say we have lunch?\Here you are, one Maiden Meal and one seaweed bread.\Thanks!\Say, Ledo, are you sure that's enough for you?\There's other food I'm sure you'd like.\No problem. response:	It must be tough being a soldier, huh?
context: Well, there's no ocean in space, right?\Good effort. Anyway, what do you say we have lunch?\Here you are, one Maiden Meal and one seaweed bread.\Thanks!\Say, Ledo, are you sure that's enough for you?\There's other food I'm sure you'd like.\No problem.\It must be tough being a soldier, huh? response:	About the work, you've got nothing to feel down about.
context: Good effort. Anyway, what do you say we have lunch?\Here you are, one Maiden Meal and one seaweed bread.\Thanks!\Say, Ledo, are you sure that's enough for you?\There's other food I'm sure you'd like.\No problem.\It must be tough being a soldier, huh?\About the work, you've got nothing to feel down about. response:	I screw up on a regular basis myself.
context: Here you are, one Maiden Meal and one seaweed bread.\Thanks!\Say, Ledo, are you sure that's enough for you?\There's other food I'm sure you'd like.\No problem.\It must be tough being a soldier, huh?\About the work, you've got nothing to feel down about.\I screw up on a regular basis myself. response:	I think you should be more easygoing about it, Ledo.
context: Thanks!\Say, Ledo, are you sure that's enough for you?\There's other food I'm sure you'd like.\No problem.\It must be tough being a soldier, huh?\About the work, you've got nothing to feel down about.\I screw up on a regular basis myself.\I think you should be more easygoing about it, Ledo. response:	How to become easygoing?
context: Say, Ledo, are you sure that's enough for you?\There's other food I'm sure you'd like.\No problem.\It must be tough being a soldier, huh?\About the work, you've got nothing to feel down about.\I screw up on a regular basis myself.\I think you should be more easygoing about it, Ledo.\How to become easygoing? response:	Maybe you should just try to have a good time. The festival does start today.
context: There's other food I'm sure you'd like.\No problem.\It must be tough being a soldier, huh?\About the work, you've got nothing to feel down about.\I screw up on a regular basis myself.\I think you should be more easygoing about it, Ledo.\How to become easygoing?\Maybe you should just try to have a good time. The festival does start today. response:	But before that... Thank you for the food!
context: No problem.\It must be tough being a soldier, huh?\About the work, you've got nothing to feel down about.\I screw up on a regular basis myself.\I think you should be more easygoing about it, Ledo.\How to become easygoing?\Maybe you should just try to have a good time. The festival does start today.\But before that... Thank you for the food! response:	Thank you for the food...
context: It must be tough being a soldier, huh?\About the work, you've got nothing to feel down about.\I screw up on a regular basis myself.\I think you should be more easygoing about it, Ledo.\How to become easygoing?\Maybe you should just try to have a good time. The festival does start today.\But before that... Thank you for the food!\Thank you for the food... response:	Ledo, is it good?
context: About the work, you've got nothing to feel down about.\I screw up on a regular basis myself.\I think you should be more easygoing about it, Ledo.\How to become easygoing?\Maybe you should just try to have a good time. The festival does start today.\But before that... Thank you for the food!\Thank you for the food...\Ledo, is it good? response:	Yeah. Good.
context: I screw up on a regular basis myself.\I think you should be more easygoing about it, Ledo.\How to become easygoing?\Maybe you should just try to have a good time. The festival does start today.\But before that... Thank you for the food!\Thank you for the food...\Ledo, is it good?\Yeah. Good. response:	Really? Then you oughta look like it's good!
context: I think you should be more easygoing about it, Ledo.\How to become easygoing?\Maybe you should just try to have a good time. The festival does start today.\But before that... Thank you for the food!\Thank you for the food...\Ledo, is it good?\Yeah. Good.\Really? Then you oughta look like it's good! response:	Look like it's good... How to do?
context: How to become easygoing?\Maybe you should just try to have a good time. The festival does start today.\But before that... Thank you for the food!\Thank you for the food...\Ledo, is it good?\Yeah. Good.\Really? Then you oughta look like it's good!\Look like it's good... How to do? response:	Amy, you haven't changed yet?!
context: Maybe you should just try to have a good time. The festival does start today.\But before that... Thank you for the food!\Thank you for the food...\Ledo, is it good?\Yeah. Good.\Really? Then you oughta look like it's good!\Look like it's good... How to do?\Amy, you haven't changed yet?! response:	Oh, no!
context: But before that... Thank you for the food!\Thank you for the food...\Ledo, is it good?\Yeah. Good.\Really? Then you oughta look like it's good!\Look like it's good... How to do?\Amy, you haven't changed yet?!\Oh, no! response:	If you don't hurry up, all the good guys will be taken!
context: Thank you for the food...\Ledo, is it good?\Yeah. Good.\Really? Then you oughta look like it's good!\Look like it's good... How to do?\Amy, you haven't changed yet?!\Oh, no!\If you don't hurry up, all the good guys will be taken! response:	But the hottie's already here!
context: Ledo, is it good?\Yeah. Good.\Really? Then you oughta look like it's good!\Look like it's good... How to do?\Amy, you haven't changed yet?!\Oh, no!\If you don't hurry up, all the good guys will be taken!\But the hottie's already here! response:	So he is!
context: Yeah. Good.\Really? Then you oughta look like it's good!\Look like it's good... How to do?\Amy, you haven't changed yet?!\Oh, no!\If you don't hurry up, all the good guys will be taken!\But the hottie's already here!\So he is! response:	Come on, Amy! Are you keeping him to yourself?!
context: Really? Then you oughta look like it's good!\Look like it's good... How to do?\Amy, you haven't changed yet?!\Oh, no!\If you don't hurry up, all the good guys will be taken!\But the hottie's already here!\So he is!\Come on, Amy! Are you keeping him to yourself?! response:	Sorry! Let's go to the festival together later!
context: Look like it's good... How to do?\Amy, you haven't changed yet?!\Oh, no!\If you don't hurry up, all the good guys will be taken!\But the hottie's already here!\So he is!\Come on, Amy! Are you keeping him to yourself?!\Sorry! Let's go to the festival together later! response:	Yeah...
context: Amy, you haven't changed yet?!\Oh, no!\If you don't hurry up, all the good guys will be taken!\But the hottie's already here!\So he is!\Come on, Amy! Are you keeping him to yourself?!\Sorry! Let's go to the festival together later!\Yeah... response:	Hurry up, let's go!
context: Oh, no!\If you don't hurry up, all the good guys will be taken!\But the hottie's already here!\So he is!\Come on, Amy! Are you keeping him to yourself?!\Sorry! Let's go to the festival together later!\Yeah...\Hurry up, let's go! response:	Proposal: If the mission is to capture fish, it is possible for me to do it alone.
context: If you don't hurry up, all the good guys will be taken!\But the hottie's already here!\So he is!\Come on, Amy! Are you keeping him to yourself?!\Sorry! Let's go to the festival together later!\Yeah...\Hurry up, let's go!\Proposal: If the mission is to capture fish, it is possible for me to do it alone. response:	After all, you are back in standby mode, Ensign Ledo.
context: But the hottie's already here!\So he is!\Come on, Amy! Are you keeping him to yourself?!\Sorry! Let's go to the festival together later!\Yeah...\Hurry up, let's go!\Proposal: If the mission is to capture fish, it is possible for me to do it alone.\After all, you are back in standby mode, Ensign Ledo. response:	Do what you want.
context: So he is!\Come on, Amy! Are you keeping him to yourself?!\Sorry! Let's go to the festival together later!\Yeah...\Hurry up, let's go!\Proposal: If the mission is to capture fish, it is possible for me to do it alone.\After all, you are back in standby mode, Ensign Ledo.\Do what you want. response:	So this time you're here in your own Yunboro, huh?
context: Come on, Amy! Are you keeping him to yourself?!\Sorry! Let's go to the festival together later!\Yeah...\Hurry up, let's go!\Proposal: If the mission is to capture fish, it is possible for me to do it alone.\After all, you are back in standby mode, Ensign Ledo.\Do what you want.\So this time you're here in your own Yunboro, huh? response:	Negative 1: This machine is not a Yunboro.
context: Sorry! Let's go to the festival together later!\Yeah...\Hurry up, let's go!\Proposal: If the mission is to capture fish, it is possible for me to do it alone.\After all, you are back in standby mode, Ensign Ledo.\Do what you want.\So this time you're here in your own Yunboro, huh?\Negative 1: This machine is not a Yunboro. response:	My designation is Machine Caliber-K6821.
context: Yeah...\Hurry up, let's go!\Proposal: If the mission is to capture fish, it is possible for me to do it alone.\After all, you are back in standby mode, Ensign Ledo.\Do what you want.\So this time you're here in your own Yunboro, huh?\Negative 1: This machine is not a Yunboro.\My designation is Machine Caliber-K6821. response:	I am volunteering for the fishing mission.
context: Hurry up, let's go!\Proposal: If the mission is to capture fish, it is possible for me to do it alone.\After all, you are back in standby mode, Ensign Ledo.\Do what you want.\So this time you're here in your own Yunboro, huh?\Negative 1: This machine is not a Yunboro.\My designation is Machine Caliber-K6821.\I am volunteering for the fishing mission. response:	Okay!
context: Proposal: If the mission is to capture fish, it is possible for me to do it alone.\After all, you are back in standby mode, Ensign Ledo.\Do what you want.\So this time you're here in your own Yunboro, huh?\Negative 1: This machine is not a Yunboro.\My designation is Machine Caliber-K6821.\I am volunteering for the fishing mission.\Okay! response:	Negative 2: My pilot, Ensign Ledo, is currently observing the festival.
context: After all, you are back in standby mode, Ensign Ledo.\Do what you want.\So this time you're here in your own Yunboro, huh?\Negative 1: This machine is not a Yunboro.\My designation is Machine Caliber-K6821.\I am volunteering for the fishing mission.\Okay!\Negative 2: My pilot, Ensign Ledo, is currently observing the festival. response:	The boy ain't in there?
context: Do what you want.\So this time you're here in your own Yunboro, huh?\Negative 1: This machine is not a Yunboro.\My designation is Machine Caliber-K6821.\I am volunteering for the fishing mission.\Okay!\Negative 2: My pilot, Ensign Ledo, is currently observing the festival.\The boy ain't in there? response:	I will now carry out the fishing mission by capturing marine life.
context: So this time you're here in your own Yunboro, huh?\Negative 1: This machine is not a Yunboro.\My designation is Machine Caliber-K6821.\I am volunteering for the fishing mission.\Okay!\Negative 2: My pilot, Ensign Ledo, is currently observing the festival.\The boy ain't in there?\I will now carry out the fishing mission by capturing marine life. response:	Hey! Take a net!
context: Negative 1: This machine is not a Yunboro.\My designation is Machine Caliber-K6821.\I am volunteering for the fishing mission.\Okay!\Negative 2: My pilot, Ensign Ledo, is currently observing the festival.\The boy ain't in there?\I will now carry out the fishing mission by capturing marine life.\Hey! Take a net! response:	Yo, Ledo! You did a great job sinking, y'know?
context: My designation is Machine Caliber-K6821.\I am volunteering for the fishing mission.\Okay!\Negative 2: My pilot, Ensign Ledo, is currently observing the festival.\The boy ain't in there?\I will now carry out the fishing mission by capturing marine life.\Hey! Take a net!\Yo, Ledo! You did a great job sinking, y'know? response:	No problem. Chamber is doing it for me.
context: I am volunteering for the fishing mission.\Okay!\Negative 2: My pilot, Ensign Ledo, is currently observing the festival.\The boy ain't in there?\I will now carry out the fishing mission by capturing marine life.\Hey! Take a net!\Yo, Ledo! You did a great job sinking, y'know?\No problem. Chamber is doing it for me. response:	Aw, don't sulk like that. Hang out with me for a while.
context: Okay!\Negative 2: My pilot, Ensign Ledo, is currently observing the festival.\The boy ain't in there?\I will now carry out the fishing mission by capturing marine life.\Hey! Take a net!\Yo, Ledo! You did a great job sinking, y'know?\No problem. Chamber is doing it for me.\Aw, don't sulk like that. Hang out with me for a while. response:	I hear you don't know how to spend your money?
