context: Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands response:	W- What a Ki!
context: - I'm getting good service. - Or is it... you're that confident?\When you look at me this way, I'm very kind.\I know! How about I offer you another great service?\Great service?\I will keep myself from using both my hands!\- How's that? - Both hands? How very generous of you.\So then, can I start us off?\Of course. response:	Whatever you like.
context: When you look at me this way, I'm very kind.\I know! How about I offer you another great service?\Great service?\I will keep myself from using both my hands!\- How's that? - Both hands? How very generous of you.\So then, can I start us off?\Of course.\Whatever you like. response:	Ah, I've finally perfected it.
context: I know! How about I offer you another great service?\Great service?\I will keep myself from using both my hands!\- How's that? - Both hands? How very generous of you.\So then, can I start us off?\Of course.\Whatever you like.\Ah, I've finally perfected it. response:	- Well, she sure seems to be in a hurry to depart. - Yes, indeed!
context: Great service?\I will keep myself from using both my hands!\- How's that? - Both hands? How very generous of you.\So then, can I start us off?\Of course.\Whatever you like.\Ah, I've finally perfected it.\- Well, she sure seems to be in a hurry to depart. - Yes, indeed! response:	Why are you dawdlin' around!?
context: I will keep myself from using both my hands!\- How's that? - Both hands? How very generous of you.\So then, can I start us off?\Of course.\Whatever you like.\Ah, I've finally perfected it.\- Well, she sure seems to be in a hurry to depart. - Yes, indeed!\Why are you dawdlin' around!? response:	Tell me! When exactly can we leave!? While we're all down here like this, my Gohan-chan is...!
context: - How's that? - Both hands? How very generous of you.\So then, can I start us off?\Of course.\Whatever you like.\Ah, I've finally perfected it.\- Well, she sure seems to be in a hurry to depart. - Yes, indeed!\Why are you dawdlin' around!?\Tell me! When exactly can we leave!? While we're all down here like this, my Gohan-chan is...! response:	Gohan-chan is...!
context: So then, can I start us off?\Of course.\Whatever you like.\Ah, I've finally perfected it.\- Well, she sure seems to be in a hurry to depart. - Yes, indeed!\Why are you dawdlin' around!?\Tell me! When exactly can we leave!? While we're all down here like this, my Gohan-chan is...!\Gohan-chan is...! response:	S- See here, Chichi-san! Calm down!
context: Of course.\Whatever you like.\Ah, I've finally perfected it.\- Well, she sure seems to be in a hurry to depart. - Yes, indeed!\Why are you dawdlin' around!?\Tell me! When exactly can we leave!? While we're all down here like this, my Gohan-chan is...!\Gohan-chan is...!\S- See here, Chichi-san! Calm down! response:	Yes, indeed!
context: Whatever you like.\Ah, I've finally perfected it.\- Well, she sure seems to be in a hurry to depart. - Yes, indeed!\Why are you dawdlin' around!?\Tell me! When exactly can we leave!? While we're all down here like this, my Gohan-chan is...!\Gohan-chan is...!\S- See here, Chichi-san! Calm down!\Yes, indeed! response:	What are you doin' durin' all this commotion!? Dirty old man!
context: Ah, I've finally perfected it.\- Well, she sure seems to be in a hurry to depart. - Yes, indeed!\Why are you dawdlin' around!?\Tell me! When exactly can we leave!? While we're all down here like this, my Gohan-chan is...!\Gohan-chan is...!\S- See here, Chichi-san! Calm down!\Yes, indeed!\What are you doin' durin' all this commotion!? Dirty old man! response:	Not at all, Chichi-san!
context: - Well, she sure seems to be in a hurry to depart. - Yes, indeed!\Why are you dawdlin' around!?\Tell me! When exactly can we leave!? While we're all down here like this, my Gohan-chan is...!\Gohan-chan is...!\S- See here, Chichi-san! Calm down!\Yes, indeed!\What are you doin' durin' all this commotion!? Dirty old man!\Not at all, Chichi-san! response:	Yeah, converting this from a single-seater to a five-seater is quite a chore.
context: Why are you dawdlin' around!?\Tell me! When exactly can we leave!? While we're all down here like this, my Gohan-chan is...!\Gohan-chan is...!\S- See here, Chichi-san! Calm down!\Yes, indeed!\What are you doin' durin' all this commotion!? Dirty old man!\Not at all, Chichi-san!\Yeah, converting this from a single-seater to a five-seater is quite a chore. response:	Ah, that reminds me, I haven't decided where to place the stereo speakers.
context: Tell me! When exactly can we leave!? While we're all down here like this, my Gohan-chan is...!\Gohan-chan is...!\S- See here, Chichi-san! Calm down!\Yes, indeed!\What are you doin' durin' all this commotion!? Dirty old man!\Not at all, Chichi-san!\Yeah, converting this from a single-seater to a five-seater is quite a chore.\Ah, that reminds me, I haven't decided where to place the stereo speakers. response:	We don't need that stuff! Hurry up and make this thing go!
context: Gohan-chan is...!\S- See here, Chichi-san! Calm down!\Yes, indeed!\What are you doin' durin' all this commotion!? Dirty old man!\Not at all, Chichi-san!\Yeah, converting this from a single-seater to a five-seater is quite a chore.\Ah, that reminds me, I haven't decided where to place the stereo speakers.\We don't need that stuff! Hurry up and make this thing go! response:	The biggest issue there is the energy, you see.
context: S- See here, Chichi-san! Calm down!\Yes, indeed!\What are you doin' durin' all this commotion!? Dirty old man!\Not at all, Chichi-san!\Yeah, converting this from a single-seater to a five-seater is quite a chore.\Ah, that reminds me, I haven't decided where to place the stereo speakers.\We don't need that stuff! Hurry up and make this thing go!\The biggest issue there is the energy, you see. response:	The difficulty is, in order to fill up this spaceship with energy, it's going to take a little time.
context: Yes, indeed!\What are you doin' durin' all this commotion!? Dirty old man!\Not at all, Chichi-san!\Yeah, converting this from a single-seater to a five-seater is quite a chore.\Ah, that reminds me, I haven't decided where to place the stereo speakers.\We don't need that stuff! Hurry up and make this thing go!\The biggest issue there is the energy, you see.\The difficulty is, in order to fill up this spaceship with energy, it's going to take a little time. response:	So?
context: What are you doin' durin' all this commotion!? Dirty old man!\Not at all, Chichi-san!\Yeah, converting this from a single-seater to a five-seater is quite a chore.\Ah, that reminds me, I haven't decided where to place the stereo speakers.\We don't need that stuff! Hurry up and make this thing go!\The biggest issue there is the energy, you see.\The difficulty is, in order to fill up this spaceship with energy, it's going to take a little time.\So? response:	- How long's it gonna take? - Well, I just started a moment ago, so... I don't know.
context: Not at all, Chichi-san!\Yeah, converting this from a single-seater to a five-seater is quite a chore.\Ah, that reminds me, I haven't decided where to place the stereo speakers.\We don't need that stuff! Hurry up and make this thing go!\The biggest issue there is the energy, you see.\The difficulty is, in order to fill up this spaceship with energy, it's going to take a little time.\So?\- How long's it gonna take? - Well, I just started a moment ago, so... I don't know. response:	WHAT!?
context: Yeah, converting this from a single-seater to a five-seater is quite a chore.\Ah, that reminds me, I haven't decided where to place the stereo speakers.\We don't need that stuff! Hurry up and make this thing go!\The biggest issue there is the energy, you see.\The difficulty is, in order to fill up this spaceship with energy, it's going to take a little time.\So?\- How long's it gonna take? - Well, I just started a moment ago, so... I don't know.\WHAT!? response:	You know, guys...
context: Ah, that reminds me, I haven't decided where to place the stereo speakers.\We don't need that stuff! Hurry up and make this thing go!\The biggest issue there is the energy, you see.\The difficulty is, in order to fill up this spaceship with energy, it's going to take a little time.\So?\- How long's it gonna take? - Well, I just started a moment ago, so... I don't know.\WHAT!?\You know, guys... response:	How come we have to go to Planet Namek too?
context: We don't need that stuff! Hurry up and make this thing go!\The biggest issue there is the energy, you see.\The difficulty is, in order to fill up this spaceship with energy, it's going to take a little time.\So?\- How long's it gonna take? - Well, I just started a moment ago, so... I don't know.\WHAT!?\You know, guys...\How come we have to go to Planet Namek too? response:	That's the place where Piccolo was born.
context: The biggest issue there is the energy, you see.\The difficulty is, in order to fill up this spaceship with energy, it's going to take a little time.\So?\- How long's it gonna take? - Well, I just started a moment ago, so... I don't know.\WHAT!?\You know, guys...\How come we have to go to Planet Namek too?\That's the place where Piccolo was born. response:	On top of that, Vegeta and other, even more terrifying guys will be there!
context: The difficulty is, in order to fill up this spaceship with energy, it's going to take a little time.\So?\- How long's it gonna take? - Well, I just started a moment ago, so... I don't know.\WHAT!?\You know, guys...\How come we have to go to Planet Namek too?\That's the place where Piccolo was born.\On top of that, Vegeta and other, even more terrifying guys will be there! response:	Yamucha-sama!
context: So?\- How long's it gonna take? - Well, I just started a moment ago, so... I don't know.\WHAT!?\You know, guys...\How come we have to go to Planet Namek too?\That's the place where Piccolo was born.\On top of that, Vegeta and other, even more terrifying guys will be there!\Yamucha-sama! response:	l, Pu-Erh vow to go and strike down Yamucha-sama's enemies!
context: - How long's it gonna take? - Well, I just started a moment ago, so... I don't know.\WHAT!?\You know, guys...\How come we have to go to Planet Namek too?\That's the place where Piccolo was born.\On top of that, Vegeta and other, even more terrifying guys will be there!\Yamucha-sama!\l, Pu-Erh vow to go and strike down Yamucha-sama's enemies! response:	Please just sit tight, okay?
context: WHAT!?\You know, guys...\How come we have to go to Planet Namek too?\That's the place where Piccolo was born.\On top of that, Vegeta and other, even more terrifying guys will be there!\Yamucha-sama!\l, Pu-Erh vow to go and strike down Yamucha-sama's enemies!\Please just sit tight, okay? response:	You're not gonna live too long, are you?
context: You know, guys...\How come we have to go to Planet Namek too?\That's the place where Piccolo was born.\On top of that, Vegeta and other, even more terrifying guys will be there!\Yamucha-sama!\l, Pu-Erh vow to go and strike down Yamucha-sama's enemies!\Please just sit tight, okay?\You're not gonna live too long, are you? response:	Come on! To think, me, goin' to Planet Namek? Don't even kid'bout that! I'm gettin' out while I still...
context: How come we have to go to Planet Namek too?\That's the place where Piccolo was born.\On top of that, Vegeta and other, even more terrifying guys will be there!\Yamucha-sama!\l, Pu-Erh vow to go and strike down Yamucha-sama's enemies!\Please just sit tight, okay?\You're not gonna live too long, are you?\Come on! To think, me, goin' to Planet Namek? Don't even kid'bout that! I'm gettin' out while I still... response:	Thinking of running away by yourself, huh? Not going to be that easy!
context: That's the place where Piccolo was born.\On top of that, Vegeta and other, even more terrifying guys will be there!\Yamucha-sama!\l, Pu-Erh vow to go and strike down Yamucha-sama's enemies!\Please just sit tight, okay?\You're not gonna live too long, are you?\Come on! To think, me, goin' to Planet Namek? Don't even kid'bout that! I'm gettin' out while I still...\Thinking of running away by yourself, huh? Not going to be that easy! response:	Oh dear, what's the matter? Have you finished attacking?
context: On top of that, Vegeta and other, even more terrifying guys will be there!\Yamucha-sama!\l, Pu-Erh vow to go and strike down Yamucha-sama's enemies!\Please just sit tight, okay?\You're not gonna live too long, are you?\Come on! To think, me, goin' to Planet Namek? Don't even kid'bout that! I'm gettin' out while I still...\Thinking of running away by yourself, huh? Not going to be that easy!\Oh dear, what's the matter? Have you finished attacking? response:	Your motions are too slow!
context: Yamucha-sama!\l, Pu-Erh vow to go and strike down Yamucha-sama's enemies!\Please just sit tight, okay?\You're not gonna live too long, are you?\Come on! To think, me, goin' to Planet Namek? Don't even kid'bout that! I'm gettin' out while I still...\Thinking of running away by yourself, huh? Not going to be that easy!\Oh dear, what's the matter? Have you finished attacking?\Your motions are too slow! response:	There, and now from the left.
context: l, Pu-Erh vow to go and strike down Yamucha-sama's enemies!\Please just sit tight, okay?\You're not gonna live too long, are you?\Come on! To think, me, goin' to Planet Namek? Don't even kid'bout that! I'm gettin' out while I still...\Thinking of running away by yourself, huh? Not going to be that easy!\Oh dear, what's the matter? Have you finished attacking?\Your motions are too slow!\There, and now from the left. response:	Next, from the right!
context: Please just sit tight, okay?\You're not gonna live too long, are you?\Come on! To think, me, goin' to Planet Namek? Don't even kid'bout that! I'm gettin' out while I still...\Thinking of running away by yourself, huh? Not going to be that easy!\Oh dear, what's the matter? Have you finished attacking?\Your motions are too slow!\There, and now from the left.\Next, from the right! response:	Right! Left! Right!
context: You're not gonna live too long, are you?\Come on! To think, me, goin' to Planet Namek? Don't even kid'bout that! I'm gettin' out while I still...\Thinking of running away by yourself, huh? Not going to be that easy!\Oh dear, what's the matter? Have you finished attacking?\Your motions are too slow!\There, and now from the left.\Next, from the right!\Right! Left! Right! response:	And the final one, left!
context: Come on! To think, me, goin' to Planet Namek? Don't even kid'bout that! I'm gettin' out while I still...\Thinking of running away by yourself, huh? Not going to be that easy!\Oh dear, what's the matter? Have you finished attacking?\Your motions are too slow!\There, and now from the left.\Next, from the right!\Right! Left! Right!\And the final one, left! response:	He's strong! Got great speed too, as big as his talk.
context: Thinking of running away by yourself, huh? Not going to be that easy!\Oh dear, what's the matter? Have you finished attacking?\Your motions are too slow!\There, and now from the left.\Next, from the right!\Right! Left! Right!\And the final one, left!\He's strong! Got great speed too, as big as his talk. response:	- G- Goku... - Father!
context: Oh dear, what's the matter? Have you finished attacking?\Your motions are too slow!\There, and now from the left.\Next, from the right!\Right! Left! Right!\And the final one, left!\He's strong! Got great speed too, as big as his talk.\- G- Goku... - Father! response:	It's strange. Here I am fighting someone so incredibly strong, and I'm giddy with excitement!
context: Your motions are too slow!\There, and now from the left.\Next, from the right!\Right! Left! Right!\And the final one, left!\He's strong! Got great speed too, as big as his talk.\- G- Goku... - Father!\It's strange. Here I am fighting someone so incredibly strong, and I'm giddy with excitement! response:	If you're not going to come at me, then I'll bring it to you again!
context: There, and now from the left.\Next, from the right!\Right! Left! Right!\And the final one, left!\He's strong! Got great speed too, as big as his talk.\- G- Goku... - Father!\It's strange. Here I am fighting someone so incredibly strong, and I'm giddy with excitement!\If you're not going to come at me, then I'll bring it to you again! response:	You know something, I'm glad I met you! I was getting so bored, and the creatures on this planet are all so weird anyhow...
context: Next, from the right!\Right! Left! Right!\And the final one, left!\He's strong! Got great speed too, as big as his talk.\- G- Goku... - Father!\It's strange. Here I am fighting someone so incredibly strong, and I'm giddy with excitement!\If you're not going to come at me, then I'll bring it to you again!\You know something, I'm glad I met you! I was getting so bored, and the creatures on this planet are all so weird anyhow... response:	Ah, sorry, sorry! I've hurt your feelings! You're an exception!
context: Right! Left! Right!\And the final one, left!\He's strong! Got great speed too, as big as his talk.\- G- Goku... - Father!\It's strange. Here I am fighting someone so incredibly strong, and I'm giddy with excitement!\If you're not going to come at me, then I'll bring it to you again!\You know something, I'm glad I met you! I was getting so bored, and the creatures on this planet are all so weird anyhow...\Ah, sorry, sorry! I've hurt your feelings! You're an exception! response:	When I first saw all of you clustered around, I was all freaked out, but you alone were different!
context: And the final one, left!\He's strong! Got great speed too, as big as his talk.\- G- Goku... - Father!\It's strange. Here I am fighting someone so incredibly strong, and I'm giddy with excitement!\If you're not going to come at me, then I'll bring it to you again!\You know something, I'm glad I met you! I was getting so bored, and the creatures on this planet are all so weird anyhow...\Ah, sorry, sorry! I've hurt your feelings! You're an exception!\When I first saw all of you clustered around, I was all freaked out, but you alone were different! response:	That's enough! Who would ever expect me to die here among all these frogs!?
context: He's strong! Got great speed too, as big as his talk.\- G- Goku... - Father!\It's strange. Here I am fighting someone so incredibly strong, and I'm giddy with excitement!\If you're not going to come at me, then I'll bring it to you again!\You know something, I'm glad I met you! I was getting so bored, and the creatures on this planet are all so weird anyhow...\Ah, sorry, sorry! I've hurt your feelings! You're an exception!\When I first saw all of you clustered around, I was all freaked out, but you alone were different!\That's enough! Who would ever expect me to die here among all these frogs!? response:	Ah, so gross!
context: - G- Goku... - Father!\It's strange. Here I am fighting someone so incredibly strong, and I'm giddy with excitement!\If you're not going to come at me, then I'll bring it to you again!\You know something, I'm glad I met you! I was getting so bored, and the creatures on this planet are all so weird anyhow...\Ah, sorry, sorry! I've hurt your feelings! You're an exception!\When I first saw all of you clustered around, I was all freaked out, but you alone were different!\That's enough! Who would ever expect me to die here among all these frogs!?\Ah, so gross! response:	You seemed to have a lot of promise, so I'll let you be my friend!
context: It's strange. Here I am fighting someone so incredibly strong, and I'm giddy with excitement!\If you're not going to come at me, then I'll bring it to you again!\You know something, I'm glad I met you! I was getting so bored, and the creatures on this planet are all so weird anyhow...\Ah, sorry, sorry! I've hurt your feelings! You're an exception!\When I first saw all of you clustered around, I was all freaked out, but you alone were different!\That's enough! Who would ever expect me to die here among all these frogs!?\Ah, so gross!\You seemed to have a lot of promise, so I'll let you be my friend! response:	Do you want to eat some too?
context: If you're not going to come at me, then I'll bring it to you again!\You know something, I'm glad I met you! I was getting so bored, and the creatures on this planet are all so weird anyhow...\Ah, sorry, sorry! I've hurt your feelings! You're an exception!\When I first saw all of you clustered around, I was all freaked out, but you alone were different!\That's enough! Who would ever expect me to die here among all these frogs!?\Ah, so gross!\You seemed to have a lot of promise, so I'll let you be my friend!\Do you want to eat some too? response:	For a frog, you're really eating this stuff, huh? Well then...
context: You know something, I'm glad I met you! I was getting so bored, and the creatures on this planet are all so weird anyhow...\Ah, sorry, sorry! I've hurt your feelings! You're an exception!\When I first saw all of you clustered around, I was all freaked out, but you alone were different!\That's enough! Who would ever expect me to die here among all these frogs!?\Ah, so gross!\You seemed to have a lot of promise, so I'll let you be my friend!\Do you want to eat some too?\For a frog, you're really eating this stuff, huh? Well then... response:	Would you eat some of this, too?
context: Ah, sorry, sorry! I've hurt your feelings! You're an exception!\When I first saw all of you clustered around, I was all freaked out, but you alone were different!\That's enough! Who would ever expect me to die here among all these frogs!?\Ah, so gross!\You seemed to have a lot of promise, so I'll let you be my friend!\Do you want to eat some too?\For a frog, you're really eating this stuff, huh? Well then...\Would you eat some of this, too? response:	It's been a long time since I laughed so hard!
context: When I first saw all of you clustered around, I was all freaked out, but you alone were different!\That's enough! Who would ever expect me to die here among all these frogs!?\Ah, so gross!\You seemed to have a lot of promise, so I'll let you be my friend!\Do you want to eat some too?\For a frog, you're really eating this stuff, huh? Well then...\Would you eat some of this, too?\It's been a long time since I laughed so hard! response:	Overall, you really do seem to understand what I'm saying.
context: That's enough! Who would ever expect me to die here among all these frogs!?\Ah, so gross!\You seemed to have a lot of promise, so I'll let you be my friend!\Do you want to eat some too?\For a frog, you're really eating this stuff, huh? Well then...\Would you eat some of this, too?\It's been a long time since I laughed so hard!\Overall, you really do seem to understand what I'm saying. response:	Say! If we had a translator device, I bet I could talk to you!
context: Ah, so gross!\You seemed to have a lot of promise, so I'll let you be my friend!\Do you want to eat some too?\For a frog, you're really eating this stuff, huh? Well then...\Would you eat some of this, too?\It's been a long time since I laughed so hard!\Overall, you really do seem to understand what I'm saying.\Say! If we had a translator device, I bet I could talk to you! response:	I'm so clever!
context: You seemed to have a lot of promise, so I'll let you be my friend!\Do you want to eat some too?\For a frog, you're really eating this stuff, huh? Well then...\Would you eat some of this, too?\It's been a long time since I laughed so hard!\Overall, you really do seem to understand what I'm saying.\Say! If we had a translator device, I bet I could talk to you!\I'm so clever! response:	It's finished!
context: Do you want to eat some too?\For a frog, you're really eating this stuff, huh? Well then...\Would you eat some of this, too?\It's been a long time since I laughed so hard!\Overall, you really do seem to understand what I'm saying.\Say! If we had a translator device, I bet I could talk to you!\I'm so clever!\It's finished! response:	That was easier than I expected.
context: For a frog, you're really eating this stuff, huh? Well then...\Would you eat some of this, too?\It's been a long time since I laughed so hard!\Overall, you really do seem to understand what I'm saying.\Say! If we had a translator device, I bet I could talk to you!\I'm so clever!\It's finished!\That was easier than I expected. response:	Indeed, the word impossible doesn't exist for a genius like me, Bulma-sama!
context: Would you eat some of this, too?\It's been a long time since I laughed so hard!\Overall, you really do seem to understand what I'm saying.\Say! If we had a translator device, I bet I could talk to you!\I'm so clever!\It's finished!\That was easier than I expected.\Indeed, the word impossible doesn't exist for a genius like me, Bulma-sama! response:	- Here goes! - Switch on!
context: It's been a long time since I laughed so hard!\Overall, you really do seem to understand what I'm saying.\Say! If we had a translator device, I bet I could talk to you!\I'm so clever!\It's finished!\That was easier than I expected.\Indeed, the word impossible doesn't exist for a genius like me, Bulma-sama!\- Here goes! - Switch on! response:	Go on, try saying something! Don't be shy!
context: Overall, you really do seem to understand what I'm saying.\Say! If we had a translator device, I bet I could talk to you!\I'm so clever!\It's finished!\That was easier than I expected.\Indeed, the word impossible doesn't exist for a genius like me, Bulma-sama!\- Here goes! - Switch on!\Go on, try saying something! Don't be shy! response:	CHAAN-GE!!
context: Say! If we had a translator device, I bet I could talk to you!\I'm so clever!\It's finished!\That was easier than I expected.\Indeed, the word impossible doesn't exist for a genius like me, Bulma-sama!\- Here goes! - Switch on!\Go on, try saying something! Don't be shy!\CHAAN-GE!! response:	W- What's this? What is it?
context: I'm so clever!\It's finished!\That was easier than I expected.\Indeed, the word impossible doesn't exist for a genius like me, Bulma-sama!\- Here goes! - Switch on!\Go on, try saying something! Don't be shy!\CHAAN-GE!!\W- What's this? What is it? response:	You're the first person I'd encountered in some time, so I tagged along, hoping some kind of chance would come around...
context: It's finished!\That was easier than I expected.\Indeed, the word impossible doesn't exist for a genius like me, Bulma-sama!\- Here goes! - Switch on!\Go on, try saying something! Don't be shy!\CHAAN-GE!!\W- What's this? What is it?\You're the first person I'd encountered in some time, so I tagged along, hoping some kind of chance would come around... response:	W- What am I doing over there!?
context: That was easier than I expected.\Indeed, the word impossible doesn't exist for a genius like me, Bulma-sama!\- Here goes! - Switch on!\Go on, try saying something! Don't be shy!\CHAAN-GE!!\W- What's this? What is it?\You're the first person I'd encountered in some time, so I tagged along, hoping some kind of chance would come around...\W- What am I doing over there!? response:	Just what is going on here!?
context: Indeed, the word impossible doesn't exist for a genius like me, Bulma-sama!\- Here goes! - Switch on!\Go on, try saying something! Don't be shy!\CHAAN-GE!!\W- What's this? What is it?\You're the first person I'd encountered in some time, so I tagged along, hoping some kind of chance would come around...\W- What am I doing over there!?\Just what is going on here!? response:	You have my gratitude, little miss. It's enough that I want to dance the Dance of Joy!
context: - Here goes! - Switch on!\Go on, try saying something! Don't be shy!\CHAAN-GE!!\W- What's this? What is it?\You're the first person I'd encountered in some time, so I tagged along, hoping some kind of chance would come around...\W- What am I doing over there!?\Just what is going on here!?\You have my gratitude, little miss. It's enough that I want to dance the Dance of Joy! response:	However, this is one unsightly form!
context: Go on, try saying something! Don't be shy!\CHAAN-GE!!\W- What's this? What is it?\You're the first person I'd encountered in some time, so I tagged along, hoping some kind of chance would come around...\W- What am I doing over there!?\Just what is going on here!?\You have my gratitude, little miss. It's enough that I want to dance the Dance of Joy!\However, this is one unsightly form! response:	Well then, how about I set out to find a stronger body?
context: CHAAN-GE!!\W- What's this? What is it?\You're the first person I'd encountered in some time, so I tagged along, hoping some kind of chance would come around...\W- What am I doing over there!?\Just what is going on here!?\You have my gratitude, little miss. It's enough that I want to dance the Dance of Joy!\However, this is one unsightly form!\Well then, how about I set out to find a stronger body? response:	Who would have thought he could have possibly done this much?
context: W- What's this? What is it?\You're the first person I'd encountered in some time, so I tagged along, hoping some kind of chance would come around...\W- What am I doing over there!?\Just what is going on here!?\You have my gratitude, little miss. It's enough that I want to dance the Dance of Joy!\However, this is one unsightly form!\Well then, how about I set out to find a stronger body?\Who would have thought he could have possibly done this much? response:	Dammit... I can't get free...!
context: You're the first person I'd encountered in some time, so I tagged along, hoping some kind of chance would come around...\W- What am I doing over there!?\Just what is going on here!?\You have my gratitude, little miss. It's enough that I want to dance the Dance of Joy!\However, this is one unsightly form!\Well then, how about I set out to find a stronger body?\Who would have thought he could have possibly done this much?\Dammit... I can't get free...! response:	I thought you weren't going to use your hands, right?
context: W- What am I doing over there!?\Just what is going on here!?\You have my gratitude, little miss. It's enough that I want to dance the Dance of Joy!\However, this is one unsightly form!\Well then, how about I set out to find a stronger body?\Who would have thought he could have possibly done this much?\Dammit... I can't get free...!\I thought you weren't going to use your hands, right? response:	The service time has run out.
context: Just what is going on here!?\You have my gratitude, little miss. It's enough that I want to dance the Dance of Joy!\However, this is one unsightly form!\Well then, how about I set out to find a stronger body?\Who would have thought he could have possibly done this much?\Dammit... I can't get free...!\I thought you weren't going to use your hands, right?\The service time has run out. response:	Well, let me offer my service, if you want to call it that, by giving you some advice.
context: You have my gratitude, little miss. It's enough that I want to dance the Dance of Joy!\However, this is one unsightly form!\Well then, how about I set out to find a stronger body?\Who would have thought he could have possibly done this much?\Dammit... I can't get free...!\I thought you weren't going to use your hands, right?\The service time has run out.\Well, let me offer my service, if you want to call it that, by giving you some advice. response:	Advice?
context: However, this is one unsightly form!\Well then, how about I set out to find a stronger body?\Who would have thought he could have possibly done this much?\Dammit... I can't get free...!\I thought you weren't going to use your hands, right?\The service time has run out.\Well, let me offer my service, if you want to call it that, by giving you some advice.\Advice? response:	You put too much faith in your own strength. As a result, you leave yourself wide open to attack.
context: Well then, how about I set out to find a stronger body?\Who would have thought he could have possibly done this much?\Dammit... I can't get free...!\I thought you weren't going to use your hands, right?\The service time has run out.\Well, let me offer my service, if you want to call it that, by giving you some advice.\Advice?\You put too much faith in your own strength. As a result, you leave yourself wide open to attack. response:	My thanks.
