context: :D response:	I entered middle school when I was twelve.
context: Sorry, I guess that was boring.\I'll try to have a different vibe next year.\You already do, for the better.\You're easier to talk to.\You're fine.\You're fine.\Don't say that...\You're going to ruin the makeup Ayane-chan did for me. response:	Kuronuma!
context: I'll try to have a different vibe next year.\You already do, for the better.\You're easier to talk to.\You're fine.\You're fine.\Don't say that...\You're going to ruin the makeup Ayane-chan did for me.\Kuronuma! response:	Three seconds, wait three seconds.
context: You already do, for the better.\You're easier to talk to.\You're fine.\You're fine.\Don't say that...\You're going to ruin the makeup Ayane-chan did for me.\Kuronuma!\Three seconds, wait three seconds. response:	Three?
context: You're easier to talk to.\You're fine.\You're fine.\Don't say that...\You're going to ruin the makeup Ayane-chan did for me.\Kuronuma!\Three seconds, wait three seconds.\Three? response:	You've always had a good vibe.
context: You're fine.\You're fine.\Don't say that...\You're going to ruin the makeup Ayane-chan did for me.\Kuronuma!\Three seconds, wait three seconds.\Three?\You've always had a good vibe. response:	You were smiling, even before the entrance ceremony.
context: You're fine.\Don't say that...\You're going to ruin the makeup Ayane-chan did for me.\Kuronuma!\Three seconds, wait three seconds.\Three?\You've always had a good vibe.\You were smiling, even before the entrance ceremony. response:	When you gave me directions.
context: Don't say that...\You're going to ruin the makeup Ayane-chan did for me.\Kuronuma!\Three seconds, wait three seconds.\Three?\You've always had a good vibe.\You were smiling, even before the entrance ceremony.\When you gave me directions. response:	Then we were in the same class,
context: You're going to ruin the makeup Ayane-chan did for me.\Kuronuma!\Three seconds, wait three seconds.\Three?\You've always had a good vibe.\You were smiling, even before the entrance ceremony.\When you gave me directions.\Then we were in the same class, response:	but I haven't seen you smile like that since.
context: Kuronuma!\Three seconds, wait three seconds.\Three?\You've always had a good vibe.\You were smiling, even before the entrance ceremony.\When you gave me directions.\Then we were in the same class,\but I haven't seen you smile like that since. response:	I've been wondering what kind of person you were.
context: Three seconds, wait three seconds.\Three?\You've always had a good vibe.\You were smiling, even before the entrance ceremony.\When you gave me directions.\Then we were in the same class,\but I haven't seen you smile like that since.\I've been wondering what kind of person you were. response:	I didn't think you'd remember when we first met.
context: Three?\You've always had a good vibe.\You were smiling, even before the entrance ceremony.\When you gave me directions.\Then we were in the same class,\but I haven't seen you smile like that since.\I've been wondering what kind of person you were.\I didn't think you'd remember when we first met. response:	I thought you'd be a good person,
context: You've always had a good vibe.\You were smiling, even before the entrance ceremony.\When you gave me directions.\Then we were in the same class,\but I haven't seen you smile like that since.\I've been wondering what kind of person you were.\I didn't think you'd remember when we first met.\I thought you'd be a good person, response:	but more than that...
context: You were smiling, even before the entrance ceremony.\When you gave me directions.\Then we were in the same class,\but I haven't seen you smile like that since.\I've been wondering what kind of person you were.\I didn't think you'd remember when we first met.\I thought you'd be a good person,\but more than that... response:	More?
context: When you gave me directions.\Then we were in the same class,\but I haven't seen you smile like that since.\I've been wondering what kind of person you were.\I didn't think you'd remember when we first met.\I thought you'd be a good person,\but more than that...\More? response:	I guess I can assume he thinks I'm a good person.
context: Then we were in the same class,\but I haven't seen you smile like that since.\I've been wondering what kind of person you were.\I didn't think you'd remember when we first met.\I thought you'd be a good person,\but more than that...\More?\I guess I can assume he thinks I'm a good person. response:	You changed a lot today too; you scared me.
context: but I haven't seen you smile like that since.\I've been wondering what kind of person you were.\I didn't think you'd remember when we first met.\I thought you'd be a good person,\but more than that...\More?\I guess I can assume he thinks I'm a good person.\You changed a lot today too; you scared me. response:	I-I'm sorry. I didn't mean to scare you.
context: I've been wondering what kind of person you were.\I didn't think you'd remember when we first met.\I thought you'd be a good person,\but more than that...\More?\I guess I can assume he thinks I'm a good person.\You changed a lot today too; you scared me.\I-I'm sorry. I didn't mean to scare you. response:	See, that's not what I meant.
context: I didn't think you'd remember when we first met.\I thought you'd be a good person,\but more than that...\More?\I guess I can assume he thinks I'm a good person.\You changed a lot today too; you scared me.\I-I'm sorry. I didn't mean to scare you.\See, that's not what I meant. response:	No.
context: I thought you'd be a good person,\but more than that...\More?\I guess I can assume he thinks I'm a good person.\You changed a lot today too; you scared me.\I-I'm sorry. I didn't mean to scare you.\See, that's not what I meant.\No. response:	Which is it?
context: but more than that...\More?\I guess I can assume he thinks I'm a good person.\You changed a lot today too; you scared me.\I-I'm sorry. I didn't mean to scare you.\See, that's not what I meant.\No.\Which is it? response:	Forget it.
context: More?\I guess I can assume he thinks I'm a good person.\You changed a lot today too; you scared me.\I-I'm sorry. I didn't mean to scare you.\See, that's not what I meant.\No.\Which is it?\Forget it. response:	Let's line up to visit the shrine.
context: I guess I can assume he thinks I'm a good person.\You changed a lot today too; you scared me.\I-I'm sorry. I didn't mean to scare you.\See, that's not what I meant.\No.\Which is it?\Forget it.\Let's line up to visit the shrine. response:	It's almost new year.
context: You changed a lot today too; you scared me.\I-I'm sorry. I didn't mean to scare you.\See, that's not what I meant.\No.\Which is it?\Forget it.\Let's line up to visit the shrine.\It's almost new year. response:	You already do, for the better.
context: I-I'm sorry. I didn't mean to scare you.\See, that's not what I meant.\No.\Which is it?\Forget it.\Let's line up to visit the shrine.\It's almost new year.\You already do, for the better. response:	Maybe I've changed.
context: See, that's not what I meant.\No.\Which is it?\Forget it.\Let's line up to visit the shrine.\It's almost new year.\You already do, for the better.\Maybe I've changed. response:	You wished you were cute when you met Kurumi, didn't you?
context: No.\Which is it?\Forget it.\Let's line up to visit the shrine.\It's almost new year.\You already do, for the better.\Maybe I've changed.\You wished you were cute when you met Kurumi, didn't you? response:	Think about why you want to be cute.
context: Which is it?\Forget it.\Let's line up to visit the shrine.\It's almost new year.\You already do, for the better.\Maybe I've changed.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute. response:	Ayane-chan, there's only one answer to that.
context: Forget it.\Let's line up to visit the shrine.\It's almost new year.\You already do, for the better.\Maybe I've changed.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Ayane-chan, there's only one answer to that. response:	It's too hard to say.
context: Let's line up to visit the shrine.\It's almost new year.\You already do, for the better.\Maybe I've changed.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Ayane-chan, there's only one answer to that.\It's too hard to say. response:	You were cuter than I thought.
context: It's almost new year.\You already do, for the better.\Maybe I've changed.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Ayane-chan, there's only one answer to that.\It's too hard to say.\You were cuter than I thought. response:	I used to want to be more like Kazehaya-kun.
context: You already do, for the better.\Maybe I've changed.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Ayane-chan, there's only one answer to that.\It's too hard to say.\You were cuter than I thought.\I used to want to be more like Kazehaya-kun. response:	Now I want him to think I'm cute, if only just a little.
context: Maybe I've changed.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Ayane-chan, there's only one answer to that.\It's too hard to say.\You were cuter than I thought.\I used to want to be more like Kazehaya-kun.\Now I want him to think I'm cute, if only just a little. response:	Arms...
context: You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Ayane-chan, there's only one answer to that.\It's too hard to say.\You were cuter than I thought.\I used to want to be more like Kazehaya-kun.\Now I want him to think I'm cute, if only just a little.\Arms... response:	How long are we doing this for?
context: Think about why you want to be cute.\Ayane-chan, there's only one answer to that.\It's too hard to say.\You were cuter than I thought.\I used to want to be more like Kazehaya-kun.\Now I want him to think I'm cute, if only just a little.\Arms...\How long are we doing this for? response:	Until Joe gets bored of Yano-chin?
context: Ayane-chan, there's only one answer to that.\It's too hard to say.\You were cuter than I thought.\I used to want to be more like Kazehaya-kun.\Now I want him to think I'm cute, if only just a little.\Arms...\How long are we doing this for?\Until Joe gets bored of Yano-chin? response:	I'm going home.
context: It's too hard to say.\You were cuter than I thought.\I used to want to be more like Kazehaya-kun.\Now I want him to think I'm cute, if only just a little.\Arms...\How long are we doing this for?\Until Joe gets bored of Yano-chin?\I'm going home. response:	Later, Joe.
context: You were cuter than I thought.\I used to want to be more like Kazehaya-kun.\Now I want him to think I'm cute, if only just a little.\Arms...\How long are we doing this for?\Until Joe gets bored of Yano-chin?\I'm going home.\Later, Joe. response:	Later.
context: I used to want to be more like Kazehaya-kun.\Now I want him to think I'm cute, if only just a little.\Arms...\How long are we doing this for?\Until Joe gets bored of Yano-chin?\I'm going home.\Later, Joe.\Later. response:	Sweet sake...
context: Now I want him to think I'm cute, if only just a little.\Arms...\How long are we doing this for?\Until Joe gets bored of Yano-chin?\I'm going home.\Later, Joe.\Later.\Sweet sake... response:	Hey, Ryu.
context: Arms...\How long are we doing this for?\Until Joe gets bored of Yano-chin?\I'm going home.\Later, Joe.\Later.\Sweet sake...\Hey, Ryu. response:	Joe, your down jacket.
context: How long are we doing this for?\Until Joe gets bored of Yano-chin?\I'm going home.\Later, Joe.\Later.\Sweet sake...\Hey, Ryu.\Joe, your down jacket. response:	Like it? I just bought it.
context: Until Joe gets bored of Yano-chin?\I'm going home.\Later, Joe.\Later.\Sweet sake...\Hey, Ryu.\Joe, your down jacket.\Like it? I just bought it. response:	It's probably full of holes from the sparks.
context: I'm going home.\Later, Joe.\Later.\Sweet sake...\Hey, Ryu.\Joe, your down jacket.\Like it? I just bought it.\It's probably full of holes from the sparks. response:	Later.
context: Later, Joe.\Later.\Sweet sake...\Hey, Ryu.\Joe, your down jacket.\Like it? I just bought it.\It's probably full of holes from the sparks.\Later. response:	Hey, what about the shrine?
context: Later.\Sweet sake...\Hey, Ryu.\Joe, your down jacket.\Like it? I just bought it.\It's probably full of holes from the sparks.\Later.\Hey, what about the shrine? response:	He came all the way here.
context: Sweet sake...\Hey, Ryu.\Joe, your down jacket.\Like it? I just bought it.\It's probably full of holes from the sparks.\Later.\Hey, what about the shrine?\He came all the way here. response:	Go, Chizu.
context: Hey, Ryu.\Joe, your down jacket.\Like it? I just bought it.\It's probably full of holes from the sparks.\Later.\Hey, what about the shrine?\He came all the way here.\Go, Chizu. response:	You didn't really explain why you dragged him around, did you?
context: Joe, your down jacket.\Like it? I just bought it.\It's probably full of holes from the sparks.\Later.\Hey, what about the shrine?\He came all the way here.\Go, Chizu.\You didn't really explain why you dragged him around, did you? response:	Go already.
context: Like it? I just bought it.\It's probably full of holes from the sparks.\Later.\Hey, what about the shrine?\He came all the way here.\Go, Chizu.\You didn't really explain why you dragged him around, did you?\Go already. response:	Sorry, Yano-chin. I'll hook you up with ramen next time.
context: It's probably full of holes from the sparks.\Later.\Hey, what about the shrine?\He came all the way here.\Go, Chizu.\You didn't really explain why you dragged him around, did you?\Go already.\Sorry, Yano-chin. I'll hook you up with ramen next time. response:	No, I'll get fat.
context: Later.\Hey, what about the shrine?\He came all the way here.\Go, Chizu.\You didn't really explain why you dragged him around, did you?\Go already.\Sorry, Yano-chin. I'll hook you up with ramen next time.\No, I'll get fat. response:	It was so expensive.
context: Hey, what about the shrine?\He came all the way here.\Go, Chizu.\You didn't really explain why you dragged him around, did you?\Go already.\Sorry, Yano-chin. I'll hook you up with ramen next time.\No, I'll get fat.\It was so expensive. response:	But now we're alone.
context: He came all the way here.\Go, Chizu.\You didn't really explain why you dragged him around, did you?\Go already.\Sorry, Yano-chin. I'll hook you up with ramen next time.\No, I'll get fat.\It was so expensive.\But now we're alone. response:	Ryu!
context: Go, Chizu.\You didn't really explain why you dragged him around, did you?\Go already.\Sorry, Yano-chin. I'll hook you up with ramen next time.\No, I'll get fat.\It was so expensive.\But now we're alone.\Ryu! response:	Why'd you ditch us like that?
context: You didn't really explain why you dragged him around, did you?\Go already.\Sorry, Yano-chin. I'll hook you up with ramen next time.\No, I'll get fat.\It was so expensive.\But now we're alone.\Ryu!\Why'd you ditch us like that? response:	Sorry, it got lame.
context: Go already.\Sorry, Yano-chin. I'll hook you up with ramen next time.\No, I'll get fat.\It was so expensive.\But now we're alone.\Ryu!\Why'd you ditch us like that?\Sorry, it got lame. response:	I couldn't put up with it.
context: Sorry, Yano-chin. I'll hook you up with ramen next time.\No, I'll get fat.\It was so expensive.\But now we're alone.\Ryu!\Why'd you ditch us like that?\Sorry, it got lame.\I couldn't put up with it. response:	No hesitation.
context: No, I'll get fat.\It was so expensive.\But now we're alone.\Ryu!\Why'd you ditch us like that?\Sorry, it got lame.\I couldn't put up with it.\No hesitation. response:	Why don't you be a bit more friendly?
context: It was so expensive.\But now we're alone.\Ryu!\Why'd you ditch us like that?\Sorry, it got lame.\I couldn't put up with it.\No hesitation.\Why don't you be a bit more friendly? response:	Oh yeah.
context: But now we're alone.\Ryu!\Why'd you ditch us like that?\Sorry, it got lame.\I couldn't put up with it.\No hesitation.\Why don't you be a bit more friendly?\Oh yeah. response:	Try saying Chi.
context: Ryu!\Why'd you ditch us like that?\Sorry, it got lame.\I couldn't put up with it.\No hesitation.\Why don't you be a bit more friendly?\Oh yeah.\Try saying Chi. response:	Never.
context: Why'd you ditch us like that?\Sorry, it got lame.\I couldn't put up with it.\No hesitation.\Why don't you be a bit more friendly?\Oh yeah.\Try saying Chi.\Never. response:	Why?
context: Sorry, it got lame.\I couldn't put up with it.\No hesitation.\Why don't you be a bit more friendly?\Oh yeah.\Try saying Chi.\Never.\Why? response:	It'll make you smile.
context: I couldn't put up with it.\No hesitation.\Why don't you be a bit more friendly?\Oh yeah.\Try saying Chi.\Never.\Why?\It'll make you smile. response:	Whatever happens,
context: No hesitation.\Why don't you be a bit more friendly?\Oh yeah.\Try saying Chi.\Never.\Why?\It'll make you smile.\Whatever happens, response:	however Kuronuma acts,
context: Why don't you be a bit more friendly?\Oh yeah.\Try saying Chi.\Never.\Why?\It'll make you smile.\Whatever happens,\however Kuronuma acts, response:	even if they bump into someone they know,
context: Oh yeah.\Try saying Chi.\Never.\Why?\It'll make you smile.\Whatever happens,\however Kuronuma acts,\even if they bump into someone they know, response:	Shouta will figure it out.
context: Try saying Chi.\Never.\Why?\It'll make you smile.\Whatever happens,\however Kuronuma acts,\even if they bump into someone they know,\Shouta will figure it out. response:	Well, I guess...
context: Never.\Why?\It'll make you smile.\Whatever happens,\however Kuronuma acts,\even if they bump into someone they know,\Shouta will figure it out.\Well, I guess... response:	Just let them be.
context: Why?\It'll make you smile.\Whatever happens,\however Kuronuma acts,\even if they bump into someone they know,\Shouta will figure it out.\Well, I guess...\Just let them be. response:	You're having too much fun.
context: It'll make you smile.\Whatever happens,\however Kuronuma acts,\even if they bump into someone they know,\Shouta will figure it out.\Well, I guess...\Just let them be.\You're having too much fun. response:	But I wanted to see them.
context: Whatever happens,\however Kuronuma acts,\even if they bump into someone they know,\Shouta will figure it out.\Well, I guess...\Just let them be.\You're having too much fun.\But I wanted to see them. response:	Besides, I don't think you need to worry about them.
context: however Kuronuma acts,\even if they bump into someone they know,\Shouta will figure it out.\Well, I guess...\Just let them be.\You're having too much fun.\But I wanted to see them.\Besides, I don't think you need to worry about them. response:	It looks like they're doing well.
context: even if they bump into someone they know,\Shouta will figure it out.\Well, I guess...\Just let them be.\You're having too much fun.\But I wanted to see them.\Besides, I don't think you need to worry about them.\It looks like they're doing well. response:	See?
context: Shouta will figure it out.\Well, I guess...\Just let them be.\You're having too much fun.\But I wanted to see them.\Besides, I don't think you need to worry about them.\It looks like they're doing well.\See? response:	So I'm going to have sweet sake and go home.
context: Well, I guess...\Just let them be.\You're having too much fun.\But I wanted to see them.\Besides, I don't think you need to worry about them.\It looks like they're doing well.\See?\So I'm going to have sweet sake and go home. response:	No you're not.
context: Just let them be.\You're having too much fun.\But I wanted to see them.\Besides, I don't think you need to worry about them.\It looks like they're doing well.\See?\So I'm going to have sweet sake and go home.\No you're not. response:	You're visiting the shrine with me.
context: You're having too much fun.\But I wanted to see them.\Besides, I don't think you need to worry about them.\It looks like they're doing well.\See?\So I'm going to have sweet sake and go home.\No you're not.\You're visiting the shrine with me. response:	Sweet sake...
context: But I wanted to see them.\Besides, I don't think you need to worry about them.\It looks like they're doing well.\See?\So I'm going to have sweet sake and go home.\No you're not.\You're visiting the shrine with me.\Sweet sake... response:	Five, four, three, two, one
context: Besides, I don't think you need to worry about them.\It looks like they're doing well.\See?\So I'm going to have sweet sake and go home.\No you're not.\You're visiting the shrine with me.\Sweet sake...\Five, four, three, two, one response:	Happy new year!
context: It looks like they're doing well.\See?\So I'm going to have sweet sake and go home.\No you're not.\You're visiting the shrine with me.\Sweet sake...\Five, four, three, two, one\Happy new year! response:	Happy new year.
context: See?\So I'm going to have sweet sake and go home.\No you're not.\You're visiting the shrine with me.\Sweet sake...\Five, four, three, two, one\Happy new year!\Happy new year. response:	Best regards for the new year.
context: So I'm going to have sweet sake and go home.\No you're not.\You're visiting the shrine with me.\Sweet sake...\Five, four, three, two, one\Happy new year!\Happy new year.\Best regards for the new year. response:	Y-You too, best regards for the new year.
context: No you're not.\You're visiting the shrine with me.\Sweet sake...\Five, four, three, two, one\Happy new year!\Happy new year.\Best regards for the new year.\Y-You too, best regards for the new year. response:	It's already...
context: You're visiting the shrine with me.\Sweet sake...\Five, four, three, two, one\Happy new year!\Happy new year.\Best regards for the new year.\Y-You too, best regards for the new year.\It's already... response:	Did you receive a text?
context: Sweet sake...\Five, four, three, two, one\Happy new year!\Happy new year.\Best regards for the new year.\Y-You too, best regards for the new year.\It's already...\Did you receive a text? response:	Oh yeah, I did.
context: Five, four, three, two, one\Happy new year!\Happy new year.\Best regards for the new year.\Y-You too, best regards for the new year.\It's already...\Did you receive a text?\Oh yeah, I did. response:	Two even.
context: Happy new year!\Happy new year.\Best regards for the new year.\Y-You too, best regards for the new year.\It's already...\Did you receive a text?\Oh yeah, I did.\Two even. response:	They're from Chizu-chan and Ayane-chan.
context: Happy new year.\Best regards for the new year.\Y-You too, best regards for the new year.\It's already...\Did you receive a text?\Oh yeah, I did.\Two even.\They're from Chizu-chan and Ayane-chan. response:	Aren't you going to respond?
context: Best regards for the new year.\Y-You too, best regards for the new year.\It's already...\Did you receive a text?\Oh yeah, I did.\Two even.\They're from Chizu-chan and Ayane-chan.\Aren't you going to respond? response:	Can I?
context: Y-You too, best regards for the new year.\It's already...\Did you receive a text?\Oh yeah, I did.\Two even.\They're from Chizu-chan and Ayane-chan.\Aren't you going to respond?\Can I? response:	Of course.
context: It's already...\Did you receive a text?\Oh yeah, I did.\Two even.\They're from Chizu-chan and Ayane-chan.\Aren't you going to respond?\Can I?\Of course. response:	Happy-new-year.
context: Did you receive a text?\Oh yeah, I did.\Two even.\They're from Chizu-chan and Ayane-chan.\Aren't you going to respond?\Can I?\Of course.\Happy-new-year. response:	They beat me to texting her.
context: Oh yeah, I did.\Two even.\They're from Chizu-chan and Ayane-chan.\Aren't you going to respond?\Can I?\Of course.\Happy-new-year.\They beat me to texting her. response:	Oh well.
context: Two even.\They're from Chizu-chan and Ayane-chan.\Aren't you going to respond?\Can I?\Of course.\Happy-new-year.\They beat me to texting her.\Oh well. response:	I'm having fun. Thanks.
context: They're from Chizu-chan and Ayane-chan.\Aren't you going to respond?\Can I?\Of course.\Happy-new-year.\They beat me to texting her.\Oh well.\I'm having fun. Thanks. response:	Sawako responded.
context: Aren't you going to respond?\Can I?\Of course.\Happy-new-year.\They beat me to texting her.\Oh well.\I'm having fun. Thanks.\Sawako responded. response:	Happy new year.
context: Can I?\Of course.\Happy-new-year.\They beat me to texting her.\Oh well.\I'm having fun. Thanks.\Sawako responded.\Happy new year. response:	Best regards for the new year.
context: Of course.\Happy-new-year.\They beat me to texting her.\Oh well.\I'm having fun. Thanks.\Sawako responded.\Happy new year.\Best regards for the new year. response:	So much of what happened last year were firsts for me.
context: Happy-new-year.\They beat me to texting her.\Oh well.\I'm having fun. Thanks.\Sawako responded.\Happy new year.\Best regards for the new year.\So much of what happened last year were firsts for me. response:	It's our turn, Kuronuma.
context: They beat me to texting her.\Oh well.\I'm having fun. Thanks.\Sawako responded.\Happy new year.\Best regards for the new year.\So much of what happened last year were firsts for me.\It's our turn, Kuronuma. response:	All the things I thought about,
context: Oh well.\I'm having fun. Thanks.\Sawako responded.\Happy new year.\Best regards for the new year.\So much of what happened last year were firsts for me.\It's our turn, Kuronuma.\All the things I thought about, response:	all the things I experienced...
context: I'm having fun. Thanks.\Sawako responded.\Happy new year.\Best regards for the new year.\So much of what happened last year were firsts for me.\It's our turn, Kuronuma.\All the things I thought about,\all the things I experienced... response:	It's all because I met all of you.
context: Sawako responded.\Happy new year.\Best regards for the new year.\So much of what happened last year were firsts for me.\It's our turn, Kuronuma.\All the things I thought about,\all the things I experienced...\It's all because I met all of you. response:	It became an unforgettable year.
context: Happy new year.\Best regards for the new year.\So much of what happened last year were firsts for me.\It's our turn, Kuronuma.\All the things I thought about,\all the things I experienced...\It's all because I met all of you.\It became an unforgettable year. response:	Thanks.
context: Best regards for the new year.\So much of what happened last year were firsts for me.\It's our turn, Kuronuma.\All the things I thought about,\all the things I experienced...\It's all because I met all of you.\It became an unforgettable year.\Thanks. response:	It's slippery here.
context: So much of what happened last year were firsts for me.\It's our turn, Kuronuma.\All the things I thought about,\all the things I experienced...\It's all because I met all of you.\It became an unforgettable year.\Thanks.\It's slippery here. response:	You're right.
context: It's our turn, Kuronuma.\All the things I thought about,\all the things I experienced...\It's all because I met all of you.\It became an unforgettable year.\Thanks.\It's slippery here.\You're right. response:	Here.
context: All the things I thought about,\all the things I experienced...\It's all because I met all of you.\It became an unforgettable year.\Thanks.\It's slippery here.\You're right.\Here. response:	My brother's coming over on New Year's Day.
context: all the things I experienced...\It's all because I met all of you.\It became an unforgettable year.\Thanks.\It's slippery here.\You're right.\Here.\My brother's coming over on New Year's Day. response:	With his girlfriend.
context: It's all because I met all of you.\It became an unforgettable year.\Thanks.\It's slippery here.\You're right.\Here.\My brother's coming over on New Year's Day.\With his girlfriend. response:	You don't remember her name yet, do you?
context: It became an unforgettable year.\Thanks.\It's slippery here.\You're right.\Here.\My brother's coming over on New Year's Day.\With his girlfriend.\You don't remember her name yet, do you? response:	Busted.
context: Thanks.\It's slippery here.\You're right.\Here.\My brother's coming over on New Year's Day.\With his girlfriend.\You don't remember her name yet, do you?\Busted. response:	Haruka-chan, right?
context: It's slippery here.\You're right.\Here.\My brother's coming over on New Year's Day.\With his girlfriend.\You don't remember her name yet, do you?\Busted.\Haruka-chan, right? response:	Seriously.
context: You're right.\Here.\My brother's coming over on New Year's Day.\With his girlfriend.\You don't remember her name yet, do you?\Busted.\Haruka-chan, right?\Seriously. response:	She's going to be your sister-in-law soon, isn't she?
context: Here.\My brother's coming over on New Year's Day.\With his girlfriend.\You don't remember her name yet, do you?\Busted.\Haruka-chan, right?\Seriously.\She's going to be your sister-in-law soon, isn't she? response:	I'll come over.
context: My brother's coming over on New Year's Day.\With his girlfriend.\You don't remember her name yet, do you?\Busted.\Haruka-chan, right?\Seriously.\She's going to be your sister-in-law soon, isn't she?\I'll come over. response:	Ryu, if something ever happens to you, I'll comfort you.
context: With his girlfriend.\You don't remember her name yet, do you?\Busted.\Haruka-chan, right?\Seriously.\She's going to be your sister-in-law soon, isn't she?\I'll come over.\Ryu, if something ever happens to you, I'll comfort you. response:	Yeah, when that happens.
context: You don't remember her name yet, do you?\Busted.\Haruka-chan, right?\Seriously.\She's going to be your sister-in-law soon, isn't she?\I'll come over.\Ryu, if something ever happens to you, I'll comfort you.\Yeah, when that happens. response:	Let's see what our fortunes will be like.
context: Busted.\Haruka-chan, right?\Seriously.\She's going to be your sister-in-law soon, isn't she?\I'll come over.\Ryu, if something ever happens to you, I'll comfort you.\Yeah, when that happens.\Let's see what our fortunes will be like. response:	Very Good.”
context: Haruka-chan, right?\Seriously.\She's going to be your sister-in-law soon, isn't she?\I'll come over.\Ryu, if something ever happens to you, I'll comfort you.\Yeah, when that happens.\Let's see what our fortunes will be like.\Very Good.” response:	Wow.
context: Seriously.\She's going to be your sister-in-law soon, isn't she?\I'll come over.\Ryu, if something ever happens to you, I'll comfort you.\Yeah, when that happens.\Let's see what our fortunes will be like.\Very Good.”\Wow. response:	All will be as you wish.”
context: She's going to be your sister-in-law soon, isn't she?\I'll come over.\Ryu, if something ever happens to you, I'll comfort you.\Yeah, when that happens.\Let's see what our fortunes will be like.\Very Good.”\Wow.\All will be as you wish.” response:	Beware of your temper; be composed and approach everything with calmness.
context: I'll come over.\Ryu, if something ever happens to you, I'll comfort you.\Yeah, when that happens.\Let's see what our fortunes will be like.\Very Good.”\Wow.\All will be as you wish.”\Beware of your temper; be composed and approach everything with calmness. response:	Take heed of the advice of others.”
