context: I'm sorry... Ayato... response:	During the previous century,
context: But at the same time, the Invertia also gave the world new potential.\Not at a time like this!\I see.\Specifically, the birth of a new species of human born with phenomenal physical skills...\the Genestella.\Uh... excuse me for speaking to you from here.\Huh?\It is here that the young men and women of the Genestella response:	vie for supremacy in the Battle Entertainment called Festas.
context: Not at a time like this!\I see.\Specifically, the birth of a new species of human born with phenomenal physical skills...\the Genestella.\Uh... excuse me for speaking to you from here.\Huh?\It is here that the young men and women of the Genestella\vie for supremacy in the Battle Entertainment called Festas. response:	Rikka, the Academy City on the Water.
context: I see.\Specifically, the birth of a new species of human born with phenomenal physical skills...\the Genestella.\Uh... excuse me for speaking to you from here.\Huh?\It is here that the young men and women of the Genestella\vie for supremacy in the Battle Entertainment called Festas.\Rikka, the Academy City on the Water. response:	Commonly known as Asterisk.
context: Specifically, the birth of a new species of human born with phenomenal physical skills...\the Genestella.\Uh... excuse me for speaking to you from here.\Huh?\It is here that the young men and women of the Genestella\vie for supremacy in the Battle Entertainment called Festas.\Rikka, the Academy City on the Water.\Commonly known as Asterisk. response:	Witch of the Resplendent Flames
context: the Genestella.\Uh... excuse me for speaking to you from here.\Huh?\It is here that the young men and women of the Genestella\vie for supremacy in the Battle Entertainment called Festas.\Rikka, the Academy City on the Water.\Commonly known as Asterisk.\Witch of the Resplendent Flames response:	U-Uh...
context: Uh... excuse me for speaking to you from here.\Huh?\It is here that the young men and women of the Genestella\vie for supremacy in the Battle Entertainment called Festas.\Rikka, the Academy City on the Water.\Commonly known as Asterisk.\Witch of the Resplendent Flames\U-Uh... response:	M-My bad!
context: Huh?\It is here that the young men and women of the Genestella\vie for supremacy in the Battle Entertainment called Festas.\Rikka, the Academy City on the Water.\Commonly known as Asterisk.\Witch of the Resplendent Flames\U-Uh...\M-My bad! response:	I mean... um...
context: It is here that the young men and women of the Genestella\vie for supremacy in the Battle Entertainment called Festas.\Rikka, the Academy City on the Water.\Commonly known as Asterisk.\Witch of the Resplendent Flames\U-Uh...\M-My bad!\I mean... um... response:	I'm only here to bring you the handkerchief I picked up!
context: vie for supremacy in the Battle Entertainment called Festas.\Rikka, the Academy City on the Water.\Commonly known as Asterisk.\Witch of the Resplendent Flames\U-Uh...\M-My bad!\I mean... um...\I'm only here to bring you the handkerchief I picked up! response:	Turn around right now.
context: Rikka, the Academy City on the Water.\Commonly known as Asterisk.\Witch of the Resplendent Flames\U-Uh...\M-My bad!\I mean... um...\I'm only here to bring you the handkerchief I picked up!\Turn around right now. response:	Just do it! Turn around right now!
context: Commonly known as Asterisk.\Witch of the Resplendent Flames\U-Uh...\M-My bad!\I mean... um...\I'm only here to bring you the handkerchief I picked up!\Turn around right now.\Just do it! Turn around right now! response:	S-Sorry!
context: Witch of the Resplendent Flames\U-Uh...\M-My bad!\I mean... um...\I'm only here to bring you the handkerchief I picked up!\Turn around right now.\Just do it! Turn around right now!\S-Sorry! response:	The reason I came here was to give her the handkerchief I picked up.
context: U-Uh...\M-My bad!\I mean... um...\I'm only here to bring you the handkerchief I picked up!\Turn around right now.\Just do it! Turn around right now!\S-Sorry!\The reason I came here was to give her the handkerchief I picked up. response:	S-So if I explain that properly,
context: M-My bad!\I mean... um...\I'm only here to bring you the handkerchief I picked up!\Turn around right now.\Just do it! Turn around right now!\S-Sorry!\The reason I came here was to give her the handkerchief I picked up.\S-So if I explain that properly, response:	she should understand.
context: I mean... um...\I'm only here to bring you the handkerchief I picked up!\Turn around right now.\Just do it! Turn around right now!\S-Sorry!\The reason I came here was to give her the handkerchief I picked up.\S-So if I explain that properly,\she should understand. response:	You can turn around now.
context: I'm only here to bring you the handkerchief I picked up!\Turn around right now.\Just do it! Turn around right now!\S-Sorry!\The reason I came here was to give her the handkerchief I picked up.\S-So if I explain that properly,\she should understand.\You can turn around now. response:	So? What's this about a handkerchief?
context: Turn around right now.\Just do it! Turn around right now!\S-Sorry!\The reason I came here was to give her the handkerchief I picked up.\S-So if I explain that properly,\she should understand.\You can turn around now.\So? What's this about a handkerchief? response:	Excuse me?
context: Just do it! Turn around right now!\S-Sorry!\The reason I came here was to give her the handkerchief I picked up.\S-So if I explain that properly,\she should understand.\You can turn around now.\So? What's this about a handkerchief?\Excuse me? response:	Didn't you say something about a handkerchief just now?
context: S-Sorry!\The reason I came here was to give her the handkerchief I picked up.\S-So if I explain that properly,\she should understand.\You can turn around now.\So? What's this about a handkerchief?\Excuse me?\Didn't you say something about a handkerchief just now? response:	Oh, right!
context: The reason I came here was to give her the handkerchief I picked up.\S-So if I explain that properly,\she should understand.\You can turn around now.\So? What's this about a handkerchief?\Excuse me?\Didn't you say something about a handkerchief just now?\Oh, right! response:	Here it is.
context: S-So if I explain that properly,\she should understand.\You can turn around now.\So? What's this about a handkerchief?\Excuse me?\Didn't you say something about a handkerchief just now?\Oh, right!\Here it is. response:	Thank goodness.
context: she should understand.\You can turn around now.\So? What's this about a handkerchief?\Excuse me?\Didn't you say something about a handkerchief just now?\Oh, right!\Here it is.\Thank goodness. response:	So it is yours?
context: You can turn around now.\So? What's this about a handkerchief?\Excuse me?\Didn't you say something about a handkerchief just now?\Oh, right!\Here it is.\Thank goodness.\So it is yours? response:	I just picked it up after the wind blew it toward me.
context: So? What's this about a handkerchief?\Excuse me?\Didn't you say something about a handkerchief just now?\Oh, right!\Here it is.\Thank goodness.\So it is yours?\I just picked it up after the wind blew it toward me. response:	Sorry.
context: Excuse me?\Didn't you say something about a handkerchief just now?\Oh, right!\Here it is.\Thank goodness.\So it is yours?\I just picked it up after the wind blew it toward me.\Sorry. response:	This happens to be...
context: Didn't you say something about a handkerchief just now?\Oh, right!\Here it is.\Thank goodness.\So it is yours?\I just picked it up after the wind blew it toward me.\Sorry.\This happens to be... response:	very, very dear to me.
context: Oh, right!\Here it is.\Thank goodness.\So it is yours?\I just picked it up after the wind blew it toward me.\Sorry.\This happens to be...\very, very dear to me. response:	Well, hey, I just happened to pick it up, that's all...
context: Here it is.\Thank goodness.\So it is yours?\I just picked it up after the wind blew it toward me.\Sorry.\This happens to be...\very, very dear to me.\Well, hey, I just happened to pick it up, that's all... response:	Even so, I'm indebted to you.
context: Thank goodness.\So it is yours?\I just picked it up after the wind blew it toward me.\Sorry.\This happens to be...\very, very dear to me.\Well, hey, I just happened to pick it up, that's all...\Even so, I'm indebted to you. response:	I'm truly grateful.
context: So it is yours?\I just picked it up after the wind blew it toward me.\Sorry.\This happens to be...\very, very dear to me.\Well, hey, I just happened to pick it up, that's all...\Even so, I'm indebted to you.\I'm truly grateful. response:	Hey, it's not such a big deal. All I did was bring you a handkerchief I...
context: I just picked it up after the wind blew it toward me.\Sorry.\This happens to be...\very, very dear to me.\Well, hey, I just happened to pick it up, that's all...\Even so, I'm indebted to you.\I'm truly grateful.\Hey, it's not such a big deal. All I did was bring you a handkerchief I... response:	Now then...
context: Sorry.\This happens to be...\very, very dear to me.\Well, hey, I just happened to pick it up, that's all...\Even so, I'm indebted to you.\I'm truly grateful.\Hey, it's not such a big deal. All I did was bring you a handkerchief I...\Now then... response:	If you're gonna intrude here...
context: This happens to be...\very, very dear to me.\Well, hey, I just happened to pick it up, that's all...\Even so, I'm indebted to you.\I'm truly grateful.\Hey, it's not such a big deal. All I did was bring you a handkerchief I...\Now then...\If you're gonna intrude here... response:	Huh?
context: very, very dear to me.\Well, hey, I just happened to pick it up, that's all...\Even so, I'm indebted to you.\I'm truly grateful.\Hey, it's not such a big deal. All I did was bring you a handkerchief I...\Now then...\If you're gonna intrude here...\Huh? response:	then... prepare to die.
context: Well, hey, I just happened to pick it up, that's all...\Even so, I'm indebted to you.\I'm truly grateful.\Hey, it's not such a big deal. All I did was bring you a handkerchief I...\Now then...\If you're gonna intrude here...\Huh?\then... prepare to die. response:	This presence...
context: Even so, I'm indebted to you.\I'm truly grateful.\Hey, it's not such a big deal. All I did was bring you a handkerchief I...\Now then...\If you're gonna intrude here...\Huh?\then... prepare to die.\This presence... response:	Witch (Strega)
context: I'm truly grateful.\Hey, it's not such a big deal. All I did was bring you a handkerchief I...\Now then...\If you're gonna intrude here...\Huh?\then... prepare to die.\This presence...\Witch (Strega) response:	A Strega?
context: Hey, it's not such a big deal. All I did was bring you a handkerchief I...\Now then...\If you're gonna intrude here...\Huh?\then... prepare to die.\This presence...\Witch (Strega)\A Strega? response:	Burst into bloom,
context: Now then...\If you're gonna intrude here...\Huh?\then... prepare to die.\This presence...\Witch (Strega)\A Strega?\Burst into bloom, response:	Amaryllis!
context: If you're gonna intrude here...\Huh?\then... prepare to die.\This presence...\Witch (Strega)\A Strega?\Burst into bloom,\Amaryllis! response:	I didn't expect you to dodge that one.
context: Huh?\then... prepare to die.\This presence...\Witch (Strega)\A Strega?\Burst into bloom,\Amaryllis!\I didn't expect you to dodge that one. response:	Fine.
context: then... prepare to die.\This presence...\Witch (Strega)\A Strega?\Burst into bloom,\Amaryllis!\I didn't expect you to dodge that one.\Fine. response:	I'll play to win then, just for a bit.
context: This presence...\Witch (Strega)\A Strega?\Burst into bloom,\Amaryllis!\I didn't expect you to dodge that one.\Fine.\I'll play to win then, just for a bit. response:	Hold up a second!
context: Witch (Strega)\A Strega?\Burst into bloom,\Amaryllis!\I didn't expect you to dodge that one.\Fine.\I'll play to win then, just for a bit.\Hold up a second! response:	Didn't you just thank me?
context: A Strega?\Burst into bloom,\Amaryllis!\I didn't expect you to dodge that one.\Fine.\I'll play to win then, just for a bit.\Hold up a second!\Didn't you just thank me? response:	I am indeed grateful that you retrieved my handkerchief for me.
context: Burst into bloom,\Amaryllis!\I didn't expect you to dodge that one.\Fine.\I'll play to win then, just for a bit.\Hold up a second!\Didn't you just thank me?\I am indeed grateful that you retrieved my handkerchief for me. response:	Well, then...
context: Amaryllis!\I didn't expect you to dodge that one.\Fine.\I'll play to win then, just for a bit.\Hold up a second!\Didn't you just thank me?\I am indeed grateful that you retrieved my handkerchief for me.\Well, then... response:	But...
context: I didn't expect you to dodge that one.\Fine.\I'll play to win then, just for a bit.\Hold up a second!\Didn't you just thank me?\I am indeed grateful that you retrieved my handkerchief for me.\Well, then...\But... response:	You infiltrated the girls' dorm, and spied on a maiden while she was undressing!
context: Fine.\I'll play to win then, just for a bit.\Hold up a second!\Didn't you just thank me?\I am indeed grateful that you retrieved my handkerchief for me.\Well, then...\But...\You infiltrated the girls' dorm, and spied on a maiden while she was undressing! response:	Why shouldn't you pay for that with your life?!
context: I'll play to win then, just for a bit.\Hold up a second!\Didn't you just thank me?\I am indeed grateful that you retrieved my handkerchief for me.\Well, then...\But...\You infiltrated the girls' dorm, and spied on a maiden while she was undressing!\Why shouldn't you pay for that with your life?! response:	M-My life? Come on...
context: Hold up a second!\Didn't you just thank me?\I am indeed grateful that you retrieved my handkerchief for me.\Well, then...\But...\You infiltrated the girls' dorm, and spied on a maiden while she was undressing!\Why shouldn't you pay for that with your life?!\M-My life? Come on... response:	Rest assured.
context: Didn't you just thank me?\I am indeed grateful that you retrieved my handkerchief for me.\Well, then...\But...\You infiltrated the girls' dorm, and spied on a maiden while she was undressing!\Why shouldn't you pay for that with your life?!\M-My life? Come on...\Rest assured. response:	If you don't put up a fight, I'll content myself with cooking you well-done.
context: I am indeed grateful that you retrieved my handkerchief for me.\Well, then...\But...\You infiltrated the girls' dorm, and spied on a maiden while she was undressing!\Why shouldn't you pay for that with your life?!\M-My life? Come on...\Rest assured.\If you don't put up a fight, I'll content myself with cooking you well-done. response:	She's totally going to roast me all the way through!
context: Well, then...\But...\You infiltrated the girls' dorm, and spied on a maiden while she was undressing!\Why shouldn't you pay for that with your life?!\M-My life? Come on...\Rest assured.\If you don't put up a fight, I'll content myself with cooking you well-done.\She's totally going to roast me all the way through! response:	I only just transferred to this school today,
context: But...\You infiltrated the girls' dorm, and spied on a maiden while she was undressing!\Why shouldn't you pay for that with your life?!\M-My life? Come on...\Rest assured.\If you don't put up a fight, I'll content myself with cooking you well-done.\She's totally going to roast me all the way through!\I only just transferred to this school today, response:	so I had no idea that this was the girls' dorm!
context: You infiltrated the girls' dorm, and spied on a maiden while she was undressing!\Why shouldn't you pay for that with your life?!\M-My life? Come on...\Rest assured.\If you don't put up a fight, I'll content myself with cooking you well-done.\She's totally going to roast me all the way through!\I only just transferred to this school today,\so I had no idea that this was the girls' dorm! response:	Very well. That much I'll believe.
context: Why shouldn't you pay for that with your life?!\M-My life? Come on...\Rest assured.\If you don't put up a fight, I'll content myself with cooking you well-done.\She's totally going to roast me all the way through!\I only just transferred to this school today,\so I had no idea that this was the girls' dorm!\Very well. That much I'll believe. response:	That said...
context: M-My life? Come on...\Rest assured.\If you don't put up a fight, I'll content myself with cooking you well-done.\She's totally going to roast me all the way through!\I only just transferred to this school today,\so I had no idea that this was the girls' dorm!\Very well. That much I'll believe.\That said... response:	I, for one, have an anger that can't be dispelled as things stand!
context: Rest assured.\If you don't put up a fight, I'll content myself with cooking you well-done.\She's totally going to roast me all the way through!\I only just transferred to this school today,\so I had no idea that this was the girls' dorm!\Very well. That much I'll believe.\That said...\I, for one, have an anger that can't be dispelled as things stand! response:	That being the case...
context: If you don't put up a fight, I'll content myself with cooking you well-done.\She's totally going to roast me all the way through!\I only just transferred to this school today,\so I had no idea that this was the girls' dorm!\Very well. That much I'll believe.\That said...\I, for one, have an anger that can't be dispelled as things stand!\That being the case... response:	Tell me, what's your name?
context: She's totally going to roast me all the way through!\I only just transferred to this school today,\so I had no idea that this was the girls' dorm!\Very well. That much I'll believe.\That said...\I, for one, have an anger that can't be dispelled as things stand!\That being the case...\Tell me, what's your name? response:	Ayato Amagiri.
context: I only just transferred to this school today,\so I had no idea that this was the girls' dorm!\Very well. That much I'll believe.\That said...\I, for one, have an anger that can't be dispelled as things stand!\That being the case...\Tell me, what's your name?\Ayato Amagiri. response:	I am Julis.
context: so I had no idea that this was the girls' dorm!\Very well. That much I'll believe.\That said...\I, for one, have an anger that can't be dispelled as things stand!\That being the case...\Tell me, what's your name?\Ayato Amagiri.\I am Julis. response:	Seidoukan Academy Rank 5.
context: Very well. That much I'll believe.\That said...\I, for one, have an anger that can't be dispelled as things stand!\That being the case...\Tell me, what's your name?\Ayato Amagiri.\I am Julis.\Seidoukan Academy Rank 5. response:	In the name of this badge of tenacity, the Red Lotus,
context: That said...\I, for one, have an anger that can't be dispelled as things stand!\That being the case...\Tell me, what's your name?\Ayato Amagiri.\I am Julis.\Seidoukan Academy Rank 5.\In the name of this badge of tenacity, the Red Lotus, response:	I, Julis-Alexia von Riessfeld,
context: I, for one, have an anger that can't be dispelled as things stand!\That being the case...\Tell me, what's your name?\Ayato Amagiri.\I am Julis.\Seidoukan Academy Rank 5.\In the name of this badge of tenacity, the Red Lotus,\I, Julis-Alexia von Riessfeld, response:	hereby challenge you, Ayato Amagiri, to a duel!
context: That being the case...\Tell me, what's your name?\Ayato Amagiri.\I am Julis.\Seidoukan Academy Rank 5.\In the name of this badge of tenacity, the Red Lotus,\I, Julis-Alexia von Riessfeld,\hereby challenge you, Ayato Amagiri, to a duel! response:	Duel?
context: Tell me, what's your name?\Ayato Amagiri.\I am Julis.\Seidoukan Academy Rank 5.\In the name of this badge of tenacity, the Red Lotus,\I, Julis-Alexia von Riessfeld,\hereby challenge you, Ayato Amagiri, to a duel!\Duel? response:	Should you win, I shall accept that excuse of yours and withdraw with good grace.
context: Ayato Amagiri.\I am Julis.\Seidoukan Academy Rank 5.\In the name of this badge of tenacity, the Red Lotus,\I, Julis-Alexia von Riessfeld,\hereby challenge you, Ayato Amagiri, to a duel!\Duel?\Should you win, I shall accept that excuse of yours and withdraw with good grace. response:	But should I win, then I shall do with you what I will!
context: I am Julis.\Seidoukan Academy Rank 5.\In the name of this badge of tenacity, the Red Lotus,\I, Julis-Alexia von Riessfeld,\hereby challenge you, Ayato Amagiri, to a duel!\Duel?\Should you win, I shall accept that excuse of yours and withdraw with good grace.\But should I win, then I shall do with you what I will! response:	Hey, hold up! I never...
context: Seidoukan Academy Rank 5.\In the name of this badge of tenacity, the Red Lotus,\I, Julis-Alexia von Riessfeld,\hereby challenge you, Ayato Amagiri, to a duel!\Duel?\Should you win, I shall accept that excuse of yours and withdraw with good grace.\But should I win, then I shall do with you what I will!\Hey, hold up! I never... response:	Since you've transferred to Asterisk,
context: In the name of this badge of tenacity, the Red Lotus,\I, Julis-Alexia von Riessfeld,\hereby challenge you, Ayato Amagiri, to a duel!\Duel?\Should you win, I shall accept that excuse of yours and withdraw with good grace.\But should I win, then I shall do with you what I will!\Hey, hold up! I never...\Since you've transferred to Asterisk, response:	I assume you at least know about our duels?
context: I, Julis-Alexia von Riessfeld,\hereby challenge you, Ayato Amagiri, to a duel!\Duel?\Should you win, I shall accept that excuse of yours and withdraw with good grace.\But should I win, then I shall do with you what I will!\Hey, hold up! I never...\Since you've transferred to Asterisk,\I assume you at least know about our duels? response:	Well, yeah, I've heard about them.
context: hereby challenge you, Ayato Amagiri, to a duel!\Duel?\Should you win, I shall accept that excuse of yours and withdraw with good grace.\But should I win, then I shall do with you what I will!\Hey, hold up! I never...\Since you've transferred to Asterisk,\I assume you at least know about our duels?\Well, yeah, I've heard about them. response:	But hey, I don't even have a sword, so...
context: Duel?\Should you win, I shall accept that excuse of yours and withdraw with good grace.\But should I win, then I shall do with you what I will!\Hey, hold up! I never...\Since you've transferred to Asterisk,\I assume you at least know about our duels?\Well, yeah, I've heard about them.\But hey, I don't even have a sword, so... response:	Then use this one!
context: Should you win, I shall accept that excuse of yours and withdraw with good grace.\But should I win, then I shall do with you what I will!\Hey, hold up! I never...\Since you've transferred to Asterisk,\I assume you at least know about our duels?\Well, yeah, I've heard about them.\But hey, I don't even have a sword, so...\Then use this one! response:	All right.
context: But should I win, then I shall do with you what I will!\Hey, hold up! I never...\Since you've transferred to Asterisk,\I assume you at least know about our duels?\Well, yeah, I've heard about them.\But hey, I don't even have a sword, so...\Then use this one!\All right. response:	Now then, are you ready?
context: Hey, hold up! I never...\Since you've transferred to Asterisk,\I assume you at least know about our duels?\Well, yeah, I've heard about them.\But hey, I don't even have a sword, so...\Then use this one!\All right.\Now then, are you ready? response:	I, Ayato Amagiri, hereby accept your challenge to a duel, Julis.
context: Since you've transferred to Asterisk,\I assume you at least know about our duels?\Well, yeah, I've heard about them.\But hey, I don't even have a sword, so...\Then use this one!\All right.\Now then, are you ready?\I, Ayato Amagiri, hereby accept your challenge to a duel, Julis. response:	Seidoukan Academy High School 1-A Rank 5 Julis-Alexia von Riessfeld Witch of the Resplendent Flames
context: I assume you at least know about our duels?\Well, yeah, I've heard about them.\But hey, I don't even have a sword, so...\Then use this one!\All right.\Now then, are you ready?\I, Ayato Amagiri, hereby accept your challenge to a duel, Julis.\Seidoukan Academy High School 1-A Rank 5 Julis-Alexia von Riessfeld Witch of the Resplendent Flames response:	You are aware of the rules, yes?
context: Well, yeah, I've heard about them.\But hey, I don't even have a sword, so...\Then use this one!\All right.\Now then, are you ready?\I, Ayato Amagiri, hereby accept your challenge to a duel, Julis.\Seidoukan Academy High School 1-A Rank 5 Julis-Alexia von Riessfeld Witch of the Resplendent Flames\You are aware of the rules, yes? response:	Seidoukan Academy High School 1-A Ayato Amagiri
context: But hey, I don't even have a sword, so...\Then use this one!\All right.\Now then, are you ready?\I, Ayato Amagiri, hereby accept your challenge to a duel, Julis.\Seidoukan Academy High School 1-A Rank 5 Julis-Alexia von Riessfeld Witch of the Resplendent Flames\You are aware of the rules, yes?\Seidoukan Academy High School 1-A Ayato Amagiri response:	Whoever destroys the other's school badge wins.
context: Then use this one!\All right.\Now then, are you ready?\I, Ayato Amagiri, hereby accept your challenge to a duel, Julis.\Seidoukan Academy High School 1-A Rank 5 Julis-Alexia von Riessfeld Witch of the Resplendent Flames\You are aware of the rules, yes?\Seidoukan Academy High School 1-A Ayato Amagiri\Whoever destroys the other's school badge wins. response:	Right.
context: All right.\Now then, are you ready?\I, Ayato Amagiri, hereby accept your challenge to a duel, Julis.\Seidoukan Academy High School 1-A Rank 5 Julis-Alexia von Riessfeld Witch of the Resplendent Flames\You are aware of the rules, yes?\Seidoukan Academy High School 1-A Ayato Amagiri\Whoever destroys the other's school badge wins.\Right. response:	Countdown... start!
context: Now then, are you ready?\I, Ayato Amagiri, hereby accept your challenge to a duel, Julis.\Seidoukan Academy High School 1-A Rank 5 Julis-Alexia von Riessfeld Witch of the Resplendent Flames\You are aware of the rules, yes?\Seidoukan Academy High School 1-A Ayato Amagiri\Whoever destroys the other's school badge wins.\Right.\Countdown... start! response:	Three... two... one.
context: I, Ayato Amagiri, hereby accept your challenge to a duel, Julis.\Seidoukan Academy High School 1-A Rank 5 Julis-Alexia von Riessfeld Witch of the Resplendent Flames\You are aware of the rules, yes?\Seidoukan Academy High School 1-A Ayato Amagiri\Whoever destroys the other's school badge wins.\Right.\Countdown... start!\Three... two... one. response:	Start of the duel!
context: Seidoukan Academy High School 1-A Rank 5 Julis-Alexia von Riessfeld Witch of the Resplendent Flames\You are aware of the rules, yes?\Seidoukan Academy High School 1-A Ayato Amagiri\Whoever destroys the other's school badge wins.\Right.\Countdown... start!\Three... two... one.\Start of the duel! response:	All right, let's go!
context: You are aware of the rules, yes?\Seidoukan Academy High School 1-A Ayato Amagiri\Whoever destroys the other's school badge wins.\Right.\Countdown... start!\Three... two... one.\Start of the duel!\All right, let's go! response:	Burst into bloom,
context: Seidoukan Academy High School 1-A Ayato Amagiri\Whoever destroys the other's school badge wins.\Right.\Countdown... start!\Three... two... one.\Start of the duel!\All right, let's go!\Burst into bloom, response:	Longiflorum!
context: Whoever destroys the other's school badge wins.\Right.\Countdown... start!\Three... two... one.\Start of the duel!\All right, let's go!\Burst into bloom,\Longiflorum! response:	Longiflorum of the Piercing Spears
context: Right.\Countdown... start!\Three... two... one.\Start of the duel!\All right, let's go!\Burst into bloom,\Longiflorum!\Longiflorum of the Piercing Spears response:	I'm not done!
context: Countdown... start!\Three... two... one.\Start of the duel!\All right, let's go!\Burst into bloom,\Longiflorum!\Longiflorum of the Piercing Spears\I'm not done! response:	Longiflorum!
context: Three... two... one.\Start of the duel!\All right, let's go!\Burst into bloom,\Longiflorum!\Longiflorum of the Piercing Spears\I'm not done!\Longiflorum! response:	This time, I'm going to boost the spear's speed!
context: Start of the duel!\All right, let's go!\Burst into bloom,\Longiflorum!\Longiflorum of the Piercing Spears\I'm not done!\Longiflorum!\This time, I'm going to boost the spear's speed! response:	Go!
context: All right, let's go!\Burst into bloom,\Longiflorum!\Longiflorum of the Piercing Spears\I'm not done!\Longiflorum!\This time, I'm going to boost the spear's speed!\Go! response:	That newbie's actually holding his own!
context: Burst into bloom,\Longiflorum!\Longiflorum of the Piercing Spears\I'm not done!\Longiflorum!\This time, I'm going to boost the spear's speed!\Go!\That newbie's actually holding his own! response:	Yeah, he's not half-bad.
context: Longiflorum!\Longiflorum of the Piercing Spears\I'm not done!\Longiflorum!\This time, I'm going to boost the spear's speed!\Go!\That newbie's actually holding his own!\Yeah, he's not half-bad. response:	The princess must be holding back, don't you think?
context: Longiflorum of the Piercing Spears\I'm not done!\Longiflorum!\This time, I'm going to boost the spear's speed!\Go!\That newbie's actually holding his own!\Yeah, he's not half-bad.\The princess must be holding back, don't you think? response:	No, I'm not!
context: I'm not done!\Longiflorum!\This time, I'm going to boost the spear's speed!\Go!\That newbie's actually holding his own!\Yeah, he's not half-bad.\The princess must be holding back, don't you think?\No, I'm not! response:	That would've reduced an average opponent to cinders.
context: Longiflorum!\This time, I'm going to boost the spear's speed!\Go!\That newbie's actually holding his own!\Yeah, he's not half-bad.\The princess must be holding back, don't you think?\No, I'm not!\That would've reduced an average opponent to cinders. response:	Even though I clearly have the upper hand,
context: This time, I'm going to boost the spear's speed!\Go!\That newbie's actually holding his own!\Yeah, he's not half-bad.\The princess must be holding back, don't you think?\No, I'm not!\That would've reduced an average opponent to cinders.\Even though I clearly have the upper hand, response:	something's off.
context: Go!\That newbie's actually holding his own!\Yeah, he's not half-bad.\The princess must be holding back, don't you think?\No, I'm not!\That would've reduced an average opponent to cinders.\Even though I clearly have the upper hand,\something's off. response:	I'm going to find out what it is!
context: That newbie's actually holding his own!\Yeah, he's not half-bad.\The princess must be holding back, don't you think?\No, I'm not!\That would've reduced an average opponent to cinders.\Even though I clearly have the upper hand,\something's off.\I'm going to find out what it is! response:	Burst into bloom, Amaryllis!
context: Yeah, he's not half-bad.\The princess must be holding back, don't you think?\No, I'm not!\That would've reduced an average opponent to cinders.\Even though I clearly have the upper hand,\something's off.\I'm going to find out what it is!\Burst into bloom, Amaryllis! response:	So he's going to dodge it and go for close combat?
