context: Um... response:	You're challenging 100?! That's impossible!
context: It's a contest to see who can slay the most out of 100 magic-generated monsters.\The contestants enter one at a time\and indicate the number of monsters they aim to defeat.\They get points by successfully beating the beasts.\The idea is to repeatedly rotate through the players, but...\All 100 will be my opponents!\I exercise my right to challenge...\This beyond-foolhardy challenge is about to begin. response:	100 to 1!
context: The contestants enter one at a time\and indicate the number of monsters they aim to defeat.\They get points by successfully beating the beasts.\The idea is to repeatedly rotate through the players, but...\All 100 will be my opponents!\I exercise my right to challenge...\This beyond-foolhardy challenge is about to begin.\100 to 1! response:	Erza!
context: and indicate the number of monsters they aim to defeat.\They get points by successfully beating the beasts.\The idea is to repeatedly rotate through the players, but...\All 100 will be my opponents!\I exercise my right to challenge...\This beyond-foolhardy challenge is about to begin.\100 to 1!\Erza! response:	The inside is pretty big...
context: They get points by successfully beating the beasts.\The idea is to repeatedly rotate through the players, but...\All 100 will be my opponents!\I exercise my right to challenge...\This beyond-foolhardy challenge is about to begin.\100 to 1!\Erza!\The inside is pretty big... response:	But it's upside down...
context: The idea is to repeatedly rotate through the players, but...\All 100 will be my opponents!\I exercise my right to challenge...\This beyond-foolhardy challenge is about to begin.\100 to 1!\Erza!\The inside is pretty big...\But it's upside down... response:	It makes me sick just lookin' at it!
context: All 100 will be my opponents!\I exercise my right to challenge...\This beyond-foolhardy challenge is about to begin.\100 to 1!\Erza!\The inside is pretty big...\But it's upside down...\It makes me sick just lookin' at it! response:	I'm Erza Scarlet from Fairy Tail A.
context: I exercise my right to challenge...\This beyond-foolhardy challenge is about to begin.\100 to 1!\Erza!\The inside is pretty big...\But it's upside down...\It makes me sick just lookin' at it!\I'm Erza Scarlet from Fairy Tail A. response:	I challenge 100.
context: This beyond-foolhardy challenge is about to begin.\100 to 1!\Erza!\The inside is pretty big...\But it's upside down...\It makes me sick just lookin' at it!\I'm Erza Scarlet from Fairy Tail A.\I challenge 100. response:	A bunch have come out...
context: 100 to 1!\Erza!\The inside is pretty big...\But it's upside down...\It makes me sick just lookin' at it!\I'm Erza Scarlet from Fairy Tail A.\I challenge 100.\A bunch have come out... response:	Even the D-class ones looked really strong, right?
context: Erza!\The inside is pretty big...\But it's upside down...\It makes me sick just lookin' at it!\I'm Erza Scarlet from Fairy Tail A.\I challenge 100.\A bunch have come out...\Even the D-class ones looked really strong, right? response:	Does she really mean to take all of them on by herself?
context: The inside is pretty big...\But it's upside down...\It makes me sick just lookin' at it!\I'm Erza Scarlet from Fairy Tail A.\I challenge 100.\A bunch have come out...\Even the D-class ones looked really strong, right?\Does she really mean to take all of them on by herself? response:	She does. Erza means it.
context: But it's upside down...\It makes me sick just lookin' at it!\I'm Erza Scarlet from Fairy Tail A.\I challenge 100.\A bunch have come out...\Even the D-class ones looked really strong, right?\Does she really mean to take all of them on by herself?\She does. Erza means it. response:	I can understand.
context: It makes me sick just lookin' at it!\I'm Erza Scarlet from Fairy Tail A.\I challenge 100.\A bunch have come out...\Even the D-class ones looked really strong, right?\Does she really mean to take all of them on by herself?\She does. Erza means it.\I can understand. response:	Natsu, you seem to be having fun.
context: I'm Erza Scarlet from Fairy Tail A.\I challenge 100.\A bunch have come out...\Even the D-class ones looked really strong, right?\Does she really mean to take all of them on by herself?\She does. Erza means it.\I can understand.\Natsu, you seem to be having fun. response:	Maybe you were a better fit for this than that Chariot event.
context: I challenge 100.\A bunch have come out...\Even the D-class ones looked really strong, right?\Does she really mean to take all of them on by herself?\She does. Erza means it.\I can understand.\Natsu, you seem to be having fun.\Maybe you were a better fit for this than that Chariot event. response:	Will Erza-san be alright?
context: A bunch have come out...\Even the D-class ones looked really strong, right?\Does she really mean to take all of them on by herself?\She does. Erza means it.\I can understand.\Natsu, you seem to be having fun.\Maybe you were a better fit for this than that Chariot event.\Will Erza-san be alright? response:	I'm sure she'll get through it.
context: Even the D-class ones looked really strong, right?\Does she really mean to take all of them on by herself?\She does. Erza means it.\I can understand.\Natsu, you seem to be having fun.\Maybe you were a better fit for this than that Chariot event.\Will Erza-san be alright?\I'm sure she'll get through it. response:	Well, it should be a spectacle, anyway.
context: Does she really mean to take all of them on by herself?\She does. Erza means it.\I can understand.\Natsu, you seem to be having fun.\Maybe you were a better fit for this than that Chariot event.\Will Erza-san be alright?\I'm sure she'll get through it.\Well, it should be a spectacle, anyway. response:	She's as reckless as always...
context: She does. Erza means it.\I can understand.\Natsu, you seem to be having fun.\Maybe you were a better fit for this than that Chariot event.\Will Erza-san be alright?\I'm sure she'll get through it.\Well, it should be a spectacle, anyway.\She's as reckless as always... response:	She hasn't changed a bit in the past seven years.
context: I can understand.\Natsu, you seem to be having fun.\Maybe you were a better fit for this than that Chariot event.\Will Erza-san be alright?\I'm sure she'll get through it.\Well, it should be a spectacle, anyway.\She's as reckless as always...\She hasn't changed a bit in the past seven years. response:	Requip!
context: Natsu, you seem to be having fun.\Maybe you were a better fit for this than that Chariot event.\Will Erza-san be alright?\I'm sure she'll get through it.\Well, it should be a spectacle, anyway.\She's as reckless as always...\She hasn't changed a bit in the past seven years.\Requip! response:	Heaven's Wheel!
context: Maybe you were a better fit for this than that Chariot event.\Will Erza-san be alright?\I'm sure she'll get through it.\Well, it should be a spectacle, anyway.\She's as reckless as always...\She hasn't changed a bit in the past seven years.\Requip!\Heaven's Wheel! response:	Blumenblatt!
context: Will Erza-san be alright?\I'm sure she'll get through it.\Well, it should be a spectacle, anyway.\She's as reckless as always...\She hasn't changed a bit in the past seven years.\Requip!\Heaven's Wheel!\Blumenblatt! response:	Whoa! Erza has carried out a preemptive strike with an omni-directional attack!
context: I'm sure she'll get through it.\Well, it should be a spectacle, anyway.\She's as reckless as always...\She hasn't changed a bit in the past seven years.\Requip!\Heaven's Wheel!\Blumenblatt!\Whoa! Erza has carried out a preemptive strike with an omni-directional attack! response:	The D-class monsters are dropping one after another!
context: Well, it should be a spectacle, anyway.\She's as reckless as always...\She hasn't changed a bit in the past seven years.\Requip!\Heaven's Wheel!\Blumenblatt!\Whoa! Erza has carried out a preemptive strike with an omni-directional attack!\The D-class monsters are dropping one after another! response:	Was she trying to demolish them all at once?
context: She's as reckless as always...\She hasn't changed a bit in the past seven years.\Requip!\Heaven's Wheel!\Blumenblatt!\Whoa! Erza has carried out a preemptive strike with an omni-directional attack!\The D-class monsters are dropping one after another!\Was she trying to demolish them all at once? response:	No.
context: She hasn't changed a bit in the past seven years.\Requip!\Heaven's Wheel!\Blumenblatt!\Whoa! Erza has carried out a preemptive strike with an omni-directional attack!\The D-class monsters are dropping one after another!\Was she trying to demolish them all at once?\No. response:	By doing an omni-directional attack,
context: Requip!\Heaven's Wheel!\Blumenblatt!\Whoa! Erza has carried out a preemptive strike with an omni-directional attack!\The D-class monsters are dropping one after another!\Was she trying to demolish them all at once?\No.\By doing an omni-directional attack, response:	she learned the responses, the abilities, and the defensive capabilities of each type.
context: Heaven's Wheel!\Blumenblatt!\Whoa! Erza has carried out a preemptive strike with an omni-directional attack!\The D-class monsters are dropping one after another!\Was she trying to demolish them all at once?\No.\By doing an omni-directional attack,\she learned the responses, the abilities, and the defensive capabilities of each type. response:	Also, in an instant, she was able to calculate which armor to use
context: Blumenblatt!\Whoa! Erza has carried out a preemptive strike with an omni-directional attack!\The D-class monsters are dropping one after another!\Was she trying to demolish them all at once?\No.\By doing an omni-directional attack,\she learned the responses, the abilities, and the defensive capabilities of each type.\Also, in an instant, she was able to calculate which armor to use response:	against each kind of monster.
context: Whoa! Erza has carried out a preemptive strike with an omni-directional attack!\The D-class monsters are dropping one after another!\Was she trying to demolish them all at once?\No.\By doing an omni-directional attack,\she learned the responses, the abilities, and the defensive capabilities of each type.\Also, in an instant, she was able to calculate which armor to use\against each kind of monster. response:	Her attacking power has improved!
context: The D-class monsters are dropping one after another!\Was she trying to demolish them all at once?\No.\By doing an omni-directional attack,\she learned the responses, the abilities, and the defensive capabilities of each type.\Also, in an instant, she was able to calculate which armor to use\against each kind of monster.\Her attacking power has improved! response:	Black Wing Armor!
context: Was she trying to demolish them all at once?\No.\By doing an omni-directional attack,\she learned the responses, the abilities, and the defensive capabilities of each type.\Also, in an instant, she was able to calculate which armor to use\against each kind of monster.\Her attacking power has improved!\Black Wing Armor! response:	With each strike, its power increases!
context: No.\By doing an omni-directional attack,\she learned the responses, the abilities, and the defensive capabilities of each type.\Also, in an instant, she was able to calculate which armor to use\against each kind of monster.\Her attacking power has improved!\Black Wing Armor!\With each strike, its power increases! response:	Then she's starting out by reducing their numbers with sheer force, huh?
context: By doing an omni-directional attack,\she learned the responses, the abilities, and the defensive capabilities of each type.\Also, in an instant, she was able to calculate which armor to use\against each kind of monster.\Her attacking power has improved!\Black Wing Armor!\With each strike, its power increases!\Then she's starting out by reducing their numbers with sheer force, huh? response:	Erza-san!
context: she learned the responses, the abilities, and the defensive capabilities of each type.\Also, in an instant, she was able to calculate which armor to use\against each kind of monster.\Her attacking power has improved!\Black Wing Armor!\With each strike, its power increases!\Then she's starting out by reducing their numbers with sheer force, huh?\Erza-san! response:	It breathes fire!
context: Also, in an instant, she was able to calculate which armor to use\against each kind of monster.\Her attacking power has improved!\Black Wing Armor!\With each strike, its power increases!\Then she's starting out by reducing their numbers with sheer force, huh?\Erza-san!\It breathes fire! response:	No worries! If the enemy's fire...
context: against each kind of monster.\Her attacking power has improved!\Black Wing Armor!\With each strike, its power increases!\Then she's starting out by reducing their numbers with sheer force, huh?\Erza-san!\It breathes fire!\No worries! If the enemy's fire... response:	Oh, that's right! She's got Flame Empress Armor!
context: Her attacking power has improved!\Black Wing Armor!\With each strike, its power increases!\Then she's starting out by reducing their numbers with sheer force, huh?\Erza-san!\It breathes fire!\No worries! If the enemy's fire...\Oh, that's right! She's got Flame Empress Armor! response:	She brushed the flames aside!
context: Black Wing Armor!\With each strike, its power increases!\Then she's starting out by reducing their numbers with sheer force, huh?\Erza-san!\It breathes fire!\No worries! If the enemy's fire...\Oh, that's right! She's got Flame Empress Armor!\She brushed the flames aside! response:	What is that?!
context: With each strike, its power increases!\Then she's starting out by reducing their numbers with sheer force, huh?\Erza-san!\It breathes fire!\No worries! If the enemy's fire...\Oh, that's right! She's got Flame Empress Armor!\She brushed the flames aside!\What is that?! response:	A weapon that's part of a set with her Sea Empress Armor!
context: Then she's starting out by reducing their numbers with sheer force, huh?\Erza-san!\It breathes fire!\No worries! If the enemy's fire...\Oh, that's right! She's got Flame Empress Armor!\She brushed the flames aside!\What is that?!\A weapon that's part of a set with her Sea Empress Armor! response:	Water against flames, right?
context: Erza-san!\It breathes fire!\No worries! If the enemy's fire...\Oh, that's right! She's got Flame Empress Armor!\She brushed the flames aside!\What is that?!\A weapon that's part of a set with her Sea Empress Armor!\Water against flames, right? response:	Oh, my! She's destroyed five C-class monsters already!
context: It breathes fire!\No worries! If the enemy's fire...\Oh, that's right! She's got Flame Empress Armor!\She brushed the flames aside!\What is that?!\A weapon that's part of a set with her Sea Empress Armor!\Water against flames, right?\Oh, my! She's destroyed five C-class monsters already! response:	Uh-oh! What's this?!
context: No worries! If the enemy's fire...\Oh, that's right! She's got Flame Empress Armor!\She brushed the flames aside!\What is that?!\A weapon that's part of a set with her Sea Empress Armor!\Water against flames, right?\Oh, my! She's destroyed five C-class monsters already!\Uh-oh! What's this?! response:	A fire and water dual-sword technique?
context: Oh, that's right! She's got Flame Empress Armor!\She brushed the flames aside!\What is that?!\A weapon that's part of a set with her Sea Empress Armor!\Water against flames, right?\Oh, my! She's destroyed five C-class monsters already!\Uh-oh! What's this?!\A fire and water dual-sword technique? response:	But it also looks like she took some damage...
context: She brushed the flames aside!\What is that?!\A weapon that's part of a set with her Sea Empress Armor!\Water against flames, right?\Oh, my! She's destroyed five C-class monsters already!\Uh-oh! What's this?!\A fire and water dual-sword technique?\But it also looks like she took some damage... response:	So you're S-class...
context: What is that?!\A weapon that's part of a set with her Sea Empress Armor!\Water against flames, right?\Oh, my! She's destroyed five C-class monsters already!\Uh-oh! What's this?!\A fire and water dual-sword technique?\But it also looks like she took some damage...\So you're S-class... response:	No, that's not right.
context: A weapon that's part of a set with her Sea Empress Armor!\Water against flames, right?\Oh, my! She's destroyed five C-class monsters already!\Uh-oh! What's this?!\A fire and water dual-sword technique?\But it also looks like she took some damage...\So you're S-class...\No, that's not right. response:	She returned fire against the water enemy with Sea Empress Armor and a lightning attack!
context: Water against flames, right?\Oh, my! She's destroyed five C-class monsters already!\Uh-oh! What's this?!\A fire and water dual-sword technique?\But it also looks like she took some damage...\So you're S-class...\No, that's not right.\She returned fire against the water enemy with Sea Empress Armor and a lightning attack! response:	Correct!
context: Oh, my! She's destroyed five C-class monsters already!\Uh-oh! What's this?!\A fire and water dual-sword technique?\But it also looks like she took some damage...\So you're S-class...\No, that's not right.\She returned fire against the water enemy with Sea Empress Armor and a lightning attack!\Correct! response:	Fast judgment...
context: Uh-oh! What's this?!\A fire and water dual-sword technique?\But it also looks like she took some damage...\So you're S-class...\No, that's not right.\She returned fire against the water enemy with Sea Empress Armor and a lightning attack!\Correct!\Fast judgment... response:	And the confidence to back it up...
context: A fire and water dual-sword technique?\But it also looks like she took some damage...\So you're S-class...\No, that's not right.\She returned fire against the water enemy with Sea Empress Armor and a lightning attack!\Correct!\Fast judgment...\And the confidence to back it up... response:	She's a wonderful wizard, isn't she?
context: But it also looks like she took some damage...\So you're S-class...\No, that's not right.\She returned fire against the water enemy with Sea Empress Armor and a lightning attack!\Correct!\Fast judgment...\And the confidence to back it up...\She's a wonderful wizard, isn't she? response:	Th-This is awesome!
context: So you're S-class...\No, that's not right.\She returned fire against the water enemy with Sea Empress Armor and a lightning attack!\Correct!\Fast judgment...\And the confidence to back it up...\She's a wonderful wizard, isn't she?\Th-This is awesome! response:	She's already cut down half of the monsters!
context: No, that's not right.\She returned fire against the water enemy with Sea Empress Armor and a lightning attack!\Correct!\Fast judgment...\And the confidence to back it up...\She's a wonderful wizard, isn't she?\Th-This is awesome!\She's already cut down half of the monsters! response:	Seriously?!
context: She returned fire against the water enemy with Sea Empress Armor and a lightning attack!\Correct!\Fast judgment...\And the confidence to back it up...\She's a wonderful wizard, isn't she?\Th-This is awesome!\She's already cut down half of the monsters!\Seriously?! response:	That's Erza for you.
context: Correct!\Fast judgment...\And the confidence to back it up...\She's a wonderful wizard, isn't she?\Th-This is awesome!\She's already cut down half of the monsters!\Seriously?!\That's Erza for you. response:	Her every move is polished, with not a movement wasted.
context: Fast judgment...\And the confidence to back it up...\She's a wonderful wizard, isn't she?\Th-This is awesome!\She's already cut down half of the monsters!\Seriously?!\That's Erza for you.\Her every move is polished, with not a movement wasted. response:	I wonder if Sho and Wally are watching, too...
context: And the confidence to back it up...\She's a wonderful wizard, isn't she?\Th-This is awesome!\She's already cut down half of the monsters!\Seriously?!\That's Erza for you.\Her every move is polished, with not a movement wasted.\I wonder if Sho and Wally are watching, too... response:	Nonsense!
context: She's a wonderful wizard, isn't she?\Th-This is awesome!\She's already cut down half of the monsters!\Seriously?!\That's Erza for you.\Her every move is polished, with not a movement wasted.\I wonder if Sho and Wally are watching, too...\Nonsense! response:	Is this really anything to make a fuss about?!
context: Th-This is awesome!\She's already cut down half of the monsters!\Seriously?!\That's Erza for you.\Her every move is polished, with not a movement wasted.\I wonder if Sho and Wally are watching, too...\Nonsense!\Is this really anything to make a fuss about?! response:	Look at her! She's all beat up!
context: She's already cut down half of the monsters!\Seriously?!\That's Erza for you.\Her every move is polished, with not a movement wasted.\I wonder if Sho and Wally are watching, too...\Nonsense!\Is this really anything to make a fuss about?!\Look at her! She's all beat up! response:	It does look like she's exhausted...
context: Seriously?!\That's Erza for you.\Her every move is polished, with not a movement wasted.\I wonder if Sho and Wally are watching, too...\Nonsense!\Is this really anything to make a fuss about?!\Look at her! She's all beat up!\It does look like she's exhausted... response:	Go, Erza! Smash'em to pieces!
context: That's Erza for you.\Her every move is polished, with not a movement wasted.\I wonder if Sho and Wally are watching, too...\Nonsense!\Is this really anything to make a fuss about?!\Look at her! She's all beat up!\It does look like she's exhausted...\Go, Erza! Smash'em to pieces! response:	I don't know...
context: Her every move is polished, with not a movement wasted.\I wonder if Sho and Wally are watching, too...\Nonsense!\Is this really anything to make a fuss about?!\Look at her! She's all beat up!\It does look like she's exhausted...\Go, Erza! Smash'em to pieces!\I don't know... response:	It looks like she's kind of having a hard time...
context: I wonder if Sho and Wally are watching, too...\Nonsense!\Is this really anything to make a fuss about?!\Look at her! She's all beat up!\It does look like she's exhausted...\Go, Erza! Smash'em to pieces!\I don't know...\It looks like she's kind of having a hard time... response:	Oh, boy! Even wounded, Erza smoothly dispatched a succession of monsters,
context: Nonsense!\Is this really anything to make a fuss about?!\Look at her! She's all beat up!\It does look like she's exhausted...\Go, Erza! Smash'em to pieces!\I don't know...\It looks like she's kind of having a hard time...\Oh, boy! Even wounded, Erza smoothly dispatched a succession of monsters, response:	but now she's facing an A-class monster!
context: Is this really anything to make a fuss about?!\Look at her! She's all beat up!\It does look like she's exhausted...\Go, Erza! Smash'em to pieces!\I don't know...\It looks like she's kind of having a hard time...\Oh, boy! Even wounded, Erza smoothly dispatched a succession of monsters,\but now she's facing an A-class monster! response:	That looked like a heavy hit!
context: Look at her! She's all beat up!\It does look like she's exhausted...\Go, Erza! Smash'em to pieces!\I don't know...\It looks like she's kind of having a hard time...\Oh, boy! Even wounded, Erza smoothly dispatched a succession of monsters,\but now she's facing an A-class monster!\That looked like a heavy hit! response:	Ah! Hit that badly...
context: It does look like she's exhausted...\Go, Erza! Smash'em to pieces!\I don't know...\It looks like she's kind of having a hard time...\Oh, boy! Even wounded, Erza smoothly dispatched a succession of monsters,\but now she's facing an A-class monster!\That looked like a heavy hit!\Ah! Hit that badly... response:	No. Just the opposite. I believe she used its weight.
context: Go, Erza! Smash'em to pieces!\I don't know...\It looks like she's kind of having a hard time...\Oh, boy! Even wounded, Erza smoothly dispatched a succession of monsters,\but now she's facing an A-class monster!\That looked like a heavy hit!\Ah! Hit that badly...\No. Just the opposite. I believe she used its weight. response:	The terrifying Titania!
context: I don't know...\It looks like she's kind of having a hard time...\Oh, boy! Even wounded, Erza smoothly dispatched a succession of monsters,\but now she's facing an A-class monster!\That looked like a heavy hit!\Ah! Hit that badly...\No. Just the opposite. I believe she used its weight.\The terrifying Titania! response:	She requips over and over,
context: It looks like she's kind of having a hard time...\Oh, boy! Even wounded, Erza smoothly dispatched a succession of monsters,\but now she's facing an A-class monster!\That looked like a heavy hit!\Ah! Hit that badly...\No. Just the opposite. I believe she used its weight.\The terrifying Titania!\She requips over and over, response:	steadily crushing the monsters!
context: Oh, boy! Even wounded, Erza smoothly dispatched a succession of monsters,\but now she's facing an A-class monster!\That looked like a heavy hit!\Ah! Hit that badly...\No. Just the opposite. I believe she used its weight.\The terrifying Titania!\She requips over and over,\steadily crushing the monsters! response:	While she's taken damage and depleted a lot of her magic,
context: but now she's facing an A-class monster!\That looked like a heavy hit!\Ah! Hit that badly...\No. Just the opposite. I believe she used its weight.\The terrifying Titania!\She requips over and over,\steadily crushing the monsters!\While she's taken damage and depleted a lot of her magic, response:	unbelievably... just four monsters are left!
context: That looked like a heavy hit!\Ah! Hit that badly...\No. Just the opposite. I believe she used its weight.\The terrifying Titania!\She requips over and over,\steadily crushing the monsters!\While she's taken damage and depleted a lot of her magic,\unbelievably... just four monsters are left! response:	But those are all strong ones!
context: Ah! Hit that badly...\No. Just the opposite. I believe she used its weight.\The terrifying Titania!\She requips over and over,\steadily crushing the monsters!\While she's taken damage and depleted a lot of her magic,\unbelievably... just four monsters are left!\But those are all strong ones! response:	And she hasn't defeated the S-class monster yet...
context: No. Just the opposite. I believe she used its weight.\The terrifying Titania!\She requips over and over,\steadily crushing the monsters!\While she's taken damage and depleted a lot of her magic,\unbelievably... just four monsters are left!\But those are all strong ones!\And she hasn't defeated the S-class monster yet... response:	S-class, my ass!
context: The terrifying Titania!\She requips over and over,\steadily crushing the monsters!\While she's taken damage and depleted a lot of her magic,\unbelievably... just four monsters are left!\But those are all strong ones!\And she hasn't defeated the S-class monster yet...\S-class, my ass! response:	We know just how awesome S-class Erza is!
context: She requips over and over,\steadily crushing the monsters!\While she's taken damage and depleted a lot of her magic,\unbelievably... just four monsters are left!\But those are all strong ones!\And she hasn't defeated the S-class monster yet...\S-class, my ass!\We know just how awesome S-class Erza is! response:	Hey, she...
context: steadily crushing the monsters!\While she's taken damage and depleted a lot of her magic,\unbelievably... just four monsters are left!\But those are all strong ones!\And she hasn't defeated the S-class monster yet...\S-class, my ass!\We know just how awesome S-class Erza is!\Hey, she... response:	And finally... And finally, the last one!
context: While she's taken damage and depleted a lot of her magic,\unbelievably... just four monsters are left!\But those are all strong ones!\And she hasn't defeated the S-class monster yet...\S-class, my ass!\We know just how awesome S-class Erza is!\Hey, she...\And finally... And finally, the last one! response:	Just what kind of monster is an S-class one?!
context: unbelievably... just four monsters are left!\But those are all strong ones!\And she hasn't defeated the S-class monster yet...\S-class, my ass!\We know just how awesome S-class Erza is!\Hey, she...\And finally... And finally, the last one!\Just what kind of monster is an S-class one?! response:	Uh... Huh?
context: But those are all strong ones!\And she hasn't defeated the S-class monster yet...\S-class, my ass!\We know just how awesome S-class Erza is!\Hey, she...\And finally... And finally, the last one!\Just what kind of monster is an S-class one?!\Uh... Huh? response:	I thought so.
context: And she hasn't defeated the S-class monster yet...\S-class, my ass!\We know just how awesome S-class Erza is!\Hey, she...\And finally... And finally, the last one!\Just what kind of monster is an S-class one?!\Uh... Huh?\I thought so. response:	So you're the S-class, huh?
context: S-class, my ass!\We know just how awesome S-class Erza is!\Hey, she...\And finally... And finally, the last one!\Just what kind of monster is an S-class one?!\Uh... Huh?\I thought so.\So you're the S-class, huh? response:	What?!
context: We know just how awesome S-class Erza is!\Hey, she...\And finally... And finally, the last one!\Just what kind of monster is an S-class one?!\Uh... Huh?\I thought so.\So you're the S-class, huh?\What?! response:	It's tiny!
context: Hey, she...\And finally... And finally, the last one!\Just what kind of monster is an S-class one?!\Uh... Huh?\I thought so.\So you're the S-class, huh?\What?!\It's tiny! response:	What a cute monster-san!
context: And finally... And finally, the last one!\Just what kind of monster is an S-class one?!\Uh... Huh?\I thought so.\So you're the S-class, huh?\What?!\It's tiny!\What a cute monster-san! response:	Still, I have a bad feeling about this...
context: Just what kind of monster is an S-class one?!\Uh... Huh?\I thought so.\So you're the S-class, huh?\What?!\It's tiny!\What a cute monster-san!\Still, I have a bad feeling about this... response:	Huh? Why is Erza-nee changing her sword?
context: Uh... Huh?\I thought so.\So you're the S-class, huh?\What?!\It's tiny!\What a cute monster-san!\Still, I have a bad feeling about this...\Huh? Why is Erza-nee changing her sword? response:	From Benizakura to two swords?
context: I thought so.\So you're the S-class, huh?\What?!\It's tiny!\What a cute monster-san!\Still, I have a bad feeling about this...\Huh? Why is Erza-nee changing her sword?\From Benizakura to two swords? response:	Against that puny foe?
context: So you're the S-class, huh?\What?!\It's tiny!\What a cute monster-san!\Still, I have a bad feeling about this...\Huh? Why is Erza-nee changing her sword?\From Benizakura to two swords?\Against that puny foe? response:	Something must be up...
context: What?!\It's tiny!\What a cute monster-san!\Still, I have a bad feeling about this...\Huh? Why is Erza-nee changing her sword?\From Benizakura to two swords?\Against that puny foe?\Something must be up... response:	Yeah. Look at her expression.
context: It's tiny!\What a cute monster-san!\Still, I have a bad feeling about this...\Huh? Why is Erza-nee changing her sword?\From Benizakura to two swords?\Against that puny foe?\Something must be up...\Yeah. Look at her expression. response:	Her concentration and sense of tension have doubled!
context: What a cute monster-san!\Still, I have a bad feeling about this...\Huh? Why is Erza-nee changing her sword?\From Benizakura to two swords?\Against that puny foe?\Something must be up...\Yeah. Look at her expression.\Her concentration and sense of tension have doubled! response:	Come.
context: Still, I have a bad feeling about this...\Huh? Why is Erza-nee changing her sword?\From Benizakura to two swords?\Against that puny foe?\Something must be up...\Yeah. Look at her expression.\Her concentration and sense of tension have doubled!\Come. response:	This is why I told you it was impossible-kabo!
context: Huh? Why is Erza-nee changing her sword?\From Benizakura to two swords?\Against that puny foe?\Something must be up...\Yeah. Look at her expression.\Her concentration and sense of tension have doubled!\Come.\This is why I told you it was impossible-kabo! response:	It's set up so that when the S-class monster
context: From Benizakura to two swords?\Against that puny foe?\Something must be up...\Yeah. Look at her expression.\Her concentration and sense of tension have doubled!\Come.\This is why I told you it was impossible-kabo!\It's set up so that when the S-class monster response:	becomes the last one left, its power triples-kabo!
context: Against that puny foe?\Something must be up...\Yeah. Look at her expression.\Her concentration and sense of tension have doubled!\Come.\This is why I told you it was impossible-kabo!\It's set up so that when the S-class monster\becomes the last one left, its power triples-kabo! response:	Alright! Pandemonium's last monster!
context: Something must be up...\Yeah. Look at her expression.\Her concentration and sense of tension have doubled!\Come.\This is why I told you it was impossible-kabo!\It's set up so that when the S-class monster\becomes the last one left, its power triples-kabo!\Alright! Pandemonium's last monster! response:	But somehow the battle has moved to the arena!
context: Yeah. Look at her expression.\Her concentration and sense of tension have doubled!\Come.\This is why I told you it was impossible-kabo!\It's set up so that when the S-class monster\becomes the last one left, its power triples-kabo!\Alright! Pandemonium's last monster!\But somehow the battle has moved to the arena! response:	The now super-sized S-class monster is bearing down on Erza!
