context: So you're finally here, then, you scrubs? response:	Come, now... what are you waiting for?
context: Hu Feng, I just saw the most delightful boy in the latest match!\Seidoukan's Ayato Amagiri or something?\In terms of raw talent, I think that kid was the best!\Such a blast to watch!\Is it too late to ask him to play for us?\Easier said than done.\However, it seems that his powers are limited.\But that's what makes him all the more intriguing! response:	If I'm not mistaken, his next opponents are Song and Luo.
context: Seidoukan's Ayato Amagiri or something?\In terms of raw talent, I think that kid was the best!\Such a blast to watch!\Is it too late to ask him to play for us?\Easier said than done.\However, it seems that his powers are limited.\But that's what makes him all the more intriguing!\If I'm not mistaken, his next opponents are Song and Luo. response:	I couldn't be more envious!
context: In terms of raw talent, I think that kid was the best!\Such a blast to watch!\Is it too late to ask him to play for us?\Easier said than done.\However, it seems that his powers are limited.\But that's what makes him all the more intriguing!\If I'm not mistaken, his next opponents are Song and Luo.\I couldn't be more envious! response:	So there you are, Master.
context: Such a blast to watch!\Is it too late to ask him to play for us?\Easier said than done.\However, it seems that his powers are limited.\But that's what makes him all the more intriguing!\If I'm not mistaken, his next opponents are Song and Luo.\I couldn't be more envious!\So there you are, Master. response:	Oh, and you, too, Elder Brother Zhao.
context: Is it too late to ask him to play for us?\Easier said than done.\However, it seems that his powers are limited.\But that's what makes him all the more intriguing!\If I'm not mistaken, his next opponents are Song and Luo.\I couldn't be more envious!\So there you are, Master.\Oh, and you, too, Elder Brother Zhao. response:	- It's been a long time. - It's been a long time.
context: Easier said than done.\However, it seems that his powers are limited.\But that's what makes him all the more intriguing!\If I'm not mistaken, his next opponents are Song and Luo.\I couldn't be more envious!\So there you are, Master.\Oh, and you, too, Elder Brother Zhao.\- It's been a long time. - It's been a long time. response:	It's the twins, eh?
context: However, it seems that his powers are limited.\But that's what makes him all the more intriguing!\If I'm not mistaken, his next opponents are Song and Luo.\I couldn't be more envious!\So there you are, Master.\Oh, and you, too, Elder Brother Zhao.\- It's been a long time. - It's been a long time.\It's the twins, eh? response:	Shenyun and Shenhua...
context: But that's what makes him all the more intriguing!\If I'm not mistaken, his next opponents are Song and Luo.\I couldn't be more envious!\So there you are, Master.\Oh, and you, too, Elder Brother Zhao.\- It's been a long time. - It's been a long time.\It's the twins, eh?\Shenyun and Shenhua... response:	So, what did you want to see me for?
context: If I'm not mistaken, his next opponents are Song and Luo.\I couldn't be more envious!\So there you are, Master.\Oh, and you, too, Elder Brother Zhao.\- It's been a long time. - It's been a long time.\It's the twins, eh?\Shenyun and Shenhua...\So, what did you want to see me for? response:	Well, at this rate, we're headed for a clash with Song and Luo in the sixth round.
context: I couldn't be more envious!\So there you are, Master.\Oh, and you, too, Elder Brother Zhao.\- It's been a long time. - It's been a long time.\It's the twins, eh?\Shenyun and Shenhua...\So, what did you want to see me for?\Well, at this rate, we're headed for a clash with Song and Luo in the sixth round. response:	Being from the Water faction, we just don't see eye to eye with the Wood faction.
context: So there you are, Master.\Oh, and you, too, Elder Brother Zhao.\- It's been a long time. - It's been a long time.\It's the twins, eh?\Shenyun and Shenhua...\So, what did you want to see me for?\Well, at this rate, we're headed for a clash with Song and Luo in the sixth round.\Being from the Water faction, we just don't see eye to eye with the Wood faction. response:	When we do clash with them...
context: Oh, and you, too, Elder Brother Zhao.\- It's been a long time. - It's been a long time.\It's the twins, eh?\Shenyun and Shenhua...\So, what did you want to see me for?\Well, at this rate, we're headed for a clash with Song and Luo in the sixth round.\Being from the Water faction, we just don't see eye to eye with the Wood faction.\When we do clash with them... response:	- Just so you know. - Just so you know.
context: - It's been a long time. - It's been a long time.\It's the twins, eh?\Shenyun and Shenhua...\So, what did you want to see me for?\Well, at this rate, we're headed for a clash with Song and Luo in the sixth round.\Being from the Water faction, we just don't see eye to eye with the Wood faction.\When we do clash with them...\- Just so you know. - Just so you know. response:	Why, you...!
context: It's the twins, eh?\Shenyun and Shenhua...\So, what did you want to see me for?\Well, at this rate, we're headed for a clash with Song and Luo in the sixth round.\Being from the Water faction, we just don't see eye to eye with the Wood faction.\When we do clash with them...\- Just so you know. - Just so you know.\Why, you...! response:	Just do as you please.
context: Shenyun and Shenhua...\So, what did you want to see me for?\Well, at this rate, we're headed for a clash with Song and Luo in the sixth round.\Being from the Water faction, we just don't see eye to eye with the Wood faction.\When we do clash with them...\- Just so you know. - Just so you know.\Why, you...!\Just do as you please. response:	My goal is merely to endow you with power.
context: So, what did you want to see me for?\Well, at this rate, we're headed for a clash with Song and Luo in the sixth round.\Being from the Water faction, we just don't see eye to eye with the Wood faction.\When we do clash with them...\- Just so you know. - Just so you know.\Why, you...!\Just do as you please.\My goal is merely to endow you with power. response:	I have no interest in telling you what path to choose.
context: Well, at this rate, we're headed for a clash with Song and Luo in the sixth round.\Being from the Water faction, we just don't see eye to eye with the Wood faction.\When we do clash with them...\- Just so you know. - Just so you know.\Why, you...!\Just do as you please.\My goal is merely to endow you with power.\I have no interest in telling you what path to choose. response:	Master!
context: Being from the Water faction, we just don't see eye to eye with the Wood faction.\When we do clash with them...\- Just so you know. - Just so you know.\Why, you...!\Just do as you please.\My goal is merely to endow you with power.\I have no interest in telling you what path to choose.\Master! response:	I can see why you inherited the Divine Revelations!
context: When we do clash with them...\- Just so you know. - Just so you know.\Why, you...!\Just do as you please.\My goal is merely to endow you with power.\I have no interest in telling you what path to choose.\Master!\I can see why you inherited the Divine Revelations! response:	How open-minded you are!
context: - Just so you know. - Just so you know.\Why, you...!\Just do as you please.\My goal is merely to endow you with power.\I have no interest in telling you what path to choose.\Master!\I can see why you inherited the Divine Revelations!\How open-minded you are! response:	- We are quite impressed! - We are quite impressed!
context: Why, you...!\Just do as you please.\My goal is merely to endow you with power.\I have no interest in telling you what path to choose.\Master!\I can see why you inherited the Divine Revelations!\How open-minded you are!\- We are quite impressed! - We are quite impressed! response:	AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD LUO KUNZHAN SONG RAN SHENYUN LI SHENHUA LI
context: Just do as you please.\My goal is merely to endow you with power.\I have no interest in telling you what path to choose.\Master!\I can see why you inherited the Divine Revelations!\How open-minded you are!\- We are quite impressed! - We are quite impressed!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD LUO KUNZHAN SONG RAN SHENYUN LI SHENHUA LI response:	That said, are you sure that all will go as you planned?
context: My goal is merely to endow you with power.\I have no interest in telling you what path to choose.\Master!\I can see why you inherited the Divine Revelations!\How open-minded you are!\- We are quite impressed! - We are quite impressed!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD LUO KUNZHAN SONG RAN SHENYUN LI SHENHUA LI\That said, are you sure that all will go as you planned? response:	By that do you mean we do not measure up to Song and Luo?
context: I have no interest in telling you what path to choose.\Master!\I can see why you inherited the Divine Revelations!\How open-minded you are!\- We are quite impressed! - We are quite impressed!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD LUO KUNZHAN SONG RAN SHENYUN LI SHENHUA LI\That said, are you sure that all will go as you planned?\By that do you mean we do not measure up to Song and Luo? response:	Oh, no. But we're not sure if those two will win through to the next round.
context: Master!\I can see why you inherited the Divine Revelations!\How open-minded you are!\- We are quite impressed! - We are quite impressed!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD LUO KUNZHAN SONG RAN SHENYUN LI SHENHUA LI\That said, are you sure that all will go as you planned?\By that do you mean we do not measure up to Song and Luo?\Oh, no. But we're not sure if those two will win through to the next round. response:	Master, do you believe that Song and Luo will lose to that Seidoukan team,
context: I can see why you inherited the Divine Revelations!\How open-minded you are!\- We are quite impressed! - We are quite impressed!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD LUO KUNZHAN SONG RAN SHENYUN LI SHENHUA LI\That said, are you sure that all will go as you planned?\By that do you mean we do not measure up to Song and Luo?\Oh, no. But we're not sure if those two will win through to the next round.\Master, do you believe that Song and Luo will lose to that Seidoukan team, response:	even though their weakness has been exposed?
context: How open-minded you are!\- We are quite impressed! - We are quite impressed!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD LUO KUNZHAN SONG RAN SHENYUN LI SHENHUA LI\That said, are you sure that all will go as you planned?\By that do you mean we do not measure up to Song and Luo?\Oh, no. But we're not sure if those two will win through to the next round.\Master, do you believe that Song and Luo will lose to that Seidoukan team,\even though their weakness has been exposed? response:	All I care about is having a good time.
context: - We are quite impressed! - We are quite impressed!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD LUO KUNZHAN SONG RAN SHENYUN LI SHENHUA LI\That said, are you sure that all will go as you planned?\By that do you mean we do not measure up to Song and Luo?\Oh, no. But we're not sure if those two will win through to the next round.\Master, do you believe that Song and Luo will lose to that Seidoukan team,\even though their weakness has been exposed?\All I care about is having a good time. response:	That's what I'm here for.
context: AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD LUO KUNZHAN SONG RAN SHENYUN LI SHENHUA LI\That said, are you sure that all will go as you planned?\By that do you mean we do not measure up to Song and Luo?\Oh, no. But we're not sure if those two will win through to the next round.\Master, do you believe that Song and Luo will lose to that Seidoukan team,\even though their weakness has been exposed?\All I care about is having a good time.\That's what I'm here for. response:	If Amagiri and his teammate win tomorrow,
context: That said, are you sure that all will go as you planned?\By that do you mean we do not measure up to Song and Luo?\Oh, no. But we're not sure if those two will win through to the next round.\Master, do you believe that Song and Luo will lose to that Seidoukan team,\even though their weakness has been exposed?\All I care about is having a good time.\That's what I'm here for.\If Amagiri and his teammate win tomorrow, response:	he'll only increase his capabilities further.
context: By that do you mean we do not measure up to Song and Luo?\Oh, no. But we're not sure if those two will win through to the next round.\Master, do you believe that Song and Luo will lose to that Seidoukan team,\even though their weakness has been exposed?\All I care about is having a good time.\That's what I'm here for.\If Amagiri and his teammate win tomorrow,\he'll only increase his capabilities further. response:	And that's what I'm looking forward to.
context: Oh, no. But we're not sure if those two will win through to the next round.\Master, do you believe that Song and Luo will lose to that Seidoukan team,\even though their weakness has been exposed?\All I care about is having a good time.\That's what I'm here for.\If Amagiri and his teammate win tomorrow,\he'll only increase his capabilities further.\And that's what I'm looking forward to. response:	After all, that would make it...
context: Master, do you believe that Song and Luo will lose to that Seidoukan team,\even though their weakness has been exposed?\All I care about is having a good time.\That's what I'm here for.\If Amagiri and his teammate win tomorrow,\he'll only increase his capabilities further.\And that's what I'm looking forward to.\After all, that would make it... response:	Divine Revelations
context: even though their weakness has been exposed?\All I care about is having a good time.\That's what I'm here for.\If Amagiri and his teammate win tomorrow,\he'll only increase his capabilities further.\And that's what I'm looking forward to.\After all, that would make it...\Divine Revelations response:	Seidoukan's new phenom might be saddled with a time limit!?
context: All I care about is having a good time.\That's what I'm here for.\If Amagiri and his teammate win tomorrow,\he'll only increase his capabilities further.\And that's what I'm looking forward to.\After all, that would make it...\Divine Revelations\Seidoukan's new phenom might be saddled with a time limit!? response:	Seriously,
context: That's what I'm here for.\If Amagiri and his teammate win tomorrow,\he'll only increase his capabilities further.\And that's what I'm looking forward to.\After all, that would make it...\Divine Revelations\Seidoukan's new phenom might be saddled with a time limit!?\Seriously, response:	Who knew that the rumor would spread like this in a single day?
context: If Amagiri and his teammate win tomorrow,\he'll only increase his capabilities further.\And that's what I'm looking forward to.\After all, that would make it...\Divine Revelations\Seidoukan's new phenom might be saddled with a time limit!?\Seriously,\Who knew that the rumor would spread like this in a single day? response:	The players themselves must have received even more detailed data.
context: he'll only increase his capabilities further.\And that's what I'm looking forward to.\After all, that would make it...\Divine Revelations\Seidoukan's new phenom might be saddled with a time limit!?\Seriously,\Who knew that the rumor would spread like this in a single day?\The players themselves must have received even more detailed data. response:	How much do you think they know?
context: And that's what I'm looking forward to.\After all, that would make it...\Divine Revelations\Seidoukan's new phenom might be saddled with a time limit!?\Seriously,\Who knew that the rumor would spread like this in a single day?\The players themselves must have received even more detailed data.\How much do you think they know? response:	For starters, we should assume that the match with Irene
context: After all, that would make it...\Divine Revelations\Seidoukan's new phenom might be saddled with a time limit!?\Seriously,\Who knew that the rumor would spread like this in a single day?\The players themselves must have received even more detailed data.\How much do you think they know?\For starters, we should assume that the match with Irene response:	gave them a rough idea of your time limit.
context: Divine Revelations\Seidoukan's new phenom might be saddled with a time limit!?\Seriously,\Who knew that the rumor would spread like this in a single day?\The players themselves must have received even more detailed data.\How much do you think they know?\For starters, we should assume that the match with Irene\gave them a rough idea of your time limit. response:	Yeah, probably.
context: Seidoukan's new phenom might be saddled with a time limit!?\Seriously,\Who knew that the rumor would spread like this in a single day?\The players themselves must have received even more detailed data.\How much do you think they know?\For starters, we should assume that the match with Irene\gave them a rough idea of your time limit.\Yeah, probably. response:	The real issue is
context: Seriously,\Who knew that the rumor would spread like this in a single day?\The players themselves must have received even more detailed data.\How much do you think they know?\For starters, we should assume that the match with Irene\gave them a rough idea of your time limit.\Yeah, probably.\The real issue is response:	that the word's out about the impact on you when you release those powers.
context: Who knew that the rumor would spread like this in a single day?\The players themselves must have received even more detailed data.\How much do you think they know?\For starters, we should assume that the match with Irene\gave them a rough idea of your time limit.\Yeah, probably.\The real issue is\that the word's out about the impact on you when you release those powers. response:	In order to recover from the physical damage of this impact,
context: The players themselves must have received even more detailed data.\How much do you think they know?\For starters, we should assume that the match with Irene\gave them a rough idea of your time limit.\Yeah, probably.\The real issue is\that the word's out about the impact on you when you release those powers.\In order to recover from the physical damage of this impact, response:	it can be inferred that Amagiri must stand by for a certain interval...
context: How much do you think they know?\For starters, we should assume that the match with Irene\gave them a rough idea of your time limit.\Yeah, probably.\The real issue is\that the word's out about the impact on you when you release those powers.\In order to recover from the physical damage of this impact,\it can be inferred that Amagiri must stand by for a certain interval... response:	I hear that Rewolf is the source of these rumors!
context: For starters, we should assume that the match with Irene\gave them a rough idea of your time limit.\Yeah, probably.\The real issue is\that the word's out about the impact on you when you release those powers.\In order to recover from the physical damage of this impact,\it can be inferred that Amagiri must stand by for a certain interval...\I hear that Rewolf is the source of these rumors! response:	That wretched Tyrant!
context: gave them a rough idea of your time limit.\Yeah, probably.\The real issue is\that the word's out about the impact on you when you release those powers.\In order to recover from the physical damage of this impact,\it can be inferred that Amagiri must stand by for a certain interval...\I hear that Rewolf is the source of these rumors!\That wretched Tyrant! response:	So...
context: Yeah, probably.\The real issue is\that the word's out about the impact on you when you release those powers.\In order to recover from the physical damage of this impact,\it can be inferred that Amagiri must stand by for a certain interval...\I hear that Rewolf is the source of these rumors!\That wretched Tyrant!\So... response:	how are you really feeling?
context: The real issue is\that the word's out about the impact on you when you release those powers.\In order to recover from the physical damage of this impact,\it can be inferred that Amagiri must stand by for a certain interval...\I hear that Rewolf is the source of these rumors!\That wretched Tyrant!\So...\how are you really feeling? response:	Well, I still have some pain.
context: that the word's out about the impact on you when you release those powers.\In order to recover from the physical damage of this impact,\it can be inferred that Amagiri must stand by for a certain interval...\I hear that Rewolf is the source of these rumors!\That wretched Tyrant!\So...\how are you really feeling?\Well, I still have some pain. response:	But not enough to keep me from fighting normally.
context: In order to recover from the physical damage of this impact,\it can be inferred that Amagiri must stand by for a certain interval...\I hear that Rewolf is the source of these rumors!\That wretched Tyrant!\So...\how are you really feeling?\Well, I still have some pain.\But not enough to keep me from fighting normally. response:	So you won't be able to go all-out, then?
context: it can be inferred that Amagiri must stand by for a certain interval...\I hear that Rewolf is the source of these rumors!\That wretched Tyrant!\So...\how are you really feeling?\Well, I still have some pain.\But not enough to keep me from fighting normally.\So you won't be able to go all-out, then? response:	No... I don't think that's gonna happen.
context: I hear that Rewolf is the source of these rumors!\That wretched Tyrant!\So...\how are you really feeling?\Well, I still have some pain.\But not enough to keep me from fighting normally.\So you won't be able to go all-out, then?\No... I don't think that's gonna happen. response:	Very well. In that case, there are two things I want to confirm.
context: That wretched Tyrant!\So...\how are you really feeling?\Well, I still have some pain.\But not enough to keep me from fighting normally.\So you won't be able to go all-out, then?\No... I don't think that's gonna happen.\Very well. In that case, there are two things I want to confirm. response:	How can your defense be so formidable when your powers are sealed?
context: So...\how are you really feeling?\Well, I still have some pain.\But not enough to keep me from fighting normally.\So you won't be able to go all-out, then?\No... I don't think that's gonna happen.\Very well. In that case, there are two things I want to confirm.\How can your defense be so formidable when your powers are sealed? response:	Oh, right.
context: how are you really feeling?\Well, I still have some pain.\But not enough to keep me from fighting normally.\So you won't be able to go all-out, then?\No... I don't think that's gonna happen.\Very well. In that case, there are two things I want to confirm.\How can your defense be so formidable when your powers are sealed?\Oh, right. response:	If it's defense, I can get by with experience and anticipation up to a point.
context: Well, I still have some pain.\But not enough to keep me from fighting normally.\So you won't be able to go all-out, then?\No... I don't think that's gonna happen.\Very well. In that case, there are two things I want to confirm.\How can your defense be so formidable when your powers are sealed?\Oh, right.\If it's defense, I can get by with experience and anticipation up to a point. response:	I see.
context: But not enough to keep me from fighting normally.\So you won't be able to go all-out, then?\No... I don't think that's gonna happen.\Very well. In that case, there are two things I want to confirm.\How can your defense be so formidable when your powers are sealed?\Oh, right.\If it's defense, I can get by with experience and anticipation up to a point.\I see. response:	All right, here's the other thing.
context: So you won't be able to go all-out, then?\No... I don't think that's gonna happen.\Very well. In that case, there are two things I want to confirm.\How can your defense be so formidable when your powers are sealed?\Oh, right.\If it's defense, I can get by with experience and anticipation up to a point.\I see.\All right, here's the other thing. response:	That method you have of releasing your power for just a second...
context: No... I don't think that's gonna happen.\Very well. In that case, there are two things I want to confirm.\How can your defense be so formidable when your powers are sealed?\Oh, right.\If it's defense, I can get by with experience and anticipation up to a point.\I see.\All right, here's the other thing.\That method you have of releasing your power for just a second... response:	Can you still use it, even now?
context: Very well. In that case, there are two things I want to confirm.\How can your defense be so formidable when your powers are sealed?\Oh, right.\If it's defense, I can get by with experience and anticipation up to a point.\I see.\All right, here's the other thing.\That method you have of releasing your power for just a second...\Can you still use it, even now? response:	I think I could pull it off at least once.
context: How can your defense be so formidable when your powers are sealed?\Oh, right.\If it's defense, I can get by with experience and anticipation up to a point.\I see.\All right, here's the other thing.\That method you have of releasing your power for just a second...\Can you still use it, even now?\I think I could pull it off at least once. response:	Very well, then.
context: Oh, right.\If it's defense, I can get by with experience and anticipation up to a point.\I see.\All right, here's the other thing.\That method you have of releasing your power for just a second...\Can you still use it, even now?\I think I could pull it off at least once.\Very well, then. response:	Our next opponents are Jie Long's Rank 20 and 23.
context: If it's defense, I can get by with experience and anticipation up to a point.\I see.\All right, here's the other thing.\That method you have of releasing your power for just a second...\Can you still use it, even now?\I think I could pull it off at least once.\Very well, then.\Our next opponents are Jie Long's Rank 20 and 23. response:	DIVINE REVELATIONS
context: I see.\All right, here's the other thing.\That method you have of releasing your power for just a second...\Can you still use it, even now?\I think I could pull it off at least once.\Very well, then.\Our next opponents are Jie Long's Rank 20 and 23.\DIVINE REVELATIONS response:	They're direct disciples of Jie Long's student council president,
context: All right, here's the other thing.\That method you have of releasing your power for just a second...\Can you still use it, even now?\I think I could pull it off at least once.\Very well, then.\Our next opponents are Jie Long's Rank 20 and 23.\DIVINE REVELATIONS\They're direct disciples of Jie Long's student council president, response:	Divine Revelations, and masters of close combat.
context: That method you have of releasing your power for just a second...\Can you still use it, even now?\I think I could pull it off at least once.\Very well, then.\Our next opponents are Jie Long's Rank 20 and 23.\DIVINE REVELATIONS\They're direct disciples of Jie Long's student council president,\Divine Revelations, and masters of close combat. response:	If you were at full strength, it wouldn't be hard to defeat them,
context: Can you still use it, even now?\I think I could pull it off at least once.\Very well, then.\Our next opponents are Jie Long's Rank 20 and 23.\DIVINE REVELATIONS\They're direct disciples of Jie Long's student council president,\Divine Revelations, and masters of close combat.\If you were at full strength, it wouldn't be hard to defeat them, response:	but frankly, in your current state, that would be asking too much.
context: I think I could pull it off at least once.\Very well, then.\Our next opponents are Jie Long's Rank 20 and 23.\DIVINE REVELATIONS\They're direct disciples of Jie Long's student council president,\Divine Revelations, and masters of close combat.\If you were at full strength, it wouldn't be hard to defeat them,\but frankly, in your current state, that would be asking too much. response:	If it were one-on-one, I'm sure I could hold my own,
context: Very well, then.\Our next opponents are Jie Long's Rank 20 and 23.\DIVINE REVELATIONS\They're direct disciples of Jie Long's student council president,\Divine Revelations, and masters of close combat.\If you were at full strength, it wouldn't be hard to defeat them,\but frankly, in your current state, that would be asking too much.\If it were one-on-one, I'm sure I could hold my own, response:	but taking on both at the same time...
context: Our next opponents are Jie Long's Rank 20 and 23.\DIVINE REVELATIONS\They're direct disciples of Jie Long's student council president,\Divine Revelations, and masters of close combat.\If you were at full strength, it wouldn't be hard to defeat them,\but frankly, in your current state, that would be asking too much.\If it were one-on-one, I'm sure I could hold my own,\but taking on both at the same time... response:	Which brings me to my proposal.
context: DIVINE REVELATIONS\They're direct disciples of Jie Long's student council president,\Divine Revelations, and masters of close combat.\If you were at full strength, it wouldn't be hard to defeat them,\but frankly, in your current state, that would be asking too much.\If it were one-on-one, I'm sure I could hold my own,\but taking on both at the same time...\Which brings me to my proposal. response:	You have a plan?
context: They're direct disciples of Jie Long's student council president,\Divine Revelations, and masters of close combat.\If you were at full strength, it wouldn't be hard to defeat them,\but frankly, in your current state, that would be asking too much.\If it were one-on-one, I'm sure I could hold my own,\but taking on both at the same time...\Which brings me to my proposal.\You have a plan? response:	What do you think of this strategy?
context: Divine Revelations, and masters of close combat.\If you were at full strength, it wouldn't be hard to defeat them,\but frankly, in your current state, that would be asking too much.\If it were one-on-one, I'm sure I could hold my own,\but taking on both at the same time...\Which brings me to my proposal.\You have a plan?\What do you think of this strategy? response:	PHOENIX FESTA ROUND 5 MATCH 8
context: If you were at full strength, it wouldn't be hard to defeat them,\but frankly, in your current state, that would be asking too much.\If it were one-on-one, I'm sure I could hold my own,\but taking on both at the same time...\Which brings me to my proposal.\You have a plan?\What do you think of this strategy?\PHOENIX FESTA ROUND 5 MATCH 8 response:	Here we are!
context: but frankly, in your current state, that would be asking too much.\If it were one-on-one, I'm sure I could hold my own,\but taking on both at the same time...\Which brings me to my proposal.\You have a plan?\What do you think of this strategy?\PHOENIX FESTA ROUND 5 MATCH 8\Here we are! response:	The last match of Round 5 of the Phoenix Festa!
context: If it were one-on-one, I'm sure I could hold my own,\but taking on both at the same time...\Which brings me to my proposal.\You have a plan?\What do you think of this strategy?\PHOENIX FESTA ROUND 5 MATCH 8\Here we are!\The last match of Round 5 of the Phoenix Festa! response:	Which team will claim the final berth of the quarterfinals?
context: but taking on both at the same time...\Which brings me to my proposal.\You have a plan?\What do you think of this strategy?\PHOENIX FESTA ROUND 5 MATCH 8\Here we are!\The last match of Round 5 of the Phoenix Festa!\Which team will claim the final berth of the quarterfinals? response:	Since this year's teams are of a high caliber,
context: Which brings me to my proposal.\You have a plan?\What do you think of this strategy?\PHOENIX FESTA ROUND 5 MATCH 8\Here we are!\The last match of Round 5 of the Phoenix Festa!\Which team will claim the final berth of the quarterfinals?\Since this year's teams are of a high caliber, response:	I'd say every one of them has a shot at winning it all!
context: You have a plan?\What do you think of this strategy?\PHOENIX FESTA ROUND 5 MATCH 8\Here we are!\The last match of Round 5 of the Phoenix Festa!\Which team will claim the final berth of the quarterfinals?\Since this year's teams are of a high caliber,\I'd say every one of them has a shot at winning it all! response:	Now, then, why don't we introduce the quarterfinalists to watch?
context: What do you think of this strategy?\PHOENIX FESTA ROUND 5 MATCH 8\Here we are!\The last match of Round 5 of the Phoenix Festa!\Which team will claim the final berth of the quarterfinals?\Since this year's teams are of a high caliber,\I'd say every one of them has a shot at winning it all!\Now, then, why don't we introduce the quarterfinalists to watch? response:	First of all, this year's front-runners!
context: PHOENIX FESTA ROUND 5 MATCH 8\Here we are!\The last match of Round 5 of the Phoenix Festa!\Which team will claim the final berth of the quarterfinals?\Since this year's teams are of a high caliber,\I'd say every one of them has a shot at winning it all!\Now, then, why don't we introduce the quarterfinalists to watch?\First of all, this year's front-runners! response:	Arlequint's all-powerful, bleeding-edge puppets, AR-D and RM-C!
context: Here we are!\The last match of Round 5 of the Phoenix Festa!\Which team will claim the final berth of the quarterfinals?\Since this year's teams are of a high caliber,\I'd say every one of them has a shot at winning it all!\Now, then, why don't we introduce the quarterfinalists to watch?\First of all, this year's front-runners!\Arlequint's all-powerful, bleeding-edge puppets, AR-D and RM-C! response:	They'll be competing as Ernesta and Camilla's surrogates!
