context: Nishimi... Nishimi... response:	You're back at the head of the class.
context: Pass it here!\I never thought they'd agree to open up the roof, but they went right for it.\I heard a third-year thug was monopolizing the key up'til now.\Hi! Richie-boy! I'm playing volleyball with the girls.\How about joining in?\No. I'll pass.\Richie-boy!\I know you're lonely without Kawabuchi-kun, but you've got to get over it. response:	You're right. Thanks.
context: I never thought they'd agree to open up the roof, but they went right for it.\I heard a third-year thug was monopolizing the key up'til now.\Hi! Richie-boy! I'm playing volleyball with the girls.\How about joining in?\No. I'll pass.\Richie-boy!\I know you're lonely without Kawabuchi-kun, but you've got to get over it.\You're right. Thanks. response:	Mukae-san!
context: I heard a third-year thug was monopolizing the key up'til now.\Hi! Richie-boy! I'm playing volleyball with the girls.\How about joining in?\No. I'll pass.\Richie-boy!\I know you're lonely without Kawabuchi-kun, but you've got to get over it.\You're right. Thanks.\Mukae-san! response:	I bet you're looking for Nishimi-kun?
context: Hi! Richie-boy! I'm playing volleyball with the girls.\How about joining in?\No. I'll pass.\Richie-boy!\I know you're lonely without Kawabuchi-kun, but you've got to get over it.\You're right. Thanks.\Mukae-san!\I bet you're looking for Nishimi-kun? response:	No, that's okay.
context: How about joining in?\No. I'll pass.\Richie-boy!\I know you're lonely without Kawabuchi-kun, but you've got to get over it.\You're right. Thanks.\Mukae-san!\I bet you're looking for Nishimi-kun?\No, that's okay. response:	It's cold!
context: No. I'll pass.\Richie-boy!\I know you're lonely without Kawabuchi-kun, but you've got to get over it.\You're right. Thanks.\Mukae-san!\I bet you're looking for Nishimi-kun?\No, that's okay.\It's cold! response:	I love milkshakes when it starts getting cold outside!
context: Richie-boy!\I know you're lonely without Kawabuchi-kun, but you've got to get over it.\You're right. Thanks.\Mukae-san!\I bet you're looking for Nishimi-kun?\No, that's okay.\It's cold!\I love milkshakes when it starts getting cold outside! response:	Hey, Ritsuko-san? Are you awake?
context: I know you're lonely without Kawabuchi-kun, but you've got to get over it.\You're right. Thanks.\Mukae-san!\I bet you're looking for Nishimi-kun?\No, that's okay.\It's cold!\I love milkshakes when it starts getting cold outside!\Hey, Ritsuko-san? Are you awake? response:	Yeah.
context: You're right. Thanks.\Mukae-san!\I bet you're looking for Nishimi-kun?\No, that's okay.\It's cold!\I love milkshakes when it starts getting cold outside!\Hey, Ritsuko-san? Are you awake?\Yeah. response:	Could it be you're worried about Kawabuchi-kun after he disappeared?
context: Mukae-san!\I bet you're looking for Nishimi-kun?\No, that's okay.\It's cold!\I love milkshakes when it starts getting cold outside!\Hey, Ritsuko-san? Are you awake?\Yeah.\Could it be you're worried about Kawabuchi-kun after he disappeared? response:	Y-Yeah, there's that, too...
context: I bet you're looking for Nishimi-kun?\No, that's okay.\It's cold!\I love milkshakes when it starts getting cold outside!\Hey, Ritsuko-san? Are you awake?\Yeah.\Could it be you're worried about Kawabuchi-kun after he disappeared?\Y-Yeah, there's that, too... response:	I know! It's Nishimi-san, isn't it?
context: No, that's okay.\It's cold!\I love milkshakes when it starts getting cold outside!\Hey, Ritsuko-san? Are you awake?\Yeah.\Could it be you're worried about Kawabuchi-kun after he disappeared?\Y-Yeah, there's that, too...\I know! It's Nishimi-san, isn't it? response:	Like, you haven't been able to talk at all or go home together recently?
context: It's cold!\I love milkshakes when it starts getting cold outside!\Hey, Ritsuko-san? Are you awake?\Yeah.\Could it be you're worried about Kawabuchi-kun after he disappeared?\Y-Yeah, there's that, too...\I know! It's Nishimi-san, isn't it?\Like, you haven't been able to talk at all or go home together recently? response:	Ri-chan, you can't just wait.
context: I love milkshakes when it starts getting cold outside!\Hey, Ritsuko-san? Are you awake?\Yeah.\Could it be you're worried about Kawabuchi-kun after he disappeared?\Y-Yeah, there's that, too...\I know! It's Nishimi-san, isn't it?\Like, you haven't been able to talk at all or go home together recently?\Ri-chan, you can't just wait. response:	You need to make things happen yourself...
context: Hey, Ritsuko-san? Are you awake?\Yeah.\Could it be you're worried about Kawabuchi-kun after he disappeared?\Y-Yeah, there's that, too...\I know! It's Nishimi-san, isn't it?\Like, you haven't been able to talk at all or go home together recently?\Ri-chan, you can't just wait.\You need to make things happen yourself... response:	Hey, look!
context: Yeah.\Could it be you're worried about Kawabuchi-kun after he disappeared?\Y-Yeah, there's that, too...\I know! It's Nishimi-san, isn't it?\Like, you haven't been able to talk at all or go home together recently?\Ri-chan, you can't just wait.\You need to make things happen yourself...\Hey, look! response:	Isn't that Nishimi-san?
context: Could it be you're worried about Kawabuchi-kun after he disappeared?\Y-Yeah, there's that, too...\I know! It's Nishimi-san, isn't it?\Like, you haven't been able to talk at all or go home together recently?\Ri-chan, you can't just wait.\You need to make things happen yourself...\Hey, look!\Isn't that Nishimi-san? response:	Ri-chan...
context: Y-Yeah, there's that, too...\I know! It's Nishimi-san, isn't it?\Like, you haven't been able to talk at all or go home together recently?\Ri-chan, you can't just wait.\You need to make things happen yourself...\Hey, look!\Isn't that Nishimi-san?\Ri-chan... response:	Were you eating sweets?
context: I know! It's Nishimi-san, isn't it?\Like, you haven't been able to talk at all or go home together recently?\Ri-chan, you can't just wait.\You need to make things happen yourself...\Hey, look!\Isn't that Nishimi-san?\Ri-chan...\Were you eating sweets? response:	You've got whipped cream on your mouth.
context: Like, you haven't been able to talk at all or go home together recently?\Ri-chan, you can't just wait.\You need to make things happen yourself...\Hey, look!\Isn't that Nishimi-san?\Ri-chan...\Were you eating sweets?\You've got whipped cream on your mouth. response:	Um, Kaoru-san... You're not coming to the basement today, either?
context: Ri-chan, you can't just wait.\You need to make things happen yourself...\Hey, look!\Isn't that Nishimi-san?\Ri-chan...\Were you eating sweets?\You've got whipped cream on your mouth.\Um, Kaoru-san... You're not coming to the basement today, either? response:	No. Sorry.
context: You need to make things happen yourself...\Hey, look!\Isn't that Nishimi-san?\Ri-chan...\Were you eating sweets?\You've got whipped cream on your mouth.\Um, Kaoru-san... You're not coming to the basement today, either?\No. Sorry. response:	With entrance exams coming up, I've decided not to go for a while.
context: Hey, look!\Isn't that Nishimi-san?\Ri-chan...\Were you eating sweets?\You've got whipped cream on your mouth.\Um, Kaoru-san... You're not coming to the basement today, either?\No. Sorry.\With entrance exams coming up, I've decided not to go for a while. response:	I see. Yeah, that makes sense.
context: Isn't that Nishimi-san?\Ri-chan...\Were you eating sweets?\You've got whipped cream on your mouth.\Um, Kaoru-san... You're not coming to the basement today, either?\No. Sorry.\With entrance exams coming up, I've decided not to go for a while.\I see. Yeah, that makes sense. response:	Tell Pops that I'm sorry for not being able to come.
context: Ri-chan...\Were you eating sweets?\You've got whipped cream on your mouth.\Um, Kaoru-san... You're not coming to the basement today, either?\No. Sorry.\With entrance exams coming up, I've decided not to go for a while.\I see. Yeah, that makes sense.\Tell Pops that I'm sorry for not being able to come. response:	Well, see you...
context: Were you eating sweets?\You've got whipped cream on your mouth.\Um, Kaoru-san... You're not coming to the basement today, either?\No. Sorry.\With entrance exams coming up, I've decided not to go for a while.\I see. Yeah, that makes sense.\Tell Pops that I'm sorry for not being able to come.\Well, see you... response:	Wait!
context: You've got whipped cream on your mouth.\Um, Kaoru-san... You're not coming to the basement today, either?\No. Sorry.\With entrance exams coming up, I've decided not to go for a while.\I see. Yeah, that makes sense.\Tell Pops that I'm sorry for not being able to come.\Well, see you...\Wait! response:	Kaoru-san, um... Why not study at my place?
context: Um, Kaoru-san... You're not coming to the basement today, either?\No. Sorry.\With entrance exams coming up, I've decided not to go for a while.\I see. Yeah, that makes sense.\Tell Pops that I'm sorry for not being able to come.\Well, see you...\Wait!\Kaoru-san, um... Why not study at my place? response:	The shop's closed today? Where's your dad?
context: No. Sorry.\With entrance exams coming up, I've decided not to go for a while.\I see. Yeah, that makes sense.\Tell Pops that I'm sorry for not being able to come.\Well, see you...\Wait!\Kaoru-san, um... Why not study at my place?\The shop's closed today? Where's your dad? response:	He's off buying up stock, so it's just me today.
context: With entrance exams coming up, I've decided not to go for a while.\I see. Yeah, that makes sense.\Tell Pops that I'm sorry for not being able to come.\Well, see you...\Wait!\Kaoru-san, um... Why not study at my place?\The shop's closed today? Where's your dad?\He's off buying up stock, so it's just me today. response:	Give me a second. I'll clean up here.
context: I see. Yeah, that makes sense.\Tell Pops that I'm sorry for not being able to come.\Well, see you...\Wait!\Kaoru-san, um... Why not study at my place?\The shop's closed today? Where's your dad?\He's off buying up stock, so it's just me today.\Give me a second. I'll clean up here. response:	That one's my favorite photo. I always have it out here.
context: Tell Pops that I'm sorry for not being able to come.\Well, see you...\Wait!\Kaoru-san, um... Why not study at my place?\The shop's closed today? Where's your dad?\He's off buying up stock, so it's just me today.\Give me a second. I'll clean up here.\That one's my favorite photo. I always have it out here. response:	Both of you look so happy in the picture.
context: Well, see you...\Wait!\Kaoru-san, um... Why not study at my place?\The shop's closed today? Where's your dad?\He's off buying up stock, so it's just me today.\Give me a second. I'll clean up here.\That one's my favorite photo. I always have it out here.\Both of you look so happy in the picture. response:	Look at Sentaro's face...
context: Wait!\Kaoru-san, um... Why not study at my place?\The shop's closed today? Where's your dad?\He's off buying up stock, so it's just me today.\Give me a second. I'll clean up here.\That one's my favorite photo. I always have it out here.\Both of you look so happy in the picture.\Look at Sentaro's face... response:	Stop talking about him.
context: Kaoru-san, um... Why not study at my place?\The shop's closed today? Where's your dad?\He's off buying up stock, so it's just me today.\Give me a second. I'll clean up here.\That one's my favorite photo. I always have it out here.\Both of you look so happy in the picture.\Look at Sentaro's face...\Stop talking about him. response:	Shall we get started? English and Math, right?
context: The shop's closed today? Where's your dad?\He's off buying up stock, so it's just me today.\Give me a second. I'll clean up here.\That one's my favorite photo. I always have it out here.\Both of you look so happy in the picture.\Look at Sentaro's face...\Stop talking about him.\Shall we get started? English and Math, right? response:	So first of all, the word order is reversed.
context: He's off buying up stock, so it's just me today.\Give me a second. I'll clean up here.\That one's my favorite photo. I always have it out here.\Both of you look so happy in the picture.\Look at Sentaro's face...\Stop talking about him.\Shall we get started? English and Math, right?\So first of all, the word order is reversed. response:	This so comes before, and the subject and verb change places.
context: Give me a second. I'll clean up here.\That one's my favorite photo. I always have it out here.\Both of you look so happy in the picture.\Look at Sentaro's face...\Stop talking about him.\Shall we get started? English and Math, right?\So first of all, the word order is reversed.\This so comes before, and the subject and verb change places. response:	What?
context: That one's my favorite photo. I always have it out here.\Both of you look so happy in the picture.\Look at Sentaro's face...\Stop talking about him.\Shall we get started? English and Math, right?\So first of all, the word order is reversed.\This so comes before, and the subject and verb change places.\What? response:	Um... I'm sorry about before.
context: Both of you look so happy in the picture.\Look at Sentaro's face...\Stop talking about him.\Shall we get started? English and Math, right?\So first of all, the word order is reversed.\This so comes before, and the subject and verb change places.\What?\Um... I'm sorry about before. response:	I wasn't thinking about how you felt when I showed you that photo...
context: Look at Sentaro's face...\Stop talking about him.\Shall we get started? English and Math, right?\So first of all, the word order is reversed.\This so comes before, and the subject and verb change places.\What?\Um... I'm sorry about before.\I wasn't thinking about how you felt when I showed you that photo... response:	Since Sentaro left, you're the one it's hit the hardest, isn't it?
context: Stop talking about him.\Shall we get started? English and Math, right?\So first of all, the word order is reversed.\This so comes before, and the subject and verb change places.\What?\Um... I'm sorry about before.\I wasn't thinking about how you felt when I showed you that photo...\Since Sentaro left, you're the one it's hit the hardest, isn't it? response:	I'm fine.
context: Shall we get started? English and Math, right?\So first of all, the word order is reversed.\This so comes before, and the subject and verb change places.\What?\Um... I'm sorry about before.\I wasn't thinking about how you felt when I showed you that photo...\Since Sentaro left, you're the one it's hit the hardest, isn't it?\I'm fine. response:	He may not be around, but I've still got you, Ri-chan.
context: So first of all, the word order is reversed.\This so comes before, and the subject and verb change places.\What?\Um... I'm sorry about before.\I wasn't thinking about how you felt when I showed you that photo...\Since Sentaro left, you're the one it's hit the hardest, isn't it?\I'm fine.\He may not be around, but I've still got you, Ri-chan. response:	W-Wait, Kaoru-san!
context: This so comes before, and the subject and verb change places.\What?\Um... I'm sorry about before.\I wasn't thinking about how you felt when I showed you that photo...\Since Sentaro left, you're the one it's hit the hardest, isn't it?\I'm fine.\He may not be around, but I've still got you, Ri-chan.\W-Wait, Kaoru-san! response:	Don't! Hey...
context: What?\Um... I'm sorry about before.\I wasn't thinking about how you felt when I showed you that photo...\Since Sentaro left, you're the one it's hit the hardest, isn't it?\I'm fine.\He may not be around, but I've still got you, Ri-chan.\W-Wait, Kaoru-san!\Don't! Hey... response:	Kaoru-san, w-wait...
context: Um... I'm sorry about before.\I wasn't thinking about how you felt when I showed you that photo...\Since Sentaro left, you're the one it's hit the hardest, isn't it?\I'm fine.\He may not be around, but I've still got you, Ri-chan.\W-Wait, Kaoru-san!\Don't! Hey...\Kaoru-san, w-wait... response:	I'm glad he's gone.
context: I wasn't thinking about how you felt when I showed you that photo...\Since Sentaro left, you're the one it's hit the hardest, isn't it?\I'm fine.\He may not be around, but I've still got you, Ri-chan.\W-Wait, Kaoru-san!\Don't! Hey...\Kaoru-san, w-wait...\I'm glad he's gone. response:	Now I can be alone with you whenever I want.
context: Since Sentaro left, you're the one it's hit the hardest, isn't it?\I'm fine.\He may not be around, but I've still got you, Ri-chan.\W-Wait, Kaoru-san!\Don't! Hey...\Kaoru-san, w-wait...\I'm glad he's gone.\Now I can be alone with you whenever I want. response:	Stop it!
context: I'm fine.\He may not be around, but I've still got you, Ri-chan.\W-Wait, Kaoru-san!\Don't! Hey...\Kaoru-san, w-wait...\I'm glad he's gone.\Now I can be alone with you whenever I want.\Stop it! response:	How...? How could you say that?
context: He may not be around, but I've still got you, Ri-chan.\W-Wait, Kaoru-san!\Don't! Hey...\Kaoru-san, w-wait...\I'm glad he's gone.\Now I can be alone with you whenever I want.\Stop it!\How...? How could you say that? response:	You're happy that Sentaro is gone...?
context: W-Wait, Kaoru-san!\Don't! Hey...\Kaoru-san, w-wait...\I'm glad he's gone.\Now I can be alone with you whenever I want.\Stop it!\How...? How could you say that?\You're happy that Sentaro is gone...? response:	Even if you're joking, I don't want to hear such a thing!
context: Don't! Hey...\Kaoru-san, w-wait...\I'm glad he's gone.\Now I can be alone with you whenever I want.\Stop it!\How...? How could you say that?\You're happy that Sentaro is gone...?\Even if you're joking, I don't want to hear such a thing! response:	I'm sorry about that...
context: Kaoru-san, w-wait...\I'm glad he's gone.\Now I can be alone with you whenever I want.\Stop it!\How...? How could you say that?\You're happy that Sentaro is gone...?\Even if you're joking, I don't want to hear such a thing!\I'm sorry about that... response:	Ri-chan, I haven't been able to say this before...
context: I'm glad he's gone.\Now I can be alone with you whenever I want.\Stop it!\How...? How could you say that?\You're happy that Sentaro is gone...?\Even if you're joking, I don't want to hear such a thing!\I'm sorry about that...\Ri-chan, I haven't been able to say this before... response:	I'll go home for today.
context: Now I can be alone with you whenever I want.\Stop it!\How...? How could you say that?\You're happy that Sentaro is gone...?\Even if you're joking, I don't want to hear such a thing!\I'm sorry about that...\Ri-chan, I haven't been able to say this before...\I'll go home for today. response:	I'm scum!
context: Stop it!\How...? How could you say that?\You're happy that Sentaro is gone...?\Even if you're joking, I don't want to hear such a thing!\I'm sorry about that...\Ri-chan, I haven't been able to say this before...\I'll go home for today.\I'm scum! response:	The lowest of the low!
context: How...? How could you say that?\You're happy that Sentaro is gone...?\Even if you're joking, I don't want to hear such a thing!\I'm sorry about that...\Ri-chan, I haven't been able to say this before...\I'll go home for today.\I'm scum!\The lowest of the low! response:	Dammit! Why did things turn out like this?!
context: You're happy that Sentaro is gone...?\Even if you're joking, I don't want to hear such a thing!\I'm sorry about that...\Ri-chan, I haven't been able to say this before...\I'll go home for today.\I'm scum!\The lowest of the low!\Dammit! Why did things turn out like this?! response:	East High Graduation
context: Even if you're joking, I don't want to hear such a thing!\I'm sorry about that...\Ri-chan, I haven't been able to say this before...\I'll go home for today.\I'm scum!\The lowest of the low!\Dammit! Why did things turn out like this?!\East High Graduation response:	They didn't call Kawabuchi-kun's name, huh?
context: I'm sorry about that...\Ri-chan, I haven't been able to say this before...\I'll go home for today.\I'm scum!\The lowest of the low!\Dammit! Why did things turn out like this?!\East High Graduation\They didn't call Kawabuchi-kun's name, huh? response:	What's the difference? Everyone's going their own way.
context: Ri-chan, I haven't been able to say this before...\I'll go home for today.\I'm scum!\The lowest of the low!\Dammit! Why did things turn out like this?!\East High Graduation\They didn't call Kawabuchi-kun's name, huh?\What's the difference? Everyone's going their own way. response:	We'll all forget being here in no time.
context: I'll go home for today.\I'm scum!\The lowest of the low!\Dammit! Why did things turn out like this?!\East High Graduation\They didn't call Kawabuchi-kun's name, huh?\What's the difference? Everyone's going their own way.\We'll all forget being here in no time. response:	Nishimi-kun...
context: I'm scum!\The lowest of the low!\Dammit! Why did things turn out like this?!\East High Graduation\They didn't call Kawabuchi-kun's name, huh?\What's the difference? Everyone's going their own way.\We'll all forget being here in no time.\Nishimi-kun... response:	I won't ever forget you two's performance at the school festival last year!
context: The lowest of the low!\Dammit! Why did things turn out like this?!\East High Graduation\They didn't call Kawabuchi-kun's name, huh?\What's the difference? Everyone's going their own way.\We'll all forget being here in no time.\Nishimi-kun...\I won't ever forget you two's performance at the school festival last year! response:	Excuse me...
context: Dammit! Why did things turn out like this?!\East High Graduation\They didn't call Kawabuchi-kun's name, huh?\What's the difference? Everyone's going their own way.\We'll all forget being here in no time.\Nishimi-kun...\I won't ever forget you two's performance at the school festival last year!\Excuse me... response:	Maruo-san? Could I have the second button on your jacket?
context: East High Graduation\They didn't call Kawabuchi-kun's name, huh?\What's the difference? Everyone's going their own way.\We'll all forget being here in no time.\Nishimi-kun...\I won't ever forget you two's performance at the school festival last year!\Excuse me...\Maruo-san? Could I have the second button on your jacket? response:	Sure, if you'd be satisfied with mine...
context: They didn't call Kawabuchi-kun's name, huh?\What's the difference? Everyone's going their own way.\We'll all forget being here in no time.\Nishimi-kun...\I won't ever forget you two's performance at the school festival last year!\Excuse me...\Maruo-san? Could I have the second button on your jacket?\Sure, if you'd be satisfied with mine... response:	I'm thrilled!
context: What's the difference? Everyone's going their own way.\We'll all forget being here in no time.\Nishimi-kun...\I won't ever forget you two's performance at the school festival last year!\Excuse me...\Maruo-san? Could I have the second button on your jacket?\Sure, if you'd be satisfied with mine...\I'm thrilled! response:	I wasn't sure if I'd be able to ask you...
context: We'll all forget being here in no time.\Nishimi-kun...\I won't ever forget you two's performance at the school festival last year!\Excuse me...\Maruo-san? Could I have the second button on your jacket?\Sure, if you'd be satisfied with mine...\I'm thrilled!\I wasn't sure if I'd be able to ask you... response:	I was crying my eyes out...
context: Nishimi-kun...\I won't ever forget you two's performance at the school festival last year!\Excuse me...\Maruo-san? Could I have the second button on your jacket?\Sure, if you'd be satisfied with mine...\I'm thrilled!\I wasn't sure if I'd be able to ask you...\I was crying my eyes out... response:	I'm so happy!
context: I won't ever forget you two's performance at the school festival last year!\Excuse me...\Maruo-san? Could I have the second button on your jacket?\Sure, if you'd be satisfied with mine...\I'm thrilled!\I wasn't sure if I'd be able to ask you...\I was crying my eyes out...\I'm so happy! response:	Farewell and good riddance to this damned slope!
context: Excuse me...\Maruo-san? Could I have the second button on your jacket?\Sure, if you'd be satisfied with mine...\I'm thrilled!\I wasn't sure if I'd be able to ask you...\I was crying my eyes out...\I'm so happy!\Farewell and good riddance to this damned slope! response:	Don't go trudging up the thing tomorrow out of habit!
context: Maruo-san? Could I have the second button on your jacket?\Sure, if you'd be satisfied with mine...\I'm thrilled!\I wasn't sure if I'd be able to ask you...\I was crying my eyes out...\I'm so happy!\Farewell and good riddance to this damned slope!\Don't go trudging up the thing tomorrow out of habit! response:	I see...
context: Sure, if you'd be satisfied with mine...\I'm thrilled!\I wasn't sure if I'd be able to ask you...\I was crying my eyes out...\I'm so happy!\Farewell and good riddance to this damned slope!\Don't go trudging up the thing tomorrow out of habit!\I see... response:	So you're going off to a college in Tokyo too, huh, Richie-rich?
context: I'm thrilled!\I wasn't sure if I'd be able to ask you...\I was crying my eyes out...\I'm so happy!\Farewell and good riddance to this damned slope!\Don't go trudging up the thing tomorrow out of habit!\I see...\So you're going off to a college in Tokyo too, huh, Richie-rich? response:	Well, it'll probably get a little lonely around here...
context: I wasn't sure if I'd be able to ask you...\I was crying my eyes out...\I'm so happy!\Farewell and good riddance to this damned slope!\Don't go trudging up the thing tomorrow out of habit!\I see...\So you're going off to a college in Tokyo too, huh, Richie-rich?\Well, it'll probably get a little lonely around here... response:	Nah, we can't get gloomy about it.
context: I was crying my eyes out...\I'm so happy!\Farewell and good riddance to this damned slope!\Don't go trudging up the thing tomorrow out of habit!\I see...\So you're going off to a college in Tokyo too, huh, Richie-rich?\Well, it'll probably get a little lonely around here...\Nah, we can't get gloomy about it. response:	It's great news, isn't it?
context: I'm so happy!\Farewell and good riddance to this damned slope!\Don't go trudging up the thing tomorrow out of habit!\I see...\So you're going off to a college in Tokyo too, huh, Richie-rich?\Well, it'll probably get a little lonely around here...\Nah, we can't get gloomy about it.\It's great news, isn't it? response:	Oh, that's right. Ritsuko was accepted at the college here.
context: Farewell and good riddance to this damned slope!\Don't go trudging up the thing tomorrow out of habit!\I see...\So you're going off to a college in Tokyo too, huh, Richie-rich?\Well, it'll probably get a little lonely around here...\Nah, we can't get gloomy about it.\It's great news, isn't it?\Oh, that's right. Ritsuko was accepted at the college here. response:	Hey, Ritsuko! Come down!
context: Don't go trudging up the thing tomorrow out of habit!\I see...\So you're going off to a college in Tokyo too, huh, Richie-rich?\Well, it'll probably get a little lonely around here...\Nah, we can't get gloomy about it.\It's great news, isn't it?\Oh, that's right. Ritsuko was accepted at the college here.\Hey, Ritsuko! Come down! response:	Richie-rich got into college! Hey!
context: I see...\So you're going off to a college in Tokyo too, huh, Richie-rich?\Well, it'll probably get a little lonely around here...\Nah, we can't get gloomy about it.\It's great news, isn't it?\Oh, that's right. Ritsuko was accepted at the college here.\Hey, Ritsuko! Come down!\Richie-rich got into college! Hey! response:	Ri-chan! You can stay there, but just listen!
context: So you're going off to a college in Tokyo too, huh, Richie-rich?\Well, it'll probably get a little lonely around here...\Nah, we can't get gloomy about it.\It's great news, isn't it?\Oh, that's right. Ritsuko was accepted at the college here.\Hey, Ritsuko! Come down!\Richie-rich got into college! Hey!\Ri-chan! You can stay there, but just listen! response:	I'm sorry about that day!
context: Well, it'll probably get a little lonely around here...\Nah, we can't get gloomy about it.\It's great news, isn't it?\Oh, that's right. Ritsuko was accepted at the college here.\Hey, Ritsuko! Come down!\Richie-rich got into college! Hey!\Ri-chan! You can stay there, but just listen!\I'm sorry about that day! response:	You may not want to hear anything from me, but just let me say this!
context: Nah, we can't get gloomy about it.\It's great news, isn't it?\Oh, that's right. Ritsuko was accepted at the college here.\Hey, Ritsuko! Come down!\Richie-rich got into college! Hey!\Ri-chan! You can stay there, but just listen!\I'm sorry about that day!\You may not want to hear anything from me, but just let me say this! response:	The reason I started coming here is because I wanted to see your smile!
context: It's great news, isn't it?\Oh, that's right. Ritsuko was accepted at the college here.\Hey, Ritsuko! Come down!\Richie-rich got into college! Hey!\Ri-chan! You can stay there, but just listen!\I'm sorry about that day!\You may not want to hear anything from me, but just let me say this!\The reason I started coming here is because I wanted to see your smile! response:	Ri-chan, your smile always encouraged me, even when things were rough.
context: Oh, that's right. Ritsuko was accepted at the college here.\Hey, Ritsuko! Come down!\Richie-rich got into college! Hey!\Ri-chan! You can stay there, but just listen!\I'm sorry about that day!\You may not want to hear anything from me, but just let me say this!\The reason I started coming here is because I wanted to see your smile!\Ri-chan, your smile always encouraged me, even when things were rough. response:	I never knew that feeling before meeting you...
context: Hey, Ritsuko! Come down!\Richie-rich got into college! Hey!\Ri-chan! You can stay there, but just listen!\I'm sorry about that day!\You may not want to hear anything from me, but just let me say this!\The reason I started coming here is because I wanted to see your smile!\Ri-chan, your smile always encouraged me, even when things were rough.\I never knew that feeling before meeting you... response:	Thank you, Ri-chan. Meeting you was a blessing.
context: Richie-rich got into college! Hey!\Ri-chan! You can stay there, but just listen!\I'm sorry about that day!\You may not want to hear anything from me, but just let me say this!\The reason I started coming here is because I wanted to see your smile!\Ri-chan, your smile always encouraged me, even when things were rough.\I never knew that feeling before meeting you...\Thank you, Ri-chan. Meeting you was a blessing. response:	Call us as soon as you get there.
context: Ri-chan! You can stay there, but just listen!\I'm sorry about that day!\You may not want to hear anything from me, but just let me say this!\The reason I started coming here is because I wanted to see your smile!\Ri-chan, your smile always encouraged me, even when things were rough.\I never knew that feeling before meeting you...\Thank you, Ri-chan. Meeting you was a blessing.\Call us as soon as you get there. response:	I will.
context: I'm sorry about that day!\You may not want to hear anything from me, but just let me say this!\The reason I started coming here is because I wanted to see your smile!\Ri-chan, your smile always encouraged me, even when things were rough.\I never knew that feeling before meeting you...\Thank you, Ri-chan. Meeting you was a blessing.\Call us as soon as you get there.\I will. response:	Kaoru-kun, write me, okay?
context: You may not want to hear anything from me, but just let me say this!\The reason I started coming here is because I wanted to see your smile!\Ri-chan, your smile always encouraged me, even when things were rough.\I never knew that feeling before meeting you...\Thank you, Ri-chan. Meeting you was a blessing.\Call us as soon as you get there.\I will.\Kaoru-kun, write me, okay? response:	Thank you for your patience.
