context: It tastes great. response:	Kagome, are you all right now?
context: They say she's lovely, with fair skin and large eyes.\I'm feeling a bit hungry. Shall we stop in?\Sure.\To the left...\It's true she has fair skin and large eyes, but...\Here you go.\Should've gone right.\I hear the daughter of the lord hereabouts has been possessed... response:	and has taken to her bed.
context: I'm feeling a bit hungry. Shall we stop in?\Sure.\To the left...\It's true she has fair skin and large eyes, but...\Here you go.\Should've gone right.\I hear the daughter of the lord hereabouts has been possessed...\and has taken to her bed. response:	My, that is a terrible thing.
context: Sure.\To the left...\It's true she has fair skin and large eyes, but...\Here you go.\Should've gone right.\I hear the daughter of the lord hereabouts has been possessed...\and has taken to her bed.\My, that is a terrible thing. response:	Are you sure this one's a monk of high virtue?
context: To the left...\It's true she has fair skin and large eyes, but...\Here you go.\Should've gone right.\I hear the daughter of the lord hereabouts has been possessed...\and has taken to her bed.\My, that is a terrible thing.\Are you sure this one's a monk of high virtue? response:	Yes. So he claims.
context: It's true she has fair skin and large eyes, but...\Here you go.\Should've gone right.\I hear the daughter of the lord hereabouts has been possessed...\and has taken to her bed.\My, that is a terrible thing.\Are you sure this one's a monk of high virtue?\Yes. So he claims. response:	Monk, if you can't drive away the demon...
context: Here you go.\Should've gone right.\I hear the daughter of the lord hereabouts has been possessed...\and has taken to her bed.\My, that is a terrible thing.\Are you sure this one's a monk of high virtue?\Yes. So he claims.\Monk, if you can't drive away the demon... response:	I'll not offer you a bowl of gruel, understand?
context: Should've gone right.\I hear the daughter of the lord hereabouts has been possessed...\and has taken to her bed.\My, that is a terrible thing.\Are you sure this one's a monk of high virtue?\Yes. So he claims.\Monk, if you can't drive away the demon...\I'll not offer you a bowl of gruel, understand? response:	My, to live in such opulence in so turbulent a time.
context: I hear the daughter of the lord hereabouts has been possessed...\and has taken to her bed.\My, that is a terrible thing.\Are you sure this one's a monk of high virtue?\Yes. So he claims.\Monk, if you can't drive away the demon...\I'll not offer you a bowl of gruel, understand?\My, to live in such opulence in so turbulent a time. response:	Your subjects must surely resent it.
context: and has taken to her bed.\My, that is a terrible thing.\Are you sure this one's a monk of high virtue?\Yes. So he claims.\Monk, if you can't drive away the demon...\I'll not offer you a bowl of gruel, understand?\My, to live in such opulence in so turbulent a time.\Your subjects must surely resent it. response:	Impudence!
context: My, that is a terrible thing.\Are you sure this one's a monk of high virtue?\Yes. So he claims.\Monk, if you can't drive away the demon...\I'll not offer you a bowl of gruel, understand?\My, to live in such opulence in so turbulent a time.\Your subjects must surely resent it.\Impudence! response:	Princess, a monk has come to see you.
context: Are you sure this one's a monk of high virtue?\Yes. So he claims.\Monk, if you can't drive away the demon...\I'll not offer you a bowl of gruel, understand?\My, to live in such opulence in so turbulent a time.\Your subjects must surely resent it.\Impudence!\Princess, a monk has come to see you. response:	Pardon me... Let me see your face...
context: Yes. So he claims.\Monk, if you can't drive away the demon...\I'll not offer you a bowl of gruel, understand?\My, to live in such opulence in so turbulent a time.\Your subjects must surely resent it.\Impudence!\Princess, a monk has come to see you.\Pardon me... Let me see your face... response:	My! Her face is so swollen!
context: Monk, if you can't drive away the demon...\I'll not offer you a bowl of gruel, understand?\My, to live in such opulence in so turbulent a time.\Your subjects must surely resent it.\Impudence!\Princess, a monk has come to see you.\Pardon me... Let me see your face...\My! Her face is so swollen! response:	It was always so! Are you really a monk?
context: I'll not offer you a bowl of gruel, understand?\My, to live in such opulence in so turbulent a time.\Your subjects must surely resent it.\Impudence!\Princess, a monk has come to see you.\Pardon me... Let me see your face...\My! Her face is so swollen!\It was always so! Are you really a monk? response:	That statue of Buddha...
context: My, to live in such opulence in so turbulent a time.\Your subjects must surely resent it.\Impudence!\Princess, a monk has come to see you.\Pardon me... Let me see your face...\My! Her face is so swollen!\It was always so! Are you really a monk?\That statue of Buddha... response:	I received it from some impoverished nobleman.
context: Your subjects must surely resent it.\Impudence!\Princess, a monk has come to see you.\Pardon me... Let me see your face...\My! Her face is so swollen!\It was always so! Are you really a monk?\That statue of Buddha...\I received it from some impoverished nobleman. response:	It's a blessed statue.
context: Impudence!\Princess, a monk has come to see you.\Pardon me... Let me see your face...\My! Her face is so swollen!\It was always so! Are you really a monk?\That statue of Buddha...\I received it from some impoverished nobleman.\It's a blessed statue. response:	All right...
context: Princess, a monk has come to see you.\Pardon me... Let me see your face...\My! Her face is so swollen!\It was always so! Are you really a monk?\That statue of Buddha...\I received it from some impoverished nobleman.\It's a blessed statue.\All right... response:	Leave the princess here, and take everyone outside your gate.
context: Pardon me... Let me see your face...\My! Her face is so swollen!\It was always so! Are you really a monk?\That statue of Buddha...\I received it from some impoverished nobleman.\It's a blessed statue.\All right...\Leave the princess here, and take everyone outside your gate. response:	What?
context: My! Her face is so swollen!\It was always so! Are you really a monk?\That statue of Buddha...\I received it from some impoverished nobleman.\It's a blessed statue.\All right...\Leave the princess here, and take everyone outside your gate.\What? response:	And... listen carefully...
context: It was always so! Are you really a monk?\That statue of Buddha...\I received it from some impoverished nobleman.\It's a blessed statue.\All right...\Leave the princess here, and take everyone outside your gate.\What?\And... listen carefully... response:	No matter what you hear, you are not to look in.
context: That statue of Buddha...\I received it from some impoverished nobleman.\It's a blessed statue.\All right...\Leave the princess here, and take everyone outside your gate.\What?\And... listen carefully...\No matter what you hear, you are not to look in. response:	Uh-hmm...
context: I received it from some impoverished nobleman.\It's a blessed statue.\All right...\Leave the princess here, and take everyone outside your gate.\What?\And... listen carefully...\No matter what you hear, you are not to look in.\Uh-hmm... response:	I will now begin the exorcism.
context: It's a blessed statue.\All right...\Leave the princess here, and take everyone outside your gate.\What?\And... listen carefully...\No matter what you hear, you are not to look in.\Uh-hmm...\I will now begin the exorcism. response:	Now...
context: All right...\Leave the princess here, and take everyone outside your gate.\What?\And... listen carefully...\No matter what you hear, you are not to look in.\Uh-hmm...\I will now begin the exorcism.\Now... response:	Leave peacefully and I will show you mercy.
context: Leave the princess here, and take everyone outside your gate.\What?\And... listen carefully...\No matter what you hear, you are not to look in.\Uh-hmm...\I will now begin the exorcism.\Now...\Leave peacefully and I will show you mercy. response:	I don't suppose you'll give in so easily.
context: What?\And... listen carefully...\No matter what you hear, you are not to look in.\Uh-hmm...\I will now begin the exorcism.\Now...\Leave peacefully and I will show you mercy.\I don't suppose you'll give in so easily. response:	Huh! So you're a demon weasel!
context: And... listen carefully...\No matter what you hear, you are not to look in.\Uh-hmm...\I will now begin the exorcism.\Now...\Leave peacefully and I will show you mercy.\I don't suppose you'll give in so easily.\Huh! So you're a demon weasel! response:	Huh? That light...
context: No matter what you hear, you are not to look in.\Uh-hmm...\I will now begin the exorcism.\Now...\Leave peacefully and I will show you mercy.\I don't suppose you'll give in so easily.\Huh! So you're a demon weasel!\Huh? That light... response:	A fragment of the Sacred Jewel?
context: Uh-hmm...\I will now begin the exorcism.\Now...\Leave peacefully and I will show you mercy.\I don't suppose you'll give in so easily.\Huh! So you're a demon weasel!\Huh? That light...\A fragment of the Sacred Jewel? response:	What is it?
context: I will now begin the exorcism.\Now...\Leave peacefully and I will show you mercy.\I don't suppose you'll give in so easily.\Huh! So you're a demon weasel!\Huh? That light...\A fragment of the Sacred Jewel?\What is it? response:	That sounds like some beast...
context: Now...\Leave peacefully and I will show you mercy.\I don't suppose you'll give in so easily.\Huh! So you're a demon weasel!\Huh? That light...\A fragment of the Sacred Jewel?\What is it?\That sounds like some beast... response:	What's going on in there?
context: Leave peacefully and I will show you mercy.\I don't suppose you'll give in so easily.\Huh! So you're a demon weasel!\Huh? That light...\A fragment of the Sacred Jewel?\What is it?\That sounds like some beast...\What's going on in there? response:	Shall we take a look, my lord?
context: I don't suppose you'll give in so easily.\Huh! So you're a demon weasel!\Huh? That light...\A fragment of the Sacred Jewel?\What is it?\That sounds like some beast...\What's going on in there?\Shall we take a look, my lord? response:	No, wait...
context: Huh! So you're a demon weasel!\Huh? That light...\A fragment of the Sacred Jewel?\What is it?\That sounds like some beast...\What's going on in there?\Shall we take a look, my lord?\No, wait... response:	He said not to look until he gave the word.
context: Huh? That light...\A fragment of the Sacred Jewel?\What is it?\That sounds like some beast...\What's going on in there?\Shall we take a look, my lord?\No, wait...\He said not to look until he gave the word. response:	I don't want to catch any flak from the exorcism.
context: A fragment of the Sacred Jewel?\What is it?\That sounds like some beast...\What's going on in there?\Shall we take a look, my lord?\No, wait...\He said not to look until he gave the word.\I don't want to catch any flak from the exorcism. response:	But, my lord...
context: What is it?\That sounds like some beast...\What's going on in there?\Shall we take a look, my lord?\No, wait...\He said not to look until he gave the word.\I don't want to catch any flak from the exorcism.\But, my lord... response:	it sounds like someone's searching the mansion.
context: That sounds like some beast...\What's going on in there?\Shall we take a look, my lord?\No, wait...\He said not to look until he gave the word.\I don't want to catch any flak from the exorcism.\But, my lord...\it sounds like someone's searching the mansion. response:	Just hold on awhile...
context: What's going on in there?\Shall we take a look, my lord?\No, wait...\He said not to look until he gave the word.\I don't want to catch any flak from the exorcism.\But, my lord...\it sounds like someone's searching the mansion.\Just hold on awhile... response:	So you say this tiny weasel turned into a demon...
context: Shall we take a look, my lord?\No, wait...\He said not to look until he gave the word.\I don't want to catch any flak from the exorcism.\But, my lord...\it sounds like someone's searching the mansion.\Just hold on awhile...\So you say this tiny weasel turned into a demon... response:	and had a hold on you?
context: No, wait...\He said not to look until he gave the word.\I don't want to catch any flak from the exorcism.\But, my lord...\it sounds like someone's searching the mansion.\Just hold on awhile...\So you say this tiny weasel turned into a demon...\and had a hold on you? response:	Yes.
context: He said not to look until he gave the word.\I don't want to catch any flak from the exorcism.\But, my lord...\it sounds like someone's searching the mansion.\Just hold on awhile...\So you say this tiny weasel turned into a demon...\and had a hold on you?\Yes. response:	And what of the monk?
context: I don't want to catch any flak from the exorcism.\But, my lord...\it sounds like someone's searching the mansion.\Just hold on awhile...\So you say this tiny weasel turned into a demon...\and had a hold on you?\Yes.\And what of the monk? response:	He gave me no name, and left as cool as you please.
context: But, my lord...\it sounds like someone's searching the mansion.\Just hold on awhile...\So you say this tiny weasel turned into a demon...\and had a hold on you?\Yes.\And what of the monk?\He gave me no name, and left as cool as you please. response:	Oh, my lord! It's a disaster!
context: it sounds like someone's searching the mansion.\Just hold on awhile...\So you say this tiny weasel turned into a demon...\and had a hold on you?\Yes.\And what of the monk?\He gave me no name, and left as cool as you please.\Oh, my lord! It's a disaster! response:	Oh!
context: Just hold on awhile...\So you say this tiny weasel turned into a demon...\and had a hold on you?\Yes.\And what of the monk?\He gave me no name, and left as cool as you please.\Oh, my lord! It's a disaster!\Oh! response:	Everything worth anything has been taken.
context: So you say this tiny weasel turned into a demon...\and had a hold on you?\Yes.\And what of the monk?\He gave me no name, and left as cool as you please.\Oh, my lord! It's a disaster!\Oh!\Everything worth anything has been taken. response:	And three horses, too.
context: and had a hold on you?\Yes.\And what of the monk?\He gave me no name, and left as cool as you please.\Oh, my lord! It's a disaster!\Oh!\Everything worth anything has been taken.\And three horses, too. response:	I've been had...
context: Yes.\And what of the monk?\He gave me no name, and left as cool as you please.\Oh, my lord! It's a disaster!\Oh!\Everything worth anything has been taken.\And three horses, too.\I've been had... response:	Now, where can I sell these off?
context: And what of the monk?\He gave me no name, and left as cool as you please.\Oh, my lord! It's a disaster!\Oh!\Everything worth anything has been taken.\And three horses, too.\I've been had...\Now, where can I sell these off? response:	Oh, well...
context: He gave me no name, and left as cool as you please.\Oh, my lord! It's a disaster!\Oh!\Everything worth anything has been taken.\And three horses, too.\I've been had...\Now, where can I sell these off?\Oh, well... response:	After all the trouble transporting everything...
context: Oh, my lord! It's a disaster!\Oh!\Everything worth anything has been taken.\And three horses, too.\I've been had...\Now, where can I sell these off?\Oh, well...\After all the trouble transporting everything... response:	they fetched such a small price.
context: Oh!\Everything worth anything has been taken.\And three horses, too.\I've been had...\Now, where can I sell these off?\Oh, well...\After all the trouble transporting everything...\they fetched such a small price. response:	I guess this Jewel fragment was the only item worth anything.
context: Everything worth anything has been taken.\And three horses, too.\I've been had...\Now, where can I sell these off?\Oh, well...\After all the trouble transporting everything...\they fetched such a small price.\I guess this Jewel fragment was the only item worth anything. response:	A hot spring bath! How wonderful!
context: And three horses, too.\I've been had...\Now, where can I sell these off?\Oh, well...\After all the trouble transporting everything...\they fetched such a small price.\I guess this Jewel fragment was the only item worth anything.\A hot spring bath! How wonderful! response:	My, but it feels glorious.
context: I've been had...\Now, where can I sell these off?\Oh, well...\After all the trouble transporting everything...\they fetched such a small price.\I guess this Jewel fragment was the only item worth anything.\A hot spring bath! How wonderful!\My, but it feels glorious. response:	A girl... Huh?
context: Now, where can I sell these off?\Oh, well...\After all the trouble transporting everything...\they fetched such a small price.\I guess this Jewel fragment was the only item worth anything.\A hot spring bath! How wonderful!\My, but it feels glorious.\A girl... Huh? response:	That's a fragment of the Sacred Jewel...and it's huge.
context: Oh, well...\After all the trouble transporting everything...\they fetched such a small price.\I guess this Jewel fragment was the only item worth anything.\A hot spring bath! How wonderful!\My, but it feels glorious.\A girl... Huh?\That's a fragment of the Sacred Jewel...and it's huge. response:	Don't you dare peek!
context: After all the trouble transporting everything...\they fetched such a small price.\I guess this Jewel fragment was the only item worth anything.\A hot spring bath! How wonderful!\My, but it feels glorious.\A girl... Huh?\That's a fragment of the Sacred Jewel...and it's huge.\Don't you dare peek! response:	Oops...
context: they fetched such a small price.\I guess this Jewel fragment was the only item worth anything.\A hot spring bath! How wonderful!\My, but it feels glorious.\A girl... Huh?\That's a fragment of the Sacred Jewel...and it's huge.\Don't you dare peek!\Oops... response:	Don't worry.
context: I guess this Jewel fragment was the only item worth anything.\A hot spring bath! How wonderful!\My, but it feels glorious.\A girl... Huh?\That's a fragment of the Sacred Jewel...and it's huge.\Don't you dare peek!\Oops...\Don't worry. response:	There's nothing there that interests me.
context: A hot spring bath! How wonderful!\My, but it feels glorious.\A girl... Huh?\That's a fragment of the Sacred Jewel...and it's huge.\Don't you dare peek!\Oops...\Don't worry.\There's nothing there that interests me. response:	My! Humph! How rude!
context: My, but it feels glorious.\A girl... Huh?\That's a fragment of the Sacred Jewel...and it's huge.\Don't you dare peek!\Oops...\Don't worry.\There's nothing there that interests me.\My! Humph! How rude! response:	Huh? Shippo, what are you doing?
context: A girl... Huh?\That's a fragment of the Sacred Jewel...and it's huge.\Don't you dare peek!\Oops...\Don't worry.\There's nothing there that interests me.\My! Humph! How rude!\Huh? Shippo, what are you doing? response:	I'm going in too.
context: That's a fragment of the Sacred Jewel...and it's huge.\Don't you dare peek!\Oops...\Don't worry.\There's nothing there that interests me.\My! Humph! How rude!\Huh? Shippo, what are you doing?\I'm going in too. response:	Wait a minute!
context: Don't you dare peek!\Oops...\Don't worry.\There's nothing there that interests me.\My! Humph! How rude!\Huh? Shippo, what are you doing?\I'm going in too.\Wait a minute! response:	Inuyasha, you come too!
context: Oops...\Don't worry.\There's nothing there that interests me.\My! Humph! How rude!\Huh? Shippo, what are you doing?\I'm going in too.\Wait a minute!\Inuyasha, you come too! response:	Wha?
context: Don't worry.\There's nothing there that interests me.\My! Humph! How rude!\Huh? Shippo, what are you doing?\I'm going in too.\Wait a minute!\Inuyasha, you come too!\Wha? response:	I've always wondered...
context: There's nothing there that interests me.\My! Humph! How rude!\Huh? Shippo, what are you doing?\I'm going in too.\Wait a minute!\Inuyasha, you come too!\Wha?\I've always wondered... response:	Why don't you and Kagome ever bathe together?
context: My! Humph! How rude!\Huh? Shippo, what are you doing?\I'm going in too.\Wait a minute!\Inuyasha, you come too!\Wha?\I've always wondered...\Why don't you and Kagome ever bathe together? response:	It's more fun bathing together!
context: Huh? Shippo, what are you doing?\I'm going in too.\Wait a minute!\Inuyasha, you come too!\Wha?\I've always wondered...\Why don't you and Kagome ever bathe together?\It's more fun bathing together! response:	Listen...
context: I'm going in too.\Wait a minute!\Inuyasha, you come too!\Wha?\I've always wondered...\Why don't you and Kagome ever bathe together?\It's more fun bathing together!\Listen... response:	When my ma and pa were alive, we always bathed together.
context: Wait a minute!\Inuyasha, you come too!\Wha?\I've always wondered...\Why don't you and Kagome ever bathe together?\It's more fun bathing together!\Listen...\When my ma and pa were alive, we always bathed together. response:	You're a kid, so you probably don't understand...
context: Inuyasha, you come too!\Wha?\I've always wondered...\Why don't you and Kagome ever bathe together?\It's more fun bathing together!\Listen...\When my ma and pa were alive, we always bathed together.\You're a kid, so you probably don't understand... response:	Be honest. How far have you gone with Kagome?
context: Wha?\I've always wondered...\Why don't you and Kagome ever bathe together?\It's more fun bathing together!\Listen...\When my ma and pa were alive, we always bathed together.\You're a kid, so you probably don't understand...\Be honest. How far have you gone with Kagome? response:	When I ask things like that, grown-ups get tongue-tied.
context: I've always wondered...\Why don't you and Kagome ever bathe together?\It's more fun bathing together!\Listen...\When my ma and pa were alive, we always bathed together.\You're a kid, so you probably don't understand...\Be honest. How far have you gone with Kagome?\When I ask things like that, grown-ups get tongue-tied. response:	I wonder why?
context: Why don't you and Kagome ever bathe together?\It's more fun bathing together!\Listen...\When my ma and pa were alive, we always bathed together.\You're a kid, so you probably don't understand...\Be honest. How far have you gone with Kagome?\When I ask things like that, grown-ups get tongue-tied.\I wonder why? response:	You wonder why?! I almost said something I shouldn't!
context: It's more fun bathing together!\Listen...\When my ma and pa were alive, we always bathed together.\You're a kid, so you probably don't understand...\Be honest. How far have you gone with Kagome?\When I ask things like that, grown-ups get tongue-tied.\I wonder why?\You wonder why?! I almost said something I shouldn't! response:	Yikes! I won't ask again!
context: Listen...\When my ma and pa were alive, we always bathed together.\You're a kid, so you probably don't understand...\Be honest. How far have you gone with Kagome?\When I ask things like that, grown-ups get tongue-tied.\I wonder why?\You wonder why?! I almost said something I shouldn't!\Yikes! I won't ask again! response:	So, I'm not a beauty like Kikyo...
context: When my ma and pa were alive, we always bathed together.\You're a kid, so you probably don't understand...\Be honest. How far have you gone with Kagome?\When I ask things like that, grown-ups get tongue-tied.\I wonder why?\You wonder why?! I almost said something I shouldn't!\Yikes! I won't ask again!\So, I'm not a beauty like Kikyo... response:	What's wrong?
context: You're a kid, so you probably don't understand...\Be honest. How far have you gone with Kagome?\When I ask things like that, grown-ups get tongue-tied.\I wonder why?\You wonder why?! I almost said something I shouldn't!\Yikes! I won't ask again!\So, I'm not a beauty like Kikyo...\What's wrong? response:	I'm fine. Get out of here!
context: Be honest. How far have you gone with Kagome?\When I ask things like that, grown-ups get tongue-tied.\I wonder why?\You wonder why?! I almost said something I shouldn't!\Yikes! I won't ask again!\So, I'm not a beauty like Kikyo...\What's wrong?\I'm fine. Get out of here! response:	- Shoo! Shoo! - Monkeys...
