context: Opening response:	Nibutani
context: all trace of its existence.\There must be a way to break through their obstacles.\Forest Summer\I don't get it.\This's totally beyond me.\Why would Nibutani join that stupid circle?\She's the Nibutani who won the first cutie poll,\the girl who's so popular with all the guys in class! response:	I don't get it.
context: There must be a way to break through their obstacles.\Forest Summer\I don't get it.\This's totally beyond me.\Why would Nibutani join that stupid circle?\She's the Nibutani who won the first cutie poll,\the girl who's so popular with all the guys in class!\I don't get it. response:	Is she really into magic?
context: Forest Summer\I don't get it.\This's totally beyond me.\Why would Nibutani join that stupid circle?\She's the Nibutani who won the first cutie poll,\the girl who's so popular with all the guys in class!\I don't get it.\Is she really into magic? response:	Or does she have a fondness for napping?
context: I don't get it.\This's totally beyond me.\Why would Nibutani join that stupid circle?\She's the Nibutani who won the first cutie poll,\the girl who's so popular with all the guys in class!\I don't get it.\Is she really into magic?\Or does she have a fondness for napping? response:	Or maybe... No way! But what if...
context: This's totally beyond me.\Why would Nibutani join that stupid circle?\She's the Nibutani who won the first cutie poll,\the girl who's so popular with all the guys in class!\I don't get it.\Is she really into magic?\Or does she have a fondness for napping?\Or maybe... No way! But what if... response:	Huh? Why did I join?
context: Why would Nibutani join that stupid circle?\She's the Nibutani who won the first cutie poll,\the girl who's so popular with all the guys in class!\I don't get it.\Is she really into magic?\Or does she have a fondness for napping?\Or maybe... No way! But what if...\Huh? Why did I join? response:	Sorry! I just couldn't stop thinking about it.
context: She's the Nibutani who won the first cutie poll,\the girl who's so popular with all the guys in class!\I don't get it.\Is she really into magic?\Or does she have a fondness for napping?\Or maybe... No way! But what if...\Huh? Why did I join?\Sorry! I just couldn't stop thinking about it. response:	I was wondering if you really liked napping that much...
context: the girl who's so popular with all the guys in class!\I don't get it.\Is she really into magic?\Or does she have a fondness for napping?\Or maybe... No way! But what if...\Huh? Why did I join?\Sorry! I just couldn't stop thinking about it.\I was wondering if you really liked napping that much... response:	You want to know?
context: I don't get it.\Is she really into magic?\Or does she have a fondness for napping?\Or maybe... No way! But what if...\Huh? Why did I join?\Sorry! I just couldn't stop thinking about it.\I was wondering if you really liked napping that much...\You want to know? response:	Y-Yeah...
context: Is she really into magic?\Or does she have a fondness for napping?\Or maybe... No way! But what if...\Huh? Why did I join?\Sorry! I just couldn't stop thinking about it.\I was wondering if you really liked napping that much...\You want to know?\Y-Yeah... response:	I guess a certain someone...
context: Or does she have a fondness for napping?\Or maybe... No way! But what if...\Huh? Why did I join?\Sorry! I just couldn't stop thinking about it.\I was wondering if you really liked napping that much...\You want to know?\Y-Yeah...\I guess a certain someone... response:	is a little slow on the uptake, isn't he?
context: Or maybe... No way! But what if...\Huh? Why did I join?\Sorry! I just couldn't stop thinking about it.\I was wondering if you really liked napping that much...\You want to know?\Y-Yeah...\I guess a certain someone...\is a little slow on the uptake, isn't he? response:	No way, no way, no way!
context: Huh? Why did I join?\Sorry! I just couldn't stop thinking about it.\I was wondering if you really liked napping that much...\You want to know?\Y-Yeah...\I guess a certain someone...\is a little slow on the uptake, isn't he?\No way, no way, no way! response:	Guys tend to misinterpret those situations
context: Sorry! I just couldn't stop thinking about it.\I was wondering if you really liked napping that much...\You want to know?\Y-Yeah...\I guess a certain someone...\is a little slow on the uptake, isn't he?\No way, no way, no way!\Guys tend to misinterpret those situations response:	and end up making fools of themselves!
context: I was wondering if you really liked napping that much...\You want to know?\Y-Yeah...\I guess a certain someone...\is a little slow on the uptake, isn't he?\No way, no way, no way!\Guys tend to misinterpret those situations\and end up making fools of themselves! response:	I love you!
context: You want to know?\Y-Yeah...\I guess a certain someone...\is a little slow on the uptake, isn't he?\No way, no way, no way!\Guys tend to misinterpret those situations\and end up making fools of themselves!\I love you! response:	I bet 80 of the planet's male population has been there before!
context: Y-Yeah...\I guess a certain someone...\is a little slow on the uptake, isn't he?\No way, no way, no way!\Guys tend to misinterpret those situations\and end up making fools of themselves!\I love you!\I bet 80 of the planet's male population has been there before! response:	Let's stay calm and think this through one more time.
context: I guess a certain someone...\is a little slow on the uptake, isn't he?\No way, no way, no way!\Guys tend to misinterpret those situations\and end up making fools of themselves!\I love you!\I bet 80 of the planet's male population has been there before!\Let's stay calm and think this through one more time. response:	Ouch!
context: is a little slow on the uptake, isn't he?\No way, no way, no way!\Guys tend to misinterpret those situations\and end up making fools of themselves!\I love you!\I bet 80 of the planet's male population has been there before!\Let's stay calm and think this through one more time.\Ouch! response:	What's she doing?
context: No way, no way, no way!\Guys tend to misinterpret those situations\and end up making fools of themselves!\I love you!\I bet 80 of the planet's male population has been there before!\Let's stay calm and think this through one more time.\Ouch!\What's she doing? response:	I wound up joining Rikka's circle.
context: Guys tend to misinterpret those situations\and end up making fools of themselves!\I love you!\I bet 80 of the planet's male population has been there before!\Let's stay calm and think this through one more time.\Ouch!\What's she doing?\I wound up joining Rikka's circle. response:	What are you doing, Togashi?
context: and end up making fools of themselves!\I love you!\I bet 80 of the planet's male population has been there before!\Let's stay calm and think this through one more time.\Ouch!\What's she doing?\I wound up joining Rikka's circle.\What are you doing, Togashi? response:	Uh, I just...
context: I love you!\I bet 80 of the planet's male population has been there before!\Let's stay calm and think this through one more time.\Ouch!\What's she doing?\I wound up joining Rikka's circle.\What are you doing, Togashi?\Uh, I just... response:	Stop fooling around and focus on your work!
context: I bet 80 of the planet's male population has been there before!\Let's stay calm and think this through one more time.\Ouch!\What's she doing?\I wound up joining Rikka's circle.\What are you doing, Togashi?\Uh, I just...\Stop fooling around and focus on your work! response:	Needless to say, I'm not interested in the slightest!
context: Let's stay calm and think this through one more time.\Ouch!\What's she doing?\I wound up joining Rikka's circle.\What are you doing, Togashi?\Uh, I just...\Stop fooling around and focus on your work!\Needless to say, I'm not interested in the slightest! response:	It's just that her words kept echoing in my head.
context: Ouch!\What's she doing?\I wound up joining Rikka's circle.\What are you doing, Togashi?\Uh, I just...\Stop fooling around and focus on your work!\Needless to say, I'm not interested in the slightest!\It's just that her words kept echoing in my head. response:	I'm sorry...
context: What's she doing?\I wound up joining Rikka's circle.\What are you doing, Togashi?\Uh, I just...\Stop fooling around and focus on your work!\Needless to say, I'm not interested in the slightest!\It's just that her words kept echoing in my head.\I'm sorry... response:	I decided to join your circle!
context: I wound up joining Rikka's circle.\What are you doing, Togashi?\Uh, I just...\Stop fooling around and focus on your work!\Needless to say, I'm not interested in the slightest!\It's just that her words kept echoing in my head.\I'm sorry...\I decided to join your circle! response:	I just handed in my application.
context: What are you doing, Togashi?\Uh, I just...\Stop fooling around and focus on your work!\Needless to say, I'm not interested in the slightest!\It's just that her words kept echoing in my head.\I'm sorry...\I decided to join your circle!\I just handed in my application. response:	She called it my circle...
context: Uh, I just...\Stop fooling around and focus on your work!\Needless to say, I'm not interested in the slightest!\It's just that her words kept echoing in my head.\I'm sorry...\I decided to join your circle!\I just handed in my application.\She called it my circle... response:	I doubt Nibutani would be here...
context: Stop fooling around and focus on your work!\Needless to say, I'm not interested in the slightest!\It's just that her words kept echoing in my head.\I'm sorry...\I decided to join your circle!\I just handed in my application.\She called it my circle...\I doubt Nibutani would be here... response:	What the
context: Needless to say, I'm not interested in the slightest!\It's just that her words kept echoing in my head.\I'm sorry...\I decided to join your circle!\I just handed in my application.\She called it my circle...\I doubt Nibutani would be here...\What the response:	Looks like the Dark Flame Master has answered the summons.
context: It's just that her words kept echoing in my head.\I'm sorry...\I decided to join your circle!\I just handed in my application.\She called it my circle...\I doubt Nibutani would be here...\What the\Looks like the Dark Flame Master has answered the summons. response:	The Arcane Sigil of Saturn works just as I expected.
context: I'm sorry...\I decided to join your circle!\I just handed in my application.\She called it my circle...\I doubt Nibutani would be here...\What the\Looks like the Dark Flame Master has answered the summons.\The Arcane Sigil of Saturn works just as I expected. response:	Its tremendous power calls creature after creature to this world.
context: I decided to join your circle!\I just handed in my application.\She called it my circle...\I doubt Nibutani would be here...\What the\Looks like the Dark Flame Master has answered the summons.\The Arcane Sigil of Saturn works just as I expected.\Its tremendous power calls creature after creature to this world. response:	You kno
context: I just handed in my application.\She called it my circle...\I doubt Nibutani would be here...\What the\Looks like the Dark Flame Master has answered the summons.\The Arcane Sigil of Saturn works just as I expected.\Its tremendous power calls creature after creature to this world.\You kno response:	What the hell is that?
context: She called it my circle...\I doubt Nibutani would be here...\What the\Looks like the Dark Flame Master has answered the summons.\The Arcane Sigil of Saturn works just as I expected.\Its tremendous power calls creature after creature to this world.\You kno\What the hell is that? response:	What have you drawn on the floor?!
context: I doubt Nibutani would be here...\What the\Looks like the Dark Flame Master has answered the summons.\The Arcane Sigil of Saturn works just as I expected.\Its tremendous power calls creature after creature to this world.\You kno\What the hell is that?\What have you drawn on the floor?! response:	You don't even know about magic circles? Did your brain suffer an untimely death?
context: What the\Looks like the Dark Flame Master has answered the summons.\The Arcane Sigil of Saturn works just as I expected.\Its tremendous power calls creature after creature to this world.\You kno\What the hell is that?\What have you drawn on the floor?!\You don't even know about magic circles? Did your brain suffer an untimely death? response:	I know it's a magic circle. What I'd like to know is why you drew it on the floor.
context: Looks like the Dark Flame Master has answered the summons.\The Arcane Sigil of Saturn works just as I expected.\Its tremendous power calls creature after creature to this world.\You kno\What the hell is that?\What have you drawn on the floor?!\You don't even know about magic circles? Did your brain suffer an untimely death?\I know it's a magic circle. What I'd like to know is why you drew it on the floor. response:	I told you during class, didn't I?
context: The Arcane Sigil of Saturn works just as I expected.\Its tremendous power calls creature after creature to this world.\You kno\What the hell is that?\What have you drawn on the floor?!\You don't even know about magic circles? Did your brain suffer an untimely death?\I know it's a magic circle. What I'd like to know is why you drew it on the floor.\I told you during class, didn't I? response:	We're holding the Sabbat.
context: Its tremendous power calls creature after creature to this world.\You kno\What the hell is that?\What have you drawn on the floor?!\You don't even know about magic circles? Did your brain suffer an untimely death?\I know it's a magic circle. What I'd like to know is why you drew it on the floor.\I told you during class, didn't I?\We're holding the Sabbat. response:	Yeah! And we already have a sacrifice for Death.
context: You kno\What the hell is that?\What have you drawn on the floor?!\You don't even know about magic circles? Did your brain suffer an untimely death?\I know it's a magic circle. What I'd like to know is why you drew it on the floor.\I told you during class, didn't I?\We're holding the Sabbat.\Yeah! And we already have a sacrifice for Death. response:	Pitcher plants, so yummy...
context: What the hell is that?\What have you drawn on the floor?!\You don't even know about magic circles? Did your brain suffer an untimely death?\I know it's a magic circle. What I'd like to know is why you drew it on the floor.\I told you during class, didn't I?\We're holding the Sabbat.\Yeah! And we already have a sacrifice for Death.\Pitcher plants, so yummy... response:	The hell? And don't bring the cat to school!
context: What have you drawn on the floor?!\You don't even know about magic circles? Did your brain suffer an untimely death?\I know it's a magic circle. What I'd like to know is why you drew it on the floor.\I told you during class, didn't I?\We're holding the Sabbat.\Yeah! And we already have a sacrifice for Death.\Pitcher plants, so yummy...\The hell? And don't bring the cat to school! response:	The purpose of our society is to find the Ethereal Horizon.
context: You don't even know about magic circles? Did your brain suffer an untimely death?\I know it's a magic circle. What I'd like to know is why you drew it on the floor.\I told you during class, didn't I?\We're holding the Sabbat.\Yeah! And we already have a sacrifice for Death.\Pitcher plants, so yummy...\The hell? And don't bring the cat to school!\The purpose of our society is to find the Ethereal Horizon. response:	The chimera is essential.
context: I know it's a magic circle. What I'd like to know is why you drew it on the floor.\I told you during class, didn't I?\We're holding the Sabbat.\Yeah! And we already have a sacrifice for Death.\Pitcher plants, so yummy...\The hell? And don't bring the cat to school!\The purpose of our society is to find the Ethereal Horizon.\The chimera is essential. response:	Master! Let's summon something else with this sacrifice!
context: I told you during class, didn't I?\We're holding the Sabbat.\Yeah! And we already have a sacrifice for Death.\Pitcher plants, so yummy...\The hell? And don't bring the cat to school!\The purpose of our society is to find the Ethereal Horizon.\The chimera is essential.\Master! Let's summon something else with this sacrifice! response:	Very well.
context: We're holding the Sabbat.\Yeah! And we already have a sacrifice for Death.\Pitcher plants, so yummy...\The hell? And don't bring the cat to school!\The purpose of our society is to find the Ethereal Horizon.\The chimera is essential.\Master! Let's summon something else with this sacrifice!\Very well. response:	In the name of the Wicked Eye, I summon thee.
context: Yeah! And we already have a sacrifice for Death.\Pitcher plants, so yummy...\The hell? And don't bring the cat to school!\The purpose of our society is to find the Ethereal Horizon.\The chimera is essential.\Master! Let's summon something else with this sacrifice!\Very well.\In the name of the Wicked Eye, I summon thee. response:	Thou art the Dark Massacre.
context: Pitcher plants, so yummy...\The hell? And don't bring the cat to school!\The purpose of our society is to find the Ethereal Horizon.\The chimera is essential.\Master! Let's summon something else with this sacrifice!\Very well.\In the name of the Wicked Eye, I summon thee.\Thou art the Dark Massacre. response:	Thine blood, flesh, and form are all unseen.
context: The hell? And don't bring the cat to school!\The purpose of our society is to find the Ethereal Horizon.\The chimera is essential.\Master! Let's summon something else with this sacrifice!\Very well.\In the name of the Wicked Eye, I summon thee.\Thou art the Dark Massacre.\Thine blood, flesh, and form are all unseen. response:	Deathly awesome, isn't it?
context: The purpose of our society is to find the Ethereal Horizon.\The chimera is essential.\Master! Let's summon something else with this sacrifice!\Very well.\In the name of the Wicked Eye, I summon thee.\Thou art the Dark Massacre.\Thine blood, flesh, and form are all unseen.\Deathly awesome, isn't it? response:	You're seriously going way too far!
context: The chimera is essential.\Master! Let's summon something else with this sacrifice!\Very well.\In the name of the Wicked Eye, I summon thee.\Thou art the Dark Massacre.\Thine blood, flesh, and form are all unseen.\Deathly awesome, isn't it?\You're seriously going way too far! response:	Master! Do it now!
context: Master! Let's summon something else with this sacrifice!\Very well.\In the name of the Wicked Eye, I summon thee.\Thou art the Dark Massacre.\Thine blood, flesh, and form are all unseen.\Deathly awesome, isn't it?\You're seriously going way too far!\Master! Do it now! response:	Once more!
context: Very well.\In the name of the Wicked Eye, I summon thee.\Thou art the Dark Massacre.\Thine blood, flesh, and form are all unseen.\Deathly awesome, isn't it?\You're seriously going way too far!\Master! Do it now!\Once more! response:	Wow! Master, you're so cool!
context: In the name of the Wicked Eye, I summon thee.\Thou art the Dark Massacre.\Thine blood, flesh, and form are all unseen.\Deathly awesome, isn't it?\You're seriously going way too far!\Master! Do it now!\Once more!\Wow! Master, you're so cool! response:	Wanna try?
context: Thou art the Dark Massacre.\Thine blood, flesh, and form are all unseen.\Deathly awesome, isn't it?\You're seriously going way too far!\Master! Do it now!\Once more!\Wow! Master, you're so cool!\Wanna try? response:	Yeah! I wanna do it every day until my death!
context: Thine blood, flesh, and form are all unseen.\Deathly awesome, isn't it?\You're seriously going way too far!\Master! Do it now!\Once more!\Wow! Master, you're so cool!\Wanna try?\Yeah! I wanna do it every day until my death! response:	Darkness beyond twilight.
context: Deathly awesome, isn't it?\You're seriously going way too far!\Master! Do it now!\Once more!\Wow! Master, you're so cool!\Wanna try?\Yeah! I wanna do it every day until my death!\Darkness beyond twilight. response:	Crimson beyond blood that flows.
context: You're seriously going way too far!\Master! Do it now!\Once more!\Wow! Master, you're so cool!\Wanna try?\Yeah! I wanna do it every day until my death!\Darkness beyond twilight.\Crimson beyond blood that flows. response:	Let the fools who stand in our way be destroyed!
context: Master! Do it now!\Once more!\Wow! Master, you're so cool!\Wanna try?\Yeah! I wanna do it every day until my death!\Darkness beyond twilight.\Crimson beyond blood that flows.\Let the fools who stand in our way be destroyed! response:	Dragon Slave!
context: Once more!\Wow! Master, you're so cool!\Wanna try?\Yeah! I wanna do it every day until my death!\Darkness beyond twilight.\Crimson beyond blood that flows.\Let the fools who stand in our way be destroyed!\Dragon Slave! response:	What the...
context: Wow! Master, you're so cool!\Wanna try?\Yeah! I wanna do it every day until my death!\Darkness beyond twilight.\Crimson beyond blood that flows.\Let the fools who stand in our way be destroyed!\Dragon Slave!\What the... response:	What do you think you're doing?!
context: Wanna try?\Yeah! I wanna do it every day until my death!\Darkness beyond twilight.\Crimson beyond blood that flows.\Let the fools who stand in our way be destroyed!\Dragon Slave!\What the...\What do you think you're doing?! response:	You're great, Master! You understand!
context: Yeah! I wanna do it every day until my death!\Darkness beyond twilight.\Crimson beyond blood that flows.\Let the fools who stand in our way be destroyed!\Dragon Slave!\What the...\What do you think you're doing?!\You're great, Master! You understand! response:	Of course.
context: Darkness beyond twilight.\Crimson beyond blood that flows.\Let the fools who stand in our way be destroyed!\Dragon Slave!\What the...\What do you think you're doing?!\You're great, Master! You understand!\Of course. response:	Damn! I'm nothing compared to you!
context: Crimson beyond blood that flows.\Let the fools who stand in our way be destroyed!\Dragon Slave!\What the...\What do you think you're doing?!\You're great, Master! You understand!\Of course.\Damn! I'm nothing compared to you! response:	Clean your mess up!
context: Let the fools who stand in our way be destroyed!\Dragon Slave!\What the...\What do you think you're doing?!\You're great, Master! You understand!\Of course.\Damn! I'm nothing compared to you!\Clean your mess up! response:	He's the Dark Flame Master, after all.
context: Dragon Slave!\What the...\What do you think you're doing?!\You're great, Master! You understand!\Of course.\Damn! I'm nothing compared to you!\Clean your mess up!\He's the Dark Flame Master, after all. response:	Less chatter, more cleaning.
context: What the...\What do you think you're doing?!\You're great, Master! You understand!\Of course.\Damn! I'm nothing compared to you!\Clean your mess up!\He's the Dark Flame Master, after all.\Less chatter, more cleaning. response:	Kumin, you wake up too!
context: What do you think you're doing?!\You're great, Master! You understand!\Of course.\Damn! I'm nothing compared to you!\Clean your mess up!\He's the Dark Flame Master, after all.\Less chatter, more cleaning.\Kumin, you wake up too! response:	Sundews are so bitter...
context: You're great, Master! You understand!\Of course.\Damn! I'm nothing compared to you!\Clean your mess up!\He's the Dark Flame Master, after all.\Less chatter, more cleaning.\Kumin, you wake up too!\Sundews are so bitter... response:	What is she dreaming of?
context: Of course.\Damn! I'm nothing compared to you!\Clean your mess up!\He's the Dark Flame Master, after all.\Less chatter, more cleaning.\Kumin, you wake up too!\Sundews are so bitter...\What is she dreaming of? response:	Hello!
context: Damn! I'm nothing compared to you!\Clean your mess up!\He's the Dark Flame Master, after all.\Less chatter, more cleaning.\Kumin, you wake up too!\Sundews are so bitter...\What is she dreaming of?\Hello! response:	N-Nibutani!
context: Clean your mess up!\He's the Dark Flame Master, after all.\Less chatter, more cleaning.\Kumin, you wake up too!\Sundews are so bitter...\What is she dreaming of?\Hello!\N-Nibutani! response:	Sorry for taking so long to stop by after I joined.
context: He's the Dark Flame Master, after all.\Less chatter, more cleaning.\Kumin, you wake up too!\Sundews are so bitter...\What is she dreaming of?\Hello!\N-Nibutani!\Sorry for taking so long to stop by after I joined. response:	I've been busy at the cheerleaders'.
context: Less chatter, more cleaning.\Kumin, you wake up too!\Sundews are so bitter...\What is she dreaming of?\Hello!\N-Nibutani!\Sorry for taking so long to stop by after I joined.\I've been busy at the cheerleaders'. response:	Worry not. Our search for the Ethereal Horizon proceeds as we speak.
context: Kumin, you wake up too!\Sundews are so bitter...\What is she dreaming of?\Hello!\N-Nibutani!\Sorry for taking so long to stop by after I joined.\I've been busy at the cheerleaders'.\Worry not. Our search for the Ethereal Horizon proceeds as we speak. response:	Ethereal... what?
context: Sundews are so bitter...\What is she dreaming of?\Hello!\N-Nibutani!\Sorry for taking so long to stop by after I joined.\I've been busy at the cheerleaders'.\Worry not. Our search for the Ethereal Horizon proceeds as we speak.\Ethereal... what? response:	Don't worry about it.
context: What is she dreaming of?\Hello!\N-Nibutani!\Sorry for taking so long to stop by after I joined.\I've been busy at the cheerleaders'.\Worry not. Our search for the Ethereal Horizon proceeds as we speak.\Ethereal... what?\Don't worry about it. response:	What's this?
context: Hello!\N-Nibutani!\Sorry for taking so long to stop by after I joined.\I've been busy at the cheerleaders'.\Worry not. Our search for the Ethereal Horizon proceeds as we speak.\Ethereal... what?\Don't worry about it.\What's this? response:	I-It's nothing!
context: N-Nibutani!\Sorry for taking so long to stop by after I joined.\I've been busy at the cheerleaders'.\Worry not. Our search for the Ethereal Horizon proceeds as we speak.\Ethereal... what?\Don't worry about it.\What's this?\I-It's nothing! response:	Oh, is that a magic circle?
context: Sorry for taking so long to stop by after I joined.\I've been busy at the cheerleaders'.\Worry not. Our search for the Ethereal Horizon proceeds as we speak.\Ethereal... what?\Don't worry about it.\What's this?\I-It's nothing!\Oh, is that a magic circle? response:	So you're seriously researching magic?
context: I've been busy at the cheerleaders'.\Worry not. Our search for the Ethereal Horizon proceeds as we speak.\Ethereal... what?\Don't worry about it.\What's this?\I-It's nothing!\Oh, is that a magic circle?\So you're seriously researching magic? response:	It's just for decoration!
context: Worry not. Our search for the Ethereal Horizon proceeds as we speak.\Ethereal... what?\Don't worry about it.\What's this?\I-It's nothing!\Oh, is that a magic circle?\So you're seriously researching magic?\It's just for decoration! response:	The goal of our society is to find the Ethereal Horizon.
context: Ethereal... what?\Don't worry about it.\What's this?\I-It's nothing!\Oh, is that a magic circle?\So you're seriously researching magic?\It's just for decoration!\The goal of our society is to find the Ethereal Horizon. response:	We unite the powers of the Wicked Eye,
context: Don't worry about it.\What's this?\I-It's nothing!\Oh, is that a magic circle?\So you're seriously researching magic?\It's just for decoration!\The goal of our society is to find the Ethereal Horizon.\We unite the powers of the Wicked Eye, response:	the Mjolnir Maul,
context: What's this?\I-It's nothing!\Oh, is that a magic circle?\So you're seriously researching magic?\It's just for decoration!\The goal of our society is to find the Ethereal Horizon.\We unite the powers of the Wicked Eye,\the Mjolnir Maul, response:	and the Dark Flame Master to that end.
context: I-It's nothing!\Oh, is that a magic circle?\So you're seriously researching magic?\It's just for decoration!\The goal of our society is to find the Ethereal Horizon.\We unite the powers of the Wicked Eye,\the Mjolnir Maul,\and the Dark Flame Master to that end. response:	H-Hold on a sec!
context: Oh, is that a magic circle?\So you're seriously researching magic?\It's just for decoration!\The goal of our society is to find the Ethereal Horizon.\We unite the powers of the Wicked Eye,\the Mjolnir Maul,\and the Dark Flame Master to that end.\H-Hold on a sec! response:	I told you not to call me that!
context: So you're seriously researching magic?\It's just for decoration!\The goal of our society is to find the Ethereal Horizon.\We unite the powers of the Wicked Eye,\the Mjolnir Maul,\and the Dark Flame Master to that end.\H-Hold on a sec!\I told you not to call me that! response:	What are you whispering about, Dark Flame Master?
context: It's just for decoration!\The goal of our society is to find the Ethereal Horizon.\We unite the powers of the Wicked Eye,\the Mjolnir Maul,\and the Dark Flame Master to that end.\H-Hold on a sec!\I told you not to call me that!\What are you whispering about, Dark Flame Master? response:	Why are you so deathly silent, Dark Flame Master?
context: The goal of our society is to find the Ethereal Horizon.\We unite the powers of the Wicked Eye,\the Mjolnir Maul,\and the Dark Flame Master to that end.\H-Hold on a sec!\I told you not to call me that!\What are you whispering about, Dark Flame Master?\Why are you so deathly silent, Dark Flame Master? response:	You're doing it on purpose.
context: We unite the powers of the Wicked Eye,\the Mjolnir Maul,\and the Dark Flame Master to that end.\H-Hold on a sec!\I told you not to call me that!\What are you whispering about, Dark Flame Master?\Why are you so deathly silent, Dark Flame Master?\You're doing it on purpose. response:	What do you mean, Dark Flame Master?
context: the Mjolnir Maul,\and the Dark Flame Master to that end.\H-Hold on a sec!\I told you not to call me that!\What are you whispering about, Dark Flame Master?\Why are you so deathly silent, Dark Flame Master?\You're doing it on purpose.\What do you mean, Dark Flame Master? response:	Dark Flame Master!
context: and the Dark Flame Master to that end.\H-Hold on a sec!\I told you not to call me that!\What are you whispering about, Dark Flame Master?\Why are you so deathly silent, Dark Flame Master?\You're doing it on purpose.\What do you mean, Dark Flame Master?\Dark Flame Master! response:	Open the door! Release me this very instant!
context: H-Hold on a sec!\I told you not to call me that!\What are you whispering about, Dark Flame Master?\Why are you so deathly silent, Dark Flame Master?\You're doing it on purpose.\What do you mean, Dark Flame Master?\Dark Flame Master!\Open the door! Release me this very instant! response:	Are you sure?
context: I told you not to call me that!\What are you whispering about, Dark Flame Master?\Why are you so deathly silent, Dark Flame Master?\You're doing it on purpose.\What do you mean, Dark Flame Master?\Dark Flame Master!\Open the door! Release me this very instant!\Are you sure? response:	Don't worry. She'll get used to it.
context: What are you whispering about, Dark Flame Master?\Why are you so deathly silent, Dark Flame Master?\You're doing it on purpose.\What do you mean, Dark Flame Master?\Dark Flame Master!\Open the door! Release me this very instant!\Are you sure?\Don't worry. She'll get used to it. response:	This barrier might be connected to the Otherworld!
context: Why are you so deathly silent, Dark Flame Master?\You're doing it on purpose.\What do you mean, Dark Flame Master?\Dark Flame Master!\Open the door! Release me this very instant!\Are you sure?\Don't worry. She'll get used to it.\This barrier might be connected to the Otherworld! response:	See?
context: You're doing it on purpose.\What do you mean, Dark Flame Master?\Dark Flame Master!\Open the door! Release me this very instant!\Are you sure?\Don't worry. She'll get used to it.\This barrier might be connected to the Otherworld!\See? response:	Wh-What?!
context: What do you mean, Dark Flame Master?\Dark Flame Master!\Open the door! Release me this very instant!\Are you sure?\Don't worry. She'll get used to it.\This barrier might be connected to the Otherworld!\See?\Wh-What?! response:	Ah, that's Tsuyuri Kumin.
context: Dark Flame Master!\Open the door! Release me this very instant!\Are you sure?\Don't worry. She'll get used to it.\This barrier might be connected to the Otherworld!\See?\Wh-What?!\Ah, that's Tsuyuri Kumin. response:	She's a second-year who joined as well.
context: Open the door! Release me this very instant!\Are you sure?\Don't worry. She'll get used to it.\This barrier might be connected to the Otherworld!\See?\Wh-What?!\Ah, that's Tsuyuri Kumin.\She's a second-year who joined as well. response:	Her hobby is napping.
context: Are you sure?\Don't worry. She'll get used to it.\This barrier might be connected to the Otherworld!\See?\Wh-What?!\Ah, that's Tsuyuri Kumin.\She's a second-year who joined as well.\Her hobby is napping. response:	Remember how the circle's name has nap in it?
context: Don't worry. She'll get used to it.\This barrier might be connected to the Otherworld!\See?\Wh-What?!\Ah, that's Tsuyuri Kumin.\She's a second-year who joined as well.\Her hobby is napping.\Remember how the circle's name has nap in it? response:	Oh, right!
