context: Hey, Karasuno's switching setters. response:	Don't get depressed.
context: What?\Jeez, your face is scary.\I was born with this face!\You were all irritated, and stopped talking as much...\I could tell you were thinking, and stuff,\but if you don't say it out loud, I don't know what you're thinking.\Wasn't I saying it out loud?\Nope... You were quieter than in any other match. response:	For crying out loud...
context: Jeez, your face is scary.\I was born with this face!\You were all irritated, and stopped talking as much...\I could tell you were thinking, and stuff,\but if you don't say it out loud, I don't know what you're thinking.\Wasn't I saying it out loud?\Nope... You were quieter than in any other match.\For crying out loud... response:	Damn it. I was so overwhelmed I end up having to hear about this from him?
context: I was born with this face!\You were all irritated, and stopped talking as much...\I could tell you were thinking, and stuff,\but if you don't say it out loud, I don't know what you're thinking.\Wasn't I saying it out loud?\Nope... You were quieter than in any other match.\For crying out loud...\Damn it. I was so overwhelmed I end up having to hear about this from him? response:	Hey, the Karasuno setter that just went in is 2.
context: You were all irritated, and stopped talking as much...\I could tell you were thinking, and stuff,\but if you don't say it out loud, I don't know what you're thinking.\Wasn't I saying it out loud?\Nope... You were quieter than in any other match.\For crying out loud...\Damn it. I was so overwhelmed I end up having to hear about this from him?\Hey, the Karasuno setter that just went in is 2. response:	Oh, he's a third-year.
context: I could tell you were thinking, and stuff,\but if you don't say it out loud, I don't know what you're thinking.\Wasn't I saying it out loud?\Nope... You were quieter than in any other match.\For crying out loud...\Damn it. I was so overwhelmed I end up having to hear about this from him?\Hey, the Karasuno setter that just went in is 2.\Oh, he's a third-year. response:	2: Sugawara Koshi
context: but if you don't say it out loud, I don't know what you're thinking.\Wasn't I saying it out loud?\Nope... You were quieter than in any other match.\For crying out loud...\Damn it. I was so overwhelmed I end up having to hear about this from him?\Hey, the Karasuno setter that just went in is 2.\Oh, he's a third-year.\2: Sugawara Koshi response:	So some genius first-year that just joined took his starter position?
context: Wasn't I saying it out loud?\Nope... You were quieter than in any other match.\For crying out loud...\Damn it. I was so overwhelmed I end up having to hear about this from him?\Hey, the Karasuno setter that just went in is 2.\Oh, he's a third-year.\2: Sugawara Koshi\So some genius first-year that just joined took his starter position? response:	Daichi, you're not being as loud as usual.
context: Nope... You were quieter than in any other match.\For crying out loud...\Damn it. I was so overwhelmed I end up having to hear about this from him?\Hey, the Karasuno setter that just went in is 2.\Oh, he's a third-year.\2: Sugawara Koshi\So some genius first-year that just joined took his starter position?\Daichi, you're not being as loud as usual. response:	A captain can't lose his composure!
context: For crying out loud...\Damn it. I was so overwhelmed I end up having to hear about this from him?\Hey, the Karasuno setter that just went in is 2.\Oh, he's a third-year.\2: Sugawara Koshi\So some genius first-year that just joined took his starter position?\Daichi, you're not being as loud as usual.\A captain can't lose his composure! response:	Yeah, I'm sorry.
context: Damn it. I was so overwhelmed I end up having to hear about this from him?\Hey, the Karasuno setter that just went in is 2.\Oh, he's a third-year.\2: Sugawara Koshi\So some genius first-year that just joined took his starter position?\Daichi, you're not being as loud as usual.\A captain can't lose his composure!\Yeah, I'm sorry. response:	The only person that can lecture Daichi...
context: Hey, the Karasuno setter that just went in is 2.\Oh, he's a third-year.\2: Sugawara Koshi\So some genius first-year that just joined took his starter position?\Daichi, you're not being as loud as usual.\A captain can't lose his composure!\Yeah, I'm sorry.\The only person that can lecture Daichi... response:	Tsukishima.
context: Oh, he's a third-year.\2: Sugawara Koshi\So some genius first-year that just joined took his starter position?\Daichi, you're not being as loud as usual.\A captain can't lose his composure!\Yeah, I'm sorry.\The only person that can lecture Daichi...\Tsukishima. response:	I don't know just how good Mr. Refreshing over there is,
context: 2: Sugawara Koshi\So some genius first-year that just joined took his starter position?\Daichi, you're not being as loud as usual.\A captain can't lose his composure!\Yeah, I'm sorry.\The only person that can lecture Daichi...\Tsukishima.\I don't know just how good Mr. Refreshing over there is, response:	but seeing him up close, the words serious and polite seem to fit him well.
context: So some genius first-year that just joined took his starter position?\Daichi, you're not being as loud as usual.\A captain can't lose his composure!\Yeah, I'm sorry.\The only person that can lecture Daichi...\Tsukishima.\I don't know just how good Mr. Refreshing over there is,\but seeing him up close, the words serious and polite seem to fit him well. response:	Iwa-chan, the defensive block will be low straight forward where 2-kun is standing,
context: Daichi, you're not being as loud as usual.\A captain can't lose his composure!\Yeah, I'm sorry.\The only person that can lecture Daichi...\Tsukishima.\I don't know just how good Mr. Refreshing over there is,\but seeing him up close, the words serious and polite seem to fit him well.\Iwa-chan, the defensive block will be low straight forward where 2-kun is standing, response:	so it'd be a good place to aim.
context: A captain can't lose his composure!\Yeah, I'm sorry.\The only person that can lecture Daichi...\Tsukishima.\I don't know just how good Mr. Refreshing over there is,\but seeing him up close, the words serious and polite seem to fit him well.\Iwa-chan, the defensive block will be low straight forward where 2-kun is standing,\so it'd be a good place to aim. response:	Right.
context: Yeah, I'm sorry.\The only person that can lecture Daichi...\Tsukishima.\I don't know just how good Mr. Refreshing over there is,\but seeing him up close, the words serious and polite seem to fit him well.\Iwa-chan, the defensive block will be low straight forward where 2-kun is standing,\so it'd be a good place to aim.\Right. response:	Nice receive!
context: The only person that can lecture Daichi...\Tsukishima.\I don't know just how good Mr. Refreshing over there is,\but seeing him up close, the words serious and polite seem to fit him well.\Iwa-chan, the defensive block will be low straight forward where 2-kun is standing,\so it'd be a good place to aim.\Right.\Nice receive! response:	Tanaka!
context: Tsukishima.\I don't know just how good Mr. Refreshing over there is,\but seeing him up close, the words serious and polite seem to fit him well.\Iwa-chan, the defensive block will be low straight forward where 2-kun is standing,\so it'd be a good place to aim.\Right.\Nice receive!\Tanaka! response:	Iwa-chan!
context: I don't know just how good Mr. Refreshing over there is,\but seeing him up close, the words serious and polite seem to fit him well.\Iwa-chan, the defensive block will be low straight forward where 2-kun is standing,\so it'd be a good place to aim.\Right.\Nice receive!\Tanaka!\Iwa-chan! response:	I've got to aim...
context: but seeing him up close, the words serious and polite seem to fit him well.\Iwa-chan, the defensive block will be low straight forward where 2-kun is standing,\so it'd be a good place to aim.\Right.\Nice receive!\Tanaka!\Iwa-chan!\I've got to aim... response:	straight forward where the block is low.
context: Iwa-chan, the defensive block will be low straight forward where 2-kun is standing,\so it'd be a good place to aim.\Right.\Nice receive!\Tanaka!\Iwa-chan!\I've got to aim...\straight forward where the block is low. response:	Iwa
context: so it'd be a good place to aim.\Right.\Nice receive!\Tanaka!\Iwa-chan!\I've got to aim...\straight forward where the block is low.\Iwa response:	Denied!
context: Right.\Nice receive!\Tanaka!\Iwa-chan!\I've got to aim...\straight forward where the block is low.\Iwa\Denied! response:	I guess they figured out they'd be aiming straight forward.
context: Nice receive!\Tanaka!\Iwa-chan!\I've got to aim...\straight forward where the block is low.\Iwa\Denied!\I guess they figured out they'd be aiming straight forward. response:	Right? Well done.
context: Tanaka!\Iwa-chan!\I've got to aim...\straight forward where the block is low.\Iwa\Denied!\I guess they figured out they'd be aiming straight forward.\Right? Well done. response:	The blockers switched places right before the opponent's spike.
context: Iwa-chan!\I've got to aim...\straight forward where the block is low.\Iwa\Denied!\I guess they figured out they'd be aiming straight forward.\Right? Well done.\The blockers switched places right before the opponent's spike. response:	Nice block, Tsukishima. Nice, nice!
context: I've got to aim...\straight forward where the block is low.\Iwa\Denied!\I guess they figured out they'd be aiming straight forward.\Right? Well done.\The blockers switched places right before the opponent's spike.\Nice block, Tsukishima. Nice, nice! response:	But you're the one...
context: straight forward where the block is low.\Iwa\Denied!\I guess they figured out they'd be aiming straight forward.\Right? Well done.\The blockers switched places right before the opponent's spike.\Nice block, Tsukishima. Nice, nice!\But you're the one... response:	Whenever we're up against a strong team,
context: Iwa\Denied!\I guess they figured out they'd be aiming straight forward.\Right? Well done.\The blockers switched places right before the opponent's spike.\Nice block, Tsukishima. Nice, nice!\But you're the one...\Whenever we're up against a strong team, response:	they usually aim right for me since my block is so low.
context: Denied!\I guess they figured out they'd be aiming straight forward.\Right? Well done.\The blockers switched places right before the opponent's spike.\Nice block, Tsukishima. Nice, nice!\But you're the one...\Whenever we're up against a strong team,\they usually aim right for me since my block is so low. response:	I figured that'd happen this time, too.
context: I guess they figured out they'd be aiming straight forward.\Right? Well done.\The blockers switched places right before the opponent's spike.\Nice block, Tsukishima. Nice, nice!\But you're the one...\Whenever we're up against a strong team,\they usually aim right for me since my block is so low.\I figured that'd happen this time, too. response:	I feel so relieved, being next to someone so tall.
context: Right? Well done.\The blockers switched places right before the opponent's spike.\Nice block, Tsukishima. Nice, nice!\But you're the one...\Whenever we're up against a strong team,\they usually aim right for me since my block is so low.\I figured that'd happen this time, too.\I feel so relieved, being next to someone so tall. response:	Um, well... right.
context: The blockers switched places right before the opponent's spike.\Nice block, Tsukishima. Nice, nice!\But you're the one...\Whenever we're up against a strong team,\they usually aim right for me since my block is so low.\I figured that'd happen this time, too.\I feel so relieved, being next to someone so tall.\Um, well... right. response:	Sorry.
context: Nice block, Tsukishima. Nice, nice!\But you're the one...\Whenever we're up against a strong team,\they usually aim right for me since my block is so low.\I figured that'd happen this time, too.\I feel so relieved, being next to someone so tall.\Um, well... right.\Sorry. response:	Don't mind!
context: But you're the one...\Whenever we're up against a strong team,\they usually aim right for me since my block is so low.\I figured that'd happen this time, too.\I feel so relieved, being next to someone so tall.\Um, well... right.\Sorry.\Don't mind! response:	Sorry, Iwa-chan.
context: Whenever we're up against a strong team,\they usually aim right for me since my block is so low.\I figured that'd happen this time, too.\I feel so relieved, being next to someone so tall.\Um, well... right.\Sorry.\Don't mind!\Sorry, Iwa-chan. response:	Aoba Johsai Karasuno
context: they usually aim right for me since my block is so low.\I figured that'd happen this time, too.\I feel so relieved, being next to someone so tall.\Um, well... right.\Sorry.\Don't mind!\Sorry, Iwa-chan.\Aoba Johsai Karasuno response:	Hinata.
context: I figured that'd happen this time, too.\I feel so relieved, being next to someone so tall.\Um, well... right.\Sorry.\Don't mind!\Sorry, Iwa-chan.\Aoba Johsai Karasuno\Hinata. response:	Tsukishima, nice serve!
context: I feel so relieved, being next to someone so tall.\Um, well... right.\Sorry.\Don't mind!\Sorry, Iwa-chan.\Aoba Johsai Karasuno\Hinata.\Tsukishima, nice serve! response:	Right.
context: Um, well... right.\Sorry.\Don't mind!\Sorry, Iwa-chan.\Aoba Johsai Karasuno\Hinata.\Tsukishima, nice serve!\Right. response:	Nice receive, Kunimi-chan!
context: Sorry.\Don't mind!\Sorry, Iwa-chan.\Aoba Johsai Karasuno\Hinata.\Tsukishima, nice serve!\Right.\Nice receive, Kunimi-chan! response:	Whoa, they totally returned it!
context: Don't mind!\Sorry, Iwa-chan.\Aoba Johsai Karasuno\Hinata.\Tsukishima, nice serve!\Right.\Nice receive, Kunimi-chan!\Whoa, they totally returned it! response:	Are they gonna do a quick?
context: Sorry, Iwa-chan.\Aoba Johsai Karasuno\Hinata.\Tsukishima, nice serve!\Right.\Nice receive, Kunimi-chan!\Whoa, they totally returned it!\Are they gonna do a quick? response:	A-quick!
context: Aoba Johsai Karasuno\Hinata.\Tsukishima, nice serve!\Right.\Nice receive, Kunimi-chan!\Whoa, they totally returned it!\Are they gonna do a quick?\A-quick! response:	All right!
context: Hinata.\Tsukishima, nice serve!\Right.\Nice receive, Kunimi-chan!\Whoa, they totally returned it!\Are they gonna do a quick?\A-quick!\All right! response:	Hinata, great job!
context: Tsukishima, nice serve!\Right.\Nice receive, Kunimi-chan!\Whoa, they totally returned it!\Are they gonna do a quick?\A-quick!\All right!\Hinata, great job! response:	It's just like you said, Sugawara-san!
context: Right.\Nice receive, Kunimi-chan!\Whoa, they totally returned it!\Are they gonna do a quick?\A-quick!\All right!\Hinata, great job!\It's just like you said, Sugawara-san! response:	Next time their receive goes directly to the setter,
context: Nice receive, Kunimi-chan!\Whoa, they totally returned it!\Are they gonna do a quick?\A-quick!\All right!\Hinata, great job!\It's just like you said, Sugawara-san!\Next time their receive goes directly to the setter, response:	the center will probably do a quick set.
context: Whoa, they totally returned it!\Are they gonna do a quick?\A-quick!\All right!\Hinata, great job!\It's just like you said, Sugawara-san!\Next time their receive goes directly to the setter,\the center will probably do a quick set. response:	Don't panic, though. Just jump a little higher than usual.
context: Are they gonna do a quick?\A-quick!\All right!\Hinata, great job!\It's just like you said, Sugawara-san!\Next time their receive goes directly to the setter,\the center will probably do a quick set.\Don't panic, though. Just jump a little higher than usual. response:	Right?
context: A-quick!\All right!\Hinata, great job!\It's just like you said, Sugawara-san!\Next time their receive goes directly to the setter,\the center will probably do a quick set.\Don't panic, though. Just jump a little higher than usual.\Right? response:	I know I felt frustrated watching the game from the outside,
context: All right!\Hinata, great job!\It's just like you said, Sugawara-san!\Next time their receive goes directly to the setter,\the center will probably do a quick set.\Don't panic, though. Just jump a little higher than usual.\Right?\I know I felt frustrated watching the game from the outside, response:	but I saw the game more calmly than I would if I was playing.
context: Hinata, great job!\It's just like you said, Sugawara-san!\Next time their receive goes directly to the setter,\the center will probably do a quick set.\Don't panic, though. Just jump a little higher than usual.\Right?\I know I felt frustrated watching the game from the outside,\but I saw the game more calmly than I would if I was playing. response:	The time I wasn't in the game has been preparation for this.
context: It's just like you said, Sugawara-san!\Next time their receive goes directly to the setter,\the center will probably do a quick set.\Don't panic, though. Just jump a little higher than usual.\Right?\I know I felt frustrated watching the game from the outside,\but I saw the game more calmly than I would if I was playing.\The time I wasn't in the game has been preparation for this. response:	They seemed to be more fired up now.
context: Next time their receive goes directly to the setter,\the center will probably do a quick set.\Don't panic, though. Just jump a little higher than usual.\Right?\I know I felt frustrated watching the game from the outside,\but I saw the game more calmly than I would if I was playing.\The time I wasn't in the game has been preparation for this.\They seemed to be more fired up now. response:	Yeah...
context: the center will probably do a quick set.\Don't panic, though. Just jump a little higher than usual.\Right?\I know I felt frustrated watching the game from the outside,\but I saw the game more calmly than I would if I was playing.\The time I wasn't in the game has been preparation for this.\They seemed to be more fired up now.\Yeah... response:	It'll be fine.
context: Don't panic, though. Just jump a little higher than usual.\Right?\I know I felt frustrated watching the game from the outside,\but I saw the game more calmly than I would if I was playing.\The time I wasn't in the game has been preparation for this.\They seemed to be more fired up now.\Yeah...\It'll be fine. response:	Huh?
context: Right?\I know I felt frustrated watching the game from the outside,\but I saw the game more calmly than I would if I was playing.\The time I wasn't in the game has been preparation for this.\They seemed to be more fired up now.\Yeah...\It'll be fine.\Huh? response:	Weren't you worried that Kageyama-kun
context: I know I felt frustrated watching the game from the outside,\but I saw the game more calmly than I would if I was playing.\The time I wasn't in the game has been preparation for this.\They seemed to be more fired up now.\Yeah...\It'll be fine.\Huh?\Weren't you worried that Kageyama-kun response:	would get angry that you benched him, since he seems so proud?
context: but I saw the game more calmly than I would if I was playing.\The time I wasn't in the game has been preparation for this.\They seemed to be more fired up now.\Yeah...\It'll be fine.\Huh?\Weren't you worried that Kageyama-kun\would get angry that you benched him, since he seems so proud? response:	It'll be fine.
context: The time I wasn't in the game has been preparation for this.\They seemed to be more fired up now.\Yeah...\It'll be fine.\Huh?\Weren't you worried that Kageyama-kun\would get angry that you benched him, since he seems so proud?\It'll be fine. response:	Kageyama-kun's strength and how well he plays
context: They seemed to be more fired up now.\Yeah...\It'll be fine.\Huh?\Weren't you worried that Kageyama-kun\would get angry that you benched him, since he seems so proud?\It'll be fine.\Kageyama-kun's strength and how well he plays response:	is because of his great pride,
context: Yeah...\It'll be fine.\Huh?\Weren't you worried that Kageyama-kun\would get angry that you benched him, since he seems so proud?\It'll be fine.\Kageyama-kun's strength and how well he plays\is because of his great pride, response:	but even more more, because of his drive to improve.
context: It'll be fine.\Huh?\Weren't you worried that Kageyama-kun\would get angry that you benched him, since he seems so proud?\It'll be fine.\Kageyama-kun's strength and how well he plays\is because of his great pride,\but even more more, because of his drive to improve. response:	Aoba Johsai Karasuno
context: Huh?\Weren't you worried that Kageyama-kun\would get angry that you benched him, since he seems so proud?\It'll be fine.\Kageyama-kun's strength and how well he plays\is because of his great pride,\but even more more, because of his drive to improve.\Aoba Johsai Karasuno response:	Tsukishima, one more nice serve!
context: Weren't you worried that Kageyama-kun\would get angry that you benched him, since he seems so proud?\It'll be fine.\Kageyama-kun's strength and how well he plays\is because of his great pride,\but even more more, because of his drive to improve.\Aoba Johsai Karasuno\Tsukishima, one more nice serve! response:	Let's break their serve streak!
context: would get angry that you benched him, since he seems so proud?\It'll be fine.\Kageyama-kun's strength and how well he plays\is because of his great pride,\but even more more, because of his drive to improve.\Aoba Johsai Karasuno\Tsukishima, one more nice serve!\Let's break their serve streak! response:	Let's see, the next attack...
context: It'll be fine.\Kageyama-kun's strength and how well he plays\is because of his great pride,\but even more more, because of his drive to improve.\Aoba Johsai Karasuno\Tsukishima, one more nice serve!\Let's break their serve streak!\Let's see, the next attack... response:	Right!
context: Kageyama-kun's strength and how well he plays\is because of his great pride,\but even more more, because of his drive to improve.\Aoba Johsai Karasuno\Tsukishima, one more nice serve!\Let's break their serve streak!\Let's see, the next attack...\Right! response:	Let's go!
context: is because of his great pride,\but even more more, because of his drive to improve.\Aoba Johsai Karasuno\Tsukishima, one more nice serve!\Let's break their serve streak!\Let's see, the next attack...\Right!\Let's go! response:	Nice serve!
context: but even more more, because of his drive to improve.\Aoba Johsai Karasuno\Tsukishima, one more nice serve!\Let's break their serve streak!\Let's see, the next attack...\Right!\Let's go!\Nice serve! response:	I don't have the ability to do pinpoint tosses like Kageyama,
context: Aoba Johsai Karasuno\Tsukishima, one more nice serve!\Let's break their serve streak!\Let's see, the next attack...\Right!\Let's go!\Nice serve!\I don't have the ability to do pinpoint tosses like Kageyama, response:	so I want to signal what kind of attack we'll do next.
context: Tsukishima, one more nice serve!\Let's break their serve streak!\Let's see, the next attack...\Right!\Let's go!\Nice serve!\I don't have the ability to do pinpoint tosses like Kageyama,\so I want to signal what kind of attack we'll do next. response:	The poor third-year that was replaced by the genius first-year.
context: Let's break their serve streak!\Let's see, the next attack...\Right!\Let's go!\Nice serve!\I don't have the ability to do pinpoint tosses like Kageyama,\so I want to signal what kind of attack we'll do next.\The poor third-year that was replaced by the genius first-year. response:	I'm sure that's how some people would see Suga, but...
context: Let's see, the next attack...\Right!\Let's go!\Nice serve!\I don't have the ability to do pinpoint tosses like Kageyama,\so I want to signal what kind of attack we'll do next.\The poor third-year that was replaced by the genius first-year.\I'm sure that's how some people would see Suga, but... response:	They're not saying bring it or to me!
context: Right!\Let's go!\Nice serve!\I don't have the ability to do pinpoint tosses like Kageyama,\so I want to signal what kind of attack we'll do next.\The poor third-year that was replaced by the genius first-year.\I'm sure that's how some people would see Suga, but...\They're not saying bring it or to me! response:	He's not Tobio, so there won't be any god-like quicks!
context: Let's go!\Nice serve!\I don't have the ability to do pinpoint tosses like Kageyama,\so I want to signal what kind of attack we'll do next.\The poor third-year that was replaced by the genius first-year.\I'm sure that's how some people would see Suga, but...\They're not saying bring it or to me!\He's not Tobio, so there won't be any god-like quicks! response:	Right!
context: Nice serve!\I don't have the ability to do pinpoint tosses like Kageyama,\so I want to signal what kind of attack we'll do next.\The poor third-year that was replaced by the genius first-year.\I'm sure that's how some people would see Suga, but...\They're not saying bring it or to me!\He's not Tobio, so there won't be any god-like quicks!\Right! response:	Suga is Karasuno's other setter. He has run simulations in his head
context: I don't have the ability to do pinpoint tosses like Kageyama,\so I want to signal what kind of attack we'll do next.\The poor third-year that was replaced by the genius first-year.\I'm sure that's how some people would see Suga, but...\They're not saying bring it or to me!\He's not Tobio, so there won't be any god-like quicks!\Right!\Suga is Karasuno's other setter. He has run simulations in his head response:	of what it will be like when he's actually on the court.
context: so I want to signal what kind of attack we'll do next.\The poor third-year that was replaced by the genius first-year.\I'm sure that's how some people would see Suga, but...\They're not saying bring it or to me!\He's not Tobio, so there won't be any god-like quicks!\Right!\Suga is Karasuno's other setter. He has run simulations in his head\of what it will be like when he's actually on the court. response:	All right!
context: The poor third-year that was replaced by the genius first-year.\I'm sure that's how some people would see Suga, but...\They're not saying bring it or to me!\He's not Tobio, so there won't be any god-like quicks!\Right!\Suga is Karasuno's other setter. He has run simulations in his head\of what it will be like when he's actually on the court.\All right! response:	I'm definitely inferior to Kageyama
context: I'm sure that's how some people would see Suga, but...\They're not saying bring it or to me!\He's not Tobio, so there won't be any god-like quicks!\Right!\Suga is Karasuno's other setter. He has run simulations in his head\of what it will be like when he's actually on the court.\All right!\I'm definitely inferior to Kageyama response:	when it comes to technique and physical ability,
context: They're not saying bring it or to me!\He's not Tobio, so there won't be any god-like quicks!\Right!\Suga is Karasuno's other setter. He has run simulations in his head\of what it will be like when he's actually on the court.\All right!\I'm definitely inferior to Kageyama\when it comes to technique and physical ability, response:	but I've spent quite a while watching our team.
context: He's not Tobio, so there won't be any god-like quicks!\Right!\Suga is Karasuno's other setter. He has run simulations in his head\of what it will be like when he's actually on the court.\All right!\I'm definitely inferior to Kageyama\when it comes to technique and physical ability,\but I've spent quite a while watching our team. response:	If it were just me against Aoba Johsai, I wouldn't stand a chance,
context: Right!\Suga is Karasuno's other setter. He has run simulations in his head\of what it will be like when he's actually on the court.\All right!\I'm definitely inferior to Kageyama\when it comes to technique and physical ability,\but I've spent quite a while watching our team.\If it were just me against Aoba Johsai, I wouldn't stand a chance, response:	but my teammates are plenty strong.
context: Suga is Karasuno's other setter. He has run simulations in his head\of what it will be like when he's actually on the court.\All right!\I'm definitely inferior to Kageyama\when it comes to technique and physical ability,\but I've spent quite a while watching our team.\If it were just me against Aoba Johsai, I wouldn't stand a chance,\but my teammates are plenty strong. response:	Let's break their serve streak!
context: of what it will be like when he's actually on the court.\All right!\I'm definitely inferior to Kageyama\when it comes to technique and physical ability,\but I've spent quite a while watching our team.\If it were just me against Aoba Johsai, I wouldn't stand a chance,\but my teammates are plenty strong.\Let's break their serve streak! response:	Right!
