context: cukorfalat mameshiba response:	-OP-
context: Okumura, what faculty are you in?\The Special Advancement faculty...\Wow! And you're so tall, too!\Huh, you want to become a doctor?\Well, um, that's...\Amazing!\That's so cool! You'll be the best doc ever!\Well... I don't know... response:	I'm sure of it!
context: The Special Advancement faculty...\Wow! And you're so tall, too!\Huh, you want to become a doctor?\Well, um, that's...\Amazing!\That's so cool! You'll be the best doc ever!\Well... I don't know...\I'm sure of it! response:	Thanks!
context: Wow! And you're so tall, too!\Huh, you want to become a doctor?\Well, um, that's...\Amazing!\That's so cool! You'll be the best doc ever!\Well... I don't know...\I'm sure of it!\Thanks! response:	That's right, he's going to become a doctor.
context: Huh, you want to become a doctor?\Well, um, that's...\Amazing!\That's so cool! You'll be the best doc ever!\Well... I don't know...\I'm sure of it!\Thanks!\That's right, he's going to become a doctor. response:	Yukio doesn't know anything.
context: Well, um, that's...\Amazing!\That's so cool! You'll be the best doc ever!\Well... I don't know...\I'm sure of it!\Thanks!\That's right, he's going to become a doctor.\Yukio doesn't know anything. response:	I can't involve him in this.
context: Amazing!\That's so cool! You'll be the best doc ever!\Well... I don't know...\I'm sure of it!\Thanks!\That's right, he's going to become a doctor.\Yukio doesn't know anything.\I can't involve him in this. response:	This is my problem.
context: That's so cool! You'll be the best doc ever!\Well... I don't know...\I'm sure of it!\Thanks!\That's right, he's going to become a doctor.\Yukio doesn't know anything.\I can't involve him in this.\This is my problem. response:	What the...?
context: Well... I don't know...\I'm sure of it!\Thanks!\That's right, he's going to become a doctor.\Yukio doesn't know anything.\I can't involve him in this.\This is my problem.\What the...? response:	Is this really a school?
context: I'm sure of it!\Thanks!\That's right, he's going to become a doctor.\Yukio doesn't know anything.\I can't involve him in this.\This is my problem.\What the...?\Is this really a school? response:	There's even a chandelier...
context: Thanks!\That's right, he's going to become a doctor.\Yukio doesn't know anything.\I can't involve him in this.\This is my problem.\What the...?\Is this really a school?\There's even a chandelier... response:	Like in a five star restaurant!
context: That's right, he's going to become a doctor.\Yukio doesn't know anything.\I can't involve him in this.\This is my problem.\What the...?\Is this really a school?\There's even a chandelier...\Like in a five star restaurant! response:	Wow, it's huge!
context: Yukio doesn't know anything.\I can't involve him in this.\This is my problem.\What the...?\Is this really a school?\There's even a chandelier...\Like in a five star restaurant!\Wow, it's huge! response:	This classroom is just too big!
context: I can't involve him in this.\This is my problem.\What the...?\Is this really a school?\There's even a chandelier...\Like in a five star restaurant!\Wow, it's huge!\This classroom is just too big! response:	This desk is even larger than the one in the monastery!
context: This is my problem.\What the...?\Is this really a school?\There's even a chandelier...\Like in a five star restaurant!\Wow, it's huge!\This classroom is just too big!\This desk is even larger than the one in the monastery! response:	What's wrong with that guy?
context: What the...?\Is this really a school?\There's even a chandelier...\Like in a five star restaurant!\Wow, it's huge!\This classroom is just too big!\This desk is even larger than the one in the monastery!\What's wrong with that guy? response:	What's he doing here?
context: Is this really a school?\There's even a chandelier...\Like in a five star restaurant!\Wow, it's huge!\This classroom is just too big!\This desk is even larger than the one in the monastery!\What's wrong with that guy?\What's he doing here? response:	Well, this would be it for today.
context: There's even a chandelier...\Like in a five star restaurant!\Wow, it's huge!\This classroom is just too big!\This desk is even larger than the one in the monastery!\What's wrong with that guy?\What's he doing here?\Well, this would be it for today. response:	Everyone return to your rooms and be sure to attend classes starting next week.
context: Like in a five star restaurant!\Wow, it's huge!\This classroom is just too big!\This desk is even larger than the one in the monastery!\What's wrong with that guy?\What's he doing here?\Well, this would be it for today.\Everyone return to your rooms and be sure to attend classes starting next week. response:	I just wanted to work after middle school.
context: Wow, it's huge!\This classroom is just too big!\This desk is even larger than the one in the monastery!\What's wrong with that guy?\What's he doing here?\Well, this would be it for today.\Everyone return to your rooms and be sure to attend classes starting next week.\I just wanted to work after middle school. response:	I couldn't care less about high school.
context: This classroom is just too big!\This desk is even larger than the one in the monastery!\What's wrong with that guy?\What's he doing here?\Well, this would be it for today.\Everyone return to your rooms and be sure to attend classes starting next week.\I just wanted to work after middle school.\I couldn't care less about high school. response:	I'm doing this just to become an Exorcist!
context: This desk is even larger than the one in the monastery!\What's wrong with that guy?\What's he doing here?\Well, this would be it for today.\Everyone return to your rooms and be sure to attend classes starting next week.\I just wanted to work after middle school.\I couldn't care less about high school.\I'm doing this just to become an Exorcist! response:	Oi, where's the dorm? No one told me that!
context: What's wrong with that guy?\What's he doing here?\Well, this would be it for today.\Everyone return to your rooms and be sure to attend classes starting next week.\I just wanted to work after middle school.\I couldn't care less about high school.\I'm doing this just to become an Exorcist!\Oi, where's the dorm? No one told me that! response:	A dog? Oi, hey!
context: What's he doing here?\Well, this would be it for today.\Everyone return to your rooms and be sure to attend classes starting next week.\I just wanted to work after middle school.\I couldn't care less about high school.\I'm doing this just to become an Exorcist!\Oi, where's the dorm? No one told me that!\A dog? Oi, hey! response:	What the?
context: Well, this would be it for today.\Everyone return to your rooms and be sure to attend classes starting next week.\I just wanted to work after middle school.\I couldn't care less about high school.\I'm doing this just to become an Exorcist!\Oi, where's the dorm? No one told me that!\A dog? Oi, hey!\What the? response:	Pardon me. But the Principal can't just meaninglessly wander around the campus.
context: Everyone return to your rooms and be sure to attend classes starting next week.\I just wanted to work after middle school.\I couldn't care less about high school.\I'm doing this just to become an Exorcist!\Oi, where's the dorm? No one told me that!\A dog? Oi, hey!\What the?\Pardon me. But the Principal can't just meaninglessly wander around the campus. response:	I didn't know Exorcists could transform!
context: I just wanted to work after middle school.\I couldn't care less about high school.\I'm doing this just to become an Exorcist!\Oi, where's the dorm? No one told me that!\A dog? Oi, hey!\What the?\Pardon me. But the Principal can't just meaninglessly wander around the campus.\I didn't know Exorcists could transform! response:	They can't. I'm special.
context: I couldn't care less about high school.\I'm doing this just to become an Exorcist!\Oi, where's the dorm? No one told me that!\A dog? Oi, hey!\What the?\Pardon me. But the Principal can't just meaninglessly wander around the campus.\I didn't know Exorcists could transform!\They can't. I'm special. response:	With this key you can conveniently go to your cram school classes from any door.
context: I'm doing this just to become an Exorcist!\Oi, where's the dorm? No one told me that!\A dog? Oi, hey!\What the?\Pardon me. But the Principal can't just meaninglessly wander around the campus.\I didn't know Exorcists could transform!\They can't. I'm special.\With this key you can conveniently go to your cram school classes from any door. response:	Cram school?
context: Oi, where's the dorm? No one told me that!\A dog? Oi, hey!\What the?\Pardon me. But the Principal can't just meaninglessly wander around the campus.\I didn't know Exorcists could transform!\They can't. I'm special.\With this key you can conveniently go to your cram school classes from any door.\Cram school? response:	Cram school for Exorcists.
context: A dog? Oi, hey!\What the?\Pardon me. But the Principal can't just meaninglessly wander around the campus.\I didn't know Exorcists could transform!\They can't. I'm special.\With this key you can conveniently go to your cram school classes from any door.\Cram school?\Cram school for Exorcists. response:	While you will be attending high school classes just like everyone else,
context: What the?\Pardon me. But the Principal can't just meaninglessly wander around the campus.\I didn't know Exorcists could transform!\They can't. I'm special.\With this key you can conveniently go to your cram school classes from any door.\Cram school?\Cram school for Exorcists.\While you will be attending high school classes just like everyone else, response:	the Exorcist training will take place in the cram school.
context: Pardon me. But the Principal can't just meaninglessly wander around the campus.\I didn't know Exorcists could transform!\They can't. I'm special.\With this key you can conveniently go to your cram school classes from any door.\Cram school?\Cram school for Exorcists.\While you will be attending high school classes just like everyone else,\the Exorcist training will take place in the cram school. response:	As a Page, you will study Exorcism.
context: I didn't know Exorcists could transform!\They can't. I'm special.\With this key you can conveniently go to your cram school classes from any door.\Cram school?\Cram school for Exorcists.\While you will be attending high school classes just like everyone else,\the Exorcist training will take place in the cram school.\As a Page, you will study Exorcism. response:	While the high school classes begin next week, your cram school starts today.
context: They can't. I'm special.\With this key you can conveniently go to your cram school classes from any door.\Cram school?\Cram school for Exorcists.\While you will be attending high school classes just like everyone else,\the Exorcist training will take place in the cram school.\As a Page, you will study Exorcism.\While the high school classes begin next week, your cram school starts today. response:	You're prepared, right?
context: With this key you can conveniently go to your cram school classes from any door.\Cram school?\Cram school for Exorcists.\While you will be attending high school classes just like everyone else,\the Exorcist training will take place in the cram school.\As a Page, you will study Exorcism.\While the high school classes begin next week, your cram school starts today.\You're prepared, right? response:	Of course!
context: Cram school?\Cram school for Exorcists.\While you will be attending high school classes just like everyone else,\the Exorcist training will take place in the cram school.\As a Page, you will study Exorcism.\While the high school classes begin next week, your cram school starts today.\You're prepared, right?\Of course! response:	But let me warn you.
context: Cram school for Exorcists.\While you will be attending high school classes just like everyone else,\the Exorcist training will take place in the cram school.\As a Page, you will study Exorcism.\While the high school classes begin next week, your cram school starts today.\You're prepared, right?\Of course!\But let me warn you. response:	It is a secret that you are Satan's offspring.
context: While you will be attending high school classes just like everyone else,\the Exorcist training will take place in the cram school.\As a Page, you will study Exorcism.\While the high school classes begin next week, your cram school starts today.\You're prepared, right?\Of course!\But let me warn you.\It is a secret that you are Satan's offspring. response:	Even if we can cover up your teeth, ears and tail,
context: the Exorcist training will take place in the cram school.\As a Page, you will study Exorcism.\While the high school classes begin next week, your cram school starts today.\You're prepared, right?\Of course!\But let me warn you.\It is a secret that you are Satan's offspring.\Even if we can cover up your teeth, ears and tail, response:	there's no explanation for your flames.
context: As a Page, you will study Exorcism.\While the high school classes begin next week, your cram school starts today.\You're prepared, right?\Of course!\But let me warn you.\It is a secret that you are Satan's offspring.\Even if we can cover up your teeth, ears and tail,\there's no explanation for your flames. response:	Please control yourself.
