context: It's so pretty. response:	I know.
context: Tell me what's going on.\Why?\Why are you going out of your way for us?\Because you're our tutor?\Good question!\Why?\You're right!\Like, objectively speaking, why am I poking my nose into your business? response:	Okay, well, that's that.
context: Why?\Why are you going out of your way for us?\Because you're our tutor?\Good question!\Why?\You're right!\Like, objectively speaking, why am I poking my nose into your business?\Okay, well, that's that. response:	Shoot.
context: Why are you going out of your way for us?\Because you're our tutor?\Good question!\Why?\You're right!\Like, objectively speaking, why am I poking my nose into your business?\Okay, well, that's that.\Shoot. response:	This is bad.
context: Because you're our tutor?\Good question!\Why?\You're right!\Like, objectively speaking, why am I poking my nose into your business?\Okay, well, that's that.\Shoot.\This is bad. response:	My coworker's here.
context: Good question!\Why?\You're right!\Like, objectively speaking, why am I poking my nose into your business?\Okay, well, that's that.\Shoot.\This is bad.\My coworker's here. response:	I snuck out without letting them know.
context: Why?\You're right!\Like, objectively speaking, why am I poking my nose into your business?\Okay, well, that's that.\Shoot.\This is bad.\My coworker's here.\I snuck out without letting them know. response:	I'm going to be in trouble.
context: You're right!\Like, objectively speaking, why am I poking my nose into your business?\Okay, well, that's that.\Shoot.\This is bad.\My coworker's here.\I snuck out without letting them know.\I'm going to be in trouble. response:	Huh?
context: Like, objectively speaking, why am I poking my nose into your business?\Okay, well, that's that.\Shoot.\This is bad.\My coworker's here.\I snuck out without letting them know.\I'm going to be in trouble.\Huh? response:	Wasn't that the guy with you earlier?
context: Okay, well, that's that.\Shoot.\This is bad.\My coworker's here.\I snuck out without letting them know.\I'm going to be in trouble.\Huh?\Wasn't that the guy with you earlier? response:	Oh, no! He's coming this way!
context: Shoot.\This is bad.\My coworker's here.\I snuck out without letting them know.\I'm going to be in trouble.\Huh?\Wasn't that the guy with you earlier?\Oh, no! He's coming this way! response:	H-Hey!
context: This is bad.\My coworker's here.\I snuck out without letting them know.\I'm going to be in trouble.\Huh?\Wasn't that the guy with you earlier?\Oh, no! He's coming this way!\H-Hey! response:	Huh?
context: My coworker's here.\I snuck out without letting them know.\I'm going to be in trouble.\Huh?\Wasn't that the guy with you earlier?\Oh, no! He's coming this way!\H-Hey!\Huh? response:	The Quintessential Quintuplets
context: I snuck out without letting them know.\I'm going to be in trouble.\Huh?\Wasn't that the guy with you earlier?\Oh, no! He's coming this way!\H-Hey!\Huh?\The Quintessential Quintuplets response:	The Quintessential Quintuplets
context: I'm going to be in trouble.\Huh?\Wasn't that the guy with you earlier?\Oh, no! He's coming this way!\H-Hey!\Huh?\The Quintessential Quintuplets\The Quintessential Quintuplets response:	The Quint es sen tial Quin tup lets
context: Huh?\Wasn't that the guy with you earlier?\Oh, no! He's coming this way!\H-Hey!\Huh?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets response:	The Quintessential Quintuplets
context: Wasn't that the guy with you earlier?\Oh, no! He's coming this way!\H-Hey!\Huh?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets response:	Down we go.
context: Oh, no! He's coming this way!\H-Hey!\Huh?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Down we go. response:	You're sitting there?!
context: H-Hey!\Huh?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Down we go.\You're sitting there?! response:	Hey, how long do we have to keep this up?
context: Huh?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Down we go.\You're sitting there?!\Hey, how long do we have to keep this up? response:	Just a little longer, sorry.
context: The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Down we go.\You're sitting there?!\Hey, how long do we have to keep this up?\Just a little longer, sorry. response:	I wonder if we look like we're in a relationship.
context: The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Down we go.\You're sitting there?!\Hey, how long do we have to keep this up?\Just a little longer, sorry.\I wonder if we look like we're in a relationship. response:	W-Well, this is Japan, not the west.
context: The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Down we go.\You're sitting there?!\Hey, how long do we have to keep this up?\Just a little longer, sorry.\I wonder if we look like we're in a relationship.\W-Well, this is Japan, not the west. response:	I think you'd have to be in a relationship to be in this situation.
context: The Quintessential Quintuplets\Down we go.\You're sitting there?!\Hey, how long do we have to keep this up?\Just a little longer, sorry.\I wonder if we look like we're in a relationship.\W-Well, this is Japan, not the west.\I think you'd have to be in a relationship to be in this situation. response:	We're just friends, though.
context: Down we go.\You're sitting there?!\Hey, how long do we have to keep this up?\Just a little longer, sorry.\I wonder if we look like we're in a relationship.\W-Well, this is Japan, not the west.\I think you'd have to be in a relationship to be in this situation.\We're just friends, though. response:	I feel like I'm doing something bad.
context: You're sitting there?!\Hey, how long do we have to keep this up?\Just a little longer, sorry.\I wonder if we look like we're in a relationship.\W-Well, this is Japan, not the west.\I think you'd have to be in a relationship to be in this situation.\We're just friends, though.\I feel like I'm doing something bad. response:	We're friends?
context: Hey, how long do we have to keep this up?\Just a little longer, sorry.\I wonder if we look like we're in a relationship.\W-Well, this is Japan, not the west.\I think you'd have to be in a relationship to be in this situation.\We're just friends, though.\I feel like I'm doing something bad.\We're friends? response:	Um...
context: Just a little longer, sorry.\I wonder if we look like we're in a relationship.\W-Well, this is Japan, not the west.\I think you'd have to be in a relationship to be in this situation.\We're just friends, though.\I feel like I'm doing something bad.\We're friends?\Um... response:	I think it'd be a bit much to say we're more than friends after just one hug.
context: I wonder if we look like we're in a relationship.\W-Well, this is Japan, not the west.\I think you'd have to be in a relationship to be in this situation.\We're just friends, though.\I feel like I'm doing something bad.\We're friends?\Um...\I think it'd be a bit much to say we're more than friends after just one hug. response:	N-No, I mean...
context: W-Well, this is Japan, not the west.\I think you'd have to be in a relationship to be in this situation.\We're just friends, though.\I feel like I'm doing something bad.\We're friends?\Um...\I think it'd be a bit much to say we're more than friends after just one hug.\N-No, I mean... response:	I'm just a teacher for hire.
context: I think you'd have to be in a relationship to be in this situation.\We're just friends, though.\I feel like I'm doing something bad.\We're friends?\Um...\I think it'd be a bit much to say we're more than friends after just one hug.\N-No, I mean...\I'm just a teacher for hire. response:	If it weren't for that, I don't think we would've ever crossed paths.
context: We're just friends, though.\I feel like I'm doing something bad.\We're friends?\Um...\I think it'd be a bit much to say we're more than friends after just one hug.\N-No, I mean...\I'm just a teacher for hire.\If it weren't for that, I don't think we would've ever crossed paths. response:	So it doesn't feel right to call ourselves friends.
context: I feel like I'm doing something bad.\We're friends?\Um...\I think it'd be a bit much to say we're more than friends after just one hug.\N-No, I mean...\I'm just a teacher for hire.\If it weren't for that, I don't think we would've ever crossed paths.\So it doesn't feel right to call ourselves friends. response:	What the heck? You're way too fussy.
context: We're friends?\Um...\I think it'd be a bit much to say we're more than friends after just one hug.\N-No, I mean...\I'm just a teacher for hire.\If it weren't for that, I don't think we would've ever crossed paths.\So it doesn't feel right to call ourselves friends.\What the heck? You're way too fussy. response:	And here I thought we were friends.
context: Um...\I think it'd be a bit much to say we're more than friends after just one hug.\N-No, I mean...\I'm just a teacher for hire.\If it weren't for that, I don't think we would've ever crossed paths.\So it doesn't feel right to call ourselves friends.\What the heck? You're way too fussy.\And here I thought we were friends. response:	I guess you don't, huh?
context: I think it'd be a bit much to say we're more than friends after just one hug.\N-No, I mean...\I'm just a teacher for hire.\If it weren't for that, I don't think we would've ever crossed paths.\So it doesn't feel right to call ourselves friends.\What the heck? You're way too fussy.\And here I thought we were friends.\I guess you don't, huh? response:	That hurts.
context: N-No, I mean...\I'm just a teacher for hire.\If it weren't for that, I don't think we would've ever crossed paths.\So it doesn't feel right to call ourselves friends.\What the heck? You're way too fussy.\And here I thought we were friends.\I guess you don't, huh?\That hurts. response:	No, I...
context: I'm just a teacher for hire.\If it weren't for that, I don't think we would've ever crossed paths.\So it doesn't feel right to call ourselves friends.\What the heck? You're way too fussy.\And here I thought we were friends.\I guess you don't, huh?\That hurts.\No, I... response:	Back then...
context: If it weren't for that, I don't think we would've ever crossed paths.\So it doesn't feel right to call ourselves friends.\What the heck? You're way too fussy.\And here I thought we were friends.\I guess you don't, huh?\That hurts.\No, I...\Back then... response:	The two of us are friends.
context: So it doesn't feel right to call ourselves friends.\What the heck? You're way too fussy.\And here I thought we were friends.\I guess you don't, huh?\That hurts.\No, I...\Back then...\The two of us are friends. response:	We're just acquaintances.
context: What the heck? You're way too fussy.\And here I thought we were friends.\I guess you don't, huh?\That hurts.\No, I...\Back then...\The two of us are friends.\We're just acquaintances. response:	Did that hurt Miku, too?
context: And here I thought we were friends.\I guess you don't, huh?\That hurts.\No, I...\Back then...\The two of us are friends.\We're just acquaintances.\Did that hurt Miku, too? response:	Hello?
context: I guess you don't, huh?\That hurts.\No, I...\Back then...\The two of us are friends.\We're just acquaintances.\Did that hurt Miku, too?\Hello? response:	Yes, I'm sorry.
context: That hurts.\No, I...\Back then...\The two of us are friends.\We're just acquaintances.\Did that hurt Miku, too?\Hello?\Yes, I'm sorry. response:	We just ran into some trouble.
context: No, I...\Back then...\The two of us are friends.\We're just acquaintances.\Did that hurt Miku, too?\Hello?\Yes, I'm sorry.\We just ran into some trouble. response:	I assure you this won't happen during filming!
context: Back then...\The two of us are friends.\We're just acquaintances.\Did that hurt Miku, too?\Hello?\Yes, I'm sorry.\We just ran into some trouble.\I assure you this won't happen during filming! response:	Filming?
context: The two of us are friends.\We're just acquaintances.\Did that hurt Miku, too?\Hello?\Yes, I'm sorry.\We just ran into some trouble.\I assure you this won't happen during filming!\Filming? response:	Is your job...
context: We're just acquaintances.\Did that hurt Miku, too?\Hello?\Yes, I'm sorry.\We just ran into some trouble.\I assure you this won't happen during filming!\Filming?\Is your job... response:	That guy's actually a cameraman.
context: Did that hurt Miku, too?\Hello?\Yes, I'm sorry.\We just ran into some trouble.\I assure you this won't happen during filming!\Filming?\Is your job...\That guy's actually a cameraman. response:	I understand.
context: Hello?\Yes, I'm sorry.\We just ran into some trouble.\I assure you this won't happen during filming!\Filming?\Is your job...\That guy's actually a cameraman.\I understand. response:	I work with him.
context: Yes, I'm sorry.\We just ran into some trouble.\I assure you this won't happen during filming!\Filming?\Is your job...\That guy's actually a cameraman.\I understand.\I work with him. response:	As a camera assistant?
context: We just ran into some trouble.\I assure you this won't happen during filming!\Filming?\Is your job...\That guy's actually a cameraman.\I understand.\I work with him.\As a camera assistant? response:	Yeah.
context: I assure you this won't happen during filming!\Filming?\Is your job...\That guy's actually a cameraman.\I understand.\I work with him.\As a camera assistant?\Yeah. response:	I try to come up with ways to make a better shot.
context: Filming?\Is your job...\That guy's actually a cameraman.\I understand.\I work with him.\As a camera assistant?\Yeah.\I try to come up with ways to make a better shot. response:	It's what I love doing more than anything right now.
context: Is your job...\That guy's actually a cameraman.\I understand.\I work with him.\As a camera assistant?\Yeah.\I try to come up with ways to make a better shot.\It's what I love doing more than anything right now. response:	Do you really have time for that?
context: That guy's actually a cameraman.\I understand.\I work with him.\As a camera assistant?\Yeah.\I try to come up with ways to make a better shot.\It's what I love doing more than anything right now.\Do you really have time for that? response:	If you girls don't focus on studying, you might not even make it to college.
context: I understand.\I work with him.\As a camera assistant?\Yeah.\I try to come up with ways to make a better shot.\It's what I love doing more than anything right now.\Do you really have time for that?\If you girls don't focus on studying, you might not even make it to college. response:	Why do you study, Futaro-kun?
context: I work with him.\As a camera assistant?\Yeah.\I try to come up with ways to make a better shot.\It's what I love doing more than anything right now.\Do you really have time for that?\If you girls don't focus on studying, you might not even make it to college.\Why do you study, Futaro-kun? response:	Why?
context: As a camera assistant?\Yeah.\I try to come up with ways to make a better shot.\It's what I love doing more than anything right now.\Do you really have time for that?\If you girls don't focus on studying, you might not even make it to college.\Why do you study, Futaro-kun?\Why? response:	Well...
context: Yeah.\I try to come up with ways to make a better shot.\It's what I love doing more than anything right now.\Do you really have time for that?\If you girls don't focus on studying, you might not even make it to college.\Why do you study, Futaro-kun?\Why?\Well... response:	Ichika-chan!
context: I try to come up with ways to make a better shot.\It's what I love doing more than anything right now.\Do you really have time for that?\If you girls don't focus on studying, you might not even make it to college.\Why do you study, Futaro-kun?\Why?\Well...\Ichika-chan! response:	Shoot!
context: It's what I love doing more than anything right now.\Do you really have time for that?\If you girls don't focus on studying, you might not even make it to college.\Why do you study, Futaro-kun?\Why?\Well...\Ichika-chan!\Shoot! response:	Found you!
context: Do you really have time for that?\If you girls don't focus on studying, you might not even make it to college.\Why do you study, Futaro-kun?\Why?\Well...\Ichika-chan!\Shoot!\Found you! response:	What are you doing here?
context: If you girls don't focus on studying, you might not even make it to college.\Why do you study, Futaro-kun?\Why?\Well...\Ichika-chan!\Shoot!\Found you!\What are you doing here? response:	Come on!
context: Why do you study, Futaro-kun?\Why?\Well...\Ichika-chan!\Shoot!\Found you!\What are you doing here?\Come on! response:	U-Um...
context: Why?\Well...\Ichika-chan!\Shoot!\Found you!\What are you doing here?\Come on!\U-Um... response:	Miku?!
context: Well...\Ichika-chan!\Shoot!\Found you!\What are you doing here?\Come on!\U-Um...\Miku?! response:	Did he get us mixed up?
context: Ichika-chan!\Shoot!\Found you!\What are you doing here?\Come on!\U-Um...\Miku?!\Did he get us mixed up? response:	Itsuki
context: Shoot!\Found you!\What are you doing here?\Come on!\U-Um...\Miku?!\Did he get us mixed up?\Itsuki response:	Incoming Call
context: Found you!\What are you doing here?\Come on!\U-Um...\Miku?!\Did he get us mixed up?\Itsuki\Incoming Call response:	Itsuki? Where are you?
context: What are you doing here?\Come on!\U-Um...\Miku?!\Did he get us mixed up?\Itsuki\Incoming Call\Itsuki? Where are you? response:	I don't know.
context: Come on!\U-Um...\Miku?!\Did he get us mixed up?\Itsuki\Incoming Call\Itsuki? Where are you?\I don't know. response:	I've gotten lost.
context: U-Um...\Miku?!\Did he get us mixed up?\Itsuki\Incoming Call\Itsuki? Where are you?\I don't know.\I've gotten lost. response:	I don't think I can join you for the fireworks.
context: Miku?!\Did he get us mixed up?\Itsuki\Incoming Call\Itsuki? Where are you?\I don't know.\I've gotten lost.\I don't think I can join you for the fireworks. response:	Don't give me that wimpy talk.
context: Did he get us mixed up?\Itsuki\Incoming Call\Itsuki? Where are you?\I don't know.\I've gotten lost.\I don't think I can join you for the fireworks.\Don't give me that wimpy talk. response:	Listen, I'm going to...
context: Itsuki\Incoming Call\Itsuki? Where are you?\I don't know.\I've gotten lost.\I don't think I can join you for the fireworks.\Don't give me that wimpy talk.\Listen, I'm going to... response:	I'm not giving up.
context: Incoming Call\Itsuki? Where are you?\I don't know.\I've gotten lost.\I don't think I can join you for the fireworks.\Don't give me that wimpy talk.\Listen, I'm going to...\I'm not giving up. response:	The five of us are going to watch the fireworks together!
context: Itsuki? Where are you?\I don't know.\I've gotten lost.\I don't think I can join you for the fireworks.\Don't give me that wimpy talk.\Listen, I'm going to...\I'm not giving up.\The five of us are going to watch the fireworks together! response:	There.
context: I don't know.\I've gotten lost.\I don't think I can join you for the fireworks.\Don't give me that wimpy talk.\Listen, I'm going to...\I'm not giving up.\The five of us are going to watch the fireworks together!\There. response:	They're over there.
context: I've gotten lost.\I don't think I can join you for the fireworks.\Don't give me that wimpy talk.\Listen, I'm going to...\I'm not giving up.\The five of us are going to watch the fireworks together!\There.\They're over there. response:	Have you called her?
context: I don't think I can join you for the fireworks.\Don't give me that wimpy talk.\Listen, I'm going to...\I'm not giving up.\The five of us are going to watch the fireworks together!\There.\They're over there.\Have you called her? response:	I can't get through.
context: Don't give me that wimpy talk.\Listen, I'm going to...\I'm not giving up.\The five of us are going to watch the fireworks together!\There.\They're over there.\Have you called her?\I can't get through. response:	Why did you sneak out of work like that?
context: Listen, I'm going to...\I'm not giving up.\The five of us are going to watch the fireworks together!\There.\They're over there.\Have you called her?\I can't get through.\Why did you sneak out of work like that? response:	I don't want to tell you!
context: I'm not giving up.\The five of us are going to watch the fireworks together!\There.\They're over there.\Have you called her?\I can't get through.\Why did you sneak out of work like that?\I don't want to tell you! response:	It seems we aren't even friends, anyway.
context: The five of us are going to watch the fireworks together!\There.\They're over there.\Have you called her?\I can't get through.\Why did you sneak out of work like that?\I don't want to tell you!\It seems we aren't even friends, anyway. response:	I know I said that, but...
context: There.\They're over there.\Have you called her?\I can't get through.\Why did you sneak out of work like that?\I don't want to tell you!\It seems we aren't even friends, anyway.\I know I said that, but... response:	Why do I even bother to ask?
context: They're over there.\Have you called her?\I can't get through.\Why did you sneak out of work like that?\I don't want to tell you!\It seems we aren't even friends, anyway.\I know I said that, but...\Why do I even bother to ask? response:	It doesn't matter to me what they do.
context: Have you called her?\I can't get through.\Why did you sneak out of work like that?\I don't want to tell you!\It seems we aren't even friends, anyway.\I know I said that, but...\Why do I even bother to ask?\It doesn't matter to me what they do. response:	It doesn't matter!
context: I can't get through.\Why did you sneak out of work like that?\I don't want to tell you!\It seems we aren't even friends, anyway.\I know I said that, but...\Why do I even bother to ask?\It doesn't matter to me what they do.\It doesn't matter! response:	What's your relationship with Ichika-chan?
context: Why did you sneak out of work like that?\I don't want to tell you!\It seems we aren't even friends, anyway.\I know I said that, but...\Why do I even bother to ask?\It doesn't matter to me what they do.\It doesn't matter!\What's your relationship with Ichika-chan? response:	It's nothing.
context: I don't want to tell you!\It seems we aren't even friends, anyway.\I know I said that, but...\Why do I even bother to ask?\It doesn't matter to me what they do.\It doesn't matter!\What's your relationship with Ichika-chan?\It's nothing. response:	You don't need to ask me.
context: It seems we aren't even friends, anyway.\I know I said that, but...\Why do I even bother to ask?\It doesn't matter to me what they do.\It doesn't matter!\What's your relationship with Ichika-chan?\It's nothing.\You don't need to ask me. response:	Futaro-kun?
context: I know I said that, but...\Why do I even bother to ask?\It doesn't matter to me what they do.\It doesn't matter!\What's your relationship with Ichika-chan?\It's nothing.\You don't need to ask me.\Futaro-kun? response:	You already have the answer to that question.
context: Why do I even bother to ask?\It doesn't matter to me what they do.\It doesn't matter!\What's your relationship with Ichika-chan?\It's nothing.\You don't need to ask me.\Futaro-kun?\You already have the answer to that question. response:	Um...
context: It doesn't matter to me what they do.\It doesn't matter!\What's your relationship with Ichika-chan?\It's nothing.\You don't need to ask me.\Futaro-kun?\You already have the answer to that question.\Um... response:	I'm not Ichika.
context: It doesn't matter!\What's your relationship with Ichika-chan?\It's nothing.\You don't need to ask me.\Futaro-kun?\You already have the answer to that question.\Um...\I'm not Ichika. response:	You're that guy from earlier!
context: What's your relationship with Ichika-chan?\It's nothing.\You don't need to ask me.\Futaro-kun?\You already have the answer to that question.\Um...\I'm not Ichika.\You're that guy from earlier! response:	What do you want?!
context: It's nothing.\You don't need to ask me.\Futaro-kun?\You already have the answer to that question.\Um...\I'm not Ichika.\You're that guy from earlier!\What do you want?! response:	Who are you to her?!
context: You don't need to ask me.\Futaro-kun?\You already have the answer to that question.\Um...\I'm not Ichika.\You're that guy from earlier!\What do you want?!\Who are you to her?! response:	I'm...
context: Futaro-kun?\You already have the answer to that question.\Um...\I'm not Ichika.\You're that guy from earlier!\What do you want?!\Who are you to her?!\I'm... response:	I can't say what we have is a friendship,
context: You already have the answer to that question.\Um...\I'm not Ichika.\You're that guy from earlier!\What do you want?!\Who are you to her?!\I'm...\I can't say what we have is a friendship, response:	but the word I blurted out that day sounds the closest.
context: Um...\I'm not Ichika.\You're that guy from earlier!\What do you want?!\Who are you to her?!\I'm...\I can't say what we have is a friendship,\but the word I blurted out that day sounds the closest. response:	I'm her...
context: I'm not Ichika.\You're that guy from earlier!\What do you want?!\Who are you to her?!\I'm...\I can't say what we have is a friendship,\but the word I blurted out that day sounds the closest.\I'm her... response:	I'm their...
context: You're that guy from earlier!\What do you want?!\Who are you to her?!\I'm...\I can't say what we have is a friendship,\but the word I blurted out that day sounds the closest.\I'm her...\I'm their... response:	partner.
context: What do you want?!\Who are you to her?!\I'm...\I can't say what we have is a friendship,\but the word I blurted out that day sounds the closest.\I'm her...\I'm their...\partner. response:	I want them back.
context: Who are you to her?!\I'm...\I can't say what we have is a friendship,\but the word I blurted out that day sounds the closest.\I'm her...\I'm their...\partner.\I want them back. response:	What on earth are you talking about?!
context: I'm...\I can't say what we have is a friendship,\but the word I blurted out that day sounds the closest.\I'm her...\I'm their...\partner.\I want them back.\What on earth are you talking about?! response:	Take a good look. This isn't Ichika.
context: I can't say what we have is a friendship,\but the word I blurted out that day sounds the closest.\I'm her...\I'm their...\partner.\I want them back.\What on earth are you talking about?!\Take a good look. This isn't Ichika. response:	Um...
context: but the word I blurted out that day sounds the closest.\I'm her...\I'm their...\partner.\I want them back.\What on earth are you talking about?!\Take a good look. This isn't Ichika.\Um... response:	I'd never confuse her for anyone else.
context: I'm her...\I'm their...\partner.\I want them back.\What on earth are you talking about?!\Take a good look. This isn't Ichika.\Um...\I'd never confuse her for anyone else. response:	She's our precious young actress.
context: I'm their...\partner.\I want them back.\What on earth are you talking about?!\Take a good look. This isn't Ichika.\Um...\I'd never confuse her for anyone else.\She's our precious young actress. response:	Let go of her!
context: partner.\I want them back.\What on earth are you talking about?!\Take a good look. This isn't Ichika.\Um...\I'd never confuse her for anyone else.\She's our precious young actress.\Let go of her! response:	Two Ichika-chans?!
context: I want them back.\What on earth are you talking about?!\Take a good look. This isn't Ichika.\Um...\I'd never confuse her for anyone else.\She's our precious young actress.\Let go of her!\Two Ichika-chans?! response:	Young actress?
context: What on earth are you talking about?!\Take a good look. This isn't Ichika.\Um...\I'd never confuse her for anyone else.\She's our precious young actress.\Let go of her!\Two Ichika-chans?!\Young actress? response:	That's the film work you do?
context: Take a good look. This isn't Ichika.\Um...\I'd never confuse her for anyone else.\She's our precious young actress.\Let go of her!\Two Ichika-chans?!\Young actress?\That's the film work you do? response:	Yotsuba-san, the fireworks are going to end soon.
context: Um...\I'd never confuse her for anyone else.\She's our precious young actress.\Let go of her!\Two Ichika-chans?!\Young actress?\That's the film work you do?\Yotsuba-san, the fireworks are going to end soon. response:	Don't worry.
context: I'd never confuse her for anyone else.\She's our precious young actress.\Let go of her!\Two Ichika-chans?!\Young actress?\That's the film work you do?\Yotsuba-san, the fireworks are going to end soon.\Don't worry. response:	The five of us have different tastes in clothes, food, colors, and stuff,
context: She's our precious young actress.\Let go of her!\Two Ichika-chans?!\Young actress?\That's the film work you do?\Yotsuba-san, the fireworks are going to end soon.\Don't worry.\The five of us have different tastes in clothes, food, colors, and stuff, response:	but we've always been one at heart in the end.
context: Let go of her!\Two Ichika-chans?!\Young actress?\That's the film work you do?\Yotsuba-san, the fireworks are going to end soon.\Don't worry.\The five of us have different tastes in clothes, food, colors, and stuff,\but we've always been one at heart in the end. response:	So I'm sure we'll watch fireworks together.
context: Two Ichika-chans?!\Young actress?\That's the film work you do?\Yotsuba-san, the fireworks are going to end soon.\Don't worry.\The five of us have different tastes in clothes, food, colors, and stuff,\but we've always been one at heart in the end.\So I'm sure we'll watch fireworks together. response:	Okay.
context: Young actress?\That's the film work you do?\Yotsuba-san, the fireworks are going to end soon.\Don't worry.\The five of us have different tastes in clothes, food, colors, and stuff,\but we've always been one at heart in the end.\So I'm sure we'll watch fireworks together.\Okay. response:	Ichika...
context: That's the film work you do?\Yotsuba-san, the fireworks are going to end soon.\Don't worry.\The five of us have different tastes in clothes, food, colors, and stuff,\but we've always been one at heart in the end.\So I'm sure we'll watch fireworks together.\Okay.\Ichika... response:	Ichika-chan...
context: Yotsuba-san, the fireworks are going to end soon.\Don't worry.\The five of us have different tastes in clothes, food, colors, and stuff,\but we've always been one at heart in the end.\So I'm sure we'll watch fireworks together.\Okay.\Ichika...\Ichika-chan... response:	An actress?
context: Don't worry.\The five of us have different tastes in clothes, food, colors, and stuff,\but we've always been one at heart in the end.\So I'm sure we'll watch fireworks together.\Okay.\Ichika...\Ichika-chan...\An actress? response:	A quintuplet?!
context: The five of us have different tastes in clothes, food, colors, and stuff,\but we've always been one at heart in the end.\So I'm sure we'll watch fireworks together.\Okay.\Ichika...\Ichika-chan...\An actress?\A quintuplet?! response:	Seriously?
context: but we've always been one at heart in the end.\So I'm sure we'll watch fireworks together.\Okay.\Ichika...\Ichika-chan...\An actress?\A quintuplet?!\Seriously? response:	Seriously?
context: So I'm sure we'll watch fireworks together.\Okay.\Ichika...\Ichika-chan...\An actress?\A quintuplet?!\Seriously?\Seriously? response:	O-Oh right, we have to get to work.
