context: The festival was wonderful! response:	Say, Nishimi-san, I'd love to hear you play the piano again!
context: I'm with the photography club! Let me get a shot!\Stand next to each other, you two!\This is the birth of the legendary duo of East High!\Could you stand closer to each other?\Like this?\Yes!\Hey, when did you two become friends?\Where do you practice? response:	How do you play in such perfect unison?
context: Stand next to each other, you two!\This is the birth of the legendary duo of East High!\Could you stand closer to each other?\Like this?\Yes!\Hey, when did you two become friends?\Where do you practice?\How do you play in such perfect unison? response:	Sen... Let's get out of here. When I count to five, run left.
context: This is the birth of the legendary duo of East High!\Could you stand closer to each other?\Like this?\Yes!\Hey, when did you two become friends?\Where do you practice?\How do you play in such perfect unison?\Sen... Let's get out of here. When I count to five, run left. response:	You don't have to hide anything from us!
context: Could you stand closer to each other?\Like this?\Yes!\Hey, when did you two become friends?\Where do you practice?\How do you play in such perfect unison?\Sen... Let's get out of here. When I count to five, run left.\You don't have to hide anything from us! response:	Tell us!
context: Like this?\Yes!\Hey, when did you two become friends?\Where do you practice?\How do you play in such perfect unison?\Sen... Let's get out of here. When I count to five, run left.\You don't have to hide anything from us!\Tell us! response:	They're escaping again!
context: Yes!\Hey, when did you two become friends?\Where do you practice?\How do you play in such perfect unison?\Sen... Let's get out of here. When I count to five, run left.\You don't have to hide anything from us!\Tell us!\They're escaping again! response:	Ri-chan!
context: Hey, when did you two become friends?\Where do you practice?\How do you play in such perfect unison?\Sen... Let's get out of here. When I count to five, run left.\You don't have to hide anything from us!\Tell us!\They're escaping again!\Ri-chan! response:	Aw, come on! Where are you going?!
context: Where do you practice?\How do you play in such perfect unison?\Sen... Let's get out of here. When I count to five, run left.\You don't have to hide anything from us!\Tell us!\They're escaping again!\Ri-chan!\Aw, come on! Where are you going?! response:	Shit. The girls were supposed to be chasing after us...
context: How do you play in such perfect unison?\Sen... Let's get out of here. When I count to five, run left.\You don't have to hide anything from us!\Tell us!\They're escaping again!\Ri-chan!\Aw, come on! Where are you going?!\Shit. The girls were supposed to be chasing after us... response:	Right now, those guys are just like the Beatles!
context: Sen... Let's get out of here. When I count to five, run left.\You don't have to hide anything from us!\Tell us!\They're escaping again!\Ri-chan!\Aw, come on! Where are you going?!\Shit. The girls were supposed to be chasing after us...\Right now, those guys are just like the Beatles! response:	I've learned from them.
context: You don't have to hide anything from us!\Tell us!\They're escaping again!\Ri-chan!\Aw, come on! Where are you going?!\Shit. The girls were supposed to be chasing after us...\Right now, those guys are just like the Beatles!\I've learned from them. response:	Forget about next year's festival...
context: Tell us!\They're escaping again!\Ri-chan!\Aw, come on! Where are you going?!\Shit. The girls were supposed to be chasing after us...\Right now, those guys are just like the Beatles!\I've learned from them.\Forget about next year's festival... response:	I'm looking even further ahead.
context: They're escaping again!\Ri-chan!\Aw, come on! Where are you going?!\Shit. The girls were supposed to be chasing after us...\Right now, those guys are just like the Beatles!\I've learned from them.\Forget about next year's festival...\I'm looking even further ahead. response:	I'll go so far that they'll never be able to catch up.
context: Ri-chan!\Aw, come on! Where are you going?!\Shit. The girls were supposed to be chasing after us...\Right now, those guys are just like the Beatles!\I've learned from them.\Forget about next year's festival...\I'm looking even further ahead.\I'll go so far that they'll never be able to catch up. response:	What should I do?
context: Aw, come on! Where are you going?!\Shit. The girls were supposed to be chasing after us...\Right now, those guys are just like the Beatles!\I've learned from them.\Forget about next year's festival...\I'm looking even further ahead.\I'll go so far that they'll never be able to catch up.\What should I do? response:	I forget what I was like before I met you
context: Shit. The girls were supposed to be chasing after us...\Right now, those guys are just like the Beatles!\I've learned from them.\Forget about next year's festival...\I'm looking even further ahead.\I'll go so far that they'll never be able to catch up.\What should I do?\I forget what I was like before I met you response:	The wind caresses my cheek
context: Right now, those guys are just like the Beatles!\I've learned from them.\Forget about next year's festival...\I'm looking even further ahead.\I'll go so far that they'll never be able to catch up.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek response:	JLullaby of BirdlandJ
context: I've learned from them.\Forget about next year's festival...\I'm looking even further ahead.\I'll go so far that they'll never be able to catch up.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ response:	Kick my heels going down the slope
context: Forget about next year's festival...\I'm looking even further ahead.\I'll go so far that they'll never be able to catch up.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope response:	As my worthless shadow grows
context: I'm looking even further ahead.\I'll go so far that they'll never be able to catch up.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows response:	It's like an endless summer vacation
context: I'll go so far that they'll never be able to catch up.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation response:	Feels like sneakin' into the swimming pool
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool response:	Hey, let's swim with our clothes on, jump in!!
context: I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!! response:	A shocking seductive spiral
context: The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral response:	This beat that pierces my heart is strange
context: JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange response:	(It flares up, then vanishes)
context: Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes) response:	Every miserable day is swell,
context: As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell, response:	dress it up
context: It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up response:	A high-speed swing surrounds us
context: Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us response:	(What's this dance called? I can't stop)
context: Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop) response:	Don't you go, it's twined around my ears
context: A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears response:	and won't leave me ever again
context: This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again response:	This melody...
context: (It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody... response:	Pops! Sorry I haven't been coming recently...
context: Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Pops! Sorry I haven't been coming recently... response:	Huh? He's not here. Maybe in the basement?
context: dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Pops! Sorry I haven't been coming recently...\Huh? He's not here. Maybe in the basement? response:	Sen... What's wrong?
context: A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Pops! Sorry I haven't been coming recently...\Huh? He's not here. Maybe in the basement?\Sen... What's wrong? response:	Richie... Would you check to see if Brother Jun's down there?
context: (What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Pops! Sorry I haven't been coming recently...\Huh? He's not here. Maybe in the basement?\Sen... What's wrong?\Richie... Would you check to see if Brother Jun's down there? response:	What are you talking about?
context: Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Pops! Sorry I haven't been coming recently...\Huh? He's not here. Maybe in the basement?\Sen... What's wrong?\Richie... Would you check to see if Brother Jun's down there?\What are you talking about? response:	It's not summer vacation, so why would Brother Jun...
context: and won't leave me ever again\This melody...\Pops! Sorry I haven't been coming recently...\Huh? He's not here. Maybe in the basement?\Sen... What's wrong?\Richie... Would you check to see if Brother Jun's down there?\What are you talking about?\It's not summer vacation, so why would Brother Jun... response:	Oh, a lot's happened while you boys weren't around.
context: This melody...\Pops! Sorry I haven't been coming recently...\Huh? He's not here. Maybe in the basement?\Sen... What's wrong?\Richie... Would you check to see if Brother Jun's down there?\What are you talking about?\It's not summer vacation, so why would Brother Jun...\Oh, a lot's happened while you boys weren't around. response:	But he's not here now. He left last week.
context: Pops! Sorry I haven't been coming recently...\Huh? He's not here. Maybe in the basement?\Sen... What's wrong?\Richie... Would you check to see if Brother Jun's down there?\What are you talking about?\It's not summer vacation, so why would Brother Jun...\Oh, a lot's happened while you boys weren't around.\But he's not here now. He left last week. response:	Anyway, I haven't seen you in a long time.
context: Huh? He's not here. Maybe in the basement?\Sen... What's wrong?\Richie... Would you check to see if Brother Jun's down there?\What are you talking about?\It's not summer vacation, so why would Brother Jun...\Oh, a lot's happened while you boys weren't around.\But he's not here now. He left last week.\Anyway, I haven't seen you in a long time. response:	I'm sorry...
context: Sen... What's wrong?\Richie... Would you check to see if Brother Jun's down there?\What are you talking about?\It's not summer vacation, so why would Brother Jun...\Oh, a lot's happened while you boys weren't around.\But he's not here now. He left last week.\Anyway, I haven't seen you in a long time.\I'm sorry... response:	I've been waiting for you, Richie-rich.
context: Richie... Would you check to see if Brother Jun's down there?\What are you talking about?\It's not summer vacation, so why would Brother Jun...\Oh, a lot's happened while you boys weren't around.\But he's not here now. He left last week.\Anyway, I haven't seen you in a long time.\I'm sorry...\I've been waiting for you, Richie-rich. response:	My piano trio is finally together again!
context: What are you talking about?\It's not summer vacation, so why would Brother Jun...\Oh, a lot's happened while you boys weren't around.\But he's not here now. He left last week.\Anyway, I haven't seen you in a long time.\I'm sorry...\I've been waiting for you, Richie-rich.\My piano trio is finally together again! response:	Junichi was disowned by his father right after he came back this summer.
context: It's not summer vacation, so why would Brother Jun...\Oh, a lot's happened while you boys weren't around.\But he's not here now. He left last week.\Anyway, I haven't seen you in a long time.\I'm sorry...\I've been waiting for you, Richie-rich.\My piano trio is finally together again!\Junichi was disowned by his father right after he came back this summer. response:	Disowned?
context: Oh, a lot's happened while you boys weren't around.\But he's not here now. He left last week.\Anyway, I haven't seen you in a long time.\I'm sorry...\I've been waiting for you, Richie-rich.\My piano trio is finally together again!\Junichi was disowned by his father right after he came back this summer.\Disowned? response:	Well, first he went against his parents' wishes by going to college in Tokyo,
context: But he's not here now. He left last week.\Anyway, I haven't seen you in a long time.\I'm sorry...\I've been waiting for you, Richie-rich.\My piano trio is finally together again!\Junichi was disowned by his father right after he came back this summer.\Disowned?\Well, first he went against his parents' wishes by going to college in Tokyo, response:	but then stopped going to school,
context: Anyway, I haven't seen you in a long time.\I'm sorry...\I've been waiting for you, Richie-rich.\My piano trio is finally together again!\Junichi was disowned by his father right after he came back this summer.\Disowned?\Well, first he went against his parents' wishes by going to college in Tokyo,\but then stopped going to school, response:	instead becoming wrapped up in political activism.
context: I'm sorry...\I've been waiting for you, Richie-rich.\My piano trio is finally together again!\Junichi was disowned by his father right after he came back this summer.\Disowned?\Well, first he went against his parents' wishes by going to college in Tokyo,\but then stopped going to school,\instead becoming wrapped up in political activism. response:	When the prodigal son wandered back home,
context: I've been waiting for you, Richie-rich.\My piano trio is finally together again!\Junichi was disowned by his father right after he came back this summer.\Disowned?\Well, first he went against his parents' wishes by going to college in Tokyo,\but then stopped going to school,\instead becoming wrapped up in political activism.\When the prodigal son wandered back home, response:	it's no wonder his dad was furious.
context: My piano trio is finally together again!\Junichi was disowned by his father right after he came back this summer.\Disowned?\Well, first he went against his parents' wishes by going to college in Tokyo,\but then stopped going to school,\instead becoming wrapped up in political activism.\When the prodigal son wandered back home,\it's no wonder his dad was furious. response:	Junichi wasn't allowed to set foot in his family's house...
context: Junichi was disowned by his father right after he came back this summer.\Disowned?\Well, first he went against his parents' wishes by going to college in Tokyo,\but then stopped going to school,\instead becoming wrapped up in political activism.\When the prodigal son wandered back home,\it's no wonder his dad was furious.\Junichi wasn't allowed to set foot in his family's house... response:	so I let him take refuge here.
context: Disowned?\Well, first he went against his parents' wishes by going to college in Tokyo,\but then stopped going to school,\instead becoming wrapped up in political activism.\When the prodigal son wandered back home,\it's no wonder his dad was furious.\Junichi wasn't allowed to set foot in his family's house...\so I let him take refuge here. response:	Pops...
context: Well, first he went against his parents' wishes by going to college in Tokyo,\but then stopped going to school,\instead becoming wrapped up in political activism.\When the prodigal son wandered back home,\it's no wonder his dad was furious.\Junichi wasn't allowed to set foot in his family's house...\so I let him take refuge here.\Pops... response:	Is it my fault Brother Jun left here?
context: but then stopped going to school,\instead becoming wrapped up in political activism.\When the prodigal son wandered back home,\it's no wonder his dad was furious.\Junichi wasn't allowed to set foot in his family's house...\so I let him take refuge here.\Pops...\Is it my fault Brother Jun left here? response:	No, no. He happened to find a cheap room to rent.
context: instead becoming wrapped up in political activism.\When the prodigal son wandered back home,\it's no wonder his dad was furious.\Junichi wasn't allowed to set foot in his family's house...\so I let him take refuge here.\Pops...\Is it my fault Brother Jun left here?\No, no. He happened to find a cheap room to rent. response:	It's not your fault.
context: When the prodigal son wandered back home,\it's no wonder his dad was furious.\Junichi wasn't allowed to set foot in his family's house...\so I let him take refuge here.\Pops...\Is it my fault Brother Jun left here?\No, no. He happened to find a cheap room to rent.\It's not your fault. response:	But I...
context: it's no wonder his dad was furious.\Junichi wasn't allowed to set foot in his family's house...\so I let him take refuge here.\Pops...\Is it my fault Brother Jun left here?\No, no. He happened to find a cheap room to rent.\It's not your fault.\But I... response:	Sentaro!
context: Junichi wasn't allowed to set foot in his family's house...\so I let him take refuge here.\Pops...\Is it my fault Brother Jun left here?\No, no. He happened to find a cheap room to rent.\It's not your fault.\But I...\Sentaro! response:	Do not mope your life away!
context: so I let him take refuge here.\Pops...\Is it my fault Brother Jun left here?\No, no. He happened to find a cheap room to rent.\It's not your fault.\But I...\Sentaro!\Do not mope your life away! response:	Playing one good session will drive away those blues... right?
context: Pops...\Is it my fault Brother Jun left here?\No, no. He happened to find a cheap room to rent.\It's not your fault.\But I...\Sentaro!\Do not mope your life away!\Playing one good session will drive away those blues... right? response:	N-Never mind! Forget I did that!
context: Is it my fault Brother Jun left here?\No, no. He happened to find a cheap room to rent.\It's not your fault.\But I...\Sentaro!\Do not mope your life away!\Playing one good session will drive away those blues... right?\N-Never mind! Forget I did that! response:	I get it, Mr. Bill Evans, I get it!
context: No, no. He happened to find a cheap room to rent.\It's not your fault.\But I...\Sentaro!\Do not mope your life away!\Playing one good session will drive away those blues... right?\N-Never mind! Forget I did that!\I get it, Mr. Bill Evans, I get it! response:	Alright! What do you say we play a session so I can work off this gloominess?!
context: It's not your fault.\But I...\Sentaro!\Do not mope your life away!\Playing one good session will drive away those blues... right?\N-Never mind! Forget I did that!\I get it, Mr. Bill Evans, I get it!\Alright! What do you say we play a session so I can work off this gloominess?! response:	Junichi-san?
context: But I...\Sentaro!\Do not mope your life away!\Playing one good session will drive away those blues... right?\N-Never mind! Forget I did that!\I get it, Mr. Bill Evans, I get it!\Alright! What do you say we play a session so I can work off this gloominess?!\Junichi-san? response:	What are you doing here?
context: Sentaro!\Do not mope your life away!\Playing one good session will drive away those blues... right?\N-Never mind! Forget I did that!\I get it, Mr. Bill Evans, I get it!\Alright! What do you say we play a session so I can work off this gloominess?!\Junichi-san?\What are you doing here? response:	Wait!
context: Do not mope your life away!\Playing one good session will drive away those blues... right?\N-Never mind! Forget I did that!\I get it, Mr. Bill Evans, I get it!\Alright! What do you say we play a session so I can work off this gloominess?!\Junichi-san?\What are you doing here?\Wait! response:	Don't ignore me!
context: Playing one good session will drive away those blues... right?\N-Never mind! Forget I did that!\I get it, Mr. Bill Evans, I get it!\Alright! What do you say we play a session so I can work off this gloominess?!\Junichi-san?\What are you doing here?\Wait!\Don't ignore me! response:	What made him change this much?
context: N-Never mind! Forget I did that!\I get it, Mr. Bill Evans, I get it!\Alright! What do you say we play a session so I can work off this gloominess?!\Junichi-san?\What are you doing here?\Wait!\Don't ignore me!\What made him change this much? response:	That one winter day, in the basement... What was that?
context: I get it, Mr. Bill Evans, I get it!\Alright! What do you say we play a session so I can work off this gloominess?!\Junichi-san?\What are you doing here?\Wait!\Don't ignore me!\What made him change this much?\That one winter day, in the basement... What was that? response:	Did he just do it on a whim?
context: Alright! What do you say we play a session so I can work off this gloominess?!\Junichi-san?\What are you doing here?\Wait!\Don't ignore me!\What made him change this much?\That one winter day, in the basement... What was that?\Did he just do it on a whim? response:	Even if I knock, he may not open the door...
context: Junichi-san?\What are you doing here?\Wait!\Don't ignore me!\What made him change this much?\That one winter day, in the basement... What was that?\Did he just do it on a whim?\Even if I knock, he may not open the door... response:	Or would he look at me again with those vacant eyes?
context: What are you doing here?\Wait!\Don't ignore me!\What made him change this much?\That one winter day, in the basement... What was that?\Did he just do it on a whim?\Even if I knock, he may not open the door...\Or would he look at me again with those vacant eyes? response:	Sorry, but that doesn't suit you.
context: Wait!\Don't ignore me!\What made him change this much?\That one winter day, in the basement... What was that?\Did he just do it on a whim?\Even if I knock, he may not open the door...\Or would he look at me again with those vacant eyes?\Sorry, but that doesn't suit you. response:	You win. That angry face of yours is my Achilles heel.
context: Don't ignore me!\What made him change this much?\That one winter day, in the basement... What was that?\Did he just do it on a whim?\Even if I knock, he may not open the door...\Or would he look at me again with those vacant eyes?\Sorry, but that doesn't suit you.\You win. That angry face of yours is my Achilles heel. response:	You had that same expression when we first met.
context: What made him change this much?\That one winter day, in the basement... What was that?\Did he just do it on a whim?\Even if I knock, he may not open the door...\Or would he look at me again with those vacant eyes?\Sorry, but that doesn't suit you.\You win. That angry face of yours is my Achilles heel.\You had that same expression when we first met. response:	I remember it well.
context: That one winter day, in the basement... What was that?\Did he just do it on a whim?\Even if I knock, he may not open the door...\Or would he look at me again with those vacant eyes?\Sorry, but that doesn't suit you.\You win. That angry face of yours is my Achilles heel.\You had that same expression when we first met.\I remember it well. response:	What are you gonna do? Just go home? Or...
context: Did he just do it on a whim?\Even if I knock, he may not open the door...\Or would he look at me again with those vacant eyes?\Sorry, but that doesn't suit you.\You win. That angry face of yours is my Achilles heel.\You had that same expression when we first met.\I remember it well.\What are you gonna do? Just go home? Or... response:	Mukae-senpai!
context: Even if I knock, he may not open the door...\Or would he look at me again with those vacant eyes?\Sorry, but that doesn't suit you.\You win. That angry face of yours is my Achilles heel.\You had that same expression when we first met.\I remember it well.\What are you gonna do? Just go home? Or...\Mukae-senpai! response:	Excuse me... Would you give this to Nishimi-senpai?
context: Or would he look at me again with those vacant eyes?\Sorry, but that doesn't suit you.\You win. That angry face of yours is my Achilles heel.\You had that same expression when we first met.\I remember it well.\What are you gonna do? Just go home? Or...\Mukae-senpai!\Excuse me... Would you give this to Nishimi-senpai? response:	Um, wouldn't it be better if you gave it to him yourself...?
context: Sorry, but that doesn't suit you.\You win. That angry face of yours is my Achilles heel.\You had that same expression when we first met.\I remember it well.\What are you gonna do? Just go home? Or...\Mukae-senpai!\Excuse me... Would you give this to Nishimi-senpai?\Um, wouldn't it be better if you gave it to him yourself...? response:	Oh, I couldn't! I'd be too nervous! So, please!
context: You win. That angry face of yours is my Achilles heel.\You had that same expression when we first met.\I remember it well.\What are you gonna do? Just go home? Or...\Mukae-senpai!\Excuse me... Would you give this to Nishimi-senpai?\Um, wouldn't it be better if you gave it to him yourself...?\Oh, I couldn't! I'd be too nervous! So, please! response:	You did it!
context: You had that same expression when we first met.\I remember it well.\What are you gonna do? Just go home? Or...\Mukae-senpai!\Excuse me... Would you give this to Nishimi-senpai?\Um, wouldn't it be better if you gave it to him yourself...?\Oh, I couldn't! I'd be too nervous! So, please!\You did it! response:	For me...?
context: I remember it well.\What are you gonna do? Just go home? Or...\Mukae-senpai!\Excuse me... Would you give this to Nishimi-senpai?\Um, wouldn't it be better if you gave it to him yourself...?\Oh, I couldn't! I'd be too nervous! So, please!\You did it!\For me...? response:	It's been a while since the festival, but your popularity hasn't waned, Kaoru-san.
context: What are you gonna do? Just go home? Or...\Mukae-senpai!\Excuse me... Would you give this to Nishimi-senpai?\Um, wouldn't it be better if you gave it to him yourself...?\Oh, I couldn't! I'd be too nervous! So, please!\You did it!\For me...?\It's been a while since the festival, but your popularity hasn't waned, Kaoru-san. response:	Thanks.
context: Mukae-senpai!\Excuse me... Would you give this to Nishimi-senpai?\Um, wouldn't it be better if you gave it to him yourself...?\Oh, I couldn't! I'd be too nervous! So, please!\You did it!\For me...?\It's been a while since the festival, but your popularity hasn't waned, Kaoru-san.\Thanks. response:	What am I staring at?
context: Excuse me... Would you give this to Nishimi-senpai?\Um, wouldn't it be better if you gave it to him yourself...?\Oh, I couldn't! I'd be too nervous! So, please!\You did it!\For me...?\It's been a while since the festival, but your popularity hasn't waned, Kaoru-san.\Thanks.\What am I staring at? response:	What, am I jealous? It has nothing to do with me...
context: Um, wouldn't it be better if you gave it to him yourself...?\Oh, I couldn't! I'd be too nervous! So, please!\You did it!\For me...?\It's been a while since the festival, but your popularity hasn't waned, Kaoru-san.\Thanks.\What am I staring at?\What, am I jealous? It has nothing to do with me... response:	Ri-chan!
context: Oh, I couldn't! I'd be too nervous! So, please!\You did it!\For me...?\It's been a while since the festival, but your popularity hasn't waned, Kaoru-san.\Thanks.\What am I staring at?\What, am I jealous? It has nothing to do with me...\Ri-chan! response:	Hey, which scarf design do you think is better?
context: You did it!\For me...?\It's been a while since the festival, but your popularity hasn't waned, Kaoru-san.\Thanks.\What am I staring at?\What, am I jealous? It has nothing to do with me...\Ri-chan!\Hey, which scarf design do you think is better? response:	Actually, lately there's this guy I kind of like
context: For me...?\It's been a while since the festival, but your popularity hasn't waned, Kaoru-san.\Thanks.\What am I staring at?\What, am I jealous? It has nothing to do with me...\Ri-chan!\Hey, which scarf design do you think is better?\Actually, lately there's this guy I kind of like response:	and I'm thinking about making one for him...
context: It's been a while since the festival, but your popularity hasn't waned, Kaoru-san.\Thanks.\What am I staring at?\What, am I jealous? It has nothing to do with me...\Ri-chan!\Hey, which scarf design do you think is better?\Actually, lately there's this guy I kind of like\and I'm thinking about making one for him... response:	Who is it?
context: Thanks.\What am I staring at?\What, am I jealous? It has nothing to do with me...\Ri-chan!\Hey, which scarf design do you think is better?\Actually, lately there's this guy I kind of like\and I'm thinking about making one for him...\Who is it? response:	I can't say yet...
context: What am I staring at?\What, am I jealous? It has nothing to do with me...\Ri-chan!\Hey, which scarf design do you think is better?\Actually, lately there's this guy I kind of like\and I'm thinking about making one for him...\Who is it?\I can't say yet... response:	But how about you, Ri-chan? Isn't there someone that you wanna knit for?
context: What, am I jealous? It has nothing to do with me...\Ri-chan!\Hey, which scarf design do you think is better?\Actually, lately there's this guy I kind of like\and I'm thinking about making one for him...\Who is it?\I can't say yet...\But how about you, Ri-chan? Isn't there someone that you wanna knit for? response:	Come on, let's knit together!
context: Ri-chan!\Hey, which scarf design do you think is better?\Actually, lately there's this guy I kind of like\and I'm thinking about making one for him...\Who is it?\I can't say yet...\But how about you, Ri-chan? Isn't there someone that you wanna knit for?\Come on, let's knit together! response:	But I don't have anyone to give it to...
context: Hey, which scarf design do you think is better?\Actually, lately there's this guy I kind of like\and I'm thinking about making one for him...\Who is it?\I can't say yet...\But how about you, Ri-chan? Isn't there someone that you wanna knit for?\Come on, let's knit together!\But I don't have anyone to give it to... response:	Oh, be honest with yourself, Ri-chan.
context: Actually, lately there's this guy I kind of like\and I'm thinking about making one for him...\Who is it?\I can't say yet...\But how about you, Ri-chan? Isn't there someone that you wanna knit for?\Come on, let's knit together!\But I don't have anyone to give it to...\Oh, be honest with yourself, Ri-chan. response:	Just now, you were staring at a certain someone...
context: and I'm thinking about making one for him...\Who is it?\I can't say yet...\But how about you, Ri-chan? Isn't there someone that you wanna knit for?\Come on, let's knit together!\But I don't have anyone to give it to...\Oh, be honest with yourself, Ri-chan.\Just now, you were staring at a certain someone... response:	It's not what you think. Don't get the wrong idea...
context: Who is it?\I can't say yet...\But how about you, Ri-chan? Isn't there someone that you wanna knit for?\Come on, let's knit together!\But I don't have anyone to give it to...\Oh, be honest with yourself, Ri-chan.\Just now, you were staring at a certain someone...\It's not what you think. Don't get the wrong idea... response:	Yeah, yeah. Nishimi-san is just a friend, right?
context: I can't say yet...\But how about you, Ri-chan? Isn't there someone that you wanna knit for?\Come on, let's knit together!\But I don't have anyone to give it to...\Oh, be honest with yourself, Ri-chan.\Just now, you were staring at a certain someone...\It's not what you think. Don't get the wrong idea...\Yeah, yeah. Nishimi-san is just a friend, right? response:	Sorry! I'll be back!
