context: Chiffon Cake response:	Cheesecake
context: Cheesecake I know. But I wanted to read a little more of this book.\Cheesecake I want to be like you and Mama.\Cheesecake I see.\I see.\Will I be able to, if I read lots of books?\Yes, you will.\Then you just have to think about a lot of things and try them yourself.\Think? response:	Yes. Humans create what they imagine.
context: Cheesecake I want to be like you and Mama.\Cheesecake I see.\I see.\Will I be able to, if I read lots of books?\Yes, you will.\Then you just have to think about a lot of things and try them yourself.\Think?\Yes. Humans create what they imagine. response:	Imagine?
context: Cheesecake I see.\I see.\Will I be able to, if I read lots of books?\Yes, you will.\Then you just have to think about a lot of things and try them yourself.\Think?\Yes. Humans create what they imagine.\Imagine? response:	It means producing the things you dream about.
context: I see.\Will I be able to, if I read lots of books?\Yes, you will.\Then you just have to think about a lot of things and try them yourself.\Think?\Yes. Humans create what they imagine.\Imagine?\It means producing the things you dream about. response:	Food and science are the same.
context: Will I be able to, if I read lots of books?\Yes, you will.\Then you just have to think about a lot of things and try them yourself.\Think?\Yes. Humans create what they imagine.\Imagine?\It means producing the things you dream about.\Food and science are the same. response:	Papa...
context: Yes, you will.\Then you just have to think about a lot of things and try them yourself.\Think?\Yes. Humans create what they imagine.\Imagine?\It means producing the things you dream about.\Food and science are the same.\Papa... response:	Episode 1 Gilbert the Sage
context: Then you just have to think about a lot of things and try them yourself.\Think?\Yes. Humans create what they imagine.\Imagine?\It means producing the things you dream about.\Food and science are the same.\Papa...\Episode 1 Gilbert the Sage response:	It's so good!
context: Think?\Yes. Humans create what they imagine.\Imagine?\It means producing the things you dream about.\Food and science are the same.\Papa...\Episode 1 Gilbert the Sage\It's so good! response:	It's got ricotta cheese in it today, huh? It's so fluffy!
context: Yes. Humans create what they imagine.\Imagine?\It means producing the things you dream about.\Food and science are the same.\Papa...\Episode 1 Gilbert the Sage\It's so good!\It's got ricotta cheese in it today, huh? It's so fluffy! response:	You got it! Your palate is as impressive as ever, Mari.
context: Imagine?\It means producing the things you dream about.\Food and science are the same.\Papa...\Episode 1 Gilbert the Sage\It's so good!\It's got ricotta cheese in it today, huh? It's so fluffy!\You got it! Your palate is as impressive as ever, Mari. response:	Cake is so fluffy!
context: It means producing the things you dream about.\Food and science are the same.\Papa...\Episode 1 Gilbert the Sage\It's so good!\It's got ricotta cheese in it today, huh? It's so fluffy!\You got it! Your palate is as impressive as ever, Mari.\Cake is so fluffy! response:	Now, now, Rika.
context: Food and science are the same.\Papa...\Episode 1 Gilbert the Sage\It's so good!\It's got ricotta cheese in it today, huh? It's so fluffy!\You got it! Your palate is as impressive as ever, Mari.\Cake is so fluffy!\Now, now, Rika. response:	Being born a patissier's daughter makes me happy as a clam!
context: Papa...\Episode 1 Gilbert the Sage\It's so good!\It's got ricotta cheese in it today, huh? It's so fluffy!\You got it! Your palate is as impressive as ever, Mari.\Cake is so fluffy!\Now, now, Rika.\Being born a patissier's daughter makes me happy as a clam! response:	Happy as a clam!
context: Episode 1 Gilbert the Sage\It's so good!\It's got ricotta cheese in it today, huh? It's so fluffy!\You got it! Your palate is as impressive as ever, Mari.\Cake is so fluffy!\Now, now, Rika.\Being born a patissier's daughter makes me happy as a clam!\Happy as a clam! response:	I wish Papa could have some of this, too.
context: It's so good!\It's got ricotta cheese in it today, huh? It's so fluffy!\You got it! Your palate is as impressive as ever, Mari.\Cake is so fluffy!\Now, now, Rika.\Being born a patissier's daughter makes me happy as a clam!\Happy as a clam!\I wish Papa could have some of this, too. response:	He's like me. He gets so into his work, he forgets to eat.
context: It's got ricotta cheese in it today, huh? It's so fluffy!\You got it! Your palate is as impressive as ever, Mari.\Cake is so fluffy!\Now, now, Rika.\Being born a patissier's daughter makes me happy as a clam!\Happy as a clam!\I wish Papa could have some of this, too.\He's like me. He gets so into his work, he forgets to eat. response:	I wonder what he's off doing right now.
context: You got it! Your palate is as impressive as ever, Mari.\Cake is so fluffy!\Now, now, Rika.\Being born a patissier's daughter makes me happy as a clam!\Happy as a clam!\I wish Papa could have some of this, too.\He's like me. He gets so into his work, he forgets to eat.\I wonder what he's off doing right now. response:	Aren't you worried, Mama?
context: Cake is so fluffy!\Now, now, Rika.\Being born a patissier's daughter makes me happy as a clam!\Happy as a clam!\I wish Papa could have some of this, too.\He's like me. He gets so into his work, he forgets to eat.\I wonder what he's off doing right now.\Aren't you worried, Mama? response:	The day after our wedding, I lost contact with him for two weeks.
context: Now, now, Rika.\Being born a patissier's daughter makes me happy as a clam!\Happy as a clam!\I wish Papa could have some of this, too.\He's like me. He gets so into his work, he forgets to eat.\I wonder what he's off doing right now.\Aren't you worried, Mama?\The day after our wedding, I lost contact with him for two weeks. response:	I was certainly worried then.
context: Being born a patissier's daughter makes me happy as a clam!\Happy as a clam!\I wish Papa could have some of this, too.\He's like me. He gets so into his work, he forgets to eat.\I wonder what he's off doing right now.\Aren't you worried, Mama?\The day after our wedding, I lost contact with him for two weeks.\I was certainly worried then. response:	That's my papa...
context: Happy as a clam!\I wish Papa could have some of this, too.\He's like me. He gets so into his work, he forgets to eat.\I wonder what he's off doing right now.\Aren't you worried, Mama?\The day after our wedding, I lost contact with him for two weeks.\I was certainly worried then.\That's my papa... response:	But the lack of contact is proof that he's doing okay.
context: I wish Papa could have some of this, too.\He's like me. He gets so into his work, he forgets to eat.\I wonder what he's off doing right now.\Aren't you worried, Mama?\The day after our wedding, I lost contact with him for two weeks.\I was certainly worried then.\That's my papa...\But the lack of contact is proof that he's doing okay. response:	Proof!
context: He's like me. He gets so into his work, he forgets to eat.\I wonder what he's off doing right now.\Aren't you worried, Mama?\The day after our wedding, I lost contact with him for two weeks.\I was certainly worried then.\That's my papa...\But the lack of contact is proof that he's doing okay.\Proof! response:	Okay, I'm off, Papa.
context: I wonder what he's off doing right now.\Aren't you worried, Mama?\The day after our wedding, I lost contact with him for two weeks.\I was certainly worried then.\That's my papa...\But the lack of contact is proof that he's doing okay.\Proof!\Okay, I'm off, Papa. response:	See you later!
context: Aren't you worried, Mama?\The day after our wedding, I lost contact with him for two weeks.\I was certainly worried then.\That's my papa...\But the lack of contact is proof that he's doing okay.\Proof!\Okay, I'm off, Papa.\See you later! response:	Incorporated Sekiei Academy Aobadai Middle School
context: The day after our wedding, I lost contact with him for two weeks.\I was certainly worried then.\That's my papa...\But the lack of contact is proof that he's doing okay.\Proof!\Okay, I'm off, Papa.\See you later!\Incorporated Sekiei Academy Aobadai Middle School response:	Good morning!
context: I was certainly worried then.\That's my papa...\But the lack of contact is proof that he's doing okay.\Proof!\Okay, I'm off, Papa.\See you later!\Incorporated Sekiei Academy Aobadai Middle School\Good morning! response:	Hey!
context: That's my papa...\But the lack of contact is proof that he's doing okay.\Proof!\Okay, I'm off, Papa.\See you later!\Incorporated Sekiei Academy Aobadai Middle School\Good morning!\Hey! response:	Waka! Good morning!
context: But the lack of contact is proof that he's doing okay.\Proof!\Okay, I'm off, Papa.\See you later!\Incorporated Sekiei Academy Aobadai Middle School\Good morning!\Hey!\Waka! Good morning! response:	C-Come here!
context: Proof!\Okay, I'm off, Papa.\See you later!\Incorporated Sekiei Academy Aobadai Middle School\Good morning!\Hey!\Waka! Good morning!\C-Come here! response:	Wh-What's going on, Waka?
context: Okay, I'm off, Papa.\See you later!\Incorporated Sekiei Academy Aobadai Middle School\Good morning!\Hey!\Waka! Good morning!\C-Come here!\Wh-What's going on, Waka? response:	What's with them?
context: See you later!\Incorporated Sekiei Academy Aobadai Middle School\Good morning!\Hey!\Waka! Good morning!\C-Come here!\Wh-What's going on, Waka?\What's with them? response:	What's going on, Waka? Some kind of secret?
context: Incorporated Sekiei Academy Aobadai Middle School\Good morning!\Hey!\Waka! Good morning!\C-Come here!\Wh-What's going on, Waka?\What's with them?\What's going on, Waka? Some kind of secret? response:	Mari, you're good at cooking, right?
context: Good morning!\Hey!\Waka! Good morning!\C-Come here!\Wh-What's going on, Waka?\What's with them?\What's going on, Waka? Some kind of secret?\Mari, you're good at cooking, right? response:	Y-Yeah...
context: Hey!\Waka! Good morning!\C-Come here!\Wh-What's going on, Waka?\What's with them?\What's going on, Waka? Some kind of secret?\Mari, you're good at cooking, right?\Y-Yeah... response:	Tomorrow is Futa's birthday.
context: Waka! Good morning!\C-Come here!\Wh-What's going on, Waka?\What's with them?\What's going on, Waka? Some kind of secret?\Mari, you're good at cooking, right?\Y-Yeah...\Tomorrow is Futa's birthday. response:	What? It is?
context: C-Come here!\Wh-What's going on, Waka?\What's with them?\What's going on, Waka? Some kind of secret?\Mari, you're good at cooking, right?\Y-Yeah...\Tomorrow is Futa's birthday.\What? It is? response:	Well, whatever. Yes, it is.
context: Wh-What's going on, Waka?\What's with them?\What's going on, Waka? Some kind of secret?\Mari, you're good at cooking, right?\Y-Yeah...\Tomorrow is Futa's birthday.\What? It is?\Well, whatever. Yes, it is. response:	Anyway, he's in the soccer club, as you know.
context: What's with them?\What's going on, Waka? Some kind of secret?\Mari, you're good at cooking, right?\Y-Yeah...\Tomorrow is Futa's birthday.\What? It is?\Well, whatever. Yes, it is.\Anyway, he's in the soccer club, as you know. response:	I was thinking he might like a big, round cake shaped like a soccer ball.
context: What's going on, Waka? Some kind of secret?\Mari, you're good at cooking, right?\Y-Yeah...\Tomorrow is Futa's birthday.\What? It is?\Well, whatever. Yes, it is.\Anyway, he's in the soccer club, as you know.\I was thinking he might like a big, round cake shaped like a soccer ball. response:	Wow, that sounds great!
context: Mari, you're good at cooking, right?\Y-Yeah...\Tomorrow is Futa's birthday.\What? It is?\Well, whatever. Yes, it is.\Anyway, he's in the soccer club, as you know.\I was thinking he might like a big, round cake shaped like a soccer ball.\Wow, that sounds great! response:	But when I tried to make it...
context: Y-Yeah...\Tomorrow is Futa's birthday.\What? It is?\Well, whatever. Yes, it is.\Anyway, he's in the soccer club, as you know.\I was thinking he might like a big, round cake shaped like a soccer ball.\Wow, that sounds great!\But when I tried to make it... response:	It was too thick to cook through properly, right?
context: Tomorrow is Futa's birthday.\What? It is?\Well, whatever. Yes, it is.\Anyway, he's in the soccer club, as you know.\I was thinking he might like a big, round cake shaped like a soccer ball.\Wow, that sounds great!\But when I tried to make it...\It was too thick to cook through properly, right? response:	I thought I'd had a great idea for once...
context: What? It is?\Well, whatever. Yes, it is.\Anyway, he's in the soccer club, as you know.\I was thinking he might like a big, round cake shaped like a soccer ball.\Wow, that sounds great!\But when I tried to make it...\It was too thick to cook through properly, right?\I thought I'd had a great idea for once... response:	Then why not make a miniature version?
context: Well, whatever. Yes, it is.\Anyway, he's in the soccer club, as you know.\I was thinking he might like a big, round cake shaped like a soccer ball.\Wow, that sounds great!\But when I tried to make it...\It was too thick to cook through properly, right?\I thought I'd had a great idea for once...\Then why not make a miniature version? response:	Absolutely not!
context: Anyway, he's in the soccer club, as you know.\I was thinking he might like a big, round cake shaped like a soccer ball.\Wow, that sounds great!\But when I tried to make it...\It was too thick to cook through properly, right?\I thought I'd had a great idea for once...\Then why not make a miniature version?\Absolutely not! response:	Waka Mizuki must do everything boldly and grandly!
context: I was thinking he might like a big, round cake shaped like a soccer ball.\Wow, that sounds great!\But when I tried to make it...\It was too thick to cook through properly, right?\I thought I'd had a great idea for once...\Then why not make a miniature version?\Absolutely not!\Waka Mizuki must do everything boldly and grandly! response:	Even if it's just a cake for a childhood friend!
context: Wow, that sounds great!\But when I tried to make it...\It was too thick to cook through properly, right?\I thought I'd had a great idea for once...\Then why not make a miniature version?\Absolutely not!\Waka Mizuki must do everything boldly and grandly!\Even if it's just a cake for a childhood friend! response:	I understand! I'll help!
context: But when I tried to make it...\It was too thick to cook through properly, right?\I thought I'd had a great idea for once...\Then why not make a miniature version?\Absolutely not!\Waka Mizuki must do everything boldly and grandly!\Even if it's just a cake for a childhood friend!\I understand! I'll help! response:	I know we can make a great soccer ball cake!
context: It was too thick to cook through properly, right?\I thought I'd had a great idea for once...\Then why not make a miniature version?\Absolutely not!\Waka Mizuki must do everything boldly and grandly!\Even if it's just a cake for a childhood friend!\I understand! I'll help!\I know we can make a great soccer ball cake! response:	Thank you! You know how to make one, right?
context: I thought I'd had a great idea for once...\Then why not make a miniature version?\Absolutely not!\Waka Mizuki must do everything boldly and grandly!\Even if it's just a cake for a childhood friend!\I understand! I'll help!\I know we can make a great soccer ball cake!\Thank you! You know how to make one, right? response:	Oh... I don't.
context: Then why not make a miniature version?\Absolutely not!\Waka Mizuki must do everything boldly and grandly!\Even if it's just a cake for a childhood friend!\I understand! I'll help!\I know we can make a great soccer ball cake!\Thank you! You know how to make one, right?\Oh... I don't. response:	What? Then how are we going to make it?
context: Absolutely not!\Waka Mizuki must do everything boldly and grandly!\Even if it's just a cake for a childhood friend!\I understand! I'll help!\I know we can make a great soccer ball cake!\Thank you! You know how to make one, right?\Oh... I don't.\What? Then how are we going to make it? response:	I don't know, but if we think it over, I'm sure it'll work out.
context: Waka Mizuki must do everything boldly and grandly!\Even if it's just a cake for a childhood friend!\I understand! I'll help!\I know we can make a great soccer ball cake!\Thank you! You know how to make one, right?\Oh... I don't.\What? Then how are we going to make it?\I don't know, but if we think it over, I'm sure it'll work out. response:	Counter!
context: Even if it's just a cake for a childhood friend!\I understand! I'll help!\I know we can make a great soccer ball cake!\Thank you! You know how to make one, right?\Oh... I don't.\What? Then how are we going to make it?\I don't know, but if we think it over, I'm sure it'll work out.\Counter! response:	Really. Maybe I shouldn't have asked you.
context: I understand! I'll help!\I know we can make a great soccer ball cake!\Thank you! You know how to make one, right?\Oh... I don't.\What? Then how are we going to make it?\I don't know, but if we think it over, I'm sure it'll work out.\Counter!\Really. Maybe I shouldn't have asked you. response:	Now, now. I'm told that most invention
context: I know we can make a great soccer ball cake!\Thank you! You know how to make one, right?\Oh... I don't.\What? Then how are we going to make it?\I don't know, but if we think it over, I'm sure it'll work out.\Counter!\Really. Maybe I shouldn't have asked you.\Now, now. I'm told that most invention response:	only happens after a long series of failures.
context: Thank you! You know how to make one, right?\Oh... I don't.\What? Then how are we going to make it?\I don't know, but if we think it over, I'm sure it'll work out.\Counter!\Really. Maybe I shouldn't have asked you.\Now, now. I'm told that most invention\only happens after a long series of failures. response:	That's not very convincing coming from someone
context: Oh... I don't.\What? Then how are we going to make it?\I don't know, but if we think it over, I'm sure it'll work out.\Counter!\Really. Maybe I shouldn't have asked you.\Now, now. I'm told that most invention\only happens after a long series of failures.\That's not very convincing coming from someone response:	who does trial-and-error answers for tests we already know the questions for.
context: What? Then how are we going to make it?\I don't know, but if we think it over, I'm sure it'll work out.\Counter!\Really. Maybe I shouldn't have asked you.\Now, now. I'm told that most invention\only happens after a long series of failures.\That's not very convincing coming from someone\who does trial-and-error answers for tests we already know the questions for. response:	For instance, this. It's about the way light reflects.
context: I don't know, but if we think it over, I'm sure it'll work out.\Counter!\Really. Maybe I shouldn't have asked you.\Now, now. I'm told that most invention\only happens after a long series of failures.\That's not very convincing coming from someone\who does trial-and-error answers for tests we already know the questions for.\For instance, this. It's about the way light reflects. response:	Class 2-C, 20 Name: Mari Hayase For instance, this. It's about the way light reflects.
context: Counter!\Really. Maybe I shouldn't have asked you.\Now, now. I'm told that most invention\only happens after a long series of failures.\That's not very convincing coming from someone\who does trial-and-error answers for tests we already know the questions for.\For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase For instance, this. It's about the way light reflects. response:	Class 2-C, 20 Name: Mari Hayase How does your face look reflected in the mirror?
context: Really. Maybe I shouldn't have asked you.\Now, now. I'm told that most invention\only happens after a long series of failures.\That's not very convincing coming from someone\who does trial-and-error answers for tests we already know the questions for.\For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase How does your face look reflected in the mirror? response:	How does your face look reflected in the mirror?
context: Now, now. I'm told that most invention\only happens after a long series of failures.\That's not very convincing coming from someone\who does trial-and-error answers for tests we already know the questions for.\For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase How does your face look reflected in the mirror?\How does your face look reflected in the mirror? response:	It looks cute!
context: only happens after a long series of failures.\That's not very convincing coming from someone\who does trial-and-error answers for tests we already know the questions for.\For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase How does your face look reflected in the mirror?\How does your face look reflected in the mirror?\It looks cute! response:	Where did that come from? The answer is with left and right switched.
context: That's not very convincing coming from someone\who does trial-and-error answers for tests we already know the questions for.\For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase How does your face look reflected in the mirror?\How does your face look reflected in the mirror?\It looks cute!\Where did that come from? The answer is with left and right switched. response:	Well...
context: who does trial-and-error answers for tests we already know the questions for.\For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase How does your face look reflected in the mirror?\How does your face look reflected in the mirror?\It looks cute!\Where did that come from? The answer is with left and right switched.\Well... response:	It's hard to believe you're the daughter of a world-class scientist.
context: For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase How does your face look reflected in the mirror?\How does your face look reflected in the mirror?\It looks cute!\Where did that come from? The answer is with left and right switched.\Well...\It's hard to believe you're the daughter of a world-class scientist. response:	By the way, is your father still away?
context: Class 2-C, 20 Name: Mari Hayase For instance, this. It's about the way light reflects.\Class 2-C, 20 Name: Mari Hayase How does your face look reflected in the mirror?\How does your face look reflected in the mirror?\It looks cute!\Where did that come from? The answer is with left and right switched.\Well...\It's hard to believe you're the daughter of a world-class scientist.\By the way, is your father still away? response:	It's been three years.
context: Class 2-C, 20 Name: Mari Hayase How does your face look reflected in the mirror?\How does your face look reflected in the mirror?\It looks cute!\Where did that come from? The answer is with left and right switched.\Well...\It's hard to believe you're the daughter of a world-class scientist.\By the way, is your father still away?\It's been three years. response:	But it seems taking aimless research trips has been his thing for a while, and...
context: How does your face look reflected in the mirror?\It looks cute!\Where did that come from? The answer is with left and right switched.\Well...\It's hard to believe you're the daughter of a world-class scientist.\By the way, is your father still away?\It's been three years.\But it seems taking aimless research trips has been his thing for a while, and... response:	Even if I'm gone, don't worry.
context: It looks cute!\Where did that come from? The answer is with left and right switched.\Well...\It's hard to believe you're the daughter of a world-class scientist.\By the way, is your father still away?\It's been three years.\But it seems taking aimless research trips has been his thing for a while, and...\Even if I'm gone, don't worry. response:	This armillary compass will always show you the way.
context: Where did that come from? The answer is with left and right switched.\Well...\It's hard to believe you're the daughter of a world-class scientist.\By the way, is your father still away?\It's been three years.\But it seems taking aimless research trips has been his thing for a while, and...\Even if I'm gone, don't worry.\This armillary compass will always show you the way. response:	That's what he told me.
context: Well...\It's hard to believe you're the daughter of a world-class scientist.\By the way, is your father still away?\It's been three years.\But it seems taking aimless research trips has been his thing for a while, and...\Even if I'm gone, don't worry.\This armillary compass will always show you the way.\That's what he told me. response:	But three years is a long time.
context: It's hard to believe you're the daughter of a world-class scientist.\By the way, is your father still away?\It's been three years.\But it seems taking aimless research trips has been his thing for a while, and...\Even if I'm gone, don't worry.\This armillary compass will always show you the way.\That's what he told me.\But three years is a long time. response:	Anyway, today's cake won't take that long, at least.
context: By the way, is your father still away?\It's been three years.\But it seems taking aimless research trips has been his thing for a while, and...\Even if I'm gone, don't worry.\This armillary compass will always show you the way.\That's what he told me.\But three years is a long time.\Anyway, today's cake won't take that long, at least. response:	I'll search the internet for how to make it, so just follow the directions, okay?
context: It's been three years.\But it seems taking aimless research trips has been his thing for a while, and...\Even if I'm gone, don't worry.\This armillary compass will always show you the way.\That's what he told me.\But three years is a long time.\Anyway, today's cake won't take that long, at least.\I'll search the internet for how to make it, so just follow the directions, okay? response:	Huh? Search the internet?
context: But it seems taking aimless research trips has been his thing for a while, and...\Even if I'm gone, don't worry.\This armillary compass will always show you the way.\That's what he told me.\But three years is a long time.\Anyway, today's cake won't take that long, at least.\I'll search the internet for how to make it, so just follow the directions, okay?\Huh? Search the internet? response:	It's your idea! Let's think it over together!
context: Even if I'm gone, don't worry.\This armillary compass will always show you the way.\That's what he told me.\But three years is a long time.\Anyway, today's cake won't take that long, at least.\I'll search the internet for how to make it, so just follow the directions, okay?\Huh? Search the internet?\It's your idea! Let's think it over together! response:	We should use the knowledge of our predecessors.
context: This armillary compass will always show you the way.\That's what he told me.\But three years is a long time.\Anyway, today's cake won't take that long, at least.\I'll search the internet for how to make it, so just follow the directions, okay?\Huh? Search the internet?\It's your idea! Let's think it over together!\We should use the knowledge of our predecessors. response:	If everyone had to reinvent the wheel, civilization would never advance.
context: That's what he told me.\But three years is a long time.\Anyway, today's cake won't take that long, at least.\I'll search the internet for how to make it, so just follow the directions, okay?\Huh? Search the internet?\It's your idea! Let's think it over together!\We should use the knowledge of our predecessors.\If everyone had to reinvent the wheel, civilization would never advance. response:	But... But Waka...
context: But three years is a long time.\Anyway, today's cake won't take that long, at least.\I'll search the internet for how to make it, so just follow the directions, okay?\Huh? Search the internet?\It's your idea! Let's think it over together!\We should use the knowledge of our predecessors.\If everyone had to reinvent the wheel, civilization would never advance.\But... But Waka... response:	Who's winning?
context: Anyway, today's cake won't take that long, at least.\I'll search the internet for how to make it, so just follow the directions, okay?\Huh? Search the internet?\It's your idea! Let's think it over together!\We should use the knowledge of our predecessors.\If everyone had to reinvent the wheel, civilization would never advance.\But... But Waka...\Who's winning? response:	The next town over, I think?
context: I'll search the internet for how to make it, so just follow the directions, okay?\Huh? Search the internet?\It's your idea! Let's think it over together!\We should use the knowledge of our predecessors.\If everyone had to reinvent the wheel, civilization would never advance.\But... But Waka...\Who's winning?\The next town over, I think? response:	But they sure can hit.
context: Huh? Search the internet?\It's your idea! Let's think it over together!\We should use the knowledge of our predecessors.\If everyone had to reinvent the wheel, civilization would never advance.\But... But Waka...\Who's winning?\The next town over, I think?\But they sure can hit. response:	But you failed because you couldn't find out the right way to do it, right?
context: It's your idea! Let's think it over together!\We should use the knowledge of our predecessors.\If everyone had to reinvent the wheel, civilization would never advance.\But... But Waka...\Who's winning?\The next town over, I think?\But they sure can hit.\But you failed because you couldn't find out the right way to do it, right? response:	Hey, Hayase! Mizuki!
context: We should use the knowledge of our predecessors.\If everyone had to reinvent the wheel, civilization would never advance.\But... But Waka...\Who's winning?\The next town over, I think?\But they sure can hit.\But you failed because you couldn't find out the right way to do it, right?\Hey, Hayase! Mizuki! response:	It's Futa!
context: If everyone had to reinvent the wheel, civilization would never advance.\But... But Waka...\Who's winning?\The next town over, I think?\But they sure can hit.\But you failed because you couldn't find out the right way to do it, right?\Hey, Hayase! Mizuki!\It's Futa! response:	Futa!
context: But... But Waka...\Who's winning?\The next town over, I think?\But they sure can hit.\But you failed because you couldn't find out the right way to do it, right?\Hey, Hayase! Mizuki!\It's Futa!\Futa! response:	Wh-What?
context: Who's winning?\The next town over, I think?\But they sure can hit.\But you failed because you couldn't find out the right way to do it, right?\Hey, Hayase! Mizuki!\It's Futa!\Futa!\Wh-What? response:	-Hey, Futa! You okay? Futa! -Futa?
context: The next town over, I think?\But they sure can hit.\But you failed because you couldn't find out the right way to do it, right?\Hey, Hayase! Mizuki!\It's Futa!\Futa!\Wh-What?\-Hey, Futa! You okay? Futa! -Futa? response:	Coach! Ichikawa is... Coach!
context: But they sure can hit.\But you failed because you couldn't find out the right way to do it, right?\Hey, Hayase! Mizuki!\It's Futa!\Futa!\Wh-What?\-Hey, Futa! You okay? Futa! -Futa?\Coach! Ichikawa is... Coach! response:	Futa! Futa!
context: But you failed because you couldn't find out the right way to do it, right?\Hey, Hayase! Mizuki!\It's Futa!\Futa!\Wh-What?\-Hey, Futa! You okay? Futa! -Futa?\Coach! Ichikawa is... Coach!\Futa! Futa! response:	Ichikawa!
context: Hey, Hayase! Mizuki!\It's Futa!\Futa!\Wh-What?\-Hey, Futa! You okay? Futa! -Futa?\Coach! Ichikawa is... Coach!\Futa! Futa!\Ichikawa! response:	What wrong, Ichikawa?
context: It's Futa!\Futa!\Wh-What?\-Hey, Futa! You okay? Futa! -Futa?\Coach! Ichikawa is... Coach!\Futa! Futa!\Ichikawa!\What wrong, Ichikawa? response:	Ichikawa! Hang in there!
context: Futa!\Wh-What?\-Hey, Futa! You okay? Futa! -Futa?\Coach! Ichikawa is... Coach!\Futa! Futa!\Ichikawa!\What wrong, Ichikawa?\Ichikawa! Hang in there! response:	Futa!
context: Wh-What?\-Hey, Futa! You okay? Futa! -Futa?\Coach! Ichikawa is... Coach!\Futa! Futa!\Ichikawa!\What wrong, Ichikawa?\Ichikawa! Hang in there!\Futa! response:	What happened?
context: -Hey, Futa! You okay? Futa! -Futa?\Coach! Ichikawa is... Coach!\Futa! Futa!\Ichikawa!\What wrong, Ichikawa?\Ichikawa! Hang in there!\Futa!\What happened? response:	-A ball hit him, and then... -Futa...
context: Coach! Ichikawa is... Coach!\Futa! Futa!\Ichikawa!\What wrong, Ichikawa?\Ichikawa! Hang in there!\Futa!\What happened?\-A ball hit him, and then... -Futa... response:	Where did it hit him?
context: Futa! Futa!\Ichikawa!\What wrong, Ichikawa?\Ichikawa! Hang in there!\Futa!\What happened?\-A ball hit him, and then... -Futa...\Where did it hit him? response:	The chest.
