context: Silver Wings response:	If you believe, your dream will come true.
context: Hey, Junkei!\What dan are you right now?\Were you a professional now?\Fifth dan.\Huh! Really?\I don't really know what that means, though!\So, do professional shogi players make bank?\But hey, can you like, get famous and be on TV? response:	Don't they have that on Sunday mornings?
context: What dan are you right now?\Were you a professional now?\Fifth dan.\Huh! Really?\I don't really know what that means, though!\So, do professional shogi players make bank?\But hey, can you like, get famous and be on TV?\Don't they have that on Sunday mornings? response:	And hurry up and become meijin!
context: Were you a professional now?\Fifth dan.\Huh! Really?\I don't really know what that means, though!\So, do professional shogi players make bank?\But hey, can you like, get famous and be on TV?\Don't they have that on Sunday mornings?\And hurry up and become meijin! response:	Whenever I go to some kind of gathering,
context: Fifth dan.\Huh! Really?\I don't really know what that means, though!\So, do professional shogi players make bank?\But hey, can you like, get famous and be on TV?\Don't they have that on Sunday mornings?\And hurry up and become meijin!\Whenever I go to some kind of gathering, response:	I'm always asked the same questions.
context: Huh! Really?\I don't really know what that means, though!\So, do professional shogi players make bank?\But hey, can you like, get famous and be on TV?\Don't they have that on Sunday mornings?\And hurry up and become meijin!\Whenever I go to some kind of gathering,\I'm always asked the same questions. response:	And I always think these are like...
context: I don't really know what that means, though!\So, do professional shogi players make bank?\But hey, can you like, get famous and be on TV?\Don't they have that on Sunday mornings?\And hurry up and become meijin!\Whenever I go to some kind of gathering,\I'm always asked the same questions.\And I always think these are like... response:	Huh, so you're a manager! I don't know much about it, though.
context: So, do professional shogi players make bank?\But hey, can you like, get famous and be on TV?\Don't they have that on Sunday mornings?\And hurry up and become meijin!\Whenever I go to some kind of gathering,\I'm always asked the same questions.\And I always think these are like...\Huh, so you're a manager! I don't know much about it, though. response:	So what's a manager's annual salary?
context: But hey, can you like, get famous and be on TV?\Don't they have that on Sunday mornings?\And hurry up and become meijin!\Whenever I go to some kind of gathering,\I'm always asked the same questions.\And I always think these are like...\Huh, so you're a manager! I don't know much about it, though.\So what's a manager's annual salary? response:	Or forget that, hurry up and become section chief or company director!
context: Don't they have that on Sunday mornings?\And hurry up and become meijin!\Whenever I go to some kind of gathering,\I'm always asked the same questions.\And I always think these are like...\Huh, so you're a manager! I don't know much about it, though.\So what's a manager's annual salary?\Or forget that, hurry up and become section chief or company director! response:	All while you're still in your 20s!
context: And hurry up and become meijin!\Whenever I go to some kind of gathering,\I'm always asked the same questions.\And I always think these are like...\Huh, so you're a manager! I don't know much about it, though.\So what's a manager's annual salary?\Or forget that, hurry up and become section chief or company director!\All while you're still in your 20s! response:	It's cooler that way, you know?
context: Whenever I go to some kind of gathering,\I'm always asked the same questions.\And I always think these are like...\Huh, so you're a manager! I don't know much about it, though.\So what's a manager's annual salary?\Or forget that, hurry up and become section chief or company director!\All while you're still in your 20s!\It's cooler that way, you know? response:	SPLOOSH
context: I'm always asked the same questions.\And I always think these are like...\Huh, so you're a manager! I don't know much about it, though.\So what's a manager's annual salary?\Or forget that, hurry up and become section chief or company director!\All while you're still in your 20s!\It's cooler that way, you know?\SPLOOSH response:	I'd like to ask them the same kind of boorish questions they ask me.
context: And I always think these are like...\Huh, so you're a manager! I don't know much about it, though.\So what's a manager's annual salary?\Or forget that, hurry up and become section chief or company director!\All while you're still in your 20s!\It's cooler that way, you know?\SPLOOSH\I'd like to ask them the same kind of boorish questions they ask me. response:	At first, I would try to explain to them, but that seemed to be a buzzkill,
context: Huh, so you're a manager! I don't know much about it, though.\So what's a manager's annual salary?\Or forget that, hurry up and become section chief or company director!\All while you're still in your 20s!\It's cooler that way, you know?\SPLOOSH\I'd like to ask them the same kind of boorish questions they ask me.\At first, I would try to explain to them, but that seemed to be a buzzkill, response:	so I just keep my mouth shut and let it slide.
context: So what's a manager's annual salary?\Or forget that, hurry up and become section chief or company director!\All while you're still in your 20s!\It's cooler that way, you know?\SPLOOSH\I'd like to ask them the same kind of boorish questions they ask me.\At first, I would try to explain to them, but that seemed to be a buzzkill,\so I just keep my mouth shut and let it slide. response:	I realized they didn't really want to know about it,
context: Or forget that, hurry up and become section chief or company director!\All while you're still in your 20s!\It's cooler that way, you know?\SPLOOSH\I'd like to ask them the same kind of boorish questions they ask me.\At first, I would try to explain to them, but that seemed to be a buzzkill,\so I just keep my mouth shut and let it slide.\I realized they didn't really want to know about it, response:	ALL FOOD ORDERS, 500 YEN FOR TWO HOURS
context: All while you're still in your 20s!\It's cooler that way, you know?\SPLOOSH\I'd like to ask them the same kind of boorish questions they ask me.\At first, I would try to explain to them, but that seemed to be a buzzkill,\so I just keep my mouth shut and let it slide.\I realized they didn't really want to know about it,\ALL FOOD ORDERS, 500 YEN FOR TWO HOURS response:	but only asked me as a stock question, the way you'd say, Nice weather now, isn't it?
context: It's cooler that way, you know?\SPLOOSH\I'd like to ask them the same kind of boorish questions they ask me.\At first, I would try to explain to them, but that seemed to be a buzzkill,\so I just keep my mouth shut and let it slide.\I realized they didn't really want to know about it,\ALL FOOD ORDERS, 500 YEN FOR TWO HOURS\but only asked me as a stock question, the way you'd say, Nice weather now, isn't it? response:	It doesn't mean anything.
context: SPLOOSH\I'd like to ask them the same kind of boorish questions they ask me.\At first, I would try to explain to them, but that seemed to be a buzzkill,\so I just keep my mouth shut and let it slide.\I realized they didn't really want to know about it,\ALL FOOD ORDERS, 500 YEN FOR TWO HOURS\but only asked me as a stock question, the way you'd say, Nice weather now, isn't it?\It doesn't mean anything. response:	I'm just here as a foil, as I take the minor stings from their questions.
context: I'd like to ask them the same kind of boorish questions they ask me.\At first, I would try to explain to them, but that seemed to be a buzzkill,\so I just keep my mouth shut and let it slide.\I realized they didn't really want to know about it,\ALL FOOD ORDERS, 500 YEN FOR TWO HOURS\but only asked me as a stock question, the way you'd say, Nice weather now, isn't it?\It doesn't mean anything.\I'm just here as a foil, as I take the minor stings from their questions. response:	I just remembered! Junkei, do you still raise pigeons?
context: At first, I would try to explain to them, but that seemed to be a buzzkill,\so I just keep my mouth shut and let it slide.\I realized they didn't really want to know about it,\ALL FOOD ORDERS, 500 YEN FOR TWO HOURS\but only asked me as a stock question, the way you'd say, Nice weather now, isn't it?\It doesn't mean anything.\I'm just here as a foil, as I take the minor stings from their questions.\I just remembered! Junkei, do you still raise pigeons? response:	What, pigeons?
context: so I just keep my mouth shut and let it slide.\I realized they didn't really want to know about it,\ALL FOOD ORDERS, 500 YEN FOR TWO HOURS\but only asked me as a stock question, the way you'd say, Nice weather now, isn't it?\It doesn't mean anything.\I'm just here as a foil, as I take the minor stings from their questions.\I just remembered! Junkei, do you still raise pigeons?\What, pigeons? response:	Oh, that's right! He used to raise them! Racing pigeons!
context: I realized they didn't really want to know about it,\ALL FOOD ORDERS, 500 YEN FOR TWO HOURS\but only asked me as a stock question, the way you'd say, Nice weather now, isn't it?\It doesn't mean anything.\I'm just here as a foil, as I take the minor stings from their questions.\I just remembered! Junkei, do you still raise pigeons?\What, pigeons?\Oh, that's right! He used to raise them! Racing pigeons! response:	What the hell? Shogi and pigeons? You're such an enthusiast, Junkei!
context: ALL FOOD ORDERS, 500 YEN FOR TWO HOURS\but only asked me as a stock question, the way you'd say, Nice weather now, isn't it?\It doesn't mean anything.\I'm just here as a foil, as I take the minor stings from their questions.\I just remembered! Junkei, do you still raise pigeons?\What, pigeons?\Oh, that's right! He used to raise them! Racing pigeons!\What the hell? Shogi and pigeons? You're such an enthusiast, Junkei! response:	I have to go take care of the pigeons.
context: but only asked me as a stock question, the way you'd say, Nice weather now, isn't it?\It doesn't mean anything.\I'm just here as a foil, as I take the minor stings from their questions.\I just remembered! Junkei, do you still raise pigeons?\What, pigeons?\Oh, that's right! He used to raise them! Racing pigeons!\What the hell? Shogi and pigeons? You're such an enthusiast, Junkei!\I have to go take care of the pigeons. response:	Man, that Junkei's so amazing.
context: It doesn't mean anything.\I'm just here as a foil, as I take the minor stings from their questions.\I just remembered! Junkei, do you still raise pigeons?\What, pigeons?\Oh, that's right! He used to raise them! Racing pigeons!\What the hell? Shogi and pigeons? You're such an enthusiast, Junkei!\I have to go take care of the pigeons.\Man, that Junkei's so amazing. response:	He's as scary as always.
context: I'm just here as a foil, as I take the minor stings from their questions.\I just remembered! Junkei, do you still raise pigeons?\What, pigeons?\Oh, that's right! He used to raise them! Racing pigeons!\What the hell? Shogi and pigeons? You're such an enthusiast, Junkei!\I have to go take care of the pigeons.\Man, that Junkei's so amazing.\He's as scary as always. response:	He's got this strong aura...
context: I just remembered! Junkei, do you still raise pigeons?\What, pigeons?\Oh, that's right! He used to raise them! Racing pigeons!\What the hell? Shogi and pigeons? You're such an enthusiast, Junkei!\I have to go take care of the pigeons.\Man, that Junkei's so amazing.\He's as scary as always.\He's got this strong aura... response:	He always has been an oddball.
context: What, pigeons?\Oh, that's right! He used to raise them! Racing pigeons!\What the hell? Shogi and pigeons? You're such an enthusiast, Junkei!\I have to go take care of the pigeons.\Man, that Junkei's so amazing.\He's as scary as always.\He's got this strong aura...\He always has been an oddball. response:	I got into shogi and racing pigeons because of my grandfather, who loved both. He taught me.
context: Oh, that's right! He used to raise them! Racing pigeons!\What the hell? Shogi and pigeons? You're such an enthusiast, Junkei!\I have to go take care of the pigeons.\Man, that Junkei's so amazing.\He's as scary as always.\He's got this strong aura...\He always has been an oddball.\I got into shogi and racing pigeons because of my grandfather, who loved both. He taught me. response:	With shogi, the more effort you put into it, the better the results.
context: What the hell? Shogi and pigeons? You're such an enthusiast, Junkei!\I have to go take care of the pigeons.\Man, that Junkei's so amazing.\He's as scary as always.\He's got this strong aura...\He always has been an oddball.\I got into shogi and racing pigeons because of my grandfather, who loved both. He taught me.\With shogi, the more effort you put into it, the better the results. response:	With pigeons, the more love and care you give them, the more they respond.
context: I have to go take care of the pigeons.\Man, that Junkei's so amazing.\He's as scary as always.\He's got this strong aura...\He always has been an oddball.\I got into shogi and racing pigeons because of my grandfather, who loved both. He taught me.\With shogi, the more effort you put into it, the better the results.\With pigeons, the more love and care you give them, the more they respond. response:	I became obsessed with both.
context: Man, that Junkei's so amazing.\He's as scary as always.\He's got this strong aura...\He always has been an oddball.\I got into shogi and racing pigeons because of my grandfather, who loved both. He taught me.\With shogi, the more effort you put into it, the better the results.\With pigeons, the more love and care you give them, the more they respond.\I became obsessed with both. response:	But right now, both of them are slipping through my fingers.
context: He's as scary as always.\He's got this strong aura...\He always has been an oddball.\I got into shogi and racing pigeons because of my grandfather, who loved both. He taught me.\With shogi, the more effort you put into it, the better the results.\With pigeons, the more love and care you give them, the more they respond.\I became obsessed with both.\But right now, both of them are slipping through my fingers. response:	I finally managed to get promoted to C-1,
context: He's got this strong aura...\He always has been an oddball.\I got into shogi and racing pigeons because of my grandfather, who loved both. He taught me.\With shogi, the more effort you put into it, the better the results.\With pigeons, the more love and care you give them, the more they respond.\I became obsessed with both.\But right now, both of them are slipping through my fingers.\I finally managed to get promoted to C-1, response:	but then this spring I was downgraded for the second time.
context: He always has been an oddball.\I got into shogi and racing pigeons because of my grandfather, who loved both. He taught me.\With shogi, the more effort you put into it, the better the results.\With pigeons, the more love and care you give them, the more they respond.\I became obsessed with both.\But right now, both of them are slipping through my fingers.\I finally managed to get promoted to C-1,\but then this spring I was downgraded for the second time. response:	And Silver, my favorite racer, which I'd put my heart into raising,
context: I got into shogi and racing pigeons because of my grandfather, who loved both. He taught me.\With shogi, the more effort you put into it, the better the results.\With pigeons, the more love and care you give them, the more they respond.\I became obsessed with both.\But right now, both of them are slipping through my fingers.\I finally managed to get promoted to C-1,\but then this spring I was downgraded for the second time.\And Silver, my favorite racer, which I'd put my heart into raising, response:	never came back after the 500 km race in late spring.
context: With shogi, the more effort you put into it, the better the results.\With pigeons, the more love and care you give them, the more they respond.\I became obsessed with both.\But right now, both of them are slipping through my fingers.\I finally managed to get promoted to C-1,\but then this spring I was downgraded for the second time.\And Silver, my favorite racer, which I'd put my heart into raising,\never came back after the 500 km race in late spring. response:	Did it fall prey to a falcon? Did it hit a power cable?
context: With pigeons, the more love and care you give them, the more they respond.\I became obsessed with both.\But right now, both of them are slipping through my fingers.\I finally managed to get promoted to C-1,\but then this spring I was downgraded for the second time.\And Silver, my favorite racer, which I'd put my heart into raising,\never came back after the 500 km race in late spring.\Did it fall prey to a falcon? Did it hit a power cable? response:	Was it because of the weather?
context: I became obsessed with both.\But right now, both of them are slipping through my fingers.\I finally managed to get promoted to C-1,\but then this spring I was downgraded for the second time.\And Silver, my favorite racer, which I'd put my heart into raising,\never came back after the 500 km race in late spring.\Did it fall prey to a falcon? Did it hit a power cable?\Was it because of the weather? response:	Just imagining it lying wounded and suffering somewhere
context: But right now, both of them are slipping through my fingers.\I finally managed to get promoted to C-1,\but then this spring I was downgraded for the second time.\And Silver, my favorite racer, which I'd put my heart into raising,\never came back after the 500 km race in late spring.\Did it fall prey to a falcon? Did it hit a power cable?\Was it because of the weather?\Just imagining it lying wounded and suffering somewhere response:	was enough to make me feel overcome with grief.
context: I finally managed to get promoted to C-1,\but then this spring I was downgraded for the second time.\And Silver, my favorite racer, which I'd put my heart into raising,\never came back after the 500 km race in late spring.\Did it fall prey to a falcon? Did it hit a power cable?\Was it because of the weather?\Just imagining it lying wounded and suffering somewhere\was enough to make me feel overcome with grief. response:	It felt like those dark clouds would swallow up everything.
context: but then this spring I was downgraded for the second time.\And Silver, my favorite racer, which I'd put my heart into raising,\never came back after the 500 km race in late spring.\Did it fall prey to a falcon? Did it hit a power cable?\Was it because of the weather?\Just imagining it lying wounded and suffering somewhere\was enough to make me feel overcome with grief.\It felt like those dark clouds would swallow up everything. response:	Trying to predict moves ahead
context: And Silver, my favorite racer, which I'd put my heart into raising,\never came back after the 500 km race in late spring.\Did it fall prey to a falcon? Did it hit a power cable?\Was it because of the weather?\Just imagining it lying wounded and suffering somewhere\was enough to make me feel overcome with grief.\It felt like those dark clouds would swallow up everything.\Trying to predict moves ahead response:	is like diving to the bottom of a pitch-black sea.
context: never came back after the 500 km race in late spring.\Did it fall prey to a falcon? Did it hit a power cable?\Was it because of the weather?\Just imagining it lying wounded and suffering somewhere\was enough to make me feel overcome with grief.\It felt like those dark clouds would swallow up everything.\Trying to predict moves ahead\is like diving to the bottom of a pitch-black sea. response:	The answer is only found there at the bottom
context: Did it fall prey to a falcon? Did it hit a power cable?\Was it because of the weather?\Just imagining it lying wounded and suffering somewhere\was enough to make me feel overcome with grief.\It felt like those dark clouds would swallow up everything.\Trying to predict moves ahead\is like diving to the bottom of a pitch-black sea.\The answer is only found there at the bottom response:	and as you move forward, the next answer can only be found at an even deeper area.
context: Was it because of the weather?\Just imagining it lying wounded and suffering somewhere\was enough to make me feel overcome with grief.\It felt like those dark clouds would swallow up everything.\Trying to predict moves ahead\is like diving to the bottom of a pitch-black sea.\The answer is only found there at the bottom\and as you move forward, the next answer can only be found at an even deeper area. response:	It used to be that the more I dove, the more answers I would get
context: Just imagining it lying wounded and suffering somewhere\was enough to make me feel overcome with grief.\It felt like those dark clouds would swallow up everything.\Trying to predict moves ahead\is like diving to the bottom of a pitch-black sea.\The answer is only found there at the bottom\and as you move forward, the next answer can only be found at an even deeper area.\It used to be that the more I dove, the more answers I would get response:	and desire would triumph over fear.
context: was enough to make me feel overcome with grief.\It felt like those dark clouds would swallow up everything.\Trying to predict moves ahead\is like diving to the bottom of a pitch-black sea.\The answer is only found there at the bottom\and as you move forward, the next answer can only be found at an even deeper area.\It used to be that the more I dove, the more answers I would get\and desire would triumph over fear. response:	But now, six years after I've turned professional,
context: It felt like those dark clouds would swallow up everything.\Trying to predict moves ahead\is like diving to the bottom of a pitch-black sea.\The answer is only found there at the bottom\and as you move forward, the next answer can only be found at an even deeper area.\It used to be that the more I dove, the more answers I would get\and desire would triumph over fear.\But now, six years after I've turned professional, response:	SHOGI HALL
context: Trying to predict moves ahead\is like diving to the bottom of a pitch-black sea.\The answer is only found there at the bottom\and as you move forward, the next answer can only be found at an even deeper area.\It used to be that the more I dove, the more answers I would get\and desire would triumph over fear.\But now, six years after I've turned professional,\SHOGI HALL response:	I feel like I can't make any progress at all.
context: is like diving to the bottom of a pitch-black sea.\The answer is only found there at the bottom\and as you move forward, the next answer can only be found at an even deeper area.\It used to be that the more I dove, the more answers I would get\and desire would triumph over fear.\But now, six years after I've turned professional,\SHOGI HALL\I feel like I can't make any progress at all. response:	Even when I dive down and feels like my body is going to be torn apart,
context: The answer is only found there at the bottom\and as you move forward, the next answer can only be found at an even deeper area.\It used to be that the more I dove, the more answers I would get\and desire would triumph over fear.\But now, six years after I've turned professional,\SHOGI HALL\I feel like I can't make any progress at all.\Even when I dive down and feels like my body is going to be torn apart, response:	I now mostly come back empty-handed.
context: and as you move forward, the next answer can only be found at an even deeper area.\It used to be that the more I dove, the more answers I would get\and desire would triumph over fear.\But now, six years after I've turned professional,\SHOGI HALL\I feel like I can't make any progress at all.\Even when I dive down and feels like my body is going to be torn apart,\I now mostly come back empty-handed. response:	Ever since the thought,
context: It used to be that the more I dove, the more answers I would get\and desire would triumph over fear.\But now, six years after I've turned professional,\SHOGI HALL\I feel like I can't make any progress at all.\Even when I dive down and feels like my body is going to be torn apart,\I now mostly come back empty-handed.\Ever since the thought, response:	I doubt I'll find something, won out over I may find something,
context: and desire would triumph over fear.\But now, six years after I've turned professional,\SHOGI HALL\I feel like I can't make any progress at all.\Even when I dive down and feels like my body is going to be torn apart,\I now mostly come back empty-handed.\Ever since the thought,\I doubt I'll find something, won out over I may find something, response:	my efforts have been inhibited.
context: But now, six years after I've turned professional,\SHOGI HALL\I feel like I can't make any progress at all.\Even when I dive down and feels like my body is going to be torn apart,\I now mostly come back empty-handed.\Ever since the thought,\I doubt I'll find something, won out over I may find something,\my efforts have been inhibited. response:	But as if looking at me with disdain,
context: SHOGI HALL\I feel like I can't make any progress at all.\Even when I dive down and feels like my body is going to be torn apart,\I now mostly come back empty-handed.\Ever since the thought,\I doubt I'll find something, won out over I may find something,\my efforts have been inhibited.\But as if looking at me with disdain, response:	Kiriyama and Nikaidou plunge back in again like it's nothing.
context: I feel like I can't make any progress at all.\Even when I dive down and feels like my body is going to be torn apart,\I now mostly come back empty-handed.\Ever since the thought,\I doubt I'll find something, won out over I may find something,\my efforts have been inhibited.\But as if looking at me with disdain,\Kiriyama and Nikaidou plunge back in again like it's nothing. response:	Over and over.
context: Even when I dive down and feels like my body is going to be torn apart,\I now mostly come back empty-handed.\Ever since the thought,\I doubt I'll find something, won out over I may find something,\my efforts have been inhibited.\But as if looking at me with disdain,\Kiriyama and Nikaidou plunge back in again like it's nothing.\Over and over. response:	It's insane.
context: I now mostly come back empty-handed.\Ever since the thought,\I doubt I'll find something, won out over I may find something,\my efforts have been inhibited.\But as if looking at me with disdain,\Kiriyama and Nikaidou plunge back in again like it's nothing.\Over and over.\It's insane. response:	Even when they come back with nothing again and again,
context: Ever since the thought,\I doubt I'll find something, won out over I may find something,\my efforts have been inhibited.\But as if looking at me with disdain,\Kiriyama and Nikaidou plunge back in again like it's nothing.\Over and over.\It's insane.\Even when they come back with nothing again and again, response:	they keep coming up with new strategies and try them over and over.
context: I doubt I'll find something, won out over I may find something,\my efforts have been inhibited.\But as if looking at me with disdain,\Kiriyama and Nikaidou plunge back in again like it's nothing.\Over and over.\It's insane.\Even when they come back with nothing again and again,\they keep coming up with new strategies and try them over and over. response:	Unconcerned with the anguish,
context: my efforts have been inhibited.\But as if looking at me with disdain,\Kiriyama and Nikaidou plunge back in again like it's nothing.\Over and over.\It's insane.\Even when they come back with nothing again and again,\they keep coming up with new strategies and try them over and over.\Unconcerned with the anguish, response:	they repeatedly throw themselves in
context: But as if looking at me with disdain,\Kiriyama and Nikaidou plunge back in again like it's nothing.\Over and over.\It's insane.\Even when they come back with nothing again and again,\they keep coming up with new strategies and try them over and over.\Unconcerned with the anguish,\they repeatedly throw themselves in response:	over and over again.
context: Kiriyama and Nikaidou plunge back in again like it's nothing.\Over and over.\It's insane.\Even when they come back with nothing again and again,\they keep coming up with new strategies and try them over and over.\Unconcerned with the anguish,\they repeatedly throw themselves in\over and over again. response:	Terror has won out and left me behind.
context: Over and over.\It's insane.\Even when they come back with nothing again and again,\they keep coming up with new strategies and try them over and over.\Unconcerned with the anguish,\they repeatedly throw themselves in\over and over again.\Terror has won out and left me behind. response:	SHOGI HALL
context: It's insane.\Even when they come back with nothing again and again,\they keep coming up with new strategies and try them over and over.\Unconcerned with the anguish,\they repeatedly throw themselves in\over and over again.\Terror has won out and left me behind.\SHOGI HALL response:	I wanted to win, no matter what.
context: Even when they come back with nothing again and again,\they keep coming up with new strategies and try them over and over.\Unconcerned with the anguish,\they repeatedly throw themselves in\over and over again.\Terror has won out and left me behind.\SHOGI HALL\I wanted to win, no matter what. response:	I didn't want to let anyone else have the one title I could still cling to.
context: they keep coming up with new strategies and try them over and over.\Unconcerned with the anguish,\they repeatedly throw themselves in\over and over again.\Terror has won out and left me behind.\SHOGI HALL\I wanted to win, no matter what.\I didn't want to let anyone else have the one title I could still cling to. response:	I heard he was sick.
context: Unconcerned with the anguish,\they repeatedly throw themselves in\over and over again.\Terror has won out and left me behind.\SHOGI HALL\I wanted to win, no matter what.\I didn't want to let anyone else have the one title I could still cling to.\I heard he was sick. response:	But I also knew that his will was much stronger than mine,
context: they repeatedly throw themselves in\over and over again.\Terror has won out and left me behind.\SHOGI HALL\I wanted to win, no matter what.\I didn't want to let anyone else have the one title I could still cling to.\I heard he was sick.\But I also knew that his will was much stronger than mine, response:	and that he was someone who would go much further than me.
context: over and over again.\Terror has won out and left me behind.\SHOGI HALL\I wanted to win, no matter what.\I didn't want to let anyone else have the one title I could still cling to.\I heard he was sick.\But I also knew that his will was much stronger than mine,\and that he was someone who would go much further than me. response:	That's right. At that moment...
context: Terror has won out and left me behind.\SHOGI HALL\I wanted to win, no matter what.\I didn't want to let anyone else have the one title I could still cling to.\I heard he was sick.\But I also knew that his will was much stronger than mine,\and that he was someone who would go much further than me.\That's right. At that moment... response:	There has been a threefold repetition.
context: SHOGI HALL\I wanted to win, no matter what.\I didn't want to let anyone else have the one title I could still cling to.\I heard he was sick.\But I also knew that his will was much stronger than mine,\and that he was someone who would go much further than me.\That's right. At that moment...\There has been a threefold repetition. response:	A new game will begin in 30 minutes.
context: I wanted to win, no matter what.\I didn't want to let anyone else have the one title I could still cling to.\I heard he was sick.\But I also knew that his will was much stronger than mine,\and that he was someone who would go much further than me.\That's right. At that moment...\There has been a threefold repetition.\A new game will begin in 30 minutes. response:	He smiled. I remember that.
