context: Good morning, everyone! response:	It's a beautiful day!
context: your regular duties at the inn to take care of,\you also have to help with the preparations for our wedding!\Thus, I've concluded that cutting the sleeping time\of you young ones, will be\the first step to making this a success.\What?\Anyway, you now have a meeting with Enishing you must attend.\Here we go, to the staff dining room! response:	I wonder why Takako's so fired up suddenly.
context: you also have to help with the preparations for our wedding!\Thus, I've concluded that cutting the sleeping time\of you young ones, will be\the first step to making this a success.\What?\Anyway, you now have a meeting with Enishing you must attend.\Here we go, to the staff dining room!\I wonder why Takako's so fired up suddenly. response:	Episode 22 A Determined One-Sided Crush
context: Thus, I've concluded that cutting the sleeping time\of you young ones, will be\the first step to making this a success.\What?\Anyway, you now have a meeting with Enishing you must attend.\Here we go, to the staff dining room!\I wonder why Takako's so fired up suddenly.\Episode 22 A Determined One-Sided Crush response:	Good morning, Ms. Tomoe!
context: of you young ones, will be\the first step to making this a success.\What?\Anyway, you now have a meeting with Enishing you must attend.\Here we go, to the staff dining room!\I wonder why Takako's so fired up suddenly.\Episode 22 A Determined One-Sided Crush\Good morning, Ms. Tomoe! response:	Let's begin a wonderful day!
context: the first step to making this a success.\What?\Anyway, you now have a meeting with Enishing you must attend.\Here we go, to the staff dining room!\I wonder why Takako's so fired up suddenly.\Episode 22 A Determined One-Sided Crush\Good morning, Ms. Tomoe!\Let's begin a wonderful day! response:	Hey!
context: What?\Anyway, you now have a meeting with Enishing you must attend.\Here we go, to the staff dining room!\I wonder why Takako's so fired up suddenly.\Episode 22 A Determined One-Sided Crush\Good morning, Ms. Tomoe!\Let's begin a wonderful day!\Hey! response:	Oh... sorry.
context: Anyway, you now have a meeting with Enishing you must attend.\Here we go, to the staff dining room!\I wonder why Takako's so fired up suddenly.\Episode 22 A Determined One-Sided Crush\Good morning, Ms. Tomoe!\Let's begin a wonderful day!\Hey!\Oh... sorry. response:	Come on, have a seat like everyone else, Ms. Tomoe.
context: Here we go, to the staff dining room!\I wonder why Takako's so fired up suddenly.\Episode 22 A Determined One-Sided Crush\Good morning, Ms. Tomoe!\Let's begin a wonderful day!\Hey!\Oh... sorry.\Come on, have a seat like everyone else, Ms. Tomoe. response:	We'll now begin the meeting.
context: I wonder why Takako's so fired up suddenly.\Episode 22 A Determined One-Sided Crush\Good morning, Ms. Tomoe!\Let's begin a wonderful day!\Hey!\Oh... sorry.\Come on, have a seat like everyone else, Ms. Tomoe.\We'll now begin the meeting. response:	Let's get fired up!
context: Episode 22 A Determined One-Sided Crush\Good morning, Ms. Tomoe!\Let's begin a wonderful day!\Hey!\Oh... sorry.\Come on, have a seat like everyone else, Ms. Tomoe.\We'll now begin the meeting.\Let's get fired up! response:	Are you ready?
context: Good morning, Ms. Tomoe!\Let's begin a wonderful day!\Hey!\Oh... sorry.\Come on, have a seat like everyone else, Ms. Tomoe.\We'll now begin the meeting.\Let's get fired up!\Are you ready? response:	Anyway, what led Ryunosuke Akutagawa to write Rashomon?
context: Let's begin a wonderful day!\Hey!\Oh... sorry.\Come on, have a seat like everyone else, Ms. Tomoe.\We'll now begin the meeting.\Let's get fired up!\Are you ready?\Anyway, what led Ryunosuke Akutagawa to write Rashomon? response:	His wedding with Yayoi Yoshida,
context: Hey!\Oh... sorry.\Come on, have a seat like everyone else, Ms. Tomoe.\We'll now begin the meeting.\Let's get fired up!\Are you ready?\Anyway, what led Ryunosuke Akutagawa to write Rashomon?\His wedding with Yayoi Yoshida, response:	a girl he'd known since he was a child, had been called off...
context: Oh... sorry.\Come on, have a seat like everyone else, Ms. Tomoe.\We'll now begin the meeting.\Let's get fired up!\Are you ready?\Anyway, what led Ryunosuke Akutagawa to write Rashomon?\His wedding with Yayoi Yoshida,\a girl he'd known since he was a child, had been called off... response:	Hey!
context: Come on, have a seat like everyone else, Ms. Tomoe.\We'll now begin the meeting.\Let's get fired up!\Are you ready?\Anyway, what led Ryunosuke Akutagawa to write Rashomon?\His wedding with Yayoi Yoshida,\a girl he'd known since he was a child, had been called off...\Hey! response:	Oh... I'm sorry!
context: We'll now begin the meeting.\Let's get fired up!\Are you ready?\Anyway, what led Ryunosuke Akutagawa to write Rashomon?\His wedding with Yayoi Yoshida,\a girl he'd known since he was a child, had been called off...\Hey!\Oh... I'm sorry! response:	It never rings, so I...
context: Let's get fired up!\Are you ready?\Anyway, what led Ryunosuke Akutagawa to write Rashomon?\His wedding with Yayoi Yoshida,\a girl he'd known since he was a child, had been called off...\Hey!\Oh... I'm sorry!\It never rings, so I... response:	Huh? What about your boyfriend?
context: Are you ready?\Anyway, what led Ryunosuke Akutagawa to write Rashomon?\His wedding with Yayoi Yoshida,\a girl he'd known since he was a child, had been called off...\Hey!\Oh... I'm sorry!\It never rings, so I...\Huh? What about your boyfriend? response:	Now's not a good time to bring up stuff like-
context: Anyway, what led Ryunosuke Akutagawa to write Rashomon?\His wedding with Yayoi Yoshida,\a girl he'd known since he was a child, had been called off...\Hey!\Oh... I'm sorry!\It never rings, so I...\Huh? What about your boyfriend?\Now's not a good time to bring up stuff like- response:	I'm sorry.
context: His wedding with Yayoi Yoshida,\a girl he'd known since he was a child, had been called off...\Hey!\Oh... I'm sorry!\It never rings, so I...\Huh? What about your boyfriend?\Now's not a good time to bring up stuff like-\I'm sorry. response:	What were you thinking?!
context: a girl he'd known since he was a child, had been called off...\Hey!\Oh... I'm sorry!\It never rings, so I...\Huh? What about your boyfriend?\Now's not a good time to bring up stuff like-\I'm sorry.\What were you thinking?! response:	I can't believe you called me in the middle of class.
context: Hey!\Oh... I'm sorry!\It never rings, so I...\Huh? What about your boyfriend?\Now's not a good time to bring up stuff like-\I'm sorry.\What were you thinking?!\I can't believe you called me in the middle of class. response:	Sorry, sorry.
context: Oh... I'm sorry!\It never rings, so I...\Huh? What about your boyfriend?\Now's not a good time to bring up stuff like-\I'm sorry.\What were you thinking?!\I can't believe you called me in the middle of class.\Sorry, sorry. response:	I just have this image of you constantly at work.
context: It never rings, so I...\Huh? What about your boyfriend?\Now's not a good time to bring up stuff like-\I'm sorry.\What were you thinking?!\I can't believe you called me in the middle of class.\Sorry, sorry.\I just have this image of you constantly at work. response:	I forgot that you're a high schooler.
context: Huh? What about your boyfriend?\Now's not a good time to bring up stuff like-\I'm sorry.\What were you thinking?!\I can't believe you called me in the middle of class.\Sorry, sorry.\I just have this image of you constantly at work.\I forgot that you're a high schooler. response:	So, what do you need?
context: Now's not a good time to bring up stuff like-\I'm sorry.\What were you thinking?!\I can't believe you called me in the middle of class.\Sorry, sorry.\I just have this image of you constantly at work.\I forgot that you're a high schooler.\So, what do you need? response:	Oh, I received an invitation.
context: I'm sorry.\What were you thinking?!\I can't believe you called me in the middle of class.\Sorry, sorry.\I just have this image of you constantly at work.\I forgot that you're a high schooler.\So, what do you need?\Oh, I received an invitation. response:	Enishi's getting married, huh?
context: What were you thinking?!\I can't believe you called me in the middle of class.\Sorry, sorry.\I just have this image of you constantly at work.\I forgot that you're a high schooler.\So, what do you need?\Oh, I received an invitation.\Enishi's getting married, huh? response:	Yeah!
context: I can't believe you called me in the middle of class.\Sorry, sorry.\I just have this image of you constantly at work.\I forgot that you're a high schooler.\So, what do you need?\Oh, I received an invitation.\Enishi's getting married, huh?\Yeah! response:	You're coming, right?
context: Sorry, sorry.\I just have this image of you constantly at work.\I forgot that you're a high schooler.\So, what do you need?\Oh, I received an invitation.\Enishi's getting married, huh?\Yeah!\You're coming, right? response:	It isn't that simple.
context: I just have this image of you constantly at work.\I forgot that you're a high schooler.\So, what do you need?\Oh, I received an invitation.\Enishi's getting married, huh?\Yeah!\You're coming, right?\It isn't that simple. response:	What? You're busy with work?
context: I forgot that you're a high schooler.\So, what do you need?\Oh, I received an invitation.\Enishi's getting married, huh?\Yeah!\You're coming, right?\It isn't that simple.\What? You're busy with work? response:	I've got a lot to take care of.
context: So, what do you need?\Oh, I received an invitation.\Enishi's getting married, huh?\Yeah!\You're coming, right?\It isn't that simple.\What? You're busy with work?\I've got a lot to take care of. response:	I'll send him a congratulatory message, though.
context: Oh, I received an invitation.\Enishi's getting married, huh?\Yeah!\You're coming, right?\It isn't that simple.\What? You're busy with work?\I've got a lot to take care of.\I'll send him a congratulatory message, though. response:	Enishi, huh...
context: Enishi's getting married, huh?\Yeah!\You're coming, right?\It isn't that simple.\What? You're busy with work?\I've got a lot to take care of.\I'll send him a congratulatory message, though.\Enishi, huh... response:	He's streaked ahead of you, huh?
context: Yeah!\You're coming, right?\It isn't that simple.\What? You're busy with work?\I've got a lot to take care of.\I'll send him a congratulatory message, though.\Enishi, huh...\He's streaked ahead of you, huh? response:	Hush.
context: You're coming, right?\It isn't that simple.\What? You're busy with work?\I've got a lot to take care of.\I'll send him a congratulatory message, though.\Enishi, huh...\He's streaked ahead of you, huh?\Hush. response:	Hey, your relationships with your boyfriends last too long, don't they?
context: It isn't that simple.\What? You're busy with work?\I've got a lot to take care of.\I'll send him a congratulatory message, though.\Enishi, huh...\He's streaked ahead of you, huh?\Hush.\Hey, your relationships with your boyfriends last too long, don't they? response:	What?
context: What? You're busy with work?\I've got a lot to take care of.\I'll send him a congratulatory message, though.\Enishi, huh...\He's streaked ahead of you, huh?\Hush.\Hey, your relationships with your boyfriends last too long, don't they?\What? response:	What does it mean to you when you go out with someone?
context: I've got a lot to take care of.\I'll send him a congratulatory message, though.\Enishi, huh...\He's streaked ahead of you, huh?\Hush.\Hey, your relationships with your boyfriends last too long, don't they?\What?\What does it mean to you when you go out with someone? response:	What? You've gone and caught yourself another boyfriend?
context: I'll send him a congratulatory message, though.\Enishi, huh...\He's streaked ahead of you, huh?\Hush.\Hey, your relationships with your boyfriends last too long, don't they?\What?\What does it mean to you when you go out with someone?\What? You've gone and caught yourself another boyfriend? response:	N-No!
context: Enishi, huh...\He's streaked ahead of you, huh?\Hush.\Hey, your relationships with your boyfriends last too long, don't they?\What?\What does it mean to you when you go out with someone?\What? You've gone and caught yourself another boyfriend?\N-No! response:	Hmm...
context: He's streaked ahead of you, huh?\Hush.\Hey, your relationships with your boyfriends last too long, don't they?\What?\What does it mean to you when you go out with someone?\What? You've gone and caught yourself another boyfriend?\N-No!\Hmm... response:	Maybe it's because I still have a one-sided crush on your father.
context: Hush.\Hey, your relationships with your boyfriends last too long, don't they?\What?\What does it mean to you when you go out with someone?\What? You've gone and caught yourself another boyfriend?\N-No!\Hmm...\Maybe it's because I still have a one-sided crush on your father. response:	What?!
context: Hey, your relationships with your boyfriends last too long, don't they?\What?\What does it mean to you when you go out with someone?\What? You've gone and caught yourself another boyfriend?\N-No!\Hmm...\Maybe it's because I still have a one-sided crush on your father.\What?! response:	A one-sided crush?!
context: What?\What does it mean to you when you go out with someone?\What? You've gone and caught yourself another boyfriend?\N-No!\Hmm...\Maybe it's because I still have a one-sided crush on your father.\What?!\A one-sided crush?! response:	You didn't have to scream at me.
context: What does it mean to you when you go out with someone?\What? You've gone and caught yourself another boyfriend?\N-No!\Hmm...\Maybe it's because I still have a one-sided crush on your father.\What?!\A one-sided crush?!\You didn't have to scream at me. response:	I thought I said something nice for a change.
context: What? You've gone and caught yourself another boyfriend?\N-No!\Hmm...\Maybe it's because I still have a one-sided crush on your father.\What?!\A one-sided crush?!\You didn't have to scream at me.\I thought I said something nice for a change. response:	A one-sided crush?!
context: N-No!\Hmm...\Maybe it's because I still have a one-sided crush on your father.\What?!\A one-sided crush?!\You didn't have to scream at me.\I thought I said something nice for a change.\A one-sided crush?! response:	I didn't expect those words
context: Hmm...\Maybe it's because I still have a one-sided crush on your father.\What?!\A one-sided crush?!\You didn't have to scream at me.\I thought I said something nice for a change.\A one-sided crush?!\I didn't expect those words response:	from my sex crazed mother.
context: Maybe it's because I still have a one-sided crush on your father.\What?!\A one-sided crush?!\You didn't have to scream at me.\I thought I said something nice for a change.\A one-sided crush?!\I didn't expect those words\from my sex crazed mother. response:	Jeez...
context: What?!\A one-sided crush?!\You didn't have to scream at me.\I thought I said something nice for a change.\A one-sided crush?!\I didn't expect those words\from my sex crazed mother.\Jeez... response:	I want to find a new love because
context: A one-sided crush?!\You didn't have to scream at me.\I thought I said something nice for a change.\A one-sided crush?!\I didn't expect those words\from my sex crazed mother.\Jeez...\I want to find a new love because response:	I can't forget my old one.
context: You didn't have to scream at me.\I thought I said something nice for a change.\A one-sided crush?!\I didn't expect those words\from my sex crazed mother.\Jeez...\I want to find a new love because\I can't forget my old one. response:	I couldn't get anything out of that love.
context: I thought I said something nice for a change.\A one-sided crush?!\I didn't expect those words\from my sex crazed mother.\Jeez...\I want to find a new love because\I can't forget my old one.\I couldn't get anything out of that love. response:	But, well, it's been 15 years since your father died.
context: A one-sided crush?!\I didn't expect those words\from my sex crazed mother.\Jeez...\I want to find a new love because\I can't forget my old one.\I couldn't get anything out of that love.\But, well, it's been 15 years since your father died. response:	Recently, I've been thinking that maybe
context: I didn't expect those words\from my sex crazed mother.\Jeez...\I want to find a new love because\I can't forget my old one.\I couldn't get anything out of that love.\But, well, it's been 15 years since your father died.\Recently, I've been thinking that maybe response:	I don't need to get anything out of it.
context: from my sex crazed mother.\Jeez...\I want to find a new love because\I can't forget my old one.\I couldn't get anything out of that love.\But, well, it's been 15 years since your father died.\Recently, I've been thinking that maybe\I don't need to get anything out of it. response:	Why not?
context: Jeez...\I want to find a new love because\I can't forget my old one.\I couldn't get anything out of that love.\But, well, it's been 15 years since your father died.\Recently, I've been thinking that maybe\I don't need to get anything out of it.\Why not? response:	It's once in a lifetime that you meet someone you love so much.
context: I want to find a new love because\I can't forget my old one.\I couldn't get anything out of that love.\But, well, it's been 15 years since your father died.\Recently, I've been thinking that maybe\I don't need to get anything out of it.\Why not?\It's once in a lifetime that you meet someone you love so much. response:	Maybe the fact that I met him
context: I can't forget my old one.\I couldn't get anything out of that love.\But, well, it's been 15 years since your father died.\Recently, I've been thinking that maybe\I don't need to get anything out of it.\Why not?\It's once in a lifetime that you meet someone you love so much.\Maybe the fact that I met him response:	was lucky in itself.
context: I couldn't get anything out of that love.\But, well, it's been 15 years since your father died.\Recently, I've been thinking that maybe\I don't need to get anything out of it.\Why not?\It's once in a lifetime that you meet someone you love so much.\Maybe the fact that I met him\was lucky in itself. response:	Huh?
context: But, well, it's been 15 years since your father died.\Recently, I've been thinking that maybe\I don't need to get anything out of it.\Why not?\It's once in a lifetime that you meet someone you love so much.\Maybe the fact that I met him\was lucky in itself.\Huh? response:	Ohana?
context: Recently, I've been thinking that maybe\I don't need to get anything out of it.\Why not?\It's once in a lifetime that you meet someone you love so much.\Maybe the fact that I met him\was lucky in itself.\Huh?\Ohana? response:	What?
context: I don't need to get anything out of it.\Why not?\It's once in a lifetime that you meet someone you love so much.\Maybe the fact that I met him\was lucky in itself.\Huh?\Ohana?\What? response:	Hearing her talk about her one-sided crush made
context: Why not?\It's once in a lifetime that you meet someone you love so much.\Maybe the fact that I met him\was lucky in itself.\Huh?\Ohana?\What?\Hearing her talk about her one-sided crush made response:	my heart beat so fast!
context: It's once in a lifetime that you meet someone you love so much.\Maybe the fact that I met him\was lucky in itself.\Huh?\Ohana?\What?\Hearing her talk about her one-sided crush made\my heart beat so fast! response:	Jeez!
context: Maybe the fact that I met him\was lucky in itself.\Huh?\Ohana?\What?\Hearing her talk about her one-sided crush made\my heart beat so fast!\Jeez! response:	One-sided crush?
context: was lucky in itself.\Huh?\Ohana?\What?\Hearing her talk about her one-sided crush made\my heart beat so fast!\Jeez!\One-sided crush? response:	Why...
context: Huh?\Ohana?\What?\Hearing her talk about her one-sided crush made\my heart beat so fast!\Jeez!\One-sided crush?\Why... response:	Why did I try to forget about Ko?
context: Ohana?\What?\Hearing her talk about her one-sided crush made\my heart beat so fast!\Jeez!\One-sided crush?\Why...\Why did I try to forget about Ko? response:	Minchi is so serious about Tohru...
context: What?\Hearing her talk about her one-sided crush made\my heart beat so fast!\Jeez!\One-sided crush?\Why...\Why did I try to forget about Ko?\Minchi is so serious about Tohru... response:	Why did I think I couldn't have a one-sided crush on him?
context: Hearing her talk about her one-sided crush made\my heart beat so fast!\Jeez!\One-sided crush?\Why...\Why did I try to forget about Ko?\Minchi is so serious about Tohru...\Why did I think I couldn't have a one-sided crush on him? response:	Home Economics Room
context: my heart beat so fast!\Jeez!\One-sided crush?\Why...\Why did I try to forget about Ko?\Minchi is so serious about Tohru...\Why did I think I couldn't have a one-sided crush on him?\Home Economics Room response:	Okay, it's done!
context: Jeez!\One-sided crush?\Why...\Why did I try to forget about Ko?\Minchi is so serious about Tohru...\Why did I think I couldn't have a one-sided crush on him?\Home Economics Room\Okay, it's done! response:	Wow! Amazing!
context: One-sided crush?\Why...\Why did I try to forget about Ko?\Minchi is so serious about Tohru...\Why did I think I couldn't have a one-sided crush on him?\Home Economics Room\Okay, it's done!\Wow! Amazing! response:	Yeah!
context: Why...\Why did I try to forget about Ko?\Minchi is so serious about Tohru...\Why did I think I couldn't have a one-sided crush on him?\Home Economics Room\Okay, it's done!\Wow! Amazing!\Yeah! response:	It's not bad for an amateur's work.
context: Why did I try to forget about Ko?\Minchi is so serious about Tohru...\Why did I think I couldn't have a one-sided crush on him?\Home Economics Room\Okay, it's done!\Wow! Amazing!\Yeah!\It's not bad for an amateur's work. response:	All that's left is for someone to try it on,
context: Minchi is so serious about Tohru...\Why did I think I couldn't have a one-sided crush on him?\Home Economics Room\Okay, it's done!\Wow! Amazing!\Yeah!\It's not bad for an amateur's work.\All that's left is for someone to try it on, response:	so we can make some minor adjustments.
context: Why did I think I couldn't have a one-sided crush on him?\Home Economics Room\Okay, it's done!\Wow! Amazing!\Yeah!\It's not bad for an amateur's work.\All that's left is for someone to try it on,\so we can make some minor adjustments. response:	Could you try it on, Yuina?
context: Home Economics Room\Okay, it's done!\Wow! Amazing!\Yeah!\It's not bad for an amateur's work.\All that's left is for someone to try it on,\so we can make some minor adjustments.\Could you try it on, Yuina? response:	What? I don't want to.
context: Okay, it's done!\Wow! Amazing!\Yeah!\It's not bad for an amateur's work.\All that's left is for someone to try it on,\so we can make some minor adjustments.\Could you try it on, Yuina?\What? I don't want to. response:	I hear that putting on a wedding dress
context: Wow! Amazing!\Yeah!\It's not bad for an amateur's work.\All that's left is for someone to try it on,\so we can make some minor adjustments.\Could you try it on, Yuina?\What? I don't want to.\I hear that putting on a wedding dress response:	delays your marriage in the future.
context: Yeah!\It's not bad for an amateur's work.\All that's left is for someone to try it on,\so we can make some minor adjustments.\Could you try it on, Yuina?\What? I don't want to.\I hear that putting on a wedding dress\delays your marriage in the future. response:	If I tried it, I'd be dragging the bottom...
context: It's not bad for an amateur's work.\All that's left is for someone to try it on,\so we can make some minor adjustments.\Could you try it on, Yuina?\What? I don't want to.\I hear that putting on a wedding dress\delays your marriage in the future.\If I tried it, I'd be dragging the bottom... response:	I feel like this is deja vu...
context: All that's left is for someone to try it on,\so we can make some minor adjustments.\Could you try it on, Yuina?\What? I don't want to.\I hear that putting on a wedding dress\delays your marriage in the future.\If I tried it, I'd be dragging the bottom...\I feel like this is deja vu... response:	Not a pleasant deja vu either...
context: so we can make some minor adjustments.\Could you try it on, Yuina?\What? I don't want to.\I hear that putting on a wedding dress\delays your marriage in the future.\If I tried it, I'd be dragging the bottom...\I feel like this is deja vu...\Not a pleasant deja vu either... response:	C-Can I take this off now?
context: Could you try it on, Yuina?\What? I don't want to.\I hear that putting on a wedding dress\delays your marriage in the future.\If I tried it, I'd be dragging the bottom...\I feel like this is deja vu...\Not a pleasant deja vu either...\C-Can I take this off now? response:	What should we do...
context: What? I don't want to.\I hear that putting on a wedding dress\delays your marriage in the future.\If I tried it, I'd be dragging the bottom...\I feel like this is deja vu...\Not a pleasant deja vu either...\C-Can I take this off now?\What should we do... response:	Tomoe is doing our share of the duties at the inn right now, so...
context: I hear that putting on a wedding dress\delays your marriage in the future.\If I tried it, I'd be dragging the bottom...\I feel like this is deja vu...\Not a pleasant deja vu either...\C-Can I take this off now?\What should we do...\Tomoe is doing our share of the duties at the inn right now, so... response:	Oh, we should ask Tsurugi to try it on, then!
context: delays your marriage in the future.\If I tried it, I'd be dragging the bottom...\I feel like this is deja vu...\Not a pleasant deja vu either...\C-Can I take this off now?\What should we do...\Tomoe is doing our share of the duties at the inn right now, so...\Oh, we should ask Tsurugi to try it on, then! response:	She may not be as... big as Takako there,
context: If I tried it, I'd be dragging the bottom...\I feel like this is deja vu...\Not a pleasant deja vu either...\C-Can I take this off now?\What should we do...\Tomoe is doing our share of the duties at the inn right now, so...\Oh, we should ask Tsurugi to try it on, then!\She may not be as... big as Takako there, response:	but as long as hers aren't bigger, she can try it on!
context: I feel like this is deja vu...\Not a pleasant deja vu either...\C-Can I take this off now?\What should we do...\Tomoe is doing our share of the duties at the inn right now, so...\Oh, we should ask Tsurugi to try it on, then!\She may not be as... big as Takako there,\but as long as hers aren't bigger, she can try it on! response:	As long as hers aren't bigger!
context: Not a pleasant deja vu either...\C-Can I take this off now?\What should we do...\Tomoe is doing our share of the duties at the inn right now, so...\Oh, we should ask Tsurugi to try it on, then!\She may not be as... big as Takako there,\but as long as hers aren't bigger, she can try it on!\As long as hers aren't bigger! response:	Right?
context: C-Can I take this off now?\What should we do...\Tomoe is doing our share of the duties at the inn right now, so...\Oh, we should ask Tsurugi to try it on, then!\She may not be as... big as Takako there,\but as long as hers aren't bigger, she can try it on!\As long as hers aren't bigger!\Right? response:	Looks like we're done for today.
context: What should we do...\Tomoe is doing our share of the duties at the inn right now, so...\Oh, we should ask Tsurugi to try it on, then!\She may not be as... big as Takako there,\but as long as hers aren't bigger, she can try it on!\As long as hers aren't bigger!\Right?\Looks like we're done for today. response:	You're going to start practicing making the dishes for the party now?
context: Tomoe is doing our share of the duties at the inn right now, so...\Oh, we should ask Tsurugi to try it on, then!\She may not be as... big as Takako there,\but as long as hers aren't bigger, she can try it on!\As long as hers aren't bigger!\Right?\Looks like we're done for today.\You're going to start practicing making the dishes for the party now? response:	Yup.
context: Oh, we should ask Tsurugi to try it on, then!\She may not be as... big as Takako there,\but as long as hers aren't bigger, she can try it on!\As long as hers aren't bigger!\Right?\Looks like we're done for today.\You're going to start practicing making the dishes for the party now?\Yup. response:	I sort of have an idea, but...
context: She may not be as... big as Takako there,\but as long as hers aren't bigger, she can try it on!\As long as hers aren't bigger!\Right?\Looks like we're done for today.\You're going to start practicing making the dishes for the party now?\Yup.\I sort of have an idea, but... response:	Minko...
context: but as long as hers aren't bigger, she can try it on!\As long as hers aren't bigger!\Right?\Looks like we're done for today.\You're going to start practicing making the dishes for the party now?\Yup.\I sort of have an idea, but...\Minko... response:	Umm, I...
context: As long as hers aren't bigger!\Right?\Looks like we're done for today.\You're going to start practicing making the dishes for the party now?\Yup.\I sort of have an idea, but...\Minko...\Umm, I... response:	I told you, I don't need your help.
context: Right?\Looks like we're done for today.\You're going to start practicing making the dishes for the party now?\Yup.\I sort of have an idea, but...\Minko...\Umm, I...\I told you, I don't need your help. response:	Hey...
context: Looks like we're done for today.\You're going to start practicing making the dishes for the party now?\Yup.\I sort of have an idea, but...\Minko...\Umm, I...\I told you, I don't need your help.\Hey... response:	It's fine. I've decided to stop spoiling her.
context: You're going to start practicing making the dishes for the party now?\Yup.\I sort of have an idea, but...\Minko...\Umm, I...\I told you, I don't need your help.\Hey...\It's fine. I've decided to stop spoiling her. response:	Huh?
context: Yup.\I sort of have an idea, but...\Minko...\Umm, I...\I told you, I don't need your help.\Hey...\It's fine. I've decided to stop spoiling her.\Huh? response:	I noticed that you have to be hard on them when they're in a slump,
context: I sort of have an idea, but...\Minko...\Umm, I...\I told you, I don't need your help.\Hey...\It's fine. I've decided to stop spoiling her.\Huh?\I noticed that you have to be hard on them when they're in a slump, response:	in order for them to overcome it.
context: Minko...\Umm, I...\I told you, I don't need your help.\Hey...\It's fine. I've decided to stop spoiling her.\Huh?\I noticed that you have to be hard on them when they're in a slump,\in order for them to overcome it. response:	Just like how you were ruthless with me back then.
context: Umm, I...\I told you, I don't need your help.\Hey...\It's fine. I've decided to stop spoiling her.\Huh?\I noticed that you have to be hard on them when they're in a slump,\in order for them to overcome it.\Just like how you were ruthless with me back then. response:	R-Ruth... less?
context: I told you, I don't need your help.\Hey...\It's fine. I've decided to stop spoiling her.\Huh?\I noticed that you have to be hard on them when they're in a slump,\in order for them to overcome it.\Just like how you were ruthless with me back then.\R-Ruth... less? response:	Minchi sure is late...
context: Hey...\It's fine. I've decided to stop spoiling her.\Huh?\I noticed that you have to be hard on them when they're in a slump,\in order for them to overcome it.\Just like how you were ruthless with me back then.\R-Ruth... less?\Minchi sure is late... response:	Yeah...
context: It's fine. I've decided to stop spoiling her.\Huh?\I noticed that you have to be hard on them when they're in a slump,\in order for them to overcome it.\Just like how you were ruthless with me back then.\R-Ruth... less?\Minchi sure is late...\Yeah... response:	Minchi!
context: Huh?\I noticed that you have to be hard on them when they're in a slump,\in order for them to overcome it.\Just like how you were ruthless with me back then.\R-Ruth... less?\Minchi sure is late...\Yeah...\Minchi! response:	We all made this together,
context: I noticed that you have to be hard on them when they're in a slump,\in order for them to overcome it.\Just like how you were ruthless with me back then.\R-Ruth... less?\Minchi sure is late...\Yeah...\Minchi!\We all made this together, response:	but there are some minor adjustments we need to make, so...
context: in order for them to overcome it.\Just like how you were ruthless with me back then.\R-Ruth... less?\Minchi sure is late...\Yeah...\Minchi!\We all made this together,\but there are some minor adjustments we need to make, so... response:	No, I refuse.
context: Just like how you were ruthless with me back then.\R-Ruth... less?\Minchi sure is late...\Yeah...\Minchi!\We all made this together,\but there are some minor adjustments we need to make, so...\No, I refuse. response:	What?
