context: I may have needed more soy sauce. response:	I may have needed more soy sauce.
context: It's fine. I memorized all of them.\Really?\It took me a month.\I-I forgot...\She works at this shop.\What's good on the menu today?\Dark-roasted muddy water!\She's Lucy, an ex-Guild member. response:	She works here as a live-in waitress now, for some reason.
context: Really?\It took me a month.\I-I forgot...\She works at this shop.\What's good on the menu today?\Dark-roasted muddy water!\She's Lucy, an ex-Guild member.\She works here as a live-in waitress now, for some reason. response:	You.
context: It took me a month.\I-I forgot...\She works at this shop.\What's good on the menu today?\Dark-roasted muddy water!\She's Lucy, an ex-Guild member.\She works here as a live-in waitress now, for some reason.\You. response:	Yes?
context: I-I forgot...\She works at this shop.\What's good on the menu today?\Dark-roasted muddy water!\She's Lucy, an ex-Guild member.\She works here as a live-in waitress now, for some reason.\You.\Yes? response:	Do you have any idea why I'm here?
context: She works at this shop.\What's good on the menu today?\Dark-roasted muddy water!\She's Lucy, an ex-Guild member.\She works here as a live-in waitress now, for some reason.\You.\Yes?\Do you have any idea why I'm here? response:	To take revenge.
context: What's good on the menu today?\Dark-roasted muddy water!\She's Lucy, an ex-Guild member.\She works here as a live-in waitress now, for some reason.\You.\Yes?\Do you have any idea why I'm here?\To take revenge. response:	On you.
context: Dark-roasted muddy water!\She's Lucy, an ex-Guild member.\She works here as a live-in waitress now, for some reason.\You.\Yes?\Do you have any idea why I'm here?\To take revenge.\On you. response:	You'd better remember why.
context: She's Lucy, an ex-Guild member.\She works here as a live-in waitress now, for some reason.\You.\Yes?\Do you have any idea why I'm here?\To take revenge.\On you.\You'd better remember why. response:	But you saved me on the Moby Dick before.
context: She works here as a live-in waitress now, for some reason.\You.\Yes?\Do you have any idea why I'm here?\To take revenge.\On you.\You'd better remember why.\But you saved me on the Moby Dick before. response:	Hot milk.
context: You.\Yes?\Do you have any idea why I'm here?\To take revenge.\On you.\You'd better remember why.\But you saved me on the Moby Dick before.\Hot milk. response:	With sugar.
context: Yes?\Do you have any idea why I'm here?\To take revenge.\On you.\You'd better remember why.\But you saved me on the Moby Dick before.\Hot milk.\With sugar. response:	Episode 31 Part 1
context: Do you have any idea why I'm here?\To take revenge.\On you.\You'd better remember why.\But you saved me on the Moby Dick before.\Hot milk.\With sugar.\Episode 31 Part 1 response:	Herurisu!
context: To take revenge.\On you.\You'd better remember why.\But you saved me on the Moby Dick before.\Hot milk.\With sugar.\Episode 31 Part 1\Herurisu! response:	If you don't remember why I'm taking revenge on you,
context: On you.\You'd better remember why.\But you saved me on the Moby Dick before.\Hot milk.\With sugar.\Episode 31 Part 1\Herurisu!\If you don't remember why I'm taking revenge on you, response:	I'll seriously strangle you to death.
context: You'd better remember why.\But you saved me on the Moby Dick before.\Hot milk.\With sugar.\Episode 31 Part 1\Herurisu!\If you don't remember why I'm taking revenge on you,\I'll seriously strangle you to death. response:	Don't worry.
context: But you saved me on the Moby Dick before.\Hot milk.\With sugar.\Episode 31 Part 1\Herurisu!\If you don't remember why I'm taking revenge on you,\I'll seriously strangle you to death.\Don't worry. response:	If she does something, I'll cut her down first.
context: Hot milk.\With sugar.\Episode 31 Part 1\Herurisu!\If you don't remember why I'm taking revenge on you,\I'll seriously strangle you to death.\Don't worry.\If she does something, I'll cut her down first. response:	Did I do something wrong?
context: With sugar.\Episode 31 Part 1\Herurisu!\If you don't remember why I'm taking revenge on you,\I'll seriously strangle you to death.\Don't worry.\If she does something, I'll cut her down first.\Did I do something wrong? response:	I thought we understood each other.
context: Episode 31 Part 1\Herurisu!\If you don't remember why I'm taking revenge on you,\I'll seriously strangle you to death.\Don't worry.\If she does something, I'll cut her down first.\Did I do something wrong?\I thought we understood each other. response:	Speaking of which, I'd forgotten...
context: Herurisu!\If you don't remember why I'm taking revenge on you,\I'll seriously strangle you to death.\Don't worry.\If she does something, I'll cut her down first.\Did I do something wrong?\I thought we understood each other.\Speaking of which, I'd forgotten... response:	Some weirdo came and left this request for the Detective Agency.
context: If you don't remember why I'm taking revenge on you,\I'll seriously strangle you to death.\Don't worry.\If she does something, I'll cut her down first.\Did I do something wrong?\I thought we understood each other.\Speaking of which, I'd forgotten...\Some weirdo came and left this request for the Detective Agency. response:	It's not for you.
context: I'll seriously strangle you to death.\Don't worry.\If she does something, I'll cut her down first.\Did I do something wrong?\I thought we understood each other.\Speaking of which, I'd forgotten...\Some weirdo came and left this request for the Detective Agency.\It's not for you. response:	It's for the little shrimp there.
context: Don't worry.\If she does something, I'll cut her down first.\Did I do something wrong?\I thought we understood each other.\Speaking of which, I'd forgotten...\Some weirdo came and left this request for the Detective Agency.\It's not for you.\It's for the little shrimp there. response:	Me?
context: If she does something, I'll cut her down first.\Did I do something wrong?\I thought we understood each other.\Speaking of which, I'd forgotten...\Some weirdo came and left this request for the Detective Agency.\It's not for you.\It's for the little shrimp there.\Me? response:	The request is...
context: Did I do something wrong?\I thought we understood each other.\Speaking of which, I'd forgotten...\Some weirdo came and left this request for the Detective Agency.\It's not for you.\It's for the little shrimp there.\Me?\The request is... response:	to deliver a briefcase containing a large sum of money to a specified company.
context: I thought we understood each other.\Speaking of which, I'd forgotten...\Some weirdo came and left this request for the Detective Agency.\It's not for you.\It's for the little shrimp there.\Me?\The request is...\to deliver a briefcase containing a large sum of money to a specified company. response:	Danger No Swimming
context: Speaking of which, I'd forgotten...\Some weirdo came and left this request for the Detective Agency.\It's not for you.\It's for the little shrimp there.\Me?\The request is...\to deliver a briefcase containing a large sum of money to a specified company.\Danger No Swimming response:	Apparently, the briefcase is on board one of these boats.
context: Some weirdo came and left this request for the Detective Agency.\It's not for you.\It's for the little shrimp there.\Me?\The request is...\to deliver a briefcase containing a large sum of money to a specified company.\Danger No Swimming\Apparently, the briefcase is on board one of these boats. response:	But which one?
context: It's not for you.\It's for the little shrimp there.\Me?\The request is...\to deliver a briefcase containing a large sum of money to a specified company.\Danger No Swimming\Apparently, the briefcase is on board one of these boats.\But which one? response:	Did they omit something by mistake?
context: It's for the little shrimp there.\Me?\The request is...\to deliver a briefcase containing a large sum of money to a specified company.\Danger No Swimming\Apparently, the briefcase is on board one of these boats.\But which one?\Did they omit something by mistake? response:	It doesn't say anything about which boat.
context: Me?\The request is...\to deliver a briefcase containing a large sum of money to a specified company.\Danger No Swimming\Apparently, the briefcase is on board one of these boats.\But which one?\Did they omit something by mistake?\It doesn't say anything about which boat. response:	We'll have to split up and search.
context: The request is...\to deliver a briefcase containing a large sum of money to a specified company.\Danger No Swimming\Apparently, the briefcase is on board one of these boats.\But which one?\Did they omit something by mistake?\It doesn't say anything about which boat.\We'll have to split up and search. response:	Danger
context: to deliver a briefcase containing a large sum of money to a specified company.\Danger No Swimming\Apparently, the briefcase is on board one of these boats.\But which one?\Did they omit something by mistake?\It doesn't say anything about which boat.\We'll have to split up and search.\Danger response:	No Swimming
context: Danger No Swimming\Apparently, the briefcase is on board one of these boats.\But which one?\Did they omit something by mistake?\It doesn't say anything about which boat.\We'll have to split up and search.\Danger\No Swimming response:	You're right.
context: Apparently, the briefcase is on board one of these boats.\But which one?\Did they omit something by mistake?\It doesn't say anything about which boat.\We'll have to split up and search.\Danger\No Swimming\You're right. response:	Fool!
context: But which one?\Did they omit something by mistake?\It doesn't say anything about which boat.\We'll have to split up and search.\Danger\No Swimming\You're right.\Fool! response:	You're trespassing, you little brat!
context: Did they omit something by mistake?\It doesn't say anything about which boat.\We'll have to split up and search.\Danger\No Swimming\You're right.\Fool!\You're trespassing, you little brat! response:	I'm sorry!
context: It doesn't say anything about which boat.\We'll have to split up and search.\Danger\No Swimming\You're right.\Fool!\You're trespassing, you little brat!\I'm sorry! response:	This sucks.
context: We'll have to split up and search.\Danger\No Swimming\You're right.\Fool!\You're trespassing, you little brat!\I'm sorry!\This sucks. response:	I'm going to get reported if I keep searching like this.
context: Danger\No Swimming\You're right.\Fool!\You're trespassing, you little brat!\I'm sorry!\This sucks.\I'm going to get reported if I keep searching like this. response:	In a bind, thievish kitty?
context: No Swimming\You're right.\Fool!\You're trespassing, you little brat!\I'm sorry!\This sucks.\I'm going to get reported if I keep searching like this.\In a bind, thievish kitty? response:	Ta-da.
context: You're right.\Fool!\You're trespassing, you little brat!\I'm sorry!\This sucks.\I'm going to get reported if I keep searching like this.\In a bind, thievish kitty?\Ta-da. response:	You pulled the page out?
context: Fool!\You're trespassing, you little brat!\I'm sorry!\This sucks.\I'm going to get reported if I keep searching like this.\In a bind, thievish kitty?\Ta-da.\You pulled the page out? response:	Of course I did.
context: You're trespassing, you little brat!\I'm sorry!\This sucks.\I'm going to get reported if I keep searching like this.\In a bind, thievish kitty?\Ta-da.\You pulled the page out?\Of course I did. response:	How would it be revenge if I'd given you all of it?
context: I'm sorry!\This sucks.\I'm going to get reported if I keep searching like this.\In a bind, thievish kitty?\Ta-da.\You pulled the page out?\Of course I did.\How would it be revenge if I'd given you all of it? response:	What's with the face?
context: This sucks.\I'm going to get reported if I keep searching like this.\In a bind, thievish kitty?\Ta-da.\You pulled the page out?\Of course I did.\How would it be revenge if I'd given you all of it?\What's with the face? response:	Don't tell me you still don't know why I'm angry.
context: I'm going to get reported if I keep searching like this.\In a bind, thievish kitty?\Ta-da.\You pulled the page out?\Of course I did.\How would it be revenge if I'd given you all of it?\What's with the face?\Don't tell me you still don't know why I'm angry. response:	N-No, of course I do.
context: In a bind, thievish kitty?\Ta-da.\You pulled the page out?\Of course I did.\How would it be revenge if I'd given you all of it?\What's with the face?\Don't tell me you still don't know why I'm angry.\N-No, of course I do. response:	It's because, uhh...
context: Ta-da.\You pulled the page out?\Of course I did.\How would it be revenge if I'd given you all of it?\What's with the face?\Don't tell me you still don't know why I'm angry.\N-No, of course I do.\It's because, uhh... response:	You don't like my bangs.
context: You pulled the page out?\Of course I did.\How would it be revenge if I'd given you all of it?\What's with the face?\Don't tell me you still don't know why I'm angry.\N-No, of course I do.\It's because, uhh...\You don't like my bangs. response:	Are you mental?!
context: Of course I did.\How would it be revenge if I'd given you all of it?\What's with the face?\Don't tell me you still don't know why I'm angry.\N-No, of course I do.\It's because, uhh...\You don't like my bangs.\Are you mental?! response:	Listen. Don't you remember what I said when I helped you escape from the Moby Dick?
context: How would it be revenge if I'd given you all of it?\What's with the face?\Don't tell me you still don't know why I'm angry.\N-No, of course I do.\It's because, uhh...\You don't like my bangs.\Are you mental?!\Listen. Don't you remember what I said when I helped you escape from the Moby Dick? response:	Save me from this place someday.
context: What's with the face?\Don't tell me you still don't know why I'm angry.\N-No, of course I do.\It's because, uhh...\You don't like my bangs.\Are you mental?!\Listen. Don't you remember what I said when I helped you escape from the Moby Dick?\Save me from this place someday. response:	I'll be waiting.
context: Don't tell me you still don't know why I'm angry.\N-No, of course I do.\It's because, uhh...\You don't like my bangs.\Are you mental?!\Listen. Don't you remember what I said when I helped you escape from the Moby Dick?\Save me from this place someday.\I'll be waiting. response:	All right.
context: N-No, of course I do.\It's because, uhh...\You don't like my bangs.\Are you mental?!\Listen. Don't you remember what I said when I helped you escape from the Moby Dick?\Save me from this place someday.\I'll be waiting.\All right. response:	Yet look what you've done!
context: It's because, uhh...\You don't like my bangs.\Are you mental?!\Listen. Don't you remember what I said when I helped you escape from the Moby Dick?\Save me from this place someday.\I'll be waiting.\All right.\Yet look what you've done! response:	W-Wait!
context: You don't like my bangs.\Are you mental?!\Listen. Don't you remember what I said when I helped you escape from the Moby Dick?\Save me from this place someday.\I'll be waiting.\All right.\Yet look what you've done!\W-Wait! response:	You were taken straight to the ground from the Moby Dick.
context: Are you mental?!\Listen. Don't you remember what I said when I helped you escape from the Moby Dick?\Save me from this place someday.\I'll be waiting.\All right.\Yet look what you've done!\W-Wait!\You were taken straight to the ground from the Moby Dick. response:	I couldn't have saved you.
context: Listen. Don't you remember what I said when I helped you escape from the Moby Dick?\Save me from this place someday.\I'll be waiting.\All right.\Yet look what you've done!\W-Wait!\You were taken straight to the ground from the Moby Dick.\I couldn't have saved you. response:	Then couldn't you have at least said something when we met again?
context: Save me from this place someday.\I'll be waiting.\All right.\Yet look what you've done!\W-Wait!\You were taken straight to the ground from the Moby Dick.\I couldn't have saved you.\Then couldn't you have at least said something when we met again? response:	Want the page?
context: I'll be waiting.\All right.\Yet look what you've done!\W-Wait!\You were taken straight to the ground from the Moby Dick.\I couldn't have saved you.\Then couldn't you have at least said something when we met again?\Want the page? response:	Swim for it, you thievish cat.
context: All right.\Yet look what you've done!\W-Wait!\You were taken straight to the ground from the Moby Dick.\I couldn't have saved you.\Then couldn't you have at least said something when we met again?\Want the page?\Swim for it, you thievish cat. response:	An old mooring chain...
context: Yet look what you've done!\W-Wait!\You were taken straight to the ground from the Moby Dick.\I couldn't have saved you.\Then couldn't you have at least said something when we met again?\Want the page?\Swim for it, you thievish cat.\An old mooring chain... response:	Danger No Swimming
context: W-Wait!\You were taken straight to the ground from the Moby Dick.\I couldn't have saved you.\Then couldn't you have at least said something when we met again?\Want the page?\Swim for it, you thievish cat.\An old mooring chain...\Danger No Swimming response:	What's taking him so long?
context: You were taken straight to the ground from the Moby Dick.\I couldn't have saved you.\Then couldn't you have at least said something when we met again?\Want the page?\Swim for it, you thievish cat.\An old mooring chain...\Danger No Swimming\What's taking him so long? response:	Wait, you're joking, right?
context: I couldn't have saved you.\Then couldn't you have at least said something when we met again?\Want the page?\Swim for it, you thievish cat.\An old mooring chain...\Danger No Swimming\What's taking him so long?\Wait, you're joking, right? response:	Are you an idiot or something?
context: Then couldn't you have at least said something when we met again?\Want the page?\Swim for it, you thievish cat.\An old mooring chain...\Danger No Swimming\What's taking him so long?\Wait, you're joking, right?\Are you an idiot or something? response:	You're the gifted who defeated the Guild.
context: Want the page?\Swim for it, you thievish cat.\An old mooring chain...\Danger No Swimming\What's taking him so long?\Wait, you're joking, right?\Are you an idiot or something?\You're the gifted who defeated the Guild. response:	Could you please not drown right by the shore like that?
context: Swim for it, you thievish cat.\An old mooring chain...\Danger No Swimming\What's taking him so long?\Wait, you're joking, right?\Are you an idiot or something?\You're the gifted who defeated the Guild.\Could you please not drown right by the shore like that? response:	Where am I?
context: An old mooring chain...\Danger No Swimming\What's taking him so long?\Wait, you're joking, right?\Are you an idiot or something?\You're the gifted who defeated the Guild.\Could you please not drown right by the shore like that?\Where am I? response:	I transported you out of the water and into Anne's room.
context: Danger No Swimming\What's taking him so long?\Wait, you're joking, right?\Are you an idiot or something?\You're the gifted who defeated the Guild.\Could you please not drown right by the shore like that?\Where am I?\I transported you out of the water and into Anne's room. response:	My ability doesn't work unless I'm close to my target.
context: What's taking him so long?\Wait, you're joking, right?\Are you an idiot or something?\You're the gifted who defeated the Guild.\Could you please not drown right by the shore like that?\Where am I?\I transported you out of the water and into Anne's room.\My ability doesn't work unless I'm close to my target. response:	Now I'm a wet rat, too!
context: Wait, you're joking, right?\Are you an idiot or something?\You're the gifted who defeated the Guild.\Could you please not drown right by the shore like that?\Where am I?\I transported you out of the water and into Anne's room.\My ability doesn't work unless I'm close to my target.\Now I'm a wet rat, too! response:	Thanks.
context: Are you an idiot or something?\You're the gifted who defeated the Guild.\Could you please not drown right by the shore like that?\Where am I?\I transported you out of the water and into Anne's room.\My ability doesn't work unless I'm close to my target.\Now I'm a wet rat, too!\Thanks. response:	I owe you again.
context: You're the gifted who defeated the Guild.\Could you please not drown right by the shore like that?\Where am I?\I transported you out of the water and into Anne's room.\My ability doesn't work unless I'm close to my target.\Now I'm a wet rat, too!\Thanks.\I owe you again. response:	Sorry.
context: Could you please not drown right by the shore like that?\Where am I?\I transported you out of the water and into Anne's room.\My ability doesn't work unless I'm close to my target.\Now I'm a wet rat, too!\Thanks.\I owe you again.\Sorry. response:	I was planning to save you during the Moby Dick infiltration.
context: Where am I?\I transported you out of the water and into Anne's room.\My ability doesn't work unless I'm close to my target.\Now I'm a wet rat, too!\Thanks.\I owe you again.\Sorry.\I was planning to save you during the Moby Dick infiltration. response:	But I ended up being chased down by Akutagawa,
context: I transported you out of the water and into Anne's room.\My ability doesn't work unless I'm close to my target.\Now I'm a wet rat, too!\Thanks.\I owe you again.\Sorry.\I was planning to save you during the Moby Dick infiltration.\But I ended up being chased down by Akutagawa, response:	and there was only so much time before it crashed.
context: My ability doesn't work unless I'm close to my target.\Now I'm a wet rat, too!\Thanks.\I owe you again.\Sorry.\I was planning to save you during the Moby Dick infiltration.\But I ended up being chased down by Akutagawa,\and there was only so much time before it crashed. response:	I tried my best to find you.
context: Now I'm a wet rat, too!\Thanks.\I owe you again.\Sorry.\I was planning to save you during the Moby Dick infiltration.\But I ended up being chased down by Akutagawa,\and there was only so much time before it crashed.\I tried my best to find you. response:	You looked for me?
context: Thanks.\I owe you again.\Sorry.\I was planning to save you during the Moby Dick infiltration.\But I ended up being chased down by Akutagawa,\and there was only so much time before it crashed.\I tried my best to find you.\You looked for me? response:	I was so relieved when I realized you weren't there.
context: I owe you again.\Sorry.\I was planning to save you during the Moby Dick infiltration.\But I ended up being chased down by Akutagawa,\and there was only so much time before it crashed.\I tried my best to find you.\You looked for me?\I was so relieved when I realized you weren't there. response:	Saying it was for revenge was just an excuse.
context: Sorry.\I was planning to save you during the Moby Dick infiltration.\But I ended up being chased down by Akutagawa,\and there was only so much time before it crashed.\I tried my best to find you.\You looked for me?\I was so relieved when I realized you weren't there.\Saying it was for revenge was just an excuse. response:	The real reason I started that job
context: I was planning to save you during the Moby Dick infiltration.\But I ended up being chased down by Akutagawa,\and there was only so much time before it crashed.\I tried my best to find you.\You looked for me?\I was so relieved when I realized you weren't there.\Saying it was for revenge was just an excuse.\The real reason I started that job response:	was to apologize for not waiting like I promised.
context: But I ended up being chased down by Akutagawa,\and there was only so much time before it crashed.\I tried my best to find you.\You looked for me?\I was so relieved when I realized you weren't there.\Saying it was for revenge was just an excuse.\The real reason I started that job\was to apologize for not waiting like I promised. response:	A-And...
context: and there was only so much time before it crashed.\I tried my best to find you.\You looked for me?\I was so relieved when I realized you weren't there.\Saying it was for revenge was just an excuse.\The real reason I started that job\was to apologize for not waiting like I promised.\A-And... response:	Oh, no.
context: I tried my best to find you.\You looked for me?\I was so relieved when I realized you weren't there.\Saying it was for revenge was just an excuse.\The real reason I started that job\was to apologize for not waiting like I promised.\A-And...\Oh, no. response:	I can't finish work when my clothes are so wet.
context: You looked for me?\I was so relieved when I realized you weren't there.\Saying it was for revenge was just an excuse.\The real reason I started that job\was to apologize for not waiting like I promised.\A-And...\Oh, no.\I can't finish work when my clothes are so wet. response:	I know.
context: I was so relieved when I realized you weren't there.\Saying it was for revenge was just an excuse.\The real reason I started that job\was to apologize for not waiting like I promised.\A-And...\Oh, no.\I can't finish work when my clothes are so wet.\I know. response:	If you can transport just a person's body from the water,
context: Saying it was for revenge was just an excuse.\The real reason I started that job\was to apologize for not waiting like I promised.\A-And...\Oh, no.\I can't finish work when my clothes are so wet.\I know.\If you can transport just a person's body from the water, response:	could you transport just the moisture from wet clothes?
context: The real reason I started that job\was to apologize for not waiting like I promised.\A-And...\Oh, no.\I can't finish work when my clothes are so wet.\I know.\If you can transport just a person's body from the water,\could you transport just the moisture from wet clothes? response:	Huh?
context: was to apologize for not waiting like I promised.\A-And...\Oh, no.\I can't finish work when my clothes are so wet.\I know.\If you can transport just a person's body from the water,\could you transport just the moisture from wet clothes?\Huh? response:	What I mean is...
context: A-And...\Oh, no.\I can't finish work when my clothes are so wet.\I know.\If you can transport just a person's body from the water,\could you transport just the moisture from wet clothes?\Huh?\What I mean is... response:	First, you return the two of us to reality,
context: Oh, no.\I can't finish work when my clothes are so wet.\I know.\If you can transport just a person's body from the water,\could you transport just the moisture from wet clothes?\Huh?\What I mean is...\First, you return the two of us to reality, response:	and then re-transport just the two of us and our clothes, without the moisture.
context: I can't finish work when my clothes are so wet.\I know.\If you can transport just a person's body from the water,\could you transport just the moisture from wet clothes?\Huh?\What I mean is...\First, you return the two of us to reality,\and then re-transport just the two of us and our clothes, without the moisture. response:	Poof
context: I know.\If you can transport just a person's body from the water,\could you transport just the moisture from wet clothes?\Huh?\What I mean is...\First, you return the two of us to reality,\and then re-transport just the two of us and our clothes, without the moisture.\Poof response:	Poof
context: If you can transport just a person's body from the water,\could you transport just the moisture from wet clothes?\Huh?\What I mean is...\First, you return the two of us to reality,\and then re-transport just the two of us and our clothes, without the moisture.\Poof\Poof response:	That way, we can switch back into our dry clothes instantly.
context: could you transport just the moisture from wet clothes?\Huh?\What I mean is...\First, you return the two of us to reality,\and then re-transport just the two of us and our clothes, without the moisture.\Poof\Poof\That way, we can switch back into our dry clothes instantly. response:	Don't blame me if it doesn't work out.
context: Huh?\What I mean is...\First, you return the two of us to reality,\and then re-transport just the two of us and our clothes, without the moisture.\Poof\Poof\That way, we can switch back into our dry clothes instantly.\Don't blame me if it doesn't work out. response:	Another all-nighter, Ango-senpai?
context: What I mean is...\First, you return the two of us to reality,\and then re-transport just the two of us and our clothes, without the moisture.\Poof\Poof\That way, we can switch back into our dry clothes instantly.\Don't blame me if it doesn't work out.\Another all-nighter, Ango-senpai? response:	What's the situation?
context: First, you return the two of us to reality,\and then re-transport just the two of us and our clothes, without the moisture.\Poof\Poof\That way, we can switch back into our dry clothes instantly.\Don't blame me if it doesn't work out.\Another all-nighter, Ango-senpai?\What's the situation? response:	A Special Operations Division document transport vehicle was attacked.
context: and then re-transport just the two of us and our clothes, without the moisture.\Poof\Poof\That way, we can switch back into our dry clothes instantly.\Don't blame me if it doesn't work out.\Another all-nighter, Ango-senpai?\What's the situation?\A Special Operations Division document transport vehicle was attacked. response:	They stole our reports.
context: Poof\Poof\That way, we can switch back into our dry clothes instantly.\Don't blame me if it doesn't work out.\Another all-nighter, Ango-senpai?\What's the situation?\A Special Operations Division document transport vehicle was attacked.\They stole our reports. response:	One attacker.
context: Poof\That way, we can switch back into our dry clothes instantly.\Don't blame me if it doesn't work out.\Another all-nighter, Ango-senpai?\What's the situation?\A Special Operations Division document transport vehicle was attacked.\They stole our reports.\One attacker. response:	We're told they were dressed like a postal worker.
context: That way, we can switch back into our dry clothes instantly.\Don't blame me if it doesn't work out.\Another all-nighter, Ango-senpai?\What's the situation?\A Special Operations Division document transport vehicle was attacked.\They stole our reports.\One attacker.\We're told they were dressed like a postal worker. response:	Attacking a Special Operations Division armed transport vehicle alone...
context: Don't blame me if it doesn't work out.\Another all-nighter, Ango-senpai?\What's the situation?\A Special Operations Division document transport vehicle was attacked.\They stole our reports.\One attacker.\We're told they were dressed like a postal worker.\Attacking a Special Operations Division armed transport vehicle alone... response:	They must be quite skilled.
context: Another all-nighter, Ango-senpai?\What's the situation?\A Special Operations Division document transport vehicle was attacked.\They stole our reports.\One attacker.\We're told they were dressed like a postal worker.\Attacking a Special Operations Division armed transport vehicle alone...\They must be quite skilled. response:	Which report did they take?
context: What's the situation?\A Special Operations Division document transport vehicle was attacked.\They stole our reports.\One attacker.\We're told they were dressed like a postal worker.\Attacking a Special Operations Division armed transport vehicle alone...\They must be quite skilled.\Which report did they take? response:	Document Number E-7581A.
context: A Special Operations Division document transport vehicle was attacked.\They stole our reports.\One attacker.\We're told they were dressed like a postal worker.\Attacking a Special Operations Division armed transport vehicle alone...\They must be quite skilled.\Which report did they take?\Document Number E-7581A. response:	Why would they take that one?
context: They stole our reports.\One attacker.\We're told they were dressed like a postal worker.\Attacking a Special Operations Division armed transport vehicle alone...\They must be quite skilled.\Which report did they take?\Document Number E-7581A.\Why would they take that one? response:	What's it about?
context: One attacker.\We're told they were dressed like a postal worker.\Attacking a Special Operations Division armed transport vehicle alone...\They must be quite skilled.\Which report did they take?\Document Number E-7581A.\Why would they take that one?\What's it about? response:	Investigation records that would reduce her punishment.
context: We're told they were dressed like a postal worker.\Attacking a Special Operations Division armed transport vehicle alone...\They must be quite skilled.\Which report did they take?\Document Number E-7581A.\Why would they take that one?\What's it about?\Investigation records that would reduce her punishment. response:	It's a record of the ability Demon Snow, and her parents whom she killed.
context: Attacking a Special Operations Division armed transport vehicle alone...\They must be quite skilled.\Which report did they take?\Document Number E-7581A.\Why would they take that one?\What's it about?\Investigation records that would reduce her punishment.\It's a record of the ability Demon Snow, and her parents whom she killed. response:	Ability aside, why the parents?
