context: So many kinds of weapons! response:	All made from the bones and hides of demons!
context: we came upon a village of Demon Slayers...\said to be the birthplace of the Sacred Jewel.\Naraku's treachery had reached this spot as well...\and the entire village had been annihilated.\Every Slayer except Sango was killed.\The Sacred Jewel which Kikyo had tried to hide from the world...\The Sacred Jewel which eons later burst forth from my body...\In this village, everything would become clear. response:	Damn it! What's going on anyway?!
context: said to be the birthplace of the Sacred Jewel.\Naraku's treachery had reached this spot as well...\and the entire village had been annihilated.\Every Slayer except Sango was killed.\The Sacred Jewel which Kikyo had tried to hide from the world...\The Sacred Jewel which eons later burst forth from my body...\In this village, everything would become clear.\Damn it! What's going on anyway?! response:	Hey, Miroku!
context: Naraku's treachery had reached this spot as well...\and the entire village had been annihilated.\Every Slayer except Sango was killed.\The Sacred Jewel which Kikyo had tried to hide from the world...\The Sacred Jewel which eons later burst forth from my body...\In this village, everything would become clear.\Damn it! What's going on anyway?!\Hey, Miroku! response:	Is that Sango still in bed?
context: and the entire village had been annihilated.\Every Slayer except Sango was killed.\The Sacred Jewel which Kikyo had tried to hide from the world...\The Sacred Jewel which eons later burst forth from my body...\In this village, everything would become clear.\Damn it! What's going on anyway?!\Hey, Miroku!\Is that Sango still in bed? response:	I believe so.
context: Every Slayer except Sango was killed.\The Sacred Jewel which Kikyo had tried to hide from the world...\The Sacred Jewel which eons later burst forth from my body...\In this village, everything would become clear.\Damn it! What's going on anyway?!\Hey, Miroku!\Is that Sango still in bed?\I believe so. response:	Well, get her up!
context: The Sacred Jewel which Kikyo had tried to hide from the world...\The Sacred Jewel which eons later burst forth from my body...\In this village, everything would become clear.\Damn it! What's going on anyway?!\Hey, Miroku!\Is that Sango still in bed?\I believe so.\Well, get her up! response:	She knows Naraku's whereabouts!
context: The Sacred Jewel which eons later burst forth from my body...\In this village, everything would become clear.\Damn it! What's going on anyway?!\Hey, Miroku!\Is that Sango still in bed?\I believe so.\Well, get her up!\She knows Naraku's whereabouts! response:	She says she can't remember the castle where Naraku is staying!
context: In this village, everything would become clear.\Damn it! What's going on anyway?!\Hey, Miroku!\Is that Sango still in bed?\I believe so.\Well, get her up!\She knows Naraku's whereabouts!\She says she can't remember the castle where Naraku is staying! response:	But if we keep looking, she's bound to remember!
context: Damn it! What's going on anyway?!\Hey, Miroku!\Is that Sango still in bed?\I believe so.\Well, get her up!\She knows Naraku's whereabouts!\She says she can't remember the castle where Naraku is staying!\But if we keep looking, she's bound to remember! response:	It's probably Naraku's doing.
context: Hey, Miroku!\Is that Sango still in bed?\I believe so.\Well, get her up!\She knows Naraku's whereabouts!\She says she can't remember the castle where Naraku is staying!\But if we keep looking, she's bound to remember!\It's probably Naraku's doing. response:	He probably put a spell on her...
context: Is that Sango still in bed?\I believe so.\Well, get her up!\She knows Naraku's whereabouts!\She says she can't remember the castle where Naraku is staying!\But if we keep looking, she's bound to remember!\It's probably Naraku's doing.\He probably put a spell on her... response:	which made her forget everything...
context: I believe so.\Well, get her up!\She knows Naraku's whereabouts!\She says she can't remember the castle where Naraku is staying!\But if we keep looking, she's bound to remember!\It's probably Naraku's doing.\He probably put a spell on her...\which made her forget everything... response:	So what?! We've been waiting now for ten days!
context: Well, get her up!\She knows Naraku's whereabouts!\She says she can't remember the castle where Naraku is staying!\But if we keep looking, she's bound to remember!\It's probably Naraku's doing.\He probably put a spell on her...\which made her forget everything...\So what?! We've been waiting now for ten days! response:	A wound like that... I'd be up and around in three days!
context: She knows Naraku's whereabouts!\She says she can't remember the castle where Naraku is staying!\But if we keep looking, she's bound to remember!\It's probably Naraku's doing.\He probably put a spell on her...\which made her forget everything...\So what?! We've been waiting now for ten days!\A wound like that... I'd be up and around in three days! response:	I would probably take to bed for a month.
context: She says she can't remember the castle where Naraku is staying!\But if we keep looking, she's bound to remember!\It's probably Naraku's doing.\He probably put a spell on her...\which made her forget everything...\So what?! We've been waiting now for ten days!\A wound like that... I'd be up and around in three days!\I would probably take to bed for a month. response:	Besides, Sango suffers not only from physical injuries.
context: But if we keep looking, she's bound to remember!\It's probably Naraku's doing.\He probably put a spell on her...\which made her forget everything...\So what?! We've been waiting now for ten days!\A wound like that... I'd be up and around in three days!\I would probably take to bed for a month.\Besides, Sango suffers not only from physical injuries. response:	She lost her entire family...
context: It's probably Naraku's doing.\He probably put a spell on her...\which made her forget everything...\So what?! We've been waiting now for ten days!\A wound like that... I'd be up and around in three days!\I would probably take to bed for a month.\Besides, Sango suffers not only from physical injuries.\She lost her entire family... response:	the wound to her heart goes deep.
context: He probably put a spell on her...\which made her forget everything...\So what?! We've been waiting now for ten days!\A wound like that... I'd be up and around in three days!\I would probably take to bed for a month.\Besides, Sango suffers not only from physical injuries.\She lost her entire family...\the wound to her heart goes deep. response:	A wounded heart, huh?
context: which made her forget everything...\So what?! We've been waiting now for ten days!\A wound like that... I'd be up and around in three days!\I would probably take to bed for a month.\Besides, Sango suffers not only from physical injuries.\She lost her entire family...\the wound to her heart goes deep.\A wounded heart, huh? response:	The best cure for that is vengeance!
context: So what?! We've been waiting now for ten days!\A wound like that... I'd be up and around in three days!\I would probably take to bed for a month.\Besides, Sango suffers not only from physical injuries.\She lost her entire family...\the wound to her heart goes deep.\A wounded heart, huh?\The best cure for that is vengeance! response:	And for that, we have to find the castle where Naraku is staying!
context: A wound like that... I'd be up and around in three days!\I would probably take to bed for a month.\Besides, Sango suffers not only from physical injuries.\She lost her entire family...\the wound to her heart goes deep.\A wounded heart, huh?\The best cure for that is vengeance!\And for that, we have to find the castle where Naraku is staying! response:	Awright! I'll go and ask her!
context: I would probably take to bed for a month.\Besides, Sango suffers not only from physical injuries.\She lost her entire family...\the wound to her heart goes deep.\A wounded heart, huh?\The best cure for that is vengeance!\And for that, we have to find the castle where Naraku is staying!\Awright! I'll go and ask her! response:	Owwee! What're you doing?!
context: Besides, Sango suffers not only from physical injuries.\She lost her entire family...\the wound to her heart goes deep.\A wounded heart, huh?\The best cure for that is vengeance!\And for that, we have to find the castle where Naraku is staying!\Awright! I'll go and ask her!\Owwee! What're you doing?! response:	Let her be for a while.
context: She lost her entire family...\the wound to her heart goes deep.\A wounded heart, huh?\The best cure for that is vengeance!\And for that, we have to find the castle where Naraku is staying!\Awright! I'll go and ask her!\Owwee! What're you doing?!\Let her be for a while. response:	That's the best medicine.
context: the wound to her heart goes deep.\A wounded heart, huh?\The best cure for that is vengeance!\And for that, we have to find the castle where Naraku is staying!\Awright! I'll go and ask her!\Owwee! What're you doing?!\Let her be for a while.\That's the best medicine. response:	Huh?
context: A wounded heart, huh?\The best cure for that is vengeance!\And for that, we have to find the castle where Naraku is staying!\Awright! I'll go and ask her!\Owwee! What're you doing?!\Let her be for a while.\That's the best medicine.\Huh? response:	She's gone.
context: The best cure for that is vengeance!\And for that, we have to find the castle where Naraku is staying!\Awright! I'll go and ask her!\Owwee! What're you doing?!\Let her be for a while.\That's the best medicine.\Huh?\She's gone. response:	Sango!
context: And for that, we have to find the castle where Naraku is staying!\Awright! I'll go and ask her!\Owwee! What're you doing?!\Let her be for a while.\That's the best medicine.\Huh?\She's gone.\Sango! response:	Should you be up? You still need to rest.
context: Awright! I'll go and ask her!\Owwee! What're you doing?!\Let her be for a while.\That's the best medicine.\Huh?\She's gone.\Sango!\Should you be up? You still need to rest. response:	The graves...
context: Owwee! What're you doing?!\Let her be for a while.\That's the best medicine.\Huh?\She's gone.\Sango!\Should you be up? You still need to rest.\The graves... response:	Huh?
context: Let her be for a while.\That's the best medicine.\Huh?\She's gone.\Sango!\Should you be up? You still need to rest.\The graves...\Huh? response:	You buried everyone and marked their graves.
context: That's the best medicine.\Huh?\She's gone.\Sango!\Should you be up? You still need to rest.\The graves...\Huh?\You buried everyone and marked their graves. response:	Uh-huh...
context: Huh?\She's gone.\Sango!\Should you be up? You still need to rest.\The graves...\Huh?\You buried everyone and marked their graves.\Uh-huh... response:	Umm... Uh...
context: She's gone.\Sango!\Should you be up? You still need to rest.\The graves...\Huh?\You buried everyone and marked their graves.\Uh-huh...\Umm... Uh... response:	I can't tell her to cheer up.
context: Sango!\Should you be up? You still need to rest.\The graves...\Huh?\You buried everyone and marked their graves.\Uh-huh...\Umm... Uh...\I can't tell her to cheer up. response:	In one short day, she became all alone in the world.
context: Should you be up? You still need to rest.\The graves...\Huh?\You buried everyone and marked their graves.\Uh-huh...\Umm... Uh...\I can't tell her to cheer up.\In one short day, she became all alone in the world. response:	When your wound heals, won't you come with us?
context: The graves...\Huh?\You buried everyone and marked their graves.\Uh-huh...\Umm... Uh...\I can't tell her to cheer up.\In one short day, she became all alone in the world.\When your wound heals, won't you come with us? response:	Inuyasha and Miroku are basically good people.
context: Huh?\You buried everyone and marked their graves.\Uh-huh...\Umm... Uh...\I can't tell her to cheer up.\In one short day, she became all alone in the world.\When your wound heals, won't you come with us?\Inuyasha and Miroku are basically good people. response:	What do you think?
context: You buried everyone and marked their graves.\Uh-huh...\Umm... Uh...\I can't tell her to cheer up.\In one short day, she became all alone in the world.\When your wound heals, won't you come with us?\Inuyasha and Miroku are basically good people.\What do you think? response:	You... had a fragment of the Sacred Jewel.
context: Uh-huh...\Umm... Uh...\I can't tell her to cheer up.\In one short day, she became all alone in the world.\When your wound heals, won't you come with us?\Inuyasha and Miroku are basically good people.\What do you think?\You... had a fragment of the Sacred Jewel. response:	Huh?
context: Umm... Uh...\I can't tell her to cheer up.\In one short day, she became all alone in the world.\When your wound heals, won't you come with us?\Inuyasha and Miroku are basically good people.\What do you think?\You... had a fragment of the Sacred Jewel.\Huh? response:	The fragment of the Sacred Jewel energizes the power of evil...
context: I can't tell her to cheer up.\In one short day, she became all alone in the world.\When your wound heals, won't you come with us?\Inuyasha and Miroku are basically good people.\What do you think?\You... had a fragment of the Sacred Jewel.\Huh?\The fragment of the Sacred Jewel energizes the power of evil... response:	It's far from its original shape.
context: In one short day, she became all alone in the world.\When your wound heals, won't you come with us?\Inuyasha and Miroku are basically good people.\What do you think?\You... had a fragment of the Sacred Jewel.\Huh?\The fragment of the Sacred Jewel energizes the power of evil...\It's far from its original shape. response:	Naraku will come after it.
context: When your wound heals, won't you come with us?\Inuyasha and Miroku are basically good people.\What do you think?\You... had a fragment of the Sacred Jewel.\Huh?\The fragment of the Sacred Jewel energizes the power of evil...\It's far from its original shape.\Naraku will come after it. response:	All right, I'll come with you.
context: Inuyasha and Miroku are basically good people.\What do you think?\You... had a fragment of the Sacred Jewel.\Huh?\The fragment of the Sacred Jewel energizes the power of evil...\It's far from its original shape.\Naraku will come after it.\All right, I'll come with you. response:	You intend to avenge your family and village?
context: What do you think?\You... had a fragment of the Sacred Jewel.\Huh?\The fragment of the Sacred Jewel energizes the power of evil...\It's far from its original shape.\Naraku will come after it.\All right, I'll come with you.\You intend to avenge your family and village? response:	I guess... Plus the Sacred Jewel was...
context: You... had a fragment of the Sacred Jewel.\Huh?\The fragment of the Sacred Jewel energizes the power of evil...\It's far from its original shape.\Naraku will come after it.\All right, I'll come with you.\You intend to avenge your family and village?\I guess... Plus the Sacred Jewel was... response:	Born in this region.
context: Huh?\The fragment of the Sacred Jewel energizes the power of evil...\It's far from its original shape.\Naraku will come after it.\All right, I'll come with you.\You intend to avenge your family and village?\I guess... Plus the Sacred Jewel was...\Born in this region. response:	We came to this village wanting to know more about that.
context: The fragment of the Sacred Jewel energizes the power of evil...\It's far from its original shape.\Naraku will come after it.\All right, I'll come with you.\You intend to avenge your family and village?\I guess... Plus the Sacred Jewel was...\Born in this region.\We came to this village wanting to know more about that. response:	Everyone who comes in contact with the Sacred Jewel fragment...
context: It's far from its original shape.\Naraku will come after it.\All right, I'll come with you.\You intend to avenge your family and village?\I guess... Plus the Sacred Jewel was...\Born in this region.\We came to this village wanting to know more about that.\Everyone who comes in contact with the Sacred Jewel fragment... response:	becomes unhappy.
context: Naraku will come after it.\All right, I'll come with you.\You intend to avenge your family and village?\I guess... Plus the Sacred Jewel was...\Born in this region.\We came to this village wanting to know more about that.\Everyone who comes in contact with the Sacred Jewel fragment...\becomes unhappy. response:	Just what is the Sacred Jewel?
context: All right, I'll come with you.\You intend to avenge your family and village?\I guess... Plus the Sacred Jewel was...\Born in this region.\We came to this village wanting to know more about that.\Everyone who comes in contact with the Sacred Jewel fragment...\becomes unhappy.\Just what is the Sacred Jewel? response:	What is it, Kirara?
context: You intend to avenge your family and village?\I guess... Plus the Sacred Jewel was...\Born in this region.\We came to this village wanting to know more about that.\Everyone who comes in contact with the Sacred Jewel fragment...\becomes unhappy.\Just what is the Sacred Jewel?\What is it, Kirara? response:	Call your friends.
context: I guess... Plus the Sacred Jewel was...\Born in this region.\We came to this village wanting to know more about that.\Everyone who comes in contact with the Sacred Jewel fragment...\becomes unhappy.\Just what is the Sacred Jewel?\What is it, Kirara?\Call your friends. response:	You helped bury the dead.
context: Born in this region.\We came to this village wanting to know more about that.\Everyone who comes in contact with the Sacred Jewel fragment...\becomes unhappy.\Just what is the Sacred Jewel?\What is it, Kirara?\Call your friends.\You helped bury the dead. response:	I'll tell you...
context: We came to this village wanting to know more about that.\Everyone who comes in contact with the Sacred Jewel fragment...\becomes unhappy.\Just what is the Sacred Jewel?\What is it, Kirara?\Call your friends.\You helped bury the dead.\I'll tell you... response:	how the Sacred Jewel came to be.
context: Everyone who comes in contact with the Sacred Jewel fragment...\becomes unhappy.\Just what is the Sacred Jewel?\What is it, Kirara?\Call your friends.\You helped bury the dead.\I'll tell you...\how the Sacred Jewel came to be. response:	At last, we'll be able to enter this limestone cave...
context: becomes unhappy.\Just what is the Sacred Jewel?\What is it, Kirara?\Call your friends.\You helped bury the dead.\I'll tell you...\how the Sacred Jewel came to be.\At last, we'll be able to enter this limestone cave... response:	where the Sacred Jewel came to be.
context: Just what is the Sacred Jewel?\What is it, Kirara?\Call your friends.\You helped bury the dead.\I'll tell you...\how the Sacred Jewel came to be.\At last, we'll be able to enter this limestone cave...\where the Sacred Jewel came to be. response:	So Sango...
context: What is it, Kirara?\Call your friends.\You helped bury the dead.\I'll tell you...\how the Sacred Jewel came to be.\At last, we'll be able to enter this limestone cave...\where the Sacred Jewel came to be.\So Sango... response:	just how do we get rid of this barrier?
context: Call your friends.\You helped bury the dead.\I'll tell you...\how the Sacred Jewel came to be.\At last, we'll be able to enter this limestone cave...\where the Sacred Jewel came to be.\So Sango...\just how do we get rid of this barrier? response:	Precisely... We must say the age-old incantation...
context: You helped bury the dead.\I'll tell you...\how the Sacred Jewel came to be.\At last, we'll be able to enter this limestone cave...\where the Sacred Jewel came to be.\So Sango...\just how do we get rid of this barrier?\Precisely... We must say the age-old incantation... response:	and the barrier will be broken...
context: I'll tell you...\how the Sacred Jewel came to be.\At last, we'll be able to enter this limestone cave...\where the Sacred Jewel came to be.\So Sango...\just how do we get rid of this barrier?\Precisely... We must say the age-old incantation...\and the barrier will be broken... response:	There's no such incantation.
context: how the Sacred Jewel came to be.\At last, we'll be able to enter this limestone cave...\where the Sacred Jewel came to be.\So Sango...\just how do we get rid of this barrier?\Precisely... We must say the age-old incantation...\and the barrier will be broken...\There's no such incantation. response:	Huh?
context: At last, we'll be able to enter this limestone cave...\where the Sacred Jewel came to be.\So Sango...\just how do we get rid of this barrier?\Precisely... We must say the age-old incantation...\and the barrier will be broken...\There's no such incantation.\Huh? response:	Then how?!
context: where the Sacred Jewel came to be.\So Sango...\just how do we get rid of this barrier?\Precisely... We must say the age-old incantation...\and the barrier will be broken...\There's no such incantation.\Huh?\Then how?! response:	Myoga...
context: So Sango...\just how do we get rid of this barrier?\Precisely... We must say the age-old incantation...\and the barrier will be broken...\There's no such incantation.\Huh?\Then how?!\Myoga... response:	This is a graveyard.
context: just how do we get rid of this barrier?\Precisely... We must say the age-old incantation...\and the barrier will be broken...\There's no such incantation.\Huh?\Then how?!\Myoga...\This is a graveyard. response:	Graveyard?
context: Precisely... We must say the age-old incantation...\and the barrier will be broken...\There's no such incantation.\Huh?\Then how?!\Myoga...\This is a graveyard.\Graveyard? response:	It's useless to just look for ways in.
context: and the barrier will be broken...\There's no such incantation.\Huh?\Then how?!\Myoga...\This is a graveyard.\Graveyard?\It's useless to just look for ways in. response:	At first, we all thought that the demons had placed a curse...
context: There's no such incantation.\Huh?\Then how?!\Myoga...\This is a graveyard.\Graveyard?\It's useless to just look for ways in.\At first, we all thought that the demons had placed a curse... response:	to keep anyone from entering.
context: Huh?\Then how?!\Myoga...\This is a graveyard.\Graveyard?\It's useless to just look for ways in.\At first, we all thought that the demons had placed a curse...\to keep anyone from entering. response:	But it seems that she is the one who keeps intruders out.
context: Then how?!\Myoga...\This is a graveyard.\Graveyard?\It's useless to just look for ways in.\At first, we all thought that the demons had placed a curse...\to keep anyone from entering.\But it seems that she is the one who keeps intruders out. response:	She?
context: Myoga...\This is a graveyard.\Graveyard?\It's useless to just look for ways in.\At first, we all thought that the demons had placed a curse...\to keep anyone from entering.\But it seems that she is the one who keeps intruders out.\She? response:	The person from whom the Sacred Jewel was born.
context: This is a graveyard.\Graveyard?\It's useless to just look for ways in.\At first, we all thought that the demons had placed a curse...\to keep anyone from entering.\But it seems that she is the one who keeps intruders out.\She?\The person from whom the Sacred Jewel was born. response:	Her sadness and regret keep people from entering.
context: Graveyard?\It's useless to just look for ways in.\At first, we all thought that the demons had placed a curse...\to keep anyone from entering.\But it seems that she is the one who keeps intruders out.\She?\The person from whom the Sacred Jewel was born.\Her sadness and regret keep people from entering. response:	That's what I sense.
context: It's useless to just look for ways in.\At first, we all thought that the demons had placed a curse...\to keep anyone from entering.\But it seems that she is the one who keeps intruders out.\She?\The person from whom the Sacred Jewel was born.\Her sadness and regret keep people from entering.\That's what I sense. response:	It'll be easier to understand if we go in.
context: At first, we all thought that the demons had placed a curse...\to keep anyone from entering.\But it seems that she is the one who keeps intruders out.\She?\The person from whom the Sacred Jewel was born.\Her sadness and regret keep people from entering.\That's what I sense.\It'll be easier to understand if we go in. response:	Go ahead, enter.
context: to keep anyone from entering.\But it seems that she is the one who keeps intruders out.\She?\The person from whom the Sacred Jewel was born.\Her sadness and regret keep people from entering.\That's what I sense.\It'll be easier to understand if we go in.\Go ahead, enter. response:	Ahh...
context: But it seems that she is the one who keeps intruders out.\She?\The person from whom the Sacred Jewel was born.\Her sadness and regret keep people from entering.\That's what I sense.\It'll be easier to understand if we go in.\Go ahead, enter.\Ahh... response:	Are you sure?
context: She?\The person from whom the Sacred Jewel was born.\Her sadness and regret keep people from entering.\That's what I sense.\It'll be easier to understand if we go in.\Go ahead, enter.\Ahh...\Are you sure? response:	Until now, countless people have become victims of the Sacred Jewel.
context: The person from whom the Sacred Jewel was born.\Her sadness and regret keep people from entering.\That's what I sense.\It'll be easier to understand if we go in.\Go ahead, enter.\Ahh...\Are you sure?\Until now, countless people have become victims of the Sacred Jewel. response:	You sympathize with them...
context: Her sadness and regret keep people from entering.\That's what I sense.\It'll be easier to understand if we go in.\Go ahead, enter.\Ahh...\Are you sure?\Until now, countless people have become victims of the Sacred Jewel.\You sympathize with them... response:	so I'm sure she will allow you to enter.
context: That's what I sense.\It'll be easier to understand if we go in.\Go ahead, enter.\Ahh...\Are you sure?\Until now, countless people have become victims of the Sacred Jewel.\You sympathize with them...\so I'm sure she will allow you to enter. response:	She's right. We got through.
context: It'll be easier to understand if we go in.\Go ahead, enter.\Ahh...\Are you sure?\Until now, countless people have become victims of the Sacred Jewel.\You sympathize with them...\so I'm sure she will allow you to enter.\She's right. We got through. response:	We did it! Now we can meet this person...
context: Go ahead, enter.\Ahh...\Are you sure?\Until now, countless people have become victims of the Sacred Jewel.\You sympathize with them...\so I'm sure she will allow you to enter.\She's right. We got through.\We did it! Now we can meet this person... response:	who gave birth to the Sacred Jewel!
context: Ahh...\Are you sure?\Until now, countless people have become victims of the Sacred Jewel.\You sympathize with them...\so I'm sure she will allow you to enter.\She's right. We got through.\We did it! Now we can meet this person...\who gave birth to the Sacred Jewel! response:	Enter Myoga!
context: Are you sure?\Until now, countless people have become victims of the Sacred Jewel.\You sympathize with them...\so I'm sure she will allow you to enter.\She's right. We got through.\We did it! Now we can meet this person...\who gave birth to the Sacred Jewel!\Enter Myoga! response:	W-why?!
context: Until now, countless people have become victims of the Sacred Jewel.\You sympathize with them...\so I'm sure she will allow you to enter.\She's right. We got through.\We did it! Now we can meet this person...\who gave birth to the Sacred Jewel!\Enter Myoga!\W-why?! response:	What IS this?!
context: You sympathize with them...\so I'm sure she will allow you to enter.\She's right. We got through.\We did it! Now we can meet this person...\who gave birth to the Sacred Jewel!\Enter Myoga!\W-why?!\What IS this?! response:	Demons, dragons and spiders all merged into one to wage a battle...
context: so I'm sure she will allow you to enter.\She's right. We got through.\We did it! Now we can meet this person...\who gave birth to the Sacred Jewel!\Enter Myoga!\W-why?!\What IS this?!\Demons, dragons and spiders all merged into one to wage a battle... response:	against one single human.
context: She's right. We got through.\We did it! Now we can meet this person...\who gave birth to the Sacred Jewel!\Enter Myoga!\W-why?!\What IS this?!\Demons, dragons and spiders all merged into one to wage a battle...\against one single human. response:	There's a mummy inside the stalagmite!
context: We did it! Now we can meet this person...\who gave birth to the Sacred Jewel!\Enter Myoga!\W-why?!\What IS this?!\Demons, dragons and spiders all merged into one to wage a battle...\against one single human.\There's a mummy inside the stalagmite! response:	The demon has her in its jaws...
context: who gave birth to the Sacred Jewel!\Enter Myoga!\W-why?!\What IS this?!\Demons, dragons and spiders all merged into one to wage a battle...\against one single human.\There's a mummy inside the stalagmite!\The demon has her in its jaws... response:	An ancient armor...
context: Enter Myoga!\W-why?!\What IS this?!\Demons, dragons and spiders all merged into one to wage a battle...\against one single human.\There's a mummy inside the stalagmite!\The demon has her in its jaws...\An ancient armor... response:	A warrior of long ago?
context: W-why?!\What IS this?!\Demons, dragons and spiders all merged into one to wage a battle...\against one single human.\There's a mummy inside the stalagmite!\The demon has her in its jaws...\An ancient armor...\A warrior of long ago? response:	It's a woman.
context: What IS this?!\Demons, dragons and spiders all merged into one to wage a battle...\against one single human.\There's a mummy inside the stalagmite!\The demon has her in its jaws...\An ancient armor...\A warrior of long ago?\It's a woman. response:	A priestess from several centuries ago.
context: Demons, dragons and spiders all merged into one to wage a battle...\against one single human.\There's a mummy inside the stalagmite!\The demon has her in its jaws...\An ancient armor...\A warrior of long ago?\It's a woman.\A priestess from several centuries ago. response:	A priestess?
context: against one single human.\There's a mummy inside the stalagmite!\The demon has her in its jaws...\An ancient armor...\A warrior of long ago?\It's a woman.\A priestess from several centuries ago.\A priestess? response:	But look at the number of demons surrounding her.
context: There's a mummy inside the stalagmite!\The demon has her in its jaws...\An ancient armor...\A warrior of long ago?\It's a woman.\A priestess from several centuries ago.\A priestess?\But look at the number of demons surrounding her. response:	This priestess must have had immense spiritual power.
context: The demon has her in its jaws...\An ancient armor...\A warrior of long ago?\It's a woman.\A priestess from several centuries ago.\A priestess?\But look at the number of demons surrounding her.\This priestess must have had immense spiritual power. response:	The court nobles controlled power at that time.
context: An ancient armor...\A warrior of long ago?\It's a woman.\A priestess from several centuries ago.\A priestess?\But look at the number of demons surrounding her.\This priestess must have had immense spiritual power.\The court nobles controlled power at that time. response:	Wars and famine dragged on and on...
context: A warrior of long ago?\It's a woman.\A priestess from several centuries ago.\A priestess?\But look at the number of demons surrounding her.\This priestess must have had immense spiritual power.\The court nobles controlled power at that time.\Wars and famine dragged on and on... response:	and countless people perished.
context: It's a woman.\A priestess from several centuries ago.\A priestess?\But look at the number of demons surrounding her.\This priestess must have had immense spiritual power.\The court nobles controlled power at that time.\Wars and famine dragged on and on...\and countless people perished. response:	By devouring the dead and the near-dead...
context: A priestess from several centuries ago.\A priestess?\But look at the number of demons surrounding her.\This priestess must have had immense spiritual power.\The court nobles controlled power at that time.\Wars and famine dragged on and on...\and countless people perished.\By devouring the dead and the near-dead... response:	demons grew in number.
context: A priestess?\But look at the number of demons surrounding her.\This priestess must have had immense spiritual power.\The court nobles controlled power at that time.\Wars and famine dragged on and on...\and countless people perished.\By devouring the dead and the near-dead...\demons grew in number. response:	Many priests and warriors set out to saly them...
context: But look at the number of demons surrounding her.\This priestess must have had immense spiritual power.\The court nobles controlled power at that time.\Wars and famine dragged on and on...\and countless people perished.\By devouring the dead and the near-dead...\demons grew in number.\Many priests and warriors set out to saly them... response:	but one priestess known as Midoriko...
