context: Okikura here. response:	Hi, it's Fukami, from school.
context: Episode 3 Utility Tank\Yeah, is that now?\Yeah, now.\Let's meet up to talk.\I'll go to your place.\Eh?\It'll get late if we meet now.\No, don't worry about it. I'll be fine. response:	I'm going to finish up some things first.
context: Yeah, is that now?\Yeah, now.\Let's meet up to talk.\I'll go to your place.\Eh?\It'll get late if we meet now.\No, don't worry about it. I'll be fine.\I'm going to finish up some things first. response:	I have a really important guest
context: Yeah, now.\Let's meet up to talk.\I'll go to your place.\Eh?\It'll get late if we meet now.\No, don't worry about it. I'll be fine.\I'm going to finish up some things first.\I have a really important guest response:	Piece! Yeah, piecethat I'm going to work on.
context: Let's meet up to talk.\I'll go to your place.\Eh?\It'll get late if we meet now.\No, don't worry about it. I'll be fine.\I'm going to finish up some things first.\I have a really important guest\Piece! Yeah, piecethat I'm going to work on. response:	So don't come into the workshop.
context: I'll go to your place.\Eh?\It'll get late if we meet now.\No, don't worry about it. I'll be fine.\I'm going to finish up some things first.\I have a really important guest\Piece! Yeah, piecethat I'm going to work on.\So don't come into the workshop. response:	Sure, but be done by dinner.
context: Eh?\It'll get late if we meet now.\No, don't worry about it. I'll be fine.\I'm going to finish up some things first.\I have a really important guest\Piece! Yeah, piecethat I'm going to work on.\So don't come into the workshop.\Sure, but be done by dinner. response:	I will.
context: It'll get late if we meet now.\No, don't worry about it. I'll be fine.\I'm going to finish up some things first.\I have a really important guest\Piece! Yeah, piecethat I'm going to work on.\So don't come into the workshop.\Sure, but be done by dinner.\I will. response:	You're a hard worker, Touko.
context: No, don't worry about it. I'll be fine.\I'm going to finish up some things first.\I have a really important guest\Piece! Yeah, piecethat I'm going to work on.\So don't come into the workshop.\Sure, but be done by dinner.\I will.\You're a hard worker, Touko. response:	It wasn't Yana-chan that Yuki-kun liked...
context: I'm going to finish up some things first.\I have a really important guest\Piece! Yeah, piecethat I'm going to work on.\So don't come into the workshop.\Sure, but be done by dinner.\I will.\You're a hard worker, Touko.\It wasn't Yana-chan that Yuki-kun liked... response:	And Okikura-kun is coming over...
context: I have a really important guest\Piece! Yeah, piecethat I'm going to work on.\So don't come into the workshop.\Sure, but be done by dinner.\I will.\You're a hard worker, Touko.\It wasn't Yana-chan that Yuki-kun liked...\And Okikura-kun is coming over... response:	Okay.
context: Piece! Yeah, piecethat I'm going to work on.\So don't come into the workshop.\Sure, but be done by dinner.\I will.\You're a hard worker, Touko.\It wasn't Yana-chan that Yuki-kun liked...\And Okikura-kun is coming over...\Okay. response:	Yuki-kun and Yana-chan are such precious friends to me.
context: So don't come into the workshop.\Sure, but be done by dinner.\I will.\You're a hard worker, Touko.\It wasn't Yana-chan that Yuki-kun liked...\And Okikura-kun is coming over...\Okay.\Yuki-kun and Yana-chan are such precious friends to me. response:	They always have been, and they always will be.
context: Sure, but be done by dinner.\I will.\You're a hard worker, Touko.\It wasn't Yana-chan that Yuki-kun liked...\And Okikura-kun is coming over...\Okay.\Yuki-kun and Yana-chan are such precious friends to me.\They always have been, and they always will be. response:	But even if my feelings don't change,
context: I will.\You're a hard worker, Touko.\It wasn't Yana-chan that Yuki-kun liked...\And Okikura-kun is coming over...\Okay.\Yuki-kun and Yana-chan are such precious friends to me.\They always have been, and they always will be.\But even if my feelings don't change, response:	our friendships might.
context: You're a hard worker, Touko.\It wasn't Yana-chan that Yuki-kun liked...\And Okikura-kun is coming over...\Okay.\Yuki-kun and Yana-chan are such precious friends to me.\They always have been, and they always will be.\But even if my feelings don't change,\our friendships might. response:	Yana-chan's crying.
context: It wasn't Yana-chan that Yuki-kun liked...\And Okikura-kun is coming over...\Okay.\Yuki-kun and Yana-chan are such precious friends to me.\They always have been, and they always will be.\But even if my feelings don't change,\our friendships might.\Yana-chan's crying. response:	Try glassware single-flower cups
context: And Okikura-kun is coming over...\Okay.\Yuki-kun and Yana-chan are such precious friends to me.\They always have been, and they always will be.\But even if my feelings don't change,\our friendships might.\Yana-chan's crying.\Try glassware single-flower cups response:	I'm going to make Yana-chan cry.
context: Okay.\Yuki-kun and Yana-chan are such precious friends to me.\They always have been, and they always will be.\But even if my feelings don't change,\our friendships might.\Yana-chan's crying.\Try glassware single-flower cups\I'm going to make Yana-chan cry. response:	You saw the future?
context: Yuki-kun and Yana-chan are such precious friends to me.\They always have been, and they always will be.\But even if my feelings don't change,\our friendships might.\Yana-chan's crying.\Try glassware single-flower cups\I'm going to make Yana-chan cry.\You saw the future? response:	Yeah.
context: They always have been, and they always will be.\But even if my feelings don't change,\our friendships might.\Yana-chan's crying.\Try glassware single-flower cups\I'm going to make Yana-chan cry.\You saw the future?\Yeah. response:	Makes sense.
context: But even if my feelings don't change,\our friendships might.\Yana-chan's crying.\Try glassware single-flower cups\I'm going to make Yana-chan cry.\You saw the future?\Yeah.\Makes sense. response:	Hm?
context: our friendships might.\Yana-chan's crying.\Try glassware single-flower cups\I'm going to make Yana-chan cry.\You saw the future?\Yeah.\Makes sense.\Hm? response:	This is why glass is your medium.
context: Yana-chan's crying.\Try glassware single-flower cups\I'm going to make Yana-chan cry.\You saw the future?\Yeah.\Makes sense.\Hm?\This is why glass is your medium. response:	Maybe.
context: Try glassware single-flower cups\I'm going to make Yana-chan cry.\You saw the future?\Yeah.\Makes sense.\Hm?\This is why glass is your medium.\Maybe. response:	A guest?
context: I'm going to make Yana-chan cry.\You saw the future?\Yeah.\Makes sense.\Hm?\This is why glass is your medium.\Maybe.\A guest? response:	Good evening.
context: You saw the future?\Yeah.\Makes sense.\Hm?\This is why glass is your medium.\Maybe.\A guest?\Good evening. response:	We're busy.
context: Yeah.\Makes sense.\Hm?\This is why glass is your medium.\Maybe.\A guest?\Good evening.\We're busy. response:	Thanks for taking care of my sister.
context: Makes sense.\Hm?\This is why glass is your medium.\Maybe.\A guest?\Good evening.\We're busy.\Thanks for taking care of my sister. response:	I'll bring tea
context: Hm?\This is why glass is your medium.\Maybe.\A guest?\Good evening.\We're busy.\Thanks for taking care of my sister.\I'll bring tea response:	It's fine, Okikura-kun was just about to leave.
context: This is why glass is your medium.\Maybe.\A guest?\Good evening.\We're busy.\Thanks for taking care of my sister.\I'll bring tea\It's fine, Okikura-kun was just about to leave. response:	D-Don't tell Mom and Dad, okay?
context: Maybe.\A guest?\Good evening.\We're busy.\Thanks for taking care of my sister.\I'll bring tea\It's fine, Okikura-kun was just about to leave.\D-Don't tell Mom and Dad, okay? response:	We're having pork cutlets tonight.
context: A guest?\Good evening.\We're busy.\Thanks for taking care of my sister.\I'll bring tea\It's fine, Okikura-kun was just about to leave.\D-Don't tell Mom and Dad, okay?\We're having pork cutlets tonight. response:	See you.
context: Good evening.\We're busy.\Thanks for taking care of my sister.\I'll bring tea\It's fine, Okikura-kun was just about to leave.\D-Don't tell Mom and Dad, okay?\We're having pork cutlets tonight.\See you. response:	Sorry you came only to have me kick you out.
context: We're busy.\Thanks for taking care of my sister.\I'll bring tea\It's fine, Okikura-kun was just about to leave.\D-Don't tell Mom and Dad, okay?\We're having pork cutlets tonight.\See you.\Sorry you came only to have me kick you out. response:	Don't worry about it.
context: Thanks for taking care of my sister.\I'll bring tea\It's fine, Okikura-kun was just about to leave.\D-Don't tell Mom and Dad, okay?\We're having pork cutlets tonight.\See you.\Sorry you came only to have me kick you out.\Don't worry about it. response:	I wanted to see Yana-chan and Yuki-kun's future.
context: I'll bring tea\It's fine, Okikura-kun was just about to leave.\D-Don't tell Mom and Dad, okay?\We're having pork cutlets tonight.\See you.\Sorry you came only to have me kick you out.\Don't worry about it.\I wanted to see Yana-chan and Yuki-kun's future. response:	Did Yukinari Imi confess to you or something?
context: It's fine, Okikura-kun was just about to leave.\D-Don't tell Mom and Dad, okay?\We're having pork cutlets tonight.\See you.\Sorry you came only to have me kick you out.\Don't worry about it.\I wanted to see Yana-chan and Yuki-kun's future.\Did Yukinari Imi confess to you or something? response:	H-How did you
context: D-Don't tell Mom and Dad, okay?\We're having pork cutlets tonight.\See you.\Sorry you came only to have me kick you out.\Don't worry about it.\I wanted to see Yana-chan and Yuki-kun's future.\Did Yukinari Imi confess to you or something?\H-How did you response:	Yana-chan realized there was
context: We're having pork cutlets tonight.\See you.\Sorry you came only to have me kick you out.\Don't worry about it.\I wanted to see Yana-chan and Yuki-kun's future.\Did Yukinari Imi confess to you or something?\H-How did you\Yana-chan realized there was response:	someone Yuki-kun liked,
context: See you.\Sorry you came only to have me kick you out.\Don't worry about it.\I wanted to see Yana-chan and Yuki-kun's future.\Did Yukinari Imi confess to you or something?\H-How did you\Yana-chan realized there was\someone Yuki-kun liked, response:	so she came to talk to me.
context: Sorry you came only to have me kick you out.\Don't worry about it.\I wanted to see Yana-chan and Yuki-kun's future.\Did Yukinari Imi confess to you or something?\H-How did you\Yana-chan realized there was\someone Yuki-kun liked,\so she came to talk to me. response:	You must have been the only one who hadn't noticed.
context: Don't worry about it.\I wanted to see Yana-chan and Yuki-kun's future.\Did Yukinari Imi confess to you or something?\H-How did you\Yana-chan realized there was\someone Yuki-kun liked,\so she came to talk to me.\You must have been the only one who hadn't noticed. response:	What would you have done, having seen their future?
context: I wanted to see Yana-chan and Yuki-kun's future.\Did Yukinari Imi confess to you or something?\H-How did you\Yana-chan realized there was\someone Yuki-kun liked,\so she came to talk to me.\You must have been the only one who hadn't noticed.\What would you have done, having seen their future? response:	I wanted to think of a way to make sure we wouldn't get torn apart.
context: Did Yukinari Imi confess to you or something?\H-How did you\Yana-chan realized there was\someone Yuki-kun liked,\so she came to talk to me.\You must have been the only one who hadn't noticed.\What would you have done, having seen their future?\I wanted to think of a way to make sure we wouldn't get torn apart. response:	I don't know if that can be granted,
context: H-How did you\Yana-chan realized there was\someone Yuki-kun liked,\so she came to talk to me.\You must have been the only one who hadn't noticed.\What would you have done, having seen their future?\I wanted to think of a way to make sure we wouldn't get torn apart.\I don't know if that can be granted, response:	but I like that you put effort into everything.
context: Yana-chan realized there was\someone Yuki-kun liked,\so she came to talk to me.\You must have been the only one who hadn't noticed.\What would you have done, having seen their future?\I wanted to think of a way to make sure we wouldn't get torn apart.\I don't know if that can be granted,\but I like that you put effort into everything. response:	I'll be fine from here. Thanks.
context: someone Yuki-kun liked,\so she came to talk to me.\You must have been the only one who hadn't noticed.\What would you have done, having seen their future?\I wanted to think of a way to make sure we wouldn't get torn apart.\I don't know if that can be granted,\but I like that you put effort into everything.\I'll be fine from here. Thanks. response:	We're going to the mountain tomorrow.
context: so she came to talk to me.\You must have been the only one who hadn't noticed.\What would you have done, having seen their future?\I wanted to think of a way to make sure we wouldn't get torn apart.\I don't know if that can be granted,\but I like that you put effort into everything.\I'll be fine from here. Thanks.\We're going to the mountain tomorrow. response:	Would you like to come, too?
context: You must have been the only one who hadn't noticed.\What would you have done, having seen their future?\I wanted to think of a way to make sure we wouldn't get torn apart.\I don't know if that can be granted,\but I like that you put effort into everything.\I'll be fine from here. Thanks.\We're going to the mountain tomorrow.\Would you like to come, too? response:	Why?
context: What would you have done, having seen their future?\I wanted to think of a way to make sure we wouldn't get torn apart.\I don't know if that can be granted,\but I like that you put effort into everything.\I'll be fine from here. Thanks.\We're going to the mountain tomorrow.\Would you like to come, too?\Why? response:	I was thinking maybe you haven't made
context: I wanted to think of a way to make sure we wouldn't get torn apart.\I don't know if that can be granted,\but I like that you put effort into everything.\I'll be fine from here. Thanks.\We're going to the mountain tomorrow.\Would you like to come, too?\Why?\I was thinking maybe you haven't made response:	many new friends here yet.
context: I don't know if that can be granted,\but I like that you put effort into everything.\I'll be fine from here. Thanks.\We're going to the mountain tomorrow.\Would you like to come, too?\Why?\I was thinking maybe you haven't made\many new friends here yet. response:	I make a point to go hiking by myself.
context: but I like that you put effort into everything.\I'll be fine from here. Thanks.\We're going to the mountain tomorrow.\Would you like to come, too?\Why?\I was thinking maybe you haven't made\many new friends here yet.\I make a point to go hiking by myself. response:	See you soon.
context: I'll be fine from here. Thanks.\We're going to the mountain tomorrow.\Would you like to come, too?\Why?\I was thinking maybe you haven't made\many new friends here yet.\I make a point to go hiking by myself.\See you soon. response:	I was the only one who didn't notice.
context: We're going to the mountain tomorrow.\Would you like to come, too?\Why?\I was thinking maybe you haven't made\many new friends here yet.\I make a point to go hiking by myself.\See you soon.\I was the only one who didn't notice. response:	No way.
context: Would you like to come, too?\Why?\I was thinking maybe you haven't made\many new friends here yet.\I make a point to go hiking by myself.\See you soon.\I was the only one who didn't notice.\No way. response:	There's still time.
context: Why?\I was thinking maybe you haven't made\many new friends here yet.\I make a point to go hiking by myself.\See you soon.\I was the only one who didn't notice.\No way.\There's still time. response:	Did you have trouble sleeping?
context: I was thinking maybe you haven't made\many new friends here yet.\I make a point to go hiking by myself.\See you soon.\I was the only one who didn't notice.\No way.\There's still time.\Did you have trouble sleeping? response:	A bit.
context: many new friends here yet.\I make a point to go hiking by myself.\See you soon.\I was the only one who didn't notice.\No way.\There's still time.\Did you have trouble sleeping?\A bit. response:	But I need another way...
context: I make a point to go hiking by myself.\See you soon.\I was the only one who didn't notice.\No way.\There's still time.\Did you have trouble sleeping?\A bit.\But I need another way... response:	That doesn't make any sense.
context: See you soon.\I was the only one who didn't notice.\No way.\There's still time.\Did you have trouble sleeping?\A bit.\But I need another way...\That doesn't make any sense. response:	I'm telling you, it's important for girls.
context: I was the only one who didn't notice.\No way.\There's still time.\Did you have trouble sleeping?\A bit.\But I need another way...\That doesn't make any sense.\I'm telling you, it's important for girls. response:	Why do you need to bring a dryer on a hiking trip?
context: No way.\There's still time.\Did you have trouble sleeping?\A bit.\But I need another way...\That doesn't make any sense.\I'm telling you, it's important for girls.\Why do you need to bring a dryer on a hiking trip? response:	What if my hair gets messed up?
context: There's still time.\Did you have trouble sleeping?\A bit.\But I need another way...\That doesn't make any sense.\I'm telling you, it's important for girls.\Why do you need to bring a dryer on a hiking trip?\What if my hair gets messed up? response:	Where are we even going to find wall sockets?
context: Did you have trouble sleeping?\A bit.\But I need another way...\That doesn't make any sense.\I'm telling you, it's important for girls.\Why do you need to bring a dryer on a hiking trip?\What if my hair gets messed up?\Where are we even going to find wall sockets? response:	Rechargeable, duh.
context: A bit.\But I need another way...\That doesn't make any sense.\I'm telling you, it's important for girls.\Why do you need to bring a dryer on a hiking trip?\What if my hair gets messed up?\Where are we even going to find wall sockets?\Rechargeable, duh. response:	Morning.
context: But I need another way...\That doesn't make any sense.\I'm telling you, it's important for girls.\Why do you need to bring a dryer on a hiking trip?\What if my hair gets messed up?\Where are we even going to find wall sockets?\Rechargeable, duh.\Morning. response:	Morning.
context: That doesn't make any sense.\I'm telling you, it's important for girls.\Why do you need to bring a dryer on a hiking trip?\What if my hair gets messed up?\Where are we even going to find wall sockets?\Rechargeable, duh.\Morning.\Morning. response:	Morning.
context: I'm telling you, it's important for girls.\Why do you need to bring a dryer on a hiking trip?\What if my hair gets messed up?\Where are we even going to find wall sockets?\Rechargeable, duh.\Morning.\Morning.\Morning. response:	We were waiting for you.
context: Why do you need to bring a dryer on a hiking trip?\What if my hair gets messed up?\Where are we even going to find wall sockets?\Rechargeable, duh.\Morning.\Morning.\Morning.\We were waiting for you. response:	Morning.
context: What if my hair gets messed up?\Where are we even going to find wall sockets?\Rechargeable, duh.\Morning.\Morning.\Morning.\We were waiting for you.\Morning. response:	All right, let's do this.
context: Where are we even going to find wall sockets?\Rechargeable, duh.\Morning.\Morning.\Morning.\We were waiting for you.\Morning.\All right, let's do this. response:	I'm here.
context: Rechargeable, duh.\Morning.\Morning.\Morning.\We were waiting for you.\Morning.\All right, let's do this.\I'm here. response:	You're late, Nee-chan.
context: Morning.\Morning.\Morning.\We were waiting for you.\Morning.\All right, let's do this.\I'm here.\You're late, Nee-chan. response:	Sorry.
context: Morning.\Morning.\We were waiting for you.\Morning.\All right, let's do this.\I'm here.\You're late, Nee-chan.\Sorry. response:	I took the wrong road. Tee hee.
context: Morning.\We were waiting for you.\Morning.\All right, let's do this.\I'm here.\You're late, Nee-chan.\Sorry.\I took the wrong road. Tee hee. response:	You're really, really going to be okay?
context: We were waiting for you.\Morning.\All right, let's do this.\I'm here.\You're late, Nee-chan.\Sorry.\I took the wrong road. Tee hee.\You're really, really going to be okay? response:	It'll be fine.
context: Morning.\All right, let's do this.\I'm here.\You're late, Nee-chan.\Sorry.\I took the wrong road. Tee hee.\You're really, really going to be okay?\It'll be fine. response:	Trust me. I care about you.
context: All right, let's do this.\I'm here.\You're late, Nee-chan.\Sorry.\I took the wrong road. Tee hee.\You're really, really going to be okay?\It'll be fine.\Trust me. I care about you. response:	Call me right away if you get worried.
context: I'm here.\You're late, Nee-chan.\Sorry.\I took the wrong road. Tee hee.\You're really, really going to be okay?\It'll be fine.\Trust me. I care about you.\Call me right away if you get worried. response:	See you at the meet-up spot!
context: You're late, Nee-chan.\Sorry.\I took the wrong road. Tee hee.\You're really, really going to be okay?\It'll be fine.\Trust me. I care about you.\Call me right away if you get worried.\See you at the meet-up spot! response:	Back up, everyone!
context: Sorry.\I took the wrong road. Tee hee.\You're really, really going to be okay?\It'll be fine.\Trust me. I care about you.\Call me right away if you get worried.\See you at the meet-up spot!\Back up, everyone! response:	I've seen you a few times before, Sacchan.
context: I took the wrong road. Tee hee.\You're really, really going to be okay?\It'll be fine.\Trust me. I care about you.\Call me right away if you get worried.\See you at the meet-up spot!\Back up, everyone!\I've seen you a few times before, Sacchan. response:	Can I call you Sacchan?
context: You're really, really going to be okay?\It'll be fine.\Trust me. I care about you.\Call me right away if you get worried.\See you at the meet-up spot!\Back up, everyone!\I've seen you a few times before, Sacchan.\Can I call you Sacchan? response:	Yes.
context: It'll be fine.\Trust me. I care about you.\Call me right away if you get worried.\See you at the meet-up spot!\Back up, everyone!\I've seen you a few times before, Sacchan.\Can I call you Sacchan?\Yes. response:	Everyone around here goes
context: Trust me. I care about you.\Call me right away if you get worried.\See you at the meet-up spot!\Back up, everyone!\I've seen you a few times before, Sacchan.\Can I call you Sacchan?\Yes.\Everyone around here goes response:	to the central hospital, right?
context: Call me right away if you get worried.\See you at the meet-up spot!\Back up, everyone!\I've seen you a few times before, Sacchan.\Can I call you Sacchan?\Yes.\Everyone around here goes\to the central hospital, right? response:	Shoot.
context: See you at the meet-up spot!\Back up, everyone!\I've seen you a few times before, Sacchan.\Can I call you Sacchan?\Yes.\Everyone around here goes\to the central hospital, right?\Shoot. response:	Oh, that's a cute pendant.
context: Back up, everyone!\I've seen you a few times before, Sacchan.\Can I call you Sacchan?\Yes.\Everyone around here goes\to the central hospital, right?\Shoot.\Oh, that's a cute pendant. response:	Where did you buy it?
context: I've seen you a few times before, Sacchan.\Can I call you Sacchan?\Yes.\Everyone around here goes\to the central hospital, right?\Shoot.\Oh, that's a cute pendant.\Where did you buy it? response:	It was a gift.
context: Can I call you Sacchan?\Yes.\Everyone around here goes\to the central hospital, right?\Shoot.\Oh, that's a cute pendant.\Where did you buy it?\It was a gift. response:	Good taste.
context: Yes.\Everyone around here goes\to the central hospital, right?\Shoot.\Oh, that's a cute pendant.\Where did you buy it?\It was a gift.\Good taste. response:	From who, your boyfriend?
context: Everyone around here goes\to the central hospital, right?\Shoot.\Oh, that's a cute pendant.\Where did you buy it?\It was a gift.\Good taste.\From who, your boyfriend? response:	No, but it's someone I love.
context: to the central hospital, right?\Shoot.\Oh, that's a cute pendant.\Where did you buy it?\It was a gift.\Good taste.\From who, your boyfriend?\No, but it's someone I love. response:	Oh man, he's good!
context: Shoot.\Oh, that's a cute pendant.\Where did you buy it?\It was a gift.\Good taste.\From who, your boyfriend?\No, but it's someone I love.\Oh man, he's good! response:	Whoops.
context: Oh, that's a cute pendant.\Where did you buy it?\It was a gift.\Good taste.\From who, your boyfriend?\No, but it's someone I love.\Oh man, he's good!\Whoops. response:	So yeah,
context: Where did you buy it?\It was a gift.\Good taste.\From who, your boyfriend?\No, but it's someone I love.\Oh man, he's good!\Whoops.\So yeah, response:	my kid brother's out-of-touch when it comes to girls,
context: It was a gift.\Good taste.\From who, your boyfriend?\No, but it's someone I love.\Oh man, he's good!\Whoops.\So yeah,\my kid brother's out-of-touch when it comes to girls, response:	and he worries about silly things like his height,
context: Good taste.\From who, your boyfriend?\No, but it's someone I love.\Oh man, he's good!\Whoops.\So yeah,\my kid brother's out-of-touch when it comes to girls,\and he worries about silly things like his height, response:	but he's a good guy at heart.
context: From who, your boyfriend?\No, but it's someone I love.\Oh man, he's good!\Whoops.\So yeah,\my kid brother's out-of-touch when it comes to girls,\and he worries about silly things like his height,\but he's a good guy at heart. response:	Right...
context: No, but it's someone I love.\Oh man, he's good!\Whoops.\So yeah,\my kid brother's out-of-touch when it comes to girls,\and he worries about silly things like his height,\but he's a good guy at heart.\Right... response:	Be good to him, yeah?
context: Oh man, he's good!\Whoops.\So yeah,\my kid brother's out-of-touch when it comes to girls,\and he worries about silly things like his height,\but he's a good guy at heart.\Right...\Be good to him, yeah? response:	Thanks.
context: Whoops.\So yeah,\my kid brother's out-of-touch when it comes to girls,\and he worries about silly things like his height,\but he's a good guy at heart.\Right...\Be good to him, yeah?\Thanks. response:	Were you too pumped about today to sleep?
context: So yeah,\my kid brother's out-of-touch when it comes to girls,\and he worries about silly things like his height,\but he's a good guy at heart.\Right...\Be good to him, yeah?\Thanks.\Were you too pumped about today to sleep? response:	Okikura-kun came over yesterday.
context: my kid brother's out-of-touch when it comes to girls,\and he worries about silly things like his height,\but he's a good guy at heart.\Right...\Be good to him, yeah?\Thanks.\Were you too pumped about today to sleep?\Okikura-kun came over yesterday. response:	Okikura-kun is that new student, right?
context: and he worries about silly things like his height,\but he's a good guy at heart.\Right...\Be good to him, yeah?\Thanks.\Were you too pumped about today to sleep?\Okikura-kun came over yesterday.\Okikura-kun is that new student, right? response:	He seemed like he'd like mountains. Maybe we should have invited him.
context: but he's a good guy at heart.\Right...\Be good to him, yeah?\Thanks.\Were you too pumped about today to sleep?\Okikura-kun came over yesterday.\Okikura-kun is that new student, right?\He seemed like he'd like mountains. Maybe we should have invited him. response:	I did, but he said he likes hiking alone.
context: Right...\Be good to him, yeah?\Thanks.\Were you too pumped about today to sleep?\Okikura-kun came over yesterday.\Okikura-kun is that new student, right?\He seemed like he'd like mountains. Maybe we should have invited him.\I did, but he said he likes hiking alone. response:	A lone wolf, huh?
context: Be good to him, yeah?\Thanks.\Were you too pumped about today to sleep?\Okikura-kun came over yesterday.\Okikura-kun is that new student, right?\He seemed like he'd like mountains. Maybe we should have invited him.\I did, but he said he likes hiking alone.\A lone wolf, huh? response:	I like hiking with my friends.
context: Thanks.\Were you too pumped about today to sleep?\Okikura-kun came over yesterday.\Okikura-kun is that new student, right?\He seemed like he'd like mountains. Maybe we should have invited him.\I did, but he said he likes hiking alone.\A lone wolf, huh?\I like hiking with my friends. response:	Let's go, another half-hour!
context: Were you too pumped about today to sleep?\Okikura-kun came over yesterday.\Okikura-kun is that new student, right?\He seemed like he'd like mountains. Maybe we should have invited him.\I did, but he said he likes hiking alone.\A lone wolf, huh?\I like hiking with my friends.\Let's go, another half-hour! response:	Over here!
context: Okikura-kun came over yesterday.\Okikura-kun is that new student, right?\He seemed like he'd like mountains. Maybe we should have invited him.\I did, but he said he likes hiking alone.\A lone wolf, huh?\I like hiking with my friends.\Let's go, another half-hour!\Over here! response:	Over here!
context: Okikura-kun is that new student, right?\He seemed like he'd like mountains. Maybe we should have invited him.\I did, but he said he likes hiking alone.\A lone wolf, huh?\I like hiking with my friends.\Let's go, another half-hour!\Over here!\Over here! response:	How are you feeling?
context: He seemed like he'd like mountains. Maybe we should have invited him.\I did, but he said he likes hiking alone.\A lone wolf, huh?\I like hiking with my friends.\Let's go, another half-hour!\Over here!\Over here!\How are you feeling? response:	Thanks, it was fun in the car.
context: I did, but he said he likes hiking alone.\A lone wolf, huh?\I like hiking with my friends.\Let's go, another half-hour!\Over here!\Over here!\How are you feeling?\Thanks, it was fun in the car. response:	It was fun?
context: A lone wolf, huh?\I like hiking with my friends.\Let's go, another half-hour!\Over here!\Over here!\How are you feeling?\Thanks, it was fun in the car.\It was fun? response:	I've never been on one,
context: I like hiking with my friends.\Let's go, another half-hour!\Over here!\Over here!\How are you feeling?\Thanks, it was fun in the car.\It was fun?\I've never been on one, response:	but I imagine it's what roller coasters are like.
context: Let's go, another half-hour!\Over here!\Over here!\How are you feeling?\Thanks, it was fun in the car.\It was fun?\I've never been on one,\but I imagine it's what roller coasters are like. response:	Roller...
context: Over here!\Over here!\How are you feeling?\Thanks, it was fun in the car.\It was fun?\I've never been on one,\but I imagine it's what roller coasters are like.\Roller... response:	Okay, I'll come pick you up when it's time.
context: Over here!\How are you feeling?\Thanks, it was fun in the car.\It was fun?\I've never been on one,\but I imagine it's what roller coasters are like.\Roller...\Okay, I'll come pick you up when it's time. response:	Yeah, thanks.
context: How are you feeling?\Thanks, it was fun in the car.\It was fun?\I've never been on one,\but I imagine it's what roller coasters are like.\Roller...\Okay, I'll come pick you up when it's time.\Yeah, thanks. response:	You be careful, too
context: Thanks, it was fun in the car.\It was fun?\I've never been on one,\but I imagine it's what roller coasters are like.\Roller...\Okay, I'll come pick you up when it's time.\Yeah, thanks.\You be careful, too response:	She's like the wind.
context: It was fun?\I've never been on one,\but I imagine it's what roller coasters are like.\Roller...\Okay, I'll come pick you up when it's time.\Yeah, thanks.\You be careful, too\She's like the wind. response:	Living with her, she's more like a typhoon.
context: I've never been on one,\but I imagine it's what roller coasters are like.\Roller...\Okay, I'll come pick you up when it's time.\Yeah, thanks.\You be careful, too\She's like the wind.\Living with her, she's more like a typhoon. response:	We're here!
