context: Everyone here is out playing around at night. response:	Which means...
context: What is it?\Do you remember the Angel Area Invasion mission?\Yeah...\We found some skill development software on her computer right?\There were a number of powers we'd never seen listed there.\There was one skill called Harmonics. She activated it.\Harmonics...\What kind of power is that? response:	Weren't you looking at the screen?
context: Do you remember the Angel Area Invasion mission?\Yeah...\We found some skill development software on her computer right?\There were a number of powers we'd never seen listed there.\There was one skill called Harmonics. She activated it.\Harmonics...\What kind of power is that?\Weren't you looking at the screen? response:	It's a skill that splits her into two.
context: Yeah...\We found some skill development software on her computer right?\There were a number of powers we'd never seen listed there.\There was one skill called Harmonics. She activated it.\Harmonics...\What kind of power is that?\Weren't you looking at the screen?\It's a skill that splits her into two. response:	Basically, a clone.
context: We found some skill development software on her computer right?\There were a number of powers we'd never seen listed there.\There was one skill called Harmonics. She activated it.\Harmonics...\What kind of power is that?\Weren't you looking at the screen?\It's a skill that splits her into two.\Basically, a clone. response:	A clone?
context: There were a number of powers we'd never seen listed there.\There was one skill called Harmonics. She activated it.\Harmonics...\What kind of power is that?\Weren't you looking at the screen?\It's a skill that splits her into two.\Basically, a clone.\A clone? response:	In other words, this skill is something Angel developed herself using that software?
context: There was one skill called Harmonics. She activated it.\Harmonics...\What kind of power is that?\Weren't you looking at the screen?\It's a skill that splits her into two.\Basically, a clone.\A clone?\In other words, this skill is something Angel developed herself using that software? response:	But the other one didn't feel like she was quite the same.
context: Harmonics...\What kind of power is that?\Weren't you looking at the screen?\It's a skill that splits her into two.\Basically, a clone.\A clone?\In other words, this skill is something Angel developed herself using that software?\But the other one didn't feel like she was quite the same. response:	She was way more aggressive than this Angel.
context: What kind of power is that?\Weren't you looking at the screen?\It's a skill that splits her into two.\Basically, a clone.\A clone?\In other words, this skill is something Angel developed herself using that software?\But the other one didn't feel like she was quite the same.\She was way more aggressive than this Angel. response:	Why?
context: Weren't you looking at the screen?\It's a skill that splits her into two.\Basically, a clone.\A clone?\In other words, this skill is something Angel developed herself using that software?\But the other one didn't feel like she was quite the same.\She was way more aggressive than this Angel.\Why? response:	Kanade wouldn't use a skill for any reason other than to protect herself.
context: It's a skill that splits her into two.\Basically, a clone.\A clone?\In other words, this skill is something Angel developed herself using that software?\But the other one didn't feel like she was quite the same.\She was way more aggressive than this Angel.\Why?\Kanade wouldn't use a skill for any reason other than to protect herself. response:	Even when she used her blade, it was just to ricochet our shots.
context: Basically, a clone.\A clone?\In other words, this skill is something Angel developed herself using that software?\But the other one didn't feel like she was quite the same.\She was way more aggressive than this Angel.\Why?\Kanade wouldn't use a skill for any reason other than to protect herself.\Even when she used her blade, it was just to ricochet our shots. response:	Seriously, you people are one useless bunch.
context: A clone?\In other words, this skill is something Angel developed herself using that software?\But the other one didn't feel like she was quite the same.\She was way more aggressive than this Angel.\Why?\Kanade wouldn't use a skill for any reason other than to protect herself.\Even when she used her blade, it was just to ricochet our shots.\Seriously, you people are one useless bunch. response:	With the exception of Otonashi - san, of course!
context: In other words, this skill is something Angel developed herself using that software?\But the other one didn't feel like she was quite the same.\She was way more aggressive than this Angel.\Why?\Kanade wouldn't use a skill for any reason other than to protect herself.\Even when she used her blade, it was just to ricochet our shots.\Seriously, you people are one useless bunch.\With the exception of Otonashi - san, of course! response:	We're supposed to be a bunch of idiots!
context: But the other one didn't feel like she was quite the same.\She was way more aggressive than this Angel.\Why?\Kanade wouldn't use a skill for any reason other than to protect herself.\Even when she used her blade, it was just to ricochet our shots.\Seriously, you people are one useless bunch.\With the exception of Otonashi - san, of course!\We're supposed to be a bunch of idiots! response:	Consider this possibility.
context: She was way more aggressive than this Angel.\Why?\Kanade wouldn't use a skill for any reason other than to protect herself.\Even when she used her blade, it was just to ricochet our shots.\Seriously, you people are one useless bunch.\With the exception of Otonashi - san, of course!\We're supposed to be a bunch of idiots!\Consider this possibility. response:	Suppose that when she created that clone, she had a strong offensive intent in mind.
context: Why?\Kanade wouldn't use a skill for any reason other than to protect herself.\Even when she used her blade, it was just to ricochet our shots.\Seriously, you people are one useless bunch.\With the exception of Otonashi - san, of course!\We're supposed to be a bunch of idiots!\Consider this possibility.\Suppose that when she created that clone, she had a strong offensive intent in mind. response:	Back then?
context: Kanade wouldn't use a skill for any reason other than to protect herself.\Even when she used her blade, it was just to ricochet our shots.\Seriously, you people are one useless bunch.\With the exception of Otonashi - san, of course!\We're supposed to be a bunch of idiots!\Consider this possibility.\Suppose that when she created that clone, she had a strong offensive intent in mind.\Back then? response:	I see...
context: Even when she used her blade, it was just to ricochet our shots.\Seriously, you people are one useless bunch.\With the exception of Otonashi - san, of course!\We're supposed to be a bunch of idiots!\Consider this possibility.\Suppose that when she created that clone, she had a strong offensive intent in mind.\Back then?\I see... response:	So the clone is continuing to obey the original's command from back then, even now?
context: Seriously, you people are one useless bunch.\With the exception of Otonashi - san, of course!\We're supposed to be a bunch of idiots!\Consider this possibility.\Suppose that when she created that clone, she had a strong offensive intent in mind.\Back then?\I see...\So the clone is continuing to obey the original's command from back then, even now? response:	But Kanade herself wouldn't go on an all - out assault like that...
context: With the exception of Otonashi - san, of course!\We're supposed to be a bunch of idiots!\Consider this possibility.\Suppose that when she created that clone, she had a strong offensive intent in mind.\Back then?\I see...\So the clone is continuing to obey the original's command from back then, even now?\But Kanade herself wouldn't go on an all - out assault like that... response:	Not that it matters, but you seem pretty determined to defend her.
context: We're supposed to be a bunch of idiots!\Consider this possibility.\Suppose that when she created that clone, she had a strong offensive intent in mind.\Back then?\I see...\So the clone is continuing to obey the original's command from back then, even now?\But Kanade herself wouldn't go on an all - out assault like that...\Not that it matters, but you seem pretty determined to defend her. response:	Well...
context: Consider this possibility.\Suppose that when she created that clone, she had a strong offensive intent in mind.\Back then?\I see...\So the clone is continuing to obey the original's command from back then, even now?\But Kanade herself wouldn't go on an all - out assault like that...\Not that it matters, but you seem pretty determined to defend her.\Well... response:	Don't you feel sorry for her?
context: Suppose that when she created that clone, she had a strong offensive intent in mind.\Back then?\I see...\So the clone is continuing to obey the original's command from back then, even now?\But Kanade herself wouldn't go on an all - out assault like that...\Not that it matters, but you seem pretty determined to defend her.\Well...\Don't you feel sorry for her? response:	Well, whatever.
context: Back then?\I see...\So the clone is continuing to obey the original's command from back then, even now?\But Kanade herself wouldn't go on an all - out assault like that...\Not that it matters, but you seem pretty determined to defend her.\Well...\Don't you feel sorry for her?\Well, whatever. response:	So, what exactly are we discussing?
context: I see...\So the clone is continuing to obey the original's command from back then, even now?\But Kanade herself wouldn't go on an all - out assault like that...\Not that it matters, but you seem pretty determined to defend her.\Well...\Don't you feel sorry for her?\Well, whatever.\So, what exactly are we discussing? response:	A way to fight Angel's clone?
context: So the clone is continuing to obey the original's command from back then, even now?\But Kanade herself wouldn't go on an all - out assault like that...\Not that it matters, but you seem pretty determined to defend her.\Well...\Don't you feel sorry for her?\Well, whatever.\So, what exactly are we discussing?\A way to fight Angel's clone? response:	Idiot.
context: But Kanade herself wouldn't go on an all - out assault like that...\Not that it matters, but you seem pretty determined to defend her.\Well...\Don't you feel sorry for her?\Well, whatever.\So, what exactly are we discussing?\A way to fight Angel's clone?\Idiot. response:	We have to make it disappear.
context: Not that it matters, but you seem pretty determined to defend her.\Well...\Don't you feel sorry for her?\Well, whatever.\So, what exactly are we discussing?\A way to fight Angel's clone?\Idiot.\We have to make it disappear. response:	What did you say?!
context: Well...\Don't you feel sorry for her?\Well, whatever.\So, what exactly are we discussing?\A way to fight Angel's clone?\Idiot.\We have to make it disappear.\What did you say?! response:	But if she voluntarily created the clone, she should be able to erase it voluntarily too.
context: Don't you feel sorry for her?\Well, whatever.\So, what exactly are we discussing?\A way to fight Angel's clone?\Idiot.\We have to make it disappear.\What did you say?!\But if she voluntarily created the clone, she should be able to erase it voluntarily too. response:	Can't we just wait for Kanade to wake up?
context: Well, whatever.\So, what exactly are we discussing?\A way to fight Angel's clone?\Idiot.\We have to make it disappear.\What did you say?!\But if she voluntarily created the clone, she should be able to erase it voluntarily too.\Can't we just wait for Kanade to wake up? response:	Wait, if she could voluntarily erase it, would she be lying here like this now?
context: So, what exactly are we discussing?\A way to fight Angel's clone?\Idiot.\We have to make it disappear.\What did you say?!\But if she voluntarily created the clone, she should be able to erase it voluntarily too.\Can't we just wait for Kanade to wake up?\Wait, if she could voluntarily erase it, would she be lying here like this now? response:	It was most likely an unconscious command.
context: A way to fight Angel's clone?\Idiot.\We have to make it disappear.\What did you say?!\But if she voluntarily created the clone, she should be able to erase it voluntarily too.\Can't we just wait for Kanade to wake up?\Wait, if she could voluntarily erase it, would she be lying here like this now?\It was most likely an unconscious command. response:	That's why she can't erase her.
context: Idiot.\We have to make it disappear.\What did you say?!\But if she voluntarily created the clone, she should be able to erase it voluntarily too.\Can't we just wait for Kanade to wake up?\Wait, if she could voluntarily erase it, would she be lying here like this now?\It was most likely an unconscious command.\That's why she can't erase her. response:	She had to do something, even if it meant getting stabbed herself.
context: We have to make it disappear.\What did you say?!\But if she voluntarily created the clone, she should be able to erase it voluntarily too.\Can't we just wait for Kanade to wake up?\Wait, if she could voluntarily erase it, would she be lying here like this now?\It was most likely an unconscious command.\That's why she can't erase her.\She had to do something, even if it meant getting stabbed herself. response:	Hey, wait a second!
context: What did you say?!\But if she voluntarily created the clone, she should be able to erase it voluntarily too.\Can't we just wait for Kanade to wake up?\Wait, if she could voluntarily erase it, would she be lying here like this now?\It was most likely an unconscious command.\That's why she can't erase her.\She had to do something, even if it meant getting stabbed herself.\Hey, wait a second! response:	If she won't disappear, will this world be stuck with that monster?
context: But if she voluntarily created the clone, she should be able to erase it voluntarily too.\Can't we just wait for Kanade to wake up?\Wait, if she could voluntarily erase it, would she be lying here like this now?\It was most likely an unconscious command.\That's why she can't erase her.\She had to do something, even if it meant getting stabbed herself.\Hey, wait a second!\If she won't disappear, will this world be stuck with that monster? response:	She's ignoring us now, but she probably won't let us off the hook tomorrow.
context: Can't we just wait for Kanade to wake up?\Wait, if she could voluntarily erase it, would she be lying here like this now?\It was most likely an unconscious command.\That's why she can't erase her.\She had to do something, even if it meant getting stabbed herself.\Hey, wait a second!\If she won't disappear, will this world be stuck with that monster?\She's ignoring us now, but she probably won't let us off the hook tomorrow. response:	If we don't act like the model students, it'll probably turn into another bloodbath like last night.
context: Wait, if she could voluntarily erase it, would she be lying here like this now?\It was most likely an unconscious command.\That's why she can't erase her.\She had to do something, even if it meant getting stabbed herself.\Hey, wait a second!\If she won't disappear, will this world be stuck with that monster?\She's ignoring us now, but she probably won't let us off the hook tomorrow.\If we don't act like the model students, it'll probably turn into another bloodbath like last night. response:	Even through she isn't the student council president anymore?
context: It was most likely an unconscious command.\That's why she can't erase her.\She had to do something, even if it meant getting stabbed herself.\Hey, wait a second!\If she won't disappear, will this world be stuck with that monster?\She's ignoring us now, but she probably won't let us off the hook tomorrow.\If we don't act like the model students, it'll probably turn into another bloodbath like last night.\Even through she isn't the student council president anymore? response:	Yes.
context: That's why she can't erase her.\She had to do something, even if it meant getting stabbed herself.\Hey, wait a second!\If she won't disappear, will this world be stuck with that monster?\She's ignoring us now, but she probably won't let us off the hook tomorrow.\If we don't act like the model students, it'll probably turn into another bloodbath like last night.\Even through she isn't the student council president anymore?\Yes. response:	The directive to correct our actions has been embedded deep into her.
context: She had to do something, even if it meant getting stabbed herself.\Hey, wait a second!\If she won't disappear, will this world be stuck with that monster?\She's ignoring us now, but she probably won't let us off the hook tomorrow.\If we don't act like the model students, it'll probably turn into another bloodbath like last night.\Even through she isn't the student council president anymore?\Yes.\The directive to correct our actions has been embedded deep into her. response:	On top of that, she's aggressive.
context: Hey, wait a second!\If she won't disappear, will this world be stuck with that monster?\She's ignoring us now, but she probably won't let us off the hook tomorrow.\If we don't act like the model students, it'll probably turn into another bloodbath like last night.\Even through she isn't the student council president anymore?\Yes.\The directive to correct our actions has been embedded deep into her.\On top of that, she's aggressive. response:	This is bad.
context: If she won't disappear, will this world be stuck with that monster?\She's ignoring us now, but she probably won't let us off the hook tomorrow.\If we don't act like the model students, it'll probably turn into another bloodbath like last night.\Even through she isn't the student council president anymore?\Yes.\The directive to correct our actions has been embedded deep into her.\On top of that, she's aggressive.\This is bad. response:	Even if we were to try taking her on, there wouldn't be enough time.
context: She's ignoring us now, but she probably won't let us off the hook tomorrow.\If we don't act like the model students, it'll probably turn into another bloodbath like last night.\Even through she isn't the student council president anymore?\Yes.\The directive to correct our actions has been embedded deep into her.\On top of that, she's aggressive.\This is bad.\Even if we were to try taking her on, there wouldn't be enough time. response:	I need some time.
context: If we don't act like the model students, it'll probably turn into another bloodbath like last night.\Even through she isn't the student council president anymore?\Yes.\The directive to correct our actions has been embedded deep into her.\On top of that, she's aggressive.\This is bad.\Even if we were to try taking her on, there wouldn't be enough time.\I need some time. response:	How can we buy you time?
context: Even through she isn't the student council president anymore?\Yes.\The directive to correct our actions has been embedded deep into her.\On top of that, she's aggressive.\This is bad.\Even if we were to try taking her on, there wouldn't be enough time.\I need some time.\How can we buy you time? response:	Go to class and pretend you're paying attention.
context: Yes.\The directive to correct our actions has been embedded deep into her.\On top of that, she's aggressive.\This is bad.\Even if we were to try taking her on, there wouldn't be enough time.\I need some time.\How can we buy you time?\Go to class and pretend you're paying attention. response:	Don't listen to anything the teacher says.
context: The directive to correct our actions has been embedded deep into her.\On top of that, she's aggressive.\This is bad.\Even if we were to try taking her on, there wouldn't be enough time.\I need some time.\How can we buy you time?\Go to class and pretend you're paying attention.\Don't listen to anything the teacher says. response:	If you take the lesson seriously, you'll disappear.
context: On top of that, she's aggressive.\This is bad.\Even if we were to try taking her on, there wouldn't be enough time.\I need some time.\How can we buy you time?\Go to class and pretend you're paying attention.\Don't listen to anything the teacher says.\If you take the lesson seriously, you'll disappear. response:	Concentrate on doing something else, just don't get caught by the clone.
context: This is bad.\Even if we were to try taking her on, there wouldn't be enough time.\I need some time.\How can we buy you time?\Go to class and pretend you're paying attention.\Don't listen to anything the teacher says.\If you take the lesson seriously, you'll disappear.\Concentrate on doing something else, just don't get caught by the clone. response:	Hold out for one day.
context: Even if we were to try taking her on, there wouldn't be enough time.\I need some time.\How can we buy you time?\Go to class and pretend you're paying attention.\Don't listen to anything the teacher says.\If you take the lesson seriously, you'll disappear.\Concentrate on doing something else, just don't get caught by the clone.\Hold out for one day. response:	I pray we can all meet up afterwards without losing anyone.
context: I need some time.\How can we buy you time?\Go to class and pretend you're paying attention.\Don't listen to anything the teacher says.\If you take the lesson seriously, you'll disappear.\Concentrate on doing something else, just don't get caught by the clone.\Hold out for one day.\I pray we can all meet up afterwards without losing anyone. response:	- Angel Area
context: How can we buy you time?\Go to class and pretend you're paying attention.\Don't listen to anything the teacher says.\If you take the lesson seriously, you'll disappear.\Concentrate on doing something else, just don't get caught by the clone.\Hold out for one day.\I pray we can all meet up afterwards without losing anyone.\- Angel Area response:	I already know she splits in two!
context: Go to class and pretend you're paying attention.\Don't listen to anything the teacher says.\If you take the lesson seriously, you'll disappear.\Concentrate on doing something else, just don't get caught by the clone.\Hold out for one day.\I pray we can all meet up afterwards without losing anyone.\- Angel Area\I already know she splits in two! response:	I need some way to get rid of the other one...
context: Don't listen to anything the teacher says.\If you take the lesson seriously, you'll disappear.\Concentrate on doing something else, just don't get caught by the clone.\Hold out for one day.\I pray we can all meet up afterwards without losing anyone.\- Angel Area\I already know she splits in two!\I need some way to get rid of the other one... response:	Angel Player?
context: If you take the lesson seriously, you'll disappear.\Concentrate on doing something else, just don't get caught by the clone.\Hold out for one day.\I pray we can all meet up afterwards without losing anyone.\- Angel Area\I already know she splits in two!\I need some way to get rid of the other one...\Angel Player? response:	Looks like a software manual...
context: Concentrate on doing something else, just don't get caught by the clone.\Hold out for one day.\I pray we can all meet up afterwards without losing anyone.\- Angel Area\I already know she splits in two!\I need some way to get rid of the other one...\Angel Player?\Looks like a software manual... response:	Damn!
context: Hold out for one day.\I pray we can all meet up afterwards without losing anyone.\- Angel Area\I already know she splits in two!\I need some way to get rid of the other one...\Angel Player?\Looks like a software manual...\Damn! response:	It's such a thick book, and all in English!
context: I pray we can all meet up afterwards without losing anyone.\- Angel Area\I already know she splits in two!\I need some way to get rid of the other one...\Angel Player?\Looks like a software manual...\Damn!\It's such a thick book, and all in English! response:	I don't have the time for this!
context: - Angel Area\I already know she splits in two!\I need some way to get rid of the other one...\Angel Player?\Looks like a software manual...\Damn!\It's such a thick book, and all in English!\I don't have the time for this! response:	Let's see...
context: I already know she splits in two!\I need some way to get rid of the other one...\Angel Player?\Looks like a software manual...\Damn!\It's such a thick book, and all in English!\I don't have the time for this!\Let's see... response:	The number went up...
context: I need some way to get rid of the other one...\Angel Player?\Looks like a software manual...\Damn!\It's such a thick book, and all in English!\I don't have the time for this!\Let's see...\The number went up... response:	So this is distance?
context: Angel Player?\Looks like a software manual...\Damn!\It's such a thick book, and all in English!\I don't have the time for this!\Let's see...\The number went up...\So this is distance? response:	Don't care.
context: Looks like a software manual...\Damn!\It's such a thick book, and all in English!\I don't have the time for this!\Let's see...\The number went up...\So this is distance?\Don't care. response:	What's this?
context: Damn!\It's such a thick book, and all in English!\I don't have the time for this!\Let's see...\The number went up...\So this is distance?\Don't care.\What's this? response:	Yes! This is it!
context: It's such a thick book, and all in English!\I don't have the time for this!\Let's see...\The number went up...\So this is distance?\Don't care.\What's this?\Yes! This is it! response:	Originally, the clone was supposed to obey this order and vanish.
context: I don't have the time for this!\Let's see...\The number went up...\So this is distance?\Don't care.\What's this?\Yes! This is it!\Originally, the clone was supposed to obey this order and vanish. response:	So, what do you have to do to activate this?
context: Let's see...\The number went up...\So this is distance?\Don't care.\What's this?\Yes! This is it!\Originally, the clone was supposed to obey this order and vanish.\So, what do you have to do to activate this? response:	I don't get it...
context: The number went up...\So this is distance?\Don't care.\What's this?\Yes! This is it!\Originally, the clone was supposed to obey this order and vanish.\So, what do you have to do to activate this?\I don't get it... response:	How about I just break the computer?
context: So this is distance?\Don't care.\What's this?\Yes! This is it!\Originally, the clone was supposed to obey this order and vanish.\So, what do you have to do to activate this?\I don't get it...\How about I just break the computer? response:	Am I stupid?
context: Don't care.\What's this?\Yes! This is it!\Originally, the clone was supposed to obey this order and vanish.\So, what do you have to do to activate this?\I don't get it...\How about I just break the computer?\Am I stupid? response:	That won't make the clone vanish!
context: What's this?\Yes! This is it!\Originally, the clone was supposed to obey this order and vanish.\So, what do you have to do to activate this?\I don't get it...\How about I just break the computer?\Am I stupid?\That won't make the clone vanish! response:	Whatever!
context: Yes! This is it!\Originally, the clone was supposed to obey this order and vanish.\So, what do you have to do to activate this?\I don't get it...\How about I just break the computer?\Am I stupid?\That won't make the clone vanish!\Whatever! response:	I'll just rewrite it into a program I do understand!
context: Originally, the clone was supposed to obey this order and vanish.\So, what do you have to do to activate this?\I don't get it...\How about I just break the computer?\Am I stupid?\That won't make the clone vanish!\Whatever!\I'll just rewrite it into a program I do understand! response:	Hurry up and disappear!
context: So, what do you have to do to activate this?\I don't get it...\How about I just break the computer?\Am I stupid?\That won't make the clone vanish!\Whatever!\I'll just rewrite it into a program I do understand!\Hurry up and disappear! response:	Delay - 10 seconds!
context: I don't get it...\How about I just break the computer?\Am I stupid?\That won't make the clone vanish!\Whatever!\I'll just rewrite it into a program I do understand!\Hurry up and disappear!\Delay - 10 seconds! response:	How's that?
context: How about I just break the computer?\Am I stupid?\That won't make the clone vanish!\Whatever!\I'll just rewrite it into a program I do understand!\Hurry up and disappear!\Delay - 10 seconds!\How's that? response:	10 seconds feels a long time when you're waiting.
context: Am I stupid?\That won't make the clone vanish!\Whatever!\I'll just rewrite it into a program I do understand!\Hurry up and disappear!\Delay - 10 seconds!\How's that?\10 seconds feels a long time when you're waiting. response:	Why wasn't I able to make it less than 10 seconds?
context: That won't make the clone vanish!\Whatever!\I'll just rewrite it into a program I do understand!\Hurry up and disappear!\Delay - 10 seconds!\How's that?\10 seconds feels a long time when you're waiting.\Why wasn't I able to make it less than 10 seconds? response:	Alright, that should be good.
context: Whatever!\I'll just rewrite it into a program I do understand!\Hurry up and disappear!\Delay - 10 seconds!\How's that?\10 seconds feels a long time when you're waiting.\Why wasn't I able to make it less than 10 seconds?\Alright, that should be good. response:	What's this?
context: I'll just rewrite it into a program I do understand!\Hurry up and disappear!\Delay - 10 seconds!\How's that?\10 seconds feels a long time when you're waiting.\Why wasn't I able to make it less than 10 seconds?\Alright, that should be good.\What's this? response:	There's more of them?
context: Hurry up and disappear!\Delay - 10 seconds!\How's that?\10 seconds feels a long time when you're waiting.\Why wasn't I able to make it less than 10 seconds?\Alright, that should be good.\What's this?\There's more of them? response:	Howling?
context: Delay - 10 seconds!\How's that?\10 seconds feels a long time when you're waiting.\Why wasn't I able to make it less than 10 seconds?\Alright, that should be good.\What's this?\There's more of them?\Howling? response:	Did the clone make this?
context: How's that?\10 seconds feels a long time when you're waiting.\Why wasn't I able to make it less than 10 seconds?\Alright, that should be good.\What's this?\There's more of them?\Howling?\Did the clone make this? response:	Should I delete it?
