context: The Alliance of Official Guilds vs. Oracion Seis! response:	During that fierce battle, Jellal was resurrected!
context: If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers. response:	Laugh! Cry! Be honest with yourself.
context: Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself. response:	Simple feelings are the most important.
context: I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important. response:	You can change those tears shed on sad nights into strength.
context: chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength. response:	Now, let's cast a smile spell!
context: Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell! response:	Erza and Jellal have finally reunited deep inside of the Worth Woodsea.
context: ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Erza and Jellal have finally reunited deep inside of the Worth Woodsea. response:	But Jellal has lost his memories.
context: Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Erza and Jellal have finally reunited deep inside of the Worth Woodsea.\But Jellal has lost his memories. response:	Jellal is trying to free Erza of her hatred
context: I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Erza and Jellal have finally reunited deep inside of the Worth Woodsea.\But Jellal has lost his memories.\Jellal is trying to free Erza of her hatred response:	by using self-destruction magic circles to destroy both Nirvana and himself.
context: Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Erza and Jellal have finally reunited deep inside of the Worth Woodsea.\But Jellal has lost his memories.\Jellal is trying to free Erza of her hatred\by using self-destruction magic circles to destroy both Nirvana and himself. response:	However, Erza...
context: Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Erza and Jellal have finally reunited deep inside of the Worth Woodsea.\But Jellal has lost his memories.\Jellal is trying to free Erza of her hatred\by using self-destruction magic circles to destroy both Nirvana and himself.\However, Erza... response:	Jellal!
context: You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Erza and Jellal have finally reunited deep inside of the Worth Woodsea.\But Jellal has lost his memories.\Jellal is trying to free Erza of her hatred\by using self-destruction magic circles to destroy both Nirvana and himself.\However, Erza...\Jellal! response:	So you're gonna take the cancellation code for the magic circles to the grave with you?
context: Now, let's cast a smile spell!\Erza and Jellal have finally reunited deep inside of the Worth Woodsea.\But Jellal has lost his memories.\Jellal is trying to free Erza of her hatred\by using self-destruction magic circles to destroy both Nirvana and himself.\However, Erza...\Jellal!\So you're gonna take the cancellation code for the magic circles to the grave with you? response:	I will not allow it! I won't allow you to die like this!
context: Erza and Jellal have finally reunited deep inside of the Worth Woodsea.\But Jellal has lost his memories.\Jellal is trying to free Erza of her hatred\by using self-destruction magic circles to destroy both Nirvana and himself.\However, Erza...\Jellal!\So you're gonna take the cancellation code for the magic circles to the grave with you?\I will not allow it! I won't allow you to die like this! response:	You have sins to repent for!
context: But Jellal has lost his memories.\Jellal is trying to free Erza of her hatred\by using self-destruction magic circles to destroy both Nirvana and himself.\However, Erza...\Jellal!\So you're gonna take the cancellation code for the magic circles to the grave with you?\I will not allow it! I won't allow you to die like this!\You have sins to repent for! response:	Remember! Do you think you'll be at peace knowing nothing?
context: Jellal is trying to free Erza of her hatred\by using self-destruction magic circles to destroy both Nirvana and himself.\However, Erza...\Jellal!\So you're gonna take the cancellation code for the magic circles to the grave with you?\I will not allow it! I won't allow you to die like this!\You have sins to repent for!\Remember! Do you think you'll be at peace knowing nothing? response:	Live, and struggle!
context: by using self-destruction magic circles to destroy both Nirvana and himself.\However, Erza...\Jellal!\So you're gonna take the cancellation code for the magic circles to the grave with you?\I will not allow it! I won't allow you to die like this!\You have sins to repent for!\Remember! Do you think you'll be at peace knowing nothing?\Live, and struggle! response:	Jellal!
context: However, Erza...\Jellal!\So you're gonna take the cancellation code for the magic circles to the grave with you?\I will not allow it! I won't allow you to die like this!\You have sins to repent for!\Remember! Do you think you'll be at peace knowing nothing?\Live, and struggle!\Jellal! response:	March of Destruction!
context: Jellal!\So you're gonna take the cancellation code for the magic circles to the grave with you?\I will not allow it! I won't allow you to die like this!\You have sins to repent for!\Remember! Do you think you'll be at peace knowing nothing?\Live, and struggle!\Jellal!\March of Destruction! response:	Erza...
context: So you're gonna take the cancellation code for the magic circles to the grave with you?\I will not allow it! I won't allow you to die like this!\You have sins to repent for!\Remember! Do you think you'll be at peace knowing nothing?\Live, and struggle!\Jellal!\March of Destruction!\Erza... response:	Why... are you crying?
context: I will not allow it! I won't allow you to die like this!\You have sins to repent for!\Remember! Do you think you'll be at peace knowing nothing?\Live, and struggle!\Jellal!\March of Destruction!\Erza...\Why... are you crying? response:	You are so kind...
context: You have sins to repent for!\Remember! Do you think you'll be at peace knowing nothing?\Live, and struggle!\Jellal!\March of Destruction!\Erza...\Why... are you crying?\You are so kind... response:	Jellal! You have to stay awake!
context: Remember! Do you think you'll be at peace knowing nothing?\Live, and struggle!\Jellal!\March of Destruction!\Erza...\Why... are you crying?\You are so kind...\Jellal! You have to stay awake! response:	What is the meaning of this?
context: Live, and struggle!\Jellal!\March of Destruction!\Erza...\Why... are you crying?\You are so kind...\Jellal! You have to stay awake!\What is the meaning of this? response:	Brain.
context: Jellal!\March of Destruction!\Erza...\Why... are you crying?\You are so kind...\Jellal! You have to stay awake!\What is the meaning of this?\Brain. response:	A self-destruction magic circle?
context: March of Destruction!\Erza...\Why... are you crying?\You are so kind...\Jellal! You have to stay awake!\What is the meaning of this?\Brain.\A self-destruction magic circle? response:	Jellal constructed it, that bastard!
context: Erza...\Why... are you crying?\You are so kind...\Jellal! You have to stay awake!\What is the meaning of this?\Brain.\A self-destruction magic circle?\Jellal constructed it, that bastard! response:	This is bad! At this rate, we'll have finally found Nirvana only to see it destroyed!
context: Why... are you crying?\You are so kind...\Jellal! You have to stay awake!\What is the meaning of this?\Brain.\A self-destruction magic circle?\Jellal constructed it, that bastard!\This is bad! At this rate, we'll have finally found Nirvana only to see it destroyed! response:	Worry not, Cobra.
context: You are so kind...\Jellal! You have to stay awake!\What is the meaning of this?\Brain.\A self-destruction magic circle?\Jellal constructed it, that bastard!\This is bad! At this rate, we'll have finally found Nirvana only to see it destroyed!\Worry not, Cobra. response:	I'm sure you know just why I have the codename Brain.
context: Jellal! You have to stay awake!\What is the meaning of this?\Brain.\A self-destruction magic circle?\Jellal constructed it, that bastard!\This is bad! At this rate, we'll have finally found Nirvana only to see it destroyed!\Worry not, Cobra.\I'm sure you know just why I have the codename Brain. response:	I was once a member of the Ministry of Magical Development.
context: What is the meaning of this?\Brain.\A self-destruction magic circle?\Jellal constructed it, that bastard!\This is bad! At this rate, we'll have finally found Nirvana only to see it destroyed!\Worry not, Cobra.\I'm sure you know just why I have the codename Brain.\I was once a member of the Ministry of Magical Development. response:	During that time I used my knowledge to create hundreds of new spells.
context: Brain.\A self-destruction magic circle?\Jellal constructed it, that bastard!\This is bad! At this rate, we'll have finally found Nirvana only to see it destroyed!\Worry not, Cobra.\I'm sure you know just why I have the codename Brain.\I was once a member of the Ministry of Magical Development.\During that time I used my knowledge to create hundreds of new spells. response:	One of them is the self-destruction magic circle.
context: A self-destruction magic circle?\Jellal constructed it, that bastard!\This is bad! At this rate, we'll have finally found Nirvana only to see it destroyed!\Worry not, Cobra.\I'm sure you know just why I have the codename Brain.\I was once a member of the Ministry of Magical Development.\During that time I used my knowledge to create hundreds of new spells.\One of them is the self-destruction magic circle. response:	And I was the one that taught you it.
context: Jellal constructed it, that bastard!\This is bad! At this rate, we'll have finally found Nirvana only to see it destroyed!\Worry not, Cobra.\I'm sure you know just why I have the codename Brain.\I was once a member of the Ministry of Magical Development.\During that time I used my knowledge to create hundreds of new spells.\One of them is the self-destruction magic circle.\And I was the one that taught you it. response:	Or have you forgotten, Jellal?
context: This is bad! At this rate, we'll have finally found Nirvana only to see it destroyed!\Worry not, Cobra.\I'm sure you know just why I have the codename Brain.\I was once a member of the Ministry of Magical Development.\During that time I used my knowledge to create hundreds of new spells.\One of them is the self-destruction magic circle.\And I was the one that taught you it.\Or have you forgotten, Jellal? response:	This area will do.
context: Worry not, Cobra.\I'm sure you know just why I have the codename Brain.\I was once a member of the Ministry of Magical Development.\During that time I used my knowledge to create hundreds of new spells.\One of them is the self-destruction magic circle.\And I was the one that taught you it.\Or have you forgotten, Jellal?\This area will do. response:	Concentrate. Do it exactly as I taught you.
context: I'm sure you know just why I have the codename Brain.\I was once a member of the Ministry of Magical Development.\During that time I used my knowledge to create hundreds of new spells.\One of them is the self-destruction magic circle.\And I was the one that taught you it.\Or have you forgotten, Jellal?\This area will do.\Concentrate. Do it exactly as I taught you. response:	Illustrate the destruction you desire from within your head...
context: I was once a member of the Ministry of Magical Development.\During that time I used my knowledge to create hundreds of new spells.\One of them is the self-destruction magic circle.\And I was the one that taught you it.\Or have you forgotten, Jellal?\This area will do.\Concentrate. Do it exactly as I taught you.\Illustrate the destruction you desire from within your head... response:	I know.
context: During that time I used my knowledge to create hundreds of new spells.\One of them is the self-destruction magic circle.\And I was the one that taught you it.\Or have you forgotten, Jellal?\This area will do.\Concentrate. Do it exactly as I taught you.\Illustrate the destruction you desire from within your head...\I know. response:	And after only telling him once...
context: One of them is the self-destruction magic circle.\And I was the one that taught you it.\Or have you forgotten, Jellal?\This area will do.\Concentrate. Do it exactly as I taught you.\Illustrate the destruction you desire from within your head...\I know.\And after only telling him once... response:	To be able to master the self-destruction magic circle to this level is impressive, as always.
context: And I was the one that taught you it.\Or have you forgotten, Jellal?\This area will do.\Concentrate. Do it exactly as I taught you.\Illustrate the destruction you desire from within your head...\I know.\And after only telling him once...\To be able to master the self-destruction magic circle to this level is impressive, as always. response:	It isn't enough...
context: Or have you forgotten, Jellal?\This area will do.\Concentrate. Do it exactly as I taught you.\Illustrate the destruction you desire from within your head...\I know.\And after only telling him once...\To be able to master the self-destruction magic circle to this level is impressive, as always.\It isn't enough... response:	What?
context: This area will do.\Concentrate. Do it exactly as I taught you.\Illustrate the destruction you desire from within your head...\I know.\And after only telling him once...\To be able to master the self-destruction magic circle to this level is impressive, as always.\It isn't enough...\What? response:	What I desire is perfect destruction that leaves not even a speck of dust remaining.
context: Concentrate. Do it exactly as I taught you.\Illustrate the destruction you desire from within your head...\I know.\And after only telling him once...\To be able to master the self-destruction magic circle to this level is impressive, as always.\It isn't enough...\What?\What I desire is perfect destruction that leaves not even a speck of dust remaining. response:	He's...
context: Illustrate the destruction you desire from within your head...\I know.\And after only telling him once...\To be able to master the self-destruction magic circle to this level is impressive, as always.\It isn't enough...\What?\What I desire is perfect destruction that leaves not even a speck of dust remaining.\He's... response:	Using a self-destruction magic circle on your own body?
context: I know.\And after only telling him once...\To be able to master the self-destruction magic circle to this level is impressive, as always.\It isn't enough...\What?\What I desire is perfect destruction that leaves not even a speck of dust remaining.\He's...\Using a self-destruction magic circle on your own body? response:	So you are planning on dying along with the cancellation code?
context: And after only telling him once...\To be able to master the self-destruction magic circle to this level is impressive, as always.\It isn't enough...\What?\What I desire is perfect destruction that leaves not even a speck of dust remaining.\He's...\Using a self-destruction magic circle on your own body?\So you are planning on dying along with the cancellation code? response:	It seems his memories are screwed up, thanks to the effects of Ethernano.
context: To be able to master the self-destruction magic circle to this level is impressive, as always.\It isn't enough...\What?\What I desire is perfect destruction that leaves not even a speck of dust remaining.\He's...\Using a self-destruction magic circle on your own body?\So you are planning on dying along with the cancellation code?\It seems his memories are screwed up, thanks to the effects of Ethernano. response:	Basically, he doesn't realize he's a bad guy.
context: It isn't enough...\What?\What I desire is perfect destruction that leaves not even a speck of dust remaining.\He's...\Using a self-destruction magic circle on your own body?\So you are planning on dying along with the cancellation code?\It seems his memories are screwed up, thanks to the effects of Ethernano.\Basically, he doesn't realize he's a bad guy. response:	What? Hilarious!
context: What?\What I desire is perfect destruction that leaves not even a speck of dust remaining.\He's...\Using a self-destruction magic circle on your own body?\So you are planning on dying along with the cancellation code?\It seems his memories are screwed up, thanks to the effects of Ethernano.\Basically, he doesn't realize he's a bad guy.\What? Hilarious! response:	Even without the cancellation code...
context: What I desire is perfect destruction that leaves not even a speck of dust remaining.\He's...\Using a self-destruction magic circle on your own body?\So you are planning on dying along with the cancellation code?\It seems his memories are screwed up, thanks to the effects of Ethernano.\Basically, he doesn't realize he's a bad guy.\What? Hilarious!\Even without the cancellation code... response:	No!
context: He's...\Using a self-destruction magic circle on your own body?\So you are planning on dying along with the cancellation code?\It seems his memories are screwed up, thanks to the effects of Ethernano.\Basically, he doesn't realize he's a bad guy.\What? Hilarious!\Even without the cancellation code...\No! response:	How pitiful, Jellal!
context: Using a self-destruction magic circle on your own body?\So you are planning on dying along with the cancellation code?\It seems his memories are screwed up, thanks to the effects of Ethernano.\Basically, he doesn't realize he's a bad guy.\What? Hilarious!\Even without the cancellation code...\No!\How pitiful, Jellal! response:	Nirvana will be mine!
context: So you are planning on dying along with the cancellation code?\It seems his memories are screwed up, thanks to the effects of Ethernano.\Basically, he doesn't realize he's a bad guy.\What? Hilarious!\Even without the cancellation code...\No!\How pitiful, Jellal!\Nirvana will be mine! response:	Never!
context: It seems his memories are screwed up, thanks to the effects of Ethernano.\Basically, he doesn't realize he's a bad guy.\What? Hilarious!\Even without the cancellation code...\No!\How pitiful, Jellal!\Nirvana will be mine!\Never! response:	Awaken, Nirvana!
context: Basically, he doesn't realize he's a bad guy.\What? Hilarious!\Even without the cancellation code...\No!\How pitiful, Jellal!\Nirvana will be mine!\Never!\Awaken, Nirvana! response:	Erza!
context: What? Hilarious!\Even without the cancellation code...\No!\How pitiful, Jellal!\Nirvana will be mine!\Never!\Awaken, Nirvana!\Erza! response:	Reveal yourself!
context: Even without the cancellation code...\No!\How pitiful, Jellal!\Nirvana will be mine!\Never!\Awaken, Nirvana!\Erza!\Reveal yourself! response:	I can hear it! Our future!
context: No!\How pitiful, Jellal!\Nirvana will be mine!\Never!\Awaken, Nirvana!\Erza!\Reveal yourself!\I can hear it! Our future! response:	The sound of the extinction of the light!
context: How pitiful, Jellal!\Nirvana will be mine!\Never!\Awaken, Nirvana!\Erza!\Reveal yourself!\I can hear it! Our future!\The sound of the extinction of the light! response:	Jellal!
context: Nirvana will be mine!\Never!\Awaken, Nirvana!\Erza!\Reveal yourself!\I can hear it! Our future!\The sound of the extinction of the light!\Jellal! response:	Erza!
context: Never!\Awaken, Nirvana!\Erza!\Reveal yourself!\I can hear it! Our future!\The sound of the extinction of the light!\Jellal!\Erza! response:	Carla, look!
context: Awaken, Nirvana!\Erza!\Reveal yourself!\I can hear it! Our future!\The sound of the extinction of the light!\Jellal!\Erza!\Carla, look! response:	No... It can't be...
context: Erza!\Reveal yourself!\I can hear it! Our future!\The sound of the extinction of the light!\Jellal!\Erza!\Carla, look!\No... It can't be... response:	Hot Eye-dono, what is that?
context: Reveal yourself!\I can hear it! Our future!\The sound of the extinction of the light!\Jellal!\Erza!\Carla, look!\No... It can't be...\Hot Eye-dono, what is that? response:	It has begun! The final stage... The resurrection of Nirvana!
context: I can hear it! Our future!\The sound of the extinction of the light!\Jellal!\Erza!\Carla, look!\No... It can't be...\Hot Eye-dono, what is that?\It has begun! The final stage... The resurrection of Nirvana! response:	Men!
context: The sound of the extinction of the light!\Jellal!\Erza!\Carla, look!\No... It can't be...\Hot Eye-dono, what is that?\It has begun! The final stage... The resurrection of Nirvana!\Men! response:	What in the world is that?
context: Jellal!\Erza!\Carla, look!\No... It can't be...\Hot Eye-dono, what is that?\It has begun! The final stage... The resurrection of Nirvana!\Men!\What in the world is that? response:	We were too late?
context: Erza!\Carla, look!\No... It can't be...\Hot Eye-dono, what is that?\It has begun! The final stage... The resurrection of Nirvana!\Men!\What in the world is that?\We were too late? response:	What the...?!
context: Carla, look!\No... It can't be...\Hot Eye-dono, what is that?\It has begun! The final stage... The resurrection of Nirvana!\Men!\What in the world is that?\We were too late?\What the...?! response:	Whoa there, that's...
context: No... It can't be...\Hot Eye-dono, what is that?\It has begun! The final stage... The resurrection of Nirvana!\Men!\What in the world is that?\We were too late?\What the...?!\Whoa there, that's... response:	I-I think we're in trouble...
context: Hot Eye-dono, what is that?\It has begun! The final stage... The resurrection of Nirvana!\Men!\What in the world is that?\We were too late?\What the...?!\Whoa there, that's...\I-I think we're in trouble... response:	Damn it! Erza was inside that light!
context: It has begun! The final stage... The resurrection of Nirvana!\Men!\What in the world is that?\We were too late?\What the...?!\Whoa there, that's...\I-I think we're in trouble...\Damn it! Erza was inside that light! response:	Oh, no!
context: Men!\What in the world is that?\We were too late?\What the...?!\Whoa there, that's...\I-I think we're in trouble...\Damn it! Erza was inside that light!\Oh, no! response:	I've never smelled anything so dangerous as this!
context: What in the world is that?\We were too late?\What the...?!\Whoa there, that's...\I-I think we're in trouble...\Damn it! Erza was inside that light!\Oh, no!\I've never smelled anything so dangerous as this! response:	Hot Eye-dono... Can you see something?
context: We were too late?\What the...?!\Whoa there, that's...\I-I think we're in trouble...\Damn it! Erza was inside that light!\Oh, no!\I've never smelled anything so dangerous as this!\Hot Eye-dono... Can you see something? response:	Something... Something huge is coming, yes...
context: What the...?!\Whoa there, that's...\I-I think we're in trouble...\Damn it! Erza was inside that light!\Oh, no!\I've never smelled anything so dangerous as this!\Hot Eye-dono... Can you see something?\Something... Something huge is coming, yes... response:	Something huge?
context: Whoa there, that's...\I-I think we're in trouble...\Damn it! Erza was inside that light!\Oh, no!\I've never smelled anything so dangerous as this!\Hot Eye-dono... Can you see something?\Something... Something huge is coming, yes...\Something huge? response:	What in the world is this? I don't get it!
context: I-I think we're in trouble...\Damn it! Erza was inside that light!\Oh, no!\I've never smelled anything so dangerous as this!\Hot Eye-dono... Can you see something?\Something... Something huge is coming, yes...\Something huge?\What in the world is this? I don't get it! response:	It's coming out of the ground around here!
context: Damn it! Erza was inside that light!\Oh, no!\I've never smelled anything so dangerous as this!\Hot Eye-dono... Can you see something?\Something... Something huge is coming, yes...\Something huge?\What in the world is this? I don't get it!\It's coming out of the ground around here! response:	So this is what Nirvana is?
context: Oh, no!\I've never smelled anything so dangerous as this!\Hot Eye-dono... Can you see something?\Something... Something huge is coming, yes...\Something huge?\What in the world is this? I don't get it!\It's coming out of the ground around here!\So this is what Nirvana is? response:	Can you even call it magic at this point?
context: I've never smelled anything so dangerous as this!\Hot Eye-dono... Can you see something?\Something... Something huge is coming, yes...\Something huge?\What in the world is this? I don't get it!\It's coming out of the ground around here!\So this is what Nirvana is?\Can you even call it magic at this point? response:	Whoa, the ground's shaking...
context: Hot Eye-dono... Can you see something?\Something... Something huge is coming, yes...\Something huge?\What in the world is this? I don't get it!\It's coming out of the ground around here!\So this is what Nirvana is?\Can you even call it magic at this point?\Whoa, the ground's shaking... response:	Does anyone hear cracking?
context: Something... Something huge is coming, yes...\Something huge?\What in the world is this? I don't get it!\It's coming out of the ground around here!\So this is what Nirvana is?\Can you even call it magic at this point?\Whoa, the ground's shaking...\Does anyone hear cracking? response:	I have a really, really bad feeling about this...
context: Something huge?\What in the world is this? I don't get it!\It's coming out of the ground around here!\So this is what Nirvana is?\Can you even call it magic at this point?\Whoa, the ground's shaking...\Does anyone hear cracking?\I have a really, really bad feeling about this... response:	No kidding.
context: What in the world is this? I don't get it!\It's coming out of the ground around here!\So this is what Nirvana is?\Can you even call it magic at this point?\Whoa, the ground's shaking...\Does anyone hear cracking?\I have a really, really bad feeling about this...\No kidding. response:	I called it!
context: It's coming out of the ground around here!\So this is what Nirvana is?\Can you even call it magic at this point?\Whoa, the ground's shaking...\Does anyone hear cracking?\I have a really, really bad feeling about this...\No kidding.\I called it! response:	H-Hey! Hold it right there, you people!
context: So this is what Nirvana is?\Can you even call it magic at this point?\Whoa, the ground's shaking...\Does anyone hear cracking?\I have a really, really bad feeling about this...\No kidding.\I called it!\H-Hey! Hold it right there, you people! response:	Carla!
context: Can you even call it magic at this point?\Whoa, the ground's shaking...\Does anyone hear cracking?\I have a really, really bad feeling about this...\No kidding.\I called it!\H-Hey! Hold it right there, you people!\Carla! response:	Let's go, Wendy!
context: Whoa, the ground's shaking...\Does anyone hear cracking?\I have a really, really bad feeling about this...\No kidding.\I called it!\H-Hey! Hold it right there, you people!\Carla!\Let's go, Wendy! response:	Right!
context: Does anyone hear cracking?\I have a really, really bad feeling about this...\No kidding.\I called it!\H-Hey! Hold it right there, you people!\Carla!\Let's go, Wendy!\Right! response:	Look, Carla!
context: I have a really, really bad feeling about this...\No kidding.\I called it!\H-Hey! Hold it right there, you people!\Carla!\Let's go, Wendy!\Right!\Look, Carla! response:	That's...
context: No kidding.\I called it!\H-Hey! Hold it right there, you people!\Carla!\Let's go, Wendy!\Right!\Look, Carla!\That's... response:	That's...
context: I called it!\H-Hey! Hold it right there, you people!\Carla!\Let's go, Wendy!\Right!\Look, Carla!\That's...\That's... response:	Finally! Finally it is mine!
context: H-Hey! Hold it right there, you people!\Carla!\Let's go, Wendy!\Right!\Look, Carla!\That's...\That's...\Finally! Finally it is mine! response:	The ultimate weapon that will destroy the light!
context: Carla!\Let's go, Wendy!\Right!\Look, Carla!\That's...\That's...\Finally! Finally it is mine!\The ultimate weapon that will destroy the light! response:	The ultra-inversion magic, Nirvana!
context: Let's go, Wendy!\Right!\Look, Carla!\That's...\That's...\Finally! Finally it is mine!\The ultimate weapon that will destroy the light!\The ultra-inversion magic, Nirvana! response:	The greatest weapons of the official guilds, their unity and trust...
context: Right!\Look, Carla!\That's...\That's...\Finally! Finally it is mine!\The ultimate weapon that will destroy the light!\The ultra-inversion magic, Nirvana!\The greatest weapons of the official guilds, their unity and trust... response:	Erza...
context: Look, Carla!\That's...\That's...\Finally! Finally it is mine!\The ultimate weapon that will destroy the light!\The ultra-inversion magic, Nirvana!\The greatest weapons of the official guilds, their unity and trust...\Erza... response:	Undo the self-destruction magic you cast on your own body!
context: That's...\That's...\Finally! Finally it is mine!\The ultimate weapon that will destroy the light!\The ultra-inversion magic, Nirvana!\The greatest weapons of the official guilds, their unity and trust...\Erza...\Undo the self-destruction magic you cast on your own body! response:	You have a duty to survive!
context: That's...\Finally! Finally it is mine!\The ultimate weapon that will destroy the light!\The ultra-inversion magic, Nirvana!\The greatest weapons of the official guilds, their unity and trust...\Erza...\Undo the self-destruction magic you cast on your own body!\You have a duty to survive! response:	It's... all over...
context: Finally! Finally it is mine!\The ultimate weapon that will destroy the light!\The ultra-inversion magic, Nirvana!\The greatest weapons of the official guilds, their unity and trust...\Erza...\Undo the self-destruction magic you cast on your own body!\You have a duty to survive!\It's... all over... response:	What is over? Take a look.
context: The ultimate weapon that will destroy the light!\The ultra-inversion magic, Nirvana!\The greatest weapons of the official guilds, their unity and trust...\Erza...\Undo the self-destruction magic you cast on your own body!\You have a duty to survive!\It's... all over...\What is over? Take a look. response:	Go, Fairy Tail!
context: The ultra-inversion magic, Nirvana!\The greatest weapons of the official guilds, their unity and trust...\Erza...\Undo the self-destruction magic you cast on your own body!\You have a duty to survive!\It's... all over...\What is over? Take a look.\Go, Fairy Tail! response:	You are the only ones who can stop this!
context: The greatest weapons of the official guilds, their unity and trust...\Erza...\Undo the self-destruction magic you cast on your own body!\You have a duty to survive!\It's... all over...\What is over? Take a look.\Go, Fairy Tail!\You are the only ones who can stop this! response:	Carla, let's head over there!
context: Erza...\Undo the self-destruction magic you cast on your own body!\You have a duty to survive!\It's... all over...\What is over? Take a look.\Go, Fairy Tail!\You are the only ones who can stop this!\Carla, let's head over there! response:	Right!
context: Undo the self-destruction magic you cast on your own body!\You have a duty to survive!\It's... all over...\What is over? Take a look.\Go, Fairy Tail!\You are the only ones who can stop this!\Carla, let's head over there!\Right! response:	Let's get up there as well!
context: You have a duty to survive!\It's... all over...\What is over? Take a look.\Go, Fairy Tail!\You are the only ones who can stop this!\Carla, let's head over there!\Right!\Let's get up there as well! response:	Yes. Take my hand, please.
context: It's... all over...\What is over? Take a look.\Go, Fairy Tail!\You are the only ones who can stop this!\Carla, let's head over there!\Right!\Let's get up there as well!\Yes. Take my hand, please. response:	Helping each other, as allies!
