context: A date... response:	A date? With who?
context: Wow, he's so hot!\Wait, who is he?\Is he waiting for someone?\If he isn't, you should talk to him.\No, you talk to him.\Shizuku-chan.\I'm glad I caught you.\I was about to leave. response:	People kept looking at me.
context: Wait, who is he?\Is he waiting for someone?\If he isn't, you should talk to him.\No, you talk to him.\Shizuku-chan.\I'm glad I caught you.\I was about to leave.\People kept looking at me. response:	What are you doing here, Haru's big brother?
context: Is he waiting for someone?\If he isn't, you should talk to him.\No, you talk to him.\Shizuku-chan.\I'm glad I caught you.\I was about to leave.\People kept looking at me.\What are you doing here, Haru's big brother? response:	You can call me Yuzan.
context: If he isn't, you should talk to him.\No, you talk to him.\Shizuku-chan.\I'm glad I caught you.\I was about to leave.\People kept looking at me.\What are you doing here, Haru's big brother?\You can call me Yuzan. response:	Haru just disappeared a moment ago.
context: No, you talk to him.\Shizuku-chan.\I'm glad I caught you.\I was about to leave.\People kept looking at me.\What are you doing here, Haru's big brother?\You can call me Yuzan.\Haru just disappeared a moment ago. response:	Bye.
context: Shizuku-chan.\I'm glad I caught you.\I was about to leave.\People kept looking at me.\What are you doing here, Haru's big brother?\You can call me Yuzan.\Haru just disappeared a moment ago.\Bye. response:	Oh, hold on.
context: I'm glad I caught you.\I was about to leave.\People kept looking at me.\What are you doing here, Haru's big brother?\You can call me Yuzan.\Haru just disappeared a moment ago.\Bye.\Oh, hold on. response:	I'm here to see you.
context: I was about to leave.\People kept looking at me.\What are you doing here, Haru's big brother?\You can call me Yuzan.\Haru just disappeared a moment ago.\Bye.\Oh, hold on.\I'm here to see you. response:	I just realized that I should have grabbed Shizuku
context: People kept looking at me.\What are you doing here, Haru's big brother?\You can call me Yuzan.\Haru just disappeared a moment ago.\Bye.\Oh, hold on.\I'm here to see you.\I just realized that I should have grabbed Shizuku response:	and left through the back gate!
context: What are you doing here, Haru's big brother?\You can call me Yuzan.\Haru just disappeared a moment ago.\Bye.\Oh, hold on.\I'm here to see you.\I just realized that I should have grabbed Shizuku\and left through the back gate! response:	Damn!
context: You can call me Yuzan.\Haru just disappeared a moment ago.\Bye.\Oh, hold on.\I'm here to see you.\I just realized that I should have grabbed Shizuku\and left through the back gate!\Damn! response:	Huh? Aren't you...
context: Haru just disappeared a moment ago.\Bye.\Oh, hold on.\I'm here to see you.\I just realized that I should have grabbed Shizuku\and left through the back gate!\Damn!\Huh? Aren't you... response:	Hey.
context: Bye.\Oh, hold on.\I'm here to see you.\I just realized that I should have grabbed Shizuku\and left through the back gate!\Damn!\Huh? Aren't you...\Hey. response:	Can you do me a favor?
context: Oh, hold on.\I'm here to see you.\I just realized that I should have grabbed Shizuku\and left through the back gate!\Damn!\Huh? Aren't you...\Hey.\Can you do me a favor? response:	Well, is he there?
context: I'm here to see you.\I just realized that I should have grabbed Shizuku\and left through the back gate!\Damn!\Huh? Aren't you...\Hey.\Can you do me a favor?\Well, is he there? response:	He's not.
context: I just realized that I should have grabbed Shizuku\and left through the back gate!\Damn!\Huh? Aren't you...\Hey.\Can you do me a favor?\Well, is he there?\He's not. response:	Are you positive?!
context: and left through the back gate!\Damn!\Huh? Aren't you...\Hey.\Can you do me a favor?\Well, is he there?\He's not.\Are you positive?! response:	His hair is slimy as an eel.
context: Damn!\Huh? Aren't you...\Hey.\Can you do me a favor?\Well, is he there?\He's not.\Are you positive?!\His hair is slimy as an eel. response:	Uh-huh, I don't think he's there.
context: Huh? Aren't you...\Hey.\Can you do me a favor?\Well, is he there?\He's not.\Are you positive?!\His hair is slimy as an eel.\Uh-huh, I don't think he's there. response:	Really?
context: Hey.\Can you do me a favor?\Well, is he there?\He's not.\Are you positive?!\His hair is slimy as an eel.\Uh-huh, I don't think he's there.\Really? response:	Good.
context: Can you do me a favor?\Well, is he there?\He's not.\Are you positive?!\His hair is slimy as an eel.\Uh-huh, I don't think he's there.\Really?\Good. response:	Message to Class Representatives Syoyo High School Student Council
context: Well, is he there?\He's not.\Are you positive?!\His hair is slimy as an eel.\Uh-huh, I don't think he's there.\Really?\Good.\Message to Class Representatives Syoyo High School Student Council response:	Are you a class rep?
context: He's not.\Are you positive?!\His hair is slimy as an eel.\Uh-huh, I don't think he's there.\Really?\Good.\Message to Class Representatives Syoyo High School Student Council\Are you a class rep? response:	Huh? Uh-huh.
context: Are you positive?!\His hair is slimy as an eel.\Uh-huh, I don't think he's there.\Really?\Good.\Message to Class Representatives Syoyo High School Student Council\Are you a class rep?\Huh? Uh-huh. response:	That's awesome!
context: His hair is slimy as an eel.\Uh-huh, I don't think he's there.\Really?\Good.\Message to Class Representatives Syoyo High School Student Council\Are you a class rep?\Huh? Uh-huh.\That's awesome! response:	The class rep is the most popular kid in the class,
context: Uh-huh, I don't think he's there.\Really?\Good.\Message to Class Representatives Syoyo High School Student Council\Are you a class rep?\Huh? Uh-huh.\That's awesome!\The class rep is the most popular kid in the class, response:	who everyone looks up to, right?
context: Really?\Good.\Message to Class Representatives Syoyo High School Student Council\Are you a class rep?\Huh? Uh-huh.\That's awesome!\The class rep is the most popular kid in the class,\who everyone looks up to, right? response:	Er, really?
context: Good.\Message to Class Representatives Syoyo High School Student Council\Are you a class rep?\Huh? Uh-huh.\That's awesome!\The class rep is the most popular kid in the class,\who everyone looks up to, right?\Er, really? response:	I don't know about that.
context: Message to Class Representatives Syoyo High School Student Council\Are you a class rep?\Huh? Uh-huh.\That's awesome!\The class rep is the most popular kid in the class,\who everyone looks up to, right?\Er, really?\I don't know about that. response:	I have a feeling I was chosen because I wear glasses.
context: Are you a class rep?\Huh? Uh-huh.\That's awesome!\The class rep is the most popular kid in the class,\who everyone looks up to, right?\Er, really?\I don't know about that.\I have a feeling I was chosen because I wear glasses. response:	Glasses?
context: Huh? Uh-huh.\That's awesome!\The class rep is the most popular kid in the class,\who everyone looks up to, right?\Er, really?\I don't know about that.\I have a feeling I was chosen because I wear glasses.\Glasses? response:	I see. That could work.
context: That's awesome!\The class rep is the most popular kid in the class,\who everyone looks up to, right?\Er, really?\I don't know about that.\I have a feeling I was chosen because I wear glasses.\Glasses?\I see. That could work. response:	I don't know how I'd look with glasses on, though.
context: The class rep is the most popular kid in the class,\who everyone looks up to, right?\Er, really?\I don't know about that.\I have a feeling I was chosen because I wear glasses.\Glasses?\I see. That could work.\I don't know how I'd look with glasses on, though. response:	Oh, um...
context: who everyone looks up to, right?\Er, really?\I don't know about that.\I have a feeling I was chosen because I wear glasses.\Glasses?\I see. That could work.\I don't know how I'd look with glasses on, though.\Oh, um... response:	You'd probably look fine.
context: Er, really?\I don't know about that.\I have a feeling I was chosen because I wear glasses.\Glasses?\I see. That could work.\I don't know how I'd look with glasses on, though.\Oh, um...\You'd probably look fine. response:	Huh?
context: I don't know about that.\I have a feeling I was chosen because I wear glasses.\Glasses?\I see. That could work.\I don't know how I'd look with glasses on, though.\Oh, um...\You'd probably look fine.\Huh? response:	With glasses on.
context: I have a feeling I was chosen because I wear glasses.\Glasses?\I see. That could work.\I don't know how I'd look with glasses on, though.\Oh, um...\You'd probably look fine.\Huh?\With glasses on. response:	You're a nice person.
context: Glasses?\I see. That could work.\I don't know how I'd look with glasses on, though.\Oh, um...\You'd probably look fine.\Huh?\With glasses on.\You're a nice person. response:	U-Um...
context: I see. That could work.\I don't know how I'd look with glasses on, though.\Oh, um...\You'd probably look fine.\Huh?\With glasses on.\You're a nice person.\U-Um... response:	Then...
context: I don't know how I'd look with glasses on, though.\Oh, um...\You'd probably look fine.\Huh?\With glasses on.\You're a nice person.\U-Um...\Then... response:	Something's come up.
context: Oh, um...\You'd probably look fine.\Huh?\With glasses on.\You're a nice person.\U-Um...\Then...\Something's come up. response:	Bye.
context: You'd probably look fine.\Huh?\With glasses on.\You're a nice person.\U-Um...\Then...\Something's come up.\Bye. response:	O-Okay!
context: Huh?\With glasses on.\You're a nice person.\U-Um...\Then...\Something's come up.\Bye.\O-Okay! response:	It's been a long time
context: With glasses on.\You're a nice person.\U-Um...\Then...\Something's come up.\Bye.\O-Okay!\It's been a long time response:	since someone said I was a nice person.
context: You're a nice person.\U-Um...\Then...\Something's come up.\Bye.\O-Okay!\It's been a long time\since someone said I was a nice person. response:	In Japan, we have a tradition
context: U-Um...\Then...\Something's come up.\Bye.\O-Okay!\It's been a long time\since someone said I was a nice person.\In Japan, we have a tradition response:	of paying close attention to the seasons.
context: Then...\Something's come up.\Bye.\O-Okay!\It's been a long time\since someone said I was a nice person.\In Japan, we have a tradition\of paying close attention to the seasons. response:	I believe that tradition is embodied in the sweets we make.
context: Something's come up.\Bye.\O-Okay!\It's been a long time\since someone said I was a nice person.\In Japan, we have a tradition\of paying close attention to the seasons.\I believe that tradition is embodied in the sweets we make. response:	You know how they
context: Bye.\O-Okay!\It's been a long time\since someone said I was a nice person.\In Japan, we have a tradition\of paying close attention to the seasons.\I believe that tradition is embodied in the sweets we make.\You know how they response:	say you can taste the seasons change?
context: O-Okay!\It's been a long time\since someone said I was a nice person.\In Japan, we have a tradition\of paying close attention to the seasons.\I believe that tradition is embodied in the sweets we make.\You know how they\say you can taste the seasons change? response:	For example, I like desserts
context: It's been a long time\since someone said I was a nice person.\In Japan, we have a tradition\of paying close attention to the seasons.\I believe that tradition is embodied in the sweets we make.\You know how they\say you can taste the seasons change?\For example, I like desserts response:	like cake with plenty of whipped cream and tarts,
context: since someone said I was a nice person.\In Japan, we have a tradition\of paying close attention to the seasons.\I believe that tradition is embodied in the sweets we make.\You know how they\say you can taste the seasons change?\For example, I like desserts\like cake with plenty of whipped cream and tarts, response:	but in the summer, I prefer mousse and gelatin.
context: In Japan, we have a tradition\of paying close attention to the seasons.\I believe that tradition is embodied in the sweets we make.\You know how they\say you can taste the seasons change?\For example, I like desserts\like cake with plenty of whipped cream and tarts,\but in the summer, I prefer mousse and gelatin. response:	They look a lot cooler.
context: of paying close attention to the seasons.\I believe that tradition is embodied in the sweets we make.\You know how they\say you can taste the seasons change?\For example, I like desserts\like cake with plenty of whipped cream and tarts,\but in the summer, I prefer mousse and gelatin.\They look a lot cooler. response:	Oh, speaking of cool treats...
context: I believe that tradition is embodied in the sweets we make.\You know how they\say you can taste the seasons change?\For example, I like desserts\like cake with plenty of whipped cream and tarts,\but in the summer, I prefer mousse and gelatin.\They look a lot cooler.\Oh, speaking of cool treats... response:	I've only had it once, but I still remember it.
context: You know how they\say you can taste the seasons change?\For example, I like desserts\like cake with plenty of whipped cream and tarts,\but in the summer, I prefer mousse and gelatin.\They look a lot cooler.\Oh, speaking of cool treats...\I've only had it once, but I still remember it. response:	It's a traditional Turkish pastry called Baklava.
context: say you can taste the seasons change?\For example, I like desserts\like cake with plenty of whipped cream and tarts,\but in the summer, I prefer mousse and gelatin.\They look a lot cooler.\Oh, speaking of cool treats...\I've only had it once, but I still remember it.\It's a traditional Turkish pastry called Baklava. response:	Pie crust covered in lots of syrup.
