context: So, everything that makes me whole response:	I'll now give to you
context: Recover Inori and get out of there.\H-Huh?!\Tsugumi! Where's my next target?\Direction: ten o'clock. Distance: 400!\That's too far away! Don't you have a closer one?\You can withdraw if you don't like it! You're working too hard anyway, Aya!\Your poor craft's had about all it can take!\But I want to do all I can... response:	Hey, there's a stocky one. Glad I rushed over here!
context: H-Huh?!\Tsugumi! Where's my next target?\Direction: ten o'clock. Distance: 400!\That's too far away! Don't you have a closer one?\You can withdraw if you don't like it! You're working too hard anyway, Aya!\Your poor craft's had about all it can take!\But I want to do all I can...\Hey, there's a stocky one. Glad I rushed over here! response:	He's fast!
context: Tsugumi! Where's my next target?\Direction: ten o'clock. Distance: 400!\That's too far away! Don't you have a closer one?\You can withdraw if you don't like it! You're working too hard anyway, Aya!\Your poor craft's had about all it can take!\But I want to do all I can...\Hey, there's a stocky one. Glad I rushed over here!\He's fast! response:	Bailout!
context: Direction: ten o'clock. Distance: 400!\That's too far away! Don't you have a closer one?\You can withdraw if you don't like it! You're working too hard anyway, Aya!\Your poor craft's had about all it can take!\But I want to do all I can...\Hey, there's a stocky one. Glad I rushed over here!\He's fast!\Bailout! response:	Huh? Where's the screaming?
context: That's too far away! Don't you have a closer one?\You can withdraw if you don't like it! You're working too hard anyway, Aya!\Your poor craft's had about all it can take!\But I want to do all I can...\Hey, there's a stocky one. Glad I rushed over here!\He's fast!\Bailout!\Huh? Where's the screaming? response:	That's it?
context: You can withdraw if you don't like it! You're working too hard anyway, Aya!\Your poor craft's had about all it can take!\But I want to do all I can...\Hey, there's a stocky one. Glad I rushed over here!\He's fast!\Bailout!\Huh? Where's the screaming?\That's it? response:	That's just no fun.
context: Your poor craft's had about all it can take!\But I want to do all I can...\Hey, there's a stocky one. Glad I rushed over here!\He's fast!\Bailout!\Huh? Where's the screaming?\That's it?\That's just no fun. response:	What? You're telling me a foot soldier did this?!
context: But I want to do all I can...\Hey, there's a stocky one. Glad I rushed over here!\He's fast!\Bailout!\Huh? Where's the screaming?\That's it?\That's just no fun.\What? You're telling me a foot soldier did this?! response:	The battle footage is too distorted to say for sure, but I believe so, sir...
context: Hey, there's a stocky one. Glad I rushed over here!\He's fast!\Bailout!\Huh? Where's the screaming?\That's it?\That's just no fun.\What? You're telling me a foot soldier did this?!\The battle footage is too distorted to say for sure, but I believe so, sir... response:	A personal anti-Endlave weapon?!
context: He's fast!\Bailout!\Huh? Where's the screaming?\That's it?\That's just no fun.\What? You're telling me a foot soldier did this?!\The battle footage is too distorted to say for sure, but I believe so, sir...\A personal anti-Endlave weapon?! response:	How can I report that to the higher-ups?!
context: Bailout!\Huh? Where's the screaming?\That's it?\That's just no fun.\What? You're telling me a foot soldier did this?!\The battle footage is too distorted to say for sure, but I believe so, sir...\A personal anti-Endlave weapon?!\How can I report that to the higher-ups?! response:	Second Lieuteneant Daryl Yan entering.
context: Huh? Where's the screaming?\That's it?\That's just no fun.\What? You're telling me a foot soldier did this?!\The battle footage is too distorted to say for sure, but I believe so, sir...\A personal anti-Endlave weapon?!\How can I report that to the higher-ups?!\Second Lieuteneant Daryl Yan entering. response:	To think the Major General's own son would honor our mobile cockpit with a visit!
context: That's it?\That's just no fun.\What? You're telling me a foot soldier did this?!\The battle footage is too distorted to say for sure, but I believe so, sir...\A personal anti-Endlave weapon?!\How can I report that to the higher-ups?!\Second Lieuteneant Daryl Yan entering.\To think the Major General's own son would honor our mobile cockpit with a visit! response:	You certainly live up to your reputation for bravery and hard work.
context: That's just no fun.\What? You're telling me a foot soldier did this?!\The battle footage is too distorted to say for sure, but I believe so, sir...\A personal anti-Endlave weapon?!\How can I report that to the higher-ups?!\Second Lieuteneant Daryl Yan entering.\To think the Major General's own son would honor our mobile cockpit with a visit!\You certainly live up to your reputation for bravery and hard work. response:	Are you here on your father's orders?
context: What? You're telling me a foot soldier did this?!\The battle footage is too distorted to say for sure, but I believe so, sir...\A personal anti-Endlave weapon?!\How can I report that to the higher-ups?!\Second Lieuteneant Daryl Yan entering.\To think the Major General's own son would honor our mobile cockpit with a visit!\You certainly live up to your reputation for bravery and hard work.\Are you here on your father's orders? response:	No, I came on my own initiative.
context: The battle footage is too distorted to say for sure, but I believe so, sir...\A personal anti-Endlave weapon?!\How can I report that to the higher-ups?!\Second Lieuteneant Daryl Yan entering.\To think the Major General's own son would honor our mobile cockpit with a visit!\You certainly live up to your reputation for bravery and hard work.\Are you here on your father's orders?\No, I came on my own initiative. response:	I was bringing a new-model Endlave to the operations center,
context: A personal anti-Endlave weapon?!\How can I report that to the higher-ups?!\Second Lieuteneant Daryl Yan entering.\To think the Major General's own son would honor our mobile cockpit with a visit!\You certainly live up to your reputation for bravery and hard work.\Are you here on your father's orders?\No, I came on my own initiative.\I was bringing a new-model Endlave to the operations center, response:	and I heard the report that a battle started, so I thought,
context: How can I report that to the higher-ups?!\Second Lieuteneant Daryl Yan entering.\To think the Major General's own son would honor our mobile cockpit with a visit!\You certainly live up to your reputation for bravery and hard work.\Are you here on your father's orders?\No, I came on my own initiative.\I was bringing a new-model Endlave to the operations center,\and I heard the report that a battle started, so I thought, response:	sounds like fun!
context: Second Lieuteneant Daryl Yan entering.\To think the Major General's own son would honor our mobile cockpit with a visit!\You certainly live up to your reputation for bravery and hard work.\Are you here on your father's orders?\No, I came on my own initiative.\I was bringing a new-model Endlave to the operations center,\and I heard the report that a battle started, so I thought,\sounds like fun! response:	I see. Well, then, we'll be glad to have your help, Lieutenant.
context: To think the Major General's own son would honor our mobile cockpit with a visit!\You certainly live up to your reputation for bravery and hard work.\Are you here on your father's orders?\No, I came on my own initiative.\I was bringing a new-model Endlave to the operations center,\and I heard the report that a battle started, so I thought,\sounds like fun!\I see. Well, then, we'll be glad to have your help, Lieutenant. response:	Cut the jokes.
context: You certainly live up to your reputation for bravery and hard work.\Are you here on your father's orders?\No, I came on my own initiative.\I was bringing a new-model Endlave to the operations center,\and I heard the report that a battle started, so I thought,\sounds like fun!\I see. Well, then, we'll be glad to have your help, Lieutenant.\Cut the jokes. response:	You expect me to touch that fatty flesh?!
context: Are you here on your father's orders?\No, I came on my own initiative.\I was bringing a new-model Endlave to the operations center,\and I heard the report that a battle started, so I thought,\sounds like fun!\I see. Well, then, we'll be glad to have your help, Lieutenant.\Cut the jokes.\You expect me to touch that fatty flesh?! response:	I'll do as I please, got it?
context: No, I came on my own initiative.\I was bringing a new-model Endlave to the operations center,\and I heard the report that a battle started, so I thought,\sounds like fun!\I see. Well, then, we'll be glad to have your help, Lieutenant.\Cut the jokes.\You expect me to touch that fatty flesh?!\I'll do as I please, got it? response:	And if you get in my way...
context: I was bringing a new-model Endlave to the operations center,\and I heard the report that a battle started, so I thought,\sounds like fun!\I see. Well, then, we'll be glad to have your help, Lieutenant.\Cut the jokes.\You expect me to touch that fatty flesh?!\I'll do as I please, got it?\And if you get in my way... response:	I'll tell Daddy on you.
context: and I heard the report that a battle started, so I thought,\sounds like fun!\I see. Well, then, we'll be glad to have your help, Lieutenant.\Cut the jokes.\You expect me to touch that fatty flesh?!\I'll do as I please, got it?\And if you get in my way...\I'll tell Daddy on you. response:	That little shit!
context: sounds like fun!\I see. Well, then, we'll be glad to have your help, Lieutenant.\Cut the jokes.\You expect me to touch that fatty flesh?!\I'll do as I please, got it?\And if you get in my way...\I'll tell Daddy on you.\That little shit! response:	Expand the search area! Capture and interrogate everyone,
context: I see. Well, then, we'll be glad to have your help, Lieutenant.\Cut the jokes.\You expect me to touch that fatty flesh?!\I'll do as I please, got it?\And if you get in my way...\I'll tell Daddy on you.\That little shit!\Expand the search area! Capture and interrogate everyone, response:	women and children included!
context: Cut the jokes.\You expect me to touch that fatty flesh?!\I'll do as I please, got it?\And if you get in my way...\I'll tell Daddy on you.\That little shit!\Expand the search area! Capture and interrogate everyone,\women and children included! response:	Um...
context: You expect me to touch that fatty flesh?!\I'll do as I please, got it?\And if you get in my way...\I'll tell Daddy on you.\That little shit!\Expand the search area! Capture and interrogate everyone,\women and children included!\Um... response:	I'm sorry, Gai.
context: I'll do as I please, got it?\And if you get in my way...\I'll tell Daddy on you.\That little shit!\Expand the search area! Capture and interrogate everyone,\women and children included!\Um...\I'm sorry, Gai. response:	Ah, Ayase. Report your status.
context: And if you get in my way...\I'll tell Daddy on you.\That little shit!\Expand the search area! Capture and interrogate everyone,\women and children included!\Um...\I'm sorry, Gai.\Ah, Ayase. Report your status. response:	I lost my craft.
context: I'll tell Daddy on you.\That little shit!\Expand the search area! Capture and interrogate everyone,\women and children included!\Um...\I'm sorry, Gai.\Ah, Ayase. Report your status.\I lost my craft. response:	I apologize. It's my responsibility.
context: That little shit!\Expand the search area! Capture and interrogate everyone,\women and children included!\Um...\I'm sorry, Gai.\Ah, Ayase. Report your status.\I lost my craft.\I apologize. It's my responsibility. response:	I see.
context: Expand the search area! Capture and interrogate everyone,\women and children included!\Um...\I'm sorry, Gai.\Ah, Ayase. Report your status.\I lost my craft.\I apologize. It's my responsibility.\I see. response:	Yes, that is a shame.
context: women and children included!\Um...\I'm sorry, Gai.\Ah, Ayase. Report your status.\I lost my craft.\I apologize. It's my responsibility.\I see.\Yes, that is a shame. response:	I gave you the cruel order to hold your position for eighteen minutes
context: Um...\I'm sorry, Gai.\Ah, Ayase. Report your status.\I lost my craft.\I apologize. It's my responsibility.\I see.\Yes, that is a shame.\I gave you the cruel order to hold your position for eighteen minutes response:	in that old-model Endlave, and you rose to that task.
context: I'm sorry, Gai.\Ah, Ayase. Report your status.\I lost my craft.\I apologize. It's my responsibility.\I see.\Yes, that is a shame.\I gave you the cruel order to hold your position for eighteen minutes\in that old-model Endlave, and you rose to that task. response:	And yet you claim responsibility...
context: Ah, Ayase. Report your status.\I lost my craft.\I apologize. It's my responsibility.\I see.\Yes, that is a shame.\I gave you the cruel order to hold your position for eighteen minutes\in that old-model Endlave, and you rose to that task.\And yet you claim responsibility... response:	I suppose that means I'm not a fit commander?
context: I lost my craft.\I apologize. It's my responsibility.\I see.\Yes, that is a shame.\I gave you the cruel order to hold your position for eighteen minutes\in that old-model Endlave, and you rose to that task.\And yet you claim responsibility...\I suppose that means I'm not a fit commander? response:	N-No! It happened because of my failure! I...
context: I apologize. It's my responsibility.\I see.\Yes, that is a shame.\I gave you the cruel order to hold your position for eighteen minutes\in that old-model Endlave, and you rose to that task.\And yet you claim responsibility...\I suppose that means I'm not a fit commander?\N-No! It happened because of my failure! I... response:	I'm kidding.
context: I see.\Yes, that is a shame.\I gave you the cruel order to hold your position for eighteen minutes\in that old-model Endlave, and you rose to that task.\And yet you claim responsibility...\I suppose that means I'm not a fit commander?\N-No! It happened because of my failure! I...\I'm kidding. response:	I'm glad you're all right, Ayase.
context: Yes, that is a shame.\I gave you the cruel order to hold your position for eighteen minutes\in that old-model Endlave, and you rose to that task.\And yet you claim responsibility...\I suppose that means I'm not a fit commander?\N-No! It happened because of my failure! I...\I'm kidding.\I'm glad you're all right, Ayase. response:	And Aya's heartbeat soars to the top of the chart!
context: I gave you the cruel order to hold your position for eighteen minutes\in that old-model Endlave, and you rose to that task.\And yet you claim responsibility...\I suppose that means I'm not a fit commander?\N-No! It happened because of my failure! I...\I'm kidding.\I'm glad you're all right, Ayase.\And Aya's heartbeat soars to the top of the chart! response:	Shut up, Tsugumi!
context: in that old-model Endlave, and you rose to that task.\And yet you claim responsibility...\I suppose that means I'm not a fit commander?\N-No! It happened because of my failure! I...\I'm kidding.\I'm glad you're all right, Ayase.\And Aya's heartbeat soars to the top of the chart!\Shut up, Tsugumi! response:	Um, so...
context: And yet you claim responsibility...\I suppose that means I'm not a fit commander?\N-No! It happened because of my failure! I...\I'm kidding.\I'm glad you're all right, Ayase.\And Aya's heartbeat soars to the top of the chart!\Shut up, Tsugumi!\Um, so... response:	Are you awake now?
context: I suppose that means I'm not a fit commander?\N-No! It happened because of my failure! I...\I'm kidding.\I'm glad you're all right, Ayase.\And Aya's heartbeat soars to the top of the chart!\Shut up, Tsugumi!\Um, so...\Are you awake now? response:	Inori.
context: N-No! It happened because of my failure! I...\I'm kidding.\I'm glad you're all right, Ayase.\And Aya's heartbeat soars to the top of the chart!\Shut up, Tsugumi!\Um, so...\Are you awake now?\Inori. response:	Gai... did I get the job done?
context: I'm kidding.\I'm glad you're all right, Ayase.\And Aya's heartbeat soars to the top of the chart!\Shut up, Tsugumi!\Um, so...\Are you awake now?\Inori.\Gai... did I get the job done? response:	No. I'm disappointed in you, Inori.
context: I'm glad you're all right, Ayase.\And Aya's heartbeat soars to the top of the chart!\Shut up, Tsugumi!\Um, so...\Are you awake now?\Inori.\Gai... did I get the job done?\No. I'm disappointed in you, Inori. response:	Hey!
context: And Aya's heartbeat soars to the top of the chart!\Shut up, Tsugumi!\Um, so...\Are you awake now?\Inori.\Gai... did I get the job done?\No. I'm disappointed in you, Inori.\Hey! response:	Aren't you being a little mean?
context: Shut up, Tsugumi!\Um, so...\Are you awake now?\Inori.\Gai... did I get the job done?\No. I'm disappointed in you, Inori.\Hey!\Aren't you being a little mean? response:	I don't mean to barge in, but...
context: Um, so...\Are you awake now?\Inori.\Gai... did I get the job done?\No. I'm disappointed in you, Inori.\Hey!\Aren't you being a little mean?\I don't mean to barge in, but... response:	she worked really hard! And she even got badly hurt...
context: Are you awake now?\Inori.\Gai... did I get the job done?\No. I'm disappointed in you, Inori.\Hey!\Aren't you being a little mean?\I don't mean to barge in, but...\she worked really hard! And she even got badly hurt... response:	I know.
context: Inori.\Gai... did I get the job done?\No. I'm disappointed in you, Inori.\Hey!\Aren't you being a little mean?\I don't mean to barge in, but...\she worked really hard! And she even got badly hurt...\I know. response:	But results are everything. She failed us greatly in the final moment.
context: Gai... did I get the job done?\No. I'm disappointed in you, Inori.\Hey!\Aren't you being a little mean?\I don't mean to barge in, but...\she worked really hard! And she even got badly hurt...\I know.\But results are everything. She failed us greatly in the final moment. response:	Failed you? How?
context: No. I'm disappointed in you, Inori.\Hey!\Aren't you being a little mean?\I don't mean to barge in, but...\she worked really hard! And she even got badly hurt...\I know.\But results are everything. She failed us greatly in the final moment.\Failed you? How? response:	She let you use the Void Genome.
context: Hey!\Aren't you being a little mean?\I don't mean to barge in, but...\she worked really hard! And she even got badly hurt...\I know.\But results are everything. She failed us greatly in the final moment.\Failed you? How?\She let you use the Void Genome. response:	That cylinder?
context: Aren't you being a little mean?\I don't mean to barge in, but...\she worked really hard! And she even got badly hurt...\I know.\But results are everything. She failed us greatly in the final moment.\Failed you? How?\She let you use the Void Genome.\That cylinder? response:	That was supposed to be for my use.
context: I don't mean to barge in, but...\she worked really hard! And she even got badly hurt...\I know.\But results are everything. She failed us greatly in the final moment.\Failed you? How?\She let you use the Void Genome.\That cylinder?\That was supposed to be for my use. response:	The cylinder she gave you was one of only three enhanced genomes
context: she worked really hard! And she even got badly hurt...\I know.\But results are everything. She failed us greatly in the final moment.\Failed you? How?\She let you use the Void Genome.\That cylinder?\That was supposed to be for my use.\The cylinder she gave you was one of only three enhanced genomes response:	that Sephirah Genomics had successfully cultivated.
context: I know.\But results are everything. She failed us greatly in the final moment.\Failed you? How?\She let you use the Void Genome.\That cylinder?\That was supposed to be for my use.\The cylinder she gave you was one of only three enhanced genomes\that Sephirah Genomics had successfully cultivated. response:	The power it bestows on its user is the King's Power.
context: But results are everything. She failed us greatly in the final moment.\Failed you? How?\She let you use the Void Genome.\That cylinder?\That was supposed to be for my use.\The cylinder she gave you was one of only three enhanced genomes\that Sephirah Genomics had successfully cultivated.\The power it bestows on its user is the King's Power. response:	The King's Power?
context: Failed you? How?\She let you use the Void Genome.\That cylinder?\That was supposed to be for my use.\The cylinder she gave you was one of only three enhanced genomes\that Sephirah Genomics had successfully cultivated.\The power it bestows on its user is the King's Power.\The King's Power? response:	It can analyze intron sequences in the human genome,
context: She let you use the Void Genome.\That cylinder?\That was supposed to be for my use.\The cylinder she gave you was one of only three enhanced genomes\that Sephirah Genomics had successfully cultivated.\The power it bestows on its user is the King's Power.\The King's Power?\It can analyze intron sequences in the human genome, response:	and draw out the power hidden within them by converting them into Voids.
context: That cylinder?\That was supposed to be for my use.\The cylinder she gave you was one of only three enhanced genomes\that Sephirah Genomics had successfully cultivated.\The power it bestows on its user is the King's Power.\The King's Power?\It can analyze intron sequences in the human genome,\and draw out the power hidden within them by converting them into Voids. response:	What's a Void?
context: That was supposed to be for my use.\The cylinder she gave you was one of only three enhanced genomes\that Sephirah Genomics had successfully cultivated.\The power it bestows on its user is the King's Power.\The King's Power?\It can analyze intron sequences in the human genome,\and draw out the power hidden within them by converting them into Voids.\What's a Void? response:	An idea which has acquired form. The sword you used was one of them.
context: The cylinder she gave you was one of only three enhanced genomes\that Sephirah Genomics had successfully cultivated.\The power it bestows on its user is the King's Power.\The King's Power?\It can analyze intron sequences in the human genome,\and draw out the power hidden within them by converting them into Voids.\What's a Void?\An idea which has acquired form. The sword you used was one of them. response:	That was Inori's Void.
context: that Sephirah Genomics had successfully cultivated.\The power it bestows on its user is the King's Power.\The King's Power?\It can analyze intron sequences in the human genome,\and draw out the power hidden within them by converting them into Voids.\What's a Void?\An idea which has acquired form. The sword you used was one of them.\That was Inori's Void. response:	Different Voids can be extracted from different people.
context: The power it bestows on its user is the King's Power.\The King's Power?\It can analyze intron sequences in the human genome,\and draw out the power hidden within them by converting them into Voids.\What's a Void?\An idea which has acquired form. The sword you used was one of them.\That was Inori's Void.\Different Voids can be extracted from different people. response:	Void technology trespasses into the realm of the gods,
context: The King's Power?\It can analyze intron sequences in the human genome,\and draw out the power hidden within them by converting them into Voids.\What's a Void?\An idea which has acquired form. The sword you used was one of them.\That was Inori's Void.\Different Voids can be extracted from different people.\Void technology trespasses into the realm of the gods, response:	and what you obtained today is its crowning achievement.
context: It can analyze intron sequences in the human genome,\and draw out the power hidden within them by converting them into Voids.\What's a Void?\An idea which has acquired form. The sword you used was one of them.\That was Inori's Void.\Different Voids can be extracted from different people.\Void technology trespasses into the realm of the gods,\and what you obtained today is its crowning achievement. response:	You are no longer allowed to powerlessly stand by
context: and draw out the power hidden within them by converting them into Voids.\What's a Void?\An idea which has acquired form. The sword you used was one of them.\That was Inori's Void.\Different Voids can be extracted from different people.\Void technology trespasses into the realm of the gods,\and what you obtained today is its crowning achievement.\You are no longer allowed to powerlessly stand by response:	and turn a blind eye to others' lives like before.
context: What's a Void?\An idea which has acquired form. The sword you used was one of them.\That was Inori's Void.\Different Voids can be extracted from different people.\Void technology trespasses into the realm of the gods,\and what you obtained today is its crowning achievement.\You are no longer allowed to powerlessly stand by\and turn a blind eye to others' lives like before. response:	You'll fight with us.
context: An idea which has acquired form. The sword you used was one of them.\That was Inori's Void.\Different Voids can be extracted from different people.\Void technology trespasses into the realm of the gods,\and what you obtained today is its crowning achievement.\You are no longer allowed to powerlessly stand by\and turn a blind eye to others' lives like before.\You'll fight with us. response:	But, I can't just
