context: I Can't Help Being in Love!? response:	Die, die!
context: I want them to understand.\But I doubt anyone in this crowd would get it.\How sad.\Gachi Rangers has been really good lately, huh?\That new superhero show?\I've only caught bits and pieces of it,\but the black ranger's actor is pretty cool.\Yeah, yeah! response:	Umm...
context: But I doubt anyone in this crowd would get it.\How sad.\Gachi Rangers has been really good lately, huh?\That new superhero show?\I've only caught bits and pieces of it,\but the black ranger's actor is pretty cool.\Yeah, yeah!\Umm... response:	Oh please, you watch Gachi Rangers?
context: How sad.\Gachi Rangers has been really good lately, huh?\That new superhero show?\I've only caught bits and pieces of it,\but the black ranger's actor is pretty cool.\Yeah, yeah!\Umm...\Oh please, you watch Gachi Rangers? response:	That's for kindergarteners.
context: Gachi Rangers has been really good lately, huh?\That new superhero show?\I've only caught bits and pieces of it,\but the black ranger's actor is pretty cool.\Yeah, yeah!\Umm...\Oh please, you watch Gachi Rangers?\That's for kindergarteners. response:	I just saw a glimpse of it while my little brother was watching!
context: That new superhero show?\I've only caught bits and pieces of it,\but the black ranger's actor is pretty cool.\Yeah, yeah!\Umm...\Oh please, you watch Gachi Rangers?\That's for kindergarteners.\I just saw a glimpse of it while my little brother was watching! response:	'Scuse me...
context: I've only caught bits and pieces of it,\but the black ranger's actor is pretty cool.\Yeah, yeah!\Umm...\Oh please, you watch Gachi Rangers?\That's for kindergarteners.\I just saw a glimpse of it while my little brother was watching!\'Scuse me... response:	I saw it...too...
context: but the black ranger's actor is pretty cool.\Yeah, yeah!\Umm...\Oh please, you watch Gachi Rangers?\That's for kindergarteners.\I just saw a glimpse of it while my little brother was watching!\'Scuse me...\I saw it...too... response:	Saw what?
context: Yeah, yeah!\Umm...\Oh please, you watch Gachi Rangers?\That's for kindergarteners.\I just saw a glimpse of it while my little brother was watching!\'Scuse me...\I saw it...too...\Saw what? response:	A ghost? A ghoul? Or maybe a poltergeist?!
context: Umm...\Oh please, you watch Gachi Rangers?\That's for kindergarteners.\I just saw a glimpse of it while my little brother was watching!\'Scuse me...\I saw it...too...\Saw what?\A ghost? A ghoul? Or maybe a poltergeist?! response:	N-No...
context: Oh please, you watch Gachi Rangers?\That's for kindergarteners.\I just saw a glimpse of it while my little brother was watching!\'Scuse me...\I saw it...too...\Saw what?\A ghost? A ghoul? Or maybe a poltergeist?!\N-No... response:	Let's go.
context: That's for kindergarteners.\I just saw a glimpse of it while my little brother was watching!\'Scuse me...\I saw it...too...\Saw what?\A ghost? A ghoul? Or maybe a poltergeist?!\N-No...\Let's go. response:	W-Wai-
context: I just saw a glimpse of it while my little brother was watching!\'Scuse me...\I saw it...too...\Saw what?\A ghost? A ghoul? Or maybe a poltergeist?!\N-No...\Let's go.\W-Wai- response:	What did you see, Youngest-san?!
context: 'Scuse me...\I saw it...too...\Saw what?\A ghost? A ghoul? Or maybe a poltergeist?!\N-No...\Let's go.\W-Wai-\What did you see, Youngest-san?! response:	A ghost, in the science lab.
context: I saw it...too...\Saw what?\A ghost? A ghoul? Or maybe a poltergeist?!\N-No...\Let's go.\W-Wai-\What did you see, Youngest-san?!\A ghost, in the science lab. response:	What?!
context: Saw what?\A ghost? A ghoul? Or maybe a poltergeist?!\N-No...\Let's go.\W-Wai-\What did you see, Youngest-san?!\A ghost, in the science lab.\What?! response:	I want to tell everyone about the Gachi Rangers...
context: A ghost? A ghoul? Or maybe a poltergeist?!\N-No...\Let's go.\W-Wai-\What did you see, Youngest-san?!\A ghost, in the science lab.\What?!\I want to tell everyone about the Gachi Rangers... response:	Morning, Hitoha-chan.
context: N-No...\Let's go.\W-Wai-\What did you see, Youngest-san?!\A ghost, in the science lab.\What?!\I want to tell everyone about the Gachi Rangers...\Morning, Hitoha-chan. response:	Good morning.
context: Let's go.\W-Wai-\What did you see, Youngest-san?!\A ghost, in the science lab.\What?!\I want to tell everyone about the Gachi Rangers...\Morning, Hitoha-chan.\Good morning. response:	Who's texting me...
context: W-Wai-\What did you see, Youngest-san?!\A ghost, in the science lab.\What?!\I want to tell everyone about the Gachi Rangers...\Morning, Hitoha-chan.\Good morning.\Who's texting me... response:	That ringtone...
context: What did you see, Youngest-san?!\A ghost, in the science lab.\What?!\I want to tell everyone about the Gachi Rangers...\Morning, Hitoha-chan.\Good morning.\Who's texting me...\That ringtone... response:	Hmm?
context: A ghost, in the science lab.\What?!\I want to tell everyone about the Gachi Rangers...\Morning, Hitoha-chan.\Good morning.\Who's texting me...\That ringtone...\Hmm? response:	You know the opening to Gachi Rangers?
context: What?!\I want to tell everyone about the Gachi Rangers...\Morning, Hitoha-chan.\Good morning.\Who's texting me...\That ringtone...\Hmm?\You know the opening to Gachi Rangers? response:	Not really...
context: I want to tell everyone about the Gachi Rangers...\Morning, Hitoha-chan.\Good morning.\Who's texting me...\That ringtone...\Hmm?\You know the opening to Gachi Rangers?\Not really... response:	I'm actually really into'em.
context: Morning, Hitoha-chan.\Good morning.\Who's texting me...\That ringtone...\Hmm?\You know the opening to Gachi Rangers?\Not really...\I'm actually really into'em. response:	I try not to broadcast that, though.
context: Good morning.\Who's texting me...\That ringtone...\Hmm?\You know the opening to Gachi Rangers?\Not really...\I'm actually really into'em.\I try not to broadcast that, though. response:	Umm...did you see yesterday...
context: Who's texting me...\That ringtone...\Hmm?\You know the opening to Gachi Rangers?\Not really...\I'm actually really into'em.\I try not to broadcast that, though.\Umm...did you see yesterday... response:	Did you see them?
context: That ringtone...\Hmm?\You know the opening to Gachi Rangers?\Not really...\I'm actually really into'em.\I try not to broadcast that, though.\Umm...did you see yesterday...\Did you see them? response:	I didn't see anything!
context: Hmm?\You know the opening to Gachi Rangers?\Not really...\I'm actually really into'em.\I try not to broadcast that, though.\Umm...did you see yesterday...\Did you see them?\I didn't see anything! response:	Oh...you didn't see them?
context: You know the opening to Gachi Rangers?\Not really...\I'm actually really into'em.\I try not to broadcast that, though.\Umm...did you see yesterday...\Did you see them?\I didn't see anything!\Oh...you didn't see them? response:	Gachi...Suplex!
context: Not really...\I'm actually really into'em.\I try not to broadcast that, though.\Umm...did you see yesterday...\Did you see them?\I didn't see anything!\Oh...you didn't see them?\Gachi...Suplex! response:	Would you be happy if I had?
context: I'm actually really into'em.\I try not to broadcast that, though.\Umm...did you see yesterday...\Did you see them?\I didn't see anything!\Oh...you didn't see them?\Gachi...Suplex!\Would you be happy if I had? response:	They're something else.
context: I try not to broadcast that, though.\Umm...did you see yesterday...\Did you see them?\I didn't see anything!\Oh...you didn't see them?\Gachi...Suplex!\Would you be happy if I had?\They're something else. response:	Really...
context: Umm...did you see yesterday...\Did you see them?\I didn't see anything!\Oh...you didn't see them?\Gachi...Suplex!\Would you be happy if I had?\They're something else.\Really... response:	What amazing self-confidence.
context: Did you see them?\I didn't see anything!\Oh...you didn't see them?\Gachi...Suplex!\Would you be happy if I had?\They're something else.\Really...\What amazing self-confidence. response:	But I never expected Hitoha-chan to watch Gachi Rangers.
context: I didn't see anything!\Oh...you didn't see them?\Gachi...Suplex!\Would you be happy if I had?\They're something else.\Really...\What amazing self-confidence.\But I never expected Hitoha-chan to watch Gachi Rangers. response:	I wonder if she saw yesterday's episode?
context: Oh...you didn't see them?\Gachi...Suplex!\Would you be happy if I had?\They're something else.\Really...\What amazing self-confidence.\But I never expected Hitoha-chan to watch Gachi Rangers.\I wonder if she saw yesterday's episode? response:	You...You watched, didn't you.
context: Gachi...Suplex!\Would you be happy if I had?\They're something else.\Really...\What amazing self-confidence.\But I never expected Hitoha-chan to watch Gachi Rangers.\I wonder if she saw yesterday's episode?\You...You watched, didn't you. response:	I sure did!
context: Would you be happy if I had?\They're something else.\Really...\What amazing self-confidence.\But I never expected Hitoha-chan to watch Gachi Rangers.\I wonder if she saw yesterday's episode?\You...You watched, didn't you.\I sure did! response:	That last blast was awesome, I was pumped!
context: They're something else.\Really...\What amazing self-confidence.\But I never expected Hitoha-chan to watch Gachi Rangers.\I wonder if she saw yesterday's episode?\You...You watched, didn't you.\I sure did!\That last blast was awesome, I was pumped! response:	Gachi Knuckle!
context: Really...\What amazing self-confidence.\But I never expected Hitoha-chan to watch Gachi Rangers.\I wonder if she saw yesterday's episode?\You...You watched, didn't you.\I sure did!\That last blast was awesome, I was pumped!\Gachi Knuckle! response:	B-Blast?!
context: What amazing self-confidence.\But I never expected Hitoha-chan to watch Gachi Rangers.\I wonder if she saw yesterday's episode?\You...You watched, didn't you.\I sure did!\That last blast was awesome, I was pumped!\Gachi Knuckle!\B-Blast?! response:	Blue's my favorite, though!
context: But I never expected Hitoha-chan to watch Gachi Rangers.\I wonder if she saw yesterday's episode?\You...You watched, didn't you.\I sure did!\That last blast was awesome, I was pumped!\Gachi Knuckle!\B-Blast?!\Blue's my favorite, though! response:	S-Sensei...
context: I wonder if she saw yesterday's episode?\You...You watched, didn't you.\I sure did!\That last blast was awesome, I was pumped!\Gachi Knuckle!\B-Blast?!\Blue's my favorite, though!\S-Sensei... response:	Huh? Wh-What?
context: You...You watched, didn't you.\I sure did!\That last blast was awesome, I was pumped!\Gachi Knuckle!\B-Blast?!\Blue's my favorite, though!\S-Sensei...\Huh? Wh-What? response:	She's acting very distant all of a sudden...
context: I sure did!\That last blast was awesome, I was pumped!\Gachi Knuckle!\B-Blast?!\Blue's my favorite, though!\S-Sensei...\Huh? Wh-What?\She's acting very distant all of a sudden... response:	Wait, she never actually said if she LIKED the show or not,
context: That last blast was awesome, I was pumped!\Gachi Knuckle!\B-Blast?!\Blue's my favorite, though!\S-Sensei...\Huh? Wh-What?\She's acting very distant all of a sudden...\Wait, she never actually said if she LIKED the show or not, response:	but I just started rambling like a total spaz!
context: Gachi Knuckle!\B-Blast?!\Blue's my favorite, though!\S-Sensei...\Huh? Wh-What?\She's acting very distant all of a sudden...\Wait, she never actually said if she LIKED the show or not,\but I just started rambling like a total spaz! response:	Well, I know it's a kiddie thing but plenty of adults are into it too.
context: B-Blast?!\Blue's my favorite, though!\S-Sensei...\Huh? Wh-What?\She's acting very distant all of a sudden...\Wait, she never actually said if she LIKED the show or not,\but I just started rambling like a total spaz!\Well, I know it's a kiddie thing but plenty of adults are into it too. response:	It's like...a hobby, or something.
context: Blue's my favorite, though!\S-Sensei...\Huh? Wh-What?\She's acting very distant all of a sudden...\Wait, she never actually said if she LIKED the show or not,\but I just started rambling like a total spaz!\Well, I know it's a kiddie thing but plenty of adults are into it too.\It's like...a hobby, or something. response:	H-Hobby?!
context: S-Sensei...\Huh? Wh-What?\She's acting very distant all of a sudden...\Wait, she never actually said if she LIKED the show or not,\but I just started rambling like a total spaz!\Well, I know it's a kiddie thing but plenty of adults are into it too.\It's like...a hobby, or something.\H-Hobby?! response:	If you stick with it you'll understand how great it can be, Hitoha-chan!
context: Huh? Wh-What?\She's acting very distant all of a sudden...\Wait, she never actually said if she LIKED the show or not,\but I just started rambling like a total spaz!\Well, I know it's a kiddie thing but plenty of adults are into it too.\It's like...a hobby, or something.\H-Hobby?!\If you stick with it you'll understand how great it can be, Hitoha-chan! response:	Don't touch me!
context: She's acting very distant all of a sudden...\Wait, she never actually said if she LIKED the show or not,\but I just started rambling like a total spaz!\Well, I know it's a kiddie thing but plenty of adults are into it too.\It's like...a hobby, or something.\H-Hobby?!\If you stick with it you'll understand how great it can be, Hitoha-chan!\Don't touch me! response:	Hey, don't look at me like I'm some kind of freak!
context: Wait, she never actually said if she LIKED the show or not,\but I just started rambling like a total spaz!\Well, I know it's a kiddie thing but plenty of adults are into it too.\It's like...a hobby, or something.\H-Hobby?!\If you stick with it you'll understand how great it can be, Hitoha-chan!\Don't touch me!\Hey, don't look at me like I'm some kind of freak! response:	Or are you one of those all otaku are sick types?
context: but I just started rambling like a total spaz!\Well, I know it's a kiddie thing but plenty of adults are into it too.\It's like...a hobby, or something.\H-Hobby?!\If you stick with it you'll understand how great it can be, Hitoha-chan!\Don't touch me!\Hey, don't look at me like I'm some kind of freak!\Or are you one of those all otaku are sick types? response:	You're not an otaku, you're a pervert!
context: Well, I know it's a kiddie thing but plenty of adults are into it too.\It's like...a hobby, or something.\H-Hobby?!\If you stick with it you'll understand how great it can be, Hitoha-chan!\Don't touch me!\Hey, don't look at me like I'm some kind of freak!\Or are you one of those all otaku are sick types?\You're not an otaku, you're a pervert! response:	I'm a pervert because I like superhero ranger shows?!
context: It's like...a hobby, or something.\H-Hobby?!\If you stick with it you'll understand how great it can be, Hitoha-chan!\Don't touch me!\Hey, don't look at me like I'm some kind of freak!\Or are you one of those all otaku are sick types?\You're not an otaku, you're a pervert!\I'm a pervert because I like superhero ranger shows?! response:	I see! Well, you can't help what you love!
context: H-Hobby?!\If you stick with it you'll understand how great it can be, Hitoha-chan!\Don't touch me!\Hey, don't look at me like I'm some kind of freak!\Or are you one of those all otaku are sick types?\You're not an otaku, you're a pervert!\I'm a pervert because I like superhero ranger shows?!\I see! Well, you can't help what you love! response:	I feel this hot, burning passion every time I see them.
context: If you stick with it you'll understand how great it can be, Hitoha-chan!\Don't touch me!\Hey, don't look at me like I'm some kind of freak!\Or are you one of those all otaku are sick types?\You're not an otaku, you're a pervert!\I'm a pervert because I like superhero ranger shows?!\I see! Well, you can't help what you love!\I feel this hot, burning passion every time I see them. response:	It's romantic and manly at the same time!
context: Don't touch me!\Hey, don't look at me like I'm some kind of freak!\Or are you one of those all otaku are sick types?\You're not an otaku, you're a pervert!\I'm a pervert because I like superhero ranger shows?!\I see! Well, you can't help what you love!\I feel this hot, burning passion every time I see them.\It's romantic and manly at the same time! response:	You should be executed, Sensei!
context: Hey, don't look at me like I'm some kind of freak!\Or are you one of those all otaku are sick types?\You're not an otaku, you're a pervert!\I'm a pervert because I like superhero ranger shows?!\I see! Well, you can't help what you love!\I feel this hot, burning passion every time I see them.\It's romantic and manly at the same time!\You should be executed, Sensei! response:	How...could you...
context: Or are you one of those all otaku are sick types?\You're not an otaku, you're a pervert!\I'm a pervert because I like superhero ranger shows?!\I see! Well, you can't help what you love!\I feel this hot, burning passion every time I see them.\It's romantic and manly at the same time!\You should be executed, Sensei!\How...could you... response:	The Gachi Rangers...ARE wonderful...
context: You're not an otaku, you're a pervert!\I'm a pervert because I like superhero ranger shows?!\I see! Well, you can't help what you love!\I feel this hot, burning passion every time I see them.\It's romantic and manly at the same time!\You should be executed, Sensei!\How...could you...\The Gachi Rangers...ARE wonderful... response:	G-Gachi Rangers?
context: I'm a pervert because I like superhero ranger shows?!\I see! Well, you can't help what you love!\I feel this hot, burning passion every time I see them.\It's romantic and manly at the same time!\You should be executed, Sensei!\How...could you...\The Gachi Rangers...ARE wonderful...\G-Gachi Rangers? response:	Why's Sensei on his knees?
context: I see! Well, you can't help what you love!\I feel this hot, burning passion every time I see them.\It's romantic and manly at the same time!\You should be executed, Sensei!\How...could you...\The Gachi Rangers...ARE wonderful...\G-Gachi Rangers?\Why's Sensei on his knees? response:	He's crying...
context: I feel this hot, burning passion every time I see them.\It's romantic and manly at the same time!\You should be executed, Sensei!\How...could you...\The Gachi Rangers...ARE wonderful...\G-Gachi Rangers?\Why's Sensei on his knees?\He's crying... response:	We will end all hatred and anger!
context: It's romantic and manly at the same time!\You should be executed, Sensei!\How...could you...\The Gachi Rangers...ARE wonderful...\G-Gachi Rangers?\Why's Sensei on his knees?\He's crying...\We will end all hatred and anger! response:	It's...It's...
context: You should be executed, Sensei!\How...could you...\The Gachi Rangers...ARE wonderful...\G-Gachi Rangers?\Why's Sensei on his knees?\He's crying...\We will end all hatred and anger!\It's...It's... response:	It's a show for perverts!
context: How...could you...\The Gachi Rangers...ARE wonderful...\G-Gachi Rangers?\Why's Sensei on his knees?\He's crying...\We will end all hatred and anger!\It's...It's...\It's a show for perverts! response:	He's dead!
context: The Gachi Rangers...ARE wonderful...\G-Gachi Rangers?\Why's Sensei on his knees?\He's crying...\We will end all hatred and anger!\It's...It's...\It's a show for perverts!\He's dead! response:	I really DO love the Gachi Rangers...
context: G-Gachi Rangers?\Why's Sensei on his knees?\He's crying...\We will end all hatred and anger!\It's...It's...\It's a show for perverts!\He's dead!\I really DO love the Gachi Rangers... response:	My Gachi Rangers!
context: Why's Sensei on his knees?\He's crying...\We will end all hatred and anger!\It's...It's...\It's a show for perverts!\He's dead!\I really DO love the Gachi Rangers...\My Gachi Rangers! response:	Mitsudomoe...
context: He's crying...\We will end all hatred and anger!\It's...It's...\It's a show for perverts!\He's dead!\I really DO love the Gachi Rangers...\My Gachi Rangers!\Mitsudomoe... response:	Whoa, who's this hunk?
context: We will end all hatred and anger!\It's...It's...\It's a show for perverts!\He's dead!\I really DO love the Gachi Rangers...\My Gachi Rangers!\Mitsudomoe...\Whoa, who's this hunk? response:	That's me back in high school.
context: It's...It's...\It's a show for perverts!\He's dead!\I really DO love the Gachi Rangers...\My Gachi Rangers!\Mitsudomoe...\Whoa, who's this hunk?\That's me back in high school. response:	N-Now that I look closer he's fugly!
context: It's a show for perverts!\He's dead!\I really DO love the Gachi Rangers...\My Gachi Rangers!\Mitsudomoe...\Whoa, who's this hunk?\That's me back in high school.\N-Now that I look closer he's fugly! response:	Who's this, daddy?
context: He's dead!\I really DO love the Gachi Rangers...\My Gachi Rangers!\Mitsudomoe...\Whoa, who's this hunk?\That's me back in high school.\N-Now that I look closer he's fugly!\Who's this, daddy? response:	Oh, that's me when I was in sixth grade, I think?
context: I really DO love the Gachi Rangers...\My Gachi Rangers!\Mitsudomoe...\Whoa, who's this hunk?\That's me back in high school.\N-Now that I look closer he's fugly!\Who's this, daddy?\Oh, that's me when I was in sixth grade, I think? response:	I guess I forgot to put it in a sleeve.
context: My Gachi Rangers!\Mitsudomoe...\Whoa, who's this hunk?\That's me back in high school.\N-Now that I look closer he's fugly!\Who's this, daddy?\Oh, that's me when I was in sixth grade, I think?\I guess I forgot to put it in a sleeve. response:	Can I keep this one?
context: Mitsudomoe...\Whoa, who's this hunk?\That's me back in high school.\N-Now that I look closer he's fugly!\Who's this, daddy?\Oh, that's me when I was in sixth grade, I think?\I guess I forgot to put it in a sleeve.\Can I keep this one? response:	Sure, just take good care of it.
context: Whoa, who's this hunk?\That's me back in high school.\N-Now that I look closer he's fugly!\Who's this, daddy?\Oh, that's me when I was in sixth grade, I think?\I guess I forgot to put it in a sleeve.\Can I keep this one?\Sure, just take good care of it. response:	Now you'll always be with me, daddy!
context: That's me back in high school.\N-Now that I look closer he's fugly!\Who's this, daddy?\Oh, that's me when I was in sixth grade, I think?\I guess I forgot to put it in a sleeve.\Can I keep this one?\Sure, just take good care of it.\Now you'll always be with me, daddy! response:	Keep it in your backpack, please.
context: N-Now that I look closer he's fugly!\Who's this, daddy?\Oh, that's me when I was in sixth grade, I think?\I guess I forgot to put it in a sleeve.\Can I keep this one?\Sure, just take good care of it.\Now you'll always be with me, daddy!\Keep it in your backpack, please. response:	I'm telling you, shape's more important than size.
context: Who's this, daddy?\Oh, that's me when I was in sixth grade, I think?\I guess I forgot to put it in a sleeve.\Can I keep this one?\Sure, just take good care of it.\Now you'll always be with me, daddy!\Keep it in your backpack, please.\I'm telling you, shape's more important than size. response:	Whatever.
context: Oh, that's me when I was in sixth grade, I think?\I guess I forgot to put it in a sleeve.\Can I keep this one?\Sure, just take good care of it.\Now you'll always be with me, daddy!\Keep it in your backpack, please.\I'm telling you, shape's more important than size.\Whatever. response:	Man, I dig it when they do the cotton wrap thing.
context: I guess I forgot to put it in a sleeve.\Can I keep this one?\Sure, just take good care of it.\Now you'll always be with me, daddy!\Keep it in your backpack, please.\I'm telling you, shape's more important than size.\Whatever.\Man, I dig it when they do the cotton wrap thing. response:	Ogata Airi Leader
context: Can I keep this one?\Sure, just take good care of it.\Now you'll always be with me, daddy!\Keep it in your backpack, please.\I'm telling you, shape's more important than size.\Whatever.\Man, I dig it when they do the cotton wrap thing.\Ogata Airi Leader response:	Hopelessly in love with Satou
context: Sure, just take good care of it.\Now you'll always be with me, daddy!\Keep it in your backpack, please.\I'm telling you, shape's more important than size.\Whatever.\Man, I dig it when they do the cotton wrap thing.\Ogata Airi Leader\Hopelessly in love with Satou response:	Itou Shiori
context: Now you'll always be with me, daddy!\Keep it in your backpack, please.\I'm telling you, shape's more important than size.\Whatever.\Man, I dig it when they do the cotton wrap thing.\Ogata Airi Leader\Hopelessly in love with Satou\Itou Shiori response:	Katou Mayumi
context: Keep it in your backpack, please.\I'm telling you, shape's more important than size.\Whatever.\Man, I dig it when they do the cotton wrap thing.\Ogata Airi Leader\Hopelessly in love with Satou\Itou Shiori\Katou Mayumi response:	I win!
context: I'm telling you, shape's more important than size.\Whatever.\Man, I dig it when they do the cotton wrap thing.\Ogata Airi Leader\Hopelessly in love with Satou\Itou Shiori\Katou Mayumi\I win! response:	We lost again...
context: Whatever.\Man, I dig it when they do the cotton wrap thing.\Ogata Airi Leader\Hopelessly in love with Satou\Itou Shiori\Katou Mayumi\I win!\We lost again... response:	We sucked in a ton of Satou-kun's air.
context: Man, I dig it when they do the cotton wrap thing.\Ogata Airi Leader\Hopelessly in love with Satou\Itou Shiori\Katou Mayumi\I win!\We lost again...\We sucked in a ton of Satou-kun's air. response:	Now we'll be able to make it through the day.
context: Ogata Airi Leader\Hopelessly in love with Satou\Itou Shiori\Katou Mayumi\I win!\We lost again...\We sucked in a ton of Satou-kun's air.\Now we'll be able to make it through the day. response:	What's this?
context: Hopelessly in love with Satou\Itou Shiori\Katou Mayumi\I win!\We lost again...\We sucked in a ton of Satou-kun's air.\Now we'll be able to make it through the day.\What's this? response:	What is it?
context: Itou Shiori\Katou Mayumi\I win!\We lost again...\We sucked in a ton of Satou-kun's air.\Now we'll be able to make it through the day.\What's this?\What is it? response:	Holy cow!
