context: Eriol, dinner is almost ready. response:	Ok.
context: I'm sorry I missed it.\I made you a new costume too!\Promise you'll wear it next time, pretty please!\I'm not really sure whether there will be a next time'\That's okay!\You'll manage.\That's right, soon all of the cards\will be Sakura Cards. response:	It looks like you've become as strong as Clow himself.
context: I made you a new costume too!\Promise you'll wear it next time, pretty please!\I'm not really sure whether there will be a next time'\That's okay!\You'll manage.\That's right, soon all of the cards\will be Sakura Cards.\It looks like you've become as strong as Clow himself. response:	No way'
context: Promise you'll wear it next time, pretty please!\I'm not really sure whether there will be a next time'\That's okay!\You'll manage.\That's right, soon all of the cards\will be Sakura Cards.\It looks like you've become as strong as Clow himself.\No way' response:	Don't you think so kid?
context: I'm not really sure whether there will be a next time'\That's okay!\You'll manage.\That's right, soon all of the cards\will be Sakura Cards.\It looks like you've become as strong as Clow himself.\No way'\Don't you think so kid? response:	Y' Yeah'
context: That's okay!\You'll manage.\That's right, soon all of the cards\will be Sakura Cards.\It looks like you've become as strong as Clow himself.\No way'\Don't you think so kid?\Y' Yeah' response:	No' not yet' Clow is still much stronger.
context: You'll manage.\That's right, soon all of the cards\will be Sakura Cards.\It looks like you've become as strong as Clow himself.\No way'\Don't you think so kid?\Y' Yeah'\No' not yet' Clow is still much stronger. response:	Why do you always have to be so depressing?
context: That's right, soon all of the cards\will be Sakura Cards.\It looks like you've become as strong as Clow himself.\No way'\Don't you think so kid?\Y' Yeah'\No' not yet' Clow is still much stronger.\Why do you always have to be so depressing? response:	I'm just saying what's true.
context: will be Sakura Cards.\It looks like you've become as strong as Clow himself.\No way'\Don't you think so kid?\Y' Yeah'\No' not yet' Clow is still much stronger.\Why do you always have to be so depressing?\I'm just saying what's true. response:	Clow-san'
context: It looks like you've become as strong as Clow himself.\No way'\Don't you think so kid?\Y' Yeah'\No' not yet' Clow is still much stronger.\Why do you always have to be so depressing?\I'm just saying what's true.\Clow-san' response:	What's wrong? Can't sleep?
context: No way'\Don't you think so kid?\Y' Yeah'\No' not yet' Clow is still much stronger.\Why do you always have to be so depressing?\I'm just saying what's true.\Clow-san'\What's wrong? Can't sleep? response:	Yeah. Say, Kero-chan' what was Clow-san like?
context: Don't you think so kid?\Y' Yeah'\No' not yet' Clow is still much stronger.\Why do you always have to be so depressing?\I'm just saying what's true.\Clow-san'\What's wrong? Can't sleep?\Yeah. Say, Kero-chan' what was Clow-san like? response:	Why this all of a sudden?
context: Y' Yeah'\No' not yet' Clow is still much stronger.\Why do you always have to be so depressing?\I'm just saying what's true.\Clow-san'\What's wrong? Can't sleep?\Yeah. Say, Kero-chan' what was Clow-san like?\Why this all of a sudden? response:	I been thinking'
context: No' not yet' Clow is still much stronger.\Why do you always have to be so depressing?\I'm just saying what's true.\Clow-san'\What's wrong? Can't sleep?\Yeah. Say, Kero-chan' what was Clow-san like?\Why this all of a sudden?\I been thinking' response:	Earlier you said it's good that
context: Why do you always have to be so depressing?\I'm just saying what's true.\Clow-san'\What's wrong? Can't sleep?\Yeah. Say, Kero-chan' what was Clow-san like?\Why this all of a sudden?\I been thinking'\Earlier you said it's good that response:	my magic is growing so quickly'
context: I'm just saying what's true.\Clow-san'\What's wrong? Can't sleep?\Yeah. Say, Kero-chan' what was Clow-san like?\Why this all of a sudden?\I been thinking'\Earlier you said it's good that\my magic is growing so quickly' response:	But Yue keeps saying'Not yet'
context: Clow-san'\What's wrong? Can't sleep?\Yeah. Say, Kero-chan' what was Clow-san like?\Why this all of a sudden?\I been thinking'\Earlier you said it's good that\my magic is growing so quickly'\But Yue keeps saying'Not yet' response:	and'
context: What's wrong? Can't sleep?\Yeah. Say, Kero-chan' what was Clow-san like?\Why this all of a sudden?\I been thinking'\Earlier you said it's good that\my magic is growing so quickly'\But Yue keeps saying'Not yet'\and' response:	Well, Yue still misses Clow a lot.
context: Yeah. Say, Kero-chan' what was Clow-san like?\Why this all of a sudden?\I been thinking'\Earlier you said it's good that\my magic is growing so quickly'\But Yue keeps saying'Not yet'\and'\Well, Yue still misses Clow a lot. response:	Don't you remember him?
context: Why this all of a sudden?\I been thinking'\Earlier you said it's good that\my magic is growing so quickly'\But Yue keeps saying'Not yet'\and'\Well, Yue still misses Clow a lot.\Don't you remember him? response:	I've forgotten a lot over the years'
context: I been thinking'\Earlier you said it's good that\my magic is growing so quickly'\But Yue keeps saying'Not yet'\and'\Well, Yue still misses Clow a lot.\Don't you remember him?\I've forgotten a lot over the years' response:	Is that so'
context: Earlier you said it's good that\my magic is growing so quickly'\But Yue keeps saying'Not yet'\and'\Well, Yue still misses Clow a lot.\Don't you remember him?\I've forgotten a lot over the years'\Is that so' response:	You know, it was a very long time ago.
context: my magic is growing so quickly'\But Yue keeps saying'Not yet'\and'\Well, Yue still misses Clow a lot.\Don't you remember him?\I've forgotten a lot over the years'\Is that so'\You know, it was a very long time ago. response:	You're our mistress now.
context: But Yue keeps saying'Not yet'\and'\Well, Yue still misses Clow a lot.\Don't you remember him?\I've forgotten a lot over the years'\Is that so'\You know, it was a very long time ago.\You're our mistress now. response:	But I'm not as strong as him yet!
context: and'\Well, Yue still misses Clow a lot.\Don't you remember him?\I've forgotten a lot over the years'\Is that so'\You know, it was a very long time ago.\You're our mistress now.\But I'm not as strong as him yet! response:	I'll do my best when strange things happen'
context: Well, Yue still misses Clow a lot.\Don't you remember him?\I've forgotten a lot over the years'\Is that so'\You know, it was a very long time ago.\You're our mistress now.\But I'm not as strong as him yet!\I'll do my best when strange things happen' response:	But if Clow-san was here, I'm sure he could do better.
context: Don't you remember him?\I've forgotten a lot over the years'\Is that so'\You know, it was a very long time ago.\You're our mistress now.\But I'm not as strong as him yet!\I'll do my best when strange things happen'\But if Clow-san was here, I'm sure he could do better. response:	I wonder if it's really so good that I'm your mistress'
context: I've forgotten a lot over the years'\Is that so'\You know, it was a very long time ago.\You're our mistress now.\But I'm not as strong as him yet!\I'll do my best when strange things happen'\But if Clow-san was here, I'm sure he could do better.\I wonder if it's really so good that I'm your mistress' response:	What are you saying?
context: Is that so'\You know, it was a very long time ago.\You're our mistress now.\But I'm not as strong as him yet!\I'll do my best when strange things happen'\But if Clow-san was here, I'm sure he could do better.\I wonder if it's really so good that I'm your mistress'\What are you saying? response:	Of course it's good!
context: You know, it was a very long time ago.\You're our mistress now.\But I'm not as strong as him yet!\I'll do my best when strange things happen'\But if Clow-san was here, I'm sure he could do better.\I wonder if it's really so good that I'm your mistress'\What are you saying?\Of course it's good! response:	But'
context: You're our mistress now.\But I'm not as strong as him yet!\I'll do my best when strange things happen'\But if Clow-san was here, I'm sure he could do better.\I wonder if it's really so good that I'm your mistress'\What are you saying?\Of course it's good!\But' response:	Clow was Clow and you are you.
context: But I'm not as strong as him yet!\I'll do my best when strange things happen'\But if Clow-san was here, I'm sure he could do better.\I wonder if it's really so good that I'm your mistress'\What are you saying?\Of course it's good!\But'\Clow was Clow and you are you. response:	There's no point in comparing the two of you.
context: I'll do my best when strange things happen'\But if Clow-san was here, I'm sure he could do better.\I wonder if it's really so good that I'm your mistress'\What are you saying?\Of course it's good!\But'\Clow was Clow and you are you.\There's no point in comparing the two of you. response:	Now stop worrying about it and get some sleep.
context: But if Clow-san was here, I'm sure he could do better.\I wonder if it's really so good that I'm your mistress'\What are you saying?\Of course it's good!\But'\Clow was Clow and you are you.\There's no point in comparing the two of you.\Now stop worrying about it and get some sleep. response:	Today reminds me
context: I wonder if it's really so good that I'm your mistress'\What are you saying?\Of course it's good!\But'\Clow was Clow and you are you.\There's no point in comparing the two of you.\Now stop worrying about it and get some sleep.\Today reminds me response:	a lot of that day'
context: What are you saying?\Of course it's good!\But'\Clow was Clow and you are you.\There's no point in comparing the two of you.\Now stop worrying about it and get some sleep.\Today reminds me\a lot of that day' response:	That day?
context: Of course it's good!\But'\Clow was Clow and you are you.\There's no point in comparing the two of you.\Now stop worrying about it and get some sleep.\Today reminds me\a lot of that day'\That day? response:	Oh! Did I say that out loud?
context: But'\Clow was Clow and you are you.\There's no point in comparing the two of you.\Now stop worrying about it and get some sleep.\Today reminds me\a lot of that day'\That day?\Oh! Did I say that out loud? response:	Since you reminded me of him,
context: Clow was Clow and you are you.\There's no point in comparing the two of you.\Now stop worrying about it and get some sleep.\Today reminds me\a lot of that day'\That day?\Oh! Did I say that out loud?\Since you reminded me of him, response:	I rememberd the day he died'
context: There's no point in comparing the two of you.\Now stop worrying about it and get some sleep.\Today reminds me\a lot of that day'\That day?\Oh! Did I say that out loud?\Since you reminded me of him,\I rememberd the day he died' response:	' The day Clow'' Yeah.
context: Now stop worrying about it and get some sleep.\Today reminds me\a lot of that day'\That day?\Oh! Did I say that out loud?\Since you reminded me of him,\I rememberd the day he died'\' The day Clow'' Yeah. response:	It was about this time of year' It was snowing just like today.
context: Today reminds me\a lot of that day'\That day?\Oh! Did I say that out loud?\Since you reminded me of him,\I rememberd the day he died'\' The day Clow'' Yeah.\It was about this time of year' It was snowing just like today. response:	He didn't seem very old
context: a lot of that day'\That day?\Oh! Did I say that out loud?\Since you reminded me of him,\I rememberd the day he died'\' The day Clow'' Yeah.\It was about this time of year' It was snowing just like today.\He didn't seem very old response:	He'd just come to the end of his life, or so he said.
context: That day?\Oh! Did I say that out loud?\Since you reminded me of him,\I rememberd the day he died'\' The day Clow'' Yeah.\It was about this time of year' It was snowing just like today.\He didn't seem very old\He'd just come to the end of his life, or so he said. response:	Up until the end'
context: Oh! Did I say that out loud?\Since you reminded me of him,\I rememberd the day he died'\' The day Clow'' Yeah.\It was about this time of year' It was snowing just like today.\He didn't seem very old\He'd just come to the end of his life, or so he said.\Up until the end' response:	We never saw him die.
context: Since you reminded me of him,\I rememberd the day he died'\' The day Clow'' Yeah.\It was about this time of year' It was snowing just like today.\He didn't seem very old\He'd just come to the end of his life, or so he said.\Up until the end'\We never saw him die. response:	What is it? You look so surprised.
context: I rememberd the day he died'\' The day Clow'' Yeah.\It was about this time of year' It was snowing just like today.\He didn't seem very old\He'd just come to the end of his life, or so he said.\Up until the end'\We never saw him die.\What is it? You look so surprised. response:	Could he still be alive? If he is'
context: ' The day Clow'' Yeah.\It was about this time of year' It was snowing just like today.\He didn't seem very old\He'd just come to the end of his life, or so he said.\Up until the end'\We never saw him die.\What is it? You look so surprised.\Could he still be alive? If he is' response:	Of course not' forget it, forget it.
context: It was about this time of year' It was snowing just like today.\He didn't seem very old\He'd just come to the end of his life, or so he said.\Up until the end'\We never saw him die.\What is it? You look so surprised.\Could he still be alive? If he is'\Of course not' forget it, forget it. response:	There's no way he would have left
context: He didn't seem very old\He'd just come to the end of his life, or so he said.\Up until the end'\We never saw him die.\What is it? You look so surprised.\Could he still be alive? If he is'\Of course not' forget it, forget it.\There's no way he would have left response:	Yue or me if he was.
context: He'd just come to the end of his life, or so he said.\Up until the end'\We never saw him die.\What is it? You look so surprised.\Could he still be alive? If he is'\Of course not' forget it, forget it.\There's no way he would have left\Yue or me if he was. response:	But why then do we always sense his aura
context: Up until the end'\We never saw him die.\What is it? You look so surprised.\Could he still be alive? If he is'\Of course not' forget it, forget it.\There's no way he would have left\Yue or me if he was.\But why then do we always sense his aura response:	when something strange happens?
context: We never saw him die.\What is it? You look so surprised.\Could he still be alive? If he is'\Of course not' forget it, forget it.\There's no way he would have left\Yue or me if he was.\But why then do we always sense his aura\when something strange happens? response:	Um' that's'
context: What is it? You look so surprised.\Could he still be alive? If he is'\Of course not' forget it, forget it.\There's no way he would have left\Yue or me if he was.\But why then do we always sense his aura\when something strange happens?\Um' that's' response:	could he have done something before he died?
context: Could he still be alive? If he is'\Of course not' forget it, forget it.\There's no way he would have left\Yue or me if he was.\But why then do we always sense his aura\when something strange happens?\Um' that's'\could he have done something before he died? response:	I should go and ask him!
context: Of course not' forget it, forget it.\There's no way he would have left\Yue or me if he was.\But why then do we always sense his aura\when something strange happens?\Um' that's'\could he have done something before he died?\I should go and ask him! response:	Ask who?
context: There's no way he would have left\Yue or me if he was.\But why then do we always sense his aura\when something strange happens?\Um' that's'\could he have done something before he died?\I should go and ask him!\Ask who? response:	Clow-san!
context: Yue or me if he was.\But why then do we always sense his aura\when something strange happens?\Um' that's'\could he have done something before he died?\I should go and ask him!\Ask who?\Clow-san! response:	Eh? You're going to use the Return card?
context: But why then do we always sense his aura\when something strange happens?\Um' that's'\could he have done something before he died?\I should go and ask him!\Ask who?\Clow-san!\Eh? You're going to use the Return card? response:	Yes, I'm going back to the past to talk with Clow.
context: when something strange happens?\Um' that's'\could he have done something before he died?\I should go and ask him!\Ask who?\Clow-san!\Eh? You're going to use the Return card?\Yes, I'm going back to the past to talk with Clow. response:	He might know something about what's going on.
context: Um' that's'\could he have done something before he died?\I should go and ask him!\Ask who?\Clow-san!\Eh? You're going to use the Return card?\Yes, I'm going back to the past to talk with Clow.\He might know something about what's going on. response:	But the Return card requires a lot of magic!
context: could he have done something before he died?\I should go and ask him!\Ask who?\Clow-san!\Eh? You're going to use the Return card?\Yes, I'm going back to the past to talk with Clow.\He might know something about what's going on.\But the Return card requires a lot of magic! response:	If something were to happen'
context: I should go and ask him!\Ask who?\Clow-san!\Eh? You're going to use the Return card?\Yes, I'm going back to the past to talk with Clow.\He might know something about what's going on.\But the Return card requires a lot of magic!\If something were to happen' response:	Kero-chan said it would be ok if we use the power of the cherry tree at the Tsukimine Shrine.
context: Ask who?\Clow-san!\Eh? You're going to use the Return card?\Yes, I'm going back to the past to talk with Clow.\He might know something about what's going on.\But the Return card requires a lot of magic!\If something were to happen'\Kero-chan said it would be ok if we use the power of the cherry tree at the Tsukimine Shrine. response:	Shao Lan: Still! You shouldn't risk it!
context: Clow-san!\Eh? You're going to use the Return card?\Yes, I'm going back to the past to talk with Clow.\He might know something about what's going on.\But the Return card requires a lot of magic!\If something were to happen'\Kero-chan said it would be ok if we use the power of the cherry tree at the Tsukimine Shrine.\Shao Lan: Still! You shouldn't risk it! response:	Thank you. For worrying about me.
context: Eh? You're going to use the Return card?\Yes, I'm going back to the past to talk with Clow.\He might know something about what's going on.\But the Return card requires a lot of magic!\If something were to happen'\Kero-chan said it would be ok if we use the power of the cherry tree at the Tsukimine Shrine.\Shao Lan: Still! You shouldn't risk it!\Thank you. For worrying about me. response:	You ready?
context: Yes, I'm going back to the past to talk with Clow.\He might know something about what's going on.\But the Return card requires a lot of magic!\If something were to happen'\Kero-chan said it would be ok if we use the power of the cherry tree at the Tsukimine Shrine.\Shao Lan: Still! You shouldn't risk it!\Thank you. For worrying about me.\You ready? response:	Return!
context: He might know something about what's going on.\But the Return card requires a lot of magic!\If something were to happen'\Kero-chan said it would be ok if we use the power of the cherry tree at the Tsukimine Shrine.\Shao Lan: Still! You shouldn't risk it!\Thank you. For worrying about me.\You ready?\Return! response:	I'm off ok?
context: But the Return card requires a lot of magic!\If something were to happen'\Kero-chan said it would be ok if we use the power of the cherry tree at the Tsukimine Shrine.\Shao Lan: Still! You shouldn't risk it!\Thank you. For worrying about me.\You ready?\Return!\I'm off ok? response:	Please be careful!
context: If something were to happen'\Kero-chan said it would be ok if we use the power of the cherry tree at the Tsukimine Shrine.\Shao Lan: Still! You shouldn't risk it!\Thank you. For worrying about me.\You ready?\Return!\I'm off ok?\Please be careful! response:	I'll surely come back. I promise. I promise on this spot that if I say a lie'
context: Kero-chan said it would be ok if we use the power of the cherry tree at the Tsukimine Shrine.\Shao Lan: Still! You shouldn't risk it!\Thank you. For worrying about me.\You ready?\Return!\I'm off ok?\Please be careful!\I'll surely come back. I promise. I promise on this spot that if I say a lie' response:	May a thousand needles prick me
context: Shao Lan: Still! You shouldn't risk it!\Thank you. For worrying about me.\You ready?\Return!\I'm off ok?\Please be careful!\I'll surely come back. I promise. I promise on this spot that if I say a lie'\May a thousand needles prick me response:	till I die.
context: Thank you. For worrying about me.\You ready?\Return!\I'm off ok?\Please be careful!\I'll surely come back. I promise. I promise on this spot that if I say a lie'\May a thousand needles prick me\till I die. response:	I'll see you later then.
context: You ready?\Return!\I'm off ok?\Please be careful!\I'll surely come back. I promise. I promise on this spot that if I say a lie'\May a thousand needles prick me\till I die.\I'll see you later then. response:	Okay.
context: Return!\I'm off ok?\Please be careful!\I'll surely come back. I promise. I promise on this spot that if I say a lie'\May a thousand needles prick me\till I die.\I'll see you later then.\Okay. response:	Please, take me to a time just before Clow died.
context: I'm off ok?\Please be careful!\I'll surely come back. I promise. I promise on this spot that if I say a lie'\May a thousand needles prick me\till I die.\I'll see you later then.\Okay.\Please, take me to a time just before Clow died. response:	Clow-san'
context: Please be careful!\I'll surely come back. I promise. I promise on this spot that if I say a lie'\May a thousand needles prick me\till I die.\I'll see you later then.\Okay.\Please, take me to a time just before Clow died.\Clow-san' response:	Where is this?
context: I'll surely come back. I promise. I promise on this spot that if I say a lie'\May a thousand needles prick me\till I die.\I'll see you later then.\Okay.\Please, take me to a time just before Clow died.\Clow-san'\Where is this? response:	Oh? Is that Kero-chan over there?
context: May a thousand needles prick me\till I die.\I'll see you later then.\Okay.\Please, take me to a time just before Clow died.\Clow-san'\Where is this?\Oh? Is that Kero-chan over there? response:	What is it, Kerberos?
context: till I die.\I'll see you later then.\Okay.\Please, take me to a time just before Clow died.\Clow-san'\Where is this?\Oh? Is that Kero-chan over there?\What is it, Kerberos? response:	Oh Yue'
context: I'll see you later then.\Okay.\Please, take me to a time just before Clow died.\Clow-san'\Where is this?\Oh? Is that Kero-chan over there?\What is it, Kerberos?\Oh Yue' response:	Even though it's spring,
context: Okay.\Please, take me to a time just before Clow died.\Clow-san'\Where is this?\Oh? Is that Kero-chan over there?\What is it, Kerberos?\Oh Yue'\Even though it's spring, response:	this cherry tree isn't blooming anymore'
context: Please, take me to a time just before Clow died.\Clow-san'\Where is this?\Oh? Is that Kero-chan over there?\What is it, Kerberos?\Oh Yue'\Even though it's spring,\this cherry tree isn't blooming anymore' response:	That's too bad. I guess it isn't time yet.
context: Clow-san'\Where is this?\Oh? Is that Kero-chan over there?\What is it, Kerberos?\Oh Yue'\Even though it's spring,\this cherry tree isn't blooming anymore'\That's too bad. I guess it isn't time yet. response:	When will it be then?
context: Where is this?\Oh? Is that Kero-chan over there?\What is it, Kerberos?\Oh Yue'\Even though it's spring,\this cherry tree isn't blooming anymore'\That's too bad. I guess it isn't time yet.\When will it be then? response:	At that time.
context: Oh? Is that Kero-chan over there?\What is it, Kerberos?\Oh Yue'\Even though it's spring,\this cherry tree isn't blooming anymore'\That's too bad. I guess it isn't time yet.\When will it be then?\At that time. response:	What's that supposed to mean?
context: What is it, Kerberos?\Oh Yue'\Even though it's spring,\this cherry tree isn't blooming anymore'\That's too bad. I guess it isn't time yet.\When will it be then?\At that time.\What's that supposed to mean? response:	I wonder if it's ok.
context: Oh Yue'\Even though it's spring,\this cherry tree isn't blooming anymore'\That's too bad. I guess it isn't time yet.\When will it be then?\At that time.\What's that supposed to mean?\I wonder if it's ok. response:	I wonder what Kero-chan and Yue-san are doing?
context: Even though it's spring,\this cherry tree isn't blooming anymore'\That's too bad. I guess it isn't time yet.\When will it be then?\At that time.\What's that supposed to mean?\I wonder if it's ok.\I wonder what Kero-chan and Yue-san are doing? response:	They're waiting.
context: this cherry tree isn't blooming anymore'\That's too bad. I guess it isn't time yet.\When will it be then?\At that time.\What's that supposed to mean?\I wonder if it's ok.\I wonder what Kero-chan and Yue-san are doing?\They're waiting. response:	Umm' Clow-san! I'm'
context: That's too bad. I guess it isn't time yet.\When will it be then?\At that time.\What's that supposed to mean?\I wonder if it's ok.\I wonder what Kero-chan and Yue-san are doing?\They're waiting.\Umm' Clow-san! I'm' response:	Please'
context: When will it be then?\At that time.\What's that supposed to mean?\I wonder if it's ok.\I wonder what Kero-chan and Yue-san are doing?\They're waiting.\Umm' Clow-san! I'm'\Please' response:	Is that better?
context: At that time.\What's that supposed to mean?\I wonder if it's ok.\I wonder what Kero-chan and Yue-san are doing?\They're waiting.\Umm' Clow-san! I'm'\Please'\Is that better? response:	Geez, of course it is.
context: What's that supposed to mean?\I wonder if it's ok.\I wonder what Kero-chan and Yue-san are doing?\They're waiting.\Umm' Clow-san! I'm'\Please'\Is that better?\Geez, of course it is. response:	Kero-chan and Yue-san look so happy.
context: I wonder if it's ok.\I wonder what Kero-chan and Yue-san are doing?\They're waiting.\Umm' Clow-san! I'm'\Please'\Is that better?\Geez, of course it is.\Kero-chan and Yue-san look so happy. response:	They both look very happy'
context: I wonder what Kero-chan and Yue-san are doing?\They're waiting.\Umm' Clow-san! I'm'\Please'\Is that better?\Geez, of course it is.\Kero-chan and Yue-san look so happy.\They both look very happy' response:	Did you sleep well?
