context: Ow. response:	Oh...
context: Argh!\And it's Miss Merry to you.\Maybe it's your method.\What?\I don't know.\I just wanted...\No, they're normal-sized!\So was he basically telling me to take his place, and be the leader for our party? response:	Haruhiro, you can do it.
context: And it's Miss Merry to you.\Maybe it's your method.\What?\I don't know.\I just wanted...\No, they're normal-sized!\So was he basically telling me to take his place, and be the leader for our party?\Haruhiro, you can do it. response:	Buy yourself a helmet, even if it's just a cheap one. I'll chip in.
context: Maybe it's your method.\What?\I don't know.\I just wanted...\No, they're normal-sized!\So was he basically telling me to take his place, and be the leader for our party?\Haruhiro, you can do it.\Buy yourself a helmet, even if it's just a cheap one. I'll chip in. response:	I'm pretty sure Merry was about to say, see you tomorrow.
context: What?\I don't know.\I just wanted...\No, they're normal-sized!\So was he basically telling me to take his place, and be the leader for our party?\Haruhiro, you can do it.\Buy yourself a helmet, even if it's just a cheap one. I'll chip in.\I'm pretty sure Merry was about to say, see you tomorrow. response:	If it's about Merry, Hayashi would be a better person to ask.
context: I don't know.\I just wanted...\No, they're normal-sized!\So was he basically telling me to take his place, and be the leader for our party?\Haruhiro, you can do it.\Buy yourself a helmet, even if it's just a cheap one. I'll chip in.\I'm pretty sure Merry was about to say, see you tomorrow.\If it's about Merry, Hayashi would be a better person to ask. response:	It had the spots of death, so people called this kobold Death Spots.
context: I just wanted...\No, they're normal-sized!\So was he basically telling me to take his place, and be the leader for our party?\Haruhiro, you can do it.\Buy yourself a helmet, even if it's just a cheap one. I'll chip in.\I'm pretty sure Merry was about to say, see you tomorrow.\If it's about Merry, Hayashi would be a better person to ask.\It had the spots of death, so people called this kobold Death Spots. response:	And I thought, this has never happened before, so why is it happening now?
context: No, they're normal-sized!\So was he basically telling me to take his place, and be the leader for our party?\Haruhiro, you can do it.\Buy yourself a helmet, even if it's just a cheap one. I'll chip in.\I'm pretty sure Merry was about to say, see you tomorrow.\If it's about Merry, Hayashi would be a better person to ask.\It had the spots of death, so people called this kobold Death Spots.\And I thought, this has never happened before, so why is it happening now? response:	I'm sorry.
context: So was he basically telling me to take his place, and be the leader for our party?\Haruhiro, you can do it.\Buy yourself a helmet, even if it's just a cheap one. I'll chip in.\I'm pretty sure Merry was about to say, see you tomorrow.\If it's about Merry, Hayashi would be a better person to ask.\It had the spots of death, so people called this kobold Death Spots.\And I thought, this has never happened before, so why is it happening now?\I'm sorry. response:	I, uh... just thought you two were... in a relationship.
context: Haruhiro, you can do it.\Buy yourself a helmet, even if it's just a cheap one. I'll chip in.\I'm pretty sure Merry was about to say, see you tomorrow.\If it's about Merry, Hayashi would be a better person to ask.\It had the spots of death, so people called this kobold Death Spots.\And I thought, this has never happened before, so why is it happening now?\I'm sorry.\I, uh... just thought you two were... in a relationship. response:	Sorry for jumping to conclusions!
context: Buy yourself a helmet, even if it's just a cheap one. I'll chip in.\I'm pretty sure Merry was about to say, see you tomorrow.\If it's about Merry, Hayashi would be a better person to ask.\It had the spots of death, so people called this kobold Death Spots.\And I thought, this has never happened before, so why is it happening now?\I'm sorry.\I, uh... just thought you two were... in a relationship.\Sorry for jumping to conclusions! response:	Well, you didn't have to come so early just to apologize.
context: I'm pretty sure Merry was about to say, see you tomorrow.\If it's about Merry, Hayashi would be a better person to ask.\It had the spots of death, so people called this kobold Death Spots.\And I thought, this has never happened before, so why is it happening now?\I'm sorry.\I, uh... just thought you two were... in a relationship.\Sorry for jumping to conclusions!\Well, you didn't have to come so early just to apologize. response:	Relationship?!
context: If it's about Merry, Hayashi would be a better person to ask.\It had the spots of death, so people called this kobold Death Spots.\And I thought, this has never happened before, so why is it happening now?\I'm sorry.\I, uh... just thought you two were... in a relationship.\Sorry for jumping to conclusions!\Well, you didn't have to come so early just to apologize.\Relationship?! response:	What's this about being in a relationship?
context: It had the spots of death, so people called this kobold Death Spots.\And I thought, this has never happened before, so why is it happening now?\I'm sorry.\I, uh... just thought you two were... in a relationship.\Sorry for jumping to conclusions!\Well, you didn't have to come so early just to apologize.\Relationship?!\What's this about being in a relationship? response:	Who with whom in what kind of relationship?!
context: And I thought, this has never happened before, so why is it happening now?\I'm sorry.\I, uh... just thought you two were... in a relationship.\Sorry for jumping to conclusions!\Well, you didn't have to come so early just to apologize.\Relationship?!\What's this about being in a relationship?\Who with whom in what kind of relationship?! response:	Huh?!
context: I'm sorry.\I, uh... just thought you two were... in a relationship.\Sorry for jumping to conclusions!\Well, you didn't have to come so early just to apologize.\Relationship?!\What's this about being in a relationship?\Who with whom in what kind of relationship?!\Huh?! response:	It's nothing!
context: I, uh... just thought you two were... in a relationship.\Sorry for jumping to conclusions!\Well, you didn't have to come so early just to apologize.\Relationship?!\What's this about being in a relationship?\Who with whom in what kind of relationship?!\Huh?!\It's nothing! response:	Like hell it's nothing!
context: Sorry for jumping to conclusions!\Well, you didn't have to come so early just to apologize.\Relationship?!\What's this about being in a relationship?\Who with whom in what kind of relationship?!\Huh?!\It's nothing!\Like hell it's nothing! response:	Tell me! Got it?! Spit it out!
context: Well, you didn't have to come so early just to apologize.\Relationship?!\What's this about being in a relationship?\Who with whom in what kind of relationship?!\Huh?!\It's nothing!\Like hell it's nothing!\Tell me! Got it?! Spit it out! response:	It was just a misunderstanding!
context: Relationship?!\What's this about being in a relationship?\Who with whom in what kind of relationship?!\Huh?!\It's nothing!\Like hell it's nothing!\Tell me! Got it?! Spit it out!\It was just a misunderstanding! response:	That's what Shihoru's trying to say.
context: What's this about being in a relationship?\Who with whom in what kind of relationship?!\Huh?!\It's nothing!\Like hell it's nothing!\Tell me! Got it?! Spit it out!\It was just a misunderstanding!\That's what Shihoru's trying to say. response:	What kind of situation would make her jump to conclusions?
context: Who with whom in what kind of relationship?!\Huh?!\It's nothing!\Like hell it's nothing!\Tell me! Got it?! Spit it out!\It was just a misunderstanding!\That's what Shihoru's trying to say.\What kind of situation would make her jump to conclusions? response:	Well, you see, it's because...
context: Huh?!\It's nothing!\Like hell it's nothing!\Tell me! Got it?! Spit it out!\It was just a misunderstanding!\That's what Shihoru's trying to say.\What kind of situation would make her jump to conclusions?\Well, you see, it's because... response:	I have a bad feeling about this...
context: It's nothing!\Like hell it's nothing!\Tell me! Got it?! Spit it out!\It was just a misunderstanding!\That's what Shihoru's trying to say.\What kind of situation would make her jump to conclusions?\Well, you see, it's because...\I have a bad feeling about this... response:	Haru-kun was just hugging me really tightly, and Shihoru saw us.
context: Like hell it's nothing!\Tell me! Got it?! Spit it out!\It was just a misunderstanding!\That's what Shihoru's trying to say.\What kind of situation would make her jump to conclusions?\Well, you see, it's because...\I have a bad feeling about this...\Haru-kun was just hugging me really tightly, and Shihoru saw us. response:	Oh boy...
context: Tell me! Got it?! Spit it out!\It was just a misunderstanding!\That's what Shihoru's trying to say.\What kind of situation would make her jump to conclusions?\Well, you see, it's because...\I have a bad feeling about this...\Haru-kun was just hugging me really tightly, and Shihoru saw us.\Oh boy... response:	Hey, wait, wait, wait!
context: It was just a misunderstanding!\That's what Shihoru's trying to say.\What kind of situation would make her jump to conclusions?\Well, you see, it's because...\I have a bad feeling about this...\Haru-kun was just hugging me really tightly, and Shihoru saw us.\Oh boy...\Hey, wait, wait, wait! response:	What the heck! What's going on?
context: That's what Shihoru's trying to say.\What kind of situation would make her jump to conclusions?\Well, you see, it's because...\I have a bad feeling about this...\Haru-kun was just hugging me really tightly, and Shihoru saw us.\Oh boy...\Hey, wait, wait, wait!\What the heck! What's going on? response:	For real?! Really?
context: What kind of situation would make her jump to conclusions?\Well, you see, it's because...\I have a bad feeling about this...\Haru-kun was just hugging me really tightly, and Shihoru saw us.\Oh boy...\Hey, wait, wait, wait!\What the heck! What's going on?\For real?! Really? response:	Haruhiro, when did you step into that territory?!
context: Well, you see, it's because...\I have a bad feeling about this...\Haru-kun was just hugging me really tightly, and Shihoru saw us.\Oh boy...\Hey, wait, wait, wait!\What the heck! What's going on?\For real?! Really?\Haruhiro, when did you step into that territory?! response:	What's that supposed to mean?
context: I have a bad feeling about this...\Haru-kun was just hugging me really tightly, and Shihoru saw us.\Oh boy...\Hey, wait, wait, wait!\What the heck! What's going on?\For real?! Really?\Haruhiro, when did you step into that territory?!\What's that supposed to mean? response:	Anyway, it was a misunderstanding!
context: Haru-kun was just hugging me really tightly, and Shihoru saw us.\Oh boy...\Hey, wait, wait, wait!\What the heck! What's going on?\For real?! Really?\Haruhiro, when did you step into that territory?!\What's that supposed to mean?\Anyway, it was a misunderstanding! response:	No way that's the case!
context: Oh boy...\Hey, wait, wait, wait!\What the heck! What's going on?\For real?! Really?\Haruhiro, when did you step into that territory?!\What's that supposed to mean?\Anyway, it was a misunderstanding!\No way that's the case! response:	You were definitely trying to do something there!
context: Hey, wait, wait, wait!\What the heck! What's going on?\For real?! Really?\Haruhiro, when did you step into that territory?!\What's that supposed to mean?\Anyway, it was a misunderstanding!\No way that's the case!\You were definitely trying to do something there! response:	Huuuh?!
context: What the heck! What's going on?\For real?! Really?\Haruhiro, when did you step into that territory?!\What's that supposed to mean?\Anyway, it was a misunderstanding!\No way that's the case!\You were definitely trying to do something there!\Huuuh?! response:	Haru-kun... was crying.
context: For real?! Really?\Haruhiro, when did you step into that territory?!\What's that supposed to mean?\Anyway, it was a misunderstanding!\No way that's the case!\You were definitely trying to do something there!\Huuuh?!\Haru-kun... was crying. response:	I was too.
context: Haruhiro, when did you step into that territory?!\What's that supposed to mean?\Anyway, it was a misunderstanding!\No way that's the case!\You were definitely trying to do something there!\Huuuh?!\Haru-kun... was crying.\I was too. response:	Yes! Tell me more!
context: What's that supposed to mean?\Anyway, it was a misunderstanding!\No way that's the case!\You were definitely trying to do something there!\Huuuh?!\Haru-kun... was crying.\I was too.\Yes! Tell me more! response:	And don't cut out the details!
context: Anyway, it was a misunderstanding!\No way that's the case!\You were definitely trying to do something there!\Huuuh?!\Haru-kun... was crying.\I was too.\Yes! Tell me more!\And don't cut out the details! response:	They're very important, you understand?!
context: No way that's the case!\You were definitely trying to do something there!\Huuuh?!\Haru-kun... was crying.\I was too.\Yes! Tell me more!\And don't cut out the details!\They're very important, you understand?! response:	AAAh! Ah, stop!
context: You were definitely trying to do something there!\Huuuh?!\Haru-kun... was crying.\I was too.\Yes! Tell me more!\And don't cut out the details!\They're very important, you understand?!\AAAh! Ah, stop! response:	Repeating a yesterday filled with scrapes,
context: Huuuh?!\Haru-kun... was crying.\I was too.\Yes! Tell me more!\And don't cut out the details!\They're very important, you understand?!\AAAh! Ah, stop!\Repeating a yesterday filled with scrapes, response:	We clear the path to a hopeful tomorrow.
context: Haru-kun... was crying.\I was too.\Yes! Tell me more!\And don't cut out the details!\They're very important, you understand?!\AAAh! Ah, stop!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow. response:	I wonder what remains
context: I was too.\Yes! Tell me more!\And don't cut out the details!\They're very important, you understand?!\AAAh! Ah, stop!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains response:	in both these tiny hands?
context: Yes! Tell me more!\And don't cut out the details!\They're very important, you understand?!\AAAh! Ah, stop!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands? response:	The voice I raised upwards scattered into the air.
context: And don't cut out the details!\They're very important, you understand?!\AAAh! Ah, stop!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air. response:	The reality I've gamed is hazy,
context: They're very important, you understand?!\AAAh! Ah, stop!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy, response:	and even if I can't see ahead of me,
context: AAAh! Ah, stop!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me, response:	I can keep moving forward on this long road
context: Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road response:	if I'm with you.
context: We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you. response:	Connecting a bond covered in dust,
context: I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust, response:	We join back to back in the past and future.
context: in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future. response:	Repeating an answer full of mistakes,
context: The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes, response:	I will reach out my hands to seek the light, again and again.
context: The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again. response:	Tch.
context: and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Tch. response:	That's it?
context: I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Tch.\That's it? response:	That's so boring...
context: if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Tch.\That's it?\That's so boring... response:	Boring.
context: Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Tch.\That's it?\That's so boring...\Boring. response:	You're a boring guy, Haruhiro.
context: We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Tch.\That's it?\That's so boring...\Boring.\You're a boring guy, Haruhiro. response:	Yeah, yeah.
context: Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Tch.\That's it?\That's so boring...\Boring.\You're a boring guy, Haruhiro.\Yeah, yeah. response:	So you see, me and Shihoru are going to try to be nicer to Merry-chan.
context: I will reach out my hands to seek the light, again and again.\Tch.\That's it?\That's so boring...\Boring.\You're a boring guy, Haruhiro.\Yeah, yeah.\So you see, me and Shihoru are going to try to be nicer to Merry-chan. response:	I-It would be nice if she would just heal us...
context: Tch.\That's it?\That's so boring...\Boring.\You're a boring guy, Haruhiro.\Yeah, yeah.\So you see, me and Shihoru are going to try to be nicer to Merry-chan.\I-It would be nice if she would just heal us... response:	Impossible! Not with her.
context: That's it?\That's so boring...\Boring.\You're a boring guy, Haruhiro.\Yeah, yeah.\So you see, me and Shihoru are going to try to be nicer to Merry-chan.\I-It would be nice if she would just heal us...\Impossible! Not with her. response:	She has no intention of doing that.
context: That's so boring...\Boring.\You're a boring guy, Haruhiro.\Yeah, yeah.\So you see, me and Shihoru are going to try to be nicer to Merry-chan.\I-It would be nice if she would just heal us...\Impossible! Not with her.\She has no intention of doing that. response:	I know we can't immediately treat her as part of our group,
context: Boring.\You're a boring guy, Haruhiro.\Yeah, yeah.\So you see, me and Shihoru are going to try to be nicer to Merry-chan.\I-It would be nice if she would just heal us...\Impossible! Not with her.\She has no intention of doing that.\I know we can't immediately treat her as part of our group, response:	but if we always think of her as an outsider, she'll never have a chance to become part of our group.
context: You're a boring guy, Haruhiro.\Yeah, yeah.\So you see, me and Shihoru are going to try to be nicer to Merry-chan.\I-It would be nice if she would just heal us...\Impossible! Not with her.\She has no intention of doing that.\I know we can't immediately treat her as part of our group,\but if we always think of her as an outsider, she'll never have a chance to become part of our group. response:	Well, Merry-chan hasn't been friendly with us, but me and Shihoru haven't exactly been friendly to her either.
context: Yeah, yeah.\So you see, me and Shihoru are going to try to be nicer to Merry-chan.\I-It would be nice if she would just heal us...\Impossible! Not with her.\She has no intention of doing that.\I know we can't immediately treat her as part of our group,\but if we always think of her as an outsider, she'll never have a chance to become part of our group.\Well, Merry-chan hasn't been friendly with us, but me and Shihoru haven't exactly been friendly to her either. response:	Th-That might be true.
context: So you see, me and Shihoru are going to try to be nicer to Merry-chan.\I-It would be nice if she would just heal us...\Impossible! Not with her.\She has no intention of doing that.\I know we can't immediately treat her as part of our group,\but if we always think of her as an outsider, she'll never have a chance to become part of our group.\Well, Merry-chan hasn't been friendly with us, but me and Shihoru haven't exactly been friendly to her either.\Th-That might be true. response:	Sh-She actually might be a good person.
context: I-It would be nice if she would just heal us...\Impossible! Not with her.\She has no intention of doing that.\I know we can't immediately treat her as part of our group,\but if we always think of her as an outsider, she'll never have a chance to become part of our group.\Well, Merry-chan hasn't been friendly with us, but me and Shihoru haven't exactly been friendly to her either.\Th-That might be true.\Sh-She actually might be a good person. response:	We added her to our party, so doesn't that make her a friend?
context: Impossible! Not with her.\She has no intention of doing that.\I know we can't immediately treat her as part of our group,\but if we always think of her as an outsider, she'll never have a chance to become part of our group.\Well, Merry-chan hasn't been friendly with us, but me and Shihoru haven't exactly been friendly to her either.\Th-That might be true.\Sh-She actually might be a good person.\We added her to our party, so doesn't that make her a friend? response:	Well, having her is better than having no Priest.
context: She has no intention of doing that.\I know we can't immediately treat her as part of our group,\but if we always think of her as an outsider, she'll never have a chance to become part of our group.\Well, Merry-chan hasn't been friendly with us, but me and Shihoru haven't exactly been friendly to her either.\Th-That might be true.\Sh-She actually might be a good person.\We added her to our party, so doesn't that make her a friend?\Well, having her is better than having no Priest. response:	Wait, does that mean... maybe she'll fawn over me?
context: I know we can't immediately treat her as part of our group,\but if we always think of her as an outsider, she'll never have a chance to become part of our group.\Well, Merry-chan hasn't been friendly with us, but me and Shihoru haven't exactly been friendly to her either.\Th-That might be true.\Sh-She actually might be a good person.\We added her to our party, so doesn't that make her a friend?\Well, having her is better than having no Priest.\Wait, does that mean... maybe she'll fawn over me? response:	Obviously.
context: but if we always think of her as an outsider, she'll never have a chance to become part of our group.\Well, Merry-chan hasn't been friendly with us, but me and Shihoru haven't exactly been friendly to her either.\Th-That might be true.\Sh-She actually might be a good person.\We added her to our party, so doesn't that make her a friend?\Well, having her is better than having no Priest.\Wait, does that mean... maybe she'll fawn over me?\Obviously. response:	That's not half bad!
context: Well, Merry-chan hasn't been friendly with us, but me and Shihoru haven't exactly been friendly to her either.\Th-That might be true.\Sh-She actually might be a good person.\We added her to our party, so doesn't that make her a friend?\Well, having her is better than having no Priest.\Wait, does that mean... maybe she'll fawn over me?\Obviously.\That's not half bad! response:	O-Obviously...
context: Th-That might be true.\Sh-She actually might be a good person.\We added her to our party, so doesn't that make her a friend?\Well, having her is better than having no Priest.\Wait, does that mean... maybe she'll fawn over me?\Obviously.\That's not half bad!\O-Obviously... response:	Shut up, Moguzo!
context: Sh-She actually might be a good person.\We added her to our party, so doesn't that make her a friend?\Well, having her is better than having no Priest.\Wait, does that mean... maybe she'll fawn over me?\Obviously.\That's not half bad!\O-Obviously...\Shut up, Moguzo! response:	Moguzo?!
context: We added her to our party, so doesn't that make her a friend?\Well, having her is better than having no Priest.\Wait, does that mean... maybe she'll fawn over me?\Obviously.\That's not half bad!\O-Obviously...\Shut up, Moguzo!\Moguzo?! response:	Did you just make a comeback at me?
context: Well, having her is better than having no Priest.\Wait, does that mean... maybe she'll fawn over me?\Obviously.\That's not half bad!\O-Obviously...\Shut up, Moguzo!\Moguzo?!\Did you just make a comeback at me? response:	Hey! For real?!
context: Wait, does that mean... maybe she'll fawn over me?\Obviously.\That's not half bad!\O-Obviously...\Shut up, Moguzo!\Moguzo?!\Did you just make a comeback at me?\Hey! For real?! response:	I can't believe it!
context: Obviously.\That's not half bad!\O-Obviously...\Shut up, Moguzo!\Moguzo?!\Did you just make a comeback at me?\Hey! For real?!\I can't believe it! response:	Good morning.
context: That's not half bad!\O-Obviously...\Shut up, Moguzo!\Moguzo?!\Did you just make a comeback at me?\Hey! For real?!\I can't believe it!\Good morning. response:	See what I mean?
context: O-Obviously...\Shut up, Moguzo!\Moguzo?!\Did you just make a comeback at me?\Hey! For real?!\I can't believe it!\Good morning.\See what I mean? response:	She gives me that look when I'm just greeting her.
context: Shut up, Moguzo!\Moguzo?!\Did you just make a comeback at me?\Hey! For real?!\I can't believe it!\Good morning.\See what I mean?\She gives me that look when I'm just greeting her. response:	Good morning.
context: Moguzo?!\Did you just make a comeback at me?\Hey! For real?!\I can't believe it!\Good morning.\See what I mean?\She gives me that look when I'm just greeting her.\Good morning. response:	Hurry up and go.
context: Did you just make a comeback at me?\Hey! For real?!\I can't believe it!\Good morning.\See what I mean?\She gives me that look when I'm just greeting her.\Good morning.\Hurry up and go. response:	I'll follow.
context: Hey! For real?!\I can't believe it!\Good morning.\See what I mean?\She gives me that look when I'm just greeting her.\Good morning.\Hurry up and go.\I'll follow. response:	So Merry-chan, what did you eat for breakfast?
context: I can't believe it!\Good morning.\See what I mean?\She gives me that look when I'm just greeting her.\Good morning.\Hurry up and go.\I'll follow.\So Merry-chan, what did you eat for breakfast? response:	Food.
context: Good morning.\See what I mean?\She gives me that look when I'm just greeting her.\Good morning.\Hurry up and go.\I'll follow.\So Merry-chan, what did you eat for breakfast?\Food. response:	H-How long have you been a Volunteer Soldier?
context: See what I mean?\She gives me that look when I'm just greeting her.\Good morning.\Hurry up and go.\I'll follow.\So Merry-chan, what did you eat for breakfast?\Food.\H-How long have you been a Volunteer Soldier? response:	Who knows.
context: She gives me that look when I'm just greeting her.\Good morning.\Hurry up and go.\I'll follow.\So Merry-chan, what did you eat for breakfast?\Food.\H-How long have you been a Volunteer Soldier?\Who knows. response:	Are there any snacks you like to eat?
context: Good morning.\Hurry up and go.\I'll follow.\So Merry-chan, what did you eat for breakfast?\Food.\H-How long have you been a Volunteer Soldier?\Who knows.\Are there any snacks you like to eat? response:	I like
context: Hurry up and go.\I'll follow.\So Merry-chan, what did you eat for breakfast?\Food.\H-How long have you been a Volunteer Soldier?\Who knows.\Are there any snacks you like to eat?\I like response:	I don't care.
context: I'll follow.\So Merry-chan, what did you eat for breakfast?\Food.\H-How long have you been a Volunteer Soldier?\Who knows.\Are there any snacks you like to eat?\I like\I don't care. response:	Moguzo. Ranta. I'm counting on you to each get one.
context: So Merry-chan, what did you eat for breakfast?\Food.\H-How long have you been a Volunteer Soldier?\Who knows.\Are there any snacks you like to eat?\I like\I don't care.\Moguzo. Ranta. I'm counting on you to each get one. response:	Yume and I will get the third.
context: Food.\H-How long have you been a Volunteer Soldier?\Who knows.\Are there any snacks you like to eat?\I like\I don't care.\Moguzo. Ranta. I'm counting on you to each get one.\Yume and I will get the third. response:	Shihoru and Merry will back us up from the rear.
context: H-How long have you been a Volunteer Soldier?\Who knows.\Are there any snacks you like to eat?\I like\I don't care.\Moguzo. Ranta. I'm counting on you to each get one.\Yume and I will get the third.\Shihoru and Merry will back us up from the rear. response:	Marque, Em, Parc!
context: Who knows.\Are there any snacks you like to eat?\I like\I don't care.\Moguzo. Ranta. I'm counting on you to each get one.\Yume and I will get the third.\Shihoru and Merry will back us up from the rear.\Marque, Em, Parc! response:	Don't pull back from such a weak attack!
context: Are there any snacks you like to eat?\I like\I don't care.\Moguzo. Ranta. I'm counting on you to each get one.\Yume and I will get the third.\Shihoru and Merry will back us up from the rear.\Marque, Em, Parc!\Don't pull back from such a weak attack! response:	Aren't you a Warrior?
