context: The Third Plate response:	Thirteen
context: You should all write letters, too.\The exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Who is it?\Door's open.\Nakiri?\What's up? You need something?\U-Um... response:	About the match with Tsukasa-san!
context: The exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Who is it?\Door's open.\Nakiri?\What's up? You need something?\U-Um...\About the match with Tsukasa-san! response:	Any complaints you might have about my not choosing your dish are unfounded, okay?
context: who do not fall in line with Director Azami's vision.\Who is it?\Door's open.\Nakiri?\What's up? You need something?\U-Um...\About the match with Tsukasa-san!\Any complaints you might have about my not choosing your dish are unfounded, okay? response:	It's your fault for taking on a match you couldn't have won!
context: Who is it?\Door's open.\Nakiri?\What's up? You need something?\U-Um...\About the match with Tsukasa-san!\Any complaints you might have about my not choosing your dish are unfounded, okay?\It's your fault for taking on a match you couldn't have won! response:	Well, yeah. I was outmatched, so that was a no-brainer.
context: Door's open.\Nakiri?\What's up? You need something?\U-Um...\About the match with Tsukasa-san!\Any complaints you might have about my not choosing your dish are unfounded, okay?\It's your fault for taking on a match you couldn't have won!\Well, yeah. I was outmatched, so that was a no-brainer. response:	What? F-Fine, as long as you understand.
context: Nakiri?\What's up? You need something?\U-Um...\About the match with Tsukasa-san!\Any complaints you might have about my not choosing your dish are unfounded, okay?\It's your fault for taking on a match you couldn't have won!\Well, yeah. I was outmatched, so that was a no-brainer.\What? F-Fine, as long as you understand. response:	Is that all?
context: What's up? You need something?\U-Um...\About the match with Tsukasa-san!\Any complaints you might have about my not choosing your dish are unfounded, okay?\It's your fault for taking on a match you couldn't have won!\Well, yeah. I was outmatched, so that was a no-brainer.\What? F-Fine, as long as you understand.\Is that all? response:	N-No!
context: U-Um...\About the match with Tsukasa-san!\Any complaints you might have about my not choosing your dish are unfounded, okay?\It's your fault for taking on a match you couldn't have won!\Well, yeah. I was outmatched, so that was a no-brainer.\What? F-Fine, as long as you understand.\Is that all?\N-No! response:	I'm actually here to talk about something else.
context: About the match with Tsukasa-san!\Any complaints you might have about my not choosing your dish are unfounded, okay?\It's your fault for taking on a match you couldn't have won!\Well, yeah. I was outmatched, so that was a no-brainer.\What? F-Fine, as long as you understand.\Is that all?\N-No!\I'm actually here to talk about something else. response:	I don't really get it, but sure, have a seat.
context: Any complaints you might have about my not choosing your dish are unfounded, okay?\It's your fault for taking on a match you couldn't have won!\Well, yeah. I was outmatched, so that was a no-brainer.\What? F-Fine, as long as you understand.\Is that all?\N-No!\I'm actually here to talk about something else.\I don't really get it, but sure, have a seat. response:	Until a certain day, it may have been that I...
context: It's your fault for taking on a match you couldn't have won!\Well, yeah. I was outmatched, so that was a no-brainer.\What? F-Fine, as long as you understand.\Is that all?\N-No!\I'm actually here to talk about something else.\I don't really get it, but sure, have a seat.\Until a certain day, it may have been that I... response:	No, I definitely did not have any strong feelings about food.
context: Well, yeah. I was outmatched, so that was a no-brainer.\What? F-Fine, as long as you understand.\Is that all?\N-No!\I'm actually here to talk about something else.\I don't really get it, but sure, have a seat.\Until a certain day, it may have been that I...\No, I definitely did not have any strong feelings about food. response:	As someone with the God Tongue,
context: What? F-Fine, as long as you understand.\Is that all?\N-No!\I'm actually here to talk about something else.\I don't really get it, but sure, have a seat.\Until a certain day, it may have been that I...\No, I definitely did not have any strong feelings about food.\As someone with the God Tongue, response:	I was forced to face an overwhelming number of dishes on a daily basis.
context: Is that all?\N-No!\I'm actually here to talk about something else.\I don't really get it, but sure, have a seat.\Until a certain day, it may have been that I...\No, I definitely did not have any strong feelings about food.\As someone with the God Tongue,\I was forced to face an overwhelming number of dishes on a daily basis. response:	I thought I had no choice.
context: N-No!\I'm actually here to talk about something else.\I don't really get it, but sure, have a seat.\Until a certain day, it may have been that I...\No, I definitely did not have any strong feelings about food.\As someone with the God Tongue,\I was forced to face an overwhelming number of dishes on a daily basis.\I thought I had no choice. response:	No choice but to be disappointed by what I tasted every single day.
context: I'm actually here to talk about something else.\I don't really get it, but sure, have a seat.\Until a certain day, it may have been that I...\No, I definitely did not have any strong feelings about food.\As someone with the God Tongue,\I was forced to face an overwhelming number of dishes on a daily basis.\I thought I had no choice.\No choice but to be disappointed by what I tasted every single day. response:	That's when I met Saiba-sama.
context: I don't really get it, but sure, have a seat.\Until a certain day, it may have been that I...\No, I definitely did not have any strong feelings about food.\As someone with the God Tongue,\I was forced to face an overwhelming number of dishes on a daily basis.\I thought I had no choice.\No choice but to be disappointed by what I tasted every single day.\That's when I met Saiba-sama. response:	It was a short while after Alice left for Scandinavia.
context: Until a certain day, it may have been that I...\No, I definitely did not have any strong feelings about food.\As someone with the God Tongue,\I was forced to face an overwhelming number of dishes on a daily basis.\I thought I had no choice.\No choice but to be disappointed by what I tasted every single day.\That's when I met Saiba-sama.\It was a short while after Alice left for Scandinavia. response:	That day, my taste-testing appointment was canceled, a rare occurrence.
context: No, I definitely did not have any strong feelings about food.\As someone with the God Tongue,\I was forced to face an overwhelming number of dishes on a daily basis.\I thought I had no choice.\No choice but to be disappointed by what I tasted every single day.\That's when I met Saiba-sama.\It was a short while after Alice left for Scandinavia.\That day, my taste-testing appointment was canceled, a rare occurrence. response:	There were no other visitors, so I remember it being very quiet at home.
context: As someone with the God Tongue,\I was forced to face an overwhelming number of dishes on a daily basis.\I thought I had no choice.\No choice but to be disappointed by what I tasted every single day.\That's when I met Saiba-sama.\It was a short while after Alice left for Scandinavia.\That day, my taste-testing appointment was canceled, a rare occurrence.\There were no other visitors, so I remember it being very quiet at home. response:	What's that?
context: I was forced to face an overwhelming number of dishes on a daily basis.\I thought I had no choice.\No choice but to be disappointed by what I tasted every single day.\That's when I met Saiba-sama.\It was a short while after Alice left for Scandinavia.\That day, my taste-testing appointment was canceled, a rare occurrence.\There were no other visitors, so I remember it being very quiet at home.\What's that? response:	Grandfather...
context: I thought I had no choice.\No choice but to be disappointed by what I tasted every single day.\That's when I met Saiba-sama.\It was a short while after Alice left for Scandinavia.\That day, my taste-testing appointment was canceled, a rare occurrence.\There were no other visitors, so I remember it being very quiet at home.\What's that?\Grandfather... response:	Who are you with?
context: No choice but to be disappointed by what I tasted every single day.\That's when I met Saiba-sama.\It was a short while after Alice left for Scandinavia.\That day, my taste-testing appointment was canceled, a rare occurrence.\There were no other visitors, so I remember it being very quiet at home.\What's that?\Grandfather...\Who are you with? response:	What a wonderful smell...
context: That's when I met Saiba-sama.\It was a short while after Alice left for Scandinavia.\That day, my taste-testing appointment was canceled, a rare occurrence.\There were no other visitors, so I remember it being very quiet at home.\What's that?\Grandfather...\Who are you with?\What a wonderful smell... response:	Hungry...
context: It was a short while after Alice left for Scandinavia.\That day, my taste-testing appointment was canceled, a rare occurrence.\There were no other visitors, so I remember it being very quiet at home.\What's that?\Grandfather...\Who are you with?\What a wonderful smell...\Hungry... response:	Erina?
context: That day, my taste-testing appointment was canceled, a rare occurrence.\There were no other visitors, so I remember it being very quiet at home.\What's that?\Grandfather...\Who are you with?\What a wonderful smell...\Hungry...\Erina? response:	Come now, Senzaemon-dono.
context: There were no other visitors, so I remember it being very quiet at home.\What's that?\Grandfather...\Who are you with?\What a wonderful smell...\Hungry...\Erina?\Come now, Senzaemon-dono. response:	This isn't what we agreed to.
context: What's that?\Grandfather...\Who are you with?\What a wonderful smell...\Hungry...\Erina?\Come now, Senzaemon-dono.\This isn't what we agreed to. response:	I only came because you said you'd make sure no one else would be around.
context: Grandfather...\Who are you with?\What a wonderful smell...\Hungry...\Erina?\Come now, Senzaemon-dono.\This isn't what we agreed to.\I only came because you said you'd make sure no one else would be around. response:	My taste-testing appointment was canceled by the client.
context: Who are you with?\What a wonderful smell...\Hungry...\Erina?\Come now, Senzaemon-dono.\This isn't what we agreed to.\I only came because you said you'd make sure no one else would be around.\My taste-testing appointment was canceled by the client. response:	I see.
context: What a wonderful smell...\Hungry...\Erina?\Come now, Senzaemon-dono.\This isn't what we agreed to.\I only came because you said you'd make sure no one else would be around.\My taste-testing appointment was canceled by the client.\I see. response:	Erina, this man is an old friend of mine.
context: Hungry...\Erina?\Come now, Senzaemon-dono.\This isn't what we agreed to.\I only came because you said you'd make sure no one else would be around.\My taste-testing appointment was canceled by the client.\I see.\Erina, this man is an old friend of mine. response:	This is a private meal.
context: Erina?\Come now, Senzaemon-dono.\This isn't what we agreed to.\I only came because you said you'd make sure no one else would be around.\My taste-testing appointment was canceled by the client.\I see.\Erina, this man is an old friend of mine.\This is a private meal. response:	I'm sorry, but
context: Come now, Senzaemon-dono.\This isn't what we agreed to.\I only came because you said you'd make sure no one else would be around.\My taste-testing appointment was canceled by the client.\I see.\Erina, this man is an old friend of mine.\This is a private meal.\I'm sorry, but response:	I'm sorry.
context: This isn't what we agreed to.\I only came because you said you'd make sure no one else would be around.\My taste-testing appointment was canceled by the client.\I see.\Erina, this man is an old friend of mine.\This is a private meal.\I'm sorry, but\I'm sorry. response:	I'll go now.
context: I only came because you said you'd make sure no one else would be around.\My taste-testing appointment was canceled by the client.\I see.\Erina, this man is an old friend of mine.\This is a private meal.\I'm sorry, but\I'm sorry.\I'll go now. response:	Hungry...
context: My taste-testing appointment was canceled by the client.\I see.\Erina, this man is an old friend of mine.\This is a private meal.\I'm sorry, but\I'm sorry.\I'll go now.\Hungry... response:	Erina-chan, was it?
context: I see.\Erina, this man is an old friend of mine.\This is a private meal.\I'm sorry, but\I'm sorry.\I'll go now.\Hungry...\Erina-chan, was it? response:	I see.
context: Erina, this man is an old friend of mine.\This is a private meal.\I'm sorry, but\I'm sorry.\I'll go now.\Hungry...\Erina-chan, was it?\I see. response:	So you're Azami's...
context: This is a private meal.\I'm sorry, but\I'm sorry.\I'll go now.\Hungry...\Erina-chan, was it?\I see.\So you're Azami's... response:	If you'd like, you may stay and try some.
context: I'm sorry, but\I'm sorry.\I'll go now.\Hungry...\Erina-chan, was it?\I see.\So you're Azami's...\If you'd like, you may stay and try some. response:	It's a bit lonely with just the two of us at the table.
context: I'm sorry.\I'll go now.\Hungry...\Erina-chan, was it?\I see.\So you're Azami's...\If you'd like, you may stay and try some.\It's a bit lonely with just the two of us at the table. response:	There you go. Go ahead.
context: I'll go now.\Hungry...\Erina-chan, was it?\I see.\So you're Azami's...\If you'd like, you may stay and try some.\It's a bit lonely with just the two of us at the table.\There you go. Go ahead. response:	I can feel a warm glow spreading from deep within...
context: Hungry...\Erina-chan, was it?\I see.\So you're Azami's...\If you'd like, you may stay and try some.\It's a bit lonely with just the two of us at the table.\There you go. Go ahead.\I can feel a warm glow spreading from deep within... response:	This is totally different from anything else I've ever eaten.
context: Erina-chan, was it?\I see.\So you're Azami's...\If you'd like, you may stay and try some.\It's a bit lonely with just the two of us at the table.\There you go. Go ahead.\I can feel a warm glow spreading from deep within...\This is totally different from anything else I've ever eaten. response:	It's fun.
context: I see.\So you're Azami's...\If you'd like, you may stay and try some.\It's a bit lonely with just the two of us at the table.\There you go. Go ahead.\I can feel a warm glow spreading from deep within...\This is totally different from anything else I've ever eaten.\It's fun. response:	I'm having fun!
context: So you're Azami's...\If you'd like, you may stay and try some.\It's a bit lonely with just the two of us at the table.\There you go. Go ahead.\I can feel a warm glow spreading from deep within...\This is totally different from anything else I've ever eaten.\It's fun.\I'm having fun! response:	U-Um...
context: If you'd like, you may stay and try some.\It's a bit lonely with just the two of us at the table.\There you go. Go ahead.\I can feel a warm glow spreading from deep within...\This is totally different from anything else I've ever eaten.\It's fun.\I'm having fun!\U-Um... response:	May I know your name?
