context: Sawako! response:	Good morning!
context: Like I said, everyone.\Is Sadako praying?\Everyone.\You're bored this Christmas as well, aren't you?\Really bored.\Everyone means everyone, Kuronuma.\Everyone.\This might be the first and last time I'll be able to spend Christmas with you and Chizu. response:	I probably can't next year.
context: Is Sadako praying?\Everyone.\You're bored this Christmas as well, aren't you?\Really bored.\Everyone means everyone, Kuronuma.\Everyone.\This might be the first and last time I'll be able to spend Christmas with you and Chizu.\I probably can't next year. response:	Who knows, I might not either.
context: Everyone.\You're bored this Christmas as well, aren't you?\Really bored.\Everyone means everyone, Kuronuma.\Everyone.\This might be the first and last time I'll be able to spend Christmas with you and Chizu.\I probably can't next year.\Who knows, I might not either. response:	I'm part of everyone too.
context: You're bored this Christmas as well, aren't you?\Really bored.\Everyone means everyone, Kuronuma.\Everyone.\This might be the first and last time I'll be able to spend Christmas with you and Chizu.\I probably can't next year.\Who knows, I might not either.\I'm part of everyone too. response:	I'll put this up like always.
context: Really bored.\Everyone means everyone, Kuronuma.\Everyone.\This might be the first and last time I'll be able to spend Christmas with you and Chizu.\I probably can't next year.\Who knows, I might not either.\I'm part of everyone too.\I'll put this up like always. response:	Write your name down if you're coming.
context: Everyone means everyone, Kuronuma.\Everyone.\This might be the first and last time I'll be able to spend Christmas with you and Chizu.\I probably can't next year.\Who knows, I might not either.\I'm part of everyone too.\I'll put this up like always.\Write your name down if you're coming. response:	I can.
context: Everyone.\This might be the first and last time I'll be able to spend Christmas with you and Chizu.\I probably can't next year.\Who knows, I might not either.\I'm part of everyone too.\I'll put this up like always.\Write your name down if you're coming.\I can. response:	Thanks.
context: This might be the first and last time I'll be able to spend Christmas with you and Chizu.\I probably can't next year.\Who knows, I might not either.\I'm part of everyone too.\I'll put this up like always.\Write your name down if you're coming.\I can.\Thanks. response:	No problem.
context: I probably can't next year.\Who knows, I might not either.\I'm part of everyone too.\I'll put this up like always.\Write your name down if you're coming.\I can.\Thanks.\No problem. response:	I can go.
context: Who knows, I might not either.\I'm part of everyone too.\I'll put this up like always.\Write your name down if you're coming.\I can.\Thanks.\No problem.\I can go. response:	I can write my name down here.
context: I'm part of everyone too.\I'll put this up like always.\Write your name down if you're coming.\I can.\Thanks.\No problem.\I can go.\I can write my name down here. response:	I've always wanted to.
context: I'll put this up like always.\Write your name down if you're coming.\I can.\Thanks.\No problem.\I can go.\I can write my name down here.\I've always wanted to. response:	I think I'm doing something for Christmas at home too.
context: Write your name down if you're coming.\I can.\Thanks.\No problem.\I can go.\I can write my name down here.\I've always wanted to.\I think I'm doing something for Christmas at home too. response:	I should ask my parents.
context: I can.\Thanks.\No problem.\I can go.\I can write my name down here.\I've always wanted to.\I think I'm doing something for Christmas at home too.\I should ask my parents. response:	You haven't signed up yet?
context: Thanks.\No problem.\I can go.\I can write my name down here.\I've always wanted to.\I think I'm doing something for Christmas at home too.\I should ask my parents.\You haven't signed up yet? response:	No.
context: No problem.\I can go.\I can write my name down here.\I've always wanted to.\I think I'm doing something for Christmas at home too.\I should ask my parents.\You haven't signed up yet?\No. response:	Aren't you coming?
context: I can go.\I can write my name down here.\I've always wanted to.\I think I'm doing something for Christmas at home too.\I should ask my parents.\You haven't signed up yet?\No.\Aren't you coming? response:	I have to ask my parents.
context: I can write my name down here.\I've always wanted to.\I think I'm doing something for Christmas at home too.\I should ask my parents.\You haven't signed up yet?\No.\Aren't you coming?\I have to ask my parents. response:	Let's go.
context: I've always wanted to.\I think I'm doing something for Christmas at home too.\I should ask my parents.\You haven't signed up yet?\No.\Aren't you coming?\I have to ask my parents.\Let's go. response:	Let's go.
context: I think I'm doing something for Christmas at home too.\I should ask my parents.\You haven't signed up yet?\No.\Aren't you coming?\I have to ask my parents.\Let's go.\Let's go. response:	I want to.
context: I should ask my parents.\You haven't signed up yet?\No.\Aren't you coming?\I have to ask my parents.\Let's go.\Let's go.\I want to. response:	Christmas with someone other than family.
context: You haven't signed up yet?\No.\Aren't you coming?\I have to ask my parents.\Let's go.\Let's go.\I want to.\Christmas with someone other than family. response:	Christmas with my friends.
context: No.\Aren't you coming?\I have to ask my parents.\Let's go.\Let's go.\I want to.\Christmas with someone other than family.\Christmas with my friends. response:	My first Christmas with Kazehaya-kun.
context: Aren't you coming?\I have to ask my parents.\Let's go.\Let's go.\I want to.\Christmas with someone other than family.\Christmas with my friends.\My first Christmas with Kazehaya-kun. response:	An apron for Chizu-chan,
context: I have to ask my parents.\Let's go.\Let's go.\I want to.\Christmas with someone other than family.\Christmas with my friends.\My first Christmas with Kazehaya-kun.\An apron for Chizu-chan, response:	and coasters for Ayane-chan.
context: Let's go.\Let's go.\I want to.\Christmas with someone other than family.\Christmas with my friends.\My first Christmas with Kazehaya-kun.\An apron for Chizu-chan,\and coasters for Ayane-chan. response:	I made them as Christmas gifts.
context: Let's go.\I want to.\Christmas with someone other than family.\Christmas with my friends.\My first Christmas with Kazehaya-kun.\An apron for Chizu-chan,\and coasters for Ayane-chan.\I made them as Christmas gifts. response:	A belly warmer for Dad, slippers for Mom.
context: I want to.\Christmas with someone other than family.\Christmas with my friends.\My first Christmas with Kazehaya-kun.\An apron for Chizu-chan,\and coasters for Ayane-chan.\I made them as Christmas gifts.\A belly warmer for Dad, slippers for Mom. response:	First I have to ask if I can go, though.
context: Christmas with someone other than family.\Christmas with my friends.\My first Christmas with Kazehaya-kun.\An apron for Chizu-chan,\and coasters for Ayane-chan.\I made them as Christmas gifts.\A belly warmer for Dad, slippers for Mom.\First I have to ask if I can go, though. response:	For Kazehaya-kun...
context: Christmas with my friends.\My first Christmas with Kazehaya-kun.\An apron for Chizu-chan,\and coasters for Ayane-chan.\I made them as Christmas gifts.\A belly warmer for Dad, slippers for Mom.\First I have to ask if I can go, though.\For Kazehaya-kun... response:	No, no.
context: My first Christmas with Kazehaya-kun.\An apron for Chizu-chan,\and coasters for Ayane-chan.\I made them as Christmas gifts.\A belly warmer for Dad, slippers for Mom.\First I have to ask if I can go, though.\For Kazehaya-kun...\No, no. response:	That'd be way too scary.
context: An apron for Chizu-chan,\and coasters for Ayane-chan.\I made them as Christmas gifts.\A belly warmer for Dad, slippers for Mom.\First I have to ask if I can go, though.\For Kazehaya-kun...\No, no.\That'd be way too scary. response:	A hand-made scarf.
context: and coasters for Ayane-chan.\I made them as Christmas gifts.\A belly warmer for Dad, slippers for Mom.\First I have to ask if I can go, though.\For Kazehaya-kun...\No, no.\That'd be way too scary.\A hand-made scarf. response:	Besides, even if I knit one, I don't think I could give it to him.
context: I made them as Christmas gifts.\A belly warmer for Dad, slippers for Mom.\First I have to ask if I can go, though.\For Kazehaya-kun...\No, no.\That'd be way too scary.\A hand-made scarf.\Besides, even if I knit one, I don't think I could give it to him. response:	I definitely couldn't.
context: A belly warmer for Dad, slippers for Mom.\First I have to ask if I can go, though.\For Kazehaya-kun...\No, no.\That'd be way too scary.\A hand-made scarf.\Besides, even if I knit one, I don't think I could give it to him.\I definitely couldn't. response:	Maybe I can just make one.
context: First I have to ask if I can go, though.\For Kazehaya-kun...\No, no.\That'd be way too scary.\A hand-made scarf.\Besides, even if I knit one, I don't think I could give it to him.\I definitely couldn't.\Maybe I can just make one. response:	Just make one.
context: For Kazehaya-kun...\No, no.\That'd be way too scary.\A hand-made scarf.\Besides, even if I knit one, I don't think I could give it to him.\I definitely couldn't.\Maybe I can just make one.\Just make one. response:	Sawako, Dad's home.
context: No, no.\That'd be way too scary.\A hand-made scarf.\Besides, even if I knit one, I don't think I could give it to him.\I definitely couldn't.\Maybe I can just make one.\Just make one.\Sawako, Dad's home. response:	Okay.
context: That'd be way too scary.\A hand-made scarf.\Besides, even if I knit one, I don't think I could give it to him.\I definitely couldn't.\Maybe I can just make one.\Just make one.\Sawako, Dad's home.\Okay. response:	Let's try asking if I can go to the Christmas party.
context: A hand-made scarf.\Besides, even if I knit one, I don't think I could give it to him.\I definitely couldn't.\Maybe I can just make one.\Just make one.\Sawako, Dad's home.\Okay.\Let's try asking if I can go to the Christmas party. response:	Hey, about Christmas...
context: Besides, even if I knit one, I don't think I could give it to him.\I definitely couldn't.\Maybe I can just make one.\Just make one.\Sawako, Dad's home.\Okay.\Let's try asking if I can go to the Christmas party.\Hey, about Christmas... response:	Oh, right, right, Sawako.
context: I definitely couldn't.\Maybe I can just make one.\Just make one.\Sawako, Dad's home.\Okay.\Let's try asking if I can go to the Christmas party.\Hey, about Christmas...\Oh, right, right, Sawako. response:	You haven't told Santa what you want for Christmas this year, have you?
context: Maybe I can just make one.\Just make one.\Sawako, Dad's home.\Okay.\Let's try asking if I can go to the Christmas party.\Hey, about Christmas...\Oh, right, right, Sawako.\You haven't told Santa what you want for Christmas this year, have you? response:	Better hurry, or you'll miss his deadline!
context: Just make one.\Sawako, Dad's home.\Okay.\Let's try asking if I can go to the Christmas party.\Hey, about Christmas...\Oh, right, right, Sawako.\You haven't told Santa what you want for Christmas this year, have you?\Better hurry, or you'll miss his deadline! response:	Umm, a notebook and pencil leads.
context: Sawako, Dad's home.\Okay.\Let's try asking if I can go to the Christmas party.\Hey, about Christmas...\Oh, right, right, Sawako.\You haven't told Santa what you want for Christmas this year, have you?\Better hurry, or you'll miss his deadline!\Umm, a notebook and pencil leads. response:	I could buy that myself.
context: Okay.\Let's try asking if I can go to the Christmas party.\Hey, about Christmas...\Oh, right, right, Sawako.\You haven't told Santa what you want for Christmas this year, have you?\Better hurry, or you'll miss his deadline!\Umm, a notebook and pencil leads.\I could buy that myself. response:	Santa said he's going to spend a lot this year.
context: Let's try asking if I can go to the Christmas party.\Hey, about Christmas...\Oh, right, right, Sawako.\You haven't told Santa what you want for Christmas this year, have you?\Better hurry, or you'll miss his deadline!\Umm, a notebook and pencil leads.\I could buy that myself.\Santa said he's going to spend a lot this year. response:	A-An ergonomic mechanical pencil, then. Please.
context: Hey, about Christmas...\Oh, right, right, Sawako.\You haven't told Santa what you want for Christmas this year, have you?\Better hurry, or you'll miss his deadline!\Umm, a notebook and pencil leads.\I could buy that myself.\Santa said he's going to spend a lot this year.\A-An ergonomic mechanical pencil, then. Please. response:	Why are you telling me?
context: Oh, right, right, Sawako.\You haven't told Santa what you want for Christmas this year, have you?\Better hurry, or you'll miss his deadline!\Umm, a notebook and pencil leads.\I could buy that myself.\Santa said he's going to spend a lot this year.\A-An ergonomic mechanical pencil, then. Please.\Why are you telling me? response:	You gotta write it down and hang it up.
context: You haven't told Santa what you want for Christmas this year, have you?\Better hurry, or you'll miss his deadline!\Umm, a notebook and pencil leads.\I could buy that myself.\Santa said he's going to spend a lot this year.\A-An ergonomic mechanical pencil, then. Please.\Why are you telling me?\You gotta write it down and hang it up. response:	What should I do?
context: Better hurry, or you'll miss his deadline!\Umm, a notebook and pencil leads.\I could buy that myself.\Santa said he's going to spend a lot this year.\A-An ergonomic mechanical pencil, then. Please.\Why are you telling me?\You gotta write it down and hang it up.\What should I do? response:	Sawako's chicken last year was delicious.
context: Umm, a notebook and pencil leads.\I could buy that myself.\Santa said he's going to spend a lot this year.\A-An ergonomic mechanical pencil, then. Please.\Why are you telling me?\You gotta write it down and hang it up.\What should I do?\Sawako's chicken last year was delicious. response:	Not that I'm complaining about your cooking, Mom.
context: I could buy that myself.\Santa said he's going to spend a lot this year.\A-An ergonomic mechanical pencil, then. Please.\Why are you telling me?\You gotta write it down and hang it up.\What should I do?\Sawako's chicken last year was delicious.\Not that I'm complaining about your cooking, Mom. response:	Dad's totally revved up.
context: Santa said he's going to spend a lot this year.\A-An ergonomic mechanical pencil, then. Please.\Why are you telling me?\You gotta write it down and hang it up.\What should I do?\Sawako's chicken last year was delicious.\Not that I'm complaining about your cooking, Mom.\Dad's totally revved up. response:	I'll help all day, from early in the morning on.
context: A-An ergonomic mechanical pencil, then. Please.\Why are you telling me?\You gotta write it down and hang it up.\What should I do?\Sawako's chicken last year was delicious.\Not that I'm complaining about your cooking, Mom.\Dad's totally revved up.\I'll help all day, from early in the morning on. response:	Um...
context: Why are you telling me?\You gotta write it down and hang it up.\What should I do?\Sawako's chicken last year was delicious.\Not that I'm complaining about your cooking, Mom.\Dad's totally revved up.\I'll help all day, from early in the morning on.\Um... response:	What, Sawako?
context: You gotta write it down and hang it up.\What should I do?\Sawako's chicken last year was delicious.\Not that I'm complaining about your cooking, Mom.\Dad's totally revved up.\I'll help all day, from early in the morning on.\Um...\What, Sawako? response:	Cake, huh?
context: What should I do?\Sawako's chicken last year was delicious.\Not that I'm complaining about your cooking, Mom.\Dad's totally revved up.\I'll help all day, from early in the morning on.\Um...\What, Sawako?\Cake, huh? response:	I'll leave that to you. Surprise me!
context: Sawako's chicken last year was delicious.\Not that I'm complaining about your cooking, Mom.\Dad's totally revved up.\I'll help all day, from early in the morning on.\Um...\What, Sawako?\Cake, huh?\I'll leave that to you. Surprise me! response:	Santa shows up every year, you're such a good girl.
context: Not that I'm complaining about your cooking, Mom.\Dad's totally revved up.\I'll help all day, from early in the morning on.\Um...\What, Sawako?\Cake, huh?\I'll leave that to you. Surprise me!\Santa shows up every year, you're such a good girl. response:	I can't.
context: Dad's totally revved up.\I'll help all day, from early in the morning on.\Um...\What, Sawako?\Cake, huh?\I'll leave that to you. Surprise me!\Santa shows up every year, you're such a good girl.\I can't. response:	Let's go.
context: I'll help all day, from early in the morning on.\Um...\What, Sawako?\Cake, huh?\I'll leave that to you. Surprise me!\Santa shows up every year, you're such a good girl.\I can't.\Let's go. response:	Hey, Dad, Mom...
context: Um...\What, Sawako?\Cake, huh?\I'll leave that to you. Surprise me!\Santa shows up every year, you're such a good girl.\I can't.\Let's go.\Hey, Dad, Mom... response:	You know, you were supposed to be born on the 24th.
context: What, Sawako?\Cake, huh?\I'll leave that to you. Surprise me!\Santa shows up every year, you're such a good girl.\I can't.\Let's go.\Hey, Dad, Mom...\You know, you were supposed to be born on the 24th. response:	We were worried because your mother didn't go into labor.
context: Cake, huh?\I'll leave that to you. Surprise me!\Santa shows up every year, you're such a good girl.\I can't.\Let's go.\Hey, Dad, Mom...\You know, you were supposed to be born on the 24th.\We were worried because your mother didn't go into labor. response:	Look at her now, all big and healthy.
context: I'll leave that to you. Surprise me!\Santa shows up every year, you're such a good girl.\I can't.\Let's go.\Hey, Dad, Mom...\You know, you were supposed to be born on the 24th.\We were worried because your mother didn't go into labor.\Look at her now, all big and healthy. response:	Those were the days.
context: Santa shows up every year, you're such a good girl.\I can't.\Let's go.\Hey, Dad, Mom...\You know, you were supposed to be born on the 24th.\We were worried because your mother didn't go into labor.\Look at her now, all big and healthy.\Those were the days. response:	You ended up being born on New Year's Eve,
context: I can't.\Let's go.\Hey, Dad, Mom...\You know, you were supposed to be born on the 24th.\We were worried because your mother didn't go into labor.\Look at her now, all big and healthy.\Those were the days.\You ended up being born on New Year's Eve, response:	but to us, you're a Christmas present.
context: Let's go.\Hey, Dad, Mom...\You know, you were supposed to be born on the 24th.\We were worried because your mother didn't go into labor.\Look at her now, all big and healthy.\Those were the days.\You ended up being born on New Year's Eve,\but to us, you're a Christmas present. response:	Stop it Dad, you're crying.
context: Hey, Dad, Mom...\You know, you were supposed to be born on the 24th.\We were worried because your mother didn't go into labor.\Look at her now, all big and healthy.\Those were the days.\You ended up being born on New Year's Eve,\but to us, you're a Christmas present.\Stop it Dad, you're crying. response:	Dad.
context: You know, you were supposed to be born on the 24th.\We were worried because your mother didn't go into labor.\Look at her now, all big and healthy.\Those were the days.\You ended up being born on New Year's Eve,\but to us, you're a Christmas present.\Stop it Dad, you're crying.\Dad. response:	What is it?
context: We were worried because your mother didn't go into labor.\Look at her now, all big and healthy.\Those were the days.\You ended up being born on New Year's Eve,\but to us, you're a Christmas present.\Stop it Dad, you're crying.\Dad.\What is it? response:	You were about to say something.
context: Look at her now, all big and healthy.\Those were the days.\You ended up being born on New Year's Eve,\but to us, you're a Christmas present.\Stop it Dad, you're crying.\Dad.\What is it?\You were about to say something. response:	No, nothing.
context: Those were the days.\You ended up being born on New Year's Eve,\but to us, you're a Christmas present.\Stop it Dad, you're crying.\Dad.\What is it?\You were about to say something.\No, nothing. response:	I can't ask them.
context: You ended up being born on New Year's Eve,\but to us, you're a Christmas present.\Stop it Dad, you're crying.\Dad.\What is it?\You were about to say something.\No, nothing.\I can't ask them. response:	You're not going?
context: but to us, you're a Christmas present.\Stop it Dad, you're crying.\Dad.\What is it?\You were about to say something.\No, nothing.\I can't ask them.\You're not going? response:	My dad's really looking forward to it.
context: Stop it Dad, you're crying.\Dad.\What is it?\You were about to say something.\No, nothing.\I can't ask them.\You're not going?\My dad's really looking forward to it. response:	Come on.
context: Dad.\What is it?\You were about to say something.\No, nothing.\I can't ask them.\You're not going?\My dad's really looking forward to it.\Come on. response:	Can't you come just for a little bit?
context: What is it?\You were about to say something.\No, nothing.\I can't ask them.\You're not going?\My dad's really looking forward to it.\Come on.\Can't you come just for a little bit? response:	We start early in the morning and go on all day.
context: You were about to say something.\No, nothing.\I can't ask them.\You're not going?\My dad's really looking forward to it.\Come on.\Can't you come just for a little bit?\We start early in the morning and go on all day. response:	That's pretty crazy.
context: No, nothing.\I can't ask them.\You're not going?\My dad's really looking forward to it.\Come on.\Can't you come just for a little bit?\We start early in the morning and go on all day.\That's pretty crazy. response:	So it's a bit early, but...
context: I can't ask them.\You're not going?\My dad's really looking forward to it.\Come on.\Can't you come just for a little bit?\We start early in the morning and go on all day.\That's pretty crazy.\So it's a bit early, but... response:	An apron!
context: You're not going?\My dad's really looking forward to it.\Come on.\Can't you come just for a little bit?\We start early in the morning and go on all day.\That's pretty crazy.\So it's a bit early, but...\An apron! response:	I'm going to wear it when I help at Ryu's.
context: My dad's really looking forward to it.\Come on.\Can't you come just for a little bit?\We start early in the morning and go on all day.\That's pretty crazy.\So it's a bit early, but...\An apron!\I'm going to wear it when I help at Ryu's. response:	And coasters for you.
context: Come on.\Can't you come just for a little bit?\We start early in the morning and go on all day.\That's pretty crazy.\So it's a bit early, but...\An apron!\I'm going to wear it when I help at Ryu's.\And coasters for you. response:	They're so cute.
context: Can't you come just for a little bit?\We start early in the morning and go on all day.\That's pretty crazy.\So it's a bit early, but...\An apron!\I'm going to wear it when I help at Ryu's.\And coasters for you.\They're so cute. response:	Did you make them yourself?
context: We start early in the morning and go on all day.\That's pretty crazy.\So it's a bit early, but...\An apron!\I'm going to wear it when I help at Ryu's.\And coasters for you.\They're so cute.\Did you make them yourself? response:	Yes.
context: That's pretty crazy.\So it's a bit early, but...\An apron!\I'm going to wear it when I help at Ryu's.\And coasters for you.\They're so cute.\Did you make them yourself?\Yes. response:	Maybe I shouldn't have.
